Accelerometer LUA^ accX;Accelerometer LUA_ accY;Accelerometer LH accY;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accY;InertialMeasurementUnit L-SHOE EuZ;Accelerometer LUA_ accX;Accelerometer LH accX;Accelerometer LWR accY;Accelerometer LWR accZ;InertialMeasurementUnit LLA accX
-107.0;942.0;1187.0;988.0;-511.0;5;-388.0;575.0;951.0;446.0;-907.0
-105.0;939.0;1172.0;971.0;-494.0;5;-308.0;440.0;944.0;503.0;-891.0
-62.0;930.0;1081.0;977.0;-451.0;5;-298.0;374.0;959.0;479.0;-902.0
-8.0;927.0;1056.0;981.0;?;5;-268.0;311.0;959.0;471.0;-953.0
1.0;960.0;1017.0;978.0;-547.0;5;-226.0;413.0;1024.0;?;-905.0
99.0;970.0;1100.0;1013.0;-632.0;5;-222.0;436.0;1041.0;477.0;-954.0
142.0;913.0;1106.0;1052.0;-684.0;5;-207.0;552.0;1035.0;625.0;-1063.0
139.0;1052.0;1232.0;1054.0;-773.0;5;-192.0;793.0;1181.0;679.0;-1034.0
84.0;1053.0;1364.0;1005.0;-805.0;5;-350.0;?;1202.0;733.0;-1061.0
190.0;1027.0;1279.0;982.0;-951.0;5;-280.0;992.0;1257.0;1001.0;-1085.0
189.0;?;1188.0;1011.0;-1151.0;5;-337.0;1079.0;1259.0;969.0;-1135.0
175.0;1109.0;1385.0;1000.0;-1131.0;5;-530.0;1423.0;?;1112.0;-1091.0
151.0;1098.0;1209.0;987.0;-1262.0;5;-554.0;1551.0;1308.0;1149.0;-1150.0
302.0;1062.0;1052.0;1004.0;-1331.0;5;-625.0;1469.0;1314.0;1172.0;-1234.0
160.0;1084.0;1218.0;1036.0;-1013.0;5;-621.0;1888.0;1311.0;1055.0;-1145.0
141.0;1103.0;?;1009.0;-586.0;5;-680.0;1980.0;1138.0;1123.0;-862.0
92.0;917.0;1157.0;1013.0;-675.0;5;-598.0;1306.0;839.0;685.0;-801.0
-7.0;627.0;964.0;980.0;-706.0;5;-320.0;845.0;?;686.0;-629.0
22.0;685.0;795.0;989.0;?;5;-509.0;998.0;592.0;755.0;-429.0
-31.0;?;636.0;1018.0;-475.0;5;-345.0;980.0;534.0;693.0;-268.0
-301.0;168.0;518.0;1009.0;?;5;-406.0;963.0;309.0;494.0;-142.0
-255.0;-3.0;496.0;1046.0;95.0;5;-303.0;635.0;181.0;365.0;311.0
-257.0;-327.0;503.0;1056.0;23.0;5;-299.0;396.0;-57.0;60.0;671.0
-246.0;-769.0;549.0;1047.0;-189.0;5;-223.0;?;-381.0;-99.0;890.0
-508.0;-590.0;-113.0;1052.0;-213.0;5;-569.0;-400.0;-713.0;-63.0;950.0
-470.0;-893.0;-439.0;1001.0;-282.0;5;-523.0;-149.0;-851.0;66.0;1038.0
-541.0;?;-573.0;991.0;-359.0;5;-639.0;-341.0;-938.0;179.0;1085.0
-429.0;-783.0;-791.0;1040.0;-172.0;5;-398.0;-145.0;-787.0;297.0;938.0
-397.0;-827.0;?;1029.0;-152.0;5;-420.0;-190.0;-806.0;298.0;912.0
-391.0;-830.0;-923.0;1019.0;-156.0;?;-445.0;-180.0;-844.0;267.0;809.0
-291.0;-781.0;-851.0;1026.0;-250.0;5;-416.0;-219.0;-771.0;268.0;630.0
-178.0;-684.0;-789.0;1022.0;-276.0;5;-354.0;-226.0;-596.0;338.0;514.0
-34.0;-485.0;-707.0;1041.0;-310.0;5;-297.0;?;-432.0;416.0;523.0
16.0;-399.0;?;1041.0;?;5;-321.0;136.0;-372.0;?;620.0
-112.0;-466.0;-531.0;1027.0;-346.0;5;?;308.0;-463.0;418.0;625.0
?;-553.0;?;1016.0;-338.0;5;-399.0;243.0;-519.0;305.0;701.0
-284.0;-522.0;-593.0;1039.0;-403.0;?;?;220.0;-564.0;496.0;674.0
-386.0;-549.0;-689.0;1036.0;-568.0;5;-546.0;-53.0;-561.0;453.0;667.0
-401.0;-524.0;-615.0;1053.0;-755.0;5;-621.0;250.0;-552.0;581.0;701.0
-470.0;-455.0;-703.0;989.0;-816.0;5;-760.0;482.0;-575.0;600.0;696.0
-524.0;-446.0;-818.0;1030.0;-855.0;?;-850.0;755.0;-564.0;879.0;712.0
-526.0;-420.0;-779.0;1020.0;-1231.0;5;-904.0;737.0;-582.0;904.0;677.0
-568.0;-388.0;-813.0;1027.0;-1185.0;?;-980.0;787.0;-531.0;1110.0;668.0
-614.0;-287.0;-958.0;1037.0;-935.0;5;-1100.0;1250.0;?;1195.0;632.0
?;-331.0;-929.0;1035.0;-867.0;?;-1053.0;1171.0;?;1023.0;628.0
-732.0;-356.0;-648.0;1043.0;-696.0;5;-958.0;1086.0;-552.0;943.0;604.0
?;-571.0;-608.0;1031.0;-730.0;5;-987.0;725.0;-515.0;878.0;640.0
-556.0;-422.0;-541.0;1022.0;-622.0;5;-906.0;661.0;-515.0;822.0;751.0
-531.0;-486.0;-537.0;1021.0;-505.0;5;-984.0;804.0;-623.0;689.0;940.0
-674.0;-549.0;-625.0;1041.0;-568.0;5;-933.0;327.0;-843.0;629.0;?
-741.0;-692.0;-954.0;1052.0;-711.0;5;-981.0;-113.0;-1038.0;304.0;946.0
-811.0;-649.0;-778.0;1041.0;-508.0;5;-1037.0;584.0;-1009.0;348.0;1019.0
-818.0;-605.0;-986.0;1013.0;-508.0;5;-1083.0;333.0;-1067.0;511.0;972.0
-672.0;-698.0;-914.0;1044.0;-730.0;5;-921.0;?;-999.0;541.0;890.0
-641.0;-582.0;-877.0;1003.0;-775.0;5;-945.0;175.0;-878.0;628.0;796.0
-542.0;-508.0;-935.0;1016.0;-762.0;5;-927.0;514.0;-864.0;601.0;720.0
-426.0;-421.0;-854.0;1024.0;-711.0;5;-924.0;577.0;-730.0;706.0;682.0
-406.0;-389.0;-824.0;1004.0;-596.0;5;-868.0;482.0;-680.0;?;690.0
-413.0;-389.0;-732.0;1025.0;-549.0;5;-819.0;475.0;-671.0;698.0;735.0
-459.0;-441.0;?;1031.0;-578.0;5;-803.0;262.0;-721.0;566.0;?
-492.0;-481.0;-762.0;1017.0;-635.0;5;-836.0;137.0;-811.0;548.0;846.0
-569.0;-541.0;-808.0;999.0;-674.0;5;-899.0;258.0;-896.0;545.0;852.0
-610.0;-532.0;-796.0;1028.0;-660.0;5;-940.0;328.0;-846.0;549.0;859.0
-370.0;-812.0;-869.0;1037.0;-142.0;5;-448.0;?;-857.0;207.0;953.0
-428.0;-819.0;-868.0;1018.0;-162.0;5;-471.0;-87.0;-862.0;302.0;951.0
-422.0;-830.0;-908.0;1033.0;-142.0;5;-466.0;-44.0;-871.0;243.0;920.0
-417.0;-824.0;-879.0;1031.0;-161.0;5;-474.0;-37.0;-834.0;264.0;902.0
-343.0;-781.0;-856.0;1025.0;?;5;-459.0;-68.0;-825.0;238.0;?
-253.0;-785.0;-819.0;1051.0;-321.0;5;-432.0;-60.0;-797.0;290.0;634.0
-91.0;-671.0;-754.0;1016.0;-362.0;5;-380.0;-2.0;-638.0;337.0;509.0
46.0;-490.0;?;1035.0;-398.0;5;-406.0;181.0;-412.0;434.0;408.0
95.0;-388.0;-468.0;1024.0;-553.0;5;-355.0;224.0;-346.0;456.0;378.0
73.0;?;-379.0;1020.0;-609.0;5;-371.0;470.0;-264.0;471.0;365.0
-3.0;-238.0;-372.0;1001.0;-583.0;5;-525.0;?;-257.0;617.0;322.0
-162.0;-217.0;-391.0;1013.0;-808.0;?;-638.0;378.0;-159.0;641.0;261.0
-261.0;-169.0;-394.0;1017.0;-1101.0;5;-671.0;534.0;-38.0;795.0;307.0
-337.0;-111.0;-328.0;1017.0;-1311.0;5;-831.0;946.0;-136.0;962.0;282.0
-483.0;-99.0;-315.0;1040.0;-1474.0;5;?;1274.0;-178.0;1138.0;258.0
-594.0;-35.0;-358.0;1013.0;-1347.0;5;?;1618.0;-73.0;1389.0;279.0
-545.0;26.0;-316.0;1026.0;-1654.0;5;-1304.0;1709.0;-70.0;1544.0;245.0
-724.0;-5.0;-331.0;1010.0;-1586.0;5;-1297.0;1639.0;-112.0;1410.0;175.0
-761.0;90.0;-372.0;1024.0;-1333.0;5;-1406.0;1939.0;-83.0;1447.0;250.0
?;26.0;-213.0;1013.0;-1373.0;5;-1213.0;1734.0;-77.0;1350.0;314.0
-644.0;-2.0;-360.0;1002.0;-1006.0;5;-1221.0;1385.0;-211.0;1364.0;463.0
-521.0;?;-406.0;1020.0;-912.0;5;-1192.0;1329.0;-290.0;1165.0;710.0
-498.0;-322.0;-364.0;1026.0;?;5;-1035.0;900.0;-499.0;938.0;869.0
-682.0;-409.0;-871.0;1041.0;-657.0;5;-1245.0;461.0;-809.0;662.0;966.0
-652.0;-500.0;-894.0;1023.0;-707.0;5;-1230.0;527.0;-979.0;571.0;910.0
-570.0;-590.0;-934.0;1001.0;-779.0;5;-1083.0;14.0;-966.0;572.0;836.0
-604.0;-488.0;-981.0;1032.0;-725.0;5;-1049.0;248.0;-854.0;695.0;802.0
-524.0;-440.0;-956.0;1025.0;-695.0;5;-974.0;518.0;-804.0;773.0;725.0
-390.0;-431.0;-841.0;984.0;-788.0;5;-943.0;453.0;-723.0;795.0;683.0
?;-339.0;-884.0;1011.0;-773.0;5;-881.0;288.0;-661.0;739.0;634.0
-317.0;-346.0;-798.0;1016.0;-699.0;5;-918.0;551.0;-673.0;622.0;610.0
?;-299.0;-799.0;1023.0;-649.0;5;-828.0;530.0;-569.0;704.0;653.0
?;-317.0;-745.0;1000.0;-623.0;5;-824.0;?;-623.0;741.0;743.0
-462.0;-354.0;-721.0;1010.0;-671.0;5;-867.0;347.0;-699.0;621.0;801.0
-545.0;-449.0;-782.0;1022.0;-747.0;5;-890.0;274.0;?;628.0;822.0
-674.0;-437.0;-846.0;1019.0;-904.0;5;-991.0;257.0;-819.0;581.0;886.0
-330.0;-714.0;-979.0;1023.0;-356.0;5;-538.0;?;-762.0;419.0;849.0
?;-670.0;-910.0;1058.0;-333.0;5;-511.0;34.0;-782.0;446.0;854.0
-320.0;-685.0;-971.0;1003.0;-309.0;5;-540.0;17.0;-760.0;428.0;843.0
-292.0;-689.0;-925.0;1010.0;-352.0;5;-506.0;-50.0;-746.0;?;841.0
-306.0;-676.0;-919.0;1028.0;-346.0;5;-520.0;-34.0;-765.0;384.0;838.0
-297.0;-687.0;?;1024.0;-374.0;5;-520.0;11.0;-762.0;?;756.0
-202.0;-647.0;-923.0;?;-424.0;5;-493.0;-31.0;-687.0;513.0;615.0
-114.0;-550.0;-871.0;1019.0;-451.0;5;-445.0;67.0;-582.0;516.0;486.0
40.0;-397.0;?;1030.0;-489.0;5;-379.0;103.0;-396.0;671.0;430.0
125.0;-337.0;-731.0;1016.0;-514.0;5;-397.0;184.0;-308.0;554.0;363.0
102.0;-266.0;-627.0;1017.0;-540.0;5;-432.0;263.0;-294.0;593.0;317.0
95.0;-233.0;-409.0;1007.0;-690.0;5;-435.0;366.0;?;715.0;304.0
-33.0;-138.0;-535.0;998.0;-872.0;5;-534.0;370.0;-245.0;681.0;290.0
-205.0;-105.0;-512.0;1009.0;-932.0;5;-718.0;543.0;-210.0;790.0;284.0
-289.0;-51.0;-314.0;1029.0;-1201.0;5;-815.0;780.0;-187.0;971.0;235.0
-476.0;-16.0;-390.0;1021.0;-1517.0;5;-1040.0;920.0;-200.0;1103.0;122.0
-599.0;108.0;-399.0;1001.0;-1497.0;5;-1192.0;1357.0;-32.0;1499.0;228.0
-649.0;177.0;-290.0;1012.0;-1922.0;5;-1319.0;1797.0;-4.0;1593.0;196.0
-802.0;71.0;-330.0;?;-1822.0;5;?;2025.0;-96.0;1604.0;135.0
-734.0;218.0;-515.0;1005.0;-1481.0;5;-1488.0;2250.0;-10.0;1513.0;166.0
-628.0;211.0;-329.0;975.0;-1256.0;5;-1453.0;2028.0;-114.0;1425.0;352.0
?;110.0;-268.0;1014.0;-981.0;5;-1274.0;1568.0;-200.0;1155.0;792.0
-625.0;-185.0;-404.0;1047.0;-762.0;5;-1222.0;1191.0;-537.0;?;1053.0
?;-541.0;-848.0;1002.0;-503.0;5;-1271.0;599.0;?;680.0;1101.0
-942.0;-684.0;-924.0;1019.0;-473.0;5;-1161.0;339.0;-1130.0;503.0;1091.0
-912.0;-721.0;-960.0;1058.0;-615.0;?;-1094.0;-19.0;-1074.0;515.0;1032.0
-659.0;-678.0;-944.0;1046.0;-690.0;5;-1019.0;5.0;-1075.0;571.0;898.0
-554.0;-641.0;-1044.0;1027.0;-827.0;5;-947.0;309.0;-944.0;641.0;705.0
-356.0;-409.0;-840.0;1001.0;-923.0;5;?;330.0;-690.0;765.0;562.0
-333.0;-264.0;-881.0;1018.0;-843.0;5;-891.0;554.0;-534.0;807.0;549.0
-256.0;-171.0;-757.0;?;-710.0;5;-883.0;833.0;-489.0;932.0;593.0
-291.0;-255.0;-800.0;1041.0;-684.0;5;-765.0;585.0;-522.0;802.0;667.0
-327.0;-337.0;-764.0;1031.0;-662.0;5;-789.0;?;?;684.0;755.0
-388.0;-423.0;-809.0;1041.0;-698.0;5;-829.0;358.0;-695.0;685.0;810.0
-519.0;-455.0;-832.0;1012.0;-710.0;5;-900.0;315.0;-771.0;787.0;856.0
-620.0;-435.0;-870.0;994.0;-770.0;5;-968.0;370.0;?;644.0;911.0
-656.0;-483.0;-849.0;1013.0;-831.0;5;-1046.0;420.0;-906.0;704.0;881.0
-296.0;-637.0;?;1042.0;-413.0;5;-542.0;70.0;-746.0;471.0;778.0
-240.0;-637.0;-921.0;1000.0;-465.0;5;-550.0;49.0;-694.0;449.0;737.0
-181.0;-595.0;-875.0;1038.0;-508.0;5;-502.0;49.0;-694.0;451.0;669.0
-166.0;-532.0;-921.0;1041.0;-548.0;5;-505.0;87.0;-611.0;572.0;647.0
-136.0;-490.0;-902.0;1052.0;-625.0;5;-504.0;156.0;-548.0;684.0;606.0
-130.0;-450.0;-919.0;1055.0;-665.0;5;-515.0;245.0;-499.0;688.0;605.0
-52.0;-417.0;-867.0;1019.0;-714.0;5;-531.0;408.0;-503.0;693.0;?
-17.0;-400.0;-873.0;1018.0;-789.0;5;-565.0;548.0;-494.0;808.0;519.0
?;-316.0;-876.0;?;-807.0;5;-611.0;551.0;-423.0;765.0;?
-32.0;-282.0;-824.0;1019.0;-911.0;5;?;553.0;-391.0;881.0;462.0
-68.0;-233.0;-778.0;1008.0;-952.0;5;-674.0;700.0;-455.0;873.0;427.0
-166.0;-184.0;-748.0;1014.0;?;5;-769.0;781.0;?;945.0;433.0
-287.0;-160.0;-707.0;1029.0;-1035.0;5;-871.0;?;-391.0;932.0;383.0
-360.0;-92.0;-653.0;1022.0;-1166.0;5;-952.0;883.0;-360.0;942.0;295.0
-549.0;-50.0;-582.0;1024.0;-1339.0;?;-997.0;961.0;-288.0;1095.0;144.0
-592.0;70.0;-523.0;994.0;-1350.0;5;-1139.0;1318.0;-195.0;1182.0;-26.0
-575.0;94.0;-120.0;1028.0;-1468.0;5;?;?;11.0;1269.0;-69.0
-645.0;251.0;-142.0;1038.0;-1397.0;5;-1132.0;1715.0;153.0;1438.0;7.0
-613.0;206.0;-11.0;983.0;-1161.0;5;-1284.0;1918.0;157.0;1456.0;243.0
-489.0;91.0;101.0;1031.0;-932.0;5;-1172.0;1658.0;5.0;1152.0;618.0
-651.0;-139.0;54.0;1049.0;-655.0;5;-1257.0;1201.0;-474.0;733.0;878.0
-843.0;-348.0;-328.0;1040.0;-491.0;5;-1313.0;503.0;-896.0;435.0;1137.0
-973.0;-530.0;?;1028.0;-419.0;5;-1399.0;187.0;-1193.0;?;1186.0
-994.0;-786.0;-555.0;1038.0;-763.0;5;-1193.0;-78.0;-1221.0;343.0;1077.0
-822.0;-698.0;-881.0;1041.0;-981.0;5;-1123.0;-71.0;-1096.0;798.0;866.0
-533.0;-492.0;-968.0;997.0;-1066.0;5;-1120.0;266.0;-877.0;854.0;679.0
-361.0;-279.0;-985.0;989.0;-920.0;5;-1074.0;676.0;-696.0;1021.0;598.0
-256.0;-200.0;-879.0;997.0;-866.0;5;-971.0;676.0;-580.0;956.0;537.0
-237.0;-202.0;-788.0;1020.0;-854.0;5;-877.0;540.0;?;865.0;528.0
-307.0;-177.0;?;1021.0;-767.0;5;-869.0;618.0;-504.0;779.0;546.0
-270.0;-198.0;-757.0;1060.0;-753.0;5;-844.0;589.0;-510.0;781.0;574.0
-274.0;-217.0;-695.0;1059.0;-748.0;5;-824.0;377.0;?;829.0;594.0
-298.0;-248.0;-747.0;1023.0;-712.0;5;-823.0;385.0;-561.0;777.0;630.0
-284.0;-289.0;-759.0;1021.0;?;5;-834.0;416.0;-587.0;675.0;698.0
-382.0;-338.0;-772.0;1012.0;-652.0;5;?;336.0;-675.0;697.0;788.0
-454.0;-396.0;-785.0;1011.0;-694.0;5;-888.0;312.0;-773.0;679.0;849.0
-560.0;-478.0;-741.0;?;-868.0;5;-927.0;165.0;-827.0;641.0;900.0
-249.0;-708.0;-970.0;?;-358.0;5;-408.0;70.0;-696.0;408.0;799.0
-246.0;-644.0;?;1030.0;-376.0;5;-437.0;45.0;-698.0;492.0;822.0
-271.0;-697.0;-960.0;1049.0;-339.0;5;-511.0;152.0;-723.0;523.0;805.0
-218.0;-679.0;-953.0;1046.0;-385.0;5;-477.0;102.0;?;564.0;799.0
-206.0;-648.0;-911.0;1013.0;-365.0;5;-475.0;106.0;-689.0;428.0;789.0
-256.0;-638.0;-949.0;1037.0;-395.0;5;-492.0;?;-700.0;524.0;724.0
-206.0;-631.0;-904.0;1032.0;-408.0;5;-462.0;116.0;-681.0;501.0;666.0
-133.0;-545.0;-871.0;1011.0;-423.0;?;-455.0;176.0;?;488.0;615.0
-114.0;-496.0;?;1023.0;-446.0;5;-439.0;221.0;?;421.0;554.0
-53.0;-453.0;-782.0;1039.0;?;5;-439.0;304.0;-453.0;626.0;529.0
-68.0;-411.0;-732.0;?;-454.0;5;-424.0;271.0;-457.0;524.0;502.0
-64.0;-370.0;-716.0;1047.0;-487.0;5;-431.0;308.0;-429.0;530.0;558.0
-168.0;-407.0;-758.0;1029.0;-548.0;5;-507.0;278.0;-488.0;610.0;528.0
-186.0;?;-716.0;1039.0;-527.0;5;-590.0;310.0;-507.0;569.0;489.0
-166.0;-328.0;-564.0;1007.0;-593.0;?;-560.0;402.0;-401.0;536.0;500.0
-261.0;-321.0;-593.0;?;-642.0;5;-632.0;346.0;-409.0;575.0;435.0
-324.0;-290.0;-667.0;1033.0;-717.0;5;-723.0;393.0;-443.0;541.0;379.0
-327.0;-265.0;-460.0;1008.0;-691.0;5;-787.0;633.0;-304.0;599.0;336.0
-296.0;-195.0;-271.0;1026.0;-742.0;5;-794.0;573.0;?;684.0;257.0
-378.0;-182.0;-311.0;1018.0;-913.0;5;-785.0;460.0;-148.0;756.0;210.0
-407.0;-123.0;-266.0;999.0;-1047.0;5;-828.0;642.0;-48.0;798.0;186.0
-464.0;-79.0;-192.0;1028.0;-1210.0;5;-988.0;1028.0;-53.0;950.0;75.0
-356.0;29.0;-108.0;1022.0;-1415.0;5;-967.0;1049.0;?;1191.0;63.0
-273.0;179.0;-240.0;1011.0;-1307.0;?;-1071.0;1326.0;137.0;1239.0;135.0
?;152.0;-334.0;?;-1113.0;5;-1117.0;1525.0;?;1169.0;36.0
-351.0;121.0;-205.0;1010.0;-962.0;5;-1024.0;1352.0;117.0;1241.0;-17.0
-252.0;180.0;-44.0;1012.0;-1361.0;5;-845.0;1005.0;131.0;1063.0;-201.0
-310.0;297.0;-60.0;1023.0;-1141.0;5;-911.0;1216.0;262.0;1057.0;-229.0
-129.0;448.0;-25.0;1034.0;-875.0;5;-942.0;1479.0;383.0;1011.0;-358.0
68.0;433.0;122.0;1019.0;-786.0;?;?;1093.0;462.0;993.0;-503.0
-45.0;486.0;339.0;996.0;-914.0;5;-528.0;823.0;580.0;888.0;-671.0
-71.0;591.0;512.0;1006.0;-1001.0;5;-588.0;745.0;756.0;757.0;?
16.0;672.0;642.0;1016.0;-867.0;5;-525.0;1015.0;820.0;761.0;-676.0
94.0;707.0;785.0;1016.0;-800.0;5;-447.0;1146.0;?;658.0;-649.0
?;708.0;853.0;1006.0;-755.0;5;-355.0;1097.0;?;673.0;-700.0
53.0;731.0;828.0;1027.0;-718.0;5;-385.0;1129.0;818.0;557.0;-664.0
-51.0;760.0;768.0;1038.0;-767.0;5;-436.0;961.0;805.0;592.0;-701.0
-41.0;740.0;767.0;1034.0;-716.0;5;-430.0;766.0;809.0;655.0;-743.0
155.0;811.0;946.0;992.0;-526.0;5;-320.0;715.0;904.0;738.0;-765.0
109.0;777.0;1046.0;1031.0;-562.0;5;-307.0;761.0;879.0;556.0;-856.0
45.0;848.0;1064.0;1030.0;-507.0;5;-304.0;517.0;1028.0;557.0;-887.0
150.0;899.0;1089.0;1031.0;-431.0;5;-217.0;601.0;1038.0;497.0;-871.0
161.0;886.0;1028.0;1016.0;-394.0;5;-150.0;577.0;1007.0;441.0;-879.0
185.0;?;985.0;1015.0;-418.0;5;-86.0;414.0;967.0;378.0;-905.0
141.0;885.0;1039.0;1033.0;-403.0;?;-126.0;353.0;?;409.0;-932.0
92.0;938.0;1086.0;1026.0;-357.0;5;-121.0;357.0;1023.0;263.0;-1001.0
113.0;987.0;1042.0;1015.0;?;5;-119.0;375.0;1059.0;325.0;-978.0
243.0;1022.0;1132.0;1011.0;-365.0;5;28.0;308.0;1117.0;298.0;-940.0
166.0;965.0;1132.0;?;-290.0;5;10.0;363.0;1057.0;321.0;-1006.0
178.0;1009.0;1187.0;1030.0;-241.0;5;-56.0;370.0;1093.0;310.0;-989.0
162.0;1021.0;?;?;?;?;-32.0;288.0;1088.0;281.0;-993.0
?;990.0;1132.0;1012.0;?;5;-10.0;263.0;?;216.0;?
56.0;970.0;1092.0;1017.0;-218.0;5;-30.0;?;1051.0;229.0;-960.0
67.0;962.0;1093.0;1032.0;-241.0;5;-39.0;140.0;1016.0;197.0;-954.0
57.0;971.0;1098.0;1001.0;-276.0;5;-52.0;226.0;997.0;183.0;-943.0
44.0;956.0;1065.0;1031.0;-311.0;5;-86.0;247.0;991.0;212.0;-938.0
11.0;958.0;1023.0;1019.0;-338.0;5;-125.0;223.0;980.0;220.0;?
11.0;964.0;1003.0;1011.0;-347.0;5;-139.0;?;980.0;277.0;-906.0
-31.0;936.0;985.0;1012.0;-358.0;5;-172.0;303.0;969.0;199.0;-920.0
18.0;949.0;986.0;1022.0;-336.0;5;-173.0;318.0;952.0;298.0;-924.0
26.0;947.0;988.0;1021.0;-343.0;5;-146.0;338.0;975.0;261.0;-929.0
44.0;939.0;?;1031.0;-324.0;5;-137.0;313.0;987.0;265.0;-939.0
79.0;956.0;1040.0;1009.0;-320.0;4;-109.0;?;993.0;244.0;-929.0
59.0;956.0;1009.0;1031.0;-336.0;4;-113.0;286.0;992.0;259.0;-923.0
94.0;949.0;1015.0;1049.0;-351.0;4;-110.0;281.0;976.0;?;-922.0
136.0;961.0;991.0;1026.0;-350.0;4;-111.0;334.0;960.0;300.0;-933.0
33.0;969.0;995.0;1011.0;?;4;-179.0;350.0;977.0;239.0;-933.0
26.0;981.0;1006.0;1012.0;-325.0;4;-194.0;312.0;975.0;299.0;-914.0
35.0;931.0;996.0;1016.0;-298.0;4;-143.0;292.0;950.0;190.0;-892.0
111.0;924.0;978.0;1058.0;-260.0;4;-116.0;289.0;940.0;219.0;-899.0
75.0;912.0;987.0;1041.0;-231.0;4;-114.0;258.0;921.0;?;-949.0
83.0;934.0;990.0;1070.0;-220.0;4;-90.0;208.0;961.0;241.0;-971.0
157.0;969.0;1028.0;1057.0;-258.0;4;-61.0;160.0;1014.0;156.0;-1019.0
172.0;1026.0;1079.0;1025.0;-309.0;4;-65.0;171.0;1044.0;167.0;-1022.0
166.0;1070.0;1102.0;999.0;-336.0;4;-78.0;247.0;?;181.0;-970.0
?;?;1066.0;996.0;-325.0;4;-88.0;341.0;973.0;265.0;-939.0
125.0;991.0;984.0;983.0;-313.0;4;-123.0;372.0;955.0;211.0;-939.0
119.0;985.0;1005.0;1033.0;-299.0;4;-115.0;340.0;955.0;217.0;-914.0
106.0;966.0;986.0;1069.0;-303.0;4;-103.0;317.0;926.0;210.0;-939.0
86.0;965.0;960.0;1063.0;-304.0;4;-122.0;309.0;931.0;185.0;-992.0
133.0;1002.0;1009.0;1057.0;-283.0;5;?;292.0;1004.0;186.0;-999.0
168.0;1035.0;1078.0;1018.0;?;5;-75.0;292.0;1029.0;258.0;-995.0
186.0;1038.0;?;982.0;-259.0;4;-30.0;284.0;?;213.0;-997.0
176.0;1029.0;1063.0;983.0;-228.0;?;-48.0;253.0;1046.0;198.0;-985.0
169.0;1009.0;1035.0;?;-195.0;4;-37.0;252.0;?;153.0;-983.0
