InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit BACK accY;InertialMeasurementUnit LUA accX;InertialMeasurementUnit RUA gyroY;Accelerometer LUA^ accY;Accelerometer RKN^ accX;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit LUA accZ;Accelerometer BACK accX
-6;-452.0;-937.0;-2993.0;1169.0;-79.0;-4176.0;189.0;40.0
-4;-341.0;-671.0;-2276.0;928.0;-117.0;-4487.0;40.0;-54.0
2;-154.0;-580.0;-2125.0;694.0;-150.0;-4445.0;-99.0;94.0
2;-196.0;-363.0;-1280.0;526.0;-146.0;-4464.0;-87.0;132.0
-4;-324.0;-476.0;-938.0;385.0;-85.0;-4681.0;-125.0;98.0
-10;-301.0;-573.0;-1565.0;296.0;11.0;-4035.0;-39.0;50.0
-1;?;-481.0;-515.0;316.0;3.0;-3749.0;282.0;-13.0
?;-173.0;-501.0;-875.0;278.0;-138.0;-3268.0;322.0;?
-7;-110.0;-475.0;-320.0;203.0;?;-2757.0;113.0;-5.0
1;-182.0;-558.0;-83.0;290.0;-57.0;-2024.0;129.0;45.0
9;-192.0;?;386.0;243.0;-121.0;-1254.0;38.0;60.0
-1;-193.0;-571.0;669.0;381.0;-62.0;-673.0;-83.0;58.0
1;-113.0;-349.0;57.0;273.0;?;?;-42.0;-28.0
7;-117.0;?;-3.0;289.0;-75.0;86.0;-10.0;-31.0
?;-131.0;-437.0;-174.0;323.0;-90.0;154.0;88.0;-26.0
-7;?;-463.0;-445.0;363.0;-122.0;329.0;158.0;-26.0
-7;-124.0;-503.0;-798.0;413.0;-101.0;337.0;201.0;-14.0
-3;?;-562.0;-1298.0;476.0;-70.0;290.0;215.0;-25.0
?;-103.0;-610.0;-1890.0;516.0;-85.0;463.0;166.0;-30.0
0;-140.0;-665.0;-2347.0;547.0;-140.0;756.0;126.0;0.0
5;-170.0;-615.0;-2575.0;594.0;-104.0;920.0;21.0;-20.0
3;-172.0;-647.0;-2812.0;552.0;-101.0;1022.0;-62.0;9.0
2;-205.0;-668.0;-3038.0;594.0;-82.0;1226.0;-58.0;31.0
1;-181.0;-700.0;-3075.0;637.0;-86.0;1234.0;-142.0;17.0
-2;-200.0;-735.0;-2996.0;678.0;-84.0;983.0;-260.0;32.0
2;-233.0;-729.0;-3140.0;?;-90.0;804.0;-186.0;9.0
4;-215.0;-760.0;-3001.0;694.0;-101.0;?;-292.0;1.0
?;-210.0;-770.0;-2807.0;738.0;-101.0;-277.0;-318.0;24.0
-1;-295.0;-764.0;-2805.0;794.0;-96.0;-685.0;-338.0;23.0
-6;-145.0;-693.0;-2817.0;674.0;-105.0;-1054.0;-379.0;57.0
-8;-275.0;-669.0;-2412.0;664.0;-78.0;-1598.0;-278.0;56.0
6;-220.0;-640.0;-2064.0;634.0;-102.0;-1933.0;-88.0;40.0
12;-224.0;-616.0;-1913.0;585.0;-42.0;-2052.0;-42.0;43.0
?;-187.0;-597.0;-1566.0;559.0;-100.0;-2107.0;-215.0;100.0
-3;-321.0;-694.0;-1276.0;552.0;-68.0;-1782.0;-229.0;184.0
4;-367.0;-748.0;-708.0;507.0;-97.0;-1216.0;-331.0;37.0
-6;-114.0;-612.0;-148.0;560.0;-105.0;-795.0;-351.0;65.0
-3;-190.0;-606.0;-9.0;476.0;-90.0;-282.0;-211.0;144.0
2;-292.0;?;131.0;449.0;-87.0;3.0;-202.0;136.0
2;-272.0;-722.0;340.0;509.0;-53.0;-20.0;-108.0;66.0
0;-236.0;-804.0;423.0;551.0;-30.0;-98.0;-50.0;122.0
?;-323.0;-780.0;444.0;625.0;-77.0;-70.0;-39.0;118.0
1;-279.0;-767.0;505.0;620.0;-122.0;20.0;-64.0;67.0
-3;-223.0;-746.0;360.0;601.0;-162.0;291.0;-89.0;71.0
-1;-244.0;-723.0;?;598.0;-132.0;393.0;-93.0;?
9;-301.0;-708.0;716.0;564.0;-138.0;371.0;-118.0;99.0
8;-261.0;?;?;532.0;-151.0;304.0;-172.0;95.0
?;-247.0;-663.0;1374.0;541.0;-92.0;155.0;-251.0;112.0
-1;-144.0;-374.0;58.0;356.0;-16.0;91.0;-85.0;-2.0
2;-141.0;?;50.0;346.0;-72.0;48.0;-71.0;15.0
?;-136.0;-398.0;15.0;329.0;-119.0;125.0;-63.0;-21.0
-1;-138.0;-413.0;1.0;359.0;-122.0;114.0;12.0;?
-5;-129.0;-449.0;-146.0;377.0;-65.0;220.0;?;-43.0
5;-135.0;-519.0;-401.0;418.0;-78.0;319.0;259.0;-10.0
7;-159.0;-642.0;-656.0;470.0;-117.0;131.0;384.0;-6.0
10;-156.0;?;-1247.0;585.0;-83.0;279.0;391.0;-16.0
6;-214.0;-731.0;-1982.0;665.0;-63.0;528.0;280.0;-17.0
-6;-158.0;-829.0;-2533.0;?;-68.0;421.0;164.0;20.0
-2;-176.0;-880.0;-2968.0;789.0;-121.0;318.0;54.0;-1.0
3;-259.0;-874.0;-3472.0;803.0;-88.0;450.0;-60.0;67.0
?;-168.0;-927.0;-3955.0;822.0;-77.0;355.0;-109.0;-20.0
-3;-211.0;-930.0;-3999.0;917.0;-63.0;86.0;-285.0;38.0
-3;?;-959.0;-3947.0;986.0;-112.0;-261.0;-369.0;26.0
-1;-237.0;-891.0;-4239.0;987.0;-98.0;-475.0;-316.0;3.0
1;-238.0;-940.0;-3716.0;975.0;-97.0;-1192.0;-395.0;36.0
2;-234.0;-820.0;-3192.0;1054.0;-84.0;-1874.0;-416.0;21.0
2;-247.0;-791.0;-2909.0;844.0;-53.0;-2192.0;-215.0;197.0
2;-352.0;-770.0;?;?;-66.0;-2574.0;-256.0;81.0
4;-196.0;-608.0;-1794.0;796.0;-52.0;?;-59.0;-3.0
7;-163.0;?;-1327.0;546.0;-92.0;-2321.0;58.0;114.0
1;-218.0;-746.0;-934.0;534.0;-100.0;?;-71.0;157.0
-4;-311.0;-767.0;-464.0;597.0;-109.0;-1131.0;-63.0;167.0
3;-205.0;-717.0;-28.0;598.0;-75.0;-756.0;-82.0;109.0
1;-278.0;?;50.0;597.0;?;-500.0;-183.0;178.0
-5;-366.0;?;53.0;578.0;-80.0;-270.0;?;184.0
1;?;-821.0;221.0;627.0;-81.0;-177.0;-18.0;153.0
?;-315.0;-816.0;103.0;671.0;-102.0;-15.0;30.0;135.0
5;-299.0;-830.0;154.0;659.0;-82.0;-7.0;52.0;136.0
?;-287.0;?;?;684.0;-74.0;-24.0;-8.0;162.0
5;-311.0;-758.0;311.0;627.0;-80.0;-31.0;-64.0;165.0
1;?;-700.0;628.0;622.0;-122.0;30.0;-102.0;145.0
7;-225.0;-618.0;868.0;576.0;-102.0;220.0;-159.0;142.0
-7;-185.0;-670.0;1061.0;492.0;-82.0;441.0;-299.0;94.0
-23;-237.0;-776.0;1652.0;535.0;-125.0;395.0;-528.0;145.0
2;-185.0;-462.0;92.0;393.0;-80.0;-115.0;76.0;0.0
2;-185.0;-467.0;156.0;384.0;-56.0;-114.0;74.0;11.0
-6;-188.0;-471.0;174.0;400.0;-47.0;-53.0;104.0;18.0
1;-195.0;-473.0;116.0;400.0;-111.0;-75.0;103.0;8.0
4;-193.0;-465.0;30.0;407.0;-115.0;-22.0;113.0;1.0
-5;-189.0;-477.0;-109.0;393.0;-96.0;3.0;198.0;34.0
-5;-200.0;-512.0;-411.0;417.0;-107.0;-34.0;234.0;57.0
-4;-213.0;-591.0;-847.0;462.0;-100.0;-33.0;328.0;22.0
-3;-180.0;-717.0;-1371.0;540.0;-97.0;-124.0;424.0;17.0
-1;-214.0;-807.0;-1933.0;654.0;-112.0;-129.0;378.0;56.0
2;-215.0;-794.0;-2527.0;692.0;-80.0;-2.0;345.0;24.0
?;-225.0;-872.0;-2985.0;720.0;-96.0;-96.0;144.0;65.0
-5;-243.0;-921.0;-3497.0;842.0;-92.0;-180.0;26.0;33.0
-4;-214.0;-899.0;-4063.0;893.0;-98.0;-51.0;-103.0;70.0
7;?;-967.0;-4076.0;887.0;-101.0;-1.0;-277.0;35.0
7;-187.0;-969.0;-4206.0;1020.0;-100.0;-33.0;-487.0;73.0
-4;-275.0;-918.0;-4346.0;?;-100.0;-79.0;-443.0;57.0
-3;-289.0;-922.0;-4153.0;1059.0;-101.0;-533.0;-548.0;119.0
4;-328.0;-922.0;-3742.0;?;-97.0;-990.0;-456.0;191.0
-4;-333.0;-821.0;-3309.0;968.0;-93.0;-1297.0;-274.0;113.0
-2;?;-757.0;-2732.0;881.0;-96.0;-1550.0;-109.0;96.0
4;-170.0;-662.0;-2385.0;780.0;-77.0;-1420.0;-69.0;25.0
1;-156.0;-657.0;-1845.0;628.0;-83.0;-1112.0;-176.0;120.0
5;-266.0;-602.0;-1096.0;528.0;-102.0;-965.0;-413.0;246.0
4;-229.0;-754.0;-343.0;468.0;-102.0;-906.0;-360.0;211.0
0;-311.0;-669.0;335.0;523.0;-82.0;-862.0;-184.0;125.0
2;-253.0;-747.0;714.0;499.0;-73.0;-469.0;21.0;152.0
4;-302.0;-827.0;824.0;552.0;-69.0;-150.0;85.0;?
?;-284.0;-865.0;?;680.0;-84.0;47.0;?;123.0
-3;-276.0;-839.0;503.0;702.0;-118.0;113.0;34.0;117.0
4;-298.0;-816.0;470.0;720.0;-111.0;33.0;38.0;107.0
5;-273.0;-809.0;485.0;662.0;-110.0;67.0;14.0;96.0
-1;-238.0;-766.0;409.0;641.0;-89.0;316.0;7.0;106.0
?;-261.0;-732.0;624.0;601.0;-105.0;368.0;-100.0;128.0
-1;-248.0;-689.0;953.0;581.0;-126.0;467.0;-197.0;155.0
-4;-268.0;?;1496.0;541.0;-83.0;474.0;-207.0;140.0
-4;-275.0;-692.0;2147.0;562.0;-83.0;428.0;-285.0;144.0
-7;-218.0;-500.0;-55.0;424.0;-58.0;88.0;124.0;56.0
-4;-213.0;-496.0;-126.0;464.0;-38.0;212.0;139.0;49.0
2;-216.0;-504.0;-217.0;445.0;-95.0;214.0;153.0;40.0
5;-207.0;-544.0;-301.0;442.0;-141.0;-53.0;166.0;0.0
3;-204.0;-567.0;-390.0;475.0;-98.0;-317.0;?;40.0
2;-215.0;-633.0;?;537.0;-94.0;-290.0;262.0;36.0
-2;-212.0;-661.0;-1200.0;563.0;-124.0;-218.0;256.0;40.0
-4;-203.0;?;-1782.0;611.0;-128.0;-281.0;275.0;34.0
-3;-223.0;-734.0;-2418.0;710.0;-82.0;-245.0;312.0;?
-4;-229.0;-753.0;-2975.0;694.0;-66.0;-97.0;241.0;79.0
-4;-230.0;-824.0;-3693.0;773.0;-76.0;29.0;114.0;44.0
-2;-246.0;-871.0;-4030.0;815.0;-82.0;-48.0;22.0;57.0
1;-268.0;-925.0;-4089.0;882.0;-104.0;-284.0;-126.0;19.0
-6;-267.0;-868.0;-4233.0;889.0;-99.0;-627.0;-316.0;35.0
-7;-287.0;-994.0;-4119.0;888.0;-89.0;-1009.0;-434.0;88.0
2;-365.0;-980.0;-3870.0;984.0;?;-1273.0;-477.0;105.0
0;-252.0;-795.0;-3816.0;1007.0;-93.0;-1541.0;-576.0;92.0
1;-205.0;-703.0;-3356.0;839.0;-128.0;-1668.0;-405.0;?
5;-135.0;-621.0;-2858.0;766.0;-113.0;-1907.0;-154.0;81.0
-1;?;-675.0;-2497.0;657.0;-90.0;-1758.0;-11.0;164.0
-12;-201.0;-762.0;-1939.0;581.0;-99.0;-1238.0;-270.0;225.0
-7;-504.0;-834.0;-1121.0;640.0;-91.0;-696.0;?;208.0
3;-182.0;-551.0;-577.0;644.0;-98.0;-105.0;-465.0;143.0
0;-259.0;-695.0;25.0;408.0;-93.0;-84.0;-334.0;186.0
0;-321.0;-794.0;515.0;544.0;-95.0;-220.0;-140.0;197.0
1;-375.0;-925.0;666.0;?;-102.0;-124.0;-8.0;133.0
-4;-220.0;-888.0;544.0;762.0;-108.0;128.0;78.0;110.0
-2;-320.0;-918.0;522.0;734.0;-56.0;81.0;69.0;?
0;-263.0;-850.0;319.0;757.0;-95.0;72.0;-17.0;85.0
-1;-251.0;-897.0;164.0;715.0;-98.0;-11.0;29.0;127.0
2;-290.0;-850.0;124.0;749.0;-146.0;-50.0;44.0;110.0
-3;-251.0;-851.0;14.0;717.0;-128.0;-51.0;34.0;111.0
?;-282.0;-845.0;-82.0;681.0;-143.0;-29.0;74.0;133.0
-9;-280.0;-767.0;?;685.0;-154.0;86.0;-19.0;143.0
-9;-293.0;-751.0;49.0;597.0;-132.0;272.0;-53.0;144.0
-8;-282.0;-713.0;410.0;597.0;?;357.0;-128.0;?
-15;-252.0;-631.0;885.0;548.0;-62.0;380.0;-237.0;175.0
-1;-208.0;-395.0;249.0;318.0;-114.0;-128.0;121.0;?
-2;-205.0;-400.0;252.0;335.0;-54.0;-90.0;125.0;31.0
-10;-200.0;-410.0;197.0;359.0;-89.0;-56.0;161.0;39.0
-2;-215.0;-428.0;90.0;366.0;-119.0;30.0;163.0;39.0
?;-208.0;-435.0;66.0;405.0;-75.0;83.0;139.0;?
-5;-214.0;-441.0;40.0;390.0;-77.0;74.0;151.0;39.0
-2;-206.0;-473.0;-81.0;390.0;-100.0;59.0;220.0;-10.0
0;-198.0;-492.0;-244.0;409.0;-100.0;-62.0;209.0;49.0
-3;-234.0;-552.0;-526.0;433.0;-96.0;-168.0;257.0;1.0
-2;-203.0;-555.0;-748.0;496.0;-52.0;-235.0;230.0;43.0
0;-210.0;-584.0;-969.0;489.0;-81.0;-411.0;227.0;52.0
0;-212.0;-675.0;-1324.0;517.0;-89.0;-417.0;132.0;19.0
-2;-221.0;-700.0;-1606.0;648.0;-120.0;-256.0;189.0;70.0
-4;-234.0;-664.0;-1874.0;588.0;-81.0;-92.0;149.0;33.0
-4;-226.0;-736.0;-1914.0;621.0;-98.0;101.0;52.0;78.0
-5;-265.0;-793.0;-2078.0;692.0;-100.0;?;-1.0;67.0
-5;-262.0;-808.0;-2242.0;731.0;-91.0;568.0;15.0;73.0
-6;-223.0;-811.0;-2135.0;761.0;-68.0;856.0;44.0;38.0
-4;?;-844.0;-1791.0;?;-95.0;895.0;-51.0;46.0
-7;-227.0;-837.0;?;821.0;-132.0;749.0;-87.0;62.0
-4;-272.0;?;-1603.0;793.0;-105.0;911.0;-71.0;86.0
3;-236.0;-824.0;-1751.0;881.0;-99.0;1162.0;-19.0;59.0
-5;-244.0;?;-1429.0;767.0;-100.0;1167.0;77.0;?
-2;-257.0;-881.0;-962.0;843.0;-110.0;1062.0;80.0;75.0
2;-225.0;-802.0;-836.0;924.0;-106.0;1114.0;84.0;71.0
-4;-256.0;?;-496.0;734.0;-72.0;1320.0;128.0;94.0
3;-245.0;-737.0;-244.0;759.0;-105.0;1441.0;62.0;44.0
4;-200.0;-807.0;-92.0;801.0;-109.0;1335.0;109.0;67.0
1;-259.0;-876.0;114.0;821.0;-107.0;1145.0;232.0;98.0
0;?;-846.0;201.0;839.0;-80.0;953.0;198.0;98.0
-2;-266.0;-795.0;305.0;800.0;-90.0;823.0;235.0;85.0
0;-235.0;-827.0;300.0;795.0;-105.0;851.0;189.0;107.0
0;-280.0;-869.0;202.0;802.0;-114.0;1064.0;229.0;96.0
2;-263.0;-889.0;374.0;830.0;-93.0;1355.0;302.0;92.0
1;-246.0;-929.0;483.0;869.0;-104.0;1717.0;290.0;82.0
-1;-230.0;-856.0;?;925.0;-97.0;1946.0;198.0;91.0
0;-241.0;-826.0;?;868.0;-94.0;1977.0;65.0;107.0
0;-265.0;-899.0;?;899.0;-121.0;1795.0;101.0;?
0;-285.0;-911.0;783.0;978.0;-91.0;1514.0;212.0;127.0
0;-272.0;?;808.0;926.0;-101.0;1297.0;197.0;131.0
0;-282.0;-986.0;709.0;968.0;-109.0;1115.0;185.0;108.0
5;-293.0;-962.0;738.0;1039.0;?;904.0;154.0;109.0
8;-259.0;-951.0;538.0;992.0;-109.0;685.0;179.0;105.0
5;-276.0;-994.0;554.0;1009.0;-99.0;572.0;155.0;135.0
2;-279.0;-986.0;493.0;1002.0;-100.0;455.0;138.0;114.0
-5;-286.0;-1029.0;423.0;996.0;-104.0;377.0;95.0;143.0
-7;-287.0;-1040.0;317.0;1077.0;-110.0;252.0;54.0;93.0
6;-255.0;-1023.0;301.0;1062.0;-120.0;151.0;126.0;115.0
?;-271.0;-1017.0;235.0;1059.0;-131.0;113.0;85.0;137.0
0;-279.0;-1100.0;159.0;?;-98.0;116.0;124.0;106.0
8;-269.0;-1019.0;49.0;1081.0;-87.0;99.0;?;108.0
2;-268.0;-1006.0;19.0;1077.0;-98.0;59.0;-11.0;104.0
-2;-278.0;-996.0;-32.0;1029.0;-117.0;34.0;9.0;125.0
0;-281.0;-1008.0;-73.0;1006.0;-123.0;16.0;13.0;115.0
-4;-283.0;?;-80.0;1016.0;-100.0;?;17.0;134.0
1;-294.0;-1000.0;-51.0;1025.0;-131.0;-23.0;-6.0;115.0
3;-297.0;?;-43.0;1024.0;-97.0;-30.0;5.0;141.0
-4;-289.0;-985.0;-31.0;1012.0;-93.0;-68.0;3.0;139.0
5;-299.0;-1001.0;-45.0;1007.0;-99.0;-45.0;14.0;139.0
22;-299.0;-1000.0;-64.0;1015.0;-101.0;-26.0;24.0;141.0
?;-299.0;-1007.0;-102.0;998.0;-80.0;5.0;40.0;139.0
-28;-309.0;-1014.0;-123.0;1001.0;-98.0;69.0;?;167.0
-132;-316.0;-1015.0;-162.0;1008.0;-112.0;65.0;53.0;169.0
-293;-314.0;-1001.0;-199.0;1029.0;-86.0;67.0;67.0;161.0
-40;-316.0;-1008.0;-220.0;1024.0;-118.0;66.0;87.0;161.0
18;-311.0;-1011.0;-294.0;1016.0;-114.0;71.0;62.0;135.0
?;-306.0;?;-305.0;1043.0;-103.0;60.0;?;158.0
145;-298.0;-969.0;-341.0;1021.0;-92.0;89.0;43.0;156.0
?;-280.0;-948.0;-373.0;?;-96.0;63.0;60.0;153.0
16;-279.0;-944.0;-371.0;949.0;-111.0;98.0;60.0;134.0
63;-267.0;-962.0;?;959.0;-90.0;96.0;55.0;107.0
31;-260.0;-1000.0;-277.0;970.0;-110.0;107.0;?;124.0
57;-278.0;-1040.0;-296.0;1011.0;-109.0;62.0;102.0;117.0
60;-257.0;-1038.0;?;1039.0;-101.0;56.0;100.0;121.0
9;-251.0;-996.0;-307.0;1035.0;-111.0;29.0;82.0;105.0
-32;-249.0;-970.0;-274.0;995.0;?;-40.0;74.0;115.0
27;-242.0;-964.0;-320.0;981.0;-129.0;-71.0;77.0;100.0
10;-231.0;-943.0;?;954.0;-322.0;-112.0;75.0;93.0
-35;-232.0;-961.0;-266.0;936.0;?;-116.0;64.0;105.0
-23;-236.0;-1003.0;-215.0;979.0;-42.0;-56.0;83.0;92.0
-14;-239.0;-999.0;-193.0;995.0;-75.0;-54.0;104.0;92.0
22;-237.0;-993.0;-163.0;987.0;-56.0;4.0;124.0;90.0
-48;-218.0;-985.0;-108.0;1009.0;-149.0;-16.0;109.0;?
64;-194.0;-968.0;-77.0;980.0;?;-39.0;100.0;67.0
-29;-203.0;-957.0;-116.0;979.0;-148.0;-51.0;102.0;85.0
18;-212.0;-961.0;-60.0;941.0;-136.0;-20.0;125.0;86.0
1247;-217.0;-967.0;15.0;959.0;-161.0;21.0;134.0;87.0
1025;-221.0;-969.0;29.0;948.0;-171.0;36.0;128.0;95.0
-1834;-213.0;?;66.0;938.0;-198.0;22.0;135.0;99.0
-3139;-224.0;-962.0;74.0;932.0;-205.0;33.0;132.0;117.0
-1371;-269.0;-954.0;100.0;950.0;-107.0;42.0;134.0;97.0
58;-208.0;-942.0;80.0;948.0;-163.0;31.0;130.0;84.0
-33;-209.0;-933.0;73.0;?;-146.0;-13.0;128.0;85.0
-102;-203.0;-951.0;77.0;914.0;?;-78.0;131.0;65.0
71;-277.0;-987.0;-53.0;970.0;-86.0;17.0;80.0;142.0
-11;-286.0;-996.0;-8.0;982.0;-41.0;42.0;88.0;153.0
-50;-277.0;-991.0;-39.0;997.0;-132.0;?;99.0;163.0
2;-284.0;?;-16.0;987.0;-187.0;92.0;101.0;162.0
-56;-291.0;-991.0;?;997.0;-191.0;29.0;105.0;141.0
-15;-286.0;-995.0;-52.0;997.0;-181.0;6.0;107.0;151.0
56;-304.0;-1020.0;-60.0;996.0;-143.0;50.0;94.0;171.0
61;-314.0;-1052.0;-91.0;1014.0;-118.0;22.0;104.0;165.0
11;-296.0;-1003.0;-100.0;1045.0;-162.0;25.0;133.0;170.0
6;-293.0;-952.0;-143.0;1006.0;-151.0;9.0;115.0;167.0
11;-288.0;-940.0;-148.0;949.0;-143.0;-42.0;88.0;169.0
-35;-291.0;-966.0;-163.0;949.0;-163.0;-58.0;82.0;168.0
7;-292.0;-983.0;?;979.0;-140.0;-61.0;98.0;164.0
61;-283.0;?;-171.0;994.0;-43.0;-96.0;111.0;144.0
2;-269.0;-973.0;-194.0;986.0;?;-141.0;97.0;139.0
?;-269.0;-962.0;-214.0;968.0;-298.0;-177.0;76.0;118.0
-39;-261.0;-963.0;-182.0;?;-174.0;-190.0;71.0;107.0
-131;-242.0;-976.0;-226.0;964.0;-142.0;-210.0;78.0;87.0
3;-228.0;-984.0;?;978.0;-105.0;-230.0;77.0;67.0
-22;-211.0;-988.0;-246.0;959.0;-136.0;-221.0;74.0;65.0
-64;-196.0;-972.0;-214.0;968.0;-132.0;-178.0;71.0;37.0
46;-192.0;-970.0;-206.0;937.0;-177.0;-63.0;69.0;49.0
-48;-187.0;-980.0;-207.0;946.0;-236.0;-157.0;64.0;31.0
-3;-172.0;-979.0;-166.0;964.0;-216.0;-136.0;72.0;17.0
65;-154.0;-965.0;-148.0;950.0;-184.0;-101.0;75.0;5.0
493;-152.0;-958.0;-109.0;955.0;-115.0;-42.0;75.0;0.0
736;-145.0;-977.0;-84.0;937.0;-148.0;-15.0;61.0;-1.0
-1853;-149.0;-991.0;-2.0;959.0;-163.0;28.0;79.0;10.0
-2364;-153.0;-993.0;42.0;976.0;-152.0;87.0;111.0;28.0
261;-162.0;?;81.0;991.0;-211.0;128.0;114.0;28.0
128;-166.0;-973.0;132.0;971.0;-244.0;188.0;87.0;36.0
-100;-174.0;-965.0;149.0;963.0;-141.0;141.0;81.0;?
253;-152.0;-944.0;152.0;941.0;-141.0;127.0;81.0;38.0
-50;-144.0;-924.0;163.0;942.0;-158.0;110.0;71.0;29.0
76;-150.0;-913.0;?;912.0;-135.0;64.0;65.0;-12.0
39;-178.0;-908.0;228.0;903.0;-158.0;78.0;72.0;?
43;-60.0;-789.0;285.0;902.0;-161.0;173.0;150.0;32.0
55;-132.0;-782.0;401.0;755.0;-157.0;195.0;101.0;296.0
22;-624.0;-1369.0;400.0;816.0;-140.0;203.0;1.0;440.0
45;-474.0;-1444.0;332.0;1451.0;-114.0;63.0;371.0;256.0
34;-415.0;-1134.0;368.0;1345.0;-354.0;315.0;?;274.0
25;-316.0;-842.0;72.0;1103.0;-273.0;?;218.0;214.0
32;-293.0;-735.0;85.0;?;?;152.0;82.0;215.0
28;-269.0;-742.0;231.0;743.0;493.0;94.0;6.0;209.0
37;-351.0;-905.0;255.0;784.0;801.0;135.0;32.0;214.0
?;-349.0;-1016.0;227.0;932.0;-472.0;180.0;198.0;202.0
46;-327.0;-1010.0;110.0;987.0;-167.0;220.0;257.0;231.0
40;-340.0;-980.0;65.0;971.0;-120.0;74.0;169.0;207.0
22;-335.0;-972.0;65.0;975.0;-176.0;-89.0;112.0;184.0
44;-318.0;-962.0;22.0;971.0;-92.0;-153.0;100.0;183.0
-85;-319.0;-962.0;-48.0;959.0;-150.0;-133.0;?;193.0
-135;-308.0;-973.0;?;967.0;-236.0;?;135.0;188.0
-24;-311.0;-986.0;-144.0;959.0;-171.0;-154.0;112.0;161.0
-29;-302.0;-992.0;?;972.0;-91.0;-167.0;79.0;160.0
-14;-290.0;-971.0;-190.0;993.0;-66.0;-193.0;77.0;122.0
3;-254.0;-968.0;-154.0;955.0;-190.0;-161.0;93.0;123.0
