InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accZ;Accelerometer RKN_ accZ;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit R-SHOE Body_Ax;Accelerometer RKN_ accY;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;Accelerometer RKN_ accX
-799;596.0;-80.0;5;25;-32;-271;924.0;0;74;-32;265.0
-808;627.0;-16.0;15;20;-20;-279;872.0;100;74;-20;395.0
-808;50.0;-465.0;120;18;-22;-217;755.0;2;71;-22;466.0
-835;610.0;-62.0;8;19;4;-258;959.0;0;61;4;199.0
-787;891.0;-225.0;-4;18;8;-253;873.0;-5;74;8;365.0
-826;593.0;-70.0;8;19;-1;-263;953.0;-6;66;-1;183.0
-822;297.0;-41.0;74;16;6;-245;915.0;-1;68;6;336.0
-827;572.0;30.0;21;16;-7;-258;950.0;2;63;-7;252.0
-814;545.0;7.0;21;16;19;-266;947.0;-14;68;19;265.0
-819;481.0;81.0;50;20;2;-266;912.0;-5;67;2;335.0
-812;582.0;11.0;21;16;-22;-276;947.0;-25;73;-22;277.0
-824;481.0;70.0;19;21;-28;-263;918.0;61;67;-28;338.0
-837;339.0;-130.0;-10;15;-79;-122;812.0;94;89;-79;589.0
-793;585.0;15.0;-5;24;-26;-263;922.0;-23;67;-26;250.0
-785;551.0;-60.0;-5;24;-34;-235;942.0;8;78;-34;282.0
-815;438.0;37.0;-22;13;-8;-291;941.0;1;70;-8;250.0
-816;542.0;-82.0;21;16;-22;-276;960.0;-33;65;-22;299.0
-786;521.0;-31.0;-5;24;-2;-241;921.0;1;78;-2;301.0
-791;539.0;-32.0;-5;24;-12;-238;917.0;6;74;-12;311.0
-791;565.0;-16.0;-5;24;46;-246;943.0;0;71;46;276.0
-809;559.0;-43.0;21;16;-3;-275;917.0;-33;75;-3;305.0
-812;883.0;334.0;10;40;7;-261;1541.0;-7;132;7;60.0
-794;660.0;-152.0;24;19;-15;-294;945.0;-9;68;-15;225.0
-789;524.0;-22.0;-5;24;5;-239;929.0;7;77;5;289.0
-788;636.0;-159.0;24;19;-12;-302;947.0;-10;77;-12;230.0
-784;544.0;-32.0;-5;24;-5;-247;938.0;-3;81;-5;290.0
-783;525.0;-29.0;-5;24;-5;-256;951.0;-11;77;-5;300.0
-790;547.0;-39.0;-5;24;-14;-244;952.0;2;73;-14;284.0
-791;566.0;-40.0;-5;24;-16;-241;952.0;5;73;-16;290.0
-787;572.0;-20.0;-5;24;-14;-243;942.0;3;75;-14;300.0
-794;537.0;-43.0;-5;24;-6;-234;929.0;11;73;-6;312.0
-782;535.0;-46.0;-5;24;-7;-244;917.0;-1;81;-7;315.0
-800;662.0;-133.0;24;19;38;-291;951.0;4;73;38;165.0
-777;547.0;-35.0;-5;24;-19;-253;932.0;-8;75;-19;291.0
-781;535.0;-42.0;-5;24;-7;-243;922.0;1;76;-7;292.0
-770;505.0;-69.0;-6;24;-6;-245;926.0;-1;83;-6;330.0
-799;530.0;71.0;-155;17;-37;-298;903.0;29;67;-37;332.0
-798;685.0;-91.0;24;19;28;-285;962.0;8;74;28;209.0
-772;564.0;-49.0;-6;24;-1;-247;934.0;-2;81;-1;295.0
-768;525.0;-33.0;-6;24;21;-246;937.0;-1;84;21;304.0
-764;530.0;-71.0;-6;24;-1;-245;933.0;1;82;-1;309.0
-725;125.0;-244.0;76;15;-148;-238;806.0;-58;103;-148;485.0
-800;663.0;-98.0;24;20;12;-292;946.0;-3;65;12;191.0
-803;653.0;-69.0;21;16;304;-310;985.0;-13;48;304;91.0
-742;466.0;-43.0;-6;25;-28;-261;929.0;-10;88;-28;316.0
-750;494.0;-35.0;-6;25;11;-248;929.0;-2;81;11;309.0
-733;366.0;-89.0;93;19;114;-307;935.0;-17;89;114;327.0
-808;536.0;-99.0;23;18;-57;-285;942.0;-10;69;-57;213.0
-821;546.0;-133.0;2;19;6;-305;963.0;-27;69;6;150.0
-615;185.0;-186.0;99;24;83;-303;880.0;-13;97;83;376.0
-890;944.0;-92.0;25;15;119;-200;931.0;74;38;119;184.0
-735;506.0;-51.0;-6;25;31;-265;961.0;-14;85;31;282.0
-749;480.0;-21.0;-6;25;-6;-245;924.0;7;83;-6;291.0
-730;474.0;-37.0;-6;25;15;-257;930.0;-7;93;15;323.0
-813;526.0;-129.0;23;19;-6;-291;954.0;6;66;-6;244.0
-806;533.0;-114.0;23;19;-15;-300;957.0;-3;71;-15;258.0
-808;517.0;-123.0;152;29;55;-327;965.0;-48;73;55;247.0
-813;638.0;-111.0;23;19;42;-300;942.0;-1;63;42;281.0
-546;218.0;41.0;-25;34;144;-138;859.0;503;887;144;557.0
-206;311.0;-63.0;7;20;-305;166;909.0;-410;1037;-305;471.0
-811;605.0;-93.0;23;19;-10;-298;941.0;0;67;-10;253.0
-763;500.0;-30.0;-6;25;22;-251;923.0;1;79;22;336.0
-843;401.0;27.0;9;18;21;-233;895.0;15;62;21;383.0
-802;416.0;-22.0;19;16;-26;-296;923.0;-49;74;-26;337.0
-786;476.0;-49.0;-5;25;13;-244;933.0;0;80;13;321.0
-811;673.0;-96.0;23;19;10;-296;952.0;0;67;10;218.0
-807;497.0;-59.0;-5;25;11;-237;942.0;4;71;11;314.0
-839;243.0;6.0;4;18;105;-216;924.0;44;74;105;309.0
-766;484.0;-110.0;-9;19;175;-261;896.0;-40;72;175;421.0
-827;507.0;-61.0;-5;25;14;-230;933.0;12;61;14;317.0
-813;498.0;-46.0;-5;25;-14;-237;925.0;2;76;-14;306.0
-818;501.0;-45.0;-5;25;-9;-236;923.0;4;71;-9;313.0
-799;547.0;-74.0;-6;24;-65;-246;949.0;-10;69;-65;394.0
-821;489.0;-71.0;-5;25;3;-240;918.0;1;67;3;321.0
-820;418.0;-15.0;-54;-2;12;-252;900.0;34;65;12;337.0
-819;485.0;-66.0;-5;25;14;-248;931.0;-8;71;14;302.0
-805;511.0;-55.0;-5;26;-71;-248;933.0;-2;71;-71;298.0
-872;364.0;-115.0;13;13;-15;-189;920.0;12;49;-15;309.0
-824;492.0;-55.0;-5;25;36;-251;946.0;-5;59;36;301.0
-819;502.0;-62.0;-5;25;24;-250;939.0;-4;68;24;306.0
-822;497.0;-73.0;-5;25;-8;-245;946.0;1;68;-8;303.0
-816;634.0;-98.0;23;19;23;-296;940.0;3;63;23;220.0
-819;503.0;-60.0;-5;25;2;-245;950.0;0;71;2;309.0
-804;651.0;-28.0;23;19;-39;-301;971.0;5;69;-39;162.0
-817;497.0;-50.0;-5;25;1;-250;942.0;-4;70;1;291.0
-823;511.0;-49.0;-5;25;-36;-243;945.0;2;66;-36;290.0
-798;658.0;-85.0;23;19;-6;-301;962.0;-7;82;-6;223.0
-839;616.0;-90.0;22;21;-46;-319;952.0;18;35;-46;207.0
-813;638.0;-69.0;23;19;3;-288;958.0;8;70;3;191.0
-827;506.0;-39.0;-5;25;-28;-246;913.0;0;62;-28;306.0
-829;502.0;-48.0;-5;25;-13;-246;930.0;-1;60;-13;316.0
-821;499.0;-42.0;-5;25;17;-247;932.0;-5;70;17;309.0
-798;639.0;-50.0;23;19;-2;-289;952.0;2;82;-2;191.0
-804;653.0;-47.0;23;19;6;-309;971.0;-4;71;6;169.0
-808;631.0;-72.0;23;19;24;-301;960.0;1;69;24;196.0
-812;629.0;-86.0;23;19;-5;-308;963.0;-3;63;-5;207.0
-778;565.0;-57.0;21;17;65;-339;968.0;-26;79;65;136.0
-822;494.0;-48.0;-5;25;-34;-247;923.0;-6;66;-34;314.0
-810;608.0;-49.0;23;19;27;-290;932.0;-2;73;27;263.0
-816;606.0;-78.0;23;19;53;-280;927.0;8;68;53;237.0
-836;804.0;157.0;5;22;670;-369;1014.0;-39;17;670;25.0
-826;624.0;44.0;8;12;-23;-266;945.0;4;59;-23;215.0
-843;586.0;129.0;145;26;32;-224;921.0;-28;71;32;274.0
-813;494.0;-60.0;-5;25;-24;-247;933.0;-6;72;-24;317.0
-824;495.0;-61.0;-5;25;-7;-240;927.0;2;63;-7;304.0
-829;488.0;-34.0;-5;25;35;-233;940.0;11;60;35;284.0
-821;544.0;-11.0;25;16;-41;-255;838.0;-12;65;-41;463.0
-851;510.0;14.0;-53;3;152;-277;922.0;-35;49;152;284.0
-817;519.0;-45.0;-5;25;-4;-249;926.0;-9;73;-4;292.0
-821;510.0;-40.0;-5;25;-20;-249;937.0;-7;67;-20;295.0
-816;549.0;-48.0;-5;25;-23;-247;952.0;-5;72;-23;280.0
-819;554.0;-53.0;-5;25;37;-250;961.0;-3;65;37;257.0
-814;539.0;-55.0;-5;25;-32;-254;967.0;-10;72;-32;270.0
-829;515.0;-30.0;-5;25;23;-246;934.0;-4;63;23;291.0
-814;229.0;-96.0;3;22;-358;-258;870.0;75;74;-358;439.0
-819;505.0;-66.0;24;17;5;-256;960.0;-1;71;5;313.0
-805;531.0;-34.0;-5;26;-27;-249;937.0;-5;69;-27;289.0
-359;248.0;-493.0;27;48;1062;994;559.0;-396;1472;1062;752.0
-804;624.0;-64.0;24;17;-36;-278;924.0;-31;80;-36;359.0
-803;479.0;-167.0;-1;18;142;-245;916.0;3;75;142;279.0
-815;574.0;85.0;23;18;-49;-275;944.0;-9;65;-49;275.0
-827;582.0;19.0;24;17;9;-241;921.0;2;65;9;339.0
-806;526.0;-38.0;-5;26;12;-243;933.0;3;68;12;291.0
-802;527.0;-30.0;-5;26;7;-244;929.0;1;70;7;285.0
-799;532.0;-59.0;-5;26;5;-249;929.0;-2;71;5;293.0
-792;535.0;-62.0;-5;26;-10;-256;921.0;-9;74;-10;285.0
-787;543.0;-45.0;-5;26;-14;-258;922.0;-11;77;-14;279.0
-825;731.0;283.0;6;12;45;-245;882.0;3;67;45;421.0
-790;544.0;-39.0;-5;26;-4;-250;951.0;-1;73;-4;285.0
-840;797.0;7.0;5;25;15;-248;1070.0;50;60;15;271.0
-778;787.0;163.0;-11;25;-3981;-608;1201.0;147;-486;-3981;301.0
-803;502.0;-61.0;-5;26;5;-243;933.0;3;67;5;308.0
-819;583.0;-29.0;16;4;-41;-266;916.0;-57;72;-41;290.0
-789;518.0;-56.0;-5;26;-20;-249;932.0;-4;76;-20;298.0
-778;527.0;-25.0;-5;26;-17;-252;935.0;-3;80;-17;278.0
-781;517.0;-25.0;-5;26;44;-249;939.0;1;77;44;290.0
-832;486.0;12.0;29;43;-72;-306;871.0;-154;92;-72;386.0
-846;578.0;-110.0;1;17;20;-235;965.0;10;61;20;214.0
-850;577.0;-109.0;-5;18;-39;-216;940.0;-49;61;-39;246.0
-816;554.0;92.0;24;17;-49;-292;904.0;-30;64;-49;396.0
-820;577.0;1.0;16;3;-34;-258;887.0;-60;71;-34;319.0
-858;630.0;-139.0;1;15;-21;-211;940.0;21;53;-21;259.0
-695;541.0;87.0;-5;30;49;-303;952.0;2;100;49;161.0
-740;501.0;10.0;-5;28;14;-270;949.0;-13;95;14;253.0
-422;497.0;286.0;0;-60;-497;-250;945.0;106;1722;-497;171.0
-847;639.0;-145.0;1;15;53;-231;931.0;-4;63;53;248.0
-847;639.0;-146.0;1;16;11;-213;950.0;15;64;11;231.0
-848;630.0;-127.0;1;16;40;-224;963.0;6;61;40;238.0
-845;611.0;-141.0;1;16;9;-225;945.0;6;64;9;236.0
-790;438.0;-199.0;6;16;33;-111;866.0;103;148;33;383.0
-855;582.0;-41.0;17;19;54;-198;852.0;92;62;54;439.0
-749;494.0;-14.0;-6;25;35;-253;941.0;-8;81;35;296.0
-846;642.0;-147.0;1;16;11;-238;949.0;-6;60;11;227.0
-897;595.0;-128.0;2;20;-44;-124;1011.0;181;48;-44;163.0
-798;345.0;51.0;-174;26;15;-296;895.0;2;70;15;385.0
-778;224.0;-31.0;7;26;-70;-385;805.0;71;60;-70;510.0
-748;504.0;-32.0;-5;27;-14;-282;957.0;-7;84;-14;259.0
-752;544.0;-31.0;-5;27;30;-259;924.0;1;85;30;280.0
-839;631.0;-118.0;2;17;16;-244;946.0;9;65;16;234.0
-709;545.0;31.0;-5;29;-48;-303;969.0;15;86;-48;208.0
-773;463.0;-29.0;-174;26;-5;-274;956.0;3;89;-5;316.0
-762;515.0;-34.0;-5;27;-23;-265;954.0;5;81;-23;260.0
-835;601.0;-40.0;2;18;1;-276;970.0;0;60;1;209.0
-821;622.0;105.0;3;14;42;-268;946.0;-65;69;42;314.0
-828;639.0;-128.0;2;18;-1;-304;925.0;-31;63;-1;224.0
-773;499.0;-30.0;-5;27;-15;-261;946.0;-2;75;-15;255.0
-783;538.0;-40.0;-5;26;-2;-244;940.0;7;76;-2;269.0
-788;509.0;-44.0;-5;26;67;-246;919.0;23;62;67;301.0
-688;483.0;-116.0;-14;11;-2919;-204;771.0;-127;203;-2919;586.0
-787;494.0;-54.0;-5;26;26;-238;928.0;6;78;26;287.0
-769;502.0;-46.0;-5;27;11;-260;965.0;-1;79;11;251.0
-854;553.0;-83.0;1;19;-21;-275;953.0;18;46;-21;216.0
-765;511.0;-24.0;-5;26;-5;-263;949.0;-1;83;-5;270.0
-768;504.0;-56.0;-5;26;-34;-274;943.0;-2;77;-34;263.0
-765;503.0;-40.0;-5;26;-4;-269;922.0;-1;87;-4;283.0
-792;492.0;-48.0;-5;26;19;-255;937.0;-7;75;19;284.0
-836;621.0;-145.0;0;16;-22;-266;949.0;-21;61;-22;233.0
-844;640.0;-158.0;0;16;-27;-225;929.0;21;58;-27;241.0
-847;605.0;-158.0;0;16;-3;-230;944.0;14;58;-3;242.0
-843;633.0;-148.0;0;16;26;-233;951.0;7;62;26;236.0
-850;634.0;-166.0;0;16;-1;-235;960.0;6;58;-1;237.0
-845;613.0;-170.0;0;15;-6;-230;940.0;4;63;-6;244.0
-850;643.0;-163.0;0;15;7;-227;933.0;8;61;7;236.0
-794;514.0;-28.0;-5;26;-29;-257;949.0;-5;71;-29;283.0
-847;626.0;-169.0;0;15;3;-227;932.0;10;60;3;236.0
-849;647.0;-162.0;0;15;-6;-229;954.0;8;57;-6;237.0
-815;465.0;38.0;-167;12;-13;-264;953.0;-4;69;-13;249.0
-844;632.0;-155.0;0;15;-5;-229;919.0;8;65;-5;249.0
-843;635.0;-146.0;0;15;-12;-238;938.0;-1;64;-12;233.0
-816;437.0;10.0;-167;12;-6;-266;942.0;-1;67;-6;264.0
-552;489.0;-229.0;58;20;-181;585;1076.0;-1492;-490;-181;288.0
-985;387.0;-60.0;-181;26;111;-26;978.0;-277;84;111;393.0
-853;615.0;-142.0;0;16;26;-250;932.0;-8;49;26;252.0
-850;617.0;-181.0;0;16;21;-243;927.0;-3;58;21;246.0
-796;521.0;-41.0;-5;26;-9;-252;960.0;2;68;-9;291.0
-792;524.0;-41.0;-5;26;8;-256;948.0;-2;71;8;282.0
-779;843.0;-2.0;-1;22;-948;-192;956.0;127;74;-948;191.0
-844;644.0;-155.0;0;15;-23;-244;946.0;-5;64;-23;239.0
-846;634.0;-158.0;0;15;15;-255;932.0;-17;58;15;227.0
-848;642.0;-139.0;0;15;-4;-228;940.0;9;61;-4;235.0
-786;486.0;-34.0;-5;26;41;-250;927.0;-1;80;41;294.0
-823;557.0;-150.0;-3;21;1;-276;933.0;4;74;1;215.0
-854;642.0;-158.0;0;15;11;-233;940.0;3;56;11;227.0
-844;629.0;-153.0;0;15;29;-237;934.0;-3;67;29;236.0
-787;506.0;-24.0;-5;26;-10;-245;929.0;1;80;-10;302.0
-784;505.0;-42.0;-5;26;19;-249;941.0;0;80;19;308.0
-843;617.0;-153.0;-3;16;-29;-228;941.0;9;59;-29;229.0
-844;623.0;-146.0;0;15;5;-234;947.0;-2;65;5;240.0
-848;629.0;-170.0;0;15;-22;-234;932.0;0;61;-22;256.0
-845;665.0;-172.0;0;15;-26;-235;939.0;-2;64;-26;233.0
-841;626.0;-156.0;0;15;6;-230;936.0;2;68;6;239.0
-847;632.0;-171.0;0;15;21;-235;940.0;-2;59;21;232.0
-844;652.0;-155.0;0;15;-5;-231;942.0;1;65;-5;237.0
-848;626.0;-140.0;0;15;-11;-230;942.0;2;62;-11;227.0
-844;636.0;-182.0;0;15;27;-229;933.0;1;66;27;245.0
-840;639.0;-168.0;0;15;24;-232;932.0;-4;70;24;234.0
-842;623.0;-175.0;0;15;26;-227;932.0;1;68;26;239.0
-853;639.0;-163.0;0;15;-19;-228;934.0;3;54;-19;241.0
-840;638.0;-150.0;-3;16;1;-233;952.0;-2;63;1;218.0
-838;609.0;-170.0;-3;16;7;-235;942.0;-2;64;7;227.0
-839;655.0;-148.0;0;16;53;-241;945.0;-8;69;53;236.0
-840;640.0;-172.0;0;16;19;-242;941.0;-4;66;19;243.0
-836;635.0;-162.0;0;16;29;-241;942.0;-5;72;29;236.0
-848;624.0;-141.0;0;16;19;-239;952.0;1;60;19;245.0
-838;617.0;-151.0;-3;16;-11;-234;933.0;3;63;-11;236.0
-838;608.0;-146.0;-3;16;-23;-228;946.0;-4;68;-23;214.0
-836;623.0;-167.0;-3;16;-7;-232;922.0;-1;67;-7;219.0
-833;588.0;-5.0;73;16;0;-238;902.0;50;71;0;249.0
-785;500.0;-47.0;-5;26;40;-248;932.0;-2;81;40;293.0
-853;628.0;-171.0;0;15;-6;-219;921.0;9;53;-6;255.0
-844;621.0;-147.0;-3;16;-11;-221;932.0;8;62;-11;220.0
-823;-507.0;-54.0;32;26;37;-285;1389.0;-41;27;37;378.0
-834;599.0;-176.0;-3;16;-11;-234;959.0;-2;63;-11;243.0
-842;604.0;-183.0;-3;16;-21;-240;926.0;-6;57;-21;253.0
-852;629.0;-151.0;0;15;11;-213;943.0;0;59;11;236.0
-834;564.0;-165.0;-3;16;32;-231;943.0;3;62;32;252.0
-837;604.0;-183.0;-3;16;17;-233;931.0;0;64;17;269.0
-854;625.0;-183.0;0;15;-26;-218;914.0;-7;55;-26;265.0
-858;637.0;-151.0;0;14;-31;-211;927.0;0;52;-31;250.0
-838;584.0;-166.0;-3;16;20;-229;934.0;4;61;20;243.0
-835;591.0;-171.0;-3;16;25;-234;961.0;-4;65;25;254.0
-833;589.0;-170.0;-3;16;9;-228;934.0;2;67;9;261.0
-837;591.0;-161.0;-3;16;0;-233;934.0;-3;62;0;242.0
-834;590.0;-170.0;-3;16;43;-229;909.0;-2;65;43;260.0
-833;598.0;-178.0;-3;16;7;-234;925.0;-8;64;7;275.0
-826;578.0;-164.0;-3;16;-6;-228;914.0;3;68;-6;237.0
-782;503.0;-40.0;-5;26;6;-243;929.0;0;83;6;295.0
-783;469.0;-54.0;-5;26;0;-251;924.0;-1;77;0;305.0
-783;492.0;-56.0;-5;26;-1;-260;924.0;-2;72;-1;309.0
-805;531.0;-117.0;23;19;35;-301;905.0;-5;70;35;293.0
-841;426.0;-163.0;18;26;-151;-146;934.0;260;132;-151;279.0
-796;543.0;-55.0;-5;26;13;-250;935.0;-7;70;13;300.0
-834;526.0;-160.0;-3;16;-31;-234;923.0;0;66;-31;283.0
-1087;594.0;-192.0;0;17;222;-409;933.0;-50;-362;222;246.0
-841;531.0;-143.0;-3;16;-15;-229;908.0;5;63;-15;285.0
-842;574.0;-173.0;-3;16;7;-234;931.0;2;57;7;266.0
-846;593.0;-188.0;1;17;27;-233;914.0;9;74;27;263.0
-841;557.0;-168.0;-3;16;12;-226;935.0;8;62;12;251.0
-821;562.0;-129.0;10;16;52;-251;916.0;-20;78;52;274.0
-832;544.0;-161.0;-3;16;24;-230;933.0;1;68;24;254.0
-781;534.0;-40.0;-5;26;-14;-251;944.0;-6;81;-14;298.0
-836;575.0;-161.0;-3;16;8;-230;924.0;1;65;8;254.0
-782;530.0;-53.0;-5;26;-78;-249;951.0;4;74;-78;303.0
-787;512.0;-52.0;-5;26;2;-237;929.0;7;72;2;316.0
-844;569.0;-169.0;-3;16;20;-221;928.0;9;62;20;273.0
-765;509.0;-73.0;-5;26;-41;-250;949.0;3;85;-41;306.0
-783;481.0;-71.0;-5;26;27;-259;923.0;-3;74;27;309.0
-858;630.0;-144.0;2;17;15;-206;926.0;27;58;15;253.0
-783;493.0;-70.0;-5;26;10;-249;932.0;4;76;10;310.0
-783;486.0;-48.0;-5;26;1;-257;925.0;2;71;1;314.0
-778;475.0;-55.0;-5;26;34;-256;932.0;0;78;34;292.0
-849;639.0;-84.0;1;17;113;-237;947.0;12;58;113;237.0
-845;620.0;-99.0;2;17;44;-261;930.0;-16;55;44;250.0
-786;493.0;-57.0;-5;26;-13;-246;935.0;-1;79;-13;308.0
-833;369.0;-69.0;20;19;0;-254;875.0;25;67;0;457.0
-795;324.0;-5.0;-5;31;533;-291;894.0;192;136;533;359.0
-840;595.0;-173.0;-3;17;11;-234;929.0;1;58;11;245.0
-831;613.0;-150.0;-3;17;10;-228;919.0;3;70;10;252.0
-782;501.0;-52.0;-5;26;10;-243;926.0;-1;78;10;301.0
-831;594.0;-147.0;-3;17;19;-228;913.0;2;69;19;263.0
-833;578.0;-162.0;-3;17;-24;-232;915.0;-1;65;-24;273.0
-775;554.0;-37.0;-5;26;-17;-245;947.0;6;77;-17;300.0
-772;525.0;-20.0;-5;26;-10;-238;946.0;10;83;-10;300.0
-780;508.0;-49.0;-5;26;-11;-230;957.0;22;77;-11;285.0
-832;563.0;-209.0;-3;16;31;-233;882.0;-5;60;31;339.0
-776;543.0;-20.0;-5;26;38;-237;916.0;15;78;38;292.0
-778;510.0;-20.0;-5;26;28;-246;915.0;9;74;28;291.0
-781;504.0;-22.0;-5;26;38;-247;906.0;5;73;38;281.0
-803;241.0;-150.0;-3;20;22;-263;868.0;-111;87;22;505.0
-839;624.0;-151.0;-3;16;24;-229;952.0;3;64;24;213.0
-857;623.0;-149.0;0;14;-29;-195;949.0;12;60;-29;238.0
-814;645.0;-62.0;23;19;21;-293;961.0;11;70;21;182.0
-801;327.0;-205.0;-2;18;-20;-253;895.0;3;68;-20;330.0
-284;297.0;44.0;3;29;-1045;-395;1046.0;-275;751;-1045;434.0
-647;850.0;97.0;4;21;340;-276;1046.0;2;143;340;-6.0
-800;608.0;-92.0;21;16;45;-287;981.0;18;75;45;116.0
-827;576.0;-141.0;18;20;-26;-223;830.0;26;70;-26;479.0
-860;543.0;-32.0;5;22;-22;-249;891.0;81;46;-22;244.0
-866;682.0;99.0;4;10;-12;-283;672.0;-259;41;-12;306.0
-453;56.0;-149.0;94;9;-79;-189;845.0;-104;192;-79;365.0
-1330;-166.0;-654.0;44;22;-1547;-128;519.0;368;-581;-1547;401.0
-833;485.0;-233.0;-3;17;-14;-238;915.0;-6;63;-14;272.0
-839;438.0;-224.0;-3;16;15;-224;891.0;-3;65;15;308.0
-827;786.0;-326.0;31;40;-37;-275;1108.0;-125;111;-37;354.0
-1135;337.0;115.0;-13;16;2926;-658;888.0;-313;-355;2926;353.0
-814;755.0;309.0;135;31;251;-307;954.0;-25;82;251;64.0
-831;558.0;51.0;15;20;87;-240;842.0;48;48;87;447.0
-849;324.0;-90.0;124;12;-227;-262;916.0;-140;68;-227;338.0
-701;564.0;42.0;-5;30;-14;-276;987.0;10;102;-14;185.0
-827;208.0;-63.0;145;18;-3;-247;907.0;-5;65;-3;345.0
-811;409.0;80.0;-167;15;22;-274;931.0;-2;67;22;292.0
-768;505.0;-39.0;-5;26;-70;-278;951.0;-11;82;-70;264.0
-721;616.0;115.0;-4;26;-63;-437;874.0;-119;149;-63;432.0
-334;573.0;-20.0;16;24;-1873;-190;989.0;-92;428;-1873;300.0
-805;491.0;100.0;-166;15;-1;-272;939.0;-5;69;-1;200.0
-838;544.0;-172.0;0;16;-27;-255;942.0;-6;66;-27;265.0
-867;512.0;-126.0;0;19;-34;-234;956.0;62;45;-34;235.0
-799;297.0;36.0;9;19;-84;-354;957.0;-64;78;-84;266.0
-844;623.0;-161.0;0;15;-13;-227;941.0;9;63;-13;218.0
-854;637.0;-164.0;0;15;3;-229;947.0;10;51;3;221.0
-856;613.0;-190.0;0;16;88;-222;930.0;5;51;88;240.0
-856;711.0;-141.0;-8;12;-96;-214;948.0;-24;59;-96;196.0
-782;357.0;86.0;-12;24;337;-247;929.0;-212;159;337;306.0
-849;581.0;-168.0;2;17;-265;-277;916.0;-36;45;-265;241.0
-850;623.0;-171.0;0;15;-4;-205;941.0;32;65;-4;226.0
-756;906.0;-214.0;-4;18;111;-251;893.0;-5;88;111;362.0
-832;414.0;156.0;51;19;7;-251;894.0;-1;62;7;366.0
-825;356.0;123.0;2;23;-2;-264;905.0;-2;66;-2;333.0
-816;333.0;71.0;-3;21;4;-293;959.0;42;70;4;243.0
