InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ
-10;475;0;8;-4;-72;13;-898;10;-4;-19;13
11;590;1;5;0;-10;-3;-831;-11;0;-19;-3
48;488;-3;6;56;-91;18;-880;-48;56;-10;18
7;474;-4;3;5;-76;0;-899;-7;5;-18;0
14;591;-1;5;16;-13;2;-830;-14;16;-19;2
15;590;-4;-1;9;-8;19;-837;-15;9;-24;19
-14;621;3;-1;9;20;19;-815;14;9;-25;19
0;485;3;-3;5;-58;0;-894;0;5;-18;0
6;592;0;0;2;-8;17;-838;-6;2;-26;17
2;483;3;3;12;-54;-16;-893;-2;12;-17;-16
6;590;2;7;-10;-19;8;-830;-6;-10;-19;8
9;593;2;3;19;-9;-3;-828;-9;19;-18;-3
2;592;0;6;21;-17;8;-830;-2;21;-20;8
-11;593;4;2;33;4;-27;-829;11;33;-20;-27
4;588;-5;-1;7;-10;-5;-840;-4;7;-25;-5
-14;501;3;2;10;-58;9;-889;14;10;-23;9
-14;588;2;0;10;-10;3;-828;14;10;-16;3
-10;587;-1;-3;-9;-9;11;-834;10;-9;-20;11
18;587;-1;-2;-5;-10;10;-833;-18;-5;-19;10
-1;584;-8;0;1;-14;19;-839;1;1;-22;19
10;589;-4;2;2;-17;5;-839;-10;2;-25;5
21;586;-5;3;1;-17;2;-835;-21;1;-21;2
26;595;4;2;-16;-9;34;-834;-26;-16;-24;34
21;483;-1;-1;10;-56;-6;-900;-21;10;-22;-6
-14;594;3;2;-6;-11;10;-836;14;-6;-26;10
-4;587;-2;-2;-5;-11;9;-835;4;-5;-20;9
-1;589;-2;3;8;-16;0;-837;1;8;-24;0
3;594;3;-1;10;-2;-13;-831;-3;10;-22;-13
-25;589;1;0;0;-6;28;-835;25;0;-22;28
14;602;2;4;9;-6;19;-831;-14;9;-26;19
-14;589;-3;3;26;-14;-29;-834;14;26;-21;-29
-8;589;-4;-4;-6;-9;0;-842;8;-6;-28;0
-6;594;1;4;13;-8;-10;-832;6;13;-22;-10
-1;587;-1;-4;-15;-13;0;-836;1;-15;-22;0
-2;593;4;-1;20;-16;11;-835;2;20;-25;11
22;591;2;-2;-3;-15;-2;-839;-22;-3;-26;-2
0;586;0;2;5;-20;4;-834;0;5;-20;4
12;596;9;-1;-37;1;-48;-826;-12;-37;-19;-48
20;584;-2;-3;6;-17;9;-837;-20;6;-20;9
13;591;6;-5;4;-14;-12;-835;-13;4;-23;-12
-10;592;2;3;4;-14;18;-834;10;4;-23;18
11;592;8;3;-4;-25;-8;-830;-11;-4;-19;-8
-1;493;12;-1;-14;-58;-4;-894;1;-14;-22;-4
10;489;10;-4;-33;-70;-3;-886;-10;-33;-14;-3
5;478;1;2;0;-67;-10;-902;-5;0;-23;-10
-11;586;1;-10;-9;-14;-9;-839;11;-9;-23;-9
-1;588;5;-1;-12;-20;1;-830;1;-12;-17;1
0;493;7;4;-13;-57;6;-892;0;-13;-20;6
-4;494;-4;-1;24;-52;12;-891;4;24;-20;12
-22;590;-1;5;-14;-15;-13;-837;22;-14;-24;-13
24;579;5;-1;28;-19;21;-844;-24;28;-24;21
1;591;6;6;-13;-26;-12;-833;-1;-13;-21;-12
-9;589;5;-2;-12;-18;3;-833;9;-12;-20;3
6;581;-4;-2;0;-20;15;-836;-6;0;-19;15
13;588;1;2;8;-22;-13;-836;-13;8;-22;-13
10;588;0;2;10;-22;-3;-837;-10;10;-23;-3
10;586;2;-3;13;-18;12;-832;-10;13;-18;12
-3;591;1;2;2;-26;5;-839;3;2;-27;5
335;493;0;51;139;-111;75;-905;-335;139;-35;75
4;587;1;-8;3;-21;-17;-838;-4;3;-23;-17
2;607;7;-1;-16;-11;-10;-829;-2;-16;-28;-10
-121;2157;1425;-1833;-2148;360;1042;1781;121;-2148;2595;1042
-14;595;1;8;-24;-14;-5;-830;14;-24;-22;-5
-6;501;-1;-15;9;-80;-5;-891;6;9;-25;-5
-7;484;4;-1;-8;-89;9;-893;7;-8;-19;9
27;597;8;-1;-8;-10;-4;-815;-27;-8;-11;-4
6;592;5;0;-10;-21;14;-829;-6;-10;-19;14
7;597;-11;-5;-5;-16;8;-835;-7;-5;-27;8
3;600;1;8;5;-12;-5;-828;-3;5;-23;-5
13;590;-12;4;16;-13;7;-839;-13;16;-26;7
18;597;5;5;30;-12;-13;-829;-18;30;-21;-13
20;595;0;2;-4;-19;6;-827;-20;-4;-19;6
21;503;6;-3;11;-62;-3;-883;-21;11;-18;-3
-21;487;9;1;0;-105;-32;-890;21;0;-20;-32
-6;597;0;-2;3;-16;10;-834;6;3;-25;10
-2;592;-6;0;-12;-16;-5;-829;2;-12;-19;-5
21;586;4;4;22;-25;0;-835;-21;22;-20;0
-6;574;-11;0;6;-26;-17;-841;6;6;-19;-17
21;511;1;2;6;-64;5;-880;-21;6;-20;5
20;582;5;0;11;-21;-2;-837;-20;11;-20;-2
-35;490;-7;6;-6;-72;-25;-897;35;-6;-24;-25
9;512;-1;0;52;-42;6;-873;-9;52;-13;6
69;395;-6;35;-201;-95;250;-861;-69;-201;49;250
6;583;3;3;14;-24;7;-840;-6;14;-23;7
3;576;-7;1;8;-24;-21;-847;-3;8;-25;-21
-3;582;-1;4;6;-26;18;-844;3;6;-26;18
-606;705;16;-8;-223;68;-275;-766;606;-223;-42;-275
-16;590;1;0;-27;-20;6;-837;16;-27;-24;6
-8;571;-2;3;-28;-34;-10;-850;8;-28;-25;-10
25;587;3;-10;-31;-18;18;-833;-25;-31;-20;18
1;572;-7;-2;-5;-23;18;-843;-1;-5;-18;18
71;465;-3;-72;5;11;1;-894;-71;5;-5;1
-36;493;5;6;16;-64;16;-896;36;16;-24;16
2;570;-9;-2;-7;-24;16;-844;-2;-7;-18;16
-39;491;-1;-3;-19;-61;16;-895;39;-19;-23;16
-18;578;-1;-3;13;-21;18;-842;18;13;-22;18
-38;575;-1;3;7;-19;6;-842;38;7;-20;6
11;587;2;0;-9;-19;-3;-833;-11;-9;-20;-3
-430;70;-682;320;198;666;-161;-983;430;198;83;-161
475;622;252;-61;2201;142;-2765;-619;-475;2201;146;-2765
-14;577;-2;-6;-5;1;-5;-839;14;-5;-19;-5
11;585;6;-2;16;-3;-3;-837;-11;16;-20;-3
10;583;1;6;-4;-11;8;-835;-10;-4;-18;8
21;579;-2;3;-1;-8;8;-836;-21;-1;-17;8
8;578;-5;0;10;-6;-1;-840;-8;10;-20;-1
-5;489;13;0;28;-67;-33;-892;5;28;-20;-33
0;582;4;4;37;-11;7;-841;0;37;-22;7
23;498;-8;7;-34;-57;19;-886;-23;-34;-18;19
5;582;-1;-5;-9;-1;15;-840;-5;-9;-22;15
0;589;0;6;6;-5;-11;-831;0;6;-18;-11
-54;465;0;-11;51;-33;0;-885;54;51;0;0
14;587;-5;-2;12;1;12;-837;-14;12;-22;12
-6;503;10;10;3;-77;-16;-886;6;3;-22;-16
-3;587;-1;3;10;-4;1;-828;3;10;-14;1
2;587;-4;-1;-8;-1;0;-838;-2;-8;-24;0
113;497;537;677;101;-66;40;-884;-113;101;470;40
18;596;1;-1;25;4;11;-831;-18;25;-22;11
1;484;-7;1;-5;-79;-3;-890;-1;-5;-16;-3
11;584;-5;5;0;-7;-8;-837;-11;0;-20;-8
9;599;8;3;6;-1;7;-835;-9;6;-27;7
-6;594;3;0;-7;-3;-10;-831;6;-7;-22;-10
31;491;92;76;69;-74;24;-872;-31;69;3;24
110;478;-1;83;63;-82;28;-899;-110;63;-34;28
3413;356;-94;-220;733;-142;679;-1014;-3413;733;-53;679
-189;640;63;-144;-1946;-124;2892;-771;189;-1946;2;2892
-149;490;12;3;-418;-109;-164;-899;149;-418;-30;-164
11;582;-1;-1;-14;-15;-5;-851;-11;-14;-30;-5
-18;587;-5;7;34;-18;9;-833;18;34;-20;9
5;572;-2;-2;1;-17;-1;-844;-5;1;-20;-1
-79;497;-136;41;-27;-92;-66;-879;79;-27;-5;-66
-8;572;-6;7;0;-27;-11;-848;8;0;-23;-11
-11;579;-3;8;-9;-29;-21;-845;11;-9;-25;-21
-5;580;7;-5;-5;-7;-7;-841;5;-5;-22;-7
7;574;2;1;-13;-13;0;-840;-7;-13;-18;0
-22;576;0;0;18;-19;3;-852;22;18;-28;3
7;574;6;-6;21;-13;13;-839;-7;21;-17;13
10;576;2;12;6;-31;-22;-843;-10;6;-21;-22
212;505;23;16;391;-36;-1033;-878;-212;391;-13;-1033
-66;567;-7;5;-30;-15;-23;-847;66;-30;-19;-23
-44;580;2;4;35;-22;-23;-845;44;35;-25;-23
-11;570;-5;4;29;-30;9;-846;11;29;-21;9
1;588;-5;-6;49;-6;32;-833;-1;49;-20;32
23;572;-3;-6;18;-16;-9;-848;-23;18;-22;-9
5;579;5;-2;23;-16;0;-841;-5;23;-22;0
19;571;-2;1;8;-21;13;-842;-19;8;-17;13
-68;599;-265;68;95;254;-12;-953;68;95;-97;-12
7;565;-7;-7;12;-18;9;-846;-7;12;-17;9
8;574;-2;-1;-5;-22;18;-847;-8;-5;-23;18
2227;844;82;-52;-193;-173;-1271;-855;-2227;-193;-209;-1271
88;593;-9;3;30;-13;24;-838;-88;30;-27;24
-275;555;-2;-4;-137;22;-71;-864;275;-137;-27;-71
-18;594;7;0;-12;-17;-40;-836;18;-12;-26;-40
-152;508;22;-36;381;-173;185;-881;152;381;-30;185
439;512;10;253;-1390;-17;-695;-958;-439;-1390;-38;-695
11;573;2;4;2;-22;-1;-837;-11;2;-14;-1
7;578;1;4;30;-24;15;-846;-7;30;-25;15
11;573;-2;0;24;-22;32;-845;-11;24;-21;32
-11;566;-12;7;12;-19;18;-854;11;12;-25;18
-5;580;0;4;17;-13;9;-842;5;17;-22;9
-9;592;-1;0;-21;-8;8;-834;9;-21;-23;8
-11;578;-1;6;0;-14;6;-842;11;0;-22;6
17;580;1;3;2;-13;4;-842;-17;2;-22;4
-2;575;3;-3;18;-6;-12;-838;2;18;-16;-12
27;574;-5;-4;7;-8;1;-849;-27;7;-25;1
17;578;2;-1;16;-8;-6;-843;-17;16;-22;-6
5;576;0;1;23;-11;0;-841;-5;23;-20;0
7;575;-2;5;5;-16;10;-843;-7;5;-20;10
22;479;1;1;3;-79;1;-895;-22;3;-18;1
9;475;2;2;-12;-72;15;-897;-9;-12;-18;15
3;578;0;2;10;-8;3;-840;-3;10;-19;3
-147;256;-230;-42;252;196;950;-653;147;252;315;950
-603;549;-42;128;-32;26;962;-799;603;-32;39;962
-45;497;2;-1;44;-92;-4;-885;45;44;-19;-4
5;581;-3;2;22;-4;-5;-838;-5;22;-20;-5
18;620;0;5;10;14;-38;-813;-18;10;-22;-38
-5;587;3;2;8;-1;7;-835;5;8;-20;7
-13;580;-6;1;-11;-3;-1;-837;13;-11;-19;-1
-15;598;1;-2;2;9;15;-825;15;2;-19;15
-1;585;-2;-3;-5;7;-6;-833;1;-5;-18;-6
3346;1150;246;-245;-3152;63;579;-438;-3346;-3152;-186;579
159;260;-766;509;-206;866;218;-337;-159;-206;616;218
-17;569;-2;-6;5;-16;23;-849;17;5;-22;23
-3269;374;-217;273;-1027;259;34;-479;3269;-1027;389;34
13;592;2;7;7;-1;-8;-832;-13;7;-21;-8
13;580;8;3;9;-14;14;-846;-13;9;-26;14
-3;595;3;-1;16;1;5;-827;3;16;-18;5
34;593;5;0;17;1;-9;-831;-34;17;-21;-9
-14;575;3;-2;6;-7;0;-847;14;6;-23;0
7;575;4;-3;-3;-6;2;-845;-7;-3;-22;2
120;582;30;41;94;-42;-180;-860;-120;94;-37;-180
10;585;-2;-1;-4;-8;22;-831;-10;-4;-17;22
19;568;-3;3;-8;-19;-10;-852;-19;-8;-25;-10
-6;586;1;6;-6;-8;-9;-840;6;-6;-24;-9
10;585;-7;4;7;-7;32;-837;-10;7;-22;32
-4;585;1;3;12;-5;19;-837;4;12;-21;19
-25;579;3;-4;23;-11;27;-842;25;23;-22;27
13;574;4;2;-22;-30;-40;-846;-13;-22;-23;-40
13;585;-1;4;3;-6;0;-839;-13;3;-23;0
47;566;-1;5;19;-27;9;-848;-47;19;-20;9
63;500;-59;-48;1189;52;-1041;-852;-63;1189;14;-1041
18;583;-1;6;-3;-8;16;-835;-18;-3;-19;16
-192;580;157;53;62;31;536;-976;192;62;-125;536
7;560;-3;1;27;-31;14;-851;-7;27;-19;14
7;584;4;-3;24;0;-5;-836;-7;24;-20;-5
-1;585;5;0;6;-3;9;-835;1;6;-19;9
-12;586;1;4;2;-8;9;-837;12;2;-21;9
-1;589;2;11;-15;-13;-2;-839;1;-15;-25;-2
-1;589;2;11;-15;-13;-5;-838;1;-15;-24;-5
33;592;1;-4;-7;2;1;-825;-33;-7;-16;1
428;480;80;-2;-706;-107;456;-872;-428;-706;2;456
-8;485;-3;-1;-18;-93;17;-887;8;-18;-16;17
-11;578;-5;3;15;-6;-1;-840;11;15;-20;-1
9;586;3;2;12;-9;-4;-839;-9;12;-23;-4
10;581;1;4;-16;-11;2;-834;-10;-16;-17;2
9;576;9;-1;0;-17;-6;-842;-9;0;-21;-6
5;493;6;-6;-3;-99;3;-881;-5;-3;-14;3
-25;591;0;2;2;-5;-2;-833;25;2;-22;-2
-3;544;3;11;-23;6;-7;-855;3;-23;-13;-7
-1683;1748;319;223;1889;1030;1346;-1002;1683;1889;-1229;1346
-1135;345;174;-117;-2815;-207;5274;-903;1135;-2815;40;5274
-16;584;-3;-3;13;-7;-7;-838;16;13;-21;-7
-3;577;-6;1;-14;-13;8;-842;3;-14;-21;8
-13;580;-2;6;14;-17;-10;-835;13;14;-17;-10
32;573;3;7;-14;-27;6;-848;-32;-14;-23;6
-4;573;1;0;5;-21;14;-848;4;5;-24;14
-2321;558;-377;66;-1072;278;2919;-808;2321;-1072;59;2919
-8;574;2;-4;8;-17;11;-849;8;8;-25;11
-7;566;-4;-2;10;-20;1;-848;7;10;-20;1
8;583;-1;-2;7;-1;22;-840;-8;7;-23;22
4;569;-1;1;3;-22;-7;-846;-4;3;-19;-7
-2;573;-3;3;-7;-24;-38;-845;2;-7;-21;-38
26;490;-4;0;30;-103;35;-885;-26;30;-17;35
20;579;0;-1;-1;-12;3;-840;-20;-1;-21;3
-13;485;6;1;-2;-93;-7;-887;13;-2;-16;-7
-30;589;-3;-3;10;-6;12;-837;30;10;-23;12
8;583;0;-2;6;-16;-12;-837;-8;6;-20;-12
5;569;3;3;23;-24;13;-840;-5;23;-14;13
3;569;0;4;-14;-24;8;-842;-3;-14;-17;8
23;498;-3;3;-2;-99;3;-889;-23;-2;-24;3
21;617;4;-1;6;20;7;-812;-21;6;-19;7
-8;710;0;4;3;78;14;-731;8;3;-21;14
22;591;3;-1;15;-3;-2;-835;-22;15;-22;-2
-20;613;-2;-3;-5;15;6;-815;20;-5;-20;6
11;615;-1;4;6;14;28;-818;-11;6;-23;28
-27;483;2;3;13;-60;-18;-898;27;13;-21;-18
-12;481;-6;5;77;-81;51;-883;12;77;-9;51
24;593;8;-5;14;-17;20;-835;-24;14;-24;20
17;601;-4;3;29;12;44;-819;-17;29;-16;44
26;486;2;-2;25;-106;5;-890;-26;25;-20;5
4;617;3;-2;20;19;-39;-813;-4;20;-20;-39
502;886;293;-135;-888;-275;-404;-1253;-502;-888;-522;-404
16;599;5;0;-2;-19;-9;-828;-16;-2;-21;-9
-25;596;5;0;18;-9;3;-835;25;18;-26;3
-12;593;-5;-4;11;-13;-7;-829;12;11;-19;-7
7622;1303;-264;757;1830;206;384;-1537;-7622;1830;-775;384
15;628;4;3;-26;27;-20;-807;-15;-26;-23;-20
55;578;13;-4;47;-8;57;-833;-55;47;-14;57
-5;618;0;7;21;9;23;-816;5;21;-24;23
14;591;3;-5;-42;-17;1;-831;-14;-42;-20;1
-13;483;3;-3;1;-32;-18;-903;13;1;-25;-18
74;725;-6;7;68;175;103;-701;-74;68;-23;103
-14;595;6;0;-7;-25;-6;-834;14;-7;-25;-6
-2;622;5;-1;26;21;2;-815;2;26;-26;2
-11;593;6;-4;-33;-18;7;-829;11;-33;-20;7
-25;596;2;-4;34;-4;8;-837;25;34;-27;8
107;214;50;51;330;584;55;-803;-107;330;-13;55
-2;479;1;3;62;-91;14;-891;2;62;-16;14
-1;591;6;-2;-20;-23;10;-833;1;-20;-21;10
-40;573;1;-8;17;0;1;-837;40;17;-14;1
20;592;2;7;-3;-18;19;-831;-20;-3;-20;19
-18;491;-1;-1;-27;-91;3;-886;18;-27;-17;3
-9;479;-1;5;3;-59;-18;-897;9;3;-19;-18
36;594;-5;-2;37;-18;15;-835;-36;37;-25;15
25;591;1;5;-25;-15;21;-833;-25;-25;-22;21
1;585;-5;1;-23;-11;8;-837;-1;-23;-21;8
-4;484;-1;-6;4;-54;-2;-895;4;4;-20;-2
-3;708;-1;-5;-35;146;-5;-719;3;-35;-20;-5
-10;591;0;3;28;-14;18;-833;10;28;-21;18
-18;730;0;5;1;168;0;-692;18;1;-20;0
2;620;-5;1;-21;21;4;-817;-2;-21;-26;4
5;494;5;-2;-20;-110;-31;-883;-5;-20;-18;-31
35;596;4;9;1;-9;27;-824;-35;1;-17;27
15;595;3;4;-8;-12;17;-835;-15;-8;-25;17
10;474;-2;0;17;-67;16;-898;-10;17;-18;16
-16;482;-2;2;-5;-48;7;-894;16;-5;-17;7
6;620;1;6;9;16;5;-813;-6;9;-23;5
-8;476;7;0;39;-12;3;-906;8;39;-23;3
24;589;-1;0;18;-1;29;-833;-24;18;-20;29
-33;597;1;3;-15;7;8;-824;33;-15;-17;8
12;593;2;6;-24;-9;-2;-831;-12;-24;-20;-2
9;591;9;-3;20;2;2;-837;-9;20;-25;2
-43;496;1;-18;174;-94;80;-900;43;174;-32;80
9;489;3;0;10;-103;-3;-889;-9;10;-20;-3
8;481;-2;1;9;-91;6;-888;-8;9;-14;6
28;471;8;1;-9;-124;-18;-891;-28;-9;-14;-18
10;471;4;-1;-8;-121;5;-892;-10;-8;-16;5
-40;588;-1;2;-22;-9;9;-835;40;-22;-22;9
3;486;46;-45;24;-83;17;-892;-3;24;-17;17
-13;618;-1;3;-4;17;34;-813;13;-4;-22;34
15;605;15;-10;-25;1;-12;-819;-15;-25;-18;-12
-16;484;5;2;11;-78;-6;-891;16;11;-17;-6
-69;723;2;-2;-60;168;-57;-685;69;-60;-10;-57
3;485;7;0;6;-60;1;-900;-3;6;-24;1
-27;588;-1;2;-29;-6;-4;-831;27;-29;-18;-4
-29;627;1;3;-14;22;-9;-811;29;-14;-25;-9
-17;621;0;3;-16;22;-23;-810;17;-16;-20;-23
6;484;-1;5;-16;-44;-43;-895;-6;-16;-19;-43
-10;713;0;5;12;115;-2;-719;10;12;-19;-2
15;492;25;22;-47;-121;-28;-875;-15;-47;-10;-28
131;513;20;-16;-100;-89;-45;-918;-131;-100;-56;-45
22;617;-2;4;-25;15;18;-817;-22;-25;-24;18
55;585;3;1;-10;-13;-17;-840;-55;-10;-24;-17
-1515;544;-240;243;278;-300;-698;-806;1515;278;36;-698
38;586;6;-4;64;-3;26;-831;-38;64;-17;26
1;479;-7;7;61;-159;25;-887;-1;61;-21;25
31;484;5;-4;-23;-102;10;-890;-31;-23;-18;10
-22;591;1;-3;6;7;8;-837;22;6;-24;8
23;482;4;3;38;-74;26;-895;-23;38;-19;26
-69;588;24;36;-21;-36;-73;-835;69;-21;-20;-73
24;487;38;14;12;-98;-9;-886;-24;12;-15;-9
4;707;-4;3;19;116;27;-718;-4;19;-14;27
-32;580;-6;-1;-41;-22;-28;-840;32;-41;-21;-28
-79;502;46;39;26;-145;-99;-885;79;26;-30;-99
5;484;2;7;-15;-57;9;-900;-5;-15;-23;9
14;591;2;8;44;-17;-18;-830;-14;44;-19;-18
