InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit RUA gyroX
32.0;-4;1.0;-32;-25.0;27.0;-3.0;5.0;32;-73.0;-36.0;-4;-2.0
7.0;12;-35.0;-55;-55.0;1.0;-16.0;5.0;55;-69.0;-23.0;12;34.0
21.0;11;54.0;16;-15.0;-19.0;6.0;9.0;-16;-81.0;-50.0;11;19.0
20.0;8;4.0;33;-17.0;15.0;1.0;55.0;-33;-65.0;-19.0;8;-13.0
15.0;7;3.0;-3;-6.0;34.0;-22.0;55.0;3;-47.0;-1.0;7;-9.0
18.0;7;-10.0;-21;-15.0;53.0;-20.0;59.0;21;-65.0;20.0;7;-10.0
13.0;36;28.0;-9;-33.0;27.0;1.0;54.0;9;-56.0;-42.0;36;12.0
15.0;36;8.0;5;-36.0;8.0;-30.0;34.0;-5;-47.0;-36.0;36;-5.0
18.0;31;68.0;-6;-45.0;32.0;-16.0;-8.0;6;-71.0;-52.0;31;4.0
1.0;12;29.0;-23;-38.0;35.0;24.0;7.0;23;-45.0;-43.0;12;-10.0
14.0;-8;29.0;23;-10.0;38.0;2.0;23.0;-23;-50.0;-22.0;-8;-11.0
7.0;12;35.0;0;-30.0;39.0;-5.0;36.0;0;-88.0;-46.0;12;-14.0
-6.0;0;63.0;3;-15.0;20.0;-22.0;28.0;-3;-45.0;-43.0;0;-7.0
-17.0;4;46.0;-41;-10.0;8.0;16.0;-63.0;41;-64.0;-31.0;4;41.0
46.0;-15;17.0;-27;-20.0;6.0;18.0;26.0;27;-50.0;-31.0;-15;16.0
17.0;-15;-1.0;-22;6.0;32.0;-18.0;13.0;22;-56.0;-19.0;-15;-10.0
-11.0;0;9.0;-12;-8.0;49.0;11.0;-14.0;12;-73.0;-18.0;0;-35.0
20.0;-9;-25.0;-29;-44.0;47.0;1.0;-1.0;29;-60.0;-31.0;-9;-9.0
18.0;-32;-3.0;-5;-13.0;37.0;-12.0;7.0;5;-84.0;-14.0;-32;21.0
10.0;16;-4.0;-5;-25.0;40.0;-3.0;-20.0;5;-61.0;-46.0;16;17.0
8.0;-22;-2.0;-43;6.0;13.0;12.0;8.0;43;-112.0;-50.0;-22;14.0
18.0;-31;-14.0;28;-1.0;16.0;1.0;3.0;-28;-79.0;-42.0;-31;-20.0
27.0;11;-16.0;-3;-68.0;60.0;5.0;-45.0;3;-84.0;-5.0;11;-7.0
24.0;-43;-10.0;-18;-20.0;19.0;-49.0;-4.0;18;-72.0;-27.0;-43;11.0
12.0;-23;-21.0;17;-6.0;16.0;-35.0;-31.0;-17;-97.0;-12.0;-23;30.0
43.0;-52;9.0;-6;-13.0;8.0;-35.0;-54.0;6;-94.0;-36.0;-52;16.0
24.0;-21;-36.0;-4;-7.0;23.0;-33.0;-11.0;4;-56.0;-37.0;-21;26.0
46.0;-9;22.0;16;16.0;56.0;1.0;5.0;-16;-60.0;-34.0;-9;23.0
5.0;-10;-11.0;-30;-23.0;49.0;-30.0;34.0;30;-46.0;-12.0;-10;47.0
38.0;-14;-9.0;-13;34.0;39.0;-24.0;5.0;13;-45.0;-15.0;-14;25.0
40.0;-11;-14.0;-52;-16.0;34.0;-34.0;-16.0;52;-70.0;-36.0;-11;8.0
24.0;2;1.0;-12;-3.0;12.0;-39.0;15.0;12;-69.0;-24.0;2;-22.0
17.0;-16;19.0;-23;4.0;20.0;-27.0;-13.0;23;-49.0;-46.0;-16;7.0
-8.0;23;39.0;-26;28.0;21.0;8.0;11.0;26;-22.0;-8.0;23;25.0
-11.0;9;18.0;-13;14.0;6.0;14.0;15.0;13;-47.0;-46.0;9;12.0
30.0;-21;24.0;19;3.0;39.0;-39.0;24.0;-19;-110.0;-32.0;-21;10.0
40.0;-10;-28.0;-21;-40.0;66.0;-40.0;3.0;21;-86.0;-25.0;-10;-15.0
55.0;-28;-13.0;16;2.0;26.0;-62.0;51.0;-16;-84.0;-14.0;-28;10.0
41.0;-8;-23.0;-17;-3.0;-13.0;33.0;-10.0;17;-59.0;-24.0;-8;71.0
46.0;-10;-35.0;-5;-14.0;36.0;-30.0;-7.0;5;-32.0;-11.0;-10;15.0
73.0;-28;17.0;6;25.0;39.0;-7.0;28.0;-6;-78.0;-29.0;-28;29.0
17.0;-8;18.0;-12;-18.0;21.0;0.0;-12.0;12;-82.0;-38.0;-8;-38.0
32.0;11;5.0;7;-6.0;35.0;21.0;-14.0;-7;-56.0;-32.0;11;-27.0
35.0;31;36.0;-35;-15.0;29.0;-18.0;-7.0;35;-58.0;-60.0;31;8.0
42.0;-8;-62.0;-4;-32.0;61.0;-23.0;-3.0;4;-44.0;-27.0;-8;20.0
16.0;-35;-15.0;1;34.0;84.0;-22.0;5.0;-1;-82.0;-27.0;-35;29.0
21.0;9;-53.0;-11;19.0;58.0;-39.0;-12.0;11;-67.0;-29.0;9;18.0
16.0;10;-51.0;-4;-21.0;20.0;-30.0;3.0;4;-62.0;-18.0;10;7.0
36.0;2;20.0;-24;-38.0;-11.0;0.0;-21.0;24;-59.0;-40.0;2;-8.0
19.0;-5;39.0;-14;46.0;49.0;1.0;-20.0;14;-33.0;1.0;-5;8.0
19.0;14;-28.0;-12;4.0;23.0;-29.0;87.0;12;-63.0;-47.0;14;-19.0
17.0;14;-31.0;-2;-28.0;25.0;-24.0;49.0;2;-73.0;-35.0;14;-26.0
26.0;8;-10.0;-34;-24.0;37.0;-41.0;53.0;34;-58.0;-35.0;8;-51.0
7.0;0;18.0;-39;-38.0;33.0;-40.0;21.0;39;-60.0;-17.0;0;-32.0
21.0;-17;12.0;16;1.0;8.0;-4.0;64.0;-16;-58.0;-37.0;-17;-28.0
15.0;16;17.0;-9;-18.0;20.0;-15.0;23.0;9;-55.0;-16.0;16;0.0
3.0;-10;11.0;13;-54.0;18.0;-23.0;13.0;-13;-77.0;-18.0;-10;11.0
32.0;24;28.0;-16;-42.0;-15.0;-8.0;-3.0;16;-47.0;-46.0;24;13.0
19.0;-2;-13.0;-17;-14.0;43.0;17.0;-38.0;17;-62.0;-14.0;-2;2.0
19.0;1;18.0;4;13.0;45.0;-6.0;-43.0;-4;-71.0;-14.0;1;19.0
-7.0;14;7.0;-29;-21.0;25.0;26.0;-16.0;29;-59.0;16.0;14;41.0
17.0;-24;34.0;8;-11.0;48.0;-2.0;5.0;-8;-60.0;-8.0;-24;-6.0
19.0;10;11.0;-19;-2.0;21.0;-7.0;-45.0;19;-27.0;-16.0;10;50.0
13.0;-15;18.0;13;-8.0;52.0;7.0;-1.0;-13;-72.0;-10.0;-15;-5.0
18.0;-6;50.0;21;-18.0;33.0;-5.0;-27.0;-21;-62.0;-35.0;-6;17.0
13.0;-13;57.0;17;-25.0;38.0;9.0;-34.0;-17;-86.0;-31.0;-13;26.0
19.0;10;44.0;-20;-38.0;20.0;19.0;17.0;20;-80.0;-35.0;10;-4.0
-25.0;-30;24.0;11;-17.0;-27.0;-21.0;63.0;-11;50.0;-108.0;-30;45.0
59.0;-10;22.0;28;-23.0;18.0;4.0;-2.0;-28;-90.0;-3.0;-10;23.0
28.0;-14;30.0;28;-25.0;-1.0;-7.0;63.0;-28;-96.0;2.0;-14;16.0
29.0;20;18.0;-17;-18.0;34.0;-64.0;13.0;17;-60.0;-15.0;20;18.0
15.0;41;-50.0;12;-8.0;-12.0;-12.0;-12.0;-12;-90.0;-37.0;41;6.0
15.0;-11;11.0;-40;-19.0;28.0;11.0;11.0;40;-106.0;-27.0;-11;15.0
36.0;-27;3.0;16;7.0;59.0;-58.0;19.0;-16;-111.0;-35.0;-27;26.0
46.0;12;-1.0;7;-47.0;21.0;15.0;32.0;-7;-126.0;-38.0;12;-17.0
57.0;18;-1.0;-23;-4.0;-38.0;-3.0;11.0;23;-34.0;-75.0;18;7.0
18.0;46;3.0;8;-10.0;7.0;-21.0;18.0;-8;-21.0;-47.0;46;7.0
-2.0;-54;14.0;24;-27.0;34.0;-45.0;-4.0;-24;-61.0;-50.0;-54;5.0
1.0;22;-38.0;-16;-38.0;26.0;-39.0;45.0;16;-110.0;-3.0;22;-6.0
12.0;8;0.0;-32;9.0;18.0;-22.0;49.0;32;-75.0;-50.0;8;-34.0
31.0;-26;27.0;-15;19.0;12.0;-4.0;15.0;15;-45.0;-34.0;-26;9.0
-23.0;-3;33.0;37;15.0;24.0;-13.0;-7.0;-37;-59.0;-14.0;-3;55.0
-3.0;-13;-14.0;-35;-24.0;7.0;-22.0;13.0;35;-41.0;-34.0;-13;-16.0
-23.0;-20;20.0;4;-24.0;3.0;8.0;-11.0;-4;-29.0;-62.0;-20;27.0
-3.0;-38;23.0;23;-17.0;49.0;-3.0;-13.0;-23;-74.0;12.0;-38;24.0
55.0;-14;-43.0;-8;51.0;-7.0;-36.0;-20.0;8;-58.0;-51.0;-14;10.0
50.0;9;16.0;12;-5.0;47.0;-45.0;10.0;-12;-65.0;1.0;9;29.0
30.0;27;-27.0;-22;-1.0;2.0;-49.0;32.0;22;-73.0;-13.0;27;-33.0
39.0;-26;52.0;-7;3.0;1.0;-11.0;35.0;7;-80.0;-79.0;-26;23.0
9.0;-36;43.0;-16;-29.0;34.0;-23.0;11.0;16;-104.0;-34.0;-36;-2.0
-3.0;-5;59.0;4;0.0;26.0;15.0;-29.0;-4;-104.0;-10.0;-5;0.0
13.0;6;20.0;17;-16.0;17.0;30.0;26.0;-17;-89.0;-30.0;6;-27.0
22.0;2;19.0;16;-8.0;24.0;13.0;30.0;-16;-86.0;-13.0;2;7.0
9.0;2;36.0;14;-6.0;-36.0;26.0;4.0;-14;-95.0;-29.0;2;20.0
0.0;8;56.0;-5;-25.0;27.0;-16.0;61.0;5;-97.0;-16.0;8;11.0
-3.0;-3;24.0;-42;-21.0;26.0;-35.0;52.0;42;-84.0;4.0;-3;24.0
-3.0;7;73.0;-35;-3.0;26.0;-12.0;-18.0;35;-62.0;-33.0;7;29.0
1.0;16;50.0;16;-10.0;9.0;31.0;-25.0;-16;-99.0;-12.0;16;21.0
49.0;-9;25.0;-38;19.0;69.0;-11.0;10.0;38;-19.0;-11.0;-9;44.0
27.0;-43;33.0;-47;14.0;19.0;-11.0;39.0;47;-71.0;-33.0;-43;29.0
17.0;-32;7.0;-21;-20.0;20.0;-24.0;20.0;21;-49.0;-36.0;-32;15.0
36.0;-25;33.0;-12;-12.0;16.0;10.0;31.0;12;-48.0;-37.0;-25;35.0
-4.0;-12;-37.0;8;25.0;1.0;3.0;35.0;-8;-34.0;0.0;-12;75.0
33.0;-1;68.0;13;-33.0;17.0;1.0;-4.0;-13;-37.0;-47.0;-1;8.0
5.0;-5;32.0;23;-12.0;1.0;-18.0;26.0;-23;-28.0;-20.0;-5;17.0
15.0;14;-1.0;-17;17.0;79.0;3.0;-10.0;17;-62.0;-26.0;14;35.0
33.0;-19;-26.0;-34;12.0;27.0;-7.0;-4.0;34;-53.0;-10.0;-19;28.0
29.0;-14;34.0;8;7.0;34.0;8.0;-13.0;-8;-65.0;-35.0;-14;12.0
44.0;-16;20.0;-25;8.0;-13.0;-12.0;-5.0;25;-53.0;-26.0;-16;9.0
36.0;-25;30.0;2;-13.0;22.0;1.0;2.0;-2;-60.0;-47.0;-25;12.0
0.0;-15;16.0;-64;-6.0;24.0;-11.0;-31.0;64;-65.0;-22.0;-15;22.0
13.0;-22;29.0;-27;44.0;62.0;1.0;-31.0;27;-78.0;-42.0;-22;30.0
23.0;-40;-15.0;5;-29.0;28.0;1.0;1.0;-5;-45.0;-14.0;-40;3.0
19.0;16;37.0;-24;-40.0;8.0;1.0;2.0;24;-80.0;-46.0;16;13.0
39.0;-46;24.0;10;4.0;3.0;-30.0;-6.0;-10;-53.0;-31.0;-46;12.0
46.0;-21;11.0;-7;21.0;8.0;-41.0;30.0;7;-63.0;-46.0;-21;7.0
9.0;-18;3.0;16;-3.0;-1.0;-30.0;24.0;-16;-75.0;-73.0;-18;24.0
39.0;14;7.0;31;1.0;20.0;-41.0;8.0;-31;-60.0;-33.0;14;7.0
0.0;3;-30.0;29;-2.0;4.0;-27.0;-12.0;-29;-99.0;-60.0;3;-5.0
-1.0;0;28.0;-18;-26.0;20.0;-20.0;7.0;18;-68.0;-35.0;0;-45.0
9.0;-12;26.0;-24;-64.0;31.0;9.0;22.0;24;-88.0;-33.0;-12;-4.0
15.0;-19;9.0;0;-1.0;25.0;-15.0;7.0;0;-114.0;-13.0;-19;-17.0
35.0;18;-66.0;-13;3.0;38.0;-38.0;12.0;13;-41.0;-23.0;18;55.0
28.0;-5;-6.0;-8;-10.0;16.0;0.0;-10.0;8;-107.0;-31.0;-5;15.0
-4.0;13;54.0;-29;-56.0;11.0;17.0;-44.0;29;-97.0;-47.0;13;22.0
58.0;-16;-68.0;19;20.0;18.0;-73.0;46.0;-19;-63.0;-32.0;-16;-27.0
4.0;30;-26.0;-24;-20.0;13.0;-40.0;59.0;24;-71.0;-32.0;30;-39.0
21.0;23;14.0;36;-8.0;-19.0;19.0;25.0;-36;-60.0;-41.0;23;-28.0
0.0;-4;-8.0;10;-18.0;6.0;8.0;-34.0;-10;-95.0;-45.0;-4;-5.0
27.0;2;36.0;19;-8.0;26.0;-7.0;-47.0;-19;-41.0;-45.0;2;-10.0
20.0;9;39.0;-30;-29.0;3.0;8.0;25.0;30;-49.0;-33.0;9;7.0
57.0;-6;29.0;6;-30.0;60.0;12.0;-44.0;-6;-90.0;-14.0;-6;16.0
47.0;14;-23.0;-25;-29.0;19.0;-31.0;3.0;25;-39.0;-26.0;14;-12.0
47.0;0;-4.0;-27;-7.0;38.0;-21.0;1.0;27;-79.0;-75.0;0;6.0
-4.0;-5;9.0;27;-1.0;22.0;-13.0;-52.0;-27;-45.0;-19.0;-5;-38.0
-2.0;-5;-2.0;9;-9.0;12.0;7.0;-21.0;-9;-73.0;-53.0;-5;-34.0
12.0;7;42.0;-13;-35.0;-7.0;12.0;-21.0;13;-114.0;-66.0;7;-1.0
43.0;19;30.0;5;-41.0;-3.0;-9.0;-33.0;-5;-102.0;-58.0;19;-13.0
15.0;1;-25.0;6;-11.0;22.0;16.0;-20.0;-6;-80.0;-46.0;1;-33.0
27.0;-3;-40.0;-3;-60.0;0.0;-1.0;24.0;3;-104.0;-33.0;-3;-20.0
37.0;22;28.0;-18;-16.0;33.0;-11.0;12.0;18;-73.0;-5.0;22;-2.0
30.0;-36;22.0;3;-61.0;-17.0;-17.0;-8.0;-3;-106.0;-44.0;-36;1.0
20.0;-4;7.0;5;5.0;21.0;-18.0;20.0;-5;-58.0;-26.0;-4;17.0
47.0;-2;22.0;-22;41.0;43.0;-7.0;19.0;22;-85.0;10.0;-2;16.0
11.0;-20;52.0;0;-20.0;17.0;20.0;-21.0;0;-109.0;-59.0;-20;-22.0
9.0;2;32.0;-32;-6.0;-13.0;-2.0;8.0;32;-72.0;-44.0;2;0.0
5.0;-39;-13.0;-36;32.0;23.0;-45.0;156.0;36;-105.0;-58.0;-39;55.0
50.0;39;-2.0;-39;-29.0;49.0;-12.0;38.0;39;-31.0;-7.0;39;23.0
2.0;-36;32.0;-4;15.0;30.0;-2.0;34.0;4;-60.0;-21.0;-36;24.0
43.0;-3;35.0;44;3.0;34.0;-18.0;-33.0;-44;-33.0;-3.0;-3;-5.0
16.0;-5;22.0;25;2.0;18.0;-1.0;-8.0;-25;-32.0;-15.0;-5;8.0
47.0;4;28.0;-30;1.0;27.0;-31.0;21.0;30;-39.0;-6.0;4;-2.0
4.0;-4;4.0;-4;15.0;30.0;1.0;-44.0;4;-47.0;-19.0;-4;17.0
26.0;42;-15.0;-10;-27.0;20.0;14.0;9.0;10;-36.0;-7.0;42;9.0
0.0;44;18.0;-2;-49.0;-6.0;-28.0;-27.0;2;-40.0;-47.0;44;-4.0
4.0;8;22.0;-31;10.0;32.0;-7.0;31.0;31;-59.0;-43.0;8;27.0
20.0;-47;38.0;-22;-12.0;18.0;-53.0;-21.0;22;-86.0;-18.0;-47;15.0
60.0;-11;3.0;8;-5.0;2.0;-14.0;-21.0;-8;-79.0;-67.0;-11;4.0
23.0;11;-3.0;-29;4.0;-2.0;-12.0;13.0;29;-93.0;-35.0;11;4.0
34.0;-25;27.0;-37;-24.0;28.0;-11.0;-4.0;37;-91.0;-37.0;-25;-13.0
30.0;31;36.0;-21;-21.0;-1.0;-16.0;-4.0;21;-77.0;-30.0;31;-9.0
75.0;1;3.0;8;-5.0;-12.0;-7.0;-2.0;-8;-71.0;-35.0;1;6.0
38.0;18;3.0;28;9.0;36.0;-22.0;-34.0;-28;-78.0;-7.0;18;60.0
32.0;5;18.0;18;3.0;53.0;-49.0;-12.0;-18;-54.0;21.0;5;40.0
57.0;-12;24.0;-1;23.0;25.0;-16.0;22.0;1;-22.0;36.0;-12;34.0
54.0;9;-1.0;7;3.0;-6.0;-38.0;-21.0;-7;-92.0;-48.0;9;21.0
44.0;4;39.0;3;-2.0;3.0;-13.0;2.0;-3;-53.0;-60.0;4;12.0
-2.0;-16;-6.0;37;-16.0;15.0;-3.0;25.0;-37;-58.0;-66.0;-16;55.0
33.0;-30;11.0;-24;4.0;37.0;4.0;-26.0;24;-48.0;6.0;-30;12.0
8.0;29;-10.0;33;-30.0;35.0;-7.0;12.0;-33;-62.0;-7.0;29;62.0
2.0;0;11.0;35;-4.0;46.0;-25.0;-1.0;-35;-31.0;19.0;0;51.0
-5.0;-11;19.0;9;3.0;23.0;-11.0;3.0;-9;-32.0;17.0;-11;31.0
18.0;11;25.0;-21;-19.0;32.0;21.0;-46.0;21;-34.0;-30.0;11;18.0
-1.0;17;-2.0;-32;-19.0;36.0;17.0;-26.0;32;-50.0;-21.0;17;19.0
39.0;0;5.0;-14;1.0;28.0;24.0;-20.0;14;-59.0;10.0;0;18.0
41.0;-4;19.0;4;-6.0;30.0;7.0;-26.0;-4;-19.0;-26.0;-4;-17.0
-2.0;-53;20.0;-12;-28.0;38.0;-20.0;-35.0;12;-62.0;-50.0;-53;32.0
20.0;-24;13.0;5;-41.0;13.0;29.0;-26.0;-5;-54.0;-26.0;-24;-20.0
39.0;21;17.0;-10;-48.0;-2.0;26.0;-54.0;10;-73.0;-47.0;21;-14.0
16.0;21;43.0;-8;-40.0;8.0;24.0;-10.0;8;-57.0;-77.0;21;12.0
30.0;14;48.0;-11;-29.0;30.0;7.0;-25.0;11;-76.0;-58.0;14;-18.0
24.0;-18;58.0;-11;-23.0;32.0;10.0;2.0;11;-91.0;-83.0;-18;-18.0
3.0;-26;-17.0;-4;-42.0;-3.0;7.0;8.0;4;-90.0;-20.0;-26;-29.0
14.0;28;26.0;-5;-11.0;30.0;-11.0;0.0;5;-83.0;-45.0;28;-3.0
-14.0;-5;-32.0;-6;4.0;21.0;-12.0;15.0;6;-46.0;4.0;-5;58.0
11.0;15;-2.0;-36;25.0;57.0;-5.0;36.0;36;-22.0;6.0;15;33.0
4.0;6;-17.0;21;27.0;19.0;1.0;12.0;-21;-72.0;-26.0;6;34.0
51.0;29;27.0;11;-24.0;38.0;-5.0;17.0;-11;-125.0;-16.0;29;24.0
17.0;35;-30.0;26;-13.0;5.0;-26.0;-3.0;-26;-71.0;-27.0;35;34.0
5.0;31;33.0;26;11.0;19.0;-17.0;18.0;-26;-80.0;-16.0;31;51.0
34.0;14;6.0;17;-53.0;29.0;21.0;20.0;-17;-36.0;8.0;14;52.0
33.0;-2;2.0;19;-3.0;27.0;-21.0;39.0;-19;-58.0;-17.0;-2;34.0
36.0;-12;-28.0;-39;-21.0;27.0;-35.0;8.0;39;-23.0;-15.0;-12;3.0
21.0;-8;1.0;25;1.0;33.0;-19.0;36.0;-25;-34.0;-7.0;-8;21.0
25.0;16;41.0;11;11.0;24.0;-6.0;32.0;-11;-4.0;0.0;16;35.0
17.0;11;43.0;-41;1.0;37.0;0.0;-12.0;41;-69.0;11.0;11;-10.0
16.0;26;54.0;-22;-26.0;45.0;-2.0;-6.0;22;-32.0;4.0;26;-2.0
16.0;-55;-1.0;-15;10.0;9.0;-8.0;9.0;15;-19.0;-38.0;-55;9.0
22.0;-38;5.0;1;-11.0;10.0;-13.0;9.0;-1;-48.0;-19.0;-38;35.0
42.0;0;63.0;-2;-38.0;41.0;4.0;12.0;2;-65.0;-36.0;0;22.0
18.0;2;16.0;-33;-8.0;6.0;-21.0;-6.0;33;-60.0;-32.0;2;10.0
30.0;-10;41.0;18;3.0;14.0;-10.0;-23.0;-18;-109.0;-21.0;-10;-16.0
-15.0;-16;37.0;-42;-25.0;17.0;-2.0;0.0;42;-71.0;-48.0;-16;-21.0
12.0;-20;27.0;0;6.0;-3.0;-2.0;-16.0;0;-73.0;-10.0;-20;-10.0
6.0;7;25.0;31;-25.0;29.0;-2.0;-27.0;-31;-97.0;-34.0;7;-9.0
25.0;-11;26.0;-16;28.0;19.0;-15.0;-4.0;16;-45.0;2.0;-11;26.0
35.0;0;17.0;13;14.0;-2.0;3.0;-2.0;-13;-39.0;-45.0;0;25.0
24.0;35;-21.0;6;14.0;-1.0;17.0;20.0;-6;-60.0;-28.0;35;-3.0
0.0;14;22.0;24;-16.0;43.0;8.0;5.0;-24;-60.0;-19.0;14;36.0
-10.0;-10;33.0;-19;-19.0;10.0;-1.0;46.0;19;-56.0;25.0;-10;13.0
14.0;-13;32.0;13;16.0;-3.0;-5.0;-8.0;-13;-93.0;-21.0;-13;-4.0
-15.0;-15;9.0;22;-17.0;6.0;-17.0;38.0;-22;-34.0;6.0;-15;23.0
-2.0;-18;22.0;-24;-10.0;23.0;1.0;-30.0;24;-4.0;-5.0;-18;-46.0
31.0;0;4.0;5;22.0;45.0;-48.0;18.0;-5;-19.0;0.0;0;3.0
46.0;18;-8.0;-36;11.0;-21.0;-52.0;47.0;36;-72.0;-15.0;18;33.0
-2.0;-18;38.0;16;-14.0;-6.0;-31.0;-64.0;-16;-50.0;-14.0;-18;-14.0
27.0;25;14.0;-8;4.0;42.0;1.0;-36.0;8;-64.0;-18.0;25;-64.0
43.0;24;28.0;36;-21.0;3.0;-38.0;-10.0;-36;-102.0;-16.0;24;5.0
22.0;-29;-23.0;25;-4.0;18.0;-18.0;-16.0;-25;-93.0;-34.0;-29;-1.0
51.0;-18;13.0;35;20.0;28.0;-21.0;12.0;-35;-46.0;-21.0;-18;-18.0
36.0;-8;12.0;10;9.0;38.0;-6.0;22.0;-10;-32.0;5.0;-8;2.0
24.0;-46;12.0;10;-19.0;43.0;-27.0;-46.0;-10;-76.0;-28.0;-46;36.0
45.0;-9;45.0;14;-8.0;53.0;5.0;28.0;-14;-88.0;-34.0;-9;49.0
35.0;-21;16.0;33;8.0;36.0;-10.0;-34.0;-33;-68.0;-32.0;-21;28.0
12.0;0;55.0;-13;4.0;3.0;-7.0;20.0;13;-56.0;2.0;0;13.0
22.0;-27;35.0;-45;-10.0;-2.0;-15.0;-6.0;45;-50.0;-39.0;-27;7.0
-17.0;12;-21.0;-2;3.0;7.0;-4.0;19.0;2;-20.0;-53.0;12;6.0
22.0;20;-10.0;-5;-2.0;3.0;-35.0;20.0;5;-2.0;-36.0;20;-8.0
-2.0;-44;26.0;-10;-34.0;17.0;16.0;-23.0;10;-71.0;-30.0;-44;24.0
27.0;21;20.0;-13;10.0;-7.0;3.0;2.0;13;-49.0;-39.0;21;25.0
-9.0;-3;33.0;9;-10.0;43.0;1.0;-43.0;-9;-62.0;-22.0;-3;10.0
-1.0;-9;10.0;24;-19.0;22.0;11.0;-48.0;-24;-35.0;-17.0;-9;55.0
-17.0;-15;56.0;2;-34.0;-12.0;10.0;-29.0;-2;-99.0;-55.0;-15;-22.0
8.0;-39;-10.0;26;10.0;29.0;-6.0;-25.0;-26;-33.0;-28.0;-39;36.0
-1.0;-29;-21.0;4;-38.0;-6.0;6.0;5.0;-4;-123.0;-55.0;-29;-9.0
14.0;-17;28.0;37;-23.0;9.0;9.0;-2.0;-37;-58.0;-49.0;-17;13.0
3.0;10;8.0;45;-21.0;-1.0;-24.0;11.0;-45;-69.0;-30.0;10;35.0
22.0;52;24.0;14;-40.0;17.0;14.0;-14.0;-14;-73.0;-28.0;52;6.0
8.0;-29;25.0;-2;-36.0;12.0;18.0;-43.0;2;-82.0;-28.0;-29;-13.0
