Accelerometer RWR accZ;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit RUA accY;Accelerometer LWR accX;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit RLA magneticY;Accelerometer RUA^ accZ;Accelerometer RUA_ accZ;Accelerometer LH accZ;InertialMeasurementUnit RUA magneticX
55.0;183.0;107.0;-16.0;246.0;450.0;-27;-18.0;343.0;510.0;?;397.0
?;299.0;112.0;-34.0;?;449.0;-28;-7.0;261.0;500.0;-172.0;?
100.0;367.0;85.0;-70.0;158.0;567.0;-28;-11.0;326.0;499.0;-202.0;433.0
51.0;266.0;0.0;25.0;?;814.0;-28;-27.0;199.0;510.0;-33.0;437.0
-136.0;66.0;155.0;?;96.0;508.0;-29;-55.0;292.0;606.0;-12.0;440.0
-5.0;27.0;131.0;-241.0;95.0;293.0;-29;-71.0;331.0;513.0;-79.0;439.0
334.0;56.0;69.0;?;94.0;205.0;?;-68.0;218.0;339.0;-73.0;434.0
402.0;82.0;38.0;-238.0;88.0;208.0;-29;-50.0;177.0;274.0;-29.0;430.0
365.0;149.0;35.0;-180.0;87.0;327.0;-29;-32.0;157.0;262.0;87.0;422.0
243.0;214.0;91.0;-168.0;82.0;369.0;-29;-14.0;150.0;341.0;157.0;416.0
149.0;297.0;188.0;-80.0;73.0;?;-29;3.0;252.0;412.0;127.0;403.0
-19.0;441.0;90.0;-58.0;81.0;621.0;-29;39.0;308.0;470.0;17.0;381.0
-161.0;536.0;157.0;19.0;101.0;740.0;-29;98.0;227.0;530.0;-156.0;347.0
-363.0;638.0;187.0;126.0;137.0;912.0;-29;169.0;?;653.0;-320.0;298.0
?;739.0;160.0;189.0;186.0;957.0;-29;242.0;419.0;720.0;-459.0;238.0
-684.0;571.0;?;392.0;228.0;1066.0;-29;309.0;493.0;823.0;-485.0;165.0
-673.0;659.0;285.0;327.0;283.0;1170.0;-29;372.0;526.0;889.0;-484.0;81.0
-690.0;662.0;453.0;71.0;352.0;1103.0;-29;442.0;624.0;995.0;-552.0;-17.0
-865.0;733.0;57.0;158.0;?;1111.0;-29;516.0;?;1032.0;-244.0;-116.0
-1225.0;862.0;?;92.0;521.0;964.0;?;581.0;188.0;839.0;-181.0;-210.0
-1352.0;605.0;-316.0;-12.0;604.0;704.0;-29;626.0;-80.0;?;-375.0;-287.0
-816.0;264.0;103.0;165.0;654.0;499.0;-29;637.0;-84.0;512.0;-388.0;-355.0
-617.0;165.0;253.0;?;673.0;584.0;-29;638.0;334.0;407.0;-351.0;-400.0
-598.0;146.0;344.0;116.0;683.0;464.0;-29;627.0;246.0;442.0;?;-438.0
-188.0;158.0;342.0;-3.0;676.0;557.0;-29;616.0;515.0;476.0;-105.0;-458.0
-561.0;231.0;261.0;50.0;660.0;368.0;-29;604.0;415.0;?;-53.0;-459.0
18.0;167.0;849.0;65.0;639.0;218.0;-29;586.0;602.0;430.0;-125.0;-464.0
367.0;-353.0;706.0;?;620.0;354.0;-29;571.0;950.0;399.0;-241.0;?
-154.0;-456.0;995.0;130.0;613.0;5.0;-29;536.0;603.0;292.0;-218.0;-455.0
295.0;-557.0;1114.0;-225.0;613.0;65.0;-29;517.0;1199.0;191.0;341.0;-444.0
630.0;-646.0;1241.0;-550.0;611.0;-60.0;-29;?;1025.0;238.0;1295.0;-436.0
703.0;-554.0;1178.0;-739.0;609.0;-46.0;-29;501.0;?;239.0;1313.0;-434.0
432.0;-326.0;1103.0;-565.0;618.0;84.0;?;504.0;1125.0;250.0;1599.0;-436.0
-540.0;441.0;942.0;564.0;?;554.0;-29;261.0;923.0;580.0;-538.0;-36.0
-612.0;425.0;927.0;530.0;?;635.0;-29;260.0;944.0;633.0;-406.0;-35.0
-644.0;516.0;918.0;536.0;?;673.0;-29;253.0;958.0;663.0;-411.0;-38.0
?;749.0;860.0;537.0;-244.0;763.0;-29;258.0;958.0;717.0;-398.0;-46.0
-766.0;879.0;805.0;635.0;-225.0;923.0;-29;275.0;913.0;779.0;-434.0;-59.0
?;943.0;846.0;894.0;-198.0;956.0;-29;301.0;900.0;902.0;-681.0;-80.0
-784.0;?;906.0;?;-165.0;858.0;-29;329.0;973.0;920.0;-966.0;-110.0
-813.0;697.0;872.0;959.0;-116.0;768.0;-29;364.0;946.0;887.0;-1187.0;-148.0
-823.0;639.0;825.0;737.0;-45.0;788.0;-29;407.0;886.0;825.0;-938.0;-190.0
-651.0;562.0;812.0;807.0;28.0;766.0;-29;448.0;870.0;811.0;-700.0;?
-712.0;498.0;857.0;742.0;?;729.0;-29;498.0;918.0;806.0;-715.0;-279.0
-871.0;520.0;750.0;606.0;204.0;862.0;-29;541.0;860.0;783.0;-749.0;-316.0
-994.0;439.0;737.0;433.0;292.0;923.0;-29;574.0;811.0;791.0;-567.0;-337.0
-1111.0;371.0;749.0;503.0;385.0;947.0;-29;599.0;826.0;846.0;-525.0;?
-1219.0;470.0;662.0;499.0;466.0;1018.0;-29;612.0;747.0;823.0;-609.0;-362.0
-1248.0;316.0;712.0;408.0;554.0;1003.0;-29;602.0;617.0;864.0;-388.0;-363.0
-1131.0;145.0;810.0;269.0;623.0;936.0;-29;569.0;842.0;864.0;-347.0;-342.0
-759.0;58.0;833.0;292.0;667.0;917.0;-29;521.0;711.0;899.0;-229.0;-313.0
-519.0;-94.0;808.0;263.0;694.0;870.0;-29;455.0;726.0;913.0;-399.0;-275.0
-205.0;-371.0;761.0;239.0;709.0;687.0;-29;385.0;742.0;881.0;-216.0;-231.0
-64.0;-517.0;835.0;-42.0;710.0;583.0;-29;309.0;?;833.0;9.0;-183.0
34.0;-557.0;831.0;-482.0;709.0;396.0;?;241.0;?;744.0;397.0;-134.0
?;-737.0;937.0;-267.0;707.0;34.0;-29;191.0;885.0;671.0;761.0;-84.0
694.0;-450.0;1087.0;-610.0;707.0;-98.0;-29;152.0;968.0;482.0;?;-47.0
1062.0;?;1017.0;-834.0;709.0;16.0;-29;133.0;1006.0;415.0;779.0;-29.0
787.0;-461.0;874.0;?;705.0;35.0;-29;117.0;972.0;491.0;989.0;-18.0
427.0;-258.0;743.0;-322.0;702.0;213.0;-29;115.0;860.0;520.0;842.0;-24.0
153.0;-182.0;678.0;-271.0;704.0;318.0;-29;124.0;777.0;538.0;728.0;-38.0
59.0;-101.0;637.0;-263.0;704.0;343.0;?;133.0;?;548.0;603.0;-51.0
47.0;-70.0;644.0;-219.0;705.0;343.0;-29;146.0;740.0;562.0;467.0;-62.0
91.0;-94.0;672.0;-141.0;705.0;289.0;-29;162.0;739.0;585.0;423.0;-73.0
242.0;-147.0;706.0;-75.0;706.0;297.0;-29;178.0;800.0;603.0;255.0;-83.0
295.0;-219.0;701.0;-21.0;703.0;?;-29;195.0;780.0;?;252.0;-92.0
296.0;-303.0;?;-115.0;?;241.0;-29;?;767.0;522.0;379.0;-101.0
278.0;-335.0;730.0;?;695.0;?;-29;238.0;780.0;?;?;-116.0
270.0;-358.0;683.0;-353.0;691.0;177.0;-29;271.0;751.0;442.0;?;-133.0
-399.0;322.0;938.0;486.0;-384.0;504.0;-29;250.0;950.0;582.0;-476.0;-47.0
-456.0;335.0;943.0;445.0;-374.0;496.0;-29;256.0;922.0;563.0;-422.0;-47.0
-439.0;320.0;932.0;401.0;-364.0;507.0;-29;253.0;943.0;561.0;-398.0;-44.0
-395.0;?;908.0;452.0;-361.0;520.0;-29;244.0;933.0;575.0;?;-42.0
-444.0;446.0;906.0;487.0;-352.0;554.0;-29;244.0;905.0;596.0;-411.0;-43.0
-536.0;593.0;759.0;523.0;-332.0;?;-29;251.0;?;696.0;-452.0;-45.0
-840.0;791.0;753.0;495.0;-299.0;865.0;-29;270.0;805.0;754.0;-497.0;-50.0
-879.0;951.0;?;654.0;-253.0;896.0;-29;297.0;879.0;852.0;-566.0;-65.0
-1029.0;947.0;762.0;862.0;-198.0;915.0;-29;322.0;900.0;935.0;-812.0;-87.0
-1051.0;?;690.0;834.0;-115.0;1089.0;?;350.0;867.0;883.0;?;-119.0
-966.0;953.0;624.0;1008.0;-21.0;1065.0;-29;377.0;766.0;?;-1066.0;-156.0
?;880.0;732.0;1313.0;96.0;?;-29;426.0;674.0;870.0;-1236.0;-200.0
-957.0;693.0;694.0;1034.0;210.0;979.0;-29;472.0;744.0;893.0;-1107.0;-234.0
-928.0;579.0;623.0;630.0;321.0;1010.0;-29;489.0;686.0;931.0;-919.0;-246.0
-934.0;255.0;789.0;529.0;445.0;932.0;-29;483.0;670.0;940.0;-774.0;-257.0
-781.0;81.0;790.0;278.0;537.0;934.0;-29;452.0;796.0;911.0;-469.0;-252.0
-351.0;40.0;611.0;235.0;600.0;996.0;-29;394.0;657.0;959.0;-82.0;-241.0
-76.0;-240.0;?;-53.0;653.0;762.0;-29;333.0;516.0;954.0;128.0;-206.0
121.0;-390.0;688.0;-457.0;683.0;635.0;-29;279.0;613.0;819.0;391.0;-160.0
205.0;-474.0;705.0;-398.0;695.0;490.0;-29;218.0;650.0;761.0;643.0;-115.0
502.0;?;809.0;-483.0;695.0;?;-29;169.0;761.0;692.0;972.0;?
771.0;-802.0;811.0;-721.0;689.0;58.0;-29;127.0;798.0;544.0;878.0;-14.0
971.0;-799.0;?;-752.0;686.0;-91.0;-29;95.0;885.0;512.0;1074.0;23.0
?;?;910.0;-1070.0;687.0;-97.0;-29;74.0;967.0;401.0;?;42.0
580.0;-519.0;767.0;-910.0;686.0;107.0;-29;62.0;885.0;391.0;1172.0;56.0
345.0;-197.0;795.0;-652.0;686.0;244.0;-29;55.0;811.0;478.0;1323.0;?
319.0;-134.0;746.0;-387.0;690.0;331.0;-29;63.0;?;593.0;857.0;61.0
182.0;-34.0;?;-191.0;691.0;382.0;-29;68.0;789.0;590.0;330.0;54.0
113.0;-24.0;608.0;11.0;?;399.0;?;71.0;?;642.0;66.0;41.0
61.0;-8.0;551.0;-106.0;694.0;439.0;-29;81.0;699.0;638.0;309.0;?
22.0;-43.0;593.0;-196.0;693.0;361.0;-29;90.0;676.0;638.0;137.0;26.0
109.0;-123.0;605.0;?;694.0;?;-29;100.0;693.0;580.0;248.0;19.0
?;-292.0;637.0;?;697.0;134.0;-29;117.0;694.0;500.0;161.0;13.0
549.0;-458.0;672.0;-168.0;698.0;54.0;-29;133.0;725.0;441.0;163.0;7.0
683.0;-675.0;679.0;-388.0;700.0;-13.0;?;157.0;701.0;387.0;?;-1.0
613.0;-888.0;684.0;-646.0;?;-70.0;-29;182.0;?;309.0;778.0;-9.0
-392.0;461.0;910.0;438.0;-254.0;598.0;-29;264.0;967.0;681.0;-218.0;-62.0
-372.0;453.0;924.0;?;-252.0;569.0;-29;?;925.0;621.0;-242.0;-59.0
-440.0;443.0;933.0;491.0;-250.0;598.0;-29;258.0;?;641.0;-300.0;-56.0
-423.0;452.0;899.0;488.0;-245.0;604.0;-29;252.0;921.0;662.0;-280.0;-53.0
-431.0;468.0;912.0;438.0;-238.0;589.0;-29;253.0;919.0;682.0;-312.0;-51.0
-367.0;559.0;844.0;467.0;-235.0;743.0;-29;256.0;958.0;712.0;-269.0;-50.0
-515.0;809.0;814.0;491.0;-224.0;817.0;-29;?;895.0;776.0;-270.0;-56.0
-732.0;958.0;729.0;701.0;-211.0;916.0;-29;?;878.0;850.0;-434.0;-67.0
-876.0;950.0;658.0;899.0;-187.0;940.0;?;301.0;782.0;911.0;-715.0;-89.0
-979.0;866.0;618.0;899.0;-147.0;915.0;-29;334.0;752.0;909.0;?;-117.0
-1148.0;963.0;612.0;808.0;-100.0;927.0;-29;370.0;737.0;896.0;-914.0;-145.0
-947.0;928.0;571.0;900.0;-24.0;1019.0;?;412.0;685.0;884.0;-1213.0;-177.0
-894.0;690.0;599.0;950.0;77.0;946.0;-29;455.0;685.0;952.0;?;-203.0
-850.0;596.0;?;636.0;205.0;845.0;-29;495.0;661.0;892.0;-994.0;-237.0
-979.0;509.0;745.0;638.0;323.0;996.0;-29;514.0;708.0;848.0;-1039.0;-250.0
-947.0;284.0;728.0;549.0;434.0;1005.0;-29;506.0;625.0;889.0;-818.0;-240.0
-817.0;-44.0;724.0;352.0;524.0;1164.0;-29;466.0;645.0;1019.0;-641.0;-222.0
-680.0;-216.0;614.0;107.0;589.0;1120.0;-29;396.0;624.0;1109.0;-478.0;-185.0
-453.0;-638.0;601.0;-388.0;652.0;?;-29;304.0;522.0;1086.0;128.0;-135.0
-127.0;-843.0;551.0;-884.0;693.0;899.0;-29;218.0;559.0;1017.0;849.0;-74.0
40.0;-950.0;558.0;-847.0;708.0;669.0;-29;146.0;487.0;974.0;1036.0;-17.0
281.0;-996.0;773.0;-1015.0;709.0;443.0;-29;80.0;644.0;891.0;1264.0;42.0
565.0;-942.0;904.0;-1023.0;701.0;260.0;-29;29.0;829.0;841.0;1435.0;98.0
695.0;-712.0;847.0;-1055.0;683.0;122.0;-29;-11.0;853.0;644.0;1678.0;143.0
466.0;-524.0;930.0;-695.0;680.0;102.0;-29;-35.0;888.0;458.0;1271.0;166.0
504.0;-366.0;994.0;-310.0;686.0;173.0;-29;-44.0;1016.0;472.0;951.0;164.0
?;-317.0;835.0;-393.0;688.0;?;-29;?;?;601.0;724.0;147.0
343.0;-123.0;577.0;-386.0;688.0;528.0;-29;-27.0;802.0;731.0;758.0;121.0
-25.0;41.0;498.0;-273.0;688.0;586.0;-29;-8.0;639.0;822.0;666.0;98.0
-413.0;156.0;446.0;-189.0;690.0;671.0;-29;15.0;570.0;839.0;554.0;79.0
-370.0;177.0;491.0;-33.0;692.0;647.0;-29;33.0;586.0;803.0;53.0;63.0
-310.0;116.0;611.0;177.0;696.0;511.0;-29;48.0;678.0;768.0;-16.0;53.0
18.0;-36.0;665.0;118.0;695.0;465.0;-29;66.0;761.0;763.0;-151.0;43.0
273.0;-208.0;715.0;-23.0;698.0;428.0;-29;92.0;751.0;710.0;20.0;32.0
218.0;-416.0;737.0;-183.0;699.0;?;-29;120.0;?;664.0;261.0;16.0
347.0;-530.0;717.0;-345.0;704.0;273.0;-29;153.0;779.0;569.0;485.0;-4.0
423.0;-594.0;748.0;-541.0;704.0;215.0;-29;197.0;751.0;559.0;723.0;-31.0
-412.0;407.0;936.0;422.0;-242.0;595.0;-29;247.0;918.0;734.0;-191.0;-19.0
-386.0;509.0;901.0;457.0;-239.0;623.0;-29;251.0;968.0;748.0;-162.0;-20.0
-387.0;555.0;834.0;495.0;-235.0;731.0;-29;254.0;928.0;756.0;-215.0;-25.0
?;621.0;?;500.0;-223.0;822.0;-29;259.0;844.0;777.0;-252.0;-26.0
-959.0;695.0;737.0;557.0;-205.0;796.0;-29;?;810.0;798.0;-335.0;-31.0
-568.0;687.0;827.0;628.0;-185.0;798.0;-29;286.0;853.0;820.0;-448.0;-40.0
-808.0;?;718.0;641.0;-157.0;969.0;-29;313.0;?;875.0;-607.0;-58.0
-916.0;705.0;682.0;681.0;-123.0;1030.0;-29;351.0;797.0;977.0;-661.0;-82.0
-825.0;635.0;700.0;619.0;-73.0;981.0;-29;397.0;845.0;1012.0;-632.0;-116.0
-927.0;622.0;659.0;583.0;-14.0;982.0;-29;448.0;789.0;1002.0;-494.0;-156.0
-1006.0;586.0;594.0;555.0;56.0;963.0;-29;494.0;754.0;981.0;-551.0;-188.0
-1138.0;461.0;616.0;490.0;149.0;1004.0;-29;523.0;650.0;1001.0;-573.0;-224.0
-1117.0;345.0;651.0;447.0;258.0;1036.0;?;532.0;638.0;965.0;-572.0;-247.0
-976.0;295.0;604.0;396.0;374.0;1087.0;-29;527.0;586.0;993.0;-470.0;?
-856.0;?;580.0;402.0;485.0;1006.0;-29;496.0;516.0;992.0;-452.0;-253.0
-755.0;-30.0;635.0;45.0;581.0;910.0;?;447.0;546.0;924.0;?;-231.0
-466.0;-247.0;597.0;83.0;641.0;870.0;-29;370.0;578.0;941.0;-305.0;-193.0
-319.0;?;598.0;-52.0;675.0;685.0;-29;283.0;602.0;923.0;43.0;-139.0
19.0;-1120.0;555.0;-501.0;689.0;557.0;-29;185.0;552.0;803.0;309.0;-74.0
323.0;-1340.0;690.0;-974.0;690.0;156.0;-29;107.0;600.0;702.0;942.0;-13.0
712.0;-1372.0;881.0;-1503.0;692.0;-158.0;-29;49.0;768.0;546.0;1762.0;45.0
894.0;-1294.0;896.0;-1481.0;692.0;-282.0;-29;?;803.0;332.0;2370.0;90.0
?;-833.0;903.0;-1421.0;688.0;-124.0;-29;-19.0;896.0;?;1949.0;122.0
613.0;-459.0;891.0;-799.0;680.0;265.0;-29;-23.0;916.0;365.0;1742.0;141.0
500.0;-230.0;731.0;-407.0;680.0;369.0;-29;-20.0;874.0;535.0;1308.0;137.0
133.0;-60.0;737.0;-316.0;680.0;412.0;-29;-15.0;808.0;635.0;974.0;121.0
78.0;-28.0;586.0;-260.0;682.0;505.0;-29;-4.0;789.0;745.0;647.0;106.0
-193.0;-7.0;523.0;-149.0;686.0;553.0;-29;5.0;678.0;758.0;491.0;91.0
-166.0;63.0;510.0;-122.0;687.0;597.0;?;15.0;611.0;716.0;455.0;81.0
-265.0;50.0;569.0;-60.0;690.0;616.0;-29;21.0;648.0;808.0;?;76.0
-298.0;54.0;616.0;-2.0;692.0;559.0;-29;28.0;729.0;774.0;173.0;71.0
-168.0;77.0;625.0;64.0;693.0;570.0;-29;31.0;754.0;755.0;190.0;66.0
-76.0;51.0;617.0;0.0;691.0;492.0;-29;37.0;745.0;?;173.0;66.0
-114.0;-21.0;648.0;3.0;696.0;339.0;-29;41.0;723.0;681.0;184.0;60.0
227.0;-210.0;650.0;-36.0;694.0;240.0;-29;50.0;745.0;595.0;281.0;58.0
536.0;-446.0;690.0;-138.0;694.0;186.0;-29;65.0;727.0;559.0;346.0;55.0
498.0;-646.0;712.0;-383.0;697.0;33.0;-29;89.0;700.0;466.0;614.0;42.0
-256.0;513.0;946.0;599.0;-264.0;587.0;-29;261.0;948.0;698.0;-313.0;-75.0
-288.0;482.0;940.0;594.0;-258.0;585.0;-29;256.0;975.0;708.0;-364.0;-69.0
-337.0;491.0;906.0;529.0;-254.0;592.0;-29;249.0;943.0;724.0;-233.0;-59.0
-227.0;504.0;906.0;536.0;-251.0;572.0;-29;240.0;925.0;741.0;-259.0;-50.0
-330.0;486.0;879.0;511.0;-242.0;604.0;-29;236.0;926.0;?;-244.0;-47.0
-319.0;534.0;850.0;537.0;-238.0;638.0;-29;236.0;894.0;732.0;-245.0;-46.0
-358.0;576.0;815.0;557.0;-231.0;702.0;-29;238.0;888.0;761.0;-313.0;-45.0
-401.0;?;767.0;588.0;-223.0;734.0;-29;237.0;864.0;799.0;-368.0;-46.0
-559.0;668.0;770.0;617.0;-210.0;776.0;-29;245.0;839.0;780.0;-429.0;-46.0
-618.0;689.0;744.0;?;-190.0;769.0;-29;258.0;849.0;810.0;-516.0;-54.0
-615.0;699.0;742.0;700.0;-167.0;770.0;?;271.0;810.0;791.0;-682.0;-61.0
-414.0;633.0;713.0;748.0;-135.0;691.0;-29;282.0;843.0;831.0;-683.0;-69.0
-394.0;486.0;735.0;660.0;-91.0;627.0;-29;294.0;817.0;788.0;-569.0;-82.0
-377.0;491.0;678.0;458.0;-34.0;583.0;-29;309.0;?;763.0;-507.0;-100.0
?;529.0;667.0;505.0;25.0;580.0;-29;327.0;715.0;764.0;?;-107.0
-404.0;416.0;718.0;?;97.0;556.0;-29;343.0;713.0;725.0;-545.0;-107.0
-534.0;317.0;733.0;418.0;193.0;489.0;-29;353.0;721.0;689.0;?;-108.0
-611.0;303.0;715.0;269.0;302.0;535.0;-29;354.0;?;697.0;-592.0;-104.0
-510.0;351.0;656.0;333.0;408.0;662.0;-29;334.0;711.0;705.0;-372.0;-97.0
-425.0;276.0;739.0;503.0;492.0;?;-29;294.0;709.0;769.0;-347.0;-76.0
-412.0;157.0;?;322.0;560.0;655.0;-29;259.0;792.0;747.0;?;-51.0
-409.0;?;734.0;150.0;602.0;766.0;-29;217.0;744.0;899.0;-414.0;?
-228.0;119.0;639.0;107.0;?;865.0;-29;169.0;693.0;953.0;-193.0;-17.0
-262.0;0.0;710.0;-105.0;616.0;786.0;-29;106.0;711.0;984.0;159.0;7.0
-255.0;-6.0;671.0;-247.0;606.0;?;-29;56.0;799.0;911.0;196.0;19.0
-165.0;88.0;635.0;-140.0;579.0;662.0;-29;14.0;692.0;869.0;112.0;26.0
?;217.0;619.0;116.0;531.0;635.0;-29;-30.0;730.0;865.0;46.0;30.0
-265.0;171.0;381.0;?;486.0;676.0;-29;-70.0;576.0;764.0;-5.0;34.0
-213.0;164.0;349.0;-242.0;421.0;706.0;-29;-105.0;438.0;740.0;-27.0;46.0
-22.0;192.0;349.0;20.0;349.0;670.0;-29;-145.0;508.0;751.0;-12.0;60.0
109.0;206.0;348.0;119.0;272.0;644.0;-29;-187.0;500.0;687.0;-88.0;75.0
174.0;134.0;362.0;-17.0;187.0;559.0;-29;-215.0;449.0;611.0;-24.0;93.0
279.0;44.0;322.0;?;117.0;430.0;-29;?;428.0;578.0;88.0;112.0
275.0;19.0;351.0;-380.0;41.0;349.0;-29;-197.0;411.0;445.0;84.0;131.0
244.0;99.0;316.0;-412.0;0.0;346.0;-29;-154.0;439.0;416.0;247.0;150.0
33.0;201.0;331.0;-356.0;-19.0;378.0;-29;-102.0;387.0;398.0;303.0;168.0
-25.0;311.0;353.0;?;-40.0;515.0;-29;-43.0;478.0;428.0;241.0;191.0
-135.0;326.0;191.0;-33.0;-48.0;622.0;-29;3.0;433.0;496.0;42.0;216.0
-179.0;274.0;225.0;72.0;-51.0;608.0;-29;48.0;342.0;529.0;-115.0;242.0
-196.0;368.0;258.0;98.0;-57.0;581.0;-29;72.0;437.0;506.0;-347.0;264.0
-174.0;405.0;58.0;130.0;-57.0;558.0;-29;85.0;360.0;445.0;-189.0;280.0
-39.0;439.0;45.0;138.0;-55.0;495.0;-29;97.0;209.0;371.0;-217.0;299.0
6.0;409.0;28.0;168.0;-48.0;442.0;-29;105.0;207.0;319.0;-172.0;311.0
4.0;334.0;54.0;232.0;-37.0;390.0;-29;103.0;200.0;322.0;-140.0;327.0
87.0;341.0;33.0;53.0;-18.0;384.0;-29;99.0;225.0;312.0;-215.0;?
91.0;429.0;32.0;32.0;6.0;368.0;-29;95.0;149.0;278.0;-165.0;348.0
101.0;437.0;0.0;90.0;42.0;360.0;-29;88.0;138.0;274.0;-132.0;358.0
49.0;486.0;8.0;242.0;82.0;352.0;-29;81.0;140.0;245.0;-177.0;369.0
94.0;437.0;89.0;263.0;123.0;356.0;-29;65.0;200.0;275.0;-272.0;376.0
-35.0;449.0;101.0;257.0;?;362.0;-29;55.0;226.0;293.0;-367.0;381.0
31.0;447.0;68.0;271.0;179.0;354.0;-29;51.0;163.0;282.0;-375.0;385.0
33.0;?;80.0;283.0;197.0;338.0;-29;48.0;192.0;292.0;-247.0;385.0
80.0;269.0;62.0;201.0;205.0;325.0;?;46.0;174.0;?;-223.0;386.0
72.0;217.0;54.0;157.0;206.0;299.0;-29;45.0;152.0;247.0;-188.0;387.0
146.0;190.0;54.0;38.0;202.0;278.0;-29;45.0;160.0;238.0;?;387.0
?;189.0;46.0;-30.0;200.0;274.0;-29;47.0;180.0;241.0;-53.0;386.0
175.0;177.0;39.0;-36.0;194.0;266.0;-29;46.0;159.0;239.0;39.0;386.0
?;?;50.0;-68.0;193.0;257.0;-29;44.0;167.0;240.0;22.0;386.0
160.0;159.0;60.0;-59.0;192.0;255.0;-29;41.0;188.0;220.0;10.0;385.0
217.0;161.0;47.0;-108.0;?;255.0;-29;40.0;173.0;230.0;26.0;?
129.0;171.0;28.0;-83.0;203.0;248.0;?;38.0;128.0;219.0;3.0;385.0
149.0;186.0;8.0;-81.0;209.0;243.0;-29;41.0;137.0;219.0;-11.0;384.0
105.0;179.0;?;-55.0;218.0;234.0;-29;40.0;127.0;206.0;-17.0;382.0
181.0;178.0;-26.0;-46.0;225.0;230.0;-29;43.0;89.0;196.0;-12.0;381.0
114.0;166.0;-37.0;?;235.0;228.0;-29;43.0;85.0;190.0;-32.0;378.0
139.0;144.0;-57.0;-65.0;243.0;230.0;-29;45.0;96.0;182.0;4.0;376.0
142.0;130.0;-46.0;-96.0;257.0;?;-29;44.0;69.0;168.0;21.0;375.0
86.0;?;-49.0;-108.0;268.0;229.0;?;45.0;?;199.0;0.0;372.0
75.0;117.0;-50.0;-114.0;282.0;234.0;-29;49.0;99.0;189.0;0.0;368.0
159.0;155.0;-54.0;-99.0;290.0;239.0;-29;?;92.0;207.0;-3.0;367.0
62.0;209.0;-60.0;-70.0;296.0;247.0;-29;53.0;75.0;201.0;-61.0;368.0
84.0;187.0;?;7.0;297.0;267.0;-29;53.0;81.0;218.0;-106.0;368.0
75.0;130.0;-78.0;41.0;291.0;289.0;-29;?;70.0;219.0;-126.0;366.0
?;89.0;-70.0;-66.0;282.0;306.0;-29;47.0;59.0;?;-88.0;365.0
10.0;63.0;-71.0;-148.0;272.0;305.0;-29;44.0;79.0;250.0;-18.0;364.0
13.0;40.0;-102.0;-198.0;270.0;292.0;-29;40.0;?;248.0;36.0;364.0
