InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;InertialMeasurementUnit R-SHOE Body_Az
698.0;-643.0;?;243.0;18;10;946.0;?
?;-657.0;-264.0;241.0;?;-18;956.0;799
705.0;-678.0;-267.0;236.0;23;?;955.0;796
706.0;-701.0;-273.0;223.0;?;-24;?;?
702.0;-721.0;?;201.0;21;-32;928.0;?
691.0;-744.0;-288.0;171.0;19;?;937.0;?
674.0;-768.0;-304.0;134.0;14;40;936.0;797
?;?;-324.0;92.0;15;18;?;791
614.0;-810.0;-344.0;46.0;18;-1;939.0;?
572.0;-821.0;-364.0;-3.0;?;-2;953.0;796
524.0;-826.0;-384.0;-55.0;19;-12;947.0;793
472.0;?;-406.0;-110.0;21;?;925.0;801
?;?;-428.0;-166.0;?;12;940.0;799
352.0;-800.0;-452.0;-220.0;?;-40;960.0;795
291.0;?;-477.0;-272.0;?;-4;969.0;793
234.0;-750.0;-501.0;?;19;19;938.0;797
181.0;-720.0;-527.0;-366.0;20;-22;?;797
136.0;-687.0;?;-407.0;18;-18;1014.0;795
102.0;?;-575.0;-440.0;16;-10;955.0;801
78.0;?;-589.0;-464.0;24;-17;970.0;797
63.0;-608.0;-595.0;-479.0;20;-26;?;798
57.0;-597.0;?;-483.0;18;?;950.0;?
58.0;-593.0;-595.0;-478.0;21;24;948.0;800
63.0;-594.0;-599.0;-470.0;20;8;958.0;798
73.0;-598.0;?;-461.0;24;8;947.0;793
85.0;-605.0;-605.0;-451.0;17;16;?;798
100.0;-611.0;-609.0;?;17;-4;?;802
117.0;-615.0;-619.0;-422.0;21;15;994.0;?
?;-699.0;-285.0;205.0;22;-3;937.0;803
692.0;-712.0;-279.0;?;20;-3;928.0;785
698.0;-731.0;-269.0;184.0;16;-10;959.0;798
698.0;-749.0;-254.0;159.0;17;-1;?;805
692.0;-761.0;?;122.0;21;-13;?;798
680.0;-765.0;-212.0;?;20;?;?;795
659.0;-756.0;?;?;20;14;927.0;804
623.0;-730.0;?;-12.0;19;?;931.0;798
571.0;-686.0;?;-53.0;19;-37;935.0;796
506.0;-630.0;-83.0;?;21;?;952.0;803
441.0;-562.0;?;-119.0;18;-28;?;793
379.0;-480.0;?;?;24;-8;944.0;804
321.0;?;?;-172.0;19;-20;977.0;?
262.0;-305.0;34.0;-196.0;21;?;964.0;749
203.0;-227.0;?;-220.0;14;-25;?;?
149.0;?;49.0;-247.0;?;-35;994.0;?
99.0;?;45.0;?;25;9;966.0;791
58.0;?;40.0;-297.0;-23;-72;967.0;789
29.0;-63.0;35.0;?;40;-65;960.0;?
10.0;-55.0;28.0;-330.0;?;-515;?;805
0.0;-49.0;17.0;-337.0;-188;?;?;802
0.0;-45.0;4.0;-338.0;11;649;917.0;795
8.0;-49.0;-8.0;-335.0;99;812;990.0;?
19.0;-64.0;-13.0;-329.0;-19;344;?;793
33.0;-87.0;-15.0;-322.0;14;186;?;797
?;-114.0;-15.0;-316.0;105;155;882.0;?
63.0;-142.0;-19.0;-312.0;48;531;858.0;?
78.0;-169.0;-26.0;-310.0;71;?;?;?
?;-191.0;?;-306.0;270;689;928.0;?
101.0;?;-50.0;-302.0;?;452;888.0;784
110.0;-226.0;-63.0;?;-3;269;861.0;787
119.0;-240.0;-74.0;-292.0;85;356;858.0;784
125.0;-251.0;?;-285.0;-1;271;917.0;765
130.0;-262.0;-84.0;-279.0;-8;?;918.0;785
133.0;-270.0;-83.0;-275.0;56;140;962.0;791
?;?;?;-274.0;16;221;992.0;783
129.0;-275.0;-70.0;-273.0;?;274;942.0;?
123.0;-270.0;-61.0;?;?;?;920.0;780
117.0;?;-50.0;-271.0;?;186;944.0;785
?;-253.0;-38.0;-273.0;26;-66;976.0;795
104.0;-241.0;?;?;?;-262;932.0;799
98.0;-230.0;-11.0;-280.0;54;-169;928.0;794
?;-220.0;?;-283.0;?;69;955.0;?
89.0;-209.0;?;-286.0;47;229;916.0;790
87.0;-197.0;19.0;-287.0;?;389;?;799
88.0;-187.0;22.0;-289.0;118;392;926.0;800
89.0;-182.0;23.0;-290.0;?;299;934.0;795
92.0;-177.0;20.0;-290.0;261;276;938.0;795
?;?;13.0;-289.0;-115;280;?;800
98.0;-168.0;2.0;?;270;?;946.0;798
?;-167.0;-11.0;-283.0;428;259;873.0;801
110.0;-167.0;?;-277.0;324;210;879.0;?
119.0;?;?;-270.0;3042;-15;848.0;783
?;?;-29.0;?;-709;-507;855.0;805
143.0;?;-31.0;-253.0;?;-674;?;818
155.0;-200.0;-33.0;-244.0;481;-249;1524.0;783
168.0;?;-41.0;-243.0;?;52;1907.0;786
176.0;-215.0;-43.0;-230.0;?;17;833.0;803
181.0;-217.0;-41.0;-214.0;?;-10;671.0;795
186.0;-218.0;?;-212.0;?;7;?;797
187.0;-218.0;-41.0;-212.0;131;?;907.0;800
187.0;-220.0;?;-216.0;-3;18;1005.0;799
185.0;?;-40.0;-221.0;?;-8;1238.0;801
?;-260.0;-33.0;-225.0;58;-21;?;793
172.0;-277.0;-23.0;-226.0;8;14;795.0;?
?;-281.0;-18.0;?;25;7;869.0;804
165.0;-283.0;-16.0;-228.0;30;-13;1000.0;794
166.0;-288.0;-11.0;-229.0;14;-1;1006.0;797
?;-293.0;-4.0;-231.0;11;-1;952.0;797
157.0;-294.0;0.0;?;41;11;928.0;?
149.0;-289.0;2.0;-239.0;-19;22;912.0;805
?;?;2.0;-243.0;55;?;965.0;805
134.0;-276.0;2.0;-246.0;?;35;982.0;803
128.0;-270.0;4.0;?;-435;202;944.0;807
123.0;-264.0;6.0;-255.0;-103;?;954.0;799
?;-257.0;10.0;-258.0;?;63;1001.0;?
116.0;-250.0;13.0;-261.0;-52;66;1076.0;797
?;-244.0;?;-263.0;161;188;?;796
110.0;?;21.0;-265.0;170;154;908.0;790
107.0;-233.0;23.0;-268.0;108;0;914.0;?
105.0;?;25.0;-271.0;?;-114;?;793
104.0;-227.0;?;-273.0;118;-109;?;799
105.0;-227.0;29.0;?;163;?;966.0;795
105.0;?;31.0;-277.0;157;-16;949.0;797
?;-234.0;?;-278.0;17;240;895.0;800
106.0;?;33.0;-278.0;46;137;897.0;793
109.0;-243.0;33.0;-277.0;13;53;890.0;800
115.0;?;32.0;?;-25;56;?;797
123.0;-254.0;30.0;-274.0;25;-2;992.0;?
129.0;-259.0;30.0;-274.0;9;-56;997.0;?
133.0;-264.0;30.0;-274.0;13;?;947.0;797
134.0;-268.0;31.0;?;61;-236;?;?
134.0;-269.0;31.0;-274.0;65;?;947.0;792
135.0;-270.0;?;-273.0;63;-125;962.0;792
135.0;-271.0;28.0;-271.0;8;-124;969.0;801
135.0;-271.0;27.0;?;?;39;933.0;802
134.0;-271.0;26.0;-269.0;12;?;934.0;804
134.0;-270.0;26.0;?;51;?;?;804
135.0;-267.0;24.0;-265.0;?;250;918.0;796
?;-264.0;23.0;-264.0;-255;-155;?;802
138.0;-262.0;?;-264.0;?;430;939.0;804
139.0;-259.0;21.0;-262.0;-431;?;918.0;?
141.0;-256.0;18.0;-259.0;?;135;932.0;802
144.0;-253.0;13.0;-256.0;2292;?;?;798
147.0;-250.0;8.0;-253.0;-6144;-5439;884.0;?
151.0;-248.0;1.0;?;?;-3074;615.0;808
?;-245.0;-7.0;-246.0;1644;1037;1087.0;787
160.0;-243.0;-18.0;-245.0;-735;-553;1819.0;?
164.0;-243.0;-26.0;?;157;102;1188.0;780
?;-239.0;-24.0;-229.0;147;80;708.0;789
?;-236.0;-22.0;-232.0;-228;-164;?;804
165.0;?;-22.0;-235.0;226;159;?;807
170.0;?;-17.0;-236.0;-106;-109;1151.0;800
173.0;-259.0;-14.0;-236.0;82;29;1148.0;794
172.0;-274.0;-11.0;-231.0;14;2;1034.0;799
167.0;-281.0;-12.0;-226.0;8;-33;856.0;799
164.0;-283.0;-18.0;?;?;-44;875.0;796
166.0;-287.0;-23.0;-225.0;?;-41;1053.0;799
174.0;?;-24.0;-223.0;?;-4;1090.0;803
184.0;-295.0;?;?;18;-10;945.0;796
189.0;-295.0;?;-226.0;?;-29;913.0;793
191.0;-295.0;-15.0;-228.0;15;47;956.0;804
191.0;-294.0;-9.0;?;-8;58;997.0;?
?;-291.0;-4.0;-230.0;-22;-9;980.0;?
191.0;-285.0;-2.0;?;-107;99;979.0;799
190.0;?;-1.0;?;-362;338;961.0;795
188.0;-271.0;?;?;-384;322;1009.0;?
185.0;-263.0;?;-232.0;?;80;1033.0;798
182.0;-256.0;?;-234.0;68;?;?;798
178.0;-248.0;-4.0;-235.0;-33;44;965.0;800
?;-239.0;-3.0;-237.0;44;?;908.0;?
169.0;-232.0;-2.0;-240.0;165;-181;936.0;795
164.0;-225.0;?;-246.0;165;-77;918.0;797
159.0;?;?;-250.0;93;-146;926.0;795
156.0;-220.0;9.0;-254.0;93;-262;917.0;796
152.0;-219.0;14.0;-256.0;115;-237;915.0;794
149.0;?;19.0;-260.0;76;?;930.0;786
145.0;-221.0;24.0;-262.0;65;-170;953.0;?
?;-225.0;?;-265.0;75;-139;931.0;793
141.0;-228.0;30.0;-267.0;47;4;935.0;793
140.0;-232.0;31.0;-270.0;?;75;917.0;796
139.0;-237.0;?;-273.0;55;?;?;801
138.0;-243.0;34.0;?;?;18;922.0;796
135.0;?;37.0;-279.0;52;?;914.0;793
132.0;-255.0;?;-281.0;42;-72;935.0;795
129.0;-262.0;43.0;-283.0;43;-51;?;792
?;?;46.0;?;75;?;?;798
123.0;-276.0;48.0;?;44;199;937.0;803
120.0;-281.0;?;-290.0;110;159;934.0;796
?;-283.0;49.0;-291.0;59;?;896.0;800
117.0;-285.0;48.0;?;66;304;913.0;805
116.0;-285.0;?;-292.0;195;383;925.0;799
115.0;?;49.0;-295.0;-73;471;916.0;?
?;?;51.0;-298.0;625;131;?;803
113.0;-285.0;?;-301.0;?;?;859.0;803
113.0;-284.0;52.0;-303.0;1044;-206;?;798
?;-281.0;48.0;?;2151;-345;?;?
118.0;-279.0;41.0;-298.0;?;?;846.0;809
?;-276.0;31.0;?;-379;-95;1612.0;789
133.0;-274.0;19.0;?;261;?;1334.0;775
137.0;-269.0;14.0;-273.0;-22;?;900.0;766
142.0;-263.0;11.0;-263.0;88;36;?;769
145.0;-258.0;?;-262.0;81;31;874.0;811
?;-257.0;10.0;?;5;?;1014.0;803
151.0;-265.0;16.0;-264.0;?;14;1079.0;787
150.0;-280.0;20.0;-266.0;17;-43;1117.0;798
146.0;-292.0;26.0;-264.0;44;-37;944.0;794
142.0;-299.0;29.0;-262.0;36;-42;?;799
140.0;-307.0;29.0;-261.0;25;?;?;799
144.0;?;?;-258.0;?;-16;1057.0;799
152.0;-324.0;29.0;-256.0;20;?;?;802
160.0;-327.0;28.0;-255.0;12;?;?;?
163.0;?;29.0;-257.0;?;15;904.0;799
?;-327.0;30.0;-259.0;?;29;930.0;799
?;-326.0;32.0;?;-1;1;?;793
?;-324.0;36.0;-263.0;34;?;?;797
147.0;-320.0;39.0;?;-34;42;972.0;?
143.0;-314.0;41.0;-265.0;?;-8;968.0;799
?;-308.0;43.0;?;-99;76;?;799
?;-301.0;44.0;?;-416;?;?;805
126.0;-292.0;45.0;-273.0;-58;?;958.0;812
123.0;-283.0;?;-275.0;88;-40;1020.0;810
122.0;-275.0;45.0;-276.0;34;-86;?;?
?;-267.0;46.0;-277.0;147;-22;948.0;800
120.0;-261.0;49.0;?;54;160;883.0;807
121.0;-254.0;51.0;-278.0;?;-82;898.0;809
?;-248.0;53.0;-279.0;73;?;931.0;811
123.0;-243.0;56.0;-281.0;95;-136;?;786
123.0;-240.0;60.0;-282.0;112;-289;944.0;?
124.0;-240.0;63.0;-282.0;92;-338;898.0;798
125.0;?;65.0;?;?;-349;914.0;797
125.0;-241.0;67.0;?;?;-313;?;797
125.0;-245.0;68.0;-287.0;71;-293;939.0;791
124.0;-250.0;?;-288.0;55;?;926.0;799
?;-256.0;69.0;-289.0;71;36;897.0;809
124.0;-263.0;?;-289.0;88;236;?;796
124.0;-272.0;72.0;-292.0;51;?;956.0;789
123.0;-282.0;75.0;-294.0;29;172;943.0;796
118.0;-292.0;77.0;-298.0;39;?;921.0;805
113.0;-301.0;78.0;-301.0;53;?;931.0;?
109.0;?;77.0;-304.0;?;113;911.0;801
?;-312.0;75.0;?;31;-57;?;?
109.0;-316.0;72.0;-302.0;?;-284;925.0;803
108.0;?;70.0;-301.0;87;80;938.0;?
106.0;-323.0;68.0;-301.0;?;221;?;?
106.0;-324.0;67.0;-300.0;-18;293;900.0;803
109.0;-321.0;66.0;-298.0;125;330;920.0;803
115.0;-318.0;67.0;-295.0;169;505;905.0;805
118.0;-315.0;68.0;-292.0;410;-53;835.0;?
?;-312.0;69.0;-290.0;1285;?;844.0;804
?;-306.0;69.0;-288.0;1290;84;811.0;?
124.0;-299.0;67.0;-286.0;359;-1767;742.0;795
129.0;-294.0;64.0;-283.0;0;?;831.0;805
135.0;-291.0;60.0;-279.0;52;305;1853.0;?
143.0;-290.0;?;-278.0;-2;-19;?;765
?;?;?;-265.0;8;?;?;766
?;-284.0;55.0;-261.0;26;?;734.0;803
146.0;-285.0;55.0;?;6;?;946.0;809
144.0;?;59.0;-267.0;18;?;1091.0;?
139.0;-309.0;?;-271.0;11;?;1144.0;803
130.0;?;64.0;-272.0;17;-1;?;791
120.0;-340.0;65.0;-272.0;19;?;832.0;794
109.0;-352.0;63.0;-276.0;10;?;?;799
?;?;60.0;-280.0;18;?;?;793
105.0;-384.0;58.0;-282.0;21;-11;1056.0;797
112.0;?;56.0;-281.0;19;?;?;798
117.0;-400.0;52.0;-280.0;20;59;?;793
119.0;-403.0;49.0;-279.0;13;55;872.0;797
?;-404.0;48.0;-278.0;19;50;994.0;804
118.0;-403.0;49.0;-277.0;19;59;?;804
?;-399.0;52.0;-276.0;?;-4;966.0;801
123.0;?;57.0;-275.0;17;?;?;796
?;-383.0;64.0;?;-9;-4;?;799
123.0;-373.0;?;-276.0;-70;?;931.0;?
120.0;-363.0;82.0;-278.0;-104;349;937.0;?
119.0;-352.0;91.0;-278.0;-40;?;942.0;801
116.0;-341.0;99.0;-278.0;?;-706;?;806
?;?;104.0;-279.0;17;-602;929.0;801
109.0;?;108.0;-281.0;15;?;903.0;805
105.0;-314.0;109.0;-283.0;65;?;955.0;799
103.0;-306.0;107.0;-285.0;?;-548;?;797
103.0;-299.0;104.0;-287.0;79;-493;922.0;804
?;-293.0;100.0;?;126;-240;?;801
105.0;?;?;?;?;-312;934.0;?
105.0;-291.0;?;-289.0;103;-248;?;800
106.0;-292.0;100.0;?;89;-233;937.0;?
107.0;?;100.0;-292.0;153;-93;927.0;?
?;-294.0;100.0;?;79;21;911.0;809
107.0;-297.0;?;-296.0;10;12;?;798
?;-302.0;101.0;-298.0;94;166;890.0;?
?;-307.0;103.0;-300.0;21;186;?;?
110.0;-311.0;?;-301.0;?;105;925.0;?
111.0;-314.0;105.0;-301.0;?;-131;933.0;796
110.0;?;?;?;30;-293;958.0;801
110.0;-325.0;112.0;-302.0;25;-98;962.0;?
110.0;-330.0;?;-302.0;57;?;?;805
110.0;-335.0;119.0;-302.0;64;86;929.0;?
107.0;-336.0;120.0;-303.0;51;?;925.0;794
?;-336.0;118.0;-305.0;9;-47;936.0;793
102.0;-335.0;117.0;?;?;39;928.0;?
101.0;-335.0;118.0;-309.0;32;?;918.0;811
100.0;-335.0;?;-310.0;43;425;?;799
101.0;?;120.0;-310.0;107;547;?;?
102.0;-331.0;121.0;-309.0;-85;595;934.0;804
?;-329.0;122.0;-308.0;342;420;913.0;?
107.0;-326.0;123.0;-306.0;?;893;869.0;799
110.0;-323.0;122.0;-305.0;?;959;?;807
?;-319.0;119.0;-305.0;1853;99;812.0;797
?;-316.0;116.0;?;-1069;-108;774.0;793
116.0;-315.0;?;-301.0;-1027;-581;?;802
123.0;-315.0;?;-296.0;355;-725;1155.0;794
132.0;-318.0;108.0;-290.0;?;-7;1699.0;773
140.0;-321.0;?;-287.0;90;?;1204.0;?
142.0;-320.0;?;-277.0;?;-121;887.0;800
141.0;-320.0;104.0;-275.0;?;-9;855.0;800
138.0;-324.0;103.0;?;65;2;887.0;801
132.0;?;104.0;-280.0;-18;?;960.0;?
124.0;?;?;?;34;-15;1079.0;805
114.0;-388.0;109.0;-291.0;15;-20;1068.0;799
105.0;-409.0;107.0;-292.0;?;7;956.0;?
101.0;-424.0;?;-290.0;23;33;860.0;?
103.0;?;88.0;-285.0;22;?;?;796
?;?;?;-279.0;26;9;970.0;798
117.0;-467.0;52.0;-277.0;19;13;1016.0;794
123.0;-476.0;21.0;-276.0;17;?;941.0;793
126.0;-484.0;-14.0;-276.0;17;12;905.0;804
129.0;-497.0;-49.0;-277.0;13;-7;1000.0;805
?;?;?;-276.0;17;?;?;804
135.0;-528.0;?;-273.0;21;?;925.0;?
140.0;?;-155.0;-268.0;?;?;899.0;798
147.0;-552.0;?;-263.0;20;0;?;801
?;-566.0;-220.0;-257.0;18;-9;944.0;801
161.0;-580.0;-248.0;-252.0;15;?;922.0;802
166.0;?;-268.0;-248.0;18;13;944.0;804
170.0;-613.0;-284.0;-244.0;22;?;975.0;804
173.0;-630.0;?;-242.0;?;?;916.0;?
175.0;-646.0;-304.0;-240.0;17;-10;918.0;795
176.0;-660.0;-310.0;-239.0;20;0;?;800
?;-672.0;-313.0;-237.0;?;-3;941.0;797
?;-689.0;-318.0;-235.0;19;?;967.0;800
180.0;-701.0;-324.0;-231.0;19;-3;976.0;805
182.0;-709.0;?;-228.0;19;-17;933.0;799
184.0;-715.0;-328.0;-226.0;22;10;?;797
185.0;-722.0;?;-226.0;21;-6;923.0;800
183.0;?;?;?;?;-3;948.0;801
182.0;?;-331.0;-227.0;24;28;952.0;799
181.0;-731.0;-328.0;?;23;21;968.0;?
179.0;-733.0;-323.0;?;24;?;925.0;796
176.0;?;-319.0;-229.0;21;-20;910.0;797
174.0;-736.0;?;?;21;18;870.0;800
174.0;-737.0;?;-230.0;21;5;956.0;799
?;?;-307.0;-230.0;?;4;983.0;798
173.0;-740.0;-304.0;-230.0;16;?;?;801
172.0;-740.0;-300.0;-230.0;19;-37;927.0;?
170.0;-739.0;-298.0;-230.0;26;19;?;795
?;?;?;-230.0;19;28;927.0;797
172.0;-739.0;-294.0;-229.0;18;5;936.0;794
176.0;-739.0;-293.0;-229.0;24;19;925.0;798
178.0;-737.0;-294.0;-228.0;20;-2;952.0;802
180.0;?;-295.0;-227.0;15;-7;966.0;?
182.0;-734.0;-297.0;-225.0;20;1;934.0;797
183.0;-732.0;-299.0;-223.0;21;-38;927.0;800
184.0;?;-301.0;-222.0;16;-17;924.0;?
184.0;-726.0;?;?;15;0;?;?
?;-727.0;-304.0;-221.0;17;-8;919.0;804
184.0;-730.0;-308.0;-221.0;19;?;?;800
183.0;-733.0;-314.0;-222.0;20;?;890.0;797
181.0;?;?;-224.0;16;26;929.0;?
178.0;-731.0;-321.0;-224.0;?;25;956.0;799
175.0;-720.0;-318.0;-225.0;17;-5;941.0;?
173.0;-693.0;-301.0;-226.0;21;-5;903.0;?
170.0;-653.0;?;-229.0;20;22;?;802
166.0;-608.0;-238.0;-233.0;11;13;?;800
161.0;-571.0;?;-236.0;13;?;958.0;807
157.0;-533.0;-141.0;-240.0;21;-2;934.0;?
153.0;?;-78.0;-245.0;23;?;?;798
149.0;-426.0;-16.0;-250.0;22;-13;952.0;802
144.0;-368.0;39.0;-254.0;18;1;920.0;794
136.0;?;83.0;?;14;1;926.0;?
128.0;-270.0;114.0;-265.0;21;?;963.0;801
121.0;-248.0;134.0;-272.0;25;?;941.0;799
114.0;?;?;-278.0;18;0;945.0;802
109.0;?;125.0;-282.0;16;-13;947.0;802
108.0;-211.0;100.0;-281.0;21;?;926.0;?
109.0;-207.0;77.0;-278.0;?;18;?;?
112.0;-215.0;61.0;?;19;-45;939.0;805
114.0;?;?;-267.0;21;18;949.0;?
118.0;-244.0;42.0;-262.0;?;50;?;798
124.0;?;?;-258.0;19;-18;966.0;?
131.0;-277.0;29.0;-255.0;18;?;957.0;807
139.0;-290.0;22.0;-251.0;17;29;911.0;802
147.0;-299.0;14.0;-248.0;18;?;?;800
156.0;-305.0;6.0;-246.0;22;10;?;806
164.0;-307.0;-1.0;-244.0;24;?;?;804
172.0;-310.0;-3.0;?;20;-1;948.0;803
177.0;-313.0;0.0;-240.0;21;?;?;805
180.0;-316.0;?;?;25;-4;?;801
182.0;-317.0;20.0;-239.0;19;-1;930.0;802
?;-318.0;33.0;-238.0;?;9;935.0;?
179.0;?;?;-238.0;22;?;956.0;795
174.0;-316.0;56.0;-238.0;20;-19;?;804
?;-313.0;65.0;-240.0;?;?;920.0;805
?;?;70.0;-242.0;13;-11;948.0;?
150.0;-304.0;?;?;16;16;928.0;806
?;-300.0;70.0;-244.0;18;?;?;807
134.0;-299.0;69.0;-246.0;18;-9;902.0;801
127.0;?;67.0;-250.0;19;-9;?;804
121.0;-297.0;64.0;-254.0;?;-1;?;807
119.0;-296.0;61.0;?;16;19;963.0;?
?;-295.0;58.0;-256.0;22;8;?;803
?;?;56.0;-255.0;?;6;951.0;804
122.0;-294.0;55.0;?;15;?;944.0;?
123.0;-294.0;54.0;-254.0;17;26;933.0;?
125.0;-296.0;55.0;-253.0;20;1;931.0;?
?;-298.0;55.0;-251.0;16;-6;?;803
134.0;-299.0;?;-251.0;16;-18;956.0;802
138.0;-301.0;56.0;-252.0;14;?;?;804
143.0;-300.0;58.0;?;18;?;929.0;807
148.0;-298.0;58.0;-248.0;27;-12;922.0;807
151.0;-296.0;57.0;?;23;-4;923.0;807
152.0;-297.0;58.0;?;?;?;951.0;809
153.0;-297.0;58.0;-238.0;18;26;938.0;806
?;-294.0;?;-236.0;?;-14;?;801
157.0;?;?;?;25;-41;922.0;804
157.0;-294.0;53.0;-235.0;20;-8;916.0;805
157.0;-296.0;55.0;-235.0;23;11;926.0;797
158.0;?;55.0;-235.0;19;-11;945.0;?
158.0;-294.0;54.0;-234.0;15;-28;909.0;798
157.0;-294.0;55.0;-235.0;?;?;937.0;801
154.0;-296.0;57.0;?;18;-2;948.0;807
149.0;-296.0;58.0;-237.0;16;?;947.0;805
133.0;-296.0;61.0;-239.0;15;7;919.0;805
91.0;-297.0;63.0;-244.0;?;1;?;804
19.0;-299.0;64.0;-254.0;15;?;926.0;806
-57.0;-301.0;65.0;-267.0;13;?;942.0;805
-93.0;-302.0;66.0;-281.0;17;4;951.0;?
-87.0;-303.0;?;-285.0;18;-20;?;807
-71.0;-304.0;64.0;?;17;-2;940.0;802
?;-305.0;?;-271.0;17;?;914.0;797
-55.0;-309.0;69.0;-269.0;20;0;?;801
-48.0;-312.0;75.0;-269.0;14;6;905.0;802
-40.0;-315.0;80.0;-268.0;22;?;922.0;?
-32.0;-317.0;83.0;-268.0;33;0;919.0;805
-26.0;-317.0;85.0;-269.0;?;?;920.0;802
-20.0;-316.0;86.0;-269.0;3;48;900.0;?
-13.0;-316.0;88.0;-268.0;20;?;920.0;800
-8.0;-318.0;91.0;-264.0;?;?;928.0;?
-5.0;-318.0;91.0;-262.0;17;-2;936.0;800
-2.0;-317.0;89.0;-260.0;24;-29;937.0;803
2.0;?;?;-259.0;17;?;917.0;798
5.0;-318.0;84.0;?;17;-3;920.0;799
7.0;-317.0;82.0;-255.0;24;2;921.0;805
8.0;-316.0;79.0;-251.0;21;15;?;?
8.0;-315.0;77.0;?;?;19;925.0;798
10.0;-316.0;75.0;-243.0;21;10;943.0;803
16.0;-316.0;?;-240.0;22;3;955.0;796
22.0;-316.0;?;-236.0;21;-10;941.0;?
28.0;-314.0;63.0;-233.0;18;?;955.0;807
32.0;-312.0;57.0;-232.0;19;-2;948.0;803
?;-311.0;52.0;-233.0;21;-10;943.0;?
36.0;-308.0;47.0;-234.0;21;-1;923.0;?
38.0;-302.0;43.0;-235.0;24;-7;?;?
41.0;?;40.0;-236.0;23;-4;951.0;796
?;-291.0;38.0;-235.0;19;24;?;800
?;-285.0;38.0;-233.0;17;28;966.0;800
58.0;-279.0;39.0;-230.0;17;8;955.0;801
66.0;-275.0;42.0;-227.0;22;?;938.0;?
?;?;45.0;?;22;-7;946.0;802
?;-272.0;47.0;-223.0;18;15;950.0;805
90.0;-272.0;48.0;-221.0;18;18;933.0;806
?;?;48.0;?;24;9;916.0;802
?;?;48.0;-216.0;23;10;?;803
110.0;?;49.0;-214.0;14;10;942.0;807
114.0;-283.0;52.0;-211.0;?;?;935.0;?
117.0;-286.0;51.0;-209.0;?;8;?;805
118.0;?;?;-208.0;17;?;960.0;803
117.0;-288.0;46.0;-208.0;17;6;951.0;?
113.0;-289.0;?;-210.0;17;-10;961.0;803
?;-291.0;42.0;?;15;6;914.0;803
101.0;-292.0;41.0;-213.0;18;14;916.0;801
97.0;-292.0;40.0;-214.0;21;3;926.0;?
?;-293.0;38.0;-216.0;21;-1;956.0;803
