InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit LLA magneticX;Accelerometer LWR accZ;InertialMeasurementUnit LLA accY;InertialMeasurementUnit BACK Quaternion1;Accelerometer LUA^ accX;Accelerometer LWR accX
116;614.0;-400.0;-249.0;?;-669.0;802.0;-699.0;?;329.0;173.0
116;613.0;?;-246.0;600.0;-671.0;999.0;-720.0;-664.0;346.0;199.0
?;?;-387.0;-245.0;589.0;-672.0;1117.0;-785.0;-664.0;?;274.0
116;?;-374.0;-247.0;589.0;-676.0;1066.0;-813.0;-664.0;371.0;255.0
116;585.0;-355.0;-252.0;?;?;1127.0;-907.0;-664.0;352.0;347.0
?;570.0;-331.0;-258.0;606.0;?;1078.0;?;?;?;201.0
116;558.0;-302.0;-267.0;615.0;?;1026.0;-943.0;-661.0;?;164.0
116;541.0;-265.0;?;617.0;?;1065.0;?;?;586.0;63.0
116;521.0;-217.0;-298.0;627.0;-702.0;1062.0;?;-658.0;655.0;?
116;493.0;-159.0;-315.0;631.0;?;1019.0;?;-658.0;779.0;?
116;466.0;-96.0;-331.0;632.0;-699.0;931.0;?;-658.0;772.0;?
116;439.0;-30.0;-346.0;613.0;-685.0;811.0;?;-660.0;751.0;-364.0
116;?;37.0;-361.0;582.0;-669.0;677.0;?;-662.0;679.0;-428.0
?;381.0;103.0;-372.0;536.0;-636.0;492.0;?;-663.0;?;-529.0
116;351.0;167.0;-385.0;?;?;400.0;-1045.0;-664.0;?;-491.0
?;325.0;225.0;?;?;-533.0;306.0;?;-667.0;504.0;-484.0
116;302.0;?;-403.0;355.0;-476.0;193.0;-867.0;?;452.0;-444.0
116;286.0;322.0;-406.0;295.0;?;?;-719.0;-676.0;402.0;-481.0
?;271.0;362.0;-407.0;235.0;?;111.0;-715.0;-680.0;404.0;-401.0
116;247.0;402.0;-405.0;181.0;-311.0;334.0;-636.0;-684.0;350.0;-437.0
?;226.0;436.0;-401.0;?;-254.0;518.0;-486.0;?;334.0;-439.0
116;227.0;455.0;?;79.0;-209.0;689.0;-501.0;-686.0;352.0;-285.0
116;234.0;471.0;-389.0;?;-175.0;?;-890.0;?;316.0;-200.0
116;229.0;488.0;-384.0;16.0;?;514.0;?;?;293.0;-122.0
116;?;495.0;-384.0;7.0;-131.0;459.0;-944.0;-682.0;?;-106.0
?;213.0;493.0;-388.0;?;?;332.0;-855.0;-680.0;375.0;?
116;210.0;483.0;-393.0;27.0;-150.0;342.0;-754.0;-679.0;370.0;-207.0
116;208.0;?;-398.0;38.0;-155.0;321.0;-730.0;?;352.0;-303.0
116;?;464.0;-404.0;58.0;?;305.0;-590.0;-678.0;386.0;-512.0
116;200.0;447.0;-410.0;?;-184.0;288.0;-544.0;?;489.0;-744.0
116;587.0;?;-141.0;597.0;-701.0;529.0;-712.0;-671.0;?;?
116;584.0;-271.0;?;?;-707.0;512.0;-647.0;?;364.0;?
?;580.0;-239.0;-130.0;?;-715.0;357.0;-482.0;-670.0;507.0;?
116;?;-197.0;?;588.0;-717.0;261.0;-414.0;-667.0;471.0;68.0
116;?;-146.0;-99.0;?;?;329.0;-448.0;-665.0;527.0;2.0
116;?;-83.0;?;581.0;?;530.0;?;-664.0;?;-429.0
116;629.0;-6.0;-30.0;567.0;-728.0;638.0;-341.0;-666.0;553.0;-830.0
116;661.0;?;28.0;?;-697.0;?;-367.0;?;552.0;-1230.0
116;692.0;?;97.0;514.0;-603.0;808.0;-649.0;-668.0;532.0;?
116;711.0;?;176.0;488.0;-481.0;?;-976.0;-668.0;?;-1254.0
?;?;409.0;?;477.0;?;?;-1087.0;?;395.0;-1299.0
116;719.0;?;310.0;470.0;-147.0;717.0;-1188.0;-671.0;?;-1236.0
?;712.0;584.0;359.0;471.0;60.0;895.0;-1314.0;-672.0;194.0;-1295.0
?;689.0;656.0;406.0;475.0;287.0;867.0;-1287.0;-674.0;357.0;-1065.0
116;664.0;711.0;445.0;478.0;448.0;889.0;-989.0;-677.0;361.0;-746.0
116;645.0;746.0;?;472.0;551.0;794.0;?;?;488.0;-646.0
116;?;763.0;499.0;459.0;613.0;711.0;?;-683.0;249.0;-579.0
?;?;767.0;517.0;?;?;680.0;-888.0;-686.0;331.0;?
116;640.0;765.0;528.0;?;621.0;629.0;?;?;705.0;-491.0
117;648.0;759.0;?;402.0;613.0;608.0;?;?;786.0;?
118;658.0;751.0;542.0;391.0;624.0;588.0;-612.0;-693.0;640.0;?
?;668.0;742.0;?;390.0;610.0;592.0;-595.0;-695.0;448.0;-474.0
116;677.0;734.0;543.0;398.0;?;530.0;-659.0;-697.0;375.0;-379.0
115;686.0;725.0;540.0;412.0;564.0;?;-610.0;-698.0;275.0;-341.0
114;693.0;715.0;534.0;428.0;550.0;441.0;-534.0;?;245.0;-301.0
113;?;704.0;527.0;444.0;550.0;412.0;-441.0;-699.0;?;-276.0
113;?;692.0;517.0;458.0;529.0;349.0;-340.0;-700.0;242.0;-299.0
?;716.0;677.0;506.0;471.0;504.0;285.0;-281.0;-700.0;282.0;-315.0
110;724.0;662.0;495.0;?;?;?;-249.0;-701.0;?;-302.0
108;732.0;646.0;486.0;494.0;419.0;?;?;-701.0;?;?
108;?;631.0;479.0;504.0;393.0;?;?;?;429.0;?
108;745.0;?;474.0;514.0;357.0;248.0;-240.0;-701.0;?;-262.0
107;750.0;607.0;472.0;521.0;323.0;304.0;-222.0;-700.0;354.0;-272.0
107;753.0;?;471.0;526.0;291.0;296.0;-211.0;-699.0;309.0;-272.0
107;754.0;593.0;473.0;532.0;271.0;?;-230.0;-699.0;305.0;-283.0
107;?;591.0;?;537.0;?;346.0;?;-699.0;301.0;-292.0
106;754.0;592.0;479.0;540.0;257.0;380.0;?;-699.0;321.0;-294.0
106;753.0;?;486.0;?;?;471.0;-243.0;-701.0;306.0;-334.0
?;751.0;604.0;492.0;?;279.0;479.0;-272.0;-703.0;313.0;?
105;?;?;497.0;539.0;299.0;488.0;?;?;323.0;?
?;742.0;625.0;503.0;538.0;318.0;?;?;-708.0;?;-358.0
?;?;639.0;507.0;?;349.0;?;-421.0;-709.0;334.0;-404.0
106;724.0;?;510.0;535.0;381.0;568.0;-411.0;-710.0;343.0;-449.0
106;?;?;512.0;531.0;421.0;556.0;-379.0;-712.0;340.0;-409.0
?;?;679.0;513.0;?;447.0;505.0;?;-713.0;329.0;-396.0
?;700.0;?;513.0;520.0;?;495.0;-457.0;-713.0;?;?
104;694.0;697.0;513.0;514.0;484.0;?;?;-712.0;331.0;-408.0
103;690.0;702.0;511.0;506.0;500.0;?;-397.0;?;332.0;?
103;687.0;?;509.0;499.0;508.0;371.0;-387.0;-709.0;338.0;-409.0
?;685.0;709.0;?;?;512.0;231.0;-413.0;?;345.0;-428.0
103;685.0;709.0;?;487.0;519.0;422.0;?;-704.0;381.0;?
?;686.0;708.0;508.0;485.0;521.0;408.0;?;-701.0;353.0;-345.0
103;687.0;706.0;510.0;485.0;517.0;396.0;-315.0;-698.0;323.0;-366.0
100;690.0;701.0;511.0;?;505.0;306.0;?;-696.0;?;-270.0
98;691.0;696.0;?;482.0;495.0;375.0;-393.0;-694.0;305.0;-399.0
99;694.0;?;509.0;?;490.0;?;-337.0;-693.0;?;?
?;?;?;504.0;492.0;477.0;337.0;-304.0;?;269.0;-470.0
100;?;676.0;503.0;?;460.0;?;-251.0;-690.0;?;-297.0
100;?;673.0;499.0;?;?;527.0;?;-681.0;326.0;-255.0
100;?;666.0;494.0;537.0;437.0;670.0;-312.0;-678.0;295.0;?
?;725.0;652.0;489.0;553.0;416.0;516.0;-255.0;-675.0;277.0;-243.0
100;739.0;635.0;482.0;?;379.0;450.0;-338.0;-675.0;292.0;?
100;749.0;618.0;476.0;575.0;338.0;512.0;-620.0;?;512.0;-214.0
100;?;?;472.0;578.0;?;457.0;-524.0;-682.0;670.0;-290.0
100;753.0;596.0;?;583.0;264.0;472.0;-269.0;-685.0;529.0;-283.0
?;?;593.0;473.0;584.0;248.0;483.0;-297.0;-685.0;279.0;-253.0
100;753.0;594.0;477.0;?;242.0;456.0;-387.0;?;?;?
100;748.0;598.0;482.0;?;241.0;402.0;-415.0;-683.0;252.0;-312.0
100;?;604.0;485.0;?;250.0;396.0;-371.0;-684.0;261.0;-367.0
100;734.0;612.0;489.0;588.0;264.0;349.0;-303.0;-685.0;?;-382.0
?;729.0;621.0;?;585.0;275.0;389.0;-299.0;-686.0;284.0;-389.0
100;723.0;?;498.0;583.0;?;?;-330.0;-686.0;295.0;-397.0
100;718.0;639.0;500.0;577.0;311.0;389.0;-353.0;?;304.0;?
101;712.0;648.0;501.0;?;340.0;393.0;?;-689.0;304.0;-449.0
101;706.0;?;502.0;563.0;?;409.0;-358.0;?;?;-445.0
101;700.0;666.0;502.0;556.0;378.0;?;?;?;291.0;?
?;696.0;673.0;?;552.0;?;417.0;-374.0;-695.0;267.0;-471.0
102;692.0;679.0;502.0;545.0;419.0;421.0;-382.0;-697.0;259.0;-443.0
102;688.0;?;502.0;541.0;?;432.0;?;?;270.0;-437.0
102;?;687.0;?;538.0;450.0;452.0;-392.0;?;280.0;-421.0
103;689.0;688.0;?;532.0;457.0;453.0;-411.0;-706.0;261.0;-371.0
103;690.0;687.0;504.0;529.0;461.0;?;-413.0;-709.0;?;-360.0
103;693.0;684.0;504.0;525.0;460.0;439.0;-424.0;-712.0;300.0;-359.0
104;694.0;?;506.0;522.0;456.0;424.0;-405.0;-715.0;313.0;-348.0
104;697.0;677.0;507.0;521.0;?;420.0;-376.0;-718.0;306.0;-338.0
103;?;?;510.0;?;448.0;399.0;-367.0;-720.0;?;?
103;?;669.0;?;520.0;441.0;391.0;-347.0;-721.0;277.0;-333.0
103;?;664.0;515.0;522.0;?;379.0;-336.0;-721.0;285.0;-325.0
103;706.0;?;516.0;?;420.0;369.0;-330.0;-720.0;275.0;?
103;708.0;656.0;517.0;522.0;413.0;367.0;-323.0;?;290.0;-349.0
?;708.0;654.0;517.0;?;408.0;383.0;-326.0;-718.0;315.0;-344.0
104;709.0;652.0;517.0;?;404.0;375.0;?;-717.0;?;-333.0
?;709.0;?;517.0;528.0;?;?;-286.0;?;291.0;?
104;710.0;650.0;515.0;?;397.0;412.0;-297.0;-715.0;261.0;-305.0
104;711.0;648.0;514.0;532.0;389.0;406.0;-310.0;-714.0;275.0;-308.0
104;713.0;646.0;513.0;?;386.0;394.0;-310.0;-713.0;323.0;-330.0
104;?;?;513.0;531.0;380.0;424.0;-312.0;-713.0;?;?
?;714.0;646.0;512.0;534.0;378.0;422.0;-313.0;?;?;-349.0
103;713.0;648.0;511.0;533.0;380.0;419.0;-331.0;-709.0;341.0;?
103;?;652.0;509.0;533.0;385.0;436.0;-355.0;-707.0;308.0;?
103;708.0;656.0;?;534.0;389.0;?;-360.0;?;289.0;-373.0
?;704.0;661.0;508.0;532.0;397.0;?;-355.0;-703.0;275.0;-365.0
103;701.0;666.0;507.0;533.0;407.0;413.0;-364.0;-700.0;303.0;-363.0
103;697.0;671.0;508.0;530.0;?;449.0;-369.0;-698.0;285.0;-366.0
103;694.0;675.0;508.0;527.0;421.0;344.0;-361.0;-695.0;315.0;?
106;692.0;?;?;?;?;273.0;?;-692.0;300.0;-398.0
?;692.0;679.0;509.0;?;428.0;?;-346.0;?;?;-519.0
107;692.0;679.0;506.0;524.0;?;408.0;?;-688.0;329.0;?
107;694.0;678.0;506.0;522.0;421.0;356.0;-280.0;-686.0;310.0;?
107;694.0;679.0;507.0;526.0;424.0;560.0;-372.0;-687.0;?;?
107;692.0;682.0;?;528.0;428.0;633.0;-457.0;?;317.0;-252.0
107;?;?;505.0;535.0;?;548.0;-376.0;-687.0;259.0;-253.0
107;?;?;?;543.0;411.0;463.0;-376.0;-686.0;216.0;-243.0
107;707.0;658.0;501.0;?;386.0;484.0;-471.0;-687.0;334.0;?
107;711.0;648.0;501.0;?;359.0;495.0;?;-689.0;559.0;-181.0
107;716.0;?;502.0;546.0;335.0;494.0;-283.0;-689.0;?;-182.0
107;722.0;632.0;505.0;548.0;314.0;415.0;-341.0;-688.0;447.0;-234.0
107;724.0;?;?;550.0;297.0;396.0;-403.0;?;?;-259.0
107;722.0;626.0;?;550.0;286.0;414.0;-388.0;-683.0;372.0;-277.0
107;?;?;511.0;?;?;458.0;?;?;?;-281.0
?;714.0;634.0;512.0;549.0;?;427.0;-331.0;?;365.0;-263.0
107;709.0;640.0;514.0;?;297.0;429.0;-334.0;-679.0;332.0;?
107;703.0;647.0;515.0;544.0;310.0;434.0;?;-678.0;323.0;-340.0
107;697.0;655.0;?;?;332.0;426.0;-335.0;-677.0;?;?
?;693.0;662.0;519.0;?;351.0;?;?;-676.0;358.0;-361.0
106;689.0;669.0;521.0;541.0;363.0;391.0;-345.0;-675.0;371.0;-367.0
106;685.0;676.0;523.0;537.0;381.0;?;-364.0;-675.0;395.0;-387.0
105;683.0;682.0;525.0;?;398.0;415.0;-371.0;-674.0;379.0;-408.0
?;680.0;687.0;527.0;526.0;416.0;414.0;-372.0;-674.0;361.0;-409.0
105;679.0;691.0;528.0;522.0;431.0;?;-378.0;-675.0;336.0;?
105;678.0;695.0;529.0;519.0;441.0;427.0;?;-676.0;334.0;-398.0
105;678.0;?;528.0;?;452.0;?;-405.0;-678.0;324.0;-400.0
105;679.0;699.0;528.0;510.0;463.0;439.0;-413.0;?;323.0;-398.0
105;679.0;700.0;526.0;506.0;?;455.0;-401.0;?;306.0;-402.0
105;680.0;699.0;524.0;?;476.0;449.0;-407.0;-685.0;304.0;-411.0
106;681.0;698.0;522.0;500.0;479.0;435.0;-399.0;-689.0;294.0;-401.0
106;682.0;697.0;520.0;500.0;483.0;413.0;-405.0;-692.0;286.0;?
?;684.0;695.0;518.0;501.0;?;392.0;?;-695.0;294.0;-399.0
?;?;691.0;?;504.0;?;380.0;-359.0;-699.0;283.0;?
107;?;686.0;513.0;508.0;474.0;393.0;-337.0;-701.0;?;-350.0
?;695.0;680.0;511.0;511.0;469.0;399.0;-348.0;-705.0;300.0;-314.0
?;699.0;674.0;?;516.0;458.0;?;-353.0;-708.0;321.0;-327.0
107;?;667.0;508.0;520.0;446.0;414.0;-325.0;?;?;-315.0
107;708.0;660.0;507.0;523.0;429.0;424.0;-315.0;-714.0;298.0;-283.0
107;711.0;654.0;507.0;522.0;415.0;404.0;?;?;289.0;-272.0
107;714.0;648.0;?;524.0;407.0;403.0;-328.0;-720.0;?;-273.0
?;714.0;644.0;509.0;525.0;396.0;381.0;-310.0;-722.0;311.0;-281.0
?;714.0;?;?;?;386.0;359.0;-290.0;-724.0;314.0;-272.0
106;714.0;640.0;512.0;524.0;376.0;333.0;-277.0;?;315.0;-302.0
106;713.0;640.0;513.0;?;373.0;?;-283.0;-725.0;305.0;-305.0
105;711.0;?;514.0;?;371.0;?;-285.0;-725.0;313.0;-313.0
104;709.0;643.0;514.0;521.0;372.0;417.0;?;-725.0;334.0;-333.0
103;706.0;646.0;514.0;?;375.0;420.0;-295.0;?;340.0;?
103;702.0;650.0;514.0;516.0;382.0;428.0;-315.0;-727.0;324.0;-346.0
102;697.0;655.0;513.0;513.0;392.0;389.0;-309.0;-727.0;331.0;-316.0
?;693.0;661.0;?;512.0;399.0;419.0;-307.0;?;?;-322.0
?;689.0;666.0;515.0;512.0;?;230.0;-306.0;-724.0;302.0;-297.0
98;687.0;670.0;517.0;510.0;412.0;?;-307.0;-721.0;310.0;-444.0
96;686.0;673.0;518.0;507.0;415.0;348.0;-316.0;-718.0;331.0;?
97;686.0;674.0;?;?;416.0;?;?;-715.0;355.0;-390.0
97;686.0;676.0;523.0;508.0;416.0;494.0;-268.0;-710.0;351.0;-348.0
97;?;679.0;522.0;511.0;421.0;701.0;-385.0;?;335.0;-308.0
97;?;678.0;519.0;513.0;421.0;496.0;-336.0;-708.0;?;?
97;?;?;514.0;?;413.0;?;-394.0;-708.0;291.0;-236.0
97;698.0;665.0;507.0;525.0;396.0;?;-550.0;-711.0;407.0;-250.0
97;701.0;655.0;?;527.0;?;500.0;-443.0;-714.0;549.0;?
97;705.0;646.0;497.0;529.0;354.0;?;-296.0;-718.0;582.0;-162.0
97;710.0;637.0;495.0;529.0;335.0;448.0;-331.0;?;447.0;-175.0
97;712.0;631.0;495.0;?;312.0;364.0;-364.0;-725.0;463.0;?
?;712.0;626.0;496.0;?;295.0;351.0;-341.0;?;?;?
97;712.0;622.0;498.0;526.0;?;375.0;-306.0;?;?;-266.0
97;711.0;?;499.0;527.0;276.0;384.0;-283.0;-725.0;465.0;-252.0
97;709.0;623.0;?;530.0;277.0;399.0;?;-724.0;417.0;-268.0
97;706.0;627.0;?;526.0;281.0;397.0;-293.0;-724.0;389.0;-279.0
?;703.0;632.0;505.0;524.0;291.0;393.0;-302.0;-724.0;?;-318.0
97;?;637.0;?;529.0;300.0;414.0;-291.0;-722.0;374.0;-321.0
?;696.0;642.0;511.0;527.0;311.0;413.0;-290.0;-721.0;386.0;-341.0
97;693.0;647.0;515.0;525.0;325.0;404.0;?;-719.0;404.0;-338.0
?;690.0;654.0;518.0;526.0;345.0;400.0;?;?;389.0;-345.0
98;687.0;?;521.0;523.0;363.0;?;-333.0;-716.0;393.0;-374.0
99;685.0;666.0;523.0;521.0;376.0;428.0;-338.0;-715.0;365.0;-380.0
99;683.0;671.0;525.0;519.0;392.0;455.0;-350.0;-714.0;353.0;-392.0
99;682.0;676.0;?;515.0;408.0;432.0;-369.0;?;352.0;-384.0
101;?;680.0;526.0;509.0;423.0;452.0;-386.0;?;371.0;-401.0
101;680.0;?;526.0;508.0;435.0;452.0;-391.0;-715.0;351.0;-399.0
102;?;687.0;525.0;502.0;447.0;448.0;-391.0;-716.0;338.0;-386.0
102;678.0;?;524.0;499.0;?;456.0;-396.0;-717.0;311.0;-390.0
103;678.0;692.0;?;497.0;?;484.0;-411.0;?;317.0;?
104;?;?;519.0;494.0;471.0;435.0;?;-721.0;327.0;?
104;678.0;692.0;?;493.0;?;429.0;-388.0;-721.0;327.0;-381.0
105;680.0;690.0;514.0;493.0;?;443.0;-402.0;-722.0;309.0;-378.0
106;682.0;?;?;?;?;424.0;-403.0;-724.0;?;-379.0
107;684.0;?;509.0;496.0;?;405.0;-369.0;-726.0;305.0;-360.0
107;688.0;678.0;507.0;499.0;466.0;411.0;-371.0;-728.0;311.0;-347.0
107;692.0;672.0;506.0;500.0;457.0;411.0;-360.0;-731.0;307.0;-318.0
107;695.0;?;505.0;502.0;?;423.0;-346.0;-734.0;?;-307.0
107;698.0;659.0;503.0;504.0;?;?;-329.0;-736.0;323.0;?
106;700.0;652.0;503.0;505.0;426.0;356.0;-317.0;?;322.0;-283.0
106;?;645.0;503.0;504.0;409.0;334.0;-299.0;-740.0;315.0;-300.0
106;703.0;639.0;504.0;506.0;397.0;343.0;-269.0;-741.0;286.0;-284.0
106;705.0;634.0;505.0;509.0;?;333.0;-242.0;-742.0;313.0;-256.0
106;?;?;507.0;512.0;373.0;?;-245.0;-742.0;321.0;-273.0
?;710.0;625.0;510.0;?;?;346.0;?;?;348.0;-263.0
106;712.0;621.0;512.0;?;345.0;325.0;-254.0;-741.0;327.0;-276.0
106;712.0;620.0;513.0;512.0;?;364.0;-239.0;-741.0;?;-291.0
106;711.0;?;514.0;509.0;?;392.0;-244.0;-740.0;342.0;-292.0
105;710.0;624.0;516.0;509.0;330.0;404.0;-263.0;-739.0;342.0;?
?;706.0;629.0;516.0;509.0;333.0;404.0;-287.0;-737.0;?;-292.0
?;701.0;636.0;516.0;505.0;345.0;421.0;-308.0;?;305.0;-321.0
103;696.0;644.0;515.0;502.0;360.0;452.0;-309.0;-733.0;287.0;?
103;690.0;653.0;514.0;502.0;?;481.0;-310.0;?;315.0;-316.0
104;684.0;662.0;514.0;501.0;386.0;354.0;-351.0;-729.0;287.0;-354.0
?;?;670.0;?;499.0;400.0;534.0;-385.0;-728.0;324.0;-557.0
104;672.0;678.0;513.0;496.0;414.0;419.0;?;-727.0;343.0;-529.0
104;667.0;684.0;?;493.0;423.0;386.0;-400.0;?;324.0;-440.0
104;662.0;691.0;?;493.0;?;566.0;-367.0;-724.0;?;-319.0
104;658.0;696.0;?;494.0;446.0;652.0;-465.0;-723.0;321.0;-283.0
104;661.0;692.0;508.0;502.0;?;?;-397.0;-723.0;?;-288.0
104;667.0;682.0;505.0;509.0;433.0;485.0;-413.0;?;?;-288.0
104;674.0;668.0;499.0;511.0;406.0;499.0;-491.0;?;415.0;?
104;682.0;651.0;?;?;376.0;493.0;?;?;685.0;?
104;?;634.0;494.0;516.0;341.0;?;-310.0;?;625.0;?
104;699.0;?;?;?;307.0;435.0;-388.0;-728.0;?;-194.0
103;?;604.0;?;519.0;263.0;373.0;-358.0;-728.0;439.0;-204.0
104;707.0;?;499.0;520.0;?;335.0;?;-728.0;402.0;?
?;710.0;580.0;501.0;523.0;204.0;335.0;-277.0;-726.0;446.0;?
104;713.0;573.0;503.0;?;179.0;?;?;?;420.0;-218.0
104;715.0;569.0;505.0;532.0;160.0;353.0;?;-720.0;398.0;-252.0
104;715.0;568.0;506.0;537.0;147.0;344.0;-256.0;?;407.0;?
?;715.0;569.0;?;?;144.0;391.0;-263.0;-716.0;?;-303.0
103;714.0;574.0;508.0;542.0;147.0;455.0;-286.0;-713.0;418.0;-328.0
103;712.0;581.0;?;542.0;160.0;?;?;-712.0;398.0;-333.0
103;708.0;590.0;506.0;543.0;180.0;520.0;?;-711.0;370.0;?
103;?;?;505.0;541.0;216.0;547.0;-384.0;-711.0;?;-370.0
103;695.0;615.0;?;541.0;248.0;558.0;-407.0;-711.0;355.0;-396.0
104;?;?;?;541.0;270.0;572.0;-421.0;-711.0;327.0;-392.0
104;680.0;642.0;503.0;539.0;306.0;547.0;-448.0;-712.0;326.0;-380.0
104;673.0;?;?;535.0;338.0;516.0;-465.0;-712.0;333.0;-386.0
108;666.0;664.0;?;531.0;370.0;474.0;?;-712.0;340.0;-417.0
109;?;672.0;506.0;524.0;393.0;452.0;-444.0;-712.0;353.0;-409.0
110;659.0;?;509.0;518.0;?;?;-435.0;?;330.0;-428.0
111;658.0;683.0;511.0;510.0;424.0;431.0;-442.0;-714.0;386.0;-404.0
112;658.0;687.0;?;504.0;?;414.0;-442.0;-716.0;377.0;-389.0
112;656.0;689.0;515.0;498.0;445.0;407.0;-431.0;?;329.0;?
112;656.0;689.0;517.0;493.0;451.0;399.0;-400.0;-721.0;?;-378.0
112;657.0;688.0;518.0;488.0;?;403.0;-371.0;?;?;-363.0
?;660.0;684.0;518.0;486.0;?;?;?;-728.0;266.0;-336.0
?;?;679.0;?;485.0;460.0;?;-337.0;-732.0;287.0;-305.0
112;670.0;672.0;516.0;?;451.0;?;?;-736.0;337.0;-285.0
112;?;665.0;?;?;444.0;343.0;-322.0;-739.0;350.0;-319.0
?;?;657.0;514.0;482.0;437.0;?;-299.0;-743.0;?;-321.0
111;?;650.0;513.0;480.0;427.0;364.0;-296.0;?;322.0;-314.0
111;690.0;644.0;513.0;482.0;?;382.0;-293.0;-750.0;294.0;-303.0
112;693.0;638.0;514.0;484.0;405.0;?;-293.0;-754.0;?;-275.0
112;695.0;?;516.0;?;397.0;?;-286.0;-757.0;298.0;-244.0
112;?;627.0;519.0;487.0;389.0;384.0;-265.0;-758.0;309.0;-243.0
112;698.0;622.0;521.0;487.0;379.0;394.0;-246.0;-760.0;296.0;-253.0
112;701.0;617.0;?;486.0;?;384.0;-237.0;-760.0;?;?
112;704.0;?;525.0;486.0;?;380.0;-268.0;-760.0;345.0;-255.0
?;707.0;612.0;526.0;487.0;?;384.0;-301.0;-760.0;372.0;-280.0
?;?;613.0;525.0;486.0;347.0;434.0;-309.0;?;407.0;-310.0
