InertialMeasurementUnit RUA accX;Accelerometer RUA_ accX;InertialMeasurementUnit RUA gyroZ;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit R-SHOE EuY;Accelerometer RKN^ accZ;Accelerometer LUA_ accY;Accelerometer LH accY;InertialMeasurementUnit BACK gyroX
-987.0;787.0;-33.0;659.0;166.0;62;-23;-20.0;929.0;1014.0;-49.0
-973.0;243.0;-42.0;998.0;198.0;150;-31;92.0;954.0;1017.0;-31.0
-1061.0;582.0;-679.0;857.0;112.0;-11;-26;135.0;1014.0;1088.0;55.0
-973.0;235.0;11.0;986.0;177.0;150;-31;101.0;964.0;993.0;33.0
-970.0;261.0;-37.0;980.0;187.0;150;-31;107.0;963.0;984.0;4.0
-122.0;553.0;958.0;-138.0;707.0;-98;-40;809.0;830.0;954.0;-687.0
-775.0;238.0;-425.0;658.0;154.0;76;-24;-46.0;686.0;797.0;247.0
-234.0;600.0;42.0;-429.0;943.0;92;-25;-11.0;927.0;993.0;6.0
-982.0;178.0;-114.0;1007.0;137.0;37;-23;-19.0;1086.0;1155.0;-400.0
-951.0;155.0;441.0;1129.0;142.0;-60;-40;77.0;1045.0;1073.0;-416.0
-992.0;281.0;858.0;1001.0;-98.0;-15;-28;386.0;993.0;1023.0;-128.0
-958.0;225.0;155.0;981.0;148.0;75;-24;170.0;980.0;1049.0;-76.0
-955.0;273.0;-17.0;997.0;126.0;74;-24;286.0;914.0;1005.0;-61.0
-1320.0;175.0;-326.0;1035.0;296.0;54;-79;93.0;846.0;995.0;119.0
-987.0;285.0;8.0;990.0;220.0;75;-24;158.0;952.0;990.0;-31.0
-997.0;268.0;59.0;1009.0;201.0;75;-24;138.0;962.0;980.0;68.0
-981.0;281.0;10.0;990.0;203.0;75;-24;109.0;943.0;958.0;87.0
-975.0;274.0;-20.0;990.0;188.0;75;-24;117.0;961.0;1018.0;56.0
-933.0;278.0;336.0;976.0;154.0;74;-24;59.0;875.0;1044.0;368.0
-967.0;300.0;6.0;961.0;223.0;74;-24;141.0;927.0;986.0;19.0
-956.0;257.0;20.0;982.0;200.0;74;-24;164.0;963.0;1016.0;-27.0
-971.0;252.0;10.0;976.0;185.0;74;-24;171.0;958.0;1001.0;-11.0
-970.0;291.0;-47.0;971.0;228.0;74;-24;96.0;932.0;997.0;70.0
-977.0;309.0;-4.0;989.0;233.0;74;-24;150.0;951.0;995.0;120.0
-964.0;282.0;-61.0;980.0;219.0;74;-24;128.0;982.0;1016.0;125.0
-997.0;245.0;38.0;1001.0;403.0;-24;-7;-51.0;926.0;1008.0;373.0
-974.0;315.0;-75.0;992.0;273.0;74;-24;125.0;960.0;990.0;111.0
-970.0;311.0;-5.0;989.0;246.0;74;-24;112.0;965.0;973.0;9.0
-979.0;303.0;17.0;993.0;256.0;74;-24;140.0;935.0;1016.0;-34.0
-1026.0;202.0;-223.0;1009.0;93.0;37;-23;-13.0;956.0;976.0;-363.0
-968.0;233.0;-7.0;984.0;202.0;74;-24;139.0;954.0;1004.0;-20.0
-967.0;276.0;-8.0;991.0;207.0;74;-24;139.0;970.0;1010.0;-60.0
-966.0;306.0;32.0;960.0;254.0;74;-24;130.0;940.0;1013.0;33.0
-975.0;310.0;-17.0;990.0;255.0;74;-24;136.0;945.0;1000.0;84.0
-979.0;317.0;-47.0;980.0;262.0;74;-24;148.0;943.0;979.0;77.0
-974.0;287.0;-9.0;978.0;219.0;74;-24;137.0;962.0;995.0;-21.0
-977.0;275.0;2.0;995.0;215.0;74;-24;169.0;961.0;995.0;4.0
-968.0;291.0;19.0;991.0;227.0;74;-24;142.0;970.0;982.0;-12.0
-973.0;292.0;-15.0;982.0;229.0;74;-24;126.0;934.0;996.0;-18.0
-961.0;269.0;18.0;972.0;221.0;74;-24;137.0;924.0;931.0;-81.0
-908.0;109.0;97.0;1109.0;126.0;52;-27;30.0;979.0;987.0;521.0
-972.0;320.0;-23.0;980.0;262.0;74;-24;141.0;956.0;982.0;11.0
-985.0;300.0;35.0;999.0;232.0;74;-24;109.0;986.0;997.0;34.0
-960.0;340.0;-318.0;969.0;262.0;74;-23;131.0;941.0;978.0;-12.0
-983.0;270.0;-138.0;994.0;233.0;150;-31;121.0;1104.0;1302.0;125.0
-1097.0;108.0;-30.0;906.0;-82.0;154;-28;-35.0;633.0;893.0;551.0
-1014.0;282.0;94.0;926.0;244.0;181;-54;155.0;963.0;1065.0;64.0
-957.0;318.0;111.0;952.0;273.0;-26;-3;147.0;944.0;996.0;-71.0
-947.0;377.0;177.0;934.0;211.0;-15;-28;419.0;972.0;1044.0;-1.0
-1039.0;255.0;-191.0;1150.0;232.0;117;-69;1414.0;1089.0;1234.0;112.0
-975.0;496.0;-25.0;867.0;60.0;88;-26;33.0;838.0;812.0;-3.0
-682.0;895.0;497.0;277.0;639.0;81;-28;1.0;548.0;64.0;-248.0
-862.0;565.0;-125.0;879.0;217.0;91;-27;66.0;981.0;1008.0;269.0
-936.0;385.0;-362.0;945.0;257.0;-4;-31;433.0;990.0;1072.0;242.0
-974.0;469.0;23.0;895.0;36.0;88;-26;69.0;840.0;830.0;-37.0
-685.0;198.0;-418.0;716.0;182.0;142;-26;176.0;665.0;828.0;598.0
-721.0;229.0;-133.0;784.0;263.0;163;-30;129.0;1030.0;1087.0;630.0
-892.0;310.0;-266.0;887.0;262.0;54;-25;443.0;1045.0;1312.0;66.0
-959.0;617.0;182.0;886.0;215.0;62;-23;-29.0;933.0;1012.0;-10.0
-956.0;419.0;154.0;922.0;237.0;-11;-25;116.0;955.0;1046.0;-7.0
-968.0;927.0;-372.0;486.0;108.0;141;-35;385.0;669.0;303.0;364.0
-1038.0;492.0;158.0;899.0;217.0;54;-25;78.0;960.0;1061.0;-183.0
-921.0;155.0;-32.0;914.0;149.0;141;-35;-8.0;761.0;871.0;-196.0
-971.0;435.0;-2.0;937.0;45.0;88;-26;58.0;874.0;806.0;-37.0
-1017.0;404.0;-58.0;1028.0;-18.0;-82;-26;259.0;747.0;327.0;61.0
-1003.0;182.0;146.0;988.0;-40.0;7;-22;466.0;1037.0;1062.0;29.0
-1147.0;269.0;146.0;1094.0;-27.0;-69;-64;-58.0;821.0;659.0;369.0
-909.0;515.0;-113.0;877.0;307.0;-25;-8;579.0;938.0;1078.0;-123.0
-1046.0;529.0;118.0;991.0;296.0;111;-29;315.0;991.0;1003.0;-127.0
-922.0;58.0;-650.0;1064.0;-115.0;133;-18;-395.0;884.0;1025.0;66.0
-877.0;207.0;129.0;884.0;97.0;-29;-27;-40.0;871.0;868.0;118.0
-723.0;215.0;550.0;813.0;166.0;105;3;-563.0;1138.0;1211.0;-319.0
-675.0;929.0;360.0;267.0;711.0;54;-26;102.0;948.0;978.0;-85.0
-945.0;291.0;-56.0;979.0;258.0;150;-31;50.0;-739.0;-661.0;-55.0
-1216.0;5.0;313.0;1093.0;132.0;92;-66;-298.0;759.0;801.0;-314.0
-982.0;183.0;403.0;848.0;28.0;67;-48;-281.0;840.0;852.0;-779.0
-852.0;232.0;668.0;1037.0;197.0;147;-15;1076.0;1093.0;1039.0;-246.0
-878.0;944.0;-196.0;405.0;506.0;-15;-27;29.0;952.0;968.0;-191.0
-736.0;941.0;-773.0;216.0;613.0;118;-28;96.0;1075.0;1033.0;500.0
-973.0;134.0;-36.0;1011.0;32.0;17;-28;-89.0;724.0;907.0;67.0
