InertialMeasurementUnit RUA accX;Accelerometer RUA_ accX;InertialMeasurementUnit RUA gyroZ;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit R-SHOE EuY;Accelerometer RKN^ accZ;Accelerometer LUA_ accY;Accelerometer LH accY;InertialMeasurementUnit BACK gyroX
-993.0;547.0;-2.0;895.0;172.0;45;-39;152.0;962.0;1044.0;-19.0
-973.0;243.0;-42.0;998.0;198.0;150;-31;92.0;954.0;1017.0;-31.0
-960.0;340.0;-318.0;969.0;262.0;74;-23;131.0;941.0;978.0;-12.0
-973.0;235.0;11.0;986.0;177.0;150;-31;101.0;964.0;993.0;33.0
-970.0;261.0;-37.0;980.0;187.0;150;-31;107.0;963.0;984.0;4.0
-892.0;407.0;206.0;924.0;268.0;-26;-3;268.0;1001.0;1028.0;63.0
-975.0;261.0;-109.0;980.0;190.0;150;-31;122.0;948.0;1007.0;132.0
-940.0;500.0;-4.0;818.0;284.0;75;-24;183.0;943.0;1004.0;21.0
-944.0;321.0;-61.0;974.0;268.0;150;-31;136.0;1015.0;1074.0;-268.0
-963.0;272.0;138.0;999.0;185.0;75;-24;168.0;975.0;1029.0;-171.0
-958.0;225.0;155.0;981.0;148.0;75;-24;170.0;980.0;1049.0;-76.0
-964.0;258.0;71.0;964.0;171.0;75;-24;168.0;948.0;1009.0;-48.0
-964.0;272.0;-10.0;961.0;170.0;75;-24;179.0;910.0;1043.0;-63.0
-1001.0;275.0;-141.0;997.0;186.0;75;-24;160.0;950.0;956.0;18.0
-987.0;285.0;8.0;990.0;220.0;75;-24;158.0;952.0;990.0;-31.0
-997.0;268.0;59.0;1009.0;201.0;75;-24;138.0;962.0;980.0;68.0
-981.0;281.0;10.0;990.0;203.0;75;-24;109.0;943.0;958.0;87.0
-975.0;274.0;-20.0;990.0;188.0;75;-24;117.0;961.0;1018.0;56.0
-972.0;290.0;118.0;980.0;229.0;74;-24;149.0;934.0;1005.0;160.0
-967.0;300.0;6.0;961.0;223.0;74;-24;141.0;927.0;986.0;19.0
-956.0;257.0;20.0;982.0;200.0;74;-24;164.0;963.0;1016.0;-27.0
-971.0;252.0;10.0;976.0;185.0;74;-24;171.0;958.0;1001.0;-11.0
-970.0;291.0;-47.0;971.0;228.0;74;-24;96.0;932.0;997.0;70.0
-977.0;309.0;-4.0;989.0;233.0;74;-24;150.0;951.0;995.0;120.0
-964.0;282.0;-61.0;980.0;219.0;74;-24;128.0;982.0;1016.0;125.0
-960.0;292.0;-41.0;960.0;250.0;74;-24;100.0;952.0;1002.0;142.0
-974.0;315.0;-75.0;992.0;273.0;74;-24;125.0;960.0;990.0;111.0
-970.0;311.0;-5.0;989.0;246.0;74;-24;112.0;965.0;973.0;9.0
-979.0;303.0;17.0;993.0;256.0;74;-24;140.0;935.0;1016.0;-34.0
-976.0;310.0;-115.0;972.0;244.0;74;-24;109.0;967.0;1014.0;-218.0
-968.0;233.0;-7.0;984.0;202.0;74;-24;139.0;954.0;1004.0;-20.0
-967.0;276.0;-8.0;991.0;207.0;74;-24;139.0;970.0;1010.0;-60.0
-966.0;306.0;32.0;960.0;254.0;74;-24;130.0;940.0;1013.0;33.0
-975.0;310.0;-17.0;990.0;255.0;74;-24;136.0;945.0;1000.0;84.0
-979.0;317.0;-47.0;980.0;262.0;74;-24;148.0;943.0;979.0;77.0
-974.0;287.0;-9.0;978.0;219.0;74;-24;137.0;962.0;995.0;-21.0
-977.0;275.0;2.0;995.0;215.0;74;-24;169.0;961.0;995.0;4.0
-968.0;291.0;19.0;991.0;227.0;74;-24;142.0;970.0;982.0;-12.0
-973.0;292.0;-15.0;982.0;229.0;74;-24;126.0;934.0;996.0;-18.0
-961.0;269.0;18.0;972.0;221.0;74;-24;137.0;924.0;931.0;-81.0
-971.0;259.0;56.0;978.0;187.0;74;-24;108.0;960.0;1054.0;211.0
-972.0;320.0;-23.0;980.0;262.0;74;-24;141.0;956.0;982.0;11.0
-985.0;300.0;35.0;999.0;232.0;74;-24;109.0;986.0;997.0;34.0
-984.0;261.0;-50.0;978.0;193.0;74;-24;119.0;961.0;994.0;-54.0
-1006.0;226.0;-47.0;1001.0;183.0;150;-31;107.0;932.0;1217.0;38.0
-890.0;235.0;16.0;877.0;150.0;-29;-27;-51.0;836.0;881.0;154.0
-1014.0;282.0;94.0;926.0;244.0;181;-54;155.0;963.0;1065.0;64.0
-957.0;318.0;111.0;952.0;273.0;-26;-3;147.0;944.0;996.0;-71.0
-979.0;379.0;124.0;944.0;218.0;-11;-25;191.0;974.0;1035.0;-36.0
-981.0;328.0;-3.0;970.0;157.0;-15;-28;384.0;981.0;1039.0;-97.0
-979.0;489.0;13.0;895.0;63.0;88;-26;54.0;836.0;825.0;-3.0
-981.0;485.0;39.0;886.0;50.0;88;-26;40.0;840.0;796.0;-35.0
-921.0;345.0;12.0;991.0;243.0;-26;-3;109.0;1008.0;1036.0;243.0
-971.0;379.0;-84.0;934.0;240.0;-15;-28;297.0;911.0;973.0;193.0
-974.0;469.0;23.0;895.0;36.0;88;-26;69.0;840.0;830.0;-37.0
-966.0;388.0;-76.0;933.0;215.0;-15;-28;164.0;886.0;937.0;203.0
-874.0;368.0;-103.0;867.0;291.0;-15;-28;162.0;1024.0;1077.0;249.0
-926.0;455.0;-96.0;862.0;305.0;-15;-28;190.0;1012.0;1144.0;72.0
-956.0;419.0;154.0;922.0;237.0;-11;-25;116.0;955.0;1046.0;-7.0
-963.0;422.0;81.0;964.0;250.0;-11;-25;161.0;948.0;1042.0;20.0
-980.0;474.0;-37.0;907.0;75.0;88;-26;45.0;848.0;799.0;62.0
-987.0;466.0;71.0;873.0;148.0;-11;-25;164.0;1001.0;1056.0;-65.0
-927.0;241.0;-73.0;937.0;226.0;-8;-31;53.0;838.0;1035.0;-165.0
-971.0;435.0;-2.0;937.0;45.0;88;-26;58.0;874.0;806.0;-37.0
-990.0;266.0;-45.0;830.0;51.0;27;-23;161.0;926.0;698.0;-22.0
-998.0;735.0;-249.0;680.0;63.0;62;-23;-19.0;903.0;1041.0;146.0
-1037.0;574.0;27.0;919.0;-32.0;91;-27;-22.0;951.0;1044.0;-121.0
-1030.0;74.0;154.0;1071.0;6.0;-130;-37;517.0;1112.0;1042.0;-68.0
-1014.0;224.0;169.0;978.0;64.0;-147;-42;442.0;1070.0;1097.0;-128.0
-984.0;176.0;173.0;989.0;68.0;-147;-42;407.0;1025.0;1113.0;-184.0
-984.0;203.0;113.0;1008.0;-13.0;-147;-43;461.0;1010.0;1016.0;-112.0
-979.0;195.0;-33.0;1075.0;101.0;29;-37;534.0;841.0;782.0;-315.0
-1078.0;-69.0;320.0;1146.0;-183.0;-7;-27;143.0;933.0;1124.0;895.0
-826.0;207.0;137.0;842.0;137.0;-26;-13;468.0;713.0;885.0;-88.0
-999.0;304.0;207.0;922.0;510.0;-14;-26;88.0;969.0;1016.0;234.0
-1003.0;187.0;-17.0;1009.0;-122.0;-147;-43;506.0;999.0;1025.0;12.0
-998.0;180.0;-178.0;1032.0;-86.0;-147;-43;459.0;986.0;994.0;19.0
-1090.0;367.0;-329.0;881.0;304.0;-2;-38;-42.0;1002.0;1053.0;241.0
-958.0;377.0;-141.0;1002.0;191.0;28;-24;149.0;969.0;879.0;-426.0
-890.0;168.0;-422.0;909.0;116.0;63;-27;588.0;1179.0;1255.0;215.0
-931.0;251.0;0.0;943.0;336.0;63;-28;50.0;876.0;995.0;333.0
-960.0;345.0;102.0;1030.0;254.0;-11;-46;366.0;810.0;1053.0;-597.0
-909.0;277.0;-21.0;925.0;-91.0;-90;-40;29.0;771.0;718.0;300.0
-1014.0;757.0;-80.0;585.0;103.0;62;-23;-11.0;922.0;991.0;-133.0
-853.0;148.0;98.0;845.0;42.0;38;-23;-106.0;869.0;1065.0;181.0
-970.0;780.0;-13.0;651.0;196.0;62;-23;-34.0;962.0;1005.0;-40.0
-981.0;53.0;-144.0;1041.0;-27.0;-147;-43;359.0;1068.0;994.0;137.0
-959.0;617.0;182.0;886.0;215.0;62;-23;-29.0;933.0;1012.0;-10.0
-968.0;500.0;-28.0;866.0;116.0;88;-26;-39.0;884.0;808.0;475.0
-1047.0;180.0;-497.0;1223.0;311.0;144;-55;386.0;1165.0;1549.0;66.0
-975.0;745.0;243.0;795.0;440.0;-66;-34;-93.0;890.0;963.0;-660.0
-969.0;825.0;25.0;630.0;147.0;62;-23;-31.0;937.0;1002.0;-22.0
-792.0;-32.0;-93.0;929.0;-96.0;-118;-34;98.0;937.0;1035.0;325.0
-1084.0;174.0;-582.0;1122.0;157.0;44;-27;-60.0;807.0;479.0;20.0
-978.0;171.0;149.0;1012.0;110.0;45;-26;102.0;815.0;831.0;111.0
-986.0;125.0;-91.0;1030.0;43.0;45;-26;-117.0;799.0;876.0;-71.0
-976.0;136.0;-20.0;1022.0;20.0;47;-26;-88.0;807.0;900.0;-67.0
-979.0;130.0;14.0;1014.0;31.0;28;-27;-70.0;847.0;911.0;13.0
-977.0;155.0;-67.0;999.0;50.0;17;-28;-59.0;800.0;926.0;61.0
-973.0;134.0;-36.0;1011.0;32.0;17;-28;-89.0;724.0;907.0;67.0
-989.0;156.0;-16.0;1020.0;59.0;28;-26;-97.0;796.0;644.0;124.0
-1019.0;171.0;-83.0;1029.0;93.0;47;-21;-86.0;852.0;886.0;394.0
-1097.0;108.0;-30.0;906.0;-82.0;154;-28;-35.0;633.0;893.0;551.0
-723.0;215.0;550.0;813.0;166.0;105;3;-563.0;1138.0;1211.0;-319.0
-970.0;92.0;205.0;1021.0;-20.0;-148;-43;216.0;935.0;1054.0;-243.0
-774.0;121.0;-182.0;838.0;117.0;-156;-28;71.0;791.0;869.0;284.0
-993.0;391.0;-271.0;995.0;235.0;-15;-28;273.0;1070.0;1157.0;-250.0
-910.0;683.0;-58.0;623.0;318.0;166;-28;524.0;911.0;1016.0;-36.0
-899.0;138.0;138.0;910.0;-18.0;69;-11;548.0;750.0;956.0;252.0
-871.0;171.0;172.0;842.0;77.0;58;-22;25.0;795.0;927.0;328.0
-997.0;245.0;38.0;1001.0;403.0;-24;-7;-51.0;926.0;1008.0;373.0
-903.0;152.0;30.0;930.0;28.0;82;-10;334.0;849.0;762.0;82.0
-947.0;377.0;177.0;934.0;211.0;-15;-28;419.0;972.0;1044.0;-1.0
-935.0;413.0;230.0;932.0;209.0;-15;-28;444.0;964.0;1035.0;-19.0
-901.0;533.0;222.0;860.0;304.0;-108;-36;975.0;1190.0;1039.0;-205.0
-849.0;630.0;-226.0;568.0;321.0;164;-28;-166.0;933.0;1019.0;260.0
-818.0;624.0;-398.0;747.0;496.0;-15;-28;334.0;1067.0;1082.0;-71.0
-845.0;528.0;-286.0;697.0;433.0;-15;-28;311.0;1026.0;1079.0;-112.0
-988.0;131.0;-710.0;1011.0;-220.0;7;-23;446.0;1033.0;1053.0;296.0
-999.0;-44.0;-80.0;990.0;-184.0;48;-63;152.0;861.0;882.0;-137.0
-735.0;566.0;309.0;890.0;466.0;35;-12;75.0;938.0;1022.0;36.0
-982.0;740.0;-44.0;700.0;124.0;62;-23;-39.0;959.0;1031.0;-39.0
-892.0;259.0;671.0;860.0;189.0;-111;-43;-178.0;964.0;1244.0;127.0
-826.0;215.0;-161.0;829.0;0.0;-146;-27;126.0;805.0;869.0;689.0
-881.0;601.0;-240.0;850.0;-48.0;-15;-28;373.0;1056.0;1083.0;107.0
-826.0;396.0;-919.0;1216.0;425.0;-113;-34;1063.0;1108.0;807.0;-234.0
-775.0;238.0;-425.0;658.0;154.0;76;-24;-46.0;686.0;797.0;247.0
-865.0;347.0;-92.0;832.0;285.0;-5;-44;859.0;1043.0;1243.0;-495.0
-1105.0;169.0;8.0;1090.0;-70.0;7;-33;557.0;1065.0;1096.0;-73.0
-1070.0;242.0;151.0;1032.0;69.0;8;-23;296.0;995.0;1077.0;22.0
-994.0;602.0;55.0;769.0;159.0;91;-47;71.0;883.0;945.0;-507.0
-862.0;124.0;299.0;913.0;52.0;-29;-27;-28.0;875.0;913.0;-80.0
-881.0;463.0;-665.0;843.0;-47.0;7;-23;381.0;930.0;1015.0;197.0
-1047.0;468.0;51.0;904.0;179.0;57;-25;62.0;896.0;994.0;-373.0
-1026.0;251.0;-342.0;999.0;-52.0;-15;-28;348.0;987.0;1039.0;209.0
-971.0;143.0;-85.0;980.0;-61.0;7;-22;515.0;991.0;996.0;141.0
-962.0;-149.0;531.0;1052.0;-423.0;17;-26;380.0;855.0;901.0;249.0
-1003.0;182.0;146.0;988.0;-40.0;7;-22;466.0;1037.0;1062.0;29.0
-955.0;149.0;93.0;933.0;-21.0;7;-22;507.0;1005.0;1037.0;-25.0
-1034.0;242.0;-81.0;1000.0;-14.0;7;-22;480.0;1030.0;1067.0;-8.0
-992.0;281.0;858.0;1001.0;-98.0;-15;-28;386.0;993.0;1023.0;-128.0
-685.0;198.0;-418.0;716.0;182.0;142;-26;176.0;665.0;828.0;598.0
-877.0;207.0;129.0;884.0;97.0;-29;-27;-40.0;871.0;868.0;118.0
-960.0;520.0;335.0;815.0;178.0;155;-13;0.0;928.0;1149.0;-112.0
-909.0;514.0;110.0;853.0;231.0;159;-24;-55.0;1089.0;983.0;7.0
-779.0;213.0;55.0;952.0;136.0;118;-26;99.0;845.0;755.0;20.0
-1033.0;159.0;-42.0;1012.0;282.0;109;-81;247.0;1125.0;1063.0;-19.0
-736.0;261.0;-270.0;727.0;198.0;112;-21;131.0;714.0;851.0;260.0
-987.0;787.0;-33.0;659.0;166.0;62;-23;-20.0;929.0;1014.0;-49.0
-840.0;197.0;-517.0;794.0;38.0;-37;-21;217.0;1076.0;1165.0;115.0
-712.0;208.0;10.0;656.0;271.0;-128;-51;40.0;1020.0;1120.0;-40.0
-987.0;792.0;-28.0;706.0;156.0;62;-23;-38.0;940.0;994.0;-73.0
-968.0;681.0;-68.0;757.0;59.0;83;-27;-15.0;941.0;1036.0;275.0
-900.0;614.0;43.0;851.0;281.0;159;-24;2.0;1020.0;1043.0;150.0
-936.0;799.0;-388.0;451.0;304.0;64;-25;191.0;943.0;1061.0;-461.0
-892.0;310.0;-266.0;887.0;262.0;54;-25;443.0;1045.0;1312.0;66.0
-949.0;617.0;-373.0;818.0;322.0;158;-23;-266.0;943.0;1017.0;159.0
-921.0;155.0;-32.0;914.0;149.0;141;-35;-8.0;761.0;871.0;-196.0
-989.0;368.0;-389.0;885.0;287.0;-16;-29;31.0;1000.0;1036.0;67.0
-1082.0;410.0;25.0;965.0;311.0;91;-27;173.0;1226.0;1199.0;-141.0
-1140.0;161.0;120.0;1214.0;145.0;59;-24;-70.0;893.0;1065.0;-85.0
-1017.0;334.0;289.0;1043.0;102.0;74;-24;58.0;997.0;1135.0;201.0
-933.0;278.0;336.0;976.0;154.0;74;-24;59.0;875.0;1044.0;368.0
-979.0;620.0;-486.0;801.0;140.0;158;-23;426.0;998.0;1007.0;495.0
-942.0;605.0;14.0;811.0;413.0;158;-23;661.0;983.0;988.0;153.0
-977.0;353.0;64.0;914.0;221.0;-4;-31;391.0;1003.0;971.0;343.0
-811.0;409.0;135.0;1011.0;222.0;127;-26;103.0;935.0;1150.0;470.0
-948.0;408.0;297.0;669.0;50.0;113;-20;85.0;843.0;983.0;84.0
-974.0;131.0;117.0;971.0;89.0;90;-64;-51.0;909.0;979.0;102.0
-1000.0;625.0;-63.0;810.0;311.0;62;-23;53.0;952.0;1032.0;-227.0
-942.0;623.0;-6.0;829.0;298.0;158;-23;416.0;970.0;986.0;-31.0
-904.0;107.0;169.0;952.0;-81.0;97;-68;-128.0;880.0;996.0;154.0
-987.0;658.0;-196.0;791.0;346.0;62;-23;-64.0;945.0;1030.0;-80.0
-1320.0;175.0;-326.0;1035.0;296.0;54;-79;93.0;846.0;995.0;119.0
-933.0;328.0;230.0;967.0;169.0;74;-24;278.0;1252.0;1186.0;-329.0
-947.0;678.0;-443.0;712.0;295.0;62;-23;-16.0;951.0;1032.0;3.0
-942.0;252.0;114.0;960.0;186.0;75;-24;407.0;779.0;940.0;-150.0
-1220.0;5.0;243.0;1092.0;213.0;-20;-81;-106.0;883.0;909.0;-213.0
-862.0;271.0;-295.0;886.0;109.0;36;-30;-50.0;962.0;1064.0;-6.0
-1027.0;764.0;-623.0;512.0;37.0;92;-27;-30.0;1009.0;1063.0;473.0
-1148.0;173.0;-484.0;847.0;115.0;100;-3;11.0;852.0;1141.0;287.0
-719.0;171.0;-100.0;805.0;211.0;153;-34;-5.0;954.0;980.0;502.0
-1133.0;372.0;-164.0;1402.0;262.0;61;-59;-38.0;1046.0;1338.0;227.0
-987.0;202.0;271.0;972.0;84.0;-112;-26;-64.0;1022.0;954.0;-453.0
-976.0;262.0;-97.0;996.0;167.0;75;-24;238.0;1000.0;1027.0;-326.0
-981.0;207.0;189.0;1010.0;146.0;150;-31;115.0;879.0;921.0;-152.0
-976.0;296.0;-145.0;990.0;226.0;75;-24;121.0;1135.0;1289.0;500.0
-879.0;537.0;102.0;836.0;369.0;-26;-3;280.0;977.0;1003.0;-269.0
-948.0;209.0;5.0;969.0;126.0;75;-23;295.0;1239.0;1142.0;-143.0
-983.0;238.0;22.0;999.0;143.0;74;-23;-197.0;989.0;1082.0;-77.0
-739.0;219.0;-404.0;882.0;358.0;91;-15;236.0;978.0;1229.0;345.0
-557.0;651.0;712.0;335.0;721.0;-11;-26;209.0;931.0;1035.0;-492.0
-843.0;211.0;180.0;946.0;121.0;-176;-30;-245.0;1099.0;1501.0;-542.0
-982.0;178.0;-114.0;1007.0;137.0;37;-23;-19.0;1086.0;1155.0;-400.0
-744.0;193.0;-99.0;817.0;213.0;157;-29;111.0;853.0;963.0;431.0
-979.0;293.0;-122.0;991.0;150.0;74;-24;117.0;1010.0;1014.0;394.0
-862.0;565.0;-125.0;879.0;217.0;91;-27;66.0;981.0;1008.0;269.0
-932.0;-3.0;122.0;867.0;-233.0;27;-17;-8.0;857.0;828.0;-145.0
-1023.0;487.0;-204.0;972.0;103.0;45;-39;502.0;948.0;960.0;-403.0
-1079.0;141.0;145.0;859.0;33.0;-23;-65;-142.0;841.0;942.0;-137.0
-773.0;225.0;-165.0;816.0;226.0;157;-35;121.0;931.0;972.0;437.0
-949.0;701.0;-203.0;714.0;303.0;62;-23;48.0;931.0;997.0;126.0
-949.0;213.0;136.0;984.0;111.0;74;-23;303.0;1271.0;783.0;-110.0
-1027.0;869.0;-159.0;800.0;37.0;-178;-32;65.0;945.0;1029.0;74.0
-891.0;268.0;-63.0;816.0;215.0;102;5;403.0;1290.0;1318.0;-211.0
-747.0;245.0;-284.0;826.0;263.0;169;-32;88.0;896.0;1022.0;217.0
-911.0;497.0;123.0;891.0;210.0;158;-23;455.0;1028.0;983.0;309.0
-1057.0;170.0;106.0;1073.0;8.0;-99;-39;467.0;1033.0;1036.0;37.0
-929.0;126.0;279.0;920.0;82.0;75;-23;333.0;902.0;958.0;54.0
-1011.0;34.0;-74.0;997.0;-96.0;167;-31;23.0;662.0;1096.0;223.0
-1034.0;550.0;-130.0;902.0;273.0;121;-28;356.0;954.0;1073.0;-88.0
-1046.0;529.0;118.0;991.0;296.0;111;-29;315.0;991.0;1003.0;-127.0
-1124.0;198.0;-86.0;1014.0;-190.0;-84;-25;318.0;965.0;932.0;373.0
-793.0;234.0;-292.0;872.0;213.0;111;-32;31.0;1277.0;1467.0;206.0
-816.0;15.0;-369.0;970.0;34.0;64;-26;387.0;1001.0;1096.0;770.0
-929.0;536.0;643.0;884.0;238.0;159;-24;-49.0;973.0;923.0;477.0
-852.0;1018.0;-47.0;368.0;492.0;-15;-28;4.0;929.0;1030.0;-89.0
-765.0;910.0;1287.0;126.0;413.0;91;-27;498.0;938.0;673.0;-17.0
-922.0;58.0;-650.0;1064.0;-115.0;133;-18;-395.0;884.0;1025.0;66.0
-1216.0;5.0;313.0;1093.0;132.0;92;-66;-298.0;759.0;801.0;-314.0
-845.0;398.0;-326.0;873.0;187.0;-81;-25;433.0;670.0;1025.0;678.0
-1091.0;17.0;-408.0;918.0;-22.0;87;-11;-323.0;664.0;813.0;512.0
-1152.0;33.0;160.0;1220.0;200.0;93;-68;-362.0;791.0;880.0;-435.0
-938.0;29.0;-190.0;846.0;176.0;38;-68;-4.0;800.0;900.0;-562.0
-1046.0;282.0;-151.0;1084.0;26.0;-82;-26;1010.0;734.0;339.0;83.0
-833.0;1010.0;-116.0;111.0;688.0;144;-31;249.0;894.0;998.0;-125.0
-1122.0;39.0;-290.0;1301.0;142.0;38;-80;287.0;764.0;786.0;22.0
-861.0;915.0;195.0;287.0;454.0;-58;-26;-29.0;460.0;333.0;-247.0
-835.0;425.0;-207.0;950.0;-95.0;-82;-25;5.0;823.0;755.0;-553.0
-944.0;170.0;229.0;809.0;227.0;66;-4;988.0;1128.0;1527.0;60.0
-730.0;252.0;-322.0;903.0;184.0;-100;-52;-2.0;680.0;1142.0;468.0
-689.0;251.0;-125.0;757.0;223.0;163;-29;119.0;885.0;984.0;614.0
-708.0;188.0;-62.0;755.0;228.0;130;-26;274.0;1159.0;1176.0;782.0
-982.0;183.0;403.0;848.0;28.0;67;-48;-281.0;840.0;852.0;-779.0
-1198.0;-47.0;184.0;1206.0;190.0;-31;-77;814.0;864.0;885.0;-333.0
-941.0;893.0;-708.0;545.0;236.0;-58;-26;-18.0;610.0;626.0;193.0
-1087.0;310.0;15.0;943.0;92.0;1;-51;-125.0;808.0;777.0;-571.0
-883.0;175.0;711.0;943.0;145.0;52;-26;100.0;838.0;972.0;-298.0
-1329.0;234.0;-443.0;1271.0;343.0;45;-68;-124.0;831.0;1274.0;40.0
-753.0;304.0;-471.0;1125.0;296.0;100;-19;10.0;1237.0;1069.0;193.0
-852.0;232.0;668.0;1037.0;197.0;147;-15;1076.0;1093.0;1039.0;-246.0
-1235.0;335.0;-282.0;1166.0;324.0;-47;-64;-206.0;693.0;890.0;-62.0
-1198.0;95.0;-588.0;1143.0;62.0;150;-24;1756.0;1310.0;1291.0;-347.0
-1013.0;-7.0;-326.0;946.0;363.0;-59;-41;408.0;800.0;1272.0;283.0
-1039.0;255.0;-191.0;1150.0;232.0;117;-69;1414.0;1089.0;1234.0;112.0
-1215.0;195.0;-97.0;1259.0;228.0;-16;-68;-150.0;686.0;761.0;23.0
-960.0;226.0;23.0;982.0;202.0;150;-31;136.0;361.0;1199.0;209.0
-1045.0;235.0;256.0;1146.0;128.0;1;-73;270.0;1081.0;1049.0;-604.0
-993.0;899.0;-812.0;187.0;219.0;-24;-31;15.0;957.0;1137.0;-1637.0
-975.0;277.0;-339.0;1254.0;268.0;52;-64;445.0;924.0;1156.0;260.0
-1061.0;250.0;-275.0;1124.0;-310.0;7;-23;345.0;1131.0;1075.0;-94.0
-234.0;600.0;42.0;-429.0;943.0;92;-25;-11.0;927.0;993.0;6.0
-984.0;285.0;-487.0;1087.0;225.0;75;-11;66.0;1145.0;1233.0;910.0
-914.0;1030.0;211.0;181.0;377.0;116;-28;231.0;115.0;497.0;-180.0
-681.0;882.0;26.0;235.0;585.0;81;-27;-30.0;593.0;89.0;29.0
-847.0;179.0;865.0;783.0;41.0;102;-5;-323.0;929.0;1171.0;-474.0
-976.0;893.0;18.0;532.0;164.0;-58;-26;-37.0;514.0;641.0;-19.0
-1256.0;137.0;53.0;1308.0;197.0;10;-81;-40.0;818.0;916.0;183.0
-761.0;985.0;43.0;66.0;753.0;150;-31;226.0;992.0;1071.0;516.0
-784.0;918.0;-869.0;145.0;745.0;116;-31;133.0;999.0;1052.0;380.0
-1476.0;240.0;-66.0;1234.0;248.0;18;-74;-106.0;863.0;922.0;-30.0
-1182.0;243.0;-568.0;1261.0;252.0;141;-32;3.0;1282.0;1392.0;-133.0
-721.0;229.0;-425.0;864.0;136.0;150;-28;-243.0;735.0;1094.0;343.0
-635.0;254.0;-251.0;727.0;196.0;65;-34;139.0;774.0;1219.0;530.0
-842.0;324.0;-486.0;1207.0;234.0;92;-42;44.0;1234.0;936.0;215.0
-806.0;380.0;-390.0;1227.0;281.0;73;-40;114.0;1346.0;1115.0;73.0
-869.0;826.0;-38.0;631.0;354.0;89;-26;191.0;541.0;10.0;-67.0
-1311.0;218.0;-244.0;1254.0;187.0;-65;-67;606.0;835.0;915.0;132.0
-1010.0;761.0;-1075.0;921.0;239.0;-15;-27;32.0;941.0;1047.0;280.0
-1147.0;269.0;146.0;1094.0;-27.0;-69;-64;-58.0;821.0;659.0;369.0
-1000.0;184.0;-206.0;1053.0;54.0;-23;-11;322.0;855.0;352.0;108.0
-771.0;575.0;330.0;790.0;214.0;-84;-25;302.0;1113.0;1093.0;409.0
-1276.0;101.0;-2.0;1285.0;132.0;87;-10;-1140.0;1391.0;1393.0;-336.0
-1045.0;49.0;205.0;1202.0;132.0;106;-11;274.0;1243.0;1364.0;-19.0
-958.0;416.0;-282.0;909.0;315.0;-23;-11;157.0;961.0;1003.0;1021.0
-981.0;171.0;458.0;1018.0;89.0;65;-29;134.0;910.0;1029.0;-1369.0
-608.0;879.0;-594.0;254.0;781.0;58;-27;234.0;934.0;1040.0;1014.0
-1066.0;54.0;-248.0;918.0;-138.0;138;-18;121.0;827.0;951.0;998.0
-827.0;40.0;438.0;1142.0;-147.0;-49;-78;37.0;882.0;1088.0;-179.0
-919.0;-64.0;-1050.0;1201.0;-82.0;73;-13;-1234.0;760.0;843.0;-261.0
