InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit L-SHOE Nav_Ax
-62;-62;74;140.0;39
-41;-41;61;91.0;26
-9;-9;8;44.0;-29
-37;-37;3;-14.0;-39
-87;-87;13;-23.0;-25
-93;-93;33;-61.0;-2
-66;-66;72;-84.0;32
-50;-50;97;-91.0;47
-4;-4;80;-72.0;35
-10;-10;67;-78.0;11
13;13;68;-82.0;20
118;118;68;-107.0;27
99;99;43;-130.0;-15
52;52;-35;-131.0;-58
-114;-114;-77;-163.0;-193
-307;-307;-206;-157.0;-348
-258;-258;-132;-168.0;-306
-16;-16;186;-149.0;-146
219;219;73;-125.0;-26
27;27;-87;-85.0;-25
-102;-102;-13;-75.0;-17
26;26;-21;-119.0;22
-2;-2;-8;-135.0;18
13;13;2;-255.0;25
18;18;-4;-172.0;27
-14;-14;7;-157.0;26
15;15;-3;-117.0;21
21;21;-21;-144.0;-1
21;21;-17;-48.0;4
22;22;-7;-29.0;13
25;25;-13;45.0;6
37;37;-3;78.0;16
0;0;-27;66.0;-3
-14;-14;-12;69.0;11
11;11;-4;25.0;18
31;31;-40;61.0;-18
?;51;-7;60.0;11
?;?;-74;68.0;-48
?;?;59;74.0;77
?;?;-11;73.0;20
?;?;-290;57.0;-233
?;?;223;40.0;225
?;?;511;32.0;488
-186;?;131;46.0;129
-20;?;11;54.0;-17
-180;-180;-13;42.0;-49
-163;-163;-97;46.0;-118
-231;-231;-33;59.0;-74
-319;-319;?;59.0;-65
-285;-285;?;61.0;-64
-301;-301;?;100.0;9
-184;-184;?;77.0;36
-14;-14;?;63.0;36
35;35;?;63.0;34
50;50;106;39.0;52
57;57;128;-14.0;57
52;52;90;-12.0;15
87;87;46;30.0;-7
129;129;51;-7.0;-4
150;150;25;-3.0;-27
97;97;-11;30.0;-62
20;20;-11;11.0;-51
-39;-39;-74;-23.0;?
-105;-105;14;-18.0;?
-153;-153;157;-77.0;?
-196;-196;69;-95.0;?
-110;-110;321;-103.0;243
-148;-148;-125;-170.0;-159
5;5;195;-210.0;78
-66;-66;-119;-210.0;-214
99;99;-387;-208.0;-575
461;461;858;-226.0;554
-1574;-1574;-4305;-191.0;-3346
-1748;-1748;-4964;-204.0;-3927
274;274;707;-156.0;549
-14;-14;-23;-116.0;0
-102;-102;?;-146.0;-207
68;68;?;-206.0;223
-114;?;?;-238.0;-200
61;?;?;-156.0;119
-23;?;?;-122.0;-41
-9;?;?;-150.0;-14
19;?;?;-59.0;14
-3;?;?;21.0;-5
14;?;?;94.0;10
41;?;?;130.0;-11
12;?;?;164.0;-3
-19;?;?;168.0;-3
15;?;?;207.0;-2
5;?;?;164.0;9
-29;?;-34;119.0;-27
14;?;1;132.0;4
-68;-68;-23;74.0;-18
-49;-49;-26;46.0;-15
-2;-2;74;48.0;85
-384;-384;-142;12.0;-113
-199;-199;-13;17.0;?
153;153;278;10.0;?
131;131;226;8.0;?
467;467;?;59.0;?
392;392;?;67.0;?
31;31;?;73.0;-166
-91;-91;?;73.0;14
-223;-223;?;83.0;-60
-177;-177;?;75.0;-11
-107;-107;?;56.0;46
-119;-119;?;58.0;71
?;0;?;57.0;-25
?;67;-67;28.0;-46
?;13;-30;65.0;39
?;79;-45;79.0;-2
?;86;-90;48.0;-53
?;-52;-170;90.0;-105
-103;-103;-119;73.0;-57
-61;-61;-4;20.0;42
-52;-52;-5;-5.0;42
-48;-48;-28;-29.0;24
-29;-29;-65;-58.0;-18
-49;-49;-108;-31.0;-64
-98;-98;-44;-69.0;-3
-99;-99;9;-74.0;34
-45;-45;45;?;85
4;?;14;?;48
2;2;-86;-106.0;-64
-28;-28;-62;-89.0;-2
-106;-106;-155;-70.0;-182
-473;-473;144;-120.0;136
-580;-580;-96;-105.0;-318
-301;-301;-51;-113.0;-313
-50;-50;1049;-128.0;1388
496;496;23;-120.0;127
523;523;-574;-103.0;-779
15;15;246;-110.0;274
-15;-15;-27;-165.0;-77
53;53;-18;-188.0;-56
10;10;44;-270.0;27
-15;-15;-34;-336.0;-81
?;-3;38;-227.0;17
?;43;-17;-166.0;-51
?;3;-14;-42.0;-39
?;-29;-16;-7.0;-37
?;26;2;91.0;-18
?;8;6;120.0;-14
-26;-26;5;144.0;-12
1;1;5;186.0;-9
14;?;-4;203.0;-18
23;?;-3;232.0;-15
7;?;-12;222.0;-19
7;?;-10;208.0;-15
13;?;-4;213.0;-9
?;16;-5;184.0;-7
?;22;1;135.0;?
?;4;-5;128.0;?
?;11;-6;104.0;?
?;2;-2;92.0;?
?;-6;-6;83.0;?
?;2;-7;91.0;?
?;-18;-6;80.0;?
-19;-19;-6;51.0;?
2;2;0;46.0;?
24;24;?;-27.0;?
-10;-10;?;11.0;?
-35;-35;-8;-26.0;-5
4;4;-12;-80.0;-8
5;5;-3;-110.0;0
-5;-5;2;-82.0;4
-15;-15;-2;-95.0;0
-13;-13;-4;-62.0;-2
5;5;-1;-68.0;0
13;13;1;-48.0;0
24;24;0;-8.0;1
7;7;6;-21.0;7
11;11;5;-12.0;5
21;21;-1;-19.0;0
1;?;-2;6.0;-1
22;?;-3;6.0;-2
39;?;-3;61.0;-2
2;?;-6;33.0;-4
-2;?;-3;104.0;-3
17;?;-2;110.0;-2
11;?;-6;74.0;-6
3;?;-4;113.0;-1
-8;?;-3;?;0
9;?;-4;?;-2
33;?;-4;?;?
28;28;-3;?;?
-2;-2;1;?;4
-18;-18;6;?;9
-6;-6;8;-38.0;10
-19;-19;1;-73.0;1
-1;-1;0;-112.0;1
6;6;3;-106.0;4
-41;-41;-2;-129.0;-2
-31;-31;0;-94.0;-2
-1;-1;3;-64.0;0
-4;-4;1;-63.0;1
-31;-31;0;-68.0;1
-16;-16;1;-65.0;1
23;23;3;-39.0;2
-3;-3;1;-30.0;0
-7;-7;0;-27.0;-1
9;9;1;-19.0;1
-30;-30;5;-17.0;3
-45;-45;10;3.0;6
-6;-6;9;29.0;6
21;21;2;23.0;-1
19;19;-1;14.0;-6
1;1;4;55.0;1
10;10;3;68.0;3
8;8;0;57.0;-1
-7;-7;-2;53.0;-4
12;12;-2;77.0;-4
-8;-8;5;44.0;2
-13;-13;5;51.0;3
6;6;3;45.0;0
2;2;7;72.0;4
12;12;9;38.0;6
12;12;11;47.0;7
26;26;6;23.0;3
33;33;6;-15.0;4
15;15;9;7.0;5
1;1;7;43.0;4
12;12;7;21.0;5
28;28;1;10.0;?
-14;-14;3;36.0;?
-17;-17;4;14.0;?
20;20;3;14.0;?
-3;-3;2;-12.0;?
-18;-18;-4;-3.0;-6
-7;-7;6;1.0;1
-15;-15;10;8.0;4
-14;-14;4;4.0;-1
?;-7;6;-37.0;?
-6;-6;4;-50.0;?
20;20;4;-51.0;?
31;31;9;-39.0;?
-8;-8;5;-42.0;?
-11;-11;-1;-22.0;-6
2;?;5;-36.0;-1
-20;?;9;-54.0;2
-29;?;7;-11.0;0
-9;?;9;6.0;1
27;?;9;-13.0;3
20;?;10;40.0;4
-13;?;7;34.0;1
4;4;3;35.0;-2
15;15;6;21.0;1
-18;-18;3;27.0;-3
-34;-34;-2;32.0;-9
-20;-20;4;49.0;-2
-5;-5;10;27.0;4
2;2;7;25.0;-1
-5;-5;2;-5.0;-4
-18;-18;7;41.0;0
-7;-7;3;44.0;-3
24;24;2;-2.0;-5
15;15;7;28.0;0
-18;-18;3;25.0;-4
-3;-3;0;4.0;-7
14;14;?;-5.0;2
7;7;?;-64.0;3
1;1;?;-26.0;-7
3;3;?;-24.0;-3
2;2;?;-54.0;11
-7;-7;?;-42.0;14
4;4;?;-46.0;8
15;15;?;-45.0;1
-5;-5;?;-35.0;-2
8;8;?;34.0;-1
33;33;7;21.0;-1
8;8;2;32.0;-5
10;10;1;42.0;-7
27;27;7;52.0;-1
4;4;11;74.0;3
16;16;6;60.0;-2
15;15;8;57.0;0
-36;-36;14;70.0;5
-5;-5;5;87.0;-3
30;30;5;127.0;-3
3;3;9;132.0;1
-9;-9;5;120.0;-2
-18;-18;8;125.0;2
-4;-4;8;?;1
-1;-1;6;?;0
-33;-33;8;?;1
-18;-18;9;?;0
1;1;11;?;2
-9;-9;9;?;0
24;24;9;?;-1
23;23;?;?;-1
-9;-9;?;?;-3
-4;-4;?;?;-1
2;2;?;-34.0;-2
2;2;?;-43.0;-3
6;6;?;-93.0;3
21;21;8;-78.0;-1
-7;-7;5;-101.0;-3
-24;-24;12;-133.0;5
13;13;11;-131.0;4
7;7;5;-49.0;-2
-14;-14;?;-25.0;0
-26;-26;?;-18.0;2
-22;-22;13;-23.0;6
7;7;11;-24.0;2
12;12;5;-24.0;-5
-5;-5;12;-20.0;2
-13;-13;10;0.0;2
7;7;-1;-51.0;-8
26;26;1;-9.0;-6
8;8;10;-13.0;4
-8;-8;9;-21.0;4
-6;-6;5;-31.0;-1
?;-19;8;-39.0;3
-5;-5;8;-36.0;4
18;18;4;-43.0;-2
24;24;5;-80.0;0
32;32;3;-22.0;-1
18;18;-2;-58.0;-6
4;4;3;-22.0;-1
-5;-5;4;-80.0;0
-23;-23;4;-51.0;0
-16;-16;4;-58.0;1
1;1;-3;-74.0;-7
10;10;2;-9.0;-3
4;4;6;-24.0;2
-41;-41;5;-34.0;0
-3;-3;10;-20.0;6
63;63;8;27.0;4
18;18;1;13.0;-4
6;6;4;29.0;-1
17;17;11;21.0;7
11;11;8;42.0;2
8;8;5;18.0;-2
-19;-19;7;38.0;-1
-11;-11;5;5.0;-2
-8;-8;7;16.0;2
-35;-35;10;25.0;4
-12;-12;8;14.0;1
-1;-1;10;12.0;1
-7;-7;9;21.0;0
13;13;0;14.0;-8
-36;-36;2;29.0;-4
-72;-72;21;8.0;14
-47;-47;22;-11.0;11
-21;-21;12;-13.0;-2
23;23;17;1.0;2
34;34;21;-7.0;6
36;36;22;21.0;10
46;46;18;21.0;4
19;19;11;8.0;-3
18;18;11;-13.0;-1
53;53;?;4.0;-3
33;33;?;-21.0;-5
-6;-6;?;59.0;-2
-4;-4;13;-5.0;0
-16;-16;15;-16.0;2
-13;-13;10;-56.0;-3
12;12;7;-23.0;-5
-12;-12;14;-39.0;3
-18;-18;14;-40.0;2
3;3;9;-39.0;-4
16;16;9;-5.0;-3
22;22;9;-17.0;-5
22;22;15;-5.0;2
33;33;21;-58.0;9
14;14;10;-24.0;-2
-2;-2;5;0.0;-6
3;3;14;-47.0;2
2;2;15;-12.0;4
2;2;17;2.0;5
-1;-1;16;-39.0;4
21;21;8;-7.0;-4
34;34;8;-9.0;-4
18;18;5;-11.0;-8
12;12;6;-22.0;-6
3;3;19;-51.0;8
-13;-13;11;-26.0;0
-23;-23;6;-20.0;-5
-13;-13;16;-29.0;6
-24;-24;16;-14.0;6
-16;-16;6;26.0;-4
13;13;?;6.0;-5
-10;-10;?;-14.0;5
17;17;?;-1.0;-3
-1;-1;?;?;-3
-36;-36;?;?;7
13;13;?;?;-3
?;5;?;?;1
4;4;?;?;3
-18;-18;?;?;-3
-15;-15;?;-37.0;-3
25;25;?;-11.0;0
12;12;?;10.0;2
21;21;?;9.0;1
2;2;?;38.0;1
-6;-6;12;17.0;-1
-2;-2;7;25.0;-5
-19;-19;7;44.0;-5
-9;-9;9;31.0;-4
-10;-10;7;21.0;-3
12;12;8;-15.0;-1
19;19;15;-13.0;4
-4;-4;16;0.0;5
4;4;10;21.0;1
2;2;9;-11.0;-1
-8;-8;12;-5.0;2
-4;-4;12;-3.0;?
13;13;9;-28.0;?
22;22;9;2.0;?
-1;-1;9;21.0;?
0;0;7;25.0;?
32;32;9;-18.0;-3
10;10;8;2.0;-3
-14;-14;12;23.0;0
-6;-6;12;29.0;1
-9;-9;9;34.0;-2
-9;-9;17;21.0;6
-3;-3;14;27.0;2
21;21;8;42.0;-3
29;29;14;48.0;3
-12;-12;10;49.0;-1
-27;-27;3;25.0;-8
-1;-1;8;16.0;-1
3;3;11;44.0;2
3;3;11;43.0;1
-1;-1;10;31.0;0
6;6;9;38.0;-1
11;11;13;51.0;5
0;0;16;-3.0;7
34;34;11;12.0;0
28;28;6;-11.0;-4
-8;-8;4;-25.0;-6
7;7;6;-36.0;-4
12;12;7;-41.0;-2
11;11;4;-46.0;-6
10;10;11;-67.0;1
-17;-17;17;-43.0;7
-29;-29;14;-21.0;4
-16;-16;16;-1.0;5
-8;-8;15;-48.0;4
1;1;6;-52.0;-4
-15;-15;8;-25.0;-3
-38;-38;13;-26.0;1
2;2;14;-54.0;3
17;17;15;-28.0;3
-28;-28;9;-12.0;1
-2;-2;10;29.0;1
34;34;12;5.0;2
-8;?;9;-7.0;-1
-26;?;10;0.0;0
-8;?;13;-58.0;3
-18;?;11;-35.0;0
-21;?;9;-33.0;-3
-12;?;9;-41.0;-4
-5;?;9;-43.0;-3
-16;?;12;-67.0;0
-40;?;13;-51.0;0
-30;?;9;-52.0;-3
-5;?;9;-56.0;-4
16;?;8;-17.0;-4
18;?;2;-38.0;-11
-5;?;6;-28.0;-8
-7;-7;13;-38.0;2
2;2;6;-26.0;-7
-1;-1;3;-28.0;-10
?;13;9;-7.0;-3
?;-1;11;-15.0;-2
?;-15;8;6.0;-4
?;36;5;4.0;-7
?;30;8;6.0;-4
?;-28;13;9.0;0
?;-1;13;13.0;-1
1;1;17;0.0;3
-16;-16;13;-9.0;1
?;12;9;-6.0;-6
-5;-5;11;-17.0;-4
-3;-3;8;-62.0;-5
-2;-2;14;-15.0;1
-6;-6;14;0.0;2
0;0;4;6.0;-10
-19;-19;13;-20.0;-2
6;6;22;21.0;6
13;13;17;21.0;3
-12;-12;18;-1.0;4
2;2;14;-2.0;0
24;24;12;21.0;-3
12;12;17;4.0;?
0;0;13;?;?
7;7;11;15.0;?
-11;-11;20;9.0;?
3;3;19;-7.0;?
7;7;12;7.0;-2
-19;-19;15;-11.0;2
16;16;?;-26.0;6
1;1;?;-73.0;0
-24;-24;?;-55.0;1
-2;-2;?;-42.0;3
-10;?;?;-67.0;2
0;0;?;-45.0;3
13;13;13;-26.0;0
?;9;15;-5.0;1
?;18;14;16.0;2
?;19;13;-9.0;0
?;0;13;-24.0;-1
?;10;13;-27.0;0
?;27;16;-46.0;3
?;-9;9;-18.0;-4
?;-30;9;-17.0;-2
?;2;?;-9.0;-3
?;-2;?;47.0;-9
?;-62;?;32.0;11
?;-102;?;44.0;22
?;-68;?;36.0;18
2;2;29;25.0;11
20;20;23;-13.0;3
13;13;21;8.0;1
31;31;7;29.0;-8
20;20;6;21.0;-10
9;9;20;5.0;5
9;9;14;6.0;3
-14;-14;10;17.0;-4
-7;-7;15;23.0;-1
20;20;10;1.0;-5
17;17;12;13.0;-2
5;5;16;77.0;0
2;2;11;28.0;-4
16;16;8;24.0;-7
22;22;7;31.0;-7
11;11;10;45.0;-2
29;29;11;36.0;-2
17;17;11;4.0;-3
-15;-15;10;21.0;-4
9;9;9;55.0;-4
22;22;15;51.0;3
-11;-11;16;21.0;4
-17;-17;11;-1.0;-4
30;30;9;10.0;-3
19;19;12;-16.0;1
5;5;10;-2.0;-2
22;22;7;13.0;-4
-14;-14;12;-13.0;2
-3;-3;12;21.0;1
-16;-16;12;-19.0;0
-34;-34;16;-13.0;3
16;16;12;8.0;0
4;4;9;-47.0;-4
3;3;8;-42.0;-4
20;20;13;-26.0;2
1;1;15;-32.0;4
7;7;10;-23.0;-3
11;11;12;-42.0;-1
1;1;15;-43.0;5
19;19;12;-58.0;0
15;15;11;-19.0;-1
-9;-9;13;-30.0;3
-21;-21;9;-16.0;0
-17;-17;7;-32.0;-3
0;0;9;23.0;-2
1;1;8;-26.0;?
9;9;8;-15.0;?
6;6;14;-17.0;?
-10;-10;11;2.0;?
3;3;7;14.0;?
12;12;12;15.0;?
23;23;12;15.0;?
42;42;10;13.0;?
14;14;7;33.0;?
-8;-8;8;25.0;?
12;12;13;25.0;?
-3;-3;11;11.0;?
-16;-16;13;27.0;?
8;8;16;32.0;?
9;9;15;-7.0;6
15;15;15;30.0;6
12;12;13;-15.0;4
-19;-19;14;-1.0;4
9;9;?;-36.0;0
18;18;?;-25.0;1
0;0;?;-35.0;2
13;13;?;-56.0;-1
2;2;?;-24.0;6
0;0;?;-36.0;8
3;3;?;-21.0;2
2;2;?;-26.0;3
-2;-2;?;-30.0;-1
-7;-7;?;-26.0;-4
11;11;11;-26.0;0
15;15;9;23.0;-2
-1;-1;8;13.0;-4
-12;-12;6;13.0;-5
-5;-5;5;42.0;-6
-11;-11;9;23.0;0
-19;-19;11;17.0;1
7;7;9;5.0;0
?;7;8;2.0;-2
?;4;7;17.0;-2
11;11;13;21.0;4
-10;-10;15;21.0;5
-19;-19;11;21.0;1
-12;-12;16;8.0;7
-4;-4;14;8.0;3
-16;-16;7;-30.0;-6
-13;-13;16;-11.0;5
12;12;14;17.0;4
3;3;1;10.0;-9
12;12;9;-10.0;-1
28;28;13;6.0;3
-10;-10;11;13.0;1
-26;-26;16;13.0;6
2;2;13;35.0;2
20;20;9;-75.0;-2
33;33;10;-2.0;-2
18;18;14;-36.0;2
-5;-5;10;1.0;-2
-10;-10;5;-36.0;-8
-18;-18;11;-12.0;0
-3;-3;12;-8.0;1
23;23;10;2.0;-2
36;36;12;-21.0;0
5;5;10;11.0;-2
-19;-19;9;3.0;-2
-9;-9;13;-15.0;2
-17;-17;11;-15.0;-2
-7;-7;3;-26.0;-9
3;3;?;-25.0;-6
-13;-13;?;-17.0;0
6;6;?;-11.0;1
3;3;?;-41.0;1
-16;-16;?;-2.0;-2
28;28;?;-12.0;-1
4;4;?;-51.0;6
-27;-27;?;-28.0;4
15;15;?;21.0;-4
-6;-6;?;-37.0;-3
-15;-15;?;-9.0;0
5;5;?;-13.0;-1
-9;-9;?;-7.0;-5
-17;-17;?;-26.0;-4
4;4;?;-9.0;-2
13;13;?;-42.0;-4
12;12;?;4.0;-3
38;38;?;13.0;1
-16;-16;?;-11.0;0
-25;-25;?;27.0;-1
43;43;?;?;1
-1;-1;?;?;-1
-19;-19;?;?;-1
8;8;?;?;-3
15;15;?;?;-7
22;22;?;?;-2
11;11;15;-3.0;3
3;3;10;27.0;-2
-3;-3;9;36.0;-2
18;18;9;40.0;-3
13;13;13;44.0;0
5;5;14;21.0;2
32;32;9;49.0;-3
-8;-8;12;34.0;0
-40;-40;13;39.0;0
-3;-3;17;47.0;4
-11;-11;17;4.0;5
-27;-27;10;45.0;-3
-9;-9;15;25.0;2
-17;-17;19;6.0;4
-6;-6;19;-19.0;4
1;1;17;23.0;2
-10;-10;16;51.0;0
5;5;26;38.0;10
21;21;28;25.0;11
39;39;15;-7.0;-3
35;35;14;21.0;-1
6;6;18;-1.0;4
5;5;13;4.0;-1
11;11;14;15.0;0
2;2;15;4.0;1
8;8;7;-22.0;-6
16;16;2;-50.0;-11
3;3;10;-67.0;-2
?;-13;12;-62.0;1
?;-18;12;-103.0;0
?;-10;19;-105.0;7
?;0;13;-99.0;-1
?;?;12;-82.0;-1
?;?;16;-67.0;4
?;?;12;-75.0;-1
?;?;11;-49.0;-2
?;?;11;-86.0;-2
?;?;11;-50.0;-3
?;?;12;-79.0;-1
-16;?;14;-17.0;1
-14;?;12;-25.0;-1
14;?;13;-29.0;-1
30;?;12;-19.0;-2
36;?;6;-53.0;-8
17;17;20;-54.0;4
14;14;23;-38.0;8
6;6;11;-62.0;-2
-8;-8;15;-49.0;1
19;19;16;-70.0;2
20;20;13;-58.0;-1
33;33;13;-47.0;-1
16;16;14;-50.0;1
-7;-7;18;-64.0;4
12;12;15;-55.0;1
2;2;11;-47.0;-2
15;15;11;-4.0;-2
-14;-14;11;7.0;-2
-16;-16;14;4.0;0
22;22;15;13.0;1
-19;-19;13;-10.0;0
-8;-8;17;8.0;1
11;11;13;17.0;-2
-9;-9;6;14.0;-9
15;15;12;30.0;-1
30;30;17;-19.0;4
-7;-7;9;17.0;-6
-25;-25;9;22.0;-4
12;12;18;-102.0;5
19;19;16;-15.0;3
10;10;10;-17.0;-3
-1;-1;16;-33.0;0
0;0;12;-16.0;0
27;27;5;-9.0;-8
-25;-25;17;45.0;3
-35;-35;16;-27.0;3
?;?;12;27.0;-1
?;?;17;30.0;4
?;?;11;-19.0;-4
?;?;15;-4.0;0
?;?;16;-10.0;4
?;?;11;0.0;-1
?;?;14;11.0;0
?;?;13;22.0;-1
?;?;15;30.0;0
?;?;19;22.0;2
?;?;19;30.0;3
?;?;16;52.0;0
?;?;19;1.0;4
5;?;19;41.0;5
42;42;10;40.0;-6
6;6;12;8.0;-3
-11;-11;11;-9.0;-1
7;7;9;5.0;?
-2;-2;12;26.0;?
-9;-9;13;-11.0;?
-2;-2;19;-13.0;?
20;20;15;11.0;?
12;12;8;-26.0;?
0;0;15;41.0;?
1;1;16;45.0;?
1;1;11;34.0;?
13;13;18;21.0;?
-10;-10;19;23.0;?
-11;-11;15;-12.0;?
22;22;16;-58.0;?
18;18;17;-32.0;4
12;12;17;8.0;4
14;14;17;16.0;4
-3;-3;17;51.0;4
-9;-9;11;96.0;-4
9;9;15;110.0;1
22;22;24;75.0;11
12;12;18;98.0;3
1;1;15;105.0;0
5;5;11;117.0;-4
-5;-5;3;57.0;-12
13;13;8;66.0;-7
29;29;15;35.0;1
-7;-7;11;6.0;-1
-5;-5;9;26.0;-3
3;3;8;21.0;-4
-19;-19;10;51.0;-1
4;4;6;-16.0;-6
32;32;3;-11.0;-6
14;14;13;11.0;2
-13;-13;10;-2.0;-1
-21;-21;13;-19.0;2
10;10;18;15.0;8
