InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit LUA Quaternion1;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LLA Quaternion1
-125.0;-233.0;276.0;-334.0;-162.0;397.0;665.0;409.0
-392.0;-263.0;432.0;-390.0;-172.0;258.0;406.0;345.0
-400.0;-334.0;359.0;-470.0;-163.0;296.0;463.0;281.0
-416.0;-354.0;594.0;-112.0;-498.0;186.0;220.0;235.0
-419.0;-354.0;597.0;-128.0;-512.0;192.0;219.0;245.0
-558.0;-691.0;796.0;-594.0;-766.0;646.0;417.0;240.0
-391.0;-256.0;436.0;-388.0;-175.0;241.0;421.0;339.0
-390.0;-254.0;436.0;-379.0;-178.0;239.0;403.0;336.0
-389.0;-253.0;437.0;-369.0;-191.0;242.0;399.0;335.0
-388.0;-253.0;437.0;-359.0;-217.0;250.0;398.0;335.0
-386.0;-254.0;437.0;-352.0;-237.0;265.0;394.0;336.0
-385.0;-256.0;438.0;-349.0;-248.0;278.0;397.0;339.0
-384.0;-258.0;437.0;-350.0;-255.0;288.0;403.0;342.0
-385.0;-261.0;438.0;-353.0;-265.0;303.0;412.0;344.0
-386.0;-264.0;441.0;-357.0;-270.0;313.0;421.0;348.0
-60.0;-188.0;212.0;-364.0;-48.0;416.0;176.0;342.0
-61.0;-241.0;192.0;-388.0;13.0;369.0;73.0;424.0
-50.0;-263.0;148.0;-404.0;-30.0;394.0;103.0;446.0
-388.0;-268.0;442.0;-362.0;-273.0;321.0;429.0;351.0
-302.0;-463.0;442.0;-367.0;-139.0;433.0;414.0;579.0
-164.0;-313.0;308.0;-338.0;-208.0;403.0;607.0;476.0
-394.0;-281.0;442.0;-389.0;-298.0;346.0;447.0;353.0
-467.0;-608.0;720.0;-420.0;-252.0;673.0;638.0;436.0
-393.0;-286.0;441.0;-398.0;-305.0;349.0;440.0;353.0
-393.0;-288.0;435.0;-406.0;-308.0;353.0;440.0;346.0
-392.0;-290.0;432.0;-414.0;-310.0;351.0;437.0;341.0
-394.0;-292.0;432.0;-417.0;-311.0;350.0;429.0;342.0
-396.0;-294.0;435.0;-419.0;-307.0;348.0;417.0;343.0
-159.0;-3.0;-94.0;-236.0;-119.0;126.0;224.0;121.0
-399.0;-297.0;438.0;-421.0;-301.0;346.0;407.0;343.0
-162.0;-6.0;-91.0;-241.0;-119.0;125.0;235.0;122.0
-83.0;-115.0;-64.0;-273.0;-110.0;296.0;252.0;160.0
-75.0;-122.0;-66.0;-273.0;-100.0;303.0;250.0;161.0
-64.0;-124.0;-70.0;-282.0;-92.0;312.0;262.0;161.0
-53.0;-126.0;-71.0;-285.0;-90.0;321.0;277.0;164.0
-402.0;-299.0;441.0;-423.0;-296.0;342.0;404.0;342.0
-556.0;-715.0;729.0;-655.0;-291.0;582.0;511.0;534.0
-408.0;-300.0;441.0;-430.0;-293.0;334.0;405.0;335.0
-411.0;-299.0;441.0;-434.0;-293.0;331.0;407.0;331.0
-414.0;-297.0;441.0;-442.0;-304.0;333.0;411.0;326.0
-416.0;-295.0;440.0;-450.0;-308.0;330.0;413.0;321.0
-417.0;-294.0;437.0;-456.0;-313.0;327.0;412.0;315.0
-416.0;-292.0;433.0;-458.0;-313.0;326.0;406.0;310.0
10.0;-77.0;192.0;-270.0;123.0;313.0;55.0;289.0
-416.0;-291.0;429.0;-459.0;-318.0;322.0;407.0;305.0
-415.0;-293.0;424.0;-460.0;-321.0;321.0;411.0;302.0
-414.0;-298.0;417.0;-463.0;-330.0;324.0;423.0;299.0
-403.0;-310.0;399.0;-465.0;-343.0;331.0;435.0;298.0
-390.0;-329.0;380.0;-486.0;-371.0;367.0;456.0;307.0
-417.0;-470.0;493.0;-501.0;-415.0;502.0;499.0;401.0
-634.0;-761.0;686.0;-689.0;-855.0;571.0;494.0;632.0
-559.0;-792.0;672.0;-756.0;-779.0;633.0;495.0;734.0
-635.0;-769.0;706.0;-718.0;-907.0;314.0;53.0;659.0
-312.0;-451.0;277.0;-795.0;-588.0;511.0;343.0;294.0
-280.0;-550.0;430.0;-653.0;-177.0;553.0;597.0;600.0
-452.0;-647.0;594.0;-607.0;-20.0;564.0;575.0;352.0
-415.0;-341.0;357.0;-474.0;149.0;177.0;511.0;259.0
-442.0;-246.0;476.0;-437.0;-158.0;281.0;392.0;308.0
-441.0;-244.0;474.0;-436.0;-186.0;291.0;405.0;307.0
-441.0;-241.0;472.0;-438.0;-207.0;300.0;415.0;305.0
-440.0;-237.0;471.0;-444.0;-222.0;308.0;425.0;302.0
-439.0;-235.0;470.0;-445.0;-228.0;304.0;430.0;300.0
-439.0;-233.0;469.0;-444.0;-224.0;301.0;422.0;297.0
-439.0;-230.0;467.0;-448.0;-223.0;298.0;423.0;295.0
-375.0;-431.0;424.0;-159.0;-537.0;145.0;423.0;55.0
-324.0;-351.0;338.0;-151.0;-568.0;99.0;309.0;4.0
-318.0;-343.0;320.0;-153.0;-580.0;93.0;290.0;1.0
-314.0;-338.0;303.0;-159.0;-594.0;90.0;277.0;-1.0
-311.0;-346.0;291.0;-191.0;-635.0;95.0;278.0;6.0
-318.0;-354.0;299.0;-205.0;-644.0;102.0;287.0;9.0
-437.0;-215.0;456.0;-438.0;-216.0;280.0;422.0;287.0
-437.0;-214.0;456.0;-434.0;-217.0;280.0;417.0;285.0
-439.0;-212.0;456.0;-439.0;-213.0;285.0;414.0;282.0
-440.0;-210.0;456.0;-447.0;-212.0;283.0;416.0;279.0
-441.0;-208.0;454.0;-452.0;-208.0;276.0;416.0;276.0
-440.0;-205.0;451.0;-452.0;-193.0;263.0;410.0;274.0
-437.0;-201.0;447.0;-448.0;-179.0;250.0;402.0;271.0
-423.0;-182.0;433.0;-267.0;49.0;221.0;86.0;261.0
-425.0;-180.0;434.0;-266.0;45.0;224.0;88.0;260.0
-428.0;-179.0;437.0;-266.0;42.0;223.0;88.0;258.0
-431.0;-179.0;440.0;-266.0;45.0;224.0;84.0;256.0
-107.0;-287.0;45.0;-186.0;324.0;343.0;233.0;602.0
-63.0;-185.0;248.0;-339.0;6.0;387.0;122.0;356.0
-76.0;-180.0;259.0;-351.0;-11.0;395.0;116.0;346.0
-87.0;-179.0;270.0;-361.0;-24.0;399.0;110.0;338.0
-96.0;-177.0;284.0;-369.0;-35.0;403.0;105.0;336.0
-106.0;-180.0;296.0;-376.0;-42.0;406.0;103.0;339.0
-152.0;-293.0;311.0;-415.0;-54.0;412.0;120.0;432.0
-434.0;-179.0;444.0;-272.0;31.0;237.0;101.0;252.0
-144.0;-342.0;189.0;-465.0;-236.0;579.0;597.0;397.0
-175.0;-388.0;264.0;-550.0;-256.0;466.0;261.0;538.0
-132.0;-308.0;220.0;-517.0;-195.0;423.0;237.0;494.0
425.0;362.0;-368.0;266.0;684.0;-96.0;-261.0;-71.0
141.0;-29.0;-71.0;-127.0;314.0;166.0;-160.0;223.0
-33.0;-10.0;85.0;-231.0;167.0;229.0;15.0;244.0
-118.0;-56.0;153.0;-227.0;141.0;222.0;31.0;246.0
-164.0;-71.0;191.0;-233.0;132.0;222.0;46.0;256.0
-185.0;-75.0;205.0;-240.0;122.0;224.0;60.0;256.0
-205.0;-76.0;217.0;-250.0;107.0;231.0;76.0;253.0
-282.0;-58.0;308.0;-222.0;244.0;257.0;242.0;446.0
-272.0;-70.0;287.0;-219.0;175.0;259.0;285.0;455.0
-252.0;-75.0;245.0;-289.0;39.0;264.0;141.0;238.0
-261.0;-73.0;252.0;-299.0;13.0;273.0;165.0;235.0
-223.0;-157.0;213.0;-256.0;117.0;275.0;376.0;507.0
-270.0;-68.0;261.0;-309.0;-25.0;283.0;198.0;231.0
-272.0;-65.0;263.0;-310.0;-34.0;284.0;201.0;227.0
-272.0;-60.0;264.0;-309.0;-34.0;281.0;195.0;224.0
-274.0;-56.0;267.0;-306.0;-27.0;277.0;186.0;220.0
-277.0;-53.0;269.0;-300.0;-18.0;272.0;177.0;217.0
-279.0;-50.0;272.0;-297.0;-8.0;266.0;175.0;213.0
-282.0;-48.0;276.0;-295.0;-3.0;262.0;175.0;210.0
-87.0;-244.0;196.0;-474.0;-148.0;409.0;218.0;404.0
-82.0;-212.0;195.0;-437.0;-90.0;389.0;198.0;372.0
-60.0;-178.0;183.0;-413.0;-62.0;379.0;184.0;344.0
-36.0;-145.0;160.0;-392.0;-38.0;372.0;173.0;306.0
-18.0;-117.0;137.0;-373.0;-17.0;368.0;164.0;271.0
-3.0;-93.0;122.0;-355.0;4.0;364.0;156.0;243.0
9.0;-72.0;118.0;-338.0;24.0;357.0;147.0;220.0
16.0;-53.0;118.0;-324.0;43.0;352.0;140.0;199.0
73.0;1.0;122.0;-254.0;133.0;336.0;59.0;202.0
4.0;-99.0;139.0;-308.0;84.0;314.0;87.0;284.0
12.0;-162.0;146.0;-232.0;129.0;405.0;122.0;326.0
-43.0;-118.0;88.0;-140.0;322.0;209.0;186.0;497.0
-439.0;-203.0;436.0;-330.0;-14.0;345.0;112.0;253.0
-432.0;-210.0;432.0;-340.0;-40.0;362.0;127.0;258.0
46.0;-178.0;17.0;-470.0;40.0;465.0;210.0;350.0
-70.0;-222.0;109.0;-455.0;-1.0;446.0;150.0;308.0
-87.0;-193.0;116.0;-401.0;87.0;378.0;86.0;290.0
-91.0;-181.0;118.0;-386.0;116.0;358.0;75.0;290.0
-305.0;-48.0;187.0;-215.0;150.0;93.0;-37.0;233.0
-313.0;-48.0;190.0;-231.0;124.0;97.0;-11.0;232.0
-319.0;-48.0;193.0;-255.0;99.0;111.0;29.0;231.0
-324.0;-51.0;198.0;-267.0;82.0;123.0;66.0;230.0
-318.0;-56.0;208.0;-271.0;68.0;113.0;101.0;231.0
-334.0;-57.0;212.0;-261.0;77.0;128.0;90.0;230.0
-338.0;-58.0;218.0;-253.0;92.0;125.0;67.0;231.0
-339.0;-59.0;221.0;-252.0;91.0;124.0;63.0;232.0
-338.0;-58.0;223.0;-249.0;86.0;130.0;66.0;233.0
-334.0;-56.0;221.0;-245.0;86.0;128.0;66.0;233.0
-331.0;-55.0;218.0;-241.0;88.0;127.0;63.0;233.0
-327.0;-55.0;215.0;-239.0;91.0;126.0;59.0;232.0
-325.0;-55.0;213.0;-239.0;94.0;125.0;59.0;232.0
-322.0;-56.0;212.0;-241.0;94.0;126.0;60.0;233.0
-321.0;-57.0;212.0;-242.0;95.0;118.0;61.0;234.0
-209.0;132.0;-7.0;19.0;275.0;-43.0;156.0;196.0
-199.0;-167.0;40.0;-10.0;-340.0;-50.0;270.0;-45.0
-229.0;-203.0;79.0;-38.0;-367.0;-16.0;303.0;-5.0
-265.0;-245.0;132.0;-74.0;-401.0;22.0;339.0;42.0
-301.0;-289.0;189.0;-114.0;-437.0;61.0;373.0;88.0
-269.0;80.0;63.0;-103.0;188.0;23.0;216.0;198.0
-278.0;16.0;95.0;-191.0;113.0;124.0;288.0;245.0
-272.0;-13.0;98.0;-210.0;103.0;152.0;301.0;268.0
-232.0;-112.0;101.0;-262.0;88.0;226.0;363.0;373.0
-314.0;-57.0;203.0;-354.0;-43.0;140.0;263.0;229.0
-314.0;-62.0;205.0;-383.0;-101.0;172.0;327.0;230.0
-315.0;-65.0;206.0;-389.0;-132.0;186.0;350.0;231.0
-316.0;-68.0;208.0;-389.0;-148.0;197.0;362.0;233.0
-316.0;-70.0;210.0;-382.0;-142.0;200.0;357.0;234.0
-316.0;-72.0;211.0;-371.0;-136.0;196.0;349.0;235.0
-317.0;-73.0;211.0;-366.0;-141.0;191.0;354.0;235.0
-317.0;-74.0;212.0;-365.0;-143.0;188.0;362.0;235.0
51.0;-188.0;45.0;-252.0;224.0;300.0;-24.0;433.0
36.0;-106.0;71.0;-257.0;121.0;316.0;-25.0;268.0
17.0;-305.0;104.0;-296.0;167.0;378.0;133.0;512.0
-92.0;-312.0;268.0;-355.0;-3.0;368.0;115.0;517.0
-102.0;-265.0;284.0;-384.0;-26.0;396.0;63.0;453.0
-38.0;-143.0;369.0;-414.0;46.0;410.0;85.0;513.0
-78.0;-247.0;223.0;-326.0;51.0;362.0;86.0;385.0
-45.0;-246.0;225.0;-278.0;119.0;303.0;44.0;480.0
-68.0;-189.0;252.0;-308.0;73.0;344.0;65.0;370.0
-59.0;-167.0;250.0;-308.0;78.0;341.0;72.0;351.0
-46.0;-143.0;240.0;-306.0;83.0;339.0;81.0;333.0
-32.0;-122.0;226.0;-301.0;90.0;336.0;86.0;317.0
-18.0;-105.0;212.0;-296.0;99.0;337.0;87.0;302.0
-7.0;-94.0;202.0;-290.0;106.0;343.0;84.0;287.0
11.0;-106.0;156.0;-217.0;198.0;373.0;155.0;306.0
-93.0;-209.0;268.0;-366.0;1.0;410.0;61.0;396.0
-82.0;-175.0;253.0;-359.0;24.0;418.0;67.0;362.0
-74.0;-151.0;244.0;-284.0;127.0;418.0;86.0;330.0
-43.0;-105.0;298.0;-275.0;118.0;404.0;100.0;398.0
20.0;-72.0;170.0;-226.0;215.0;376.0;127.0;260.0
9.0;-77.0;192.0;-278.0;94.0;368.0;75.0;272.0
50.0;-42.0;124.0;-212.0;123.0;326.0;113.0;301.0
-16.0;-301.0;76.0;-419.0;-61.0;425.0;136.0;473.0
-41.0;-286.0;151.0;-372.0;-72.0;424.0;121.0;444.0
-58.0;-256.0;176.0;-367.0;-77.0;419.0;125.0;400.0
-55.0;-231.0;186.0;-355.0;-66.0;411.0;122.0;380.0
-44.0;-194.0;193.0;-343.0;-47.0;400.0;118.0;364.0
-31.0;-162.0;189.0;-334.0;-28.0;392.0;118.0;341.0
-19.0;-137.0;185.0;-327.0;-12.0;386.0;123.0;320.0
-9.0;-116.0;176.0;-321.0;2.0;383.0;131.0;297.0
1.0;-98.0;164.0;-318.0;15.0;386.0;136.0;275.0
9.0;-85.0;155.0;-315.0;29.0;393.0;137.0;254.0
11.0;-80.0;154.0;-314.0;53.0;401.0;127.0;241.0
-50.0;-280.0;218.0;-239.0;60.0;452.0;180.0;442.0
-66.0;-249.0;266.0;-301.0;-14.0;402.0;123.0;455.0
-69.0;-286.0;284.0;-309.0;-41.0;465.0;190.0;507.0
-9.0;-96.0;192.0;-324.0;100.0;357.0;65.0;263.0
-26.0;-130.0;205.0;-321.0;103.0;346.0;53.0;291.0
-26.0;-155.0;216.0;-278.0;139.0;318.0;47.0;371.0
-207.0;-307.0;266.0;-452.0;-27.0;259.0;99.0;319.0
-208.0;-320.0;269.0;-470.0;-45.0;276.0;113.0;311.0
-206.0;-333.0;272.0;-489.0;-63.0;294.0;128.0;305.0
-205.0;-345.0;276.0;-507.0;-81.0;312.0;141.0;299.0
