InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit L-SHOE Nav_Ax
-13;-13;15;12.0;-4
-24;-24;6;12.0;2
-99;-99;-30;-112.0;1809
-14;-14;11;10.0;-1
-14;-14;6;-10.0;-3
-12;-12;11;10.0;4
-4;-4;44;-28.0;12
-17;-17;5;20.0;6
0;0;15;10.0;-4
1;1;19;6.0;-5
-4;-4;11;4.0;3
1;1;27;1.0;-2
1;1;26;-5.0;-1
0;0;17;0.0;7
-11;-11;24;-9.0;1
1;1;22;6.0;2
-12;-12;20;-2.0;-1
-17;-17;11;-13.0;6
-12;-12;30;-10.0;0
-88;-88;89;112.0;308
-15;-15;20;11.0;3
-1;-1;21;13.0;0
-1;-1;19;7.0;0
-14;-14;19;8.0;-1
-15;-15;25;-13.0;4
-1;-1;25;-8.0;-4
-4;-4;25;-5.0;-3
-10;-10;6;-4.0;-4
-377;-377;43;254.0;176
-12;-12;21;4.0;0
-5;-5;24;-9.0;-2
27;27;24;1.0;-1
-5;-5;28;-15.0;3
-3;-3;16;-4.0;-1
-12;-12;12;-10.0;8
2;2;17;9.0;3
-8;-8;21;-3.0;0
13;13;19;8.0;0
-2;-2;16;4.0;1
-16;-16;26;17.0;-3
-16;-16;21;0.0;1
-20;-20;4;-10.0;-1
-4;-4;22;-12.0;-4
-7;-7;27;-8.0;-3
-21;-21;26;-2.0;0
-102;-102;11;-35.0;-98
2;2;7;25.0;-1
18;18;53;20.0;-2
-23;-23;27;12.0;-4
0;0;20;8.0;3
-15;-15;21;11.0;1
4;4;14;6.0;1
-3;-3;6;2.0;2
-8;-8;23;-4.0;3
-15;-15;20;-2.0;3
-3;-3;18;-10.0;2
-9;-9;18;4.0;1
0;0;23;13.0;-3
0;0;22;-11.0;2
-51;-51;25;87.0;6
-10;-10;23;8.0;1
-12;-12;22;0.0;1
6;6;18;-1.0;4
2;2;23;-7.0;2
-13;-13;24;-19.0;-1
-23;-23;26;-13.0;-2
1418;1418;581;277.0;1301
10;10;26;-75.0;210
-5;-5;25;-1.0;3
-30;-30;67;70.0;126
-23;-23;38;-19.0;-4
11;11;24;-9.0;1
-14;-14;19;-9.0;6
-3;-3;28;17.0;0
-3;-3;21;-13.0;5
1;1;25;8.0;5
-14;-14;24;-10.0;1
-13;-13;23;15.0;5
14;14;41;-50.0;-10
552;552;152;-137.0;927
-9;-9;21;-10.0;3
-17;-17;21;4.0;4
-7;-7;23;1.0;2
-18;-18;25;-10.0;1
41;41;50;-25.0;6
-34;-34;22;-13.0;4
-13;-13;19;9.0;4
-9;-9;23;-28.0;1
-4;-4;23;13.0;-2
1;1;23;-7.0;-2
-2;-2;24;-11.0;-2
-2;-2;26;-6.0;-1
-9;-9;23;-9.0;-1
-15;-15;27;-2.0;-2
-8;-8;14;-9.0;4
-16;-16;15;21.0;4
-11;-11;19;6.0;3
-15;-15;11;-13.0;2
-11;-11;16;6.0;6
-5;-5;13;6.0;4
0;0;13;-6.0;6
-13;-13;23;4.0;1
-3;-3;16;8.0;5
9;9;17;-1.0;0
-10;-10;20;3.0;2
3;3;22;36.0;0
3;3;11;5.0;-5
-14;-14;23;32.0;1
-2;-2;9;-5.0;-3
-10;-10;12;12.0;0
-10;-10;26;-4.0;-6
-9;-9;34;5.0;-18
-16;-16;20;17.0;0
-35;-35;20;4.0;0
-8;-8;19;-9.0;-3
1;1;19;4.0;-6
-1;-1;19;17.0;-4
-2;-2;16;0.0;4
14;14;35;7.0;0
-5;-5;13;21.0;-4
6;6;10;-21.0;-4
-8;-8;18;17.0;3
-14;-14;23;6.0;1
-8;-8;15;-2.0;7
25;25;19;-16.0;-2
0;0;26;3.0;-1
-3;-3;18;2.0;4
-22;-22;21;-27.0;0
-13;-13;22;-5.0;2
-11;-11;24;-13.0;-4
-8;-8;23;17.0;-5
1;1;20;16.0;0
-15;-15;11;-16.0;-1
-5;-5;21;-14.0;3
-16;-16;14;-10.0;-4
0;0;9;-4.0;-2
-6;-6;11;-47.0;-122
-11;-11;14;-3.0;-2
-4;-4;18;17.0;3
-6;-6;15;2.0;-2
-12;-12;26;-9.0;0
-12;-12;26;12.0;0
-5;-5;19;0.0;1
-18;-18;10;-5.0;2
0;0;13;7.0;-1
0;0;7;-25.0;0
-1;-1;23;-25.0;1
-1;-1;16;-12.0;-1
-7;-7;12;6.0;-4
-7;-7;6;1.0;1
-15;-15;10;8.0;4
-17;-17;-13;22.0;-2
2;2;15;0.0;1
-1;-1;22;4.0;0
-1;-1;21;-7.0;0
5;5;10;-2.0;-2
-8;-8;16;-15.0;1
6;6;22;-9.0;1
-11;-11;9;7.0;1
-6;-6;12;0.0;4
-16;-16;15;11.0;5
-19;-19;11;17.0;1
0;0;28;-13.0;0
-9;-9;17;0.0;6
-13;-13;21;-1.0;9
-4;-4;17;9.0;5
-7;-7;15;1.0;7
-2;-2;26;-13.0;-1
-16;-16;13;1.0;-1
4;4;41;14.0;-6
-3;-3;26;6.0;0
-2;-2;21;-11.0;3
-7;-7;20;2.0;3
-16;-16;13;-5.0;-1
-3;-3;24;0.0;0
-5;-5;23;-11.0;-2
-10;-10;31;-17.0;-2
22;22;45;48.0;34
-5;-5;19;16.0;4
-7;-7;20;2.0;-1
-16;-16;13;5.0;-1
5;5;22;-15.0;2
-12;-12;32;-10.0;-2
-16;-16;13;-6.0;-1
-12;-12;27;-4.0;0
-11;-11;16;11.0;3
-4;-4;27;-2.0;2
-1;-1;19;16.0;2
-16;-16;13;0.0;-1
-13;-13;10;0.0;2
-13;-13;10;-2.0;-1
3;3;27;17.0;3
-7;-7;11;6.0;-1
-12;-12;24;11.0;0
361;361;198;-413.0;-140
-7;-7;46;2.0;0
-15;-15;22;7.0;1
-11;-11;23;0.0;-1
-16;-16;13;8.0;-1
-6;-6;22;17.0;-3
-11;-11;11;-9.0;-1
4;4;23;-7.0;-2
0;0;19;8.0;-1
217;217;313;0.0;-556
-15;-15;31;9.0;-3
1;1;20;-5.0;-3
-8;-8;17;8.0;1
-5;-5;30;-11.0;-1
-16;-16;14;4.0;0
-14;-14;11;7.0;-2
1;1;38;-7.0;-6
-16;-16;15;-12.0;4
2;2;23;-8.0;2
0;0;24;8.0;3
-13;-13;24;13.0;-1
-10;-10;21;6.0;3
-14;-14;0;4.0;2
-10;-10;8;25.0;6
5;5;23;-30.0;2
-12;-12;8;14.0;1
-1;-1;10;12.0;1
9;9;22;15.0;1
-28;-28;32;-40.0;2
-6;-6;21;4.0;0
-16;-16;15;-7.0;4
6;6;25;3.0;0
2;2;15;4.0;1
-1;-1;26;-8.0;0
19;19;11;8.0;1
4028;4028;300;178.0;473
-5;-5;18;20.0;0
-1;-1;18;-14.0;6
-1;-1;21;-5.0;4
-4;-4;13;-5.0;0
3;3;24;2.0;0
-8;-8;10;-56.0;1
-26;-26;51;2.0;-3
-6;-6;36;12.0;4
0;0;30;23.0;-4
8;8;36;-12.0;3
-6;-6;22;-20.0;2
-17;-17;19;6.0;4
10;10;18;15.0;8
-11;-11;17;4.0;5
0;0;22;6.0;0
444;444;-782;-138.0;-1330
-3;-3;29;-7.0;-2
9;9;17;-14.0;3
2;2;17;2.0;5
-9;-9;19;-2.0;-1
-3;-3;31;4.0;-2
0;0;27;2.0;-4
-8;-8;9;-21.0;4
-2;-2;21;-9.0;2
-3;-3;12;-8.0;1
-5;-5;10;1.0;-2
-10;-10;11;13.0;1
-13;-13;16;-11.0;5
-4;-4;14;8.0;3
-12;-12;16;8.0;7
-7;-7;12;31.0;2
-10;-10;15;21.0;5
12;12;24;4.0;2
16;16;-7;-5.0;-53
-26;-26;13;1.0;9
-7;-7;24;15.0;1
-1;-1;22;-13.0;6
-4;-4;16;0.0;5
-6;-6;30;24.0;-1
2;2;23;9.0;1
-8;-8;12;-5.0;2
0;0;22;7.0;-2
2;2;20;19.0;-2
-13;-13;13;-14.0;1
-2;-2;19;2.0;9
-14;-14;24;3.0;-2
-9;-9;16;23.0;6
-22;-22;-1;3.0;-8
-19;-19;15;37.0;1
1;1;24;-8.0;2
19;19;23;21.0;-1
-1;-1;22;4.0;5
-9;-9;21;-11.0;1
-9;-9;23;16.0;0
2;2;14;-2.0;0
-12;-12;18;-1.0;4
-4;-4;30;-9.0;-1
-16;-16;20;0.0;3
0;0;16;-3.0;7
-6;-6;14;0.0;2
-11;-11;21;-19.0;4
3;3;10;-17.0;3
5;5;-1;-72.0;2
-16;-16;13;-9.0;1
1;1;17;0.0;3
-18;-18;18;-2.0;-4
-4;-4;26;-12.0;3
-7;-7;23;-5.0;4
-16;-16;16;-1.0;5
-4;-4;23;-15.0;4
-2;-2;5;43.0;0
-374;-374;45;376.0;-197
-57;-57;19;-190.0;-2
-1519;-1519;-84;191.0;1528
615;615;220;296.0;26
1;1;47;136.0;-71
404;404;-478;-8.0;-466
16;16;25;-459.0;-2
283;283;72;481.0;-81
-291;-291;11;240.0;-15
-91;-91;102;38.0;-20
-664;-664;338;21.0;374
-22;-22;13;80.0;1
78;78;38;-177.0;-267
-109;-109;17;132.0;-40
-2971;-2971;-448;94.0;-120
-27;-27;9;-22.0;2
-1117;-1117;-31;-64.0;26
68;68;27;160.0;-2
14;14;118;-100.0;33
816;816;499;172.0;-807
-5;-5;18;-117.0;1
-50;-50;5;-103.0;-2
-305;-305;33;-155.0;3
66;66;-369;-99.0;238
-29;-29;15;-9.0;2
16;16;-10;37.0;-2
15;15;23;-26.0;-1
-516;-516;378;100.0;-805
8;8;8;-39.0;-2
-9;-9;2;21.0;-7
-66;-66;-44;-33.0;129
69;69;10;-106.0;8
-171;-171;47;-22.0;6
5;5;23;-293.0;-2
-3;-3;21;198.0;3
96;96;498;-57.0;159
64;64;37;45.0;3
154;154;26;-262.0;2
7;7;-9;18.0;0
-23;-23;16;-83.0;0
-2;-2;32;63.0;2
-72;-72;80;-70.0;60
-135;-135;-139;-97.0;-140
-87;-87;23;-75.0;-3
-68;-68;34;-736.0;41
3;3;16;124.0;3
-111;-111;46;354.0;31
14;14;23;-183.0;5
-1664;-1664;90;-168.0;-8
-54;-54;14;19.0;6
407;407;125;-64.0;63
44;44;3;-2.0;-3
-39;-39;2;-8.0;-6
-30;-30;-3;39.0;1
15;15;14;77.0;3
17;17;5;-19.0;1
26;26;13;44.0;-2
-34;-34;27;297.0;-9
26;26;65;68.0;-39
-610;-610;14;-24.0;-63
1;1;283;43.0;-310
-33;-33;-27;-1.0;15
-44;-44;29;-275.0;228
1180;1180;98;182.0;118
665;665;-1084;-206.0;369
18;18;18;291.0;3
129;129;51;-7.0;-4
208;208;-14;40.0;-33
-21;-21;177;-219.0;-195
2200;2200;151;478.0;-27
-130;-130;-156;136.0;-5
-34;-34;27;153.0;-2
-252;-252;319;-144.0;-289
35;35;-571;-247.0;-428
12;12;16;523.0;4
-48;-48;10;-37.0;-1
19;19;16;-70.0;2
-7;-7;9;59.0;-3
-239;-239;-269;-402.0;169
22;22;-20;-45.0;2
