InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
-15;4;18;670;-4;-15
-2;9;22;659;-9;-2
16;0;18;672;0;16
5;14;23;657;-14;5
28;-8;12;669;8;28
2;-11;16;665;11;2
10;-13;15;667;13;10
14;0;19;659;0;14
15;-22;15;662;22;15
5;-10;21;662;10;5
6;3;21;667;-3;6
-7;11;19;663;-11;-7
-5;17;17;664;-17;-5
19;-17;17;657;17;19
11;10;20;655;-10;11
-6;13;16;663;-13;-6
3;9;13;658;-9;3
3;-16;14;658;16;3
3;-8;13;658;8;3
18;3;23;656;-3;18
3;-10;14;658;10;3
-7;-19;13;670;19;-7
-8;-13;16;656;13;-8
3;-11;14;658;11;3
3;-10;13;658;10;3
3;-10;14;657;10;3
3;-11;13;658;11;3
-1;-3;16;654;3;-1
14;-1;16;656;1;14
3;-9;14;657;9;3
3;-10;13;658;10;3
3;-11;13;658;11;3
4;0;18;651;0;4
19;13;19;655;-13;19
-6;-9;22;652;9;-6
15;-12;12;659;12;15
17;-15;20;652;15;17
20;3;17;655;-3;20
6;-5;14;680;5;6
13;-8;18;653;8;13
2;10;18;652;-10;2
21;1;18;653;-1;21
10;3;15;701;-3;10
25;2;20;671;-2;25
-11;6;22;658;-6;-11
16;-23;15;668;23;16
18;-1;19;651;1;18
25;8;19;685;-8;25
11;-15;22;659;15;11
-17;-5;13;681;5;-17
19;3;16;681;-3;19
22;1;21;660;-1;22
7;-9;20;674;9;7
23;1;21;660;-1;23
3;3;19;655;-3;3
8;-15;18;651;15;8
14;15;21;659;-15;14
-5;-6;17;676;6;-5
16;-69;14;663;69;16
23;-5;22;658;5;23
-5;-10;20;667;10;-5
27;-1;11;667;1;27
-9;-18;19;673;18;-9
-6;-21;18;675;21;-6
-8;-7;17;672;7;-8
-53;25;17;664;-25;-53
11;-2;16;657;2;11
6;-3;21;661;3;6
-13;2;17;682;-2;-13
15;12;22;675;-12;15
-6;-11;19;667;11;-6
13;12;21;673;-12;13
-3;9;18;651;-9;-3
-12;-10;14;669;10;-12
-23;49;32;690;-49;-23
40;169;-66;1024;-169;40
22;-10;15;681;10;22
28;-14;23;697;14;28
-4;10;17;652;-10;-4
-4;-9;25;661;9;-4
12;-11;15;662;11;12
-9;-2;20;660;2;-9
28;-3;18;682;3;28
-9;2;16;675;-2;-9
27;2;11;668;-2;27
-12;-18;6;700;18;-12
16;11;15;664;-11;16
-2;3;18;658;-3;-2
-2;-23;19;676;23;-2
26;-2;27;697;2;26
8;1;13;659;-1;8
5;3;21;662;-3;5
54;2;10;742;-2;54
1418;107;5;664;-107;1418
-8;-6;14;664;6;-8
9;12;15;669;-12;9
-1;-24;19;702;24;-1
4;2;14;659;-2;4
3;15;19;665;-15;3
31;0;17;668;0;31
13;2;17;652;-2;13
7;-2;18;703;2;7
-1;-13;18;656;13;-1
22;1;21;667;-1;22
17;-13;19;663;13;17
8;6;20;651;-6;8
-2492;3737;100;566;-3737;-2492
-4;-8;21;671;8;-4
16;6;21;671;-6;16
12;2;21;671;-2;12
14;2;13;669;-2;14
-1;6;20;650;-6;-1
-16;13;10;676;-13;-16
-127;146;18;665;-146;-127
-6;18;16;672;-18;-6
-8;-20;17;666;20;-8
17;-6;16;704;6;17
16;-20;16;670;20;16
11;-2;19;664;2;11
-5;-9;17;665;9;-5
-9;1;18;654;-1;-9
-1;24;15;701;-24;-1
-33;0;19;702;0;-33
-5;1;22;700;-1;-5
1;-8;21;697;8;1
36;16;-5;686;-16;36
35;-7;10;674;7;35
-10;-10;20;657;10;-10
-11;10;21;661;-10;-11
7;-17;16;744;17;7
7;-10;18;702;10;7
12;9;16;655;-9;12
-22;-127;22;863;127;-22
-20;-13;20;697;13;-20
-4;1;18;699;-1;-4
18;2;19;656;-2;18
8;-8;20;656;8;8
-5;11;21;667;-11;-5
12;-13;25;664;13;12
-1;-12;19;667;12;-1
32;6;12;672;-6;32
-1;-22;13;663;22;-1
-3;16;13;668;-16;-3
14;2;13;675;-2;14
5;6;14;655;-6;5
-7;-4;17;698;4;-7
1;1;15;705;-1;1
21;13;18;669;-13;21
7;-1;11;712;1;7
13;11;17;705;-11;13
6;-8;19;653;8;6
11;6;16;670;-6;11
10;-18;15;656;18;10
384;10;18;665;-10;384
24;1;18;667;-1;24
29;-9;17;666;9;29
11;-14;18;659;14;11
0;-6;20;660;6;0
3;-9;22;667;9;3
3;-24;16;672;24;3
4;7;15;675;-7;4
-12;2;23;665;-2;-12
7;9;20;664;-9;7
17;8;28;656;-8;17
-6;-21;19;665;21;-6
17;-7;19;668;7;17
-7;-2;18;654;2;-7
-15;-3;15;665;3;-15
-1;-1;17;672;1;-1
1;12;15;662;-12;1
10;12;13;668;-12;10
5;-17;17;664;17;5
6;-16;18;659;16;6
6;17;17;659;-17;6
6;-2;14;679;2;6
-7;0;18;654;0;-7
-4;8;18;675;-8;-4
-2;13;18;669;-13;-2
-7;-25;14;658;25;-7
-2;13;13;678;-13;-2
-1;-5;13;678;5;-1
-12;-8;19;660;8;-12
17;13;16;659;-13;17
4;16;15;662;-16;4
13;-9;20;655;9;13
24;-7;15;658;7;24
-4;-7;20;660;7;-4
-10;5;15;655;-5;-10
1;11;19;660;-11;1
1;-17;15;664;17;1
9;-9;17;666;9;9
14;-12;19;659;12;14
17;-1;17;658;1;17
19;3;16;659;-3;19
7;-3;16;662;3;7
20;0;17;659;0;20
12;5;21;656;-5;12
-7;6;20;654;-6;-7
-4;-18;19;658;18;-4
9;-13;17;663;13;9
5;9;21;655;-9;5
8;9;16;663;-9;8
10;3;20;673;-3;10
-4;-6;18;658;6;-4
-7;2;25;658;-2;-7
32;7;20;669;-7;32
13;-8;20;656;8;13
-8;3;20;658;-3;-8
1;7;16;655;-7;1
-3;17;18;662;-17;-3
-4;-18;23;660;18;-4
24;11;18;661;-11;24
10;-10;11;666;10;10
28;-8;22;659;8;28
7;-2;18;659;2;7
21;10;23;661;-10;21
-5;11;16;654;-11;-5
13;3;13;662;-3;13
1;11;20;658;-11;1
5;-1;16;662;1;5
14;-9;11;664;9;14
-16;1;19;661;-1;-16
10;-9;14;664;9;10
-2;-6;16;661;6;-2
5;9;14;660;-9;5
-11;-3;18;657;3;-11
4;9;8;666;-9;4
-5;14;15;659;-14;-5
10;11;16;661;-11;10
12;11;18;659;-11;12
-6;-7;18;660;7;-6
12;16;21;673;-16;12
8;2;11;666;-2;8
5;17;20;655;-17;5
-8;-11;14;660;11;-8
-5;-24;24;671;24;-5
21;-9;19;658;9;21
4;-5;21;649;5;4
10;-9;19;658;9;10
11;-18;23;673;18;11
-7;-22;24;672;22;-7
18;13;19;662;-13;18
13;-21;24;673;21;13
17;-19;23;673;19;17
-4;-6;17;655;6;-4
10;-25;26;672;25;10
5;-12;17;654;12;5
7;0;24;650;0;7
9;0;23;653;0;9
18;-16;18;662;16;18
26;6;19;663;-6;26
4;13;17;658;-13;4
-5;3;22;653;-3;-5
17;-5;19;674;5;17
19;3;18;653;-3;19
12;18;15;678;-18;12
-10;-5;15;655;5;-10
9;1;22;660;-1;9
5;-13;14;657;13;5
14;9;18;656;-9;14
-17;-9;22;669;9;-17
-17;-9;22;669;9;-17
13;-10;22;669;10;13
10;-9;20;675;9;10
-9;-7;22;655;7;-9
5;-11;16;688;11;5
3;-8;17;686;8;3
4;14;18;658;-14;4
23;-6;20;663;6;23
10;-1;19;666;1;10
-7;1;18;678;-1;-7
-1;2;18;656;-2;-1
1;-17;17;653;17;1
21;-11;20;658;11;21
-2;1;18;663;-1;-2
5;0;19;674;0;5
21;10;19;667;-10;21
7;-13;24;665;13;7
-11;13;15;685;-13;-11
-9;1;24;652;-1;-9
-8;-12;21;681;12;-8
-7;-15;16;666;15;-7
-11;5;18;663;-5;-11
13;-11;21;656;11;13
8;4;24;659;-4;8
14;7;12;668;-7;14
-10;-3;18;664;3;-10
-4;12;24;660;-12;-4
-11;-7;17;667;7;-11
29;2;18;658;-2;29
-1;-12;16;657;12;-1
6;14;14;669;-14;6
-8;-6;15;658;6;-8
4;14;20;656;-14;4
0;23;11;666;-23;0
2;10;451;682;-10;2
1;-6;22;655;6;1
-16;4;11;674;-4;-16
5;4;18;665;-4;5
11;-26;14;670;26;11
1;-7;17;658;7;1
1;-2;24;658;2;1
6;-1;23;663;1;6
-15;2;20;667;-2;-15
24;13;15;668;-13;24
18;13;17;664;-13;18
16;6;17;662;-6;16
7;-2;23;652;2;7
-2;6;12;664;-6;-2
6;-19;19;654;19;6
-5;-9;26;651;9;-5
6;8;16;682;-8;6
7;-18;14;660;18;7
0;-2;19;656;2;0
15;-8;15;658;8;15
21;11;20;684;-11;21
25;11;18;658;-11;25
14;-15;20;684;15;14
15;-14;11;657;14;15
2;-19;12;677;19;2
19;4;14;660;-4;19
16;-17;19;654;17;16
2;3;19;658;-3;2
-9;-6;23;656;6;-9
9;3;24;649;-3;9
6;5;13;661;-5;6
-6;4;18;656;-4;-6
29;1;22;658;-1;29
-6;12;19;658;-12;-6
13;5;17;655;-5;13
26;5;16;660;-5;26
3;1;15;657;-1;3
8;-10;22;656;10;8
25;-14;14;659;14;25
21;2;17;653;-2;21
3;4;16;654;-4;3
11;-17;23;661;17;11
17;15;20;666;-15;17
9;-10;22;663;10;9
3;-8;14;674;8;3
-8;-9;15;671;9;-8
-11;-14;22;664;14;-11
12;21;16;671;-21;12
30;-2;21;663;2;30
-6;8;20;666;-8;-6
-3;8;21;657;-8;-3
7;-5;13;661;5;7
-2;-13;17;669;13;-2
14;-21;24;663;21;14
-9;11;16;659;-11;-9
13;11;20;666;-11;13
23;5;16;667;-5;23
-4;9;22;653;-9;-4
10;799;-239;1650;-799;10
2;12;15;675;-12;2
-3;8;15;677;-8;-3
4;1;16;667;-1;4
12;12;18;671;-12;12
-10;-4;17;658;4;-10
22;-13;19;655;13;22
-11;1;14;675;-1;-11
18;5;10;686;-5;18
-18;2;16;677;-2;-18
9;13;25;653;-13;9
37;1;20;666;-1;37
-7;-7;14;673;7;-7
5;12;21;652;-12;5
4;2;21;657;-2;4
4;23;21;668;-23;4
-17;-10;18;670;10;-17
6;15;19;656;-15;6
-5;-20;18;668;20;-5
-12;-8;20;673;8;-12
-2;15;16;669;-15;-2
-13;-12;18;663;12;-13
-15;2;18;667;-2;-15
4;11;21;666;-11;4
-8;2;21;673;-2;-8
-16;-1;22;673;1;-16
32;-3;20;675;3;32
4;8;16;659;-8;4
25;-12;13;675;12;25
16;6;17;657;-6;16
-7;-7;15;654;7;-7
6;-21;15;668;21;6
3;7;17;662;-7;3
26;12;16;661;-12;26
-7;-5;21;655;5;-7
-5;0;12;660;0;-5
10;2;14;667;-2;10
-5;-9;18;658;9;-5
-5;2;17;658;-2;-5
3;-1;17;659;1;3
7;-8;26;660;8;7
27;6;20;657;-6;27
3;-9;19;658;9;3
17;12;20;657;-12;17
23;3;21;659;-3;23
-8;-7;16;658;7;-8
22;-20;13;679;20;22
31;4;18;663;-4;31
-11;12;18;667;-12;-11
14;1;24;658;-1;14
16;-17;12;659;17;16
5;9;13;677;-9;5
-6;-1;24;652;1;-6
3;16;23;660;-16;3
6;0;16;672;0;6
33;-23;23;661;23;33
-1;10;13;660;-10;-1
16;2;17;668;-2;16
-3;13;23;666;-13;-3
4;5;17;658;-5;4
1;5;24;655;-5;1
6;15;19;672;-15;6
-2;9;16;653;-9;-2
14;-23;19;672;23;14
16;-7;20;658;7;16
14;-17;16;656;17;14
2;-19;21;655;19;2
-8;-12;18;657;12;-8
-5;-15;12;661;15;-5
30;2;16;660;-2;30
13;-20;23;656;20;13
11;-13;18;657;13;11
21;-4;14;660;4;21
-1;-14;20;656;14;-1
-2;-2;24;652;2;-2
14;-13;19;657;13;14
24;15;19;663;-15;24
4;-11;20;657;11;4
3;-10;20;658;10;3
-4;-7;16;668;7;-4
10;-10;20;657;10;10
8;-9;19;666;9;8
-16;3;17;669;-3;-16
10;10;19;655;-10;10
0;16;13;660;-16;0
9;0;12;659;0;9
-12;6;14;675;-6;-12
7;-15;22;654;15;7
-1;-9;17;659;9;-1
4;-18;20;656;18;4
6;-11;13;674;11;6
8;-14;22;650;14;8
-5;1;20;654;-1;-5
2;1;17;671;-1;2
3;11;17;657;-11;3
-5;0;16;665;0;-5
6;-9;14;661;9;6
-8;-19;17;665;19;-8
-4;-13;20;655;13;-4
1;-8;19;654;8;1
25;3;20;658;-3;25
3;-9;21;664;9;3
0;1;19;669;-1;0
3;1;19;654;-1;3
10;-11;15;658;11;10
-10;9;17;659;-9;-10
-3;-4;17;664;4;-3
11;4;21;667;-4;11
14;5;22;652;-5;14
9;14;18;671;-14;9
-3;-8;15;657;8;-3
16;12;13;662;-12;16
7;14;19;671;-14;7
-8;-11;23;663;11;-8
3;6;18;654;-6;3
12;0;15;671;0;12
4;-11;19;654;11;4
4;-1;22;666;1;4
22;4;20;671;-4;22
-2;4;24;663;-4;-2
-7;-5;18;658;5;-7
-6;-2;22;656;2;-6
-4;-2;16;654;2;-4
11;11;17;654;-11;11
10;-8;16;657;8;10
4;2;12;660;-2;4
21;-2;20;663;2;21
28;4;21;666;-4;28
18;9;13;659;-9;18
7;-9;15;660;9;7
4;2;12;655;-2;4
15;-3;19;654;3;15
16;-7;19;668;7;16
29;-8;17;678;8;29
20;-9;19;656;9;20
9;0;24;652;0;9
-13;-8;14;670;8;-13
9;-9;19;661;9;9
4;-7;20;653;7;4
-12;-4;13;658;4;-12
0;-10;24;656;10;0
4;111;24;672;-111;4
83;-4877;-881;1727;4877;83
14;-28;24;662;28;14
-357;29;17;668;-29;-357
2;3;18;665;-3;2
8;18;16;668;-18;8
-15;6;18;667;-6;-15
23;3;18;655;-3;23
-3;-13;14;655;13;-3
10;-8;24;647;8;10
522;11;28;673;-11;522
11;-11;18;682;11;11
2;0;17;653;0;2
4;-17;19;685;17;4
13;6;22;662;-6;13
-4;-5;20;681;5;-4
-5;-13;22;653;13;-5
0;-7;23;652;7;0
14;-10;12;676;10;14
-3;-12;22;666;12;-3
27;5;12;677;-5;27
3;0;22;669;0;3
-8;9;23;663;-9;-8
-6;4;19;652;-4;-6
12;3;19;652;-3;12
-6;2;18;650;-2;-6
-7;-10;16;656;10;-7
19;12;25;665;-12;19
1;0;16;652;0;1
6;20;19;663;-20;6
21;0;24;662;0;21
14;4;14;657;-4;14
17;-20;21;666;20;17
-4;-4;18;649;4;-4
27;4;17;656;-4;27
10;13;23;664;-13;10
19;-8;22;666;8;19
4;1;18;656;-1;4
0;15;20;664;-15;0
11;-14;15;671;14;11
352;637;-1237;-1442;-637;352
-12;-11;18;662;11;-12
-5;-11;17;655;11;-5
-3;0;16;671;0;-3
16;-21;14;662;21;16
-1;3;20;673;-3;-1
-31;-3;18;676;3;-31
0;13;10;676;-13;0
-2;19;17;669;-19;-2
7;1;15;669;-1;7
-5;11;21;667;-11;-5
1;-4;18;671;4;1
-2;-20;16;671;20;-2
24;8;26;665;-8;24
-1;-22;16;671;22;-1
35;-7;15;671;7;35
65;-2;403;668;2;65
-2;2;17;669;-2;-2
9;-6;24;653;6;9
-6;-4;20;670;4;-6
11;-24;17;667;24;11
-1;-7;19;666;7;-1
4;-15;19;657;15;4
13;-19;12;672;19;13
-10;5;17;666;-5;-10
19;-9;25;660;9;19
12;20;16;675;-20;12
20;7;18;668;-7;20
14;-10;19;654;10;14
21;-23;18;670;23;21
-2;-14;21;652;14;-2
20;-6;14;670;6;20
-14;6;19;669;-6;-14
-12;-2;13;673;2;-12
-11;2;17;675;-2;-11
16;-17;15;662;17;16
25;1;16;673;-1;25
-14;-9;19;672;9;-14
18;-17;17;656;17;18
-9;-20;18;669;20;-9
-10;-7;23;661;7;-10
-8;6;25;654;-6;-8
7;2;18;655;-2;7
4;-16;19;654;16;4
8;-8;18;661;8;8
3;0;14;657;0;3
28;-5;20;656;5;28
7;3;19;655;-3;7
13;-18;20;668;18;13
36;-3;23;671;3;36
32;7;24;665;-7;32
25;3;19;654;-3;25
1;-10;20;652;10;1
-1;4;16;669;-4;-1
3;1;16;669;-1;3
13;-8;18;667;8;13
-15;-8;15;667;8;-15
26;-7;-110;523;7;26
1;-8;19;656;8;1
-1;9;22;661;-9;-1
8;-21;17;671;21;8
3;11;22;660;-11;3
1;3;22;658;-3;1
-10;-11;18;671;11;-10
-12;3;22;664;-3;-12
32;-9;13;682;9;32
13;-6;24;650;6;13
31;1;22;663;-1;31
6;8;20;654;-8;6
7;-2;22;646;2;7
22;1;20;652;-1;22
6;-18;14;654;18;6
0;-7;15;654;7;0
24;1;22;664;-1;24
15;4;19;656;-4;15
31;-1;22;664;1;31
-10;-11;23;660;11;-10
-6;-1;18;653;1;-6
-12;-5;16;656;5;-12
63;-43;18;664;43;63
-1;14;15;677;-14;-1
-1;-2;14;658;2;-1
1;-23;12;677;23;1
19;-6;17;653;6;19
3;-20;18;656;20;3
2;2;15;659;-2;2
8;-10;16;654;10;8
3;-14;13;655;14;3
7;81;332;425;-81;7
12;-1;18;652;1;12
-2;-6;17;656;6;-2
32;-17;14;750;17;32
10;-1;22;673;1;10
22;1;22;653;-1;22
25;6;20;655;-6;25
18;3;14;661;-3;18
7;-8;19;656;8;7
3;6;21;661;-6;3
27;-2;15;669;2;27
18;-22;20;665;22;18
14;-4;19;657;4;14
-29;12;12;674;-12;-29
7;24;17;664;-24;7
5;-6;21;656;6;5
21;-17;18;660;17;21
15;6;12;678;-6;15
10;11;20;660;-11;10
9;-18;21;658;18;9
9;-1;14;660;1;9
-2;7;20;657;-7;-2
21;-10;16;670;10;21
12;-21;19;657;21;12
20;-18;17;668;18;20
23;5;20;658;-5;23
23;16;21;652;-16;23
6;-2;17;669;2;6
22;-7;20;667;7;22
22;-4;21;663;4;22
23;-2;24;656;2;23
20;-9;22;659;9;20
-3;13;21;659;-13;-3
-3;12;22;659;-12;-3
-4;15;22;660;-15;-4
23;18;20;658;-18;23
-6;-7;19;663;7;-6
9;14;22;659;-14;9
0;12;22;660;-12;0
-4;11;19;659;-11;-4
5;-4;12;689;4;5
5;13;19;660;-13;5
0;-2;19;658;2;0
21;-7;19;663;7;21
-13;-12;19;664;12;-13
-13;6;18;661;-6;-13
-1;-8;19;663;8;-1
12;21;16;665;-21;12
5;11;10;677;-11;5
-9;25;19;667;-25;-9
2;-10;18;656;10;2
11;-10;19;663;10;11
-9;15;9;676;-15;-9
14;2;23;660;-2;14
-5;9;14;674;-9;-5
-8;-8;19;663;8;-8
8;-8;11;670;8;8
11;-15;21;660;15;11
-6;-3;17;661;3;-6
19;-10;12;669;10;19
-15;-1;16;659;1;-15
-18;-10;15;668;10;-18
31;12;19;658;-12;31
3;12;18;650;-12;3
0;-3;21;646;3;0
-17;-4;18;661;4;-17
0;15;16;653;-15;0
5;2;21;645;-2;5
-72;1;16;661;-1;-72
-11;-10;18;656;10;-11
-4;5;19;649;-5;-4
23;10;16;654;-10;23
18;24;15;669;-24;18
-13;0;16;656;0;-13
-4;-31;19;672;31;-4
23;-429;-359;1687;429;23
-316;6421;-933;1915;-6421;-316
-13;-3;14;656;3;-13
-63;13;147;662;-13;-63
-16;-7;19;661;7;-16
28;-3;18;654;3;28
-8;9;16;653;-9;-8
-10;7;24;654;-7;-10
-10;11;15;657;-11;-10
-11;13;16;660;-13;-11
57;-19;18;655;19;57
-5;-15;11;656;15;-5
25;3;22;652;-3;25
-8;9;17;653;-9;-8
29;15;14;656;-15;29
-16;18;19;666;-18;-16
-12;1;19;652;-1;-12
31;12;17;668;-12;31
6;18;22;655;-18;6
17;16;22;650;-16;17
-18;3;18;664;-3;-18
44;12;13;672;-12;44
26;-10;20;655;10;26
14;-21;19;656;21;14
-6;0;14;650;0;-6
29;-10;14;659;10;29
23;34;18;662;-34;23
22;11;16;654;-11;22
-19;-21;13;670;21;-19
29;4;875;655;-4;29
13;21;11;664;-21;13
-8;-136;11;722;136;-8
-20;0;17;671;0;-20
26;-4247;203;647;4247;26
-14;-7;21;657;7;-14
-21;-1;21;651;1;-21
15;19;13;749;-19;15
-15;-12;19;659;12;-15
-53;57;14;662;-57;-53
-13;11;16;659;-11;-13
34;0;20;655;0;34
30;25;20;661;-25;30
-15;9;12;662;-9;-15
26;2;18;652;-2;26
-15;-1868;2669;2158;1868;-15
-7;0;21;648;0;-7
-17;1;23;660;-1;-17
-8;12;16;654;-12;-8
29;14;13;748;-14;29
-12;10;19;657;-10;-12
10;-20;21;652;20;10
-8;10;16;653;-10;-8
-1345;75;18;648;-75;-1345
-8;13;16;654;-13;-8
-18;-12;23;660;12;-18
-8;12;16;654;-12;-8
38;-6;58;623;6;38
3;-36;13;758;36;3
-15;12;17;663;-12;-15
-35;-22;14;748;22;-35
-24;2;16;670;-2;-24
-572;23;19;664;-23;-572
-8;12;18;654;-12;-8
6;-1;20;644;1;6
19;24;18;660;-24;19
-17;-11;25;665;11;-17
-7;9;22;651;-9;-7
-15;-15;15;666;15;-15
29;-19;16;650;19;29
-10;12;14;657;-12;-10
-13;-13;17;658;13;-13
8;47;17;667;-47;8
3561;349;40;663;-349;3561
-22;7;19;658;-7;-22
4;23;18;659;-23;4
6;0;15;747;0;6
9;19;21;651;-19;9
48;0;21;655;0;48
-17;-11;13;663;11;-17
1;-15;23;650;15;1
-1;-22;24;657;22;-1
34;-8;22;664;8;34
-25;221;14;710;-221;-25
-19;-11;4;682;11;-19
42;-10;14;664;10;42
-12;-9;19;655;9;-12
2;-20;21;654;20;2
23;177;51;172;-177;23
20;54;52;164;-54;20
11;-22;13;656;22;11
3;-25;19;655;25;3
6;-25;24;651;25;6
364;396;-11;703;-396;364
25;18;22;638;-18;25
80;8;19;657;-8;80
-4;18;20;649;-18;-4
9;-285;-8;691;285;9
-10;11;18;655;-11;-10
-20;17;18;657;-17;-20
-20;23;18;659;-23;-20
-18;3;18;651;-3;-18
-7;13;18;653;-13;-7
-8;0;24;649;0;-8
4;19;16;655;-19;4
-7;3;22;649;-3;-7
-14;-9;19;657;9;-14
21;-4;20;643;4;21
5;-20;23;652;20;5
-7;-10;19;650;10;-7
-5;14;21;642;-14;-5
-10;-20;23;646;20;-10
28;-45;17;667;45;28
2;17;17;653;-17;2
-24;-140;60;627;140;-24
20;-5;11;749;5;20
-19;-2;20;664;2;-19
-7;3;20;648;-3;-7
28;2;20;654;-2;28
4;-30;23;658;30;4
-14;-9;18;656;9;-14
2;15;21;644;-15;2
2136;87;52;656;-87;2136
-11;-20;15;749;20;-11
-19;-15;19;652;15;-19
-9;12;21;654;-12;-9
83;1278;1215;733;-1278;83
19;14;16;654;-14;19
-13;-25;18;656;25;-13
-2;19;20;654;-19;-2
-3;16;16;653;-16;-3
11;23;12;663;-23;11
-887;17;33;664;-17;-887
-12;16;23;661;-16;-12
58;4;15;671;-4;58
-13;-6;20;641;6;-13
-17;-6;19;656;6;-17
1;-38;16;663;38;1
-13;2;24;652;-2;-13
-11;8;18;654;-8;-11
-26;-12;16;667;12;-26
-18;1;12;657;-1;-18
24;-507;227;345;507;24
-13;-302;170;420;302;-13
-12;9;17;656;-9;-12
24;-12;22;648;12;24
-39;-10;15;658;10;-39
20;-24;15;656;24;20
4;-28;14;662;28;4
22;-26;19;659;26;22
102;-18;18;668;18;102
-15;38;18;661;-38;-15
0;24;20;653;-24;0
27;69;21;661;-69;27
-8;18;15;656;-18;-8
-22;12;20;649;-12;-22
260;7;18;667;-7;260
-28;-21;20;652;21;-28
-2;37;23;656;-37;-2
-1;23;18;659;-23;-1
15;-27;19;644;27;15
113;2689;-1669;-699;-2689;113
35;-29;17;658;29;35
-14;-8;18;654;8;-14
-34;30;21;657;-30;-34
-30;16;20;653;-16;-30
19;-29;22;656;29;19
-49;537;285;257;-537;-49
-222;-2;28;674;2;-222
-8;9;20;650;-9;-8
6;26;72;608;-26;6
-9;0;13;747;0;-9
31;22;23;641;-22;31
-18;24;22;654;-24;-18
26;19;18;640;-19;26
14;-85;50;484;85;14
58;43;15;665;-43;58
11;-583;120;802;583;11
37;-2;22;653;2;37
42;-8;21;660;8;42
140;12;20;660;-12;140
1;986;8;677;-986;1
86;2006;-127;841;-2006;86
-2;13;12;750;-13;-2
-13;8;21;645;-8;-13
42;20;23;658;-20;42
-113;3447;-190;1306;-3447;-113
738;35;22;663;-35;738
-2273;112;14;697;-112;-2273
983;36;14;675;-36;983
-8;24;21;653;-24;-8
12;23;19;656;-23;12
32;-29;28;641;29;32
-120;0;16;661;0;-120
-4;496;22;721;-496;-4
66;-1794;405;482;1794;66
34;-11;19;644;11;34
-26;-13;25;631;13;-26
-7;-44;21;651;44;-7
3;-94;65;158;94;3
-29;0;21;656;0;-29
-55;-25;21;655;25;-55
0;-21;13;654;21;0
-5891;1237;52;627;-1237;-5891
-7;15;23;645;-15;-7
-6;-11;16;648;11;-6
67;-2871;290;572;2871;67
5;30;19;654;-30;5
-13;15;20;652;-15;-13
-10;-73;26;673;73;-10
16;-1190;42;743;1190;16
-15;-10;12;658;10;-15
37;4;16;655;-4;37
13;36;17;651;-36;13
