InertialMeasurementUnit BACK accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit BACK magneticX;Accelerometer HIP accZ;Accelerometer HIP accX;Accelerometer BACK accY
214.0;-969.0;482.0;395.0;-10.0;835.0
238.0;-891.0;534.0;325.0;-46.0;790.0
217.0;-965.0;480.0;425.0;1.0;840.0
469.0;-896.0;529.0;398.0;30.0;866.0
254.0;-928.0;444.0;310.0;39.0;841.0
248.0;-963.0;537.0;395.0;-193.0;819.0
152.0;-972.0;502.0;449.0;-2.0;789.0
265.0;-1029.0;439.0;351.0;87.0;831.0
146.0;-984.0;490.0;449.0;-37.0;753.0
160.0;-988.0;544.0;435.0;0.0;876.0
209.0;-984.0;508.0;450.0;-33.0;782.0
209.0;-962.0;482.0;402.0;-2.0;826.0
231.0;-964.0;508.0;427.0;-20.0;768.0
283.0;-891.0;498.0;376.0;10.0;725.0
285.0;-889.0;496.0;393.0;-10.0;737.0
284.0;-881.0;495.0;377.0;3.0;746.0
287.0;-884.0;493.0;395.0;10.0;753.0
287.0;-891.0;492.0;367.0;9.0;731.0
284.0;-895.0;489.0;366.0;-7.0;712.0
289.0;-891.0;456.0;259.0;-12.0;690.0
271.0;-903.0;486.0;326.0;-34.0;707.0
207.0;-962.0;483.0;383.0;-8.0;830.0
269.0;-900.0;483.0;343.0;-36.0;713.0
376.0;-834.0;497.0;202.0;-25.0;627.0
224.0;-947.0;511.0;421.0;-5.0;799.0
253.0;-893.0;483.0;321.0;-19.0;724.0
146.0;-731.0;733.0;319.0;-174.0;1068.0
277.0;-899.0;509.0;495.0;-242.0;919.0
286.0;-1057.0;443.0;464.0;-32.0;922.0
275.0;-916.0;435.0;183.0;-15.0;638.0
209.0;-967.0;484.0;399.0;-11.0;841.0
208.0;-964.0;483.0;392.0;-12.0;837.0
202.0;-965.0;482.0;414.0;-1.0;831.0
504.0;-783.0;479.0;112.0;-113.0;531.0
196.0;-967.0;481.0;384.0;8.0;828.0
196.0;-968.0;481.0;387.0;-6.0;846.0
209.0;-982.0;525.0;380.0;-154.0;859.0
240.0;-875.0;534.0;332.0;-49.0;800.0
281.0;-872.0;453.0;356.0;-64.0;810.0
260.0;-899.0;482.0;297.0;-23.0;715.0
249.0;-911.0;474.0;312.0;10.0;744.0
584.0;-790.0;523.0;265.0;-104.0;863.0
144.0;-962.0;511.0;398.0;-19.0;776.0
194.0;-970.0;482.0;386.0;-13.0;857.0
241.0;-918.0;470.0;343.0;-9.0;743.0
199.0;-948.0;458.0;276.0;-94.0;650.0
240.0;-954.0;450.0;400.0;-14.0;733.0
195.0;-973.0;482.0;412.0;5.0;838.0
231.0;-949.0;448.0;415.0;-10.0;745.0
188.0;-972.0;481.0;407.0;-2.0;849.0
184.0;-973.0;478.0;412.0;-14.0;860.0
130.0;-994.0;414.0;441.0;30.0;904.0
143.0;-963.0;665.0;379.0;143.0;786.0
184.0;-973.0;479.0;407.0;-10.0;852.0
230.0;-948.0;444.0;404.0;-16.0;746.0
228.0;-960.0;444.0;437.0;-32.0;761.0
163.0;-979.0;490.0;378.0;14.0;866.0
181.0;-970.0;479.0;385.0;10.0;830.0
181.0;-976.0;479.0;410.0;-2.0;847.0
184.0;-976.0;477.0;417.0;-20.0;840.0
183.0;-971.0;479.0;405.0;-6.0;842.0
238.0;-1021.0;412.0;480.0;-44.0;724.0
199.0;-1044.0;412.0;523.0;14.0;741.0
182.0;-972.0;478.0;399.0;0.0;850.0
275.0;-1041.0;369.0;236.0;162.0;741.0
273.0;-869.0;514.0;287.0;90.0;1049.0
116.0;-836.0;325.0;491.0;70.0;978.0
186.0;-974.0;479.0;457.0;-5.0;856.0
189.0;-975.0;499.0;406.0;-28.0;770.0
169.0;-972.0;451.0;358.0;-33.0;884.0
238.0;-884.0;537.0;354.0;-59.0;751.0
183.0;-969.0;481.0;420.0;-19.0;828.0
187.0;-974.0;480.0;396.0;-11.0;830.0
188.0;-975.0;481.0;395.0;-38.0;839.0
192.0;-968.0;481.0;389.0;-33.0;850.0
175.0;-984.0;497.0;404.0;-29.0;788.0
128.0;-913.0;248.0;539.0;49.0;683.0
152.0;-989.0;406.0;453.0;-50.0;754.0
177.0;-966.0;481.0;373.0;59.0;866.0
193.0;-965.0;481.0;412.0;-26.0;842.0
191.0;-967.0;483.0;415.0;-29.0;837.0
179.0;-792.0;766.0;388.0;-54.0;801.0
193.0;-971.0;484.0;416.0;-40.0;833.0
448.0;-1102.0;1098.0;231.0;-120.0;666.0
285.0;-939.0;440.0;405.0;-58.0;782.0
280.0;-939.0;440.0;385.0;-69.0;772.0
303.0;-935.0;447.0;388.0;-75.0;780.0
171.0;-988.0;510.0;454.0;-49.0;858.0
189.0;-972.0;488.0;381.0;-25.0;835.0
183.0;-975.0;487.0;410.0;-10.0;833.0
186.0;-977.0;485.0;402.0;-21.0;825.0
158.0;-981.0;497.0;357.0;9.0;853.0
174.0;-980.0;491.0;466.0;-4.0;806.0
198.0;-992.0;496.0;466.0;-32.0;967.0
279.0;-1113.0;459.0;302.0;-19.0;817.0
864.0;-481.0;619.0;-14.0;-366.0;10.0
251.0;-897.0;535.0;323.0;-59.0;743.0
119.0;-994.0;516.0;175.0;-362.0;700.0
240.0;-896.0;333.0;212.0;127.0;850.0
278.0;-971.0;449.0;355.0;-66.0;818.0
181.0;-978.0;496.0;435.0;-2.0;778.0
182.0;-977.0;480.0;366.0;115.0;787.0
191.0;-954.0;424.0;425.0;-11.0;823.0
167.0;-975.0;510.0;374.0;57.0;770.0
156.0;-988.0;501.0;508.0;-22.0;805.0
202.0;-976.0;407.0;396.0;-59.0;881.0
188.0;-981.0;496.0;469.0;-29.0;793.0
201.0;-931.0;429.0;359.0;-6.0;814.0
237.0;-931.0;426.0;367.0;-39.0;793.0
196.0;-841.0;119.0;296.0;-109.0;878.0
194.0;-947.0;426.0;415.0;18.0;816.0
101.0;-912.0;200.0;422.0;-254.0;751.0
204.0;-971.0;498.0;428.0;-40.0;785.0
809.0;-255.0;-199.0;314.0;-129.0;803.0
381.0;-1098.0;762.0;440.0;-143.0;1020.0
274.0;-1122.0;536.0;228.0;-106.0;883.0
301.0;-936.0;445.0;406.0;-85.0;777.0
209.0;-943.0;427.0;411.0;3.0;830.0
97.0;-892.0;414.0;84.0;41.0;794.0
84.0;-979.0;578.0;323.0;-7.0;791.0
190.0;-978.0;498.0;431.0;-33.0;764.0
186.0;-938.0;502.0;247.0;-152.0;400.0
209.0;-1013.0;515.0;493.0;-96.0;844.0
212.0;-977.0;533.0;689.0;-21.0;768.0
144.0;-1166.0;435.0;289.0;-52.0;742.0
119.0;-947.0;421.0;351.0;-175.0;795.0
116.0;-1003.0;829.0;298.0;-204.0;720.0
218.0;-1014.0;545.0;490.0;19.0;883.0
202.0;-978.0;940.0;440.0;-60.0;843.0
320.0;-853.0;402.0;231.0;9.0;768.0
342.0;-905.0;468.0;290.0;4.0;866.0
155.0;-990.0;578.0;293.0;-9.0;810.0
163.0;-817.0;1120.0;305.0;36.0;961.0
211.0;-879.0;497.0;287.0;71.0;735.0
301.0;-915.0;468.0;317.0;-125.0;838.0
237.0;-952.0;471.0;307.0;-99.0;859.0
220.0;-986.0;544.0;345.0;-82.0;796.0
212.0;-997.0;545.0;360.0;-22.0;771.0
237.0;-951.0;517.0;395.0;-26.0;848.0
212.0;-986.0;545.0;395.0;4.0;798.0
197.0;-946.0;431.0;460.0;-12.0;807.0
206.0;-948.0;428.0;414.0;1.0;810.0
206.0;-954.0;427.0;415.0;-10.0;821.0
209.0;-955.0;428.0;405.0;-10.0;814.0
206.0;-981.0;390.0;388.0;-31.0;801.0
209.0;-943.0;427.0;400.0;-9.0;823.0
216.0;-997.0;544.0;393.0;-4.0;809.0
207.0;-989.0;544.0;402.0;18.0;816.0
214.0;-893.0;441.0;494.0;-103.0;774.0
244.0;-930.0;558.0;336.0;102.0;853.0
208.0;-949.0;427.0;419.0;16.0;838.0
213.0;-950.0;427.0;394.0;-8.0;821.0
192.0;-876.0;563.0;431.0;13.0;839.0
130.0;-962.0;528.0;276.0;-101.0;696.0
215.0;-949.0;428.0;407.0;-15.0;814.0
185.0;-953.0;424.0;409.0;-12.0;787.0
215.0;-944.0;428.0;401.0;-15.0;816.0
215.0;-947.0;429.0;393.0;-2.0;818.0
240.0;-960.0;346.0;438.0;35.0;982.0
219.0;-945.0;427.0;409.0;3.0;819.0
241.0;-930.0;542.0;412.0;-16.0;837.0
221.0;-942.0;429.0;388.0;-15.0;819.0
186.0;-967.0;530.0;312.0;-20.0;814.0
220.0;-944.0;429.0;400.0;-14.0;810.0
175.0;-979.0;455.0;339.0;-49.0;817.0
274.0;-903.0;501.0;357.0;37.0;774.0
193.0;-972.0;522.0;302.0;-6.0;844.0
219.0;-946.0;429.0;399.0;0.0;820.0
222.0;-947.0;430.0;375.0;-9.0;816.0
219.0;-943.0;432.0;386.0;-7.0;808.0
220.0;-939.0;432.0;358.0;-15.0;801.0
148.0;-990.0;454.0;359.0;-78.0;840.0
275.0;-944.0;519.0;472.0;-106.0;846.0
180.0;-989.0;368.0;384.0;0.0;781.0
242.0;-972.0;666.0;414.0;-20.0;813.0
187.0;-959.0;425.0;365.0;1.0;810.0
191.0;-946.0;426.0;377.0;13.0;811.0
188.0;-950.0;426.0;372.0;2.0;795.0
192.0;-965.0;525.0;308.0;-15.0;801.0
240.0;-973.0;395.0;392.0;-37.0;812.0
190.0;-949.0;429.0;351.0;-43.0;817.0
194.0;-942.0;429.0;376.0;-11.0;829.0
186.0;-935.0;433.0;371.0;21.0;848.0
192.0;-939.0;428.0;356.0;-15.0;820.0
124.0;-905.0;348.0;406.0;-88.0;829.0
38.0;-829.0;327.0;246.0;-22.0;887.0
117.0;-940.0;421.0;297.0;31.0;791.0
192.0;-945.0;434.0;342.0;-35.0;810.0
208.0;-942.0;436.0;364.0;-42.0;801.0
213.0;-938.0;434.0;366.0;-29.0;790.0
180.0;-1182.0;572.0;329.0;-153.0;782.0
220.0;-928.0;436.0;377.0;-16.0;798.0
252.0;-930.0;447.0;408.0;-20.0;781.0
256.0;-931.0;446.0;419.0;9.0;773.0
193.0;-913.0;488.0;283.0;10.0;783.0
166.0;-983.0;496.0;440.0;12.0;773.0
229.0;-757.0;887.0;214.0;17.0;744.0
253.0;-929.0;447.0;381.0;-11.0;791.0
258.0;-849.0;605.0;185.0;-9.0;776.0
246.0;-931.0;594.0;258.0;-67.0;777.0
285.0;-935.0;568.0;271.0;-1.0;770.0
248.0;-924.0;446.0;364.0;-22.0;781.0
343.0;-998.0;789.0;233.0;-19.0;797.0
175.0;-977.0;492.0;434.0;-39.0;789.0
249.0;-930.0;446.0;373.0;-19.0;796.0
88.0;-1060.0;268.0;146.0;-98.0;751.0
254.0;-931.0;446.0;374.0;-36.0;797.0
252.0;-936.0;447.0;394.0;-59.0;769.0
281.0;-940.0;441.0;408.0;-59.0;782.0
254.0;-936.0;446.0;385.0;-39.0;769.0
255.0;-931.0;448.0;374.0;-39.0;764.0
185.0;-945.0;453.0;321.0;-68.0;913.0
254.0;-930.0;444.0;366.0;-27.0;776.0
201.0;-903.0;627.0;228.0;36.0;839.0
258.0;-928.0;447.0;388.0;-20.0;774.0
283.0;-939.0;438.0;412.0;-59.0;782.0
282.0;-956.0;460.0;465.0;-187.0;742.0
258.0;-928.0;445.0;396.0;-3.0;780.0
257.0;-929.0;445.0;391.0;7.0;772.0
249.0;-933.0;446.0;388.0;-17.0;789.0
252.0;-929.0;447.0;393.0;-22.0;782.0
258.0;-930.0;446.0;377.0;-38.0;773.0
255.0;-933.0;446.0;356.0;-40.0;771.0
262.0;-933.0;446.0;360.0;-36.0;773.0
260.0;-941.0;444.0;360.0;-44.0;754.0
196.0;-953.0;509.0;212.0;-35.0;783.0
268.0;-925.0;449.0;390.0;-16.0;790.0
277.0;-922.0;460.0;420.0;-21.0;785.0
331.0;-1016.0;457.0;473.0;-130.0;807.0
358.0;-917.0;438.0;378.0;-105.0;768.0
325.0;-1216.0;512.0;302.0;-89.0;749.0
350.0;-936.0;346.0;488.0;54.0;810.0
284.0;-910.0;464.0;433.0;-17.0;781.0
195.0;-981.0;427.0;364.0;40.0;866.0
410.0;-901.0;619.0;452.0;-7.0;655.0
233.0;-894.0;526.0;312.0;-72.0;741.0
205.0;-854.0;529.0;420.0;-126.0;820.0
308.0;-905.0;483.0;352.0;-28.0;715.0
322.0;-1090.0;478.0;395.0;-51.0;849.0
304.0;-904.0;482.0;334.0;-31.0;716.0
315.0;-904.0;481.0;354.0;-39.0;698.0
402.0;-916.0;614.0;392.0;-47.0;655.0
358.0;-907.0;421.0;394.0;-89.0;700.0
281.0;-906.0;475.0;335.0;-76.0;687.0
518.0;-825.0;505.0;174.0;-324.0;555.0
411.0;-933.0;440.0;467.0;-208.0;700.0
283.0;-937.0;439.0;408.0;-62.0;780.0
288.0;-944.0;453.0;446.0;-65.0;787.0
285.0;-937.0;439.0;405.0;-66.0;800.0
280.0;-934.0;441.0;399.0;-62.0;792.0
125.0;-1034.0;663.0;234.0;-51.0;749.0
187.0;-981.0;494.0;426.0;-10.0;799.0
282.0;-933.0;438.0;400.0;-60.0;792.0
172.0;-966.0;493.0;435.0;-5.0;771.0
192.0;-916.0;571.0;311.0;-49.0;787.0
132.0;-957.0;567.0;332.0;63.0;829.0
212.0;-946.0;557.0;332.0;22.0;817.0
269.0;-855.0;560.0;258.0;69.0;859.0
225.0;-946.0;582.0;272.0;20.0;782.0
229.0;-931.0;553.0;313.0;18.0;801.0
216.0;-944.0;547.0;316.0;-1.0;813.0
212.0;-932.0;547.0;317.0;15.0;826.0
164.0;-881.0;519.0;341.0;23.0;914.0
151.0;-796.0;951.0;445.0;33.0;1101.0
204.0;-935.0;542.0;332.0;6.0;852.0
194.0;-962.0;541.0;342.0;20.0;821.0
193.0;-955.0;540.0;336.0;27.0;798.0
199.0;-952.0;540.0;316.0;22.0;825.0
197.0;-971.0;520.0;291.0;8.0;879.0
131.0;-973.0;549.0;409.0;-50.0;644.0
143.0;-983.0;475.0;266.0;-13.0;884.0
152.0;-954.0;596.0;233.0;-85.0;808.0
186.0;-981.0;491.0;444.0;-14.0;778.0
407.0;-995.0;368.0;453.0;-116.0;806.0
284.0;-935.0;440.0;377.0;-42.0;774.0
308.0;-840.0;193.0;-100.0;-358.0;-309.0
205.0;-944.0;515.0;311.0;-35.0;778.0
272.0;-955.0;449.0;356.0;22.0;717.0
135.0;-972.0;553.0;78.0;-146.0;855.0
163.0;-993.0;505.0;423.0;59.0;808.0
137.0;-1018.0;529.0;293.0;102.0;822.0
233.0;-929.0;451.0;344.0;10.0;756.0
222.0;-925.0;452.0;363.0;-31.0;785.0
229.0;-930.0;453.0;329.0;-45.0;809.0
265.0;-906.0;464.0;286.0;-33.0;804.0
270.0;-949.0;459.0;351.0;-3.0;772.0
290.0;-931.0;514.0;408.0;131.0;766.0
282.0;-935.0;440.0;398.0;-56.0;780.0
223.0;-878.0;562.0;335.0;-86.0;744.0
316.0;-916.0;516.0;434.0;97.0;705.0
427.0;-881.0;515.0;303.0;-78.0;683.0
316.0;-937.0;285.0;572.0;-78.0;918.0
411.0;-889.0;415.0;284.0;-157.0;658.0
186.0;-978.0;480.0;185.0;40.0;837.0
403.0;-900.0;437.0;465.0;-226.0;670.0
280.0;-933.0;436.0;395.0;-59.0;810.0
305.0;-954.0;482.0;264.0;-39.0;732.0
262.0;-929.0;522.0;46.0;-161.0;400.0
286.0;-934.0;485.0;330.0;-39.0;751.0
264.0;-951.0;488.0;326.0;-21.0;738.0
467.0;-808.0;453.0;516.0;-137.0;869.0
199.0;-974.0;523.0;334.0;22.0;820.0
273.0;-898.0;441.0;345.0;-24.0;682.0
212.0;-943.0;509.0;312.0;91.0;801.0
316.0;-947.0;569.0;479.0;-50.0;767.0
280.0;-932.0;437.0;397.0;-69.0;809.0
294.0;-913.0;654.0;361.0;-118.0;885.0
253.0;-900.0;602.0;307.0;22.0;1054.0
335.0;-929.0;404.0;425.0;-77.0;890.0
266.0;-953.0;401.0;398.0;-58.0;838.0
693.0;-603.0;139.0;198.0;-302.0;352.0
91.0;-848.0;519.0;445.0;-20.0;805.0
372.0;-860.0;275.0;277.0;-48.0;642.0
77.0;-912.0;453.0;451.0;-186.0;809.0
217.0;-928.0;528.0;432.0;-51.0;783.0
94.0;-848.0;511.0;502.0;117.0;689.0
308.0;-938.0;449.0;385.0;-90.0;769.0
125.0;-926.0;682.0;306.0;-100.0;1016.0
204.0;-1000.0;459.0;356.0;-24.0;795.0
181.0;-924.0;458.0;412.0;-90.0;809.0
216.0;-964.0;507.0;405.0;-78.0;895.0
210.0;-949.0;517.0;319.0;38.0;833.0
204.0;-943.0;512.0;269.0;-25.0;810.0
376.0;-919.0;410.0;345.0;-158.0;732.0
925.0;-36.0;-295.0;-422.0;-453.0;-357.0
201.0;-961.0;504.0;437.0;-28.0;767.0
274.0;-965.0;559.0;629.0;-29.0;771.0
365.0;-970.0;549.0;310.0;-52.0;825.0
188.0;-945.0;843.0;498.0;-98.0;900.0
214.0;-941.0;515.0;330.0;-28.0;820.0
275.0;-945.0;433.0;358.0;-55.0;809.0
172.0;-963.0;546.0;456.0;-79.0;865.0
304.0;-908.0;313.0;448.0;43.0;837.0
242.0;-939.0;435.0;162.0;35.0;961.0
119.0;-977.0;480.0;470.0;56.0;920.0
267.0;-978.0;249.0;403.0;-115.0;838.0
200.0;-963.0;622.0;295.0;-111.0;937.0
320.0;-1092.0;479.0;326.0;-177.0;828.0
97.0;-911.0;419.0;371.0;-231.0;667.0
178.0;-915.0;561.0;284.0;147.0;976.0
271.0;-941.0;508.0;335.0;127.0;705.0
355.0;-833.0;614.0;263.0;49.0;752.0
222.0;-883.0;502.0;333.0;55.0;733.0
144.0;-850.0;475.0;332.0;27.0;1042.0
185.0;-949.0;426.0;382.0;26.0;804.0
350.0;-947.0;603.0;587.0;-24.0;755.0
51.0;-963.0;489.0;282.0;118.0;884.0
345.0;-934.0;270.0;313.0;-80.0;735.0
148.0;-948.0;523.0;423.0;24.0;824.0
215.0;-1003.0;487.0;386.0;79.0;937.0
89.0;-966.0;564.0;292.0;-177.0;866.0
128.0;-985.0;394.0;441.0;-35.0;840.0
193.0;-952.0;424.0;436.0;-9.0;823.0
239.0;-882.0;328.0;408.0;77.0;900.0
150.0;-977.0;509.0;457.0;3.0;840.0
135.0;-980.0;424.0;390.0;66.0;732.0
278.0;-855.0;505.0;416.0;23.0;810.0
175.0;-993.0;535.0;285.0;-208.0;892.0
109.0;-920.0;371.0;107.0;-164.0;771.0
86.0;-904.0;493.0;604.0;203.0;609.0
223.0;-950.0;599.0;293.0;189.0;783.0
155.0;-982.0;481.0;472.0;7.0;793.0
158.0;-1036.0;381.0;260.0;-131.0;829.0
161.0;-1132.0;893.0;79.0;-195.0;783.0
213.0;-1169.0;1090.0;204.0;-352.0;751.0
235.0;-941.0;417.0;364.0;129.0;895.0
112.0;-1037.0;444.0;461.0;-23.0;866.0
117.0;-985.0;530.0;422.0;-28.0;922.0
316.0;-943.0;454.0;404.0;-227.0;752.0
98.0;-989.0;515.0;407.0;-50.0;905.0
195.0;-843.0;284.0;341.0;55.0;1023.0
150.0;-1051.0;479.0;531.0;-2.0;848.0
115.0;-985.0;519.0;463.0;-39.0;884.0
264.0;-959.0;537.0;603.0;27.0;951.0
198.0;-900.0;527.0;160.0;171.0;867.0
420.0;-854.0;960.0;151.0;-40.0;681.0
91.0;-977.0;834.0;354.0;57.0;914.0
365.0;-825.0;356.0;92.0;-18.0;627.0
400.0;-917.0;619.0;583.0;-49.0;633.0
115.0;-986.0;501.0;387.0;-64.0;864.0
815.0;-378.0;-80.0;-164.0;-285.0;-71.0
105.0;-984.0;461.0;380.0;18.0;896.0
238.0;-954.0;399.0;545.0;0.0;854.0
128.0;-988.0;400.0;419.0;-36.0;933.0
1.0;-989.0;419.0;424.0;73.0;929.0
248.0;-946.0;589.0;253.0;28.0;812.0
110.0;-902.0;241.0;599.0;271.0;762.0
114.0;-982.0;486.0;472.0;-40.0;914.0
207.0;-960.0;459.0;324.0;-88.0;881.0
196.0;-980.0;500.0;198.0;51.0;657.0
212.0;-969.0;197.0;398.0;111.0;1004.0
171.0;-963.0;599.0;160.0;32.0;902.0
37.0;-987.0;371.0;452.0;46.0;919.0
163.0;-977.0;387.0;388.0;-6.0;853.0
84.0;-981.0;510.0;428.0;27.0;876.0
324.0;-1285.0;677.0;242.0;-122.0;629.0
123.0;-952.0;509.0;412.0;54.0;858.0
369.0;-934.0;602.0;616.0;-39.0;670.0
131.0;-987.0;480.0;472.0;16.0;782.0
134.0;-969.0;487.0;370.0;95.0;790.0
233.0;-915.0;640.0;414.0;89.0;959.0
82.0;-976.0;455.0;320.0;-49.0;867.0
134.0;-960.0;180.0;344.0;138.0;815.0
84.0;-855.0;382.0;441.0;87.0;847.0
-18.0;-990.0;482.0;460.0;26.0;925.0
307.0;-752.0;438.0;254.0;-216.0;820.0
203.0;-969.0;506.0;377.0;101.0;757.0
276.0;-937.0;512.0;375.0;127.0;696.0
433.0;-834.0;499.0;197.0;-36.0;736.0
101.0;-983.0;512.0;365.0;-5.0;911.0
161.0;-979.0;490.0;495.0;24.0;772.0
116.0;-856.0;905.0;447.0;140.0;813.0
69.0;-990.0;511.0;434.0;-20.0;913.0
612.0;-602.0;596.0;-104.0;-128.0;348.0
72.0;-1026.0;398.0;405.0;48.0;780.0
180.0;-978.0;501.0;433.0;86.0;767.0
60.0;-982.0;400.0;463.0;23.0;877.0
185.0;-1031.0;1036.0;231.0;30.0;738.0
243.0;-1022.0;181.0;291.0;-111.0;804.0
156.0;-901.0;264.0;548.0;117.0;1150.0
83.0;-982.0;584.0;465.0;14.0;893.0
