Accelerometer LUA^ accZ;Accelerometer LUA_ accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LUA accY;InertialMeasurementUnit LUA accZ;Accelerometer LWR accY;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer LH accY;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;Accelerometer LH accX
1068.0;830.0;-689.0;-916.0;145.0;-1073.0;801;-905.0;1019.0;645.0;-663.0;81.0
989.0;888.0;-704.0;-857.0;-101.0;-1017.0;798;-870.0;1030.0;745.0;-605.0;305.0
871.0;863.0;-787.0;-791.0;-324.0;-989.0;794;-975.0;1031.0;851.0;-581.0;144.0
1051.0;876.0;-330.0;-1062.0;-30.0;-751.0;798;-932.0;1026.0;682.0;-723.0;292.0
718.0;920.0;-278.0;-1028.0;-85.0;-683.0;800;-779.0;1041.0;695.0;-699.0;465.0
995.0;906.0;-330.0;-1021.0;-40.0;-529.0;796;-640.0;1011.0;649.0;-720.0;496.0
?;917.0;-379.0;-1065.0;58.0;-431.0;797;-630.0;1004.0;585.0;-785.0;560.0
?;904.0;-371.0;-1083.0;148.0;-430.0;799;?;1051.0;520.0;-813.0;649.0
?;935.0;-384.0;-1098.0;283.0;-435.0;796;?;1016.0;376.0;-907.0;676.0
?;947.0;-387.0;?;367.0;-484.0;797;?;1042.0;242.0;-890.0;547.0
?;994.0;-413.0;?;409.0;-494.0;795;?;1035.0;182.0;-943.0;500.0
?;909.0;-398.0;?;374.0;-493.0;795;?;1020.0;169.0;-984.0;697.0
871.0;890.0;-379.0;?;300.0;-524.0;797;?;1031.0;194.0;-1008.0;742.0
782.0;858.0;-409.0;-1005.0;216.0;-564.0;791;?;1020.0;226.0;-1027.0;926.0
780.0;796.0;-429.0;-1002.0;148.0;-529.0;796;?;1022.0;263.0;-1018.0;744.0
875.0;735.0;-409.0;-926.0;72.0;-559.0;796;?;1018.0;255.0;-1069.0;685.0
855.0;703.0;-476.0;-900.0;-14.0;-553.0;?;?;1029.0;308.0;-1145.0;696.0
890.0;653.0;-568.0;-826.0;-80.0;-526.0;?;?;1033.0;277.0;-1137.0;507.0
861.0;656.0;-767.0;-756.0;-131.0;-562.0;?;-674.0;1027.0;316.0;-1045.0;460.0
843.0;709.0;-1093.0;-715.0;-191.0;-686.0;?;-709.0;1034.0;365.0;-961.0;287.0
857.0;774.0;-1112.0;-695.0;-217.0;-755.0;?;-597.0;1022.0;359.0;-867.0;86.0
813.0;790.0;-1121.0;-660.0;-238.0;?;?;-987.0;1027.0;387.0;-719.0;-419.0
812.0;824.0;-957.0;-700.0;-265.0;?;?;-1475.0;1018.0;497.0;-715.0;-45.0
800.0;830.0;-856.0;-851.0;-266.0;?;?;-1290.0;1019.0;628.0;-636.0;408.0
795.0;816.0;-737.0;-1186.0;-167.0;?;?;-1406.0;1036.0;931.0;-486.0;223.0
751.0;762.0;-672.0;-1407.0;-222.0;?;?;-1131.0;1034.0;1270.0;-501.0;104.0
817.0;690.0;-682.0;-1236.0;-357.0;?;798;-1029.0;1021.0;1225.0;-890.0;37.0
872.0;639.0;-756.0;-1210.0;-344.0;?;801;-973.0;1021.0;1277.0;-930.0;82.0
1044.0;642.0;-870.0;-1048.0;-286.0;?;800;-836.0;1021.0;1128.0;-944.0;-22.0
1197.0;760.0;-978.0;-1034.0;-118.0;?;798;-892.0;1012.0;965.0;-855.0;-50.0
1300.0;855.0;-971.0;-1049.0;77.0;?;793;-1034.0;1041.0;810.0;-754.0;-136.0
1200.0;923.0;-934.0;-940.0;62.0;?;798;-1104.0;1029.0;704.0;-730.0;68.0
1084.0;922.0;-828.0;-850.0;-89.0;?;802;-1174.0;1032.0;737.0;-590.0;173.0
981.0;947.0;-777.0;-814.0;-284.0;?;800;-1157.0;1044.0;845.0;-544.0;333.0
1037.0;644.0;-2.0;-940.0;161.0;?;803;90.0;1036.0;356.0;-712.0;71.0
726.0;697.0;-87.0;-852.0;278.0;93.0;785;238.0;1048.0;157.0;-647.0;17.0
972.0;762.0;-224.0;-764.0;356.0;183.0;798;619.0;1013.0;-24.0;-482.0;-32.0
874.0;677.0;246.0;-592.0;335.0;269.0;805;784.0;1028.0;-151.0;-414.0;11.0
795.0;886.0;567.0;-551.0;292.0;391.0;798;1066.0;1032.0;-226.0;-448.0;159.0
678.0;1005.0;962.0;-534.0;191.0;652.0;795;1616.0;1002.0;-281.0;-406.0;1122.0
595.0;970.0;1097.0;-638.0;69.0;968.0;804;2014.0;1041.0;-330.0;-341.0;1630.0
488.0;771.0;1489.0;-721.0;-156.0;1386.0;798;2099.0;1004.0;-412.0;-367.0;2102.0
494.0;838.0;1447.0;-853.0;-283.0;1562.0;796;2011.0;1041.0;-567.0;-649.0;1668.0
541.0;596.0;1384.0;-860.0;-295.0;1710.0;803;2261.0;1062.0;-823.0;-976.0;1696.0
630.0;546.0;1253.0;-751.0;-126.0;1770.0;793;2193.0;993.0;-1204.0;-1087.0;1738.0
940.0;507.0;1156.0;-789.0;52.0;1585.0;804;1612.0;1033.0;-1507.0;-1188.0;1668.0
998.0;579.0;1115.0;-711.0;14.0;1316.0;769;1227.0;1026.0;-1691.0;-1314.0;1580.0
863.0;554.0;1043.0;-479.0;87.0;971.0;749;1044.0;1038.0;-1824.0;-1287.0;1395.0
734.0;568.0;986.0;-604.0;367.0;932.0;809;1144.0;1036.0;-1627.0;-989.0;1061.0
694.0;548.0;929.0;-518.0;582.0;853.0;816;1275.0;1026.0;-1409.0;-1028.0;770.0
546.0;502.0;919.0;-406.0;571.0;812.0;791;1246.0;1042.0;-1098.0;-1076.0;718.0
389.0;469.0;973.0;-441.0;381.0;765.0;789;1135.0;1022.0;-991.0;-888.0;710.0
487.0;440.0;1081.0;?;203.0;748.0;794;1101.0;1038.0;-975.0;-779.0;669.0
306.0;371.0;1120.0;-377.0;100.0;791.0;805;1128.0;1032.0;-955.0;-701.0;602.0
210.0;322.0;1070.0;-352.0;41.0;893.0;802;1191.0;1049.0;-897.0;-612.0;523.0
344.0;303.0;1067.0;-338.0;40.0;1006.0;795;1187.0;1041.0;-871.0;-595.0;459.0
386.0;281.0;1019.0;-349.0;93.0;1025.0;797;1128.0;1020.0;-860.0;-659.0;398.0
397.0;321.0;982.0;-330.0;123.0;1025.0;793;1114.0;1024.0;-939.0;-610.0;346.0
386.0;308.0;997.0;-260.0;182.0;1001.0;797;1135.0;1039.0;-1062.0;-534.0;282.0
358.0;303.0;967.0;-170.0;229.0;965.0;805;1112.0;1018.0;-1099.0;-441.0;225.0
286.0;314.0;956.0;-139.0;?;962.0;792;1143.0;1038.0;-1073.0;-340.0;200.0
304.0;339.0;?;-107.0;?;948.0;789;1112.0;1034.0;-1054.0;-281.0;195.0
232.0;367.0;?;-54.0;?;935.0;798;1044.0;1035.0;-1042.0;-249.0;185.0
164.0;383.0;?;-50.0;?;908.0;784;983.0;1038.0;-1038.0;-250.0;128.0
192.0;370.0;?;-50.0;?;848.0;787;936.0;1050.0;-1035.0;-254.0;100.0
142.0;385.0;?;?;?;814.0;784;942.0;1037.0;-1029.0;-240.0;96.0
147.0;405.0;?;?;?;820.0;765;936.0;1036.0;-995.0;-222.0;145.0
134.0;426.0;?;?;?;829.0;785;940.0;979.0;-954.0;-211.0;187.0
168.0;454.0;?;?;179.0;813.0;791;945.0;1049.0;-939.0;-230.0;231.0
150.0;450.0;?;?;180.0;816.0;783;942.0;989.0;-930.0;-248.0;268.0
161.0;413.0;?;?;181.0;797.0;785;1017.0;1130.0;-916.0;-241.0;306.0
230.0;397.0;?;?;190.0;855.0;780;1080.0;786.0;-925.0;?;358.0
225.0;417.0;990.0;?;191.0;896.0;785;1101.0;1337.0;-936.0;?;420.0
245.0;395.0;1001.0;?;185.0;899.0;795;1093.0;1054.0;-923.0;?;469.0
276.0;381.0;1019.0;?;162.0;908.0;799;1099.0;1102.0;-956.0;?;503.0
285.0;383.0;1007.0;?;162.0;921.0;794;1078.0;977.0;-982.0;?;553.0
271.0;372.0;1011.0;-158.0;188.0;914.0;786;1069.0;961.0;-985.0;?;560.0
267.0;388.0;1005.0;-194.0;226.0;891.0;790;1050.0;945.0;-976.0;?;520.0
271.0;378.0;980.0;-225.0;230.0;871.0;799;1051.0;884.0;-996.0;?;508.0
225.0;388.0;963.0;-161.0;228.0;879.0;800;1016.0;940.0;-988.0;?;489.0
226.0;344.0;914.0;-130.0;207.0;854.0;795;1005.0;926.0;-973.0;?;454.0
245.0;315.0;?;-139.0;185.0;847.0;795;1000.0;920.0;-961.0;?;453.0
215.0;326.0;?;-150.0;172.0;842.0;800;995.0;1076.0;-962.0;?;514.0
198.0;415.0;?;-158.0;168.0;793.0;798;901.0;940.0;-957.0;?;444.0
221.0;228.0;?;-187.0;170.0;787.0;801;803.0;1027.0;-936.0;?;385.0
215.0;524.0;?;-203.0;164.0;747.0;801;775.0;1065.0;-927.0;?;264.0
222.0;414.0;?;-245.0;180.0;626.0;783;548.0;1006.0;-894.0;-315.0;356.0
215.0;422.0;?;-283.0;186.0;585.0;805;1186.0;982.0;-850.0;-361.0;236.0
232.0;272.0;?;-135.0;118.0;1184.0;818;1538.0;1021.0;-853.0;-393.0;395.0
244.0;359.0;?;-157.0;136.0;1289.0;783;1135.0;995.0;-779.0;-337.0;434.0
256.0;404.0;?;-131.0;161.0;947.0;786;770.0;963.0;-586.0;-304.0;532.0
223.0;473.0;?;-347.0;-47.0;779.0;803;824.0;967.0;-1006.0;-251.0;669.0
245.0;539.0;?;-201.0;139.0;827.0;795;1007.0;936.0;-1507.0;-410.0;496.0
194.0;459.0;940.0;-156.0;363.0;810.0;797;1261.0;948.0;-1162.0;-312.0;269.0
226.0;424.0;906.0;-372.0;475.0;900.0;800;1258.0;970.0;-798.0;-255.0;92.0
493.0;430.0;908.0;-492.0;429.0;868.0;799;1116.0;987.0;-842.0;-338.0;183.0
337.0;440.0;945.0;-185.0;155.0;820.0;801;1016.0;993.0;-913.0;-620.0;355.0
292.0;422.0;958.0;-157.0;27.0;821.0;793;978.0;998.0;-974.0;-524.0;349.0
309.0;387.0;952.0;-287.0;19.0;839.0;799;1010.0;970.0;-1047.0;-269.0;260.0
281.0;?;929.0;-241.0;99.0;868.0;804;1057.0;1003.0;-959.0;-297.0;263.0
206.0;?;893.0;-248.0;152.0;877.0;794;1029.0;882.0;-927.0;-387.0;317.0
363.0;?;917.0;-233.0;164.0;863.0;797;1010.0;?;-936.0;-415.0;336.0
403.0;?;942.0;-175.0;143.0;834.0;797;953.0;?;-971.0;-371.0;350.0
274.0;?;943.0;-156.0;137.0;833.0;796;958.0;?;-980.0;-303.0;331.0
273.0;?;952.0;-185.0;138.0;841.0;805;1016.0;?;-964.0;-299.0;333.0
275.0;417.0;964.0;-218.0;153.0;855.0;805;980.0;?;-941.0;-330.0;375.0
276.0;418.0;1006.0;-226.0;131.0;851.0;803;951.0;?;-917.0;-353.0;426.0
273.0;413.0;1023.0;-228.0;109.0;858.0;807;990.0;?;-926.0;-362.0;445.0
294.0;396.0;950.0;-241.0;98.0;875.0;799;1050.0;?;-944.0;-358.0;455.0
294.0;400.0;930.0;-238.0;99.0;911.0;791;1028.0;?;-943.0;-363.0;463.0
266.0;413.0;933.0;-238.0;103.0;875.0;797;943.0;968.0;-935.0;-374.0;487.0
290.0;411.0;918.0;-236.0;109.0;839.0;796;972.0;1039.0;-953.0;-382.0;487.0
308.0;383.0;956.0;-227.0;113.0;840.0;790;981.0;1141.0;-997.0;-376.0;443.0
325.0;359.0;936.0;-237.0;141.0;831.0;789;993.0;938.0;-996.0;-392.0;422.0
312.0;366.0;935.0;-260.0;157.0;830.0;793;996.0;1018.0;-929.0;-411.0;433.0
322.0;367.0;917.0;-268.0;152.0;839.0;799;958.0;982.0;-914.0;-413.0;412.0
329.0;378.0;926.0;-229.0;134.0;823.0;795;1005.0;1000.0;-915.0;-424.0;388.0
301.0;370.0;948.0;-197.0;126.0;848.0;797;955.0;987.0;-908.0;-405.0;358.0
286.0;378.0;977.0;-211.0;134.0;828.0;800;983.0;1000.0;-918.0;-376.0;303.0
267.0;361.0;990.0;-185.0;153.0;845.0;793;1016.0;1020.0;-911.0;-367.0;292.0
254.0;349.0;1000.0;-180.0;159.0;869.0;800;1056.0;1011.0;-917.0;-347.0;292.0
244.0;339.0;1000.0;-178.0;163.0;906.0;797;1059.0;1033.0;-914.0;-336.0;294.0
253.0;345.0;986.0;-175.0;156.0;920.0;794;1018.0;1037.0;-919.0;-330.0;326.0
244.0;380.0;958.0;-178.0;129.0;915.0;797;995.0;1009.0;-960.0;-323.0;325.0
241.0;365.0;948.0;-157.0;122.0;892.0;797;994.0;1030.0;-995.0;-326.0;309.0
220.0;376.0;926.0;-142.0;153.0;876.0;799;986.0;1088.0;-1004.0;-300.0;293.0
227.0;409.0;927.0;-152.0;198.0;880.0;792;1007.0;1098.0;-991.0;-286.0;297.0
220.0;412.0;932.0;-180.0;220.0;853.0;792;1012.0;1038.0;-975.0;-297.0;274.0
235.0;410.0;936.0;-178.0;219.0;849.0;801;1007.0;1031.0;-961.0;-310.0;305.0
243.0;391.0;948.0;-173.0;181.0;831.0;802;1022.0;995.0;-961.0;-310.0;333.0
248.0;376.0;960.0;-176.0;146.0;858.0;804;989.0;989.0;-964.0;-312.0;360.0
221.0;379.0;979.0;-188.0;128.0;868.0;804;1008.0;1007.0;-953.0;-313.0;392.0
232.0;386.0;956.0;-185.0;133.0;868.0;796;1009.0;971.0;-949.0;-331.0;387.0
249.0;381.0;949.0;-207.0;141.0;879.0;802;1005.0;957.0;-959.0;-355.0;398.0
233.0;395.0;883.0;-194.0;145.0;870.0;804;988.0;958.0;-953.0;-360.0;407.0
252.0;337.0;779.0;-189.0;156.0;871.0;806;940.0;886.0;-950.0;-355.0;418.0
265.0;349.0;658.0;-187.0;154.0;812.0;802;895.0;941.0;-952.0;-364.0;417.0
254.0;561.0;1385.0;-177.0;156.0;792.0;798;674.0;982.0;-949.0;-369.0;416.0
256.0;404.0;1150.0;-191.0;165.0;499.0;819;984.0;1003.0;-948.0;-361.0;304.0
262.0;334.0;877.0;-189.0;169.0;1048.0;808;1524.0;1024.0;-920.0;-357.0;248.0
245.0;364.0;790.0;-199.0;165.0;1271.0;787;930.0;1039.0;-872.0;-346.0;391.0
252.0;368.0;898.0;-186.0;179.0;759.0;786;741.0;996.0;-710.0;-365.0;505.0
226.0;433.0;1042.0;-284.0;34.0;737.0;780;773.0;987.0;-722.0;-280.0;611.0
234.0;441.0;1067.0;-400.0;96.0;760.0;789;1064.0;1002.0;-1475.0;-372.0;470.0
239.0;400.0;896.0;-198.0;288.0;932.0;804;1359.0;1000.0;-1111.0;-457.0;255.0
165.0;447.0;810.0;-348.0;457.0;1034.0;807;1262.0;996.0;-723.0;-376.0;201.0
468.0;475.0;836.0;-366.0;459.0;904.0;800;1011.0;985.0;-757.0;-376.0;365.0
408.0;471.0;879.0;-89.0;237.0;772.0;794;934.0;976.0;-905.0;-471.0;281.0
154.0;425.0;911.0;-159.0;194.0;775.0;799;972.0;993.0;-1098.0;-370.0;148.0
249.0;391.0;922.0;-231.0;231.0;776.0;799;1033.0;961.0;-1068.0;-283.0;156.0
189.0;404.0;924.0;-259.0;248.0;813.0;796;1026.0;939.0;-905.0;-341.0;259.0
158.0;409.0;924.0;-278.0;200.0;848.0;799;986.0;962.0;-862.0;-403.0;282.0
281.0;398.0;905.0;-270.0;156.0;858.0;803;962.0;951.0;-898.0;-388.0;321.0
294.0;398.0;907.0;-267.0;166.0;856.0;796;1005.0;951.0;-934.0;-359.0;301.0
267.0;421.0;935.0;-266.0;186.0;842.0;793;974.0;995.0;-948.0;-331.0;353.0
298.0;419.0;929.0;-257.0;220.0;867.0;804;992.0;558.0;-943.0;-334.0;378.0
305.0;407.0;926.0;-210.0;222.0;839.0;800;996.0;1366.0;-941.0;-342.0;383.0
305.0;452.0;934.0;-181.0;201.0;848.0;799;993.0;1511.0;-935.0;-335.0;387.0
301.0;428.0;968.0;-206.0;194.0;853.0;799;985.0;731.0;-937.0;-319.0;396.0
249.0;425.0;962.0;-216.0;190.0;848.0;795;989.0;1361.0;-936.0;-345.0;388.0
228.0;413.0;894.0;-235.0;173.0;848.0;801;1004.0;739.0;-938.0;-364.0;382.0
256.0;423.0;867.0;-253.0;171.0;868.0;798;954.0;1242.0;-936.0;-371.0;395.0
275.0;428.0;908.0;-267.0;154.0;821.0;798;915.0;929.0;-933.0;-372.0;418.0
269.0;420.0;920.0;-283.0;136.0;811.0;800;943.0;1043.0;-949.0;-378.0;438.0
?;411.0;923.0;-298.0;?;791.0;794;958.0;1002.0;-962.0;-379.0;430.0
?;386.0;958.0;-306.0;?;808.0;795;950.0;998.0;-935.0;-405.0;427.0
?;336.0;978.0;-296.0;?;820.0;797;958.0;964.0;-878.0;-413.0;438.0
?;337.0;999.0;-293.0;?;825.0;795;998.0;1030.0;-886.0;-401.0;439.0
347.0;379.0;1010.0;-259.0;?;847.0;796;1014.0;1031.0;-899.0;-407.0;477.0
326.0;349.0;1018.0;-246.0;?;867.0;794;1011.0;1021.0;-902.0;-399.0;426.0
326.0;358.0;999.0;-230.0;?;908.0;786;1058.0;1008.0;-911.0;-405.0;362.0
328.0;353.0;1012.0;-182.0;?;922.0;788;1035.0;999.0;-914.0;-390.0;351.0
318.0;379.0;1001.0;-152.0;?;906.0;793;1043.0;1062.0;-934.0;-359.0;341.0
276.0;368.0;961.0;-170.0;?;932.0;793;1048.0;1035.0;-967.0;-337.0;316.0
241.0;361.0;971.0;-196.0;?;911.0;796;1030.0;1056.0;-1000.0;-348.0;324.0
243.0;354.0;975.0;-192.0;?;903.0;801;1040.0;1026.0;-996.0;-353.0;313.0
224.0;342.0;978.0;-190.0;174.0;905.0;796;1048.0;1051.0;-992.0;-325.0;308.0
240.0;319.0;992.0;-180.0;172.0;905.0;793;1057.0;1065.0;-1004.0;-315.0;285.0
262.0;339.0;976.0;-179.0;171.0;896.0;795;1038.0;1058.0;-994.0;-323.0;284.0
260.0;349.0;934.0;-162.0;170.0;904.0;792;1035.0;1014.0;-984.0;-328.0;258.0
251.0;376.0;954.0;-136.0;166.0;885.0;798;1012.0;1017.0;-991.0;-310.0;260.0
238.0;372.0;962.0;-113.0;178.0;884.0;803;995.0;1029.0;-989.0;-290.0;255.0
198.0;351.0;978.0;-115.0;187.0;876.0;796;1006.0;995.0;-986.0;-277.0;252.0
203.0;349.0;972.0;-131.0;192.0;875.0;800;999.0;973.0;-996.0;-283.0;302.0
174.0;330.0;962.0;-143.0;190.0;886.0;805;1033.0;972.0;-978.0;-285.0;343.0
184.0;332.0;930.0;-169.0;178.0;910.0;799;1030.0;982.0;-959.0;-281.0;361.0
206.0;311.0;885.0;-188.0;171.0;892.0;800;1006.0;1010.0;-963.0;-295.0;401.0
226.0;326.0;741.0;-154.0;163.0;874.0;803;987.0;992.0;-970.0;-315.0;375.0
222.0;442.0;1006.0;-123.0;167.0;813.0;803;801.0;1010.0;-983.0;-309.0;374.0
227.0;400.0;1244.0;-98.0;197.0;689.0;798;?;986.0;-976.0;-307.0;348.0
215.0;405.0;854.0;?;211.0;759.0;798;?;994.0;-957.0;-306.0;217.0
200.0;410.0;864.0;?;210.0;1184.0;809;?;982.0;-911.0;-307.0;310.0
163.0;407.0;860.0;?;202.0;879.0;789;?;968.0;-847.0;-316.0;408.0
161.0;396.0;880.0;?;162.0;754.0;775;?;980.0;-688.0;-327.0;531.0
160.0;461.0;981.0;?;125.0;773.0;766;?;993.0;-1274.0;-268.0;543.0
203.0;374.0;1037.0;?;264.0;797.0;769;?;983.0;-1123.0;-385.0;376.0
136.0;408.0;932.0;-358.0;403.0;868.0;811;?;987.0;-799.0;-336.0;296.0
331.0;394.0;881.0;-518.0;467.0;989.0;803;?;986.0;-829.0;-394.0;373.0
432.0;411.0;866.0;-189.0;339.0;888.0;787;?;972.0;-852.0;-550.0;342.0
250.0;410.0;902.0;-161.0;261.0;799.0;798;?;964.0;-894.0;-443.0;230.0
324.0;388.0;933.0;-296.0;260.0;?;794;996.0;952.0;-1030.0;-296.0;169.0
208.0;378.0;932.0;-186.0;289.0;?;799;1054.0;1009.0;-1046.0;-331.0;154.0
119.0;368.0;913.0;-196.0;311.0;?;799;1013.0;978.0;-923.0;-364.0;225.0
255.0;371.0;912.0;-207.0;278.0;?;799;981.0;913.0;-893.0;-341.0;250.0
260.0;376.0;919.0;-171.0;223.0;?;802;961.0;920.0;-918.0;-306.0;275.0
168.0;355.0;931.0;-167.0;215.0;838.0;799;964.0;928.0;-972.0;-283.0;256.0
197.0;383.0;942.0;-195.0;236.0;849.0;799;988.0;944.0;-981.0;-284.0;277.0
?;400.0;961.0;-203.0;267.0;832.0;799;1000.0;628.0;-963.0;-293.0;307.0
?;417.0;946.0;-179.0;275.0;846.0;793;1013.0;1872.0;-941.0;-302.0;336.0
?;398.0;931.0;-166.0;253.0;868.0;797;1010.0;1108.0;-936.0;-291.0;334.0
211.0;401.0;927.0;-183.0;227.0;877.0;802;993.0;789.0;-934.0;-290.0;335.0
193.0;433.0;938.0;-192.0;212.0;865.0;799;969.0;1341.0;-935.0;-311.0;363.0
207.0;446.0;958.0;-204.0;200.0;849.0;799;983.0;799.0;-949.0;-331.0;397.0
224.0;425.0;955.0;-203.0;205.0;860.0;805;1004.0;1138.0;-960.0;-333.0;381.0
215.0;390.0;936.0;-221.0;209.0;873.0;812;1016.0;997.0;-946.0;-338.0;379.0
240.0;397.0;923.0;-247.0;209.0;882.0;810;985.0;1022.0;-925.0;-350.0;399.0
265.0;417.0;962.0;-265.0;186.0;836.0;797;968.0;1014.0;-939.0;-369.0;412.0
255.0;417.0;951.0;-262.0;160.0;826.0;800;982.0;925.0;-960.0;-386.0;452.0
285.0;414.0;943.0;-264.0;150.0;845.0;807;995.0;1002.0;-986.0;-391.0;450.0
289.0;384.0;944.0;-258.0;159.0;828.0;809;986.0;999.0;-946.0;-391.0;423.0
319.0;362.0;952.0;-268.0;172.0;844.0;811;1001.0;1016.0;-912.0;-396.0;437.0
316.0;352.0;956.0;-254.0;166.0;842.0;786;1004.0;1011.0;-921.0;-411.0;465.0
327.0;369.0;993.0;-228.0;152.0;851.0;782;985.0;996.0;-931.0;-403.0;458.0
303.0;330.0;993.0;-227.0;149.0;883.0;798;987.0;1019.0;-927.0;-388.0;432.0
278.0;324.0;995.0;-220.0;148.0;895.0;797;1028.0;977.0;-933.0;-402.0;398.0
297.0;329.0;998.0;-194.0;159.0;905.0;797;1039.0;1026.0;-929.0;-403.0;376.0
272.0;336.0;1007.0;-192.0;179.0;913.0;791;1047.0;1085.0;-931.0;-369.0;353.0
280.0;329.0;1001.0;-194.0;182.0;906.0;799;1039.0;1056.0;-947.0;-371.0;350.0
258.0;?;1013.0;-193.0;173.0;927.0;809;1079.0;1017.0;-976.0;-360.0;318.0
240.0;?;1006.0;-177.0;180.0;917.0;796;1056.0;983.0;-983.0;-346.0;273.0
231.0;?;989.0;-166.0;191.0;922.0;789;1073.0;1037.0;-977.0;-329.0;272.0
220.0;?;991.0;-153.0;186.0;943.0;796;1053.0;1059.0;-990.0;-317.0;273.0
254.0;?;971.0;-99.0;183.0;944.0;805;1042.0;1038.0;-1014.0;-299.0;268.0
193.0;?;959.0;-79.0;196.0;924.0;805;1011.0;973.0;-1002.0;-269.0;240.0
