InertialMeasurementUnit L-SHOE EuX;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer BACK accZ;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX
99;926.0;-21;-2;729;-21;-480.0;44;-44
99;942.0;4;0;733;4;-479.0;23;-23
99;951.0;4;5;732;4;-446.0;-8;8
99;939.0;-20;-2;728;-20;-432.0;-13;13
99;940.0;-2;0;?;-2;-438.0;11;-11
99;914.0;-8;3;?;-8;-431.0;33;-33
99;929.0;0;3;?;0;-445.0;0;0
99;905.0;6;0;?;6;-470.0;-27;27
99;922.0;-11;1;?;-11;-452.0;-10;10
99;919.0;0;2;?;0;-449.0;?;3
99;920.0;14;-11;?;14;-465.0;?;26
99;900.0;48;0;?;48;-476.0;?;47
99;920.0;29;10;?;29;-441.0;?;-5
99;928.0;-6;3;?;-6;-473.0;?;-37
99;936.0;-2;3;?;-2;-463.0;?;-3
99;937.0;-29;?;?;-29;-469.0;?;-16
99;917.0;-28;?;?;-28;-450.0;?;-15
99;920.0;-3;?;?;-3;-480.0;?;16
99;921.0;2;?;?;2;-457.0;1;-1
99;898.0;15;?;728;15;?;3;-3
99;925.0;19;?;729;19;-467.0;10;-10
99;943.0;10;?;729;10;-462.0;18;-18
99;955.0;3;?;731;3;-490.0;-31;31
99;941.0;-10;?;731;-10;-474.0;2;-2
99;955.0;-5;?;732;-5;-463.0;19;-19
99;948.0;-2;?;733;-2;-464.0;-34;34
99;943.0;-10;0;729;-10;-478.0;16;-16
99;923.0;-1;-2;727;-1;-519.0;58;-58
99;959.0;-7;3;728;-7;-474.0;17;-17
99;951.0;-4;-2;725;-4;-494.0;-1;1
99;954.0;24;2;730;24;-492.0;-7;7
99;966.0;28;6;735;28;-489.0;5;-5
99;955.0;8;-1;731;8;-500.0;26;-26
99;938.0;-9;1;729;-9;-499.0;?;8
99;946.0;-7;4;731;-7;-478.0;-15;15
99;950.0;15;2;732;15;-482.0;18;-18
99;933.0;18;2;733;18;-473.0;0;0
99;916.0;9;1;727;9;-464.0;-41;41
99;966.0;10;1;728;10;-495.0;-32;32
99;942.0;10;2;735;10;-438.0;-14;14
99;935.0;11;0;731;11;-469.0;-7;7
99;945.0;8;2;730;8;-513.0;27;-27
99;960.0;13;2;734;13;-440.0;-34;34
99;951.0;6;-1;730;6;-410.0;-64;64
99;961.0;-10;0;732;-10;-463.0;-4;4
99;914.0;6;0;734;6;-439.0;-53;53
99;916.0;14;0;731;14;?;-49;49
99;926.0;3;-2;727;3;?;2;-2
99;956.0;-1;2;728;-1;?;-9;9
99;924.0;1;?;732;1;?;2;-2
99;933.0;20;?;736;20;?;27;-27
99;953.0;10;?;735;10;-513.0;9;-9
99;935.0;-39;?;726;-39;-446.0;-62;62
99;951.0;-16;?;727;-16;-444.0;-54;54
99;932.0;13;?;731;13;-452.0;-16;16
99;908.0;-2;?;724;-2;-468.0;-26;26
99;962.0;-10;?;727;-10;-463.0;-43;43
99;916.0;-45;?;734;-45;-461.0;-73;73
99;952.0;-39;?;726;-39;-456.0;-44;44
99;961.0;-1;?;724;-1;-464.0;-18;18
99;926.0;12;5;730;12;-462.0;-40;40
99;881.0;-6;3;724;-6;-485.0;-31;31
99;944.0;-30;0;725;-30;-491.0;-33;33
99;984.0;7;5;735;7;-480.0;-40;40
99;985.0;31;5;729;31;-440.0;-1;1
99;926.0;3;4;729;3;-451.0;28;-28
99;925.0;-15;4;732;-15;-451.0;40;-40
99;909.0;-32;0;725;-32;-458.0;34;-34
99;942.0;-14;3;733;-14;-452.0;17;-17
99;933.0;38;8;732;38;-453.0;22;-22
99;958.0;14;4;726;14;-427.0;-13;13
99;963.0;-17;1;739;-17;-475.0;-7;7
99;971.0;9;0;741;9;-457.0;34;-34
99;938.0;9;-3;726;9;-432.0;14;-14
99;912.0;8;-2;723;8;-420.0;6;-6
99;928.0;17;-3;725;17;-435.0;12;-12
99;955.0;-16;-1;724;-16;-425.0;28;-28
99;925.0;-33;2;728;-33;-418.0;11;-11
99;938.0;-30;5;735;-30;-448.0;-15;15
99;958.0;-7;6;735;-7;-460.0;19;-19
99;918.0;29;1;730;29;-431.0;37;-37
99;948.0;1;-3;729;1;-463.0;29;-29
99;956.0;-7;-1;728;-7;-440.0;15;-15
99;953.0;17;2;728;17;-428.0;-19;19
99;935.0;6;6;732;6;-481.0;-16;16
99;934.0;10;5;732;10;-431.0;18;-18
99;928.0;3;0;734;3;-429.0;19;-19
