Accelerometer LUA^ accY;InertialMeasurementUnit BACK accY;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit BACK magneticY;Accelerometer LUA^ accX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit LUA magneticX;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit RUA magneticZ;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticZ;InertialMeasurementUnit LUA accX;Accelerometer BACK accX
270.0;?;517.0;-413.0;?;-178;520.0;?;121.0;12.0;378.0;-545.0;47.0
265.0;?;465.0;-419.0;?;-178;566.0;187.0;178.0;10.0;392.0;-509.0;-67.0
267.0;?;403.0;-415.0;?;-178;609.0;226.0;228.0;10.0;399.0;-473.0;11.0
289.0;?;344.0;-414.0;?;-178;644.0;250.0;269.0;5.0;403.0;-421.0;37.0
271.0;?;282.0;-411.0;?;-178;675.0;261.0;290.0;-10.0;403.0;-331.0;113.0
232.0;?;239.0;-410.0;?;-178;691.0;259.0;297.0;-2.0;402.0;-161.0;28.0
249.0;?;212.0;-412.0;?;-178;701.0;255.0;292.0;8.0;409.0;-294.0;51.0
215.0;-255.0;192.0;?;?;-178;707.0;245.0;284.0;20.0;403.0;-204.0;45.0
135.0;-199.0;182.0;?;?;-178;709.0;241.0;274.0;10.0;393.0;-227.0;62.0
134.0;-191.0;185.0;?;?;-178;703.0;234.0;264.0;9.0;391.0;-301.0;38.0
163.0;-187.0;195.0;?;?;-178;703.0;239.0;263.0;3.0;397.0;-319.0;48.0
66.0;-193.0;204.0;?;352.0;-178;708.0;243.0;269.0;32.0;400.0;-321.0;53.0
147.0;-187.0;221.0;?;386.0;-178;707.0;243.0;266.0;14.0;405.0;-321.0;59.0
157.0;-166.0;237.0;?;489.0;-178;704.0;241.0;260.0;12.0;414.0;-328.0;92.0
140.0;-175.0;416.0;?;237.0;-178;-191.0;-555.0;-522.0;-13.0;-122.0;-317.0;144.0
46.0;?;419.0;?;364.0;-178;-174.0;-555.0;-526.0;-17.0;-110.0;-401.0;208.0
135.0;?;425.0;?;507.0;-178;-146.0;-554.0;-533.0;-43.0;-95.0;-481.0;238.0
141.0;?;429.0;?;471.0;-179;-101.0;-553.0;-540.0;-12.0;-82.0;-508.0;138.0
149.0;?;423.0;?;527.0;-178;-40.0;-553.0;-533.0;0.0;-59.0;-572.0;144.0
184.0;?;408.0;?;567.0;-178;22.0;-557.0;-515.0;0.0;-30.0;-708.0;139.0
235.0;-142.0;377.0;?;553.0;-178;108.0;-570.0;-496.0;20.0;15.0;-806.0;167.0
257.0;-204.0;327.0;?;552.0;-178;200.0;-591.0;-480.0;7.0;72.0;-856.0;136.0
354.0;-179.0;255.0;-434.0;532.0;-179;305.0;-620.0;-474.0;2.0;159.0;-826.0;73.0
520.0;-194.0;174.0;-436.0;470.0;-179;386.0;-650.0;-467.0;10.0;257.0;-736.0;89.0
618.0;-190.0;99.0;-438.0;395.0;-178;445.0;-678.0;-467.0;8.0;344.0;-794.0;142.0
798.0;-158.0;48.0;-439.0;293.0;-181;504.0;-708.0;-473.0;-29.0;425.0;-929.0;78.0
725.0;-143.0;22.0;-443.0;194.0;-175;549.0;-733.0;-480.0;-42.0;492.0;-907.0;77.0
524.0;-200.0;-12.0;-450.0;357.0;-183;?;-761.0;-487.0;-1.0;544.0;-1039.0;106.0
749.0;-153.0;-51.0;-451.0;361.0;-176;?;-788.0;-487.0;22.0;551.0;-1015.0;81.0
878.0;-125.0;-77.0;-457.0;488.0;-176;?;-809.0;-482.0;29.0;546.0;-1040.0;93.0
905.0;-172.0;-113.0;-457.0;249.0;-190;?;-838.0;-466.0;7.0;537.0;-1052.0;163.0
929.0;-142.0;-148.0;-458.0;331.0;-156;?;-860.0;-455.0;40.0;538.0;-998.0;141.0
847.0;-124.0;-173.0;-464.0;705.0;-218;?;-886.0;-445.0;45.0;528.0;-975.0;111.0
885.0;-142.0;-180.0;-465.0;786.0;-104;?;-909.0;-439.0;29.0;537.0;-938.0;81.0
969.0;-156.0;-181.0;-471.0;640.0;192;?;-929.0;-440.0;40.0;559.0;-891.0;63.0
1013.0;-101.0;-166.0;-470.0;448.0;188;?;-946.0;-443.0;20.0;573.0;-861.0;61.0
999.0;-75.0;-144.0;-471.0;375.0;152;?;-953.0;-451.0;31.0;587.0;-848.0;82.0
948.0;-69.0;-126.0;-472.0;275.0;204;?;-951.0;-456.0;51.0;597.0;-928.0;64.0
911.0;-64.0;-114.0;-473.0;245.0;148;?;-947.0;-465.0;58.0;605.0;-1031.0;33.0
908.0;-67.0;-111.0;-471.0;228.0;208;627.0;-943.0;-469.0;63.0;612.0;-1054.0;0.0
912.0;-57.0;-115.0;-472.0;242.0;162;621.0;?;-475.0;64.0;613.0;-1019.0;-17.0
1010.0;-30.0;-122.0;?;282.0;-144;614.0;?;-476.0;45.0;619.0;-988.0;-26.0
1043.0;-11.0;-135.0;?;365.0;-209;599.0;?;-477.0;59.0;624.0;-977.0;-30.0
1021.0;10.0;-143.0;?;412.0;-157;594.0;?;?;105.0;633.0;-979.0;-28.0
954.0;17.0;-146.0;?;429.0;-192;592.0;?;?;143.0;643.0;-989.0;-38.0
933.0;18.0;-142.0;?;399.0;-173;582.0;-875.0;?;179.0;653.0;-1005.0;-20.0
960.0;21.0;-135.0;?;?;-180;575.0;-869.0;?;283.0;658.0;-995.0;20.0
948.0;19.0;-119.0;?;?;-181;564.0;-868.0;?;355.0;660.0;-982.0;61.0
962.0;15.0;-103.0;?;305.0;-177;556.0;-869.0;-496.0;474.0;662.0;-992.0;88.0
957.0;-13.0;-88.0;?;301.0;-182;552.0;-870.0;-500.0;446.0;663.0;-995.0;95.0
923.0;-37.0;-74.0;?;321.0;-179;549.0;-874.0;-501.0;581.0;661.0;-988.0;48.0
937.0;-79.0;-63.0;?;306.0;-180;547.0;-878.0;-506.0;53.0;?;-994.0;11.0
931.0;-92.0;-52.0;?;313.0;-180;552.0;-883.0;-509.0;-32.0;?;-994.0;55.0
911.0;-61.0;-39.0;?;323.0;-179;554.0;-884.0;-512.0;-151.0;?;-960.0;68.0
919.0;0.0;-30.0;?;333.0;-179;554.0;-887.0;-511.0;3.0;?;-971.0;63.0
901.0;-32.0;-27.0;?;334.0;-179;554.0;-889.0;-508.0;59.0;?;-977.0;47.0
898.0;-65.0;-19.0;?;343.0;-179;558.0;-891.0;-505.0;172.0;?;-971.0;27.0
900.0;-58.0;-20.0;?;340.0;-179;563.0;-892.0;-500.0;217.0;?;-972.0;44.0
951.0;-50.0;-19.0;?;329.0;-179;568.0;-895.0;-497.0;312.0;?;-987.0;42.0
937.0;-32.0;-12.0;?;340.0;-179;574.0;-896.0;-499.0;335.0;615.0;-975.0;29.0
915.0;-26.0;-15.0;?;331.0;-179;580.0;-897.0;-496.0;286.0;609.0;-966.0;20.0
942.0;-28.0;-18.0;?;332.0;-179;585.0;-898.0;-494.0;142.0;602.0;-971.0;19.0
982.0;-26.0;-21.0;?;338.0;-179;589.0;-899.0;-491.0;310.0;597.0;-972.0;49.0
952.0;-27.0;-22.0;?;345.0;?;596.0;-899.0;-487.0;374.0;597.0;-963.0;69.0
934.0;-31.0;-26.0;?;381.0;?;600.0;-899.0;-486.0;232.0;596.0;-945.0;89.0
956.0;-38.0;-20.0;?;353.0;?;602.0;-900.0;-489.0;285.0;598.0;-936.0;126.0
958.0;-59.0;-13.0;-466.0;323.0;?;603.0;-898.0;-493.0;277.0;599.0;-905.0;100.0
960.0;?;-4.0;-464.0;333.0;?;601.0;-900.0;-497.0;278.0;601.0;-880.0;56.0
940.0;?;16.0;-470.0;305.0;-177;600.0;-901.0;-507.0;228.0;604.0;-841.0;224.0
920.0;?;27.0;-473.0;314.0;-178;598.0;?;-513.0;285.0;601.0;-781.0;454.0
894.0;?;40.0;-479.0;269.0;-178;596.0;?;-520.0;352.0;604.0;-597.0;338.0
834.0;?;41.0;-483.0;249.0;-178;592.0;?;-522.0;363.0;612.0;-1134.0;143.0
839.0;?;56.0;-491.0;326.0;-178;575.0;?;?;341.0;620.0;-1461.0;122.0
633.0;?;75.0;-493.0;295.0;-178;561.0;?;?;312.0;625.0;-1123.0;80.0
779.0;?;76.0;-492.0;?;-178;544.0;?;?;259.0;634.0;-865.0;69.0
1470.0;?;67.0;-488.0;?;-178;527.0;?;?;229.0;658.0;-889.0;59.0
1159.0;?;55.0;-486.0;?;-178;522.0;?;?;262.0;669.0;-820.0;48.0
869.0;-69.0;33.0;-484.0;?;-178;517.0;?;?;253.0;669.0;-955.0;67.0
686.0;-58.0;19.0;-482.0;?;-178;510.0;?;?;309.0;660.0;-1071.0;58.0
797.0;-66.0;9.0;-485.0;?;-178;506.0;-882.0;?;265.0;655.0;-1017.0;70.0
811.0;-72.0;6.0;-481.0;?;-178;499.0;-886.0;?;391.0;657.0;-969.0;88.0
1037.0;-64.0;7.0;-482.0;?;-178;494.0;-889.0;?;327.0;653.0;-970.0;97.0
1045.0;-69.0;14.0;-479.0;?;-178;494.0;-895.0;?;425.0;641.0;-1000.0;93.0
935.0;-83.0;17.0;-479.0;?;-178;494.0;-899.0;-496.0;179.0;634.0;-1013.0;86.0
921.0;-95.0;13.0;-476.0;?;-178;499.0;-904.0;-490.0;349.0;632.0;-1001.0;104.0
931.0;-97.0;6.0;-474.0;295.0;-178;504.0;-909.0;-486.0;-994.0;629.0;-974.0;96.0
959.0;-92.0;1.0;-473.0;304.0;-178;514.0;-915.0;-483.0;100.0;626.0;-952.0;84.0
946.0;-100.0;-7.0;-470.0;304.0;-178;517.0;-919.0;-476.0;0.0;632.0;-954.0;86.0
925.0;-97.0;-7.0;-469.0;303.0;-177;527.0;-921.0;?;-18.0;624.0;-976.0;97.0
909.0;-92.0;-7.0;-464.0;291.0;-177;532.0;-922.0;?;-18.0;614.0;-973.0;124.0
912.0;-85.0;-15.0;-463.0;267.0;-177;541.0;-921.0;?;135.0;611.0;-968.0;110.0
929.0;-90.0;-16.0;-458.0;259.0;-177;546.0;-920.0;?;355.0;602.0;-986.0;88.0
934.0;-105.0;-20.0;-459.0;270.0;-177;551.0;-915.0;?;298.0;596.0;-1026.0;68.0
913.0;-115.0;-25.0;-451.0;280.0;-177;557.0;-915.0;?;200.0;595.0;-1026.0;67.0
939.0;-89.0;-31.0;-449.0;261.0;-177;559.0;-914.0;?;220.0;592.0;-961.0;66.0
958.0;-74.0;-33.0;-450.0;272.0;-177;563.0;-910.0;?;207.0;593.0;-940.0;70.0
986.0;-60.0;-38.0;-444.0;300.0;-177;566.0;-910.0;?;225.0;593.0;-927.0;74.0
952.0;-62.0;-41.0;-442.0;313.0;-177;566.0;-909.0;?;220.0;592.0;-919.0;70.0
920.0;-63.0;-43.0;-441.0;306.0;-177;567.0;-907.0;?;219.0;590.0;-929.0;74.0
929.0;-67.0;-40.0;-441.0;296.0;-177;567.0;-903.0;?;208.0;590.0;-919.0;68.0
922.0;-63.0;-35.0;-442.0;277.0;-177;567.0;-902.0;?;208.0;590.0;-928.0;56.0
922.0;-69.0;-22.0;-444.0;285.0;-177;565.0;-901.0;?;?;590.0;-925.0;64.0
937.0;-58.0;-8.0;-448.0;275.0;-177;562.0;-898.0;?;213.0;593.0;-932.0;97.0
899.0;-40.0;5.0;-453.0;290.0;-178;562.0;-896.0;?;200.0;592.0;-979.0;99.0
901.0;-38.0;16.0;-456.0;315.0;-178;560.0;-895.0;?;300.0;592.0;-1005.0;110.0
891.0;-72.0;?;-459.0;314.0;-178;556.0;-894.0;?;208.0;591.0;-1019.0;83.0
926.0;-77.0;?;-463.0;291.0;-178;554.0;-892.0;?;41.0;589.0;-1010.0;74.0
973.0;-71.0;21.0;-462.0;261.0;-177;550.0;-892.0;-507.0;55.0;590.0;-991.0;95.0
988.0;-69.0;28.0;-465.0;275.0;-178;?;-891.0;-510.0;162.0;592.0;-980.0;78.0
983.0;-56.0;33.0;-464.0;323.0;-176;?;-889.0;-512.0;225.0;596.0;-985.0;67.0
962.0;-53.0;38.0;-465.0;340.0;-178;?;-887.0;-512.0;206.0;597.0;-984.0;78.0
933.0;-55.0;36.0;-465.0;335.0;-177;?;-886.0;-513.0;260.0;602.0;-978.0;84.0
928.0;-50.0;37.0;-465.0;341.0;-174;?;-883.0;-514.0;323.0;598.0;-975.0;62.0
936.0;-42.0;39.0;-467.0;308.0;-182;?;-880.0;-514.0;?;600.0;-984.0;61.0
948.0;-45.0;36.0;-467.0;289.0;-168;?;-880.0;-511.0;?;601.0;-976.0;55.0
941.0;-36.0;33.0;-466.0;275.0;-187;?;-878.0;-507.0;?;597.0;-970.0;100.0
958.0;-34.0;30.0;-469.0;303.0;-170;?;-879.0;-505.0;241.0;595.0;-969.0;108.0
958.0;-44.0;29.0;-470.0;285.0;-171;?;-882.0;-504.0;250.0;593.0;-966.0;195.0
921.0;-63.0;30.0;-471.0;315.0;-218;?;-881.0;-504.0;265.0;590.0;-965.0;15.0
941.0;-75.0;34.0;-470.0;300.0;38;558.0;-882.0;-503.0;255.0;591.0;-939.0;319.0
938.0;-115.0;39.0;-473.0;299.0;225;559.0;-884.0;-507.0;?;594.0;-892.0;321.0
925.0;-91.0;42.0;-473.0;329.0;159;561.0;-884.0;-507.0;?;598.0;-723.0;219.0
933.0;-9.0;47.0;-477.0;310.0;183;565.0;-887.0;-507.0;?;601.0;-750.0;250.0
869.0;-502.0;50.0;-480.0;318.0;183;564.0;-888.0;-512.0;?;605.0;-1436.0;161.0
828.0;-276.0;63.0;-478.0;317.0;173;558.0;-889.0;-516.0;240.0;604.0;-1068.0;277.0
611.0;-201.0;63.0;-477.0;259.0;185;552.0;-885.0;-513.0;224.0;602.0;-767.0;283.0
1166.0;-152.0;64.0;-481.0;216.0;176;543.0;-884.0;-520.0;238.0;608.0;-793.0;203.0
1311.0;-177.0;70.0;-477.0;334.0;181;539.0;-877.0;-525.0;263.0;606.0;-846.0;?
794.0;-295.0;77.0;-478.0;559.0;179;538.0;-873.0;-527.0;261.0;606.0;-1049.0;?
697.0;-184.0;80.0;-480.0;568.0;179;536.0;-868.0;-531.0;248.0;612.0;-1054.0;?
720.0;-192.0;83.0;-480.0;447.0;179;534.0;-865.0;-532.0;?;619.0;-909.0;?
909.0;-183.0;84.0;-484.0;421.0;182;534.0;-863.0;-537.0;?;626.0;-863.0;?
1061.0;-203.0;89.0;-487.0;372.0;176;531.0;-863.0;?;?;?;-911.0;?
926.0;-207.0;94.0;-488.0;428.0;183;529.0;-861.0;?;?;?;-962.0;?
823.0;-205.0;95.0;-490.0;365.0;178;530.0;-861.0;?;?;?;-978.0;?
839.0;-189.0;86.0;-491.0;332.0;175;531.0;-866.0;?;?;?;-963.0;?
929.0;-162.0;75.0;-491.0;323.0;192;534.0;-868.0;?;?;?;-953.0;?
913.0;-152.0;66.0;-491.0;351.0;155;534.0;-873.0;?;-324.0;?;-947.0;?
912.0;-157.0;65.0;-490.0;358.0;216;535.0;-873.0;?;178.0;?;-953.0;?
910.0;-139.0;63.0;-493.0;371.0;122;539.0;-874.0;?;-161.0;?;-953.0;?
904.0;-133.0;66.0;-491.0;395.0;-182;544.0;-878.0;?;90.0;?;-959.0;?
885.0;-141.0;65.0;-493.0;379.0;-197;551.0;-879.0;?;74.0;?;-959.0;?
906.0;-144.0;67.0;-494.0;361.0;-161;557.0;-882.0;-540.0;115.0;?;-961.0;?
898.0;?;71.0;-494.0;336.0;-194;563.0;-884.0;-542.0;183.0;589.0;-976.0;?
895.0;-171.0;74.0;-497.0;334.0;-171;565.0;-885.0;-541.0;236.0;589.0;-994.0;?
918.0;-151.0;77.0;-493.0;324.0;-182;572.0;-887.0;-542.0;?;589.0;-965.0;?
921.0;-125.0;77.0;-492.0;323.0;-179;575.0;-887.0;-542.0;?;590.0;-908.0;?
928.0;-126.0;72.0;-491.0;306.0;-177;580.0;-886.0;-540.0;?;591.0;-911.0;?
940.0;-132.0;69.0;-488.0;304.0;-181;583.0;-886.0;?;?;587.0;-918.0;?
891.0;-113.0;69.0;?;294.0;-178;586.0;?;?;198.0;588.0;-917.0;112.0
872.0;-80.0;65.0;?;286.0;-179;588.0;?;?;165.0;587.0;-917.0;105.0
877.0;-59.0;62.0;?;294.0;-179;585.0;?;?;146.0;583.0;-923.0;58.0
905.0;-66.0;64.0;?;283.0;-179;583.0;?;?;114.0;582.0;-945.0;68.0
913.0;-66.0;63.0;?;287.0;-179;580.0;?;?;140.0;586.0;-982.0;72.0
918.0;-63.0;60.0;-482.0;300.0;-179;579.0;?;?;128.0;588.0;-1011.0;65.0
914.0;-41.0;58.0;-481.0;321.0;-179;574.0;?;?;210.0;592.0;-1005.0;59.0
943.0;-41.0;57.0;-481.0;315.0;-179;572.0;?;?;234.0;595.0;-1011.0;29.0
979.0;-37.0;56.0;-475.0;298.0;-179;568.0;?;?;98.0;594.0;-1020.0;39.0
998.0;-33.0;58.0;-474.0;289.0;-179;564.0;?;?;99.0;597.0;-1000.0;36.0
966.0;-15.0;57.0;-468.0;287.0;-178;564.0;?;?;154.0;594.0;-990.0;43.0
984.0;-11.0;54.0;-465.0;311.0;-178;561.0;?;-529.0;256.0;594.0;-999.0;56.0
972.0;-18.0;53.0;-462.0;314.0;-178;559.0;?;-527.0;206.0;592.0;-990.0;51.0
975.0;-18.0;49.0;-459.0;315.0;-178;555.0;-883.0;-524.0;181.0;588.0;-993.0;70.0
970.0;-25.0;48.0;-457.0;305.0;-178;555.0;-881.0;-520.0;232.0;585.0;-1006.0;43.0
967.0;-28.0;46.0;-455.0;313.0;-178;556.0;-882.0;-518.0;257.0;583.0;-990.0;45.0
967.0;-49.0;43.0;-455.0;334.0;-178;557.0;-882.0;-516.0;228.0;581.0;-980.0;34.0
951.0;-38.0;40.0;-450.0;340.0;-178;558.0;-884.0;-511.0;209.0;578.0;-984.0;2.0
965.0;-22.0;34.0;-451.0;324.0;-177;559.0;-885.0;-506.0;252.0;574.0;-983.0;21.0
922.0;-7.0;23.0;-449.0;331.0;-177;562.0;-887.0;-498.0;264.0;566.0;-989.0;89.0
942.0;13.0;15.0;-442.0;309.0;-177;564.0;-888.0;-490.0;262.0;561.0;-978.0;72.0
955.0;?;9.0;-446.0;302.0;-177;563.0;-891.0;-487.0;272.0;559.0;-958.0;139.0
970.0;?;9.0;-446.0;310.0;-178;563.0;-896.0;-484.0;222.0;558.0;-913.0;435.0
968.0;?;14.0;-448.0;331.0;-178;568.0;-898.0;-487.0;228.0;560.0;-853.0;512.0
946.0;?;25.0;-455.0;355.0;-178;571.0;-901.0;-490.0;240.0;564.0;-702.0;318.0
887.0;?;36.0;-457.0;351.0;-178;573.0;-903.0;-495.0;260.0;571.0;-1307.0;272.0
894.0;?;54.0;-457.0;335.0;-178;571.0;-903.0;-507.0;256.0;572.0;-1124.0;266.0
701.0;?;67.0;-456.0;309.0;-178;566.0;-899.0;-507.0;253.0;576.0;-810.0;353.0
1010.0;?;67.0;-450.0;291.0;-178;563.0;-896.0;-509.0;294.0;587.0;-862.0;241.0
1209.0;-226.0;61.0;-446.0;407.0;-178;556.0;-890.0;-508.0;309.0;589.0;-789.0;210.0
854.0;-293.0;?;-445.0;549.0;-178;553.0;-884.0;-505.0;333.0;592.0;-853.0;235.0
767.0;-227.0;?;-437.0;582.0;-178;550.0;-880.0;-499.0;286.0;588.0;-1010.0;195.0
794.0;-209.0;?;-434.0;447.0;-178;547.0;-874.0;-498.0;250.0;589.0;?;191.0
730.0;-207.0;?;-433.0;463.0;-178;543.0;-871.0;-495.0;135.0;583.0;?;210.0
925.0;-169.0;?;-436.0;380.0;-178;540.0;-866.0;-498.0;208.0;581.0;?;206.0
1015.0;-159.0;?;-433.0;419.0;-178;540.0;-863.0;-504.0;400.0;577.0;?;178.0
891.0;-185.0;?;-437.0;465.0;-178;538.0;-864.0;-509.0;216.0;576.0;?;172.0
820.0;-202.0;?;-437.0;417.0;-178;539.0;-865.0;-510.0;308.0;575.0;-988.0;174.0
865.0;-168.0;?;-440.0;389.0;-178;536.0;-869.0;-513.0;-88.0;575.0;-968.0;163.0
909.0;-150.0;?;-439.0;400.0;-178;535.0;-871.0;-508.0;-1057.0;572.0;-943.0;154.0
944.0;-150.0;?;-438.0;374.0;-178;535.0;-874.0;-504.0;356.0;570.0;-941.0;166.0
939.0;-144.0;?;-439.0;386.0;-178;537.0;-879.0;-504.0;-221.0;566.0;-949.0;168.0
911.0;-132.0;?;-442.0;404.0;-178;541.0;-885.0;-502.0;-189.0;565.0;-947.0;143.0
885.0;-137.0;?;-443.0;389.0;-178;545.0;-891.0;-502.0;-73.0;567.0;-963.0;172.0
889.0;-145.0;31.0;-442.0;393.0;-178;548.0;-898.0;-500.0;16.0;564.0;-974.0;163.0
892.0;-145.0;33.0;-447.0;365.0;-178;551.0;-902.0;-498.0;126.0;566.0;-965.0;160.0
908.0;-137.0;36.0;-447.0;353.0;-178;556.0;-909.0;-498.0;191.0;565.0;-947.0;177.0
930.0;-144.0;40.0;-447.0;352.0;-178;560.0;-912.0;-498.0;194.0;568.0;-961.0;165.0
