InertialMeasurementUnit BACK accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit BACK magneticX;Accelerometer HIP accZ;Accelerometer HIP accX;Accelerometer BACK accY
224.0;-843.0;559.0;324.0;-235.0;877.0
233.0;-891.0;558.0;459.0;-121.0;816.0
?;-1019.0;556.0;367.0;-2.0;782.0
?;-1026.0;558.0;280.0;-45.0;811.0
?;-969.0;556.0;295.0;-41.0;851.0
?;-922.0;556.0;333.0;-106.0;866.0
?;-930.0;556.0;391.0;-156.0;867.0
?;-959.0;551.0;367.0;-140.0;832.0
?;-978.0;547.0;284.0;-123.0;851.0
?;-988.0;544.0;296.0;-72.0;878.0
189.0;-973.0;539.0;384.0;-97.0;882.0
144.0;-949.0;540.0;356.0;-56.0;893.0
144.0;-989.0;538.0;413.0;?;883.0
158.0;-978.0;537.0;390.0;?;920.0
120.0;-984.0;538.0;448.0;?;900.0
141.0;-985.0;536.0;405.0;?;934.0
126.0;-991.0;534.0;447.0;?;951.0
109.0;-994.0;536.0;499.0;?;950.0
95.0;-992.0;537.0;444.0;-37.0;961.0
93.0;-1017.0;537.0;420.0;-64.0;962.0
88.0;-1025.0;536.0;473.0;-92.0;956.0
79.0;-1029.0;538.0;415.0;-57.0;921.0
89.0;-1032.0;538.0;399.0;-31.0;906.0
103.0;-1028.0;539.0;389.0;-64.0;884.0
?;-1009.0;540.0;432.0;-76.0;875.0
?;-994.0;543.0;391.0;-122.0;855.0
?;-978.0;545.0;384.0;-166.0;846.0
?;-977.0;545.0;415.0;-167.0;843.0
?;-958.0;547.0;403.0;-177.0;835.0
208.0;-964.0;552.0;398.0;-165.0;829.0
204.0;-952.0;555.0;414.0;-157.0;825.0
224.0;-953.0;556.0;404.0;-157.0;841.0
235.0;-959.0;560.0;399.0;-174.0;786.0
239.0;-950.0;562.0;366.0;-171.0;817.0
281.0;-963.0;564.0;391.0;-178.0;810.0
248.0;-940.0;567.0;405.0;-204.0;829.0
261.0;-936.0;569.0;414.0;-211.0;795.0
282.0;-958.0;570.0;431.0;-209.0;796.0
287.0;-971.0;574.0;403.0;-171.0;808.0
278.0;-958.0;574.0;380.0;-185.0;797.0
284.0;-951.0;574.0;356.0;-223.0;789.0
283.0;-952.0;574.0;371.0;-226.0;820.0
289.0;?;576.0;385.0;-235.0;834.0
281.0;?;575.0;395.0;-226.0;?
272.0;?;576.0;392.0;-216.0;821.0
268.0;?;577.0;366.0;-203.0;836.0
257.0;?;578.0;372.0;-183.0;769.0
245.0;?;577.0;397.0;-163.0;748.0
242.0;-958.0;579.0;337.0;-193.0;667.0
262.0;-946.0;579.0;348.0;-194.0;641.0
295.0;-921.0;580.0;311.0;-164.0;586.0
326.0;-864.0;580.0;460.0;-57.0;1278.0
308.0;-820.0;582.0;192.0;-234.0;581.0
300.0;-737.0;583.0;111.0;-224.0;903.0
321.0;-1153.0;584.0;273.0;-19.0;717.0
417.0;-972.0;581.0;168.0;-4.0;860.0
320.0;-987.0;579.0;215.0;-100.0;780.0
288.0;-968.0;577.0;129.0;-189.0;874.0
263.0;-909.0;576.0;250.0;-252.0;851.0
251.0;-944.0;575.0;373.0;-170.0;829.0
294.0;-976.0;575.0;374.0;-86.0;831.0
246.0;-998.0;575.0;317.0;-61.0;823.0
229.0;-968.0;573.0;318.0;-92.0;853.0
196.0;-953.0;573.0;?;-110.0;864.0
140.0;-950.0;570.0;?;-68.0;894.0
?;-944.0;567.0;?;-69.0;904.0
?;-978.0;563.0;?;-76.0;959.0
?;-1002.0;560.0;?;-36.0;866.0
?;-1018.0;554.0;?;-136.0;845.0
?;-1026.0;550.0;?;-114.0;877.0
?;-988.0;548.0;?;-30.0;?
?;-977.0;546.0;?;-44.0;?
?;-995.0;548.0;?;-72.0;?
?;-955.0;543.0;?;-59.0;?
?;-933.0;540.0;?;-60.0;?
?;-978.0;537.0;?;-59.0;?
?;-967.0;533.0;?;-79.0;?
?;-993.0;530.0;?;-68.0;?
92.0;-988.0;529.0;415.0;-69.0;?
110.0;-1008.0;527.0;426.0;-53.0;?
117.0;-1011.0;525.0;391.0;-44.0;?
112.0;-995.0;525.0;385.0;-94.0;?
93.0;-995.0;526.0;421.0;-81.0;?
86.0;-974.0;527.0;411.0;-38.0;?
61.0;-961.0;527.0;418.0;-45.0;?
130.0;-1005.0;526.0;407.0;-54.0;889.0
81.0;-998.0;528.0;415.0;-62.0;895.0
87.0;-993.0;531.0;430.0;-50.0;908.0
61.0;-981.0;531.0;438.0;-39.0;894.0
60.0;-977.0;531.0;492.0;20.0;908.0
74.0;-985.0;533.0;394.0;24.0;900.0
?;-993.0;532.0;421.0;-18.0;912.0
?;-973.0;531.0;425.0;?;914.0
?;-971.0;530.0;433.0;?;881.0
?;-995.0;530.0;394.0;?;865.0
?;-1015.0;531.0;433.0;?;901.0
?;-1002.0;532.0;442.0;?;886.0
?;-978.0;531.0;432.0;?;885.0
?;-983.0;529.0;442.0;?;875.0
?;-976.0;528.0;?;?;876.0
?;-984.0;526.0;?;?;876.0
?;-962.0;525.0;?;?;888.0
?;-981.0;525.0;?;?;876.0
104.0;-986.0;525.0;?;?;869.0
88.0;-980.0;521.0;?;?;875.0
89.0;-987.0;517.0;?;?;890.0
73.0;-974.0;517.0;?;?;929.0
98.0;-978.0;516.0;?;-61.0;906.0
78.0;-975.0;515.0;?;-11.0;942.0
67.0;-995.0;516.0;?;-41.0;902.0
62.0;-1004.0;517.0;?;-58.0;917.0
69.0;-1011.0;519.0;473.0;-46.0;899.0
72.0;-999.0;519.0;454.0;0.0;894.0
104.0;-1002.0;522.0;419.0;-33.0;903.0
84.0;-998.0;525.0;422.0;-57.0;895.0
75.0;-949.0;527.0;450.0;-17.0;906.0
89.0;-966.0;528.0;414.0;-24.0;916.0
101.0;-985.0;532.0;423.0;-11.0;939.0
80.0;-988.0;534.0;452.0;-19.0;933.0
87.0;-982.0;538.0;428.0;-5.0;926.0
113.0;-991.0;538.0;425.0;-20.0;918.0
118.0;-1023.0;538.0;424.0;?;881.0
94.0;-998.0;540.0;418.0;?;894.0
125.0;-994.0;540.0;412.0;?;881.0
146.0;-989.0;543.0;455.0;?;874.0
160.0;-988.0;544.0;435.0;0.0;876.0
177.0;-980.0;544.0;444.0;-1.0;875.0
139.0;-979.0;544.0;411.0;-33.0;884.0
132.0;-979.0;541.0;407.0;-51.0;885.0
132.0;-965.0;540.0;417.0;-79.0;885.0
133.0;-979.0;537.0;425.0;-99.0;884.0
124.0;-969.0;539.0;410.0;-100.0;889.0
120.0;-970.0;538.0;417.0;-83.0;917.0
114.0;-967.0;538.0;393.0;-45.0;923.0
111.0;-977.0;538.0;439.0;-37.0;903.0
112.0;-983.0;534.0;398.0;-48.0;900.0
100.0;-993.0;532.0;405.0;-31.0;889.0
105.0;-992.0;532.0;456.0;-9.0;885.0
103.0;-984.0;531.0;407.0;-19.0;920.0
117.0;-985.0;530.0;422.0;-28.0;922.0
104.0;-977.0;528.0;434.0;-21.0;916.0
107.0;-986.0;527.0;435.0;0.0;913.0
133.0;-996.0;526.0;415.0;-10.0;898.0
111.0;-997.0;523.0;425.0;-1.0;911.0
111.0;-993.0;524.0;413.0;-38.0;998.0
113.0;-984.0;523.0;433.0;-55.0;975.0
110.0;-975.0;521.0;421.0;-36.0;905.0
115.0;-1016.0;519.0;398.0;-41.0;851.0
31.0;-1047.0;523.0;437.0;-35.0;851.0
64.0;-1013.0;523.0;422.0;-26.0;856.0
118.0;-984.0;524.0;426.0;-38.0;881.0
112.0;-963.0;526.0;466.0;-23.0;903.0
142.0;-957.0;526.0;439.0;-10.0;868.0
145.0;-968.0;527.0;425.0;-33.0;918.0
140.0;-984.0;525.0;456.0;-4.0;968.0
123.0;-979.0;527.0;437.0;-16.0;923.0
113.0;-979.0;524.0;444.0;-29.0;869.0
91.0;-1014.0;524.0;435.0;-39.0;890.0
73.0;-1008.0;526.0;447.0;-18.0;887.0
97.0;-993.0;527.0;462.0;19.0;894.0
93.0;-965.0;526.0;424.0;-18.0;923.0
122.0;-983.0;526.0;454.0;-52.0;913.0
113.0;-977.0;528.0;459.0;-60.0;903.0
103.0;-989.0;526.0;427.0;-37.0;904.0
101.0;-996.0;525.0;449.0;-45.0;902.0
107.0;-993.0;526.0;438.0;-89.0;905.0
120.0;-988.0;525.0;413.0;-56.0;898.0
114.0;-988.0;528.0;437.0;-21.0;899.0
105.0;-984.0;529.0;410.0;-13.0;898.0
103.0;-984.0;527.0;408.0;-59.0;900.0
105.0;-988.0;524.0;490.0;-27.0;902.0
119.0;-994.0;525.0;429.0;-42.0;907.0
111.0;-990.0;524.0;456.0;-51.0;886.0
138.0;-998.0;524.0;367.0;-67.0;895.0
121.0;-995.0;524.0;446.0;-78.0;852.0
124.0;-983.0;526.0;441.0;-28.0;856.0
131.0;-975.0;524.0;438.0;-42.0;877.0
137.0;-982.0;525.0;443.0;-51.0;918.0
170.0;-965.0;524.0;432.0;-76.0;928.0
172.0;-965.0;523.0;444.0;-54.0;928.0
154.0;-989.0;524.0;450.0;-28.0;919.0
125.0;-1011.0;525.0;455.0;-19.0;880.0
123.0;-1012.0;528.0;456.0;6.0;903.0
96.0;-1016.0;530.0;452.0;-8.0;893.0
115.0;-986.0;531.0;466.0;-14.0;857.0
109.0;-986.0;531.0;453.0;-24.0;885.0
119.0;-974.0;533.0;502.0;-2.0;903.0
135.0;-957.0;533.0;469.0;-29.0;890.0
141.0;-975.0;534.0;433.0;-52.0;897.0
159.0;?;534.0;465.0;-11.0;877.0
131.0;?;534.0;456.0;-29.0;884.0
138.0;?;533.0;455.0;-29.0;895.0
142.0;?;533.0;445.0;-39.0;904.0
132.0;?;530.0;443.0;-40.0;915.0
126.0;?;529.0;436.0;-35.0;910.0
121.0;?;529.0;446.0;-34.0;907.0
120.0;?;526.0;424.0;-48.0;907.0
122.0;?;522.0;398.0;-40.0;895.0
108.0;-1001.0;522.0;419.0;-55.0;881.0
114.0;-1003.0;520.0;417.0;-65.0;867.0
122.0;-993.0;516.0;419.0;-64.0;849.0
133.0;-1000.0;514.0;395.0;-52.0;850.0
122.0;-982.0;510.0;426.0;-41.0;879.0
131.0;-977.0;508.0;414.0;-46.0;860.0
118.0;-963.0;506.0;402.0;-58.0;868.0
120.0;-980.0;504.0;389.0;-68.0;896.0
124.0;-980.0;502.0;374.0;-59.0;858.0
115.0;-973.0;501.0;415.0;-49.0;895.0
116.0;-995.0;501.0;393.0;-37.0;865.0
126.0;-989.0;501.0;396.0;-45.0;869.0
115.0;-989.0;499.0;379.0;-83.0;863.0
122.0;-999.0;500.0;382.0;-72.0;875.0
125.0;-990.0;502.0;392.0;-41.0;878.0
115.0;-986.0;501.0;387.0;-64.0;864.0
110.0;-986.0;501.0;396.0;-46.0;845.0
104.0;-1000.0;501.0;395.0;-35.0;880.0
111.0;-988.0;502.0;395.0;-80.0;922.0
112.0;-966.0;504.0;435.0;24.0;899.0
107.0;-943.0;505.0;427.0;-2.0;885.0
110.0;-1013.0;510.0;403.0;-73.0;893.0
101.0;-1011.0;509.0;413.0;-89.0;872.0
89.0;-991.0;511.0;424.0;-62.0;865.0
92.0;-986.0;508.0;415.0;-59.0;885.0
102.0;-989.0;509.0;425.0;-49.0;895.0
94.0;-980.0;510.0;424.0;-39.0;883.0
89.0;-996.0;509.0;415.0;-37.0;905.0
90.0;-986.0;511.0;429.0;-27.0;949.0
78.0;?;509.0;444.0;-6.0;884.0
80.0;?;511.0;414.0;-57.0;891.0
85.0;?;?;429.0;-84.0;910.0
72.0;?;?;429.0;-10.0;884.0
82.0;?;511.0;384.0;-61.0;873.0
86.0;?;512.0;448.0;-52.0;909.0
96.0;?;513.0;452.0;-70.0;887.0
82.0;?;512.0;406.0;-67.0;891.0
103.0;-995.0;515.0;381.0;-53.0;909.0
91.0;-1014.0;513.0;426.0;-16.0;885.0
86.0;-986.0;516.0;429.0;-17.0;894.0
94.0;-977.0;516.0;414.0;-28.0;895.0
112.0;-994.0;518.0;425.0;-69.0;894.0
113.0;-979.0;516.0;404.0;-78.0;886.0
104.0;-984.0;517.0;407.0;-56.0;892.0
105.0;-986.0;520.0;428.0;-39.0;877.0
111.0;-993.0;519.0;419.0;-52.0;898.0
105.0;-983.0;520.0;422.0;-44.0;874.0
105.0;-987.0;?;431.0;-44.0;888.0
112.0;-975.0;?;430.0;-66.0;905.0
114.0;-991.0;?;426.0;-66.0;903.0
111.0;-971.0;524.0;441.0;-50.0;898.0
118.0;-988.0;524.0;414.0;-56.0;894.0
107.0;-984.0;522.0;397.0;-53.0;894.0
103.0;-992.0;520.0;406.0;-43.0;895.0
94.0;-978.0;518.0;414.0;-22.0;893.0
106.0;-973.0;519.0;405.0;-51.0;921.0
95.0;-988.0;516.0;424.0;-71.0;923.0
88.0;-981.0;518.0;405.0;-29.0;932.0
98.0;-994.0;515.0;424.0;-38.0;919.0
97.0;-1002.0;515.0;393.0;-32.0;903.0
98.0;-1004.0;516.0;397.0;-59.0;903.0
104.0;-998.0;517.0;410.0;-49.0;905.0
109.0;-999.0;516.0;439.0;-41.0;914.0
98.0;-985.0;516.0;412.0;-22.0;897.0
107.0;-988.0;515.0;410.0;-19.0;916.0
