InertialMeasurementUnit RUA accZ;Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA^ accY;Accelerometer RWR accX;Accelerometer RUA_ accY;InertialMeasurementUnit RLA accX;Accelerometer RUA^ accX;Accelerometer RWR accY;InertialMeasurementUnit RLA accZ;Accelerometer RUA_ accZ;InertialMeasurementUnit RUA accY
91.0;338.0;-1061.0;830.0;-317.0;730.0;-829.0;-70.0;504.0;394.0;125.0;167.0
187.0;390.0;-718.0;887.0;-409.0;933.0;-629.0;48.0;460.0;418.0;123.0;246.0
199.0;204.0;-966.0;1094.0;-405.0;977.0;-847.0;-100.0;765.0;475.0;70.0;153.0
211.0;189.0;-970.0;1059.0;-392.0;1003.0;-852.0;-117.0;748.0;481.0;66.0;143.0
220.0;185.0;-962.0;1065.0;-366.0;1005.0;-851.0;-85.0;749.0;484.0;67.0;130.0
168.0;251.0;-975.0;1099.0;-412.0;981.0;-820.0;-18.0;743.0;510.0;50.0;276.0
156.0;247.0;-988.0;1101.0;-382.0;988.0;-841.0;-43.0;739.0;530.0;76.0;245.0
158.0;228.0;-974.0;1071.0;-361.0;990.0;-833.0;-74.0;759.0;540.0;71.0;200.0
149.0;244.0;-968.0;1098.0;-341.0;961.0;-840.0;-25.0;739.0;435.0;31.0;182.0
143.0;257.0;-992.0;1119.0;-382.0;988.0;-856.0;-20.0;732.0;448.0;39.0;202.0
145.0;257.0;-995.0;1090.0;-364.0;990.0;-848.0;0.0;746.0;461.0;40.0;202.0
132.0;246.0;-995.0;1051.0;-382.0;1000.0;-852.0;8.0;717.0;479.0;39.0;210.0
128.0;234.0;-985.0;1056.0;-383.0;1007.0;-839.0;-23.0;747.0;492.0;22.0;202.0
125.0;216.0;-961.0;1046.0;-381.0;987.0;-828.0;-38.0;795.0;508.0;52.0;208.0
149.0;233.0;-930.0;1115.0;-361.0;964.0;-798.0;-21.0;796.0;508.0;53.0;183.0
129.0;288.0;-918.0;1210.0;-369.0;922.0;-857.0;-2.0;829.0;384.0;60.0;84.0
118.0;278.0;-990.0;1103.0;-349.0;987.0;-845.0;-17.0;684.0;517.0;49.0;222.0
133.0;305.0;-997.0;1061.0;-306.0;1009.0;-849.0;-28.0;687.0;519.0;60.0;243.0
154.0;366.0;-967.0;1050.0;-294.0;980.0;-825.0;3.0;688.0;533.0;80.0;252.0
168.0;381.0;-967.0;1007.0;-266.0;1219.0;-734.0;61.0;681.0;581.0;146.0;434.0
128.0;374.0;-945.0;1036.0;-347.0;950.0;-782.0;62.0;702.0;494.0;65.0;362.0
106.0;309.0;-922.0;1069.0;-332.0;948.0;-761.0;57.0;750.0;500.0;21.0;356.0
91.0;284.0;-928.0;1064.0;-298.0;931.0;-769.0;37.0;784.0;505.0;32.0;317.0
114.0;234.0;-945.0;1061.0;-353.0;982.0;-817.0;-24.0;768.0;517.0;38.0;241.0
161.0;388.0;-851.0;927.0;-313.0;861.0;-779.0;12.0;519.0;389.0;132.0;100.0
126.0;326.0;-935.0;1000.0;-310.0;828.0;-884.0;-38.0;555.0;483.0;59.0;-56.0
204.0;231.0;-976.0;1114.0;-100.0;927.0;-532.0;117.0;500.0;612.0;171.0;166.0
153.0;208.0;-726.0;831.0;-390.0;692.0;-620.0;-79.0;549.0;410.0;176.0;202.0
160.0;233.0;-808.0;833.0;-393.0;709.0;-708.0;-117.0;520.0;402.0;156.0;176.0
-60.0;194.0;-902.0;1186.0;-253.0;959.0;-672.0;47.0;687.0;443.0;-3.0;70.0
153.0;305.0;-906.0;1006.0;-299.0;770.0;-854.0;-49.0;631.0;533.0;52.0;-24.0
303.0;242.0;-840.0;850.0;-249.0;1098.0;-793.0;14.0;520.0;498.0;187.0;-81.0
224.0;245.0;-1158.0;821.0;-290.0;1086.0;-1108.0;-87.0;463.0;640.0;266.0;-154.0
207.0;307.0;-978.0;963.0;-343.0;888.0;-888.0;20.0;741.0;465.0;106.0;113.0
107.0;283.0;-954.0;1075.0;-43.0;912.0;-778.0;-2.0;679.0;384.0;93.0;210.0
198.0;316.0;-906.0;1040.0;-359.0;856.0;-799.0;68.0;786.0;486.0;132.0;271.0
427.0;382.0;-1001.0;1066.0;-335.0;924.0;-698.0;-117.0;621.0;844.0;172.0;277.0
6.0;304.0;-901.0;1127.0;84.0;1009.0;-819.0;7.0;559.0;165.0;26.0;230.0
274.0;386.0;-1012.0;935.0;32.0;780.0;-909.0;180.0;161.0;542.0;16.0;108.0
148.0;394.0;-951.0;992.0;-66.0;858.0;-725.0;92.0;612.0;292.0;30.0;271.0
129.0;385.0;-931.0;1000.0;-20.0;845.0;-689.0;94.0;660.0;280.0;37.0;301.0
125.0;357.0;-926.0;1031.0;-36.0;791.0;-672.0;74.0;660.0;282.0;-29.0;301.0
121.0;360.0;-938.0;1023.0;-196.0;867.0;-715.0;0.0;689.0;430.0;76.0;296.0
126.0;348.0;-933.0;1026.0;-340.0;892.0;-735.0;-18.0;730.0;446.0;71.0;276.0
152.0;340.0;-939.0;1055.0;-367.0;908.0;-748.0;10.0;764.0;435.0;107.0;256.0
141.0;289.0;-954.0;1056.0;-396.0;912.0;-781.0;-3.0;775.0;492.0;132.0;278.0
136.0;276.0;-965.0;1093.0;-388.0;948.0;-806.0;-102.0;784.0;501.0;112.0;278.0
143.0;262.0;-968.0;1131.0;-411.0;988.0;-833.0;-62.0;774.0;518.0;133.0;228.0
170.0;320.0;-840.0;1151.0;-323.0;838.0;-705.0;-3.0;723.0;525.0;109.0;293.0
178.0;301.0;-913.0;1229.0;-507.0;839.0;-681.0;-215.0;675.0;587.0;-93.0;234.0
132.0;268.0;-1022.0;1121.0;-315.0;1046.0;-886.0;-14.0;755.0;567.0;150.0;157.0
133.0;285.0;-990.0;1080.0;-323.0;1033.0;-844.0;-17.0;766.0;555.0;113.0;158.0
117.0;243.0;-976.0;1081.0;-325.0;996.0;-836.0;-13.0;759.0;532.0;139.0;167.0
106.0;243.0;-959.0;1101.0;-324.0;997.0;-834.0;-49.0;746.0;521.0;118.0;199.0
115.0;264.0;-965.0;1067.0;-339.0;976.0;-829.0;-41.0;755.0;514.0;118.0;175.0
119.0;229.0;-963.0;1041.0;-322.0;999.0;-845.0;-35.0;753.0;490.0;111.0;185.0
131.0;232.0;-950.0;1064.0;-299.0;988.0;-828.0;-71.0;754.0;482.0;100.0;174.0
140.0;233.0;-958.0;1052.0;-267.0;981.0;-838.0;-27.0;751.0;469.0;99.0;148.0
128.0;228.0;-959.0;1054.0;-285.0;967.0;-851.0;-27.0;733.0;441.0;102.0;167.0
135.0;253.0;-954.0;1056.0;-274.0;966.0;-834.0;-11.0;724.0;437.0;84.0;181.0
114.0;250.0;-955.0;1058.0;-312.0;960.0;-831.0;-17.0;737.0;423.0;86.0;216.0
133.0;254.0;-942.0;1058.0;-337.0;953.0;-803.0;0.0;749.0;429.0;99.0;201.0
112.0;250.0;-951.0;1068.0;-335.0;959.0;-815.0;-60.0;726.0;449.0;45.0;191.0
78.0;256.0;-989.0;1089.0;-332.0;996.0;-850.0;-17.0;735.0;462.0;65.0;225.0
107.0;246.0;-987.0;1057.0;-273.0;990.0;-847.0;7.0;762.0;463.0;53.0;220.0
102.0;235.0;-977.0;1063.0;-366.0;985.0;-840.0;-20.0;784.0;474.0;75.0;218.0
103.0;225.0;-957.0;1087.0;-318.0;977.0;-822.0;5.0;777.0;482.0;82.0;179.0
95.0;244.0;-987.0;1056.0;-253.0;1005.0;-851.0;1.0;757.0;454.0;69.0;210.0
92.0;241.0;-978.0;1093.0;-304.0;989.0;-844.0;18.0;775.0;449.0;78.0;191.0
92.0;286.0;-978.0;1060.0;-327.0;980.0;-833.0;0.0;730.0;476.0;81.0;229.0
103.0;283.0;-987.0;1061.0;-334.0;985.0;-843.0;18.0;733.0;478.0;86.0;206.0
85.0;255.0;-990.0;1048.0;-329.0;1017.0;-850.0;-4.0;755.0;479.0;77.0;222.0
101.0;274.0;-954.0;1076.0;-315.0;979.0;-809.0;20.0;737.0;484.0;80.0;223.0
90.0;279.0;-958.0;1086.0;-310.0;950.0;-820.0;7.0;762.0;476.0;94.0;217.0
85.0;275.0;-972.0;1074.0;-292.0;988.0;-838.0;0.0;744.0;473.0;81.0;197.0
53.0;314.0;-932.0;1060.0;-264.0;953.0;-793.0;36.0;749.0;472.0;63.0;240.0
58.0;306.0;-937.0;1088.0;-205.0;939.0;-790.0;65.0;725.0;464.0;67.0;236.0
58.0;296.0;-983.0;1080.0;-308.0;974.0;-834.0;39.0;732.0;461.0;68.0;279.0
64.0;291.0;-988.0;1056.0;-268.0;993.0;-841.0;30.0;736.0;467.0;81.0;264.0
68.0;319.0;-971.0;1047.0;-246.0;982.0;-827.0;51.0;733.0;453.0;62.0;243.0
62.0;306.0;-959.0;1056.0;-266.0;955.0;-817.0;59.0;744.0;457.0;77.0;243.0
64.0;246.0;-972.0;1069.0;-278.0;988.0;-839.0;22.0;748.0;460.0;77.0;220.0
61.0;266.0;-968.0;1073.0;-281.0;992.0;-835.0;35.0;766.0;459.0;52.0;198.0
59.0;260.0;-969.0;1086.0;-240.0;980.0;-838.0;36.0;747.0;448.0;50.0;195.0
61.0;256.0;-974.0;1085.0;-266.0;988.0;-842.0;47.0;752.0;443.0;70.0;199.0
59.0;256.0;-987.0;1070.0;-292.0;989.0;-851.0;26.0;754.0;444.0;62.0;206.0
70.0;297.0;-960.0;1080.0;-301.0;994.0;-820.0;42.0;746.0;485.0;79.0;207.0
53.0;271.0;-982.0;1079.0;-296.0;992.0;-841.0;10.0;755.0;477.0;66.0;226.0
79.0;265.0;-974.0;1078.0;-284.0;976.0;-834.0;43.0;757.0;476.0;77.0;217.0
60.0;258.0;-976.0;1063.0;-307.0;980.0;-839.0;42.0;766.0;461.0;71.0;223.0
63.0;274.0;-969.0;1079.0;-308.0;973.0;-831.0;26.0;748.0;467.0;59.0;232.0
72.0;269.0;-967.0;1074.0;-319.0;974.0;-830.0;30.0;744.0;479.0;80.0;202.0
62.0;291.0;-979.0;1118.0;-314.0;979.0;-843.0;32.0;718.0;471.0;68.0;221.0
77.0;272.0;-982.0;1075.0;-284.0;985.0;-839.0;62.0;744.0;472.0;67.0;222.0
54.0;244.0;-986.0;1053.0;-333.0;985.0;-846.0;12.0;756.0;464.0;57.0;260.0
72.0;271.0;-954.0;1080.0;-248.0;972.0;-816.0;10.0;752.0;468.0;61.0;233.0
80.0;279.0;-953.0;1093.0;-304.0;969.0;-820.0;15.0;750.0;468.0;71.0;195.0
80.0;272.0;-971.0;1088.0;-320.0;976.0;-837.0;15.0;762.0;449.0;72.0;185.0
64.0;244.0;-976.0;1077.0;-313.0;987.0;-846.0;12.0;752.0;440.0;36.0;214.0
66.0;265.0;-970.0;1083.0;-237.0;979.0;-836.0;37.0;744.0;436.0;60.0;227.0
63.0;285.0;-977.0;1071.0;-279.0;988.0;-834.0;49.0;730.0;471.0;62.0;269.0
70.0;306.0;-967.0;1076.0;-309.0;990.0;-826.0;58.0;741.0;469.0;87.0;251.0
56.0;252.0;-970.0;1063.0;-281.0;989.0;-829.0;36.0;740.0;478.0;82.0;246.0
73.0;258.0;-965.0;1049.0;-297.0;976.0;-831.0;28.0;747.0;455.0;66.0;211.0
74.0;274.0;-955.0;1063.0;-248.0;980.0;-824.0;28.0;752.0;452.0;73.0;218.0
72.0;249.0;-956.0;1078.0;-232.0;962.0;-822.0;55.0;766.0;452.0;67.0;218.0
68.0;281.0;-964.0;1085.0;-284.0;965.0;-828.0;69.0;758.0;444.0;74.0;236.0
55.0;291.0;-973.0;1079.0;-284.0;974.0;-834.0;48.0;751.0;440.0;57.0;247.0
41.0;283.0;-989.0;1069.0;-313.0;987.0;-847.0;69.0;758.0;446.0;51.0;254.0
48.0;257.0;-988.0;1121.0;-281.0;983.0;-847.0;50.0;736.0;450.0;46.0;251.0
52.0;263.0;-976.0;1094.0;-241.0;972.0;-833.0;67.0;758.0;472.0;67.0;244.0
35.0;236.0;-975.0;1099.0;-301.0;975.0;-844.0;-8.0;743.0;445.0;30.0;244.0
70.0;257.0;-976.0;1100.0;-286.0;976.0;-839.0;19.0;748.0;455.0;43.0;219.0
68.0;235.0;-991.0;1089.0;-283.0;1007.0;-860.0;9.0;740.0;461.0;55.0;201.0
61.0;218.0;-982.0;1078.0;-272.0;999.0;-851.0;32.0;756.0;462.0;53.0;214.0
62.0;241.0;-968.0;1071.0;-295.0;990.0;-839.0;35.0;763.0;453.0;40.0;205.0
58.0;246.0;-971.0;1097.0;-252.0;980.0;-842.0;28.0;770.0;452.0;58.0;203.0
54.0;248.0;-978.0;1088.0;-302.0;993.0;-848.0;43.0;762.0;441.0;55.0;203.0
55.0;245.0;-978.0;1068.0;-292.0;986.0;-847.0;27.0;737.0;435.0;47.0;216.0
61.0;252.0;-974.0;1060.0;-307.0;980.0;-846.0;28.0;741.0;442.0;53.0;216.0
51.0;269.0;-961.0;1079.0;-265.0;986.0;-826.0;58.0;730.0;455.0;41.0;244.0
42.0;256.0;-964.0;1079.0;-276.0;988.0;-826.0;48.0;748.0;463.0;66.0;239.0
54.0;267.0;-960.0;1080.0;-280.0;963.0;-828.0;38.0;723.0;458.0;49.0;229.0
42.0;278.0;-977.0;1080.0;-322.0;970.0;-836.0;48.0;751.0;458.0;54.0;259.0
55.0;238.0;-968.0;1088.0;-324.0;963.0;-832.0;39.0;749.0;466.0;47.0;242.0
63.0;270.0;-976.0;1072.0;-316.0;992.0;-843.0;38.0;747.0;464.0;60.0;224.0
53.0;248.0;-972.0;1075.0;-296.0;985.0;-841.0;47.0;744.0;444.0;41.0;218.0
51.0;270.0;-973.0;1081.0;-324.0;990.0;-843.0;45.0;764.0;444.0;56.0;209.0
52.0;258.0;-974.0;1089.0;-311.0;986.0;-842.0;39.0;747.0;453.0;56.0;229.0
54.0;277.0;-973.0;1068.0;-297.0;974.0;-840.0;49.0;742.0;453.0;32.0;221.0
53.0;270.0;-973.0;1084.0;-315.0;987.0;-839.0;37.0;772.0;454.0;51.0;233.0
54.0;268.0;-973.0;1084.0;-295.0;982.0;-839.0;33.0;755.0;456.0;66.0;229.0
46.0;258.0;-971.0;1084.0;-314.0;979.0;-837.0;35.0;745.0;459.0;39.0;229.0
53.0;271.0;-968.0;1085.0;-272.0;972.0;-836.0;50.0;735.0;456.0;69.0;219.0
50.0;253.0;-977.0;1074.0;-295.0;971.0;-847.0;45.0;759.0;447.0;41.0;229.0
46.0;244.0;-975.0;1069.0;-327.0;971.0;-840.0;48.0;770.0;443.0;70.0;228.0
43.0;260.0;-966.0;1103.0;-295.0;971.0;-837.0;46.0;766.0;439.0;37.0;220.0
47.0;271.0;-977.0;1056.0;-318.0;981.0;-845.0;42.0;751.0;439.0;32.0;220.0
52.0;255.0;-960.0;1067.0;-297.0;970.0;-829.0;47.0;786.0;434.0;37.0;224.0
39.0;243.0;-961.0;1087.0;-307.0;972.0;-831.0;48.0;809.0;436.0;33.0;221.0
41.0;258.0;-970.0;1099.0;-333.0;981.0;-838.0;23.0;783.0;441.0;56.0;220.0
57.0;228.0;-985.0;1110.0;-338.0;995.0;-854.0;-8.0;775.0;443.0;55.0;219.0
80.0;237.0;-1000.0;1110.0;-372.0;1013.0;-872.0;1.0;756.0;448.0;60.0;196.0
73.0;226.0;-1001.0;1086.0;-353.0;1017.0;-872.0;7.0;782.0;461.0;82.0;179.0
75.0;230.0;-988.0;1074.0;-333.0;994.0;-862.0;-21.0;745.0;461.0;55.0;176.0
81.0;242.0;-974.0;1047.0;-335.0;990.0;-844.0;-5.0;731.0;475.0;87.0;175.0
89.0;259.0;-976.0;1043.0;-343.0;994.0;-844.0;18.0;735.0;460.0;78.0;203.0
88.0;257.0;-958.0;1051.0;-372.0;958.0;-824.0;40.0;753.0;450.0;59.0;212.0
67.0;252.0;-962.0;1063.0;-342.0;967.0;-826.0;1.0;764.0;431.0;77.0;226.0
78.0;246.0;-957.0;1049.0;-316.0;962.0;-822.0;37.0;765.0;430.0;73.0;221.0
80.0;246.0;-968.0;1066.0;-346.0;970.0;-832.0;-10.0;770.0;431.0;50.0;193.0
74.0;254.0;-983.0;1087.0;-336.0;971.0;-850.0;-11.0;751.0;446.0;70.0;199.0
103.0;256.0;-981.0;1103.0;-309.0;991.0;-848.0;29.0;745.0;464.0;57.0;188.0
74.0;264.0;-961.0;1072.0;-304.0;967.0;-833.0;18.0;746.0;463.0;63.0;191.0
76.0;264.0;-965.0;1079.0;-284.0;978.0;-836.0;43.0;764.0;457.0;59.0;194.0
39.0;270.0;-1013.0;1105.0;-304.0;1001.0;-870.0;54.0;735.0;443.0;46.0;257.0
46.0;252.0;-1012.0;1108.0;-303.0;1020.0;-870.0;27.0;774.0;460.0;60.0;261.0
47.0;238.0;-990.0;1095.0;-321.0;999.0;-850.0;20.0;762.0;474.0;42.0;246.0
48.0;227.0;-982.0;1103.0;-349.0;1009.0;-849.0;10.0;766.0;483.0;49.0;198.0
44.0;243.0;-988.0;1090.0;-304.0;999.0;-860.0;-6.0;757.0;494.0;60.0;180.0
61.0;214.0;-990.0;1093.0;-311.0;1017.0;-862.0;-12.0;728.0;493.0;61.0;167.0
75.0;227.0;-978.0;1094.0;-306.0;990.0;-847.0;-6.0;747.0;454.0;69.0;194.0
80.0;222.0;-989.0;1088.0;-323.0;999.0;-852.0;-3.0;753.0;462.0;70.0;197.0
97.0;254.0;-984.0;1091.0;-338.0;978.0;-847.0;-11.0;755.0;475.0;90.0;193.0
95.0;250.0;-983.0;1082.0;-355.0;985.0;-846.0;-8.0;769.0;487.0;80.0;186.0
89.0;246.0;-989.0;1079.0;-334.0;1006.0;-853.0;-9.0;768.0;488.0;92.0;186.0
88.0;247.0;-986.0;1079.0;-311.0;988.0;-852.0;-3.0;763.0;494.0;89.0;185.0
93.0;247.0;-983.0;1088.0;-313.0;1003.0;-847.0;17.0;759.0;487.0;89.0;187.0
91.0;247.0;-981.0;1081.0;-333.0;1010.0;-848.0;10.0;747.0;479.0;75.0;190.0
83.0;247.0;-981.0;1060.0;-322.0;1000.0;-847.0;9.0;737.0;470.0;66.0;196.0
82.0;258.0;-974.0;1071.0;-297.0;986.0;-841.0;20.0;728.0;460.0;58.0;200.0
77.0;278.0;-970.0;1080.0;-272.0;987.0;-837.0;28.0;724.0;452.0;61.0;205.0
75.0;274.0;-968.0;1078.0;-285.0;969.0;-836.0;29.0;743.0;446.0;54.0;213.0
72.0;270.0;-972.0;1053.0;-275.0;974.0;-837.0;41.0;745.0;442.0;48.0;222.0
75.0;275.0;-962.0;1058.0;-304.0;947.0;-827.0;46.0;745.0;439.0;57.0;233.0
75.0;268.0;-958.0;1078.0;-280.0;955.0;-820.0;36.0;745.0;441.0;68.0;235.0
123.0;375.0;-841.0;1002.0;-391.0;1021.0;-683.0;-22.0;575.0;437.0;45.0;214.0
127.0;341.0;-938.0;993.0;-384.0;1030.0;-780.0;30.0;609.0;384.0;125.0;281.0
124.0;116.0;-913.0;965.0;-198.0;950.0;-839.0;97.0;750.0;364.0;-42.0;81.0
304.0;224.0;-890.0;982.0;-366.0;876.0;-826.0;-91.0;666.0;350.0;84.0;48.0
253.0;239.0;-941.0;1156.0;-408.0;836.0;-919.0;-91.0;824.0;409.0;89.0;-78.0
240.0;364.0;-1044.0;1064.0;-357.0;916.0;-875.0;25.0;666.0;453.0;123.0;312.0
230.0;379.0;-953.0;1050.0;-327.0;879.0;-777.0;-3.0;672.0;503.0;109.0;304.0
215.0;76.0;-864.0;1028.0;-216.0;1087.0;-694.0;53.0;748.0;495.0;62.0;266.0
127.0;373.0;-892.0;1018.0;-386.0;887.0;-737.0;47.0;663.0;542.0;119.0;262.0
289.0;272.0;-908.0;969.0;-318.0;935.0;-811.0;-103.0;616.0;431.0;175.0;67.0
262.0;297.0;-890.0;974.0;-338.0;909.0;-762.0;-56.0;635.0;437.0;160.0;116.0
240.0;257.0;-863.0;961.0;-413.0;860.0;-713.0;-88.0;697.0;444.0;170.0;191.0
229.0;226.0;-859.0;996.0;-431.0;848.0;-700.0;-113.0;769.0;452.0;140.0;211.0
31.0;268.0;-935.0;1001.0;-257.0;794.0;-193.0;-54.0;369.0;296.0;-6.0;126.0
63.0;365.0;-867.0;1032.0;-398.0;926.0;-723.0;17.0;703.0;527.0;62.0;273.0
94.0;349.0;-892.0;1098.0;-404.0;951.0;-761.0;45.0;915.0;509.0;140.0;367.0
182.0;161.0;-1085.0;982.0;-220.0;1088.0;-916.0;80.0;725.0;615.0;115.0;347.0
231.0;261.0;-916.0;1024.0;-337.0;1009.0;-746.0;61.0;669.0;492.0;18.0;330.0
162.0;-56.0;-799.0;969.0;-232.0;544.0;-461.0;9.0;248.0;404.0;-41.0;-210.0
311.0;298.0;-840.0;927.0;-369.0;794.0;-764.0;-33.0;652.0;584.0;83.0;38.0
-27.0;374.0;-1004.0;1406.0;-496.0;1076.0;-891.0;32.0;905.0;316.0;-13.0;229.0
301.0;256.0;-892.0;1037.0;-331.0;851.0;-669.0;-75.0;520.0;594.0;117.0;87.0
277.0;268.0;-897.0;1045.0;-330.0;860.0;-631.0;-67.0;548.0;589.0;108.0;124.0
146.0;247.0;-916.0;1133.0;-502.0;995.0;-758.0;-57.0;698.0;375.0;211.0;204.0
-4.0;288.0;-1001.0;1102.0;-382.0;971.0;-745.0;158.0;653.0;522.0;30.0;224.0
210.0;264.0;-797.0;1015.0;-258.0;812.0;-708.0;-14.0;604.0;366.0;121.0;106.0
185.0;300.0;-857.0;974.0;-269.0;836.0;-730.0;-27.0;692.0;352.0;93.0;201.0
179.0;293.0;-899.0;978.0;-246.0;886.0;-752.0;-35.0;871.0;362.0;70.0;259.0
10.0;125.0;-956.0;1010.0;-536.0;935.0;-882.0;-333.0;622.0;327.0;208.0;36.0
231.0;226.0;-836.0;768.0;-232.0;677.0;-756.0;-8.0;605.0;478.0;160.0;143.0
267.0;128.0;-971.0;1114.0;-308.0;1004.0;-763.0;-57.0;766.0;583.0;140.0;121.0
-37.0;332.0;-931.0;1183.0;-227.0;974.0;-758.0;55.0;706.0;415.0;-19.0;337.0
