Accelerometer LUA_ accX;Accelerometer LWR accX;InertialMeasurementUnit LLA accZ;Accelerometer LH accZ;Accelerometer LWR accZ
39.0;-335.0;41.0;82.0;400.0
18.0;-342.0;23.0;118.0;401.0
-13.0;-333.0;22.0;83.0;389.0
27.0;-340.0;8.0;65.0;403.0
36.0;-361.0;-1.0;45.0;392.0
-42.0;-344.0;3.0;36.0;378.0
61.0;-339.0;2.0;42.0;406.0
-10.0;-312.0;-5.0;80.0;344.0
-15.0;-319.0;-8.0;87.0;353.0
-20.0;-331.0;-9.0;113.0;365.0
32.0;-283.0;35.0;59.0;430.0
35.0;-300.0;27.0;53.0;425.0
39.0;-321.0;32.0;41.0;404.0
0.0;-337.0;-12.0;117.0;336.0
-16.0;-333.0;-14.0;110.0;358.0
-20.0;-338.0;-25.0;97.0;368.0
0.0;-332.0;-28.0;88.0;352.0
-9.0;-339.0;-27.0;81.0;349.0
-24.0;-340.0;-25.0;72.0;363.0
-24.0;-344.0;-25.0;93.0;383.0
37.0;-282.0;39.0;50.0;394.0
68.0;-302.0;22.0;66.0;427.0
48.0;-303.0;16.0;73.0;415.0
39.0;-298.0;24.0;21.0;417.0
12.0;-300.0;53.0;41.0;392.0
63.0;-322.0;6.0;35.0;405.0
39.0;-332.0;8.0;62.0;416.0
66.0;-336.0;15.0;41.0;423.0
12.0;-352.0;-16.0;134.0;397.0
1.0;-350.0;-21.0;138.0;373.0
124.0;-382.0;24.0;96.0;433.0
67.0;-348.0;16.0;87.0;433.0
45.0;-340.0;10.0;71.0;435.0
48.0;-331.0;19.0;70.0;424.0
62.0;-348.0;21.0;70.0;440.0
0.0;-342.0;-15.0;147.0;382.0
54.0;-341.0;19.0;55.0;443.0
63.0;-340.0;32.0;54.0;443.0
24.0;-311.0;25.0;66.0;423.0
35.0;-309.0;30.0;74.0;414.0
48.0;-289.0;28.0;55.0;397.0
14.0;-301.0;-22.0;89.0;344.0
7.0;-304.0;-21.0;82.0;333.0
45.0;-291.0;33.0;41.0;385.0
1.0;-349.0;-16.0;139.0;379.0
49.0;-305.0;34.0;20.0;405.0
42.0;-309.0;37.0;43.0;404.0
-18.0;-349.0;-21.0;97.0;353.0
19.0;-409.0;40.0;123.0;452.0
21.0;-301.0;33.0;21.0;399.0
13.0;-356.0;-24.0;123.0;385.0
27.0;-302.0;26.0;19.0;404.0
-18.0;-362.0;-8.0;77.0;389.0
39.0;-301.0;25.0;38.0;432.0
29.0;-303.0;23.0;18.0;390.0
40.0;-293.0;20.0;38.0;428.0
14.0;-398.0;8.0;62.0;396.0
-14.0;-364.0;-35.0;33.0;432.0
38.0;-276.0;22.0;41.0;409.0
-17.0;-364.0;-27.0;31.0;438.0
-10.0;-354.0;-6.0;130.0;365.0
18.0;-335.0;-20.0;14.0;442.0
9.0;-335.0;-22.0;110.0;366.0
39.0;-366.0;-22.0;89.0;385.0
50.0;-370.0;-32.0;44.0;398.0
29.0;-339.0;-38.0;79.0;383.0
7.0;-311.0;-22.0;85.0;414.0
40.0;-353.0;-10.0;54.0;428.0
7.0;-362.0;-3.0;22.0;403.0
-218.0;-425.0;-103.0;-120.0;449.0
6.0;-280.0;17.0;29.0;433.0
27.0;-294.0;20.0;12.0;434.0
19.0;-333.0;29.0;35.0;420.0
-1.0;-313.0;37.0;61.0;402.0
1.0;-320.0;39.0;51.0;426.0
38.0;-334.0;31.0;74.0;450.0
19.0;-348.0;36.0;57.0;431.0
-11.0;-339.0;16.0;44.0;410.0
-20.0;-322.0;15.0;93.0;408.0
-29.0;-325.0;18.0;70.0;405.0
-14.0;-356.0;11.0;106.0;366.0
3.0;-343.0;10.0;109.0;374.0
15.0;-348.0;6.0;78.0;373.0
11.0;-350.0;-2.0;88.0;404.0
-24.0;-311.0;-4.0;111.0;385.0
-21.0;-323.0;0.0;105.0;416.0
16.0;-332.0;-8.0;58.0;415.0
64.0;-342.0;-11.0;40.0;424.0
25.0;-332.0;-2.0;51.0;428.0
28.0;-302.0;3.0;62.0;429.0
12.0;-316.0;13.0;45.0;452.0
19.0;-351.0;22.0;27.0;432.0
-28.0;-333.0;16.0;77.0;384.0
-39.0;-316.0;18.0;69.0;399.0
-37.0;-331.0;16.0;87.0;389.0
10.0;-328.0;15.0;68.0;416.0
39.0;-355.0;8.0;38.0;436.0
24.0;-353.0;8.0;39.0;415.0
-24.0;-295.0;0.0;81.0;366.0
5.0;-302.0;-9.0;31.0;364.0
4.0;-327.0;3.0;86.0;387.0
-11.0;-335.0;6.0;74.0;413.0
10.0;-344.0;10.0;46.0;415.0
86.0;-269.0;-119.0;-95.0;517.0
11.0;-374.0;1.0;79.0;390.0
47.0;-337.0;23.0;50.0;426.0
31.0;-295.0;45.0;73.0;442.0
-3.0;-328.0;31.0;51.0;449.0
42.0;-298.0;26.0;41.0;408.0
-9.0;-354.0;0.0;112.0;383.0
9.0;-330.0;-1.0;18.0;461.0
26.0;-320.0;-1.0;38.0;448.0
59.0;-304.0;43.0;61.0;428.0
22.0;-323.0;49.0;60.0;421.0
48.0;-295.0;27.0;43.0;420.0
29.0;-290.0;33.0;37.0;417.0
39.0;-309.0;43.0;59.0;384.0
19.0;-310.0;49.0;77.0;373.0
31.0;-311.0;39.0;80.0;392.0
26.0;-305.0;30.0;52.0;417.0
22.0;-292.0;30.0;29.0;410.0
26.0;-309.0;47.0;52.0;384.0
4.0;-311.0;34.0;47.0;394.0
20.0;-322.0;35.0;62.0;394.0
26.0;-340.0;23.0;44.0;405.0
10.0;-316.0;9.0;49.0;402.0
-7.0;-318.0;15.0;43.0;409.0
24.0;-339.0;15.0;41.0;404.0
15.0;-335.0;20.0;51.0;389.0
16.0;-346.0;15.0;52.0;418.0
12.0;-302.0;9.0;63.0;390.0
10.0;-323.0;11.0;57.0;387.0
19.0;-343.0;10.0;53.0;397.0
27.0;-338.0;21.0;39.0;392.0
2.0;-335.0;14.0;3.0;438.0
33.0;-328.0;13.0;22.0;426.0
40.0;-341.0;16.0;32.0;434.0
31.0;-305.0;25.0;24.0;414.0
9.0;-292.0;19.0;22.0;434.0
19.0;-303.0;17.0;53.0;394.0
7.0;-312.0;20.0;75.0;374.0
0.0;-319.0;20.0;42.0;396.0
1.0;-329.0;14.0;50.0;385.0
0.0;-350.0;11.0;68.0;409.0
0.0;-347.0;15.0;65.0;378.0
-13.0;-360.0;13.0;71.0;389.0
-11.0;-338.0;8.0;100.0;386.0
32.0;-328.0;5.0;93.0;401.0
-1.0;-342.0;21.0;-13.0;439.0
10.0;-321.0;25.0;16.0;431.0
9.0;-322.0;22.0;54.0;431.0
-12.0;-313.0;22.0;38.0;399.0
-16.0;-310.0;21.0;65.0;386.0
33.0;-328.0;16.0;76.0;367.0
34.0;-349.0;22.0;118.0;365.0
1.0;-340.0;14.0;91.0;365.0
22.0;-321.0;8.0;39.0;396.0
17.0;-321.0;34.0;39.0;395.0
2.0;-301.0;32.0;43.0;407.0
19.0;-319.0;15.0;76.0;358.0
30.0;-308.0;13.0;73.0;347.0
37.0;-300.0;16.0;62.0;377.0
17.0;-309.0;16.0;47.0;411.0
7.0;-321.0;12.0;28.0;405.0
4.0;-302.0;15.0;19.0;413.0
24.0;-322.0;18.0;18.0;414.0
31.0;-331.0;23.0;36.0;424.0
20.0;-330.0;23.0;42.0;412.0
8.0;-318.0;22.0;49.0;416.0
10.0;-310.0;27.0;70.0;407.0
21.0;-313.0;22.0;70.0;391.0
28.0;-329.0;23.0;30.0;378.0
-21.0;-334.0;18.0;55.0;401.0
-32.0;-285.0;7.0;73.0;405.0
7.0;-307.0;16.0;81.0;393.0
29.0;-320.0;18.0;65.0;381.0
10.0;-337.0;12.0;62.0;377.0
-13.0;-350.0;-2.0;62.0;384.0
0.0;-327.0;6.0;54.0;395.0
7.0;-315.0;-2.0;65.0;392.0
3.0;-330.0;5.0;32.0;384.0
5.0;-337.0;1.0;50.0;397.0
-10.0;-323.0;-7.0;30.0;391.0
24.0;-306.0;-14.0;24.0;419.0
33.0;-337.0;0.0;26.0;425.0
12.0;-333.0;10.0;27.0;397.0
-1.0;-311.0;9.0;59.0;374.0
-10.0;-311.0;22.0;60.0;403.0
3.0;-312.0;19.0;69.0;373.0
-21.0;-321.0;16.0;71.0;368.0
-3.0;-324.0;15.0;79.0;334.0
11.0;-361.0;16.0;91.0;378.0
16.0;-344.0;14.0;70.0;380.0
7.0;-324.0;7.0;37.0;393.0
17.0;-345.0;1.0;14.0;402.0
28.0;-332.0;-2.0;76.0;388.0
13.0;-337.0;-3.0;101.0;402.0
-2.0;-323.0;-6.0;67.0;369.0
8.0;-327.0;-1.0;96.0;376.0
28.0;-317.0;-4.0;89.0;370.0
10.0;-331.0;0.0;25.0;390.0
10.0;-315.0;3.0;61.0;386.0
-12.0;-318.0;0.0;64.0;384.0
-4.0;-322.0;8.0;71.0;367.0
20.0;-311.0;7.0;78.0;391.0
5.0;-331.0;9.0;67.0;414.0
0.0;-348.0;7.0;79.0;383.0
2.0;-320.0;11.0;98.0;374.0
18.0;-347.0;6.0;54.0;374.0
5.0;-356.0;6.0;42.0;391.0
-17.0;-336.0;-3.0;41.0;419.0
12.0;-343.0;-4.0;69.0;405.0
9.0;-334.0;-4.0;29.0;414.0
-6.0;-329.0;7.0;55.0;419.0
28.0;-309.0;12.0;46.0;415.0
2.0;-324.0;18.0;43.0;396.0
18.0;-289.0;24.0;59.0;374.0
29.0;-315.0;16.0;92.0;373.0
-7.0;-344.0;29.0;76.0;375.0
-28.0;-297.0;26.0;63.0;372.0
30.0;-332.0;59.0;64.0;456.0
-5.0;-379.0;16.0;106.0;374.0
-22.0;-315.0;3.0;65.0;396.0
10.0;-298.0;-5.0;60.0;378.0
3.0;-347.0;3.0;61.0;371.0
10.0;-339.0;8.0;88.0;381.0
16.0;-309.0;-14.0;111.0;395.0
17.0;-325.0;-2.0;60.0;390.0
38.0;-323.0;10.0;71.0;392.0
-7.0;-355.0;-2.0;34.0;425.0
14.0;-318.0;18.0;71.0;392.0
20.0;-309.0;9.0;67.0;426.0
10.0;-332.0;12.0;7.0;410.0
-18.0;-323.0;21.0;43.0;440.0
33.0;-326.0;17.0;90.0;418.0
34.0;-359.0;33.0;96.0;423.0
4.0;-305.0;17.0;47.0;386.0
7.0;-283.0;3.0;35.0;365.0
33.0;-304.0;1.0;87.0;375.0
23.0;-336.0;23.0;91.0;385.0
-4.0;-345.0;14.0;52.0;396.0
1.0;-318.0;6.0;43.0;405.0
5.0;-339.0;3.0;20.0;422.0
14.0;-331.0;14.0;27.0;433.0
74.0;-309.0;40.0;-32.0;474.0
10.0;-341.0;-64.0;49.0;404.0
48.0;-320.0;52.0;-89.0;505.0
29.0;-307.0;34.0;64.0;439.0
29.0;-307.0;35.0;75.0;421.0
17.0;-326.0;39.0;77.0;390.0
5.0;-326.0;37.0;73.0;367.0
1.0;-379.0;-56.0;107.0;436.0
-3.0;-302.0;29.0;69.0;364.0
29.0;-313.0;34.0;27.0;402.0
-7.0;-322.0;19.0;49.0;405.0
28.0;-310.0;30.0;42.0;406.0
48.0;-289.0;22.0;69.0;412.0
28.0;-317.0;45.0;68.0;421.0
48.0;-319.0;19.0;80.0;398.0
18.0;-337.0;42.0;52.0;371.0
-1.0;-317.0;23.0;36.0;369.0
3.0;-308.0;25.0;88.0;363.0
20.0;-350.0;20.0;75.0;394.0
21.0;-330.0;21.0;86.0;386.0
31.0;-332.0;1.0;58.0;411.0
26.0;-314.0;10.0;40.0;387.0
12.0;-293.0;15.0;59.0;413.0
20.0;-305.0;10.0;61.0;410.0
27.0;-334.0;20.0;29.0;432.0
9.0;-325.0;14.0;-1.0;416.0
18.0;-320.0;21.0;0.0;438.0
25.0;-320.0;21.0;0.0;440.0
40.0;-325.0;31.0;18.0;454.0
12.0;-345.0;35.0;51.0;433.0
10.0;-338.0;35.0;60.0;459.0
0.0;-341.0;33.0;46.0;402.0
1.0;-333.0;26.0;64.0;410.0
10.0;-321.0;26.0;59.0;422.0
6.0;-330.0;25.0;63.0;415.0
-7.0;-331.0;19.0;52.0;414.0
27.0;-331.0;18.0;58.0;405.0
24.0;-330.0;10.0;48.0;424.0
19.0;-319.0;12.0;37.0;426.0
18.0;-325.0;13.0;79.0;430.0
20.0;-342.0;11.0;42.0;412.0
14.0;-319.0;18.0;20.0;409.0
4.0;-316.0;18.0;20.0;411.0
-3.0;-315.0;19.0;34.0;425.0
16.0;-320.0;23.0;52.0;430.0
19.0;-338.0;20.0;49.0;427.0
19.0;-342.0;28.0;36.0;435.0
29.0;-325.0;26.0;30.0;445.0
27.0;-321.0;31.0;26.0;435.0
4.0;-320.0;22.0;18.0;433.0
36.0;-349.0;27.0;21.0;443.0
-4.0;-340.0;25.0;18.0;424.0
14.0;-332.0;34.0;28.0;435.0
-8.0;-340.0;32.0;38.0;445.0
14.0;-340.0;33.0;43.0;451.0
31.0;-323.0;31.0;29.0;441.0
28.0;-316.0;27.0;61.0;424.0
26.0;-327.0;30.0;61.0;402.0
9.0;-303.0;32.0;58.0;419.0
29.0;-302.0;8.0;79.0;384.0
28.0;-311.0;11.0;58.0;366.0
18.0;-292.0;12.0;49.0;385.0
22.0;-282.0;5.0;51.0;405.0
31.0;-310.0;16.0;45.0;414.0
22.0;-337.0;24.0;5.0;416.0
6.0;-323.0;27.0;17.0;439.0
22.0;-341.0;29.0;41.0;441.0
22.0;-330.0;37.0;22.0;448.0
-3.0;-340.0;35.0;50.0;447.0
16.0;-328.0;39.0;28.0;424.0
6.0;-360.0;37.0;31.0;431.0
5.0;-333.0;32.0;70.0;429.0
29.0;-324.0;33.0;79.0;416.0
19.0;-340.0;27.0;74.0;400.0
38.0;-325.0;19.0;77.0;375.0
28.0;-312.0;29.0;73.0;404.0
21.0;-312.0;28.0;54.0;422.0
10.0;-296.0;24.0;57.0;392.0
38.0;-291.0;28.0;83.0;382.0
11.0;-302.0;19.0;64.0;367.0
21.0;-286.0;25.0;62.0;422.0
40.0;-302.0;25.0;38.0;416.0
28.0;-312.0;19.0;67.0;376.0
20.0;-310.0;11.0;92.0;388.0
25.0;-330.0;12.0;54.0;402.0
2.0;-330.0;15.0;70.0;397.0
-1.0;-315.0;11.0;71.0;418.0
9.0;-330.0;11.0;57.0;431.0
33.0;-321.0;18.0;4.0;426.0
60.0;-372.0;36.0;19.0;426.0
40.0;-377.0;24.0;68.0;411.0
39.0;-298.0;19.0;27.0;422.0
23.0;-341.0;7.0;76.0;377.0
17.0;-361.0;-46.0;63.0;357.0
38.0;-318.0;21.0;39.0;413.0
8.0;-399.0;-119.0;104.0;391.0
44.0;-313.0;15.0;33.0;452.0
75.0;-270.0;36.0;80.0;382.0
33.0;-361.0;-41.0;64.0;371.0
42.0;-311.0;13.0;30.0;420.0
46.0;-310.0;24.0;29.0;404.0
34.0;-305.0;13.0;61.0;384.0
50.0;-316.0;19.0;81.0;437.0
37.0;-318.0;21.0;37.0;378.0
54.0;-316.0;23.0;80.0;419.0
51.0;-322.0;31.0;85.0;409.0
35.0;-321.0;24.0;31.0;394.0
11.0;-348.0;2.0;66.0;371.0
13.0;-372.0;-40.0;98.0;329.0
47.0;-266.0;34.0;-12.0;417.0
-19.0;-383.0;-30.0;82.0;378.0
13.0;-385.0;-27.0;91.0;404.0
62.0;-425.0;62.0;144.0;439.0
66.0;-297.0;-72.0;151.0;392.0
67.0;-325.0;2.0;94.0;375.0
33.0;-300.0;7.0;99.0;402.0
70.0;-327.0;49.0;57.0;426.0
31.0;-303.0;22.0;20.0;435.0
21.0;-303.0;19.0;9.0;428.0
50.0;-293.0;-25.0;101.0;397.0
27.0;-292.0;43.0;50.0;403.0
11.0;-303.0;30.0;65.0;412.0
31.0;-311.0;23.0;78.0;367.0
15.0;-327.0;23.0;84.0;392.0
24.0;-333.0;28.0;70.0;364.0
31.0;-316.0;18.0;91.0;389.0
46.0;-341.0;16.0;51.0;377.0
46.0;-310.0;8.0;81.0;361.0
53.0;-293.0;0.0;58.0;393.0
11.0;-279.0;1.0;49.0;368.0
-9.0;-278.0;-1.0;26.0;410.0
125.0;-230.0;24.0;-32.0;428.0
28.0;-335.0;19.0;21.0;380.0
38.0;-290.0;41.0;63.0;393.0
0.0;-321.0;38.0;69.0;365.0
12.0;-320.0;32.0;57.0;384.0
10.0;-303.0;37.0;58.0;374.0
29.0;-319.0;28.0;62.0;404.0
52.0;-283.0;10.0;4.0;469.0
13.0;-313.0;14.0;21.0;406.0
18.0;-299.0;21.0;40.0;426.0
36.0;-326.0;25.0;58.0;423.0
2.0;-327.0;35.0;77.0;415.0
-14.0;-347.0;20.0;63.0;396.0
6.0;-336.0;30.0;48.0;383.0
12.0;-326.0;23.0;43.0;409.0
0.0;-287.0;15.0;72.0;368.0
18.0;-313.0;19.0;63.0;414.0
10.0;-350.0;18.0;64.0;358.0
22.0;-331.0;7.0;45.0;384.0
39.0;-311.0;6.0;50.0;375.0
55.0;-309.0;12.0;26.0;416.0
59.0;-289.0;3.0;74.0;386.0
9.0;-281.0;2.0;74.0;373.0
30.0;-283.0;10.0;51.0;363.0
17.0;-278.0;23.0;61.0;367.0
16.0;-271.0;18.0;59.0;378.0
27.0;-297.0;23.0;25.0;392.0
25.0;-282.0;26.0;66.0;380.0
36.0;-305.0;13.0;41.0;426.0
7.0;-289.0;38.0;11.0;411.0
-7.0;-301.0;38.0;35.0;399.0
8.0;-307.0;36.0;78.0;371.0
1.0;-337.0;38.0;100.0;384.0
10.0;-349.0;33.0;85.0;384.0
8.0;-360.0;24.0;64.0;394.0
-12.0;-351.0;11.0;90.0;405.0
4.0;-328.0;8.0;50.0;398.0
7.0;-306.0;0.0;76.0;337.0
28.0;-291.0;13.0;24.0;388.0
-10.0;-468.0;-119.0;170.0;339.0
31.0;-318.0;5.0;35.0;401.0
31.0;-421.0;-32.0;119.0;397.0
97.0;-452.0;-52.0;85.0;511.0
38.0;-294.0;36.0;32.0;442.0
-77.0;-410.0;42.0;147.0;463.0
48.0;-312.0;4.0;52.0;404.0
78.0;-356.0;-20.0;194.0;552.0
36.0;-292.0;7.0;30.0;415.0
35.0;-301.0;5.0;29.0;422.0
19.0;-294.0;13.0;21.0;415.0
26.0;-329.0;9.0;51.0;359.0
13.0;-373.0;-23.0;135.0;388.0
20.0;-314.0;20.0;27.0;410.0
11.0;-323.0;24.0;9.0;426.0
9.0;-314.0;36.0;25.0;432.0
-6.0;-353.0;22.0;87.0;364.0
19.0;-320.0;35.0;53.0;398.0
32.0;-313.0;55.0;34.0;403.0
30.0;-326.0;44.0;70.0;382.0
36.0;-327.0;55.0;62.0;386.0
6.0;-358.0;21.0;85.0;371.0
30.0;-342.0;23.0;122.0;370.0
21.0;-316.0;55.0;75.0;381.0
46.0;-320.0;40.0;169.0;431.0
18.0;-335.0;9.0;78.0;350.0
29.0;-329.0;-3.0;105.0;373.0
34.0;-284.0;-22.0;39.0;461.0
30.0;-294.0;-8.0;101.0;372.0
47.0;-301.0;-7.0;81.0;385.0
26.0;-302.0;-9.0;76.0;336.0
21.0;-312.0;2.0;53.0;376.0
50.0;-331.0;4.0;66.0;381.0
63.0;-320.0;10.0;91.0;375.0
28.0;-338.0;19.0;81.0;370.0
10.0;-347.0;16.0;103.0;367.0
58.0;-370.0;-31.0;114.0;436.0
28.0;-291.0;-9.0;71.0;433.0
