InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
-36;-62;41;642;62;-36
11;53;-19;688;-53;11
-19;-62;55;623;62;-19
-47;-200;-145;826;200;-47
-36;-740;-435;1072;740;-36
-21;-1915;-103;734;1915;-21
30;-2128;24;599;2128;30
11;-1950;-52;588;1950;11
-14;-1933;161;309;1933;-14
19;-1665;170;264;1665;19
-18;-1361;108;213;1361;-18
-49;-1073;172;127;1073;-49
-22;-1019;118;219;1019;-22
-15;-369;163;-25;369;-15
10;288;157;-36;-288;10
50;83;17;294;-83;50
35;-56;46;218;56;35
6;-41;13;211;41;6
16;-66;-25;276;66;16
34;-102;25;222;102;34
26;-121;9;243;121;26
-25;-129;13;237;129;-25
-36;-166;61;190;166;-36
3;-94;65;158;94;3
-9;-48;63;146;48;-9
28;-81;8;197;81;28
66;-3;113;127;3;66
19;150;12;206;-150;19
23;177;51;172;-177;23
40;199;254;38;-199;40
5;409;-255;416;-409;5
-31;341;640;-284;-341;-31
-17;848;-431;595;-848;-17
-8;1235;1341;-918;-1235;-8
-17;2899;2292;-2059;-2899;-17
35;5425;-6144;4561;-5425;35
30;2191;-3905;3662;-2191;30
-24;-669;1644;-371;669;-24
-2;402;-735;1212;-402;-2
-10;-43;157;572;43;-10
-40;-139;147;563;139;-40
23;89;-228;827;-89;23
41;-54;226;509;54;41
-26;51;-106;740;-51;-26
5;-22;82;604;22;5
55;14;14;658;-14;55
?;15;8;663;-15;28
?;6;29;649;-6;40
?;14;17;654;-14;30
?;23;18;656;-23;-4
?;-12;18;653;12;24
?;-10;14;661;10;22
?;-2;15;667;2;-29
?;-49;-8;670;49;-35
?;-102;-22;714;102;16
?;-666;-107;777;666;-10
?;-1134;-362;1009;1134;-48
?;-1288;-384;1074;1288;-26
?;?;-37;644;1836;-19
?;?;68;440;1851;16
?;?;-33;487;1539;3
-71;?;44;358;1488;-71
-58;?;165;207;1260;-58
-37;?;165;150;1002;-37
-58;?;93;171;754;-58
-25;-575;93;154;575;-25
-1;-456;115;132;456;-1
-22;-291;76;152;291;-22
2;-192;65;155;192;2
35;-168;75;161;168;35
35;-94;47;174;94;35
51;-9;42;177;9;51
79;-9;55;163;9;79
63;14;55;148;-14;63
20;54;52;164;-54;20
23;52;42;192;-52;23
54;81;43;187;-81;54
36;178;75;153;-178;36
-1;171;44;200;-171;-1
-5;294;110;120;-294;-5
?;214;59;185;-214;-7
?;363;66;223;-363;-7
?;642;195;91;-642;12
?;77;-73;390;-77;8
?;1406;625;-345;-1406;-22
?;1165;824;-531;-1165;-36
?;1924;1044;-783;-1924;-14
?;5316;2151;-1987;-5316;-12
?;1656;571;-113;-1656;-89
?;-781;-379;1059;781;-135
?;656;261;435;-656;-64
?;-216;-22;792;216;-9
?;-43;88;643;43;17
?;32;81;632;-32;53
18;-80;5;707;80;18
7;68;71;625;-68;7
36;-56;17;682;56;36
46;34;44;647;-34;46
33;11;36;657;-11;33
-4;-9;25;661;9;-4
12;-11;15;662;11;12
-9;-2;20;660;2;-9
-41;-36;12;675;36;-41
-21;-31;26;663;31;-21
4;-29;22;664;29;4
26;-75;-1;676;75;26
-2;-41;34;635;41;-2
18;-72;-34;703;72;18
38;-6;58;623;6;38
-41;-497;-99;762;497;-41
-58;-1627;-416;1043;1627;-58
-26;-2008;-58;677;2008;-26
-43;-1986;88;526;1986;-43
-40;-1943;34;578;1943;-40
-42;-1596;147;343;1596;-42
-54;-1344;54;328;1344;-54
-27;-1249;39;368;1249;-27
-9;-1145;73;262;1145;-9
12;-996;95;179;996;12
-5;-795;112;160;795;-5
-60;-649;92;154;649;-60
-41;-505;88;139;505;-41
-26;-237;76;104;237;-26
-36;-106;71;124;106;-36
17;-167;55;196;167;17
27;-95;71;133;95;27
4;67;88;104;-67;4
39;100;51;183;-100;39
47;99;29;182;-99;47
24;129;39;178;-129;24
1;122;53;159;-122;1
19;153;18;213;-153;19
17;-36;31;222;36;17
-4;53;84;116;-53;-4
23;296;87;133;-296;23
-3;50;57;213;-50;-3
-22;581;-18;204;-581;-22
-19;-185;125;211;185;-19
-40;1175;169;55;-1175;-40
?;855;410;-74;-855;-36
?;1064;1285;-990;?;-43
?;9111;1290;-1008;?;-68
-100;3551;359;2722;?;-100
-151;-3605;0;3047;?;-151
-189;1075;52;254;?;-189
-91;75;-2;722;?;-91
79;-369;8;784;369;79
76;352;26;505;-352;76
1;-353;6;793;353;1
-21;183;18;587;-183;-21
-9;-81;11;691;81;-9
35;-29;17;658;29;35
38;35;19;644;-35;38
35;-7;10;674;7;35
26;2;18;652;-2;26
-11;10;21;661;-10;-11
-39;1;19;661;-1;-39
-18;?;20;658;6;-18
3;?;13;665;2;3
-48;?;19;660;34;-48
-3;?;19;662;47;-3
43;?;13;652;30;43
-23;?;17;656;122;-23
0;?;-9;683;151;0
42;?;-70;725;190;42
7;?;-104;806;750;7
16;?;-40;722;1300;16
-2;-1264;36;581;1264;-2
-73;-1349;17;613;1349;-73
-88;-1618;15;553;1618;-88
-68;-1515;65;395;1515;-68
-22;-1422;56;368;1422;-22
-2;-1388;79;312;1388;-2
15;-1234;126;232;1234;15
47;-964;126;193;964;47
36;-776;103;173;776;36
52;-823;89;192;823;52
47;-375;153;73;375;47
39;67;79;94;-67;39
57;-13;10;238;13;57
23;-64;94;156;64;23
12;-120;21;128;120;12
40;-109;-28;193;109;40
5;-63;36;191;63;5
-14;-69;30;165;69;-14
23;16;25;169;-16;23
24;21;57;186;-21;24
14;-3;64;172;3;14
13;164;51;152;-164;13
-16;249;9;185;-249;-16
-24;189;85;128;-189;-24
-15;288;32;230;-288;-15
-26;241;43;208;-241;-26
-19;166;107;147;-166;-19
?;320;-85;400;-320;-23
?;-27;342;-144;27;-51
?;822;19;323;-822;-17
?;1522;993;-988;-1522;-16
?;5084;1853;-1578;-5084;-67
-48;9651;-1069;2785;-9651;-48
-106;3614;-1027;1972;-3614;-106
-187;-1294;355;-146;1294;-187
-57;511;-238;1074;-511;-57
90;-94;90;562;94;90
117;-15;40;636;15;117
115;132;-41;762;-132;115
57;-131;65;581;131;57
39;78;-18;724;-78;39
51;-80;34;631;80;51
-15;-3;15;665;3;-15
-28;-2;27;658;2;-28
17;-28;23;657;28;17
37;-2;22;653;2;37
53;-5;26;652;5;53
34;-14;19;662;14;34
6;17;17;659;-17;6
33;16;17;656;-16;33
?;28;13;664;-28;29
?;34;17;662;-34;-25
?;-31;21;655;31;-44
?;-24;19;657;24;33
?;13;20;658;-13;50
?;-25;18;656;25;-14
?;0;15;659;0;21
?;19;18;656;-19;-4
?;-7;22;653;7;11
?;-19;20;659;19;50
?;8;17;662;-8;-39
?;41;20;658;-41;-34
?;-20;?;657;20;2
15;1;?;657;-1;15
21;18;?;657;-18;21
-12;-20;?;658;20;-12
-5;5;?;660;-5;-5
6;-5;?;660;5;6
?;5;?;655;-5;2
?;-25;24;654;25;10
?;-44;23;655;44;-7
?;14;24;653;-14;-24
?;26;21;654;-26;15
31;44;21;657;-44;31
-8;36;21;659;-36;-8
-16;-13;19;659;13;-16
-36;-6;16;663;6;-36
-26;30;19;662;-30;-26
25;16;26;656;-16;25
-12;-8;19;660;8;-12
-36;11;18;661;-11;-36
-10;7;24;654;-7;-10
13;-9;20;655;9;13
24;-7;15;658;7;24
-4;-7;20;660;7;-4
-10;19;21;660;-19;-10
5;23;16;658;-23;5
1;-17;15;664;17;1
9;-9;17;666;9;9
14;-12;19;659;12;14
5;-40;20;660;40;5
19;3;16;659;-3;19
29;15;14;656;-15;29
20;0;17;659;0;20
12;5;21;656;-5;12
-7;6;20;654;-6;-7
-26;25;11;658;-25;-26
-13;11;13;657;-11;-13
5;9;21;655;-9;5
-2;37;23;656;-37;-2
-18;14;22;655;-14;-18
-4;-6;18;658;6;-4
6;22;14;662;-22;6
-27;23;21;656;-23;-27
-36;8;25;657;-8;-36
-18;22;18;659;-22;-18
1;7;16;655;-7;1
37;-6;21;656;6;37
47;5;21;654;-5;47
31;-28;19;651;28;31
22;-36;21;654;36;22
28;-8;22;659;8;28
22;-6;19;659;6;?
-6;27;18;658;-27;?
-25;51;17;660;-51;?
-26;16;18;657;-16;-26
-26;-3;22;655;3;-26
?;-14;24;655;14;-26
?;-28;20;656;28;-26
?;4;21;658;-4;-27
?;19;25;650;-19;-19
?;-4;19;654;4;-6
?;?;17;657;4;-11
?;?;22;652;15;-18
?;?;20;657;28;-27
?;?;16;662;8;-17
?;?;13;657;?;-7
?;?;16;654;?;-45
?;?;18;657;?;7
?;?;18;656;10;23
?;?;19;656;7;-27
?;-7;16;660;7;12
-5;11;16;654;-11;-5
-12;15;22;649;-15;-12
10;17;21;652;-17;10
-10;11;15;657;-11;-10
21;18;17;655;-18;21
37;18;20;655;-18;37
1;-38;16;663;38;1
-2;-6;16;661;6;-2
5;9;14;660;-9;5
-11;-3;18;657;3;-11
-16;25;27;650;-25;-16
-33;-13;23;651;13;-33
-40;-8;20;654;8;-40
12;11;18;659;-11;12
12;2;?;656;-2;12
-18;19;?;652;-19;-18
6;14;?;660;?;6
7;4;?;658;?;7
6;4;19;?;?;6
33;2;15;?;?;33
24;7;18;?;?;24
-12;17;18;?;-17;-12
-4;26;16;?;-26;-4
24;27;15;?;-27;24
10;11;18;?;-11;10
7;0;15;?;0;7
15;7;13;?;-7;15
2;1;17;?;-1;2
-6;-7;18;660;7;-6
-22;2;17;658;-2;-22
-28;10;17;658;-10;-28
5;17;20;655;-17;5
-8;-11;14;660;11;-8
-23;-11;22;655;11;-23
-6;47;33;650;-47;-6
-31;45;5;679;-45;-31
-34;17;3;672;-17;-34
-53;10;20;652;-10;-53
-62;-18;13;661;18;-62
-32;-13;17;658;13;-32
2;24;24;656;-24;2
49;12;17;658;-12;49
-4;-6;17;655;6;-4
-11;21;24;?;-21;-11
29;18;21;?;-18;29
-10;5;18;?;-5;-10
-7;15;21;?;-15;-7
-8;-11;22;?;?;-8
-23;-13;21;?;?;-23
-1;17;18;?;?;-1
17;6;19;?;?;17
2;-20;21;654;20;2
-16;-20;21;656;20;-16
7;0;24;650;0;7
9;0;23;653;0;9
-42;-9;19;654;9;-42
-34;11;17;652;-11;-34
4;13;17;658;-13;4
-5;3;22;653;-3;-5
17;16;22;650;-16;17
19;3;18;653;-3;19
-1;19;18;653;-19;-1
7;31;24;651;-31;7
5;-20;23;652;20;5
5;-13;14;657;13;5
14;9;18;656;-9;14
49;-10;22;651;10;49
50;3;17;654;-3;50
50;12;?;658;-12;50
33;-8;?;658;?;33
-32;8;15;658;?;-32
5;30;18;656;?;5
18;7;21;656;?;18
-26;-11;21;654;?;-26
3;-6;20;652;?;3
4;4;16;654;?;4
-8;22;17;653;?;-8
13;18;19;659;?;13
3;-18;17;661;?;3
-17;-2;18;656;?;-17
25;54;23;656;?;25
17;48;17;662;-48;17
-54;0;12;661;0;-54
-9;-7;22;655;7;-9
12;19;24;654;-19;12
-23;21;19;655;?;-23
-15;1;26;652;?;-15
-25;3;23;656;?;-25
-5;15;14;657;?;-5
15;2;21;653;?;15
-9;-13;19;656;?;-9
4;-3;16;657;?;4
25;2;23;656;?;25
25;-17;17;656;?;25
30;-1;21;651;?;30
-13;34;23;653;?;-13
-68;-25;5;666;25;-68
-59;-24;0;?;24;-59
-34;24;19;?;-24;-34
-18;-6;26;?;6;-18
1;29;20;?;-29;1
5;9;22;?;-9;5
9;-16;21;?;16;9
32;19;15;?;-19;32
22;-9;17;?;9;22
-13;8;20;?;-8;-13
-11;24;16;?;-24;-11
0;-3;19;?;3;0
11;18;21;?;-18;11
11;?;19;?;-17;11
-17;?;19;654;31;-17
-18;?;12;661;33;-18
-15;?;9;662;24;-15
-9;?;19;658;40;-9
14;?;34;?;38;14
9;-43;35;?;43;9
-37;-29;24;?;29;-37
-27;28;20;?;-28;-27
23;36;22;?;-36;23
-19;15;21;?;-15;-19
13;33;17;?;-33;13
18;17;18;?;-17;18
-87;-8;23;?;8;-87
-47;21;22;?;-21;-47
-55;9;16;?;-9;-55
-76;-18;20;?;18;-76
-35;2;23;?;-2;-35
-22;14;19;?;-14;-22
4;14;18;658;-14;4
-28;14;17;660;-14;-28
-30;20;19;656;-20;-30
-8;27;22;653;-27;-8
-1;2;18;656;-2;-1
1;-17;17;653;17;1
-25;22;24;650;-22;-25
-3;28;23;653;-28;-3
0;-25;13;660;25;0
-25;-7;20;656;7;-25
-9;28;25;654;-28;-9
-19;0;21;655;0;-19
-9;1;24;652;-1;-9
37;23;17;656;-23;37
5;30;19;654;-30;5
10;39;28;647;-39;10
17;12;20;649;-12;17
-13;-19;20;652;19;-13
48;0;21;655;0;48
64;7;13;657;-7;64
47;-5;14;658;5;47
40;-4;21;656;4;40
39;?;22;656;-22;39
44;?;16;660;-23;44
17;?;14;657;16;17
25;?;23;651;-1;25
-2;?;24;649;-26;-2
-23;?;22;650;-20;-23
25;?;25;649;5;25
24;?;22;648;18;24
12;?;21;651;-11;12
29;2;18;658;-2;29
-1;-12;16;657;12;-1
-33;-7;16;654;7;-33
-8;-6;15;658;6;-8
4;14;20;656;-14;4
-6;?;25;650;-33;-6
9;?;23;652;-30;9
11;?;17;654;21;11
-17;?;17;654;38;-17
-37;-19;20;654;19;-37
-26;-30;21;652;30;-26
1;-6;22;655;6;1
5;28;22;655;-28;5
2;37;20;651;-37;2
-11;12;18;654;-12;-11
1;-7;17;658;7;1
25;3;22;652;-3;25
-8;0;24;649;0;-8
-10;26;18;653;-26;-10
20;26;14;657;-26;20
42;-1;19;657;1;42
30;30;22;653;-30;30
?;47;20;648;-47;5
?;29;17;652;-29;34
?;22;16;655;-22;10
?;26;21;651;-26;0
?;5;19;653;-5;13
?;6;17;658;-6;-5
?;25;21;658;-25;13
?;-3;16;659;3;0
7;-2;23;652;2;7
31;-5;22;654;5;31
6;-19;19;654;19;6
-5;-9;26;651;9;-5
4;-28;14;662;28;4
7;-18;14;660;18;7
0;-2;19;656;2;0
15;-8;15;658;8;15
24;22;15;655;-22;24
25;11;18;658;-11;25
36;-12;21;659;12;36
4;38;17;655;-38;4
2;17;17;653;-17;2
37;-49;20;653;49;37
16;-17;19;654;17;16
-6;?;18;656;-2;-6
-12;?;17;656;19;-12
-29;?;17;656;-4;-29
-7;?;20;654;-9;-7
-1;?;18;654;14;-1
-27;?;18;653;?;-27
15;?;19;654;?;15
50;?;16;661;?;50
19;?;19;655;?;19
23;?;20;652;?;23
-3;?;19;655;?;-3
-20;?;22;652;?;-20
35;?;17;661;?;35
14;?;18;660;?;14
13;?;24;650;?;13
50;?;20;653;-22;50
2;3;19;658;-3;2
-9;-6;23;656;6;-9
34;13;17;660;-13;34
6;5;13;661;-5;6
-6;4;18;656;-4;-6
37;-2;18;656;2;37
24;13;15;658;-13;24
18;34;15;660;-34;18
26;5;16;660;-5;26
-13;2;24;652;-2;-13
8;-10;22;656;10;8
25;-14;14;659;14;25
15;25;16;656;-25;15
23;34;18;660;-34;23
-30;16;20;653;-16;-30
-48;9;21;650;-9;-48
-15;25;18;656;-25;-15
-19;17;18;657;-17;-19
6;18;22;655;-18;6
12;23;19;656;-23;12
-16;-6;16;658;6;-16
32;0;20;654;0;32
26;-12;20;650;12;?
-37;-33;19;654;?;?
-14;3;18;657;?;-14
25;24;19;650;?;25
19;24;22;649;?;19
-11;20;19;655;?;-11
-12;2;25;653;-2;-12
-3;8;21;657;-8;-3
7;-5;13;661;5;7
-16;-30;21;652;30;-16
-50;6;18;656;-6;-50
-9;11;16;659;-11;-9
-36;0;20;655;0;-36
-45;20;19;656;-20;-45
-4;9;22;653;-9;-4
-16;2;22;652;?;-16
13;31;18;655;?;13
?;28;17;656;?;-33
?;-2;17;659;?;-75
?;12;21;655;?;-8
?;7;16;657;?;25
?;-30;8;668;?;16
?;?;20;656;?;-11
?;?;25;645;-25;-16
?;?;17;653;3;7
12;?;17;655;-14;12
4;?;19;656;-20;4
4;?;18;660;8;4
5;?;22;654;7;5
8;?;23;652;21;8
23;?;13;662;8;23
21;?;18;655;19;21
-9;?;22;651;11;-9
-18;?;15;658;-55;?
17;?;?;649;1;?
30;?;?;651;16;?
18;1;?;656;-1;?
15;-21;?;657;21;?
26;15;?;670;-15;?
18;-3;?;661;3;?
?;-41;?;633;41;?
?;?;?;635;23;?
?;?;28;647;-26;?
4;?;34;638;-43;?
17;?;32;639;-12;17
20;?;21;656;?;20
-32;?;18;655;-48;-32
?;?;14;658;-25;-16
?;-10;14;666;10;5
?;-19;21;656;19;-3
?;4;17;654;-4;37
?;43;15;659;-43;41
?;22;18;657;-22;15
?;-13;16;656;13;24
?;21;15;657;-21;22
?;32;19;653;-32;28
?;24;22;652;-24;25
?;47;22;657;-47;-13
?;11;20;657;-11;4
?;-18;24;652;18;12
?;-3;26;649;3;-8
?;4;21;653;-4;21
?;13;21;658;-13;15
?;3;22;656;-3;-23
?;15;16;655;-15;-18
-25;25;14;661;-25;-25
-37;8;21;658;-8;-37
-37;14;22;652;-14;-37
-28;-7;20;656;7;-28
4;-35;20;657;35;4
-10;-4;17;658;4;-10
22;-13;19;655;13;22
36;-26;23;654;26;36
-20;16;21;656;-16;-20
1;-5;?;652;5;1
17;-28;24;651;28;17
9;13;25;653;-13;9
-7;21;25;654;-21;-7
-13;13;21;653;-13;-13
5;12;21;652;-12;5
4;2;21;657;-2;4
17;26;17;657;-26;17
-2;37;18;653;-37;-2
6;15;19;656;-15;6
6;31;19;659;-31;6
-37;8;21;656;-8;-37
-11;-22;19;654;22;-11
-8;24;21;653;-24;-8
-18;-16;20;657;16;-18
2;-27;20;655;27;2
0;32;16;652;-32;0
-28;12;15;656;-12;-28
-40;21;24;657;-21;-40
4;8;16;659;-8;4
17;-23;15;658;23;17
16;6;17;657;-6;16
-7;-7;15;654;7;-7
-46;-30;22;652;30;-46
3;7;17;662;-7;3
26;12;16;661;-12;26
-7;-5;21;655;5;-7
-17;7;21;656;-7;-17
-15;-2;21;656;2;-15
-5;-9;18;658;9;-5
-5;2;17;658;-2;-5
3;-1;17;659;1;3
32;11;18;659;-11;32
27;6;20;657;-6;27
3;-9;19;658;9;3
4;2;?;660;-2;4
4;1;?;660;-1;4
17;12;20;657;-12;17
23;3;21;659;-3;23
-8;-7;16;658;7;-8
-28;15;15;656;-15;-28
-36;3;17;658;-3;-36
-40;-2;16;656;2;-40
-12;9;17;656;-9;-12
16;-17;12;659;17;16
9;-44;15;655;44;9
-6;-1;24;652;1;-6
3;26;20;656;-26;3
24;-31;21;654;31;24
14;-31;21;654;31;14
-1;10;13;660;-10;-1
-7;29;20;655;-29;-7
-5;33;23;652;-33;-5
4;5;17;658;-5;4
1;5;24;655;-5;1
16;20;21;653;-20;16
-2;9;16;653;-9;-2
-27;33;22;653;-33;-27
-16;19;18;660;-19;-16
-17;-38;16;659;38;-17
2;-19;21;655;19;2
-8;-12;18;657;12;-8
-5;-15;12;661;15;-5
30;2;16;660;-2;30
13;-20;23;656;20;13
11;-13;18;657;13;11
21;-4;14;660;4;21
-1;-14;20;656;14;-1
-2;-2;24;652;2;-2
3;18;20;652;-18;3
-16;35;19;656;-35;-16
-25;20;19;658;-20;-25
-32;-15;15;657;15;-32
-27;-15;17;657;15;-27
26;-10;20;655;10;26
14;-21;19;656;21;14
-26;-9;18;658;9;-26
10;10;19;655;-10;10
0;16;13;660;-16;0
9;0;12;659;0;9
21;-28;19;652;28;21
7;-15;22;654;15;7
35;2;21;654;-2;35
4;-18;20;656;18;4
-4;-6;?;658;6;-4
6;-3;?;650;3;6
11;-24;?;649;24;11
35;-3;?;656;3;35
7;33;?;656;-33;7
0;25;25;652;-25;0
8;-14;22;650;14;8
1;19;17;655;-19;1
7;44;17;660;-44;7
3;11;17;657;-11;3
-15;13;20;652;-13;-15
-12;-10;22;652;10;-12
7;-27;22;657;27;7
-4;-13;20;655;13;-4
1;-8;19;654;8;1
25;3;20;658;-3;25
-9;12;21;654;-12;-9
-34;15;21;653;-15;-34
3;1;19;654;-1;3
10;-11;15;658;11;10
-10;9;17;659;-9;-10
-5;23;21;654;-23;-5
3;5;?;657;-5;3
9;-3;?;659;3;9
-12;12;?;655;-12;-12
-28;10;?;653;-10;-28
-11;16;?;652;-16;-11
4;12;?;656;-12;4
6;-9;?;658;9;6
-5;4;?;653;-4;-5
3;-16;?;653;16;3
19;-4;?;659;4;19
13;22;?;659;-22;13
15;-9;?;656;9;15
18;17;?;654;-17;18
?;28;22;651;-28;4
?;27;28;647;-27;18
?;32;24;650;-32;37
?;?;20;658;-9;9
?;?;21;656;-2;4
11;?;18;653;-16;11
-31;?;18;?;-48;-31
-16;?;18;?;-16;-16
?;?;19;?;26;1
?;-6;19;?;6;-28
?;-8;14;?;8;-7
?;3;16;?;-3;-9
?;26;17;?;-26;-14
?;-10;18;?;10;19
?;6;20;?;-6;-30
?;18;18;?;-18;-37
?;-29;18;?;29;42
?;?;16;?;-11;24
?;?;22;?;-13;28
?;?;28;?;10;42
?;?;18;?;-39;-13
?;?;13;660;-30;-37
-28;?;19;655;16;-28
21;?;20;653;26;?
40;?;20;655;8;?
8;?;20;656;12;?
-5;?;14;658;-14;?
5;?;19;655;-21;?
-3;?;23;653;10;-3
-21;30;17;658;-30;-21
14;5;22;652;-5;14
39;-15;23;652;15;39
17;13;16;660;?;17
-17;-21;20;656;?;-17
-21;-4;25;654;?;-21
21;8;24;654;?;21
12;-4;18;659;?;12
14;10;19;660;?;14
18;27;24;655;?;18
-37;23;20;658;?;-37
-32;2;18;660;?;-32
-12;19;17;660;-19;-12
16;12;13;662;-12;16
?;-14;19;657;14;37
?;7;26;654;-7;22
?;2;24;654;-2;4
?;-21;21;652;21;-9
?;-3;19;654;3;21
?;-4;16;656;4;9
?;-4;18;659;4;-2
?;13;20;658;-13;13
?;-8;21;652;8;-15
?;-14;21;658;14;12
?;9;22;657;-9;29
?;11;23;657;-11;-30
?;19;21;657;-19;-26
?;35;23;650;-35;-19
-27;15;23;657;-15;-27
29;-10;14;659;10;29
3;6;18;654;-6;3
-27;11;24;653;-11;-27
35;0;20;657;0;35
42;16;22;657;-16;42
?;34;23;652;-34;16
?;21;16;658;-21;1
?;0;17;661;0;-20
?;10;18;662;-10;-23
?;8;19;659;-8;3
?;-9;21;656;9;13
?;1;?;660;-1;4
?;-10;?;653;10;12
?;-31;?;653;31;?
?;0;?;655;0;?
?;26;?;651;-26;?
?;24;?;654;-24;?
-9;15;?;656;-15;-9
16;-7;?;660;7;16
-7;3;?;665;-3;-7
-23;11;?;657;-11;-23
28;2;20;654;-2;28
23;13;17;?;-13;23
-31;22;22;651;?;-31
-29;24;26;652;?;-29
-32;-12;16;659;?;-32
-30;13;18;655;?;-30
-2;26;21;655;?;-2
-6;-31;12;660;31;-6
-7;-5;18;658;5;-7
-6;-2;22;656;2;-6
-4;-2;16;654;2;-4
11;11;17;654;-11;11
26;-10;?;656;10;26
5;23;?;656;-23;5
-20;31;?;655;-31;-20
9;1;?;658;-1;9
-28;16;?;653;-16;-28
-31;19;?;650;-19;-31
28;1;?;657;-1;28
6;2;?;658;-2;6
10;-8;16;657;8;10
4;2;12;660;-2;4
-31;21;17;657;-21;-31
-16;24;20;653;-24;-16
18;9;13;659;-9;18
7;-9;15;660;9;7
-22;10;17;656;-10;-22
15;-3;19;654;3;15
