InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
18;3;14;661;-3;18
22;-10;15;681;10;22
28;-14;23;697;14;28
-29;-10;20;658;10;-29
-4;-9;25;661;9;-4
12;-11;15;662;11;12
7;-8;19;656;8;7
39;-13;13;675;13;39
-11;2;17;675;-2;-11
3;6;21;661;-6;3
-25;-38;15;748;38;-25
16;11;15;664;-11;16
-2;3;18;658;-3;-2
4;2;21;657;-2;4
-15;-1868;2669;2158;1868;-15
8;1;13;659;-1;8
5;3;21;662;-3;5
-7;-7;14;673;7;-7
18;5;10;686;-5;18
-8;-6;14;664;6;-8
9;12;15;669;-12;9
-11;1;14;675;-1;-11
4;2;14;659;-2;4
12;12;18;671;-12;12
4;1;16;667;-1;4
-3;8;15;677;-8;-3
8;-14;11;712;14;8
2;12;15;675;-12;2
22;1;21;667;-1;22
18;-16;18;662;16;18
23;5;16;667;-5;23
5;-4;12;689;4;5
-4;-8;21;671;8;-4
16;6;21;671;-6;16
12;2;21;671;-2;12
14;2;13;669;-2;14
13;11;20;666;-11;13
-2;-13;17;669;13;-2
7;-5;13;661;5;7
-13;13;17;662;-13;-13
-8;-9;15;671;9;-8
18;-10;13;754;10;18
3;-8;14;674;8;3
11;-2;19;664;2;11
-5;-9;17;665;9;-5
9;-10;22;663;10;9
32;525;43;723;-525;32
3;1;15;657;-1;3
3;10;450;682;-10;3
1;-8;21;697;8;1
37;7;14;745;-7;37
14;-4;19;657;4;14
-6;-7;19;663;7;-6
6;5;13;661;-5;6
-6;-20;15;752;20;-6
5;-11;16;744;11;5
2;3;19;658;-3;2
2;-19;12;677;19;2
14;-15;20;684;15;14
-5;1;22;700;-1;-5
29;23;15;686;-23;29
8;-8;20;656;8;8
-5;11;21;667;-11;-5
12;-13;25;664;13;12
-1;-12;19;667;12;-1
15;-8;15;658;8;15
0;-2;19;656;2;0
6;8;16;682;-8;6
14;2;13;675;-2;14
5;-6;21;656;6;5
-7;-4;17;698;4;-7
1;1;15;705;-1;1
-2;6;12;664;-6;-2
0;9;15;749;-9;0
8;34;13;748;-34;8
16;6;17;662;-6;16
11;6;16;670;-6;11
6;-1;23;663;1;6
1;-2;24;658;2;1
25;1;16;673;-1;25
1;-7;17;658;7;1
5;4;18;665;-4;5
0;-6;20;660;6;0
3;-9;22;667;9;3
6;14;14;669;-14;6
4;7;15;675;-7;4
15;6;12;678;-6;15
7;9;20;664;-9;7
14;7;12;668;-7;14
8;4;24;659;-4;8
17;-7;19;668;7;17
-25;-13;21;696;13;-25
10;11;20;660;-11;10
-1;-1;17;672;1;-1
-16;13;10;676;-13;-16
10;12;13;668;-12;10
5;-17;17;664;17;5
7;-13;24;665;13;7
21;10;19;667;-10;21
6;-2;14;679;2;6
5;0;19;674;0;5
-4;8;18;675;-8;-4
-4;19;12;668;-19;-4
-2;1;18;663;-1;-2
-1;14;15;677;-14;-1
-1;-5;13;678;5;-1
-7;1;18;678;-1;-7
10;-1;19;666;1;10
23;-6;20;663;6;23
3;-8;17;686;8;3
5;-11;16;688;11;5
-4;-7;20;660;7;-4
10;-9;20;675;9;10
13;-10;22;669;10;13
9;-1;14;660;1;9
9;-9;17;666;9;9
9;1;22;660;-1;9
17;-1;17;658;1;17
21;-10;16;670;10;21
7;-3;16;662;3;7
19;-10;12;669;10;19
17;8;28;656;-8;17
17;-5;19;674;5;17
22;-4;21;663;4;22
9;-13;17;663;13;9
33;-61;16;666;61;33
8;9;16;663;-9;8
10;3;20;673;-3;10
13;-21;24;673;21;13
10;-9;19;658;9;10
8;2;11;666;-2;8
250;199;10;692;-199;250
10;11;16;661;-11;10
4;9;8;666;-9;4
5;9;14;660;-9;5
-2;-6;16;661;6;-2
10;-9;14;664;9;10
10;-10;11;666;10;10
6;-2;17;669;2;6
7;-2;18;659;2;7
14;-9;11;664;9;14
22;-7;20;667;7;22
13;3;13;662;-3;13
3;11;22;660;-11;3
19;4;14;660;-4;19
11;-26;14;670;26;11
1;-8;19;656;8;1
-3;-2;18;657;2;-3
2;-9;23;656;9;2
21;-9;20;662;9;21
-9;1;18;654;-1;-9
26;-7;-110;523;7;26
19;-9;25;660;9;19
-13;6;18;661;-6;-13
12;11;18;659;-11;12
-6;-7;18;660;7;-6
13;-8;20;656;8;13
8;-29;13;677;29;8
13;-6;24;650;6;13
11;-15;21;660;15;11
29;4;875;655;-4;29
-9;-8;20;661;8;-9
-4;25;20;658;-25;-4
15;4;19;656;-4;15
-4;-6;18;658;6;-4
14;4;14;657;-4;14
-590;4565;-294;1380;-4565;-590
44;-2303;45;1080;2303;44
-6;-3;16;659;3;-6
14;-3;21;655;3;14
12;-18;11;668;18;12
2;0;17;653;0;2
4;111;24;672;-111;4
9;0;24;652;0;9
16;-20;16;670;20;16
26;12;16;661;-12;26
65;-22;20;662;22;65
-3;13;21;659;-13;-3
18;-1;19;651;1;18
4;2;12;655;-2;4
20;0;17;659;0;20
19;3;16;659;-3;19
14;-12;19;659;12;14
-1;-13;18;656;13;-1
3;9;13;658;-9;3
-2;7;20;657;-7;-2
0;-25;13;660;25;0
1;11;20;658;-11;1
-3;-8;15;657;8;-3
24;10;19;641;-10;24
3;-11;14;658;11;3
13;-9;20;655;9;13
3;1;19;654;-1;3
3;-10;13;658;10;3
3;-10;14;657;10;3
3;-11;13;658;11;3
-1;2;18;656;-2;-1
3;-9;14;657;9;3
3;-10;13;658;10;3
21;-9;19;658;9;21
3;-11;13;658;11;3
-216;7;23;673;-7;-216
15;-12;12;659;12;15
-3;15;13;661;-15;-3
4;-11;20;657;11;4
21;-4;14;660;4;21
11;-13;18;657;13;11
-2;-6;17;656;6;-2
13;-11;21;656;11;13
-1;6;20;650;-6;-1
-95;137;17;673;-137;-95
-39;1;19;661;-1;-39
-1;10;13;660;-10;-1
-19;-10;18;669;10;-19
11;-15;22;659;15;11
22;1;21;660;-1;22
487;18;14;665;-18;487
48;0;21;655;0;48
-8;3;20;658;-3;-8
-5;0;12;660;0;-5
16;6;17;657;-6;16
1;-6;22;655;6;1
-357;29;17;668;-29;-357
14;-17;16;656;17;14
-18;27;17;658;-27;-18
5;17;20;655;-17;5
964;66;17;670;-66;964
32;1;19;667;-1;32
6;26;18;665;-26;6
83;1278;1215;733;-1278;83
18;13;17;664;-13;18
18;-22;20;665;22;18
7;-2;22;646;2;7
1418;107;5;664;-107;1418
17;54;15;661;-54;17
5;6;14;655;-6;5
147;-2574;1024;228;2574;147
3;4;16;654;-4;3
6;-19;19;654;19;6
12;3;19;652;-3;12
20;3;17;655;-3;20
-1;16;23;648;-16;-1
6;-41;14;660;41;6
81;17;16;660;-17;81
16;12;13;662;-12;16
4;-7;20;653;7;4
-78;3;17;660;-3;-78
-5;-9;26;651;9;-5
-19;-21;19;650;21;-19
62;-3978;250;620;3978;62
-887;17;33;664;-17;-887
-45;-19;21;663;19;-45
0;1065;19;698;-1065;0
1;-22;12;674;22;1
21;-25;18;657;25;21
1;-8;19;654;8;1
-26;1;14;749;-1;-26
25;-23;18;644;23;25
3;6;18;654;-6;3
4;11;22;643;-11;4
16;21;20;653;-21;16
22;1;22;642;-1;22
4;0;22;641;0;4
-4;10;17;652;-10;-4
6;-8;19;653;8;6
-1;-3;16;654;3;-1
-625;7529;-942;1684;-7529;-625
-21;-42;18;656;42;-21
8;-567;83;855;567;8
5;-12;17;654;12;5
-7;10;24;647;-10;-7
-15;2;20;667;-2;-15
3;12;18;650;-12;3
35;-29;17;658;29;35
27;22;19;660;-22;27
46;34;44;647;-34;46
-1;19;18;653;-19;-1
-5;-20;18;668;20;-5
-135;2559;-287;762;-2559;-135
8;-10;16;654;10;8
-7;-22;21;651;22;-7
16;-17;19;654;17;16
22;11;16;654;-11;22
3;-14;13;655;14;3
24;-12;19;655;12;24
707;17;22;671;-17;707
9;-1214;59;703;1214;9
-10;-6;18;656;6;-10
0;-7;15;654;7;0
125;-8;27;660;8;125
25;3;19;654;-3;25
-14;-9;19;657;9;-14
3;-94;65;158;94;3
-35;51;21;669;-51;-35
-19;2;17;653;-2;-19
5;-1;87;609;1;5
-16;16;23;651;-16;-16
3;-25;19;655;25;3
22;1;20;652;-1;22
0;-8;20;654;8;0
-7;0;21;648;0;-7
-4553;2220;74;534;-2220;-4553
-19;-21;13;670;21;-19
24;129;39;178;-129;24
3561;349;40;663;-349;3561
-8;-13;16;656;13;-8
21;18;17;655;-18;21
27;-1;11;667;1;27
-27;1;17;652;-1;-27
-51;25;17;663;-25;-51
-572;23;19;664;-23;-572
51;-9;42;177;9;51
1;0;16;652;0;1
17;12;20;657;-12;17
36;-12;21;659;12;36
10;10;19;655;-10;10
-2273;112;14;697;-112;-2273
1;-205;70;610;205;1
26;-13;225;373;13;26
22;-36;21;654;36;22
-42;-323;30;693;323;-42
-6;-11;16;648;11;-6
12;10;15;650;-10;12
-120;-3;14;670;3;-120
-4;-4840;-426;1454;4840;-4
20;54;52;164;-54;20
-5;294;110;120;-294;-5
-2;37;18;653;-37;-2
24;-507;227;345;507;24
-19;-145;-18;726;145;-19
45;20;15;667;-20;45
28;22;20;646;-22;28
-8;12;16;654;-12;-8
0;-22;22;653;22;0
-12;7;21;652;-7;-12
53;-42;72;494;42;53
-25;221;14;710;-221;-25
-6;-1;18;653;1;-6
-6;4;19;652;-4;-6
-1345;75;18;648;-75;-1345
86;322;-475;1502;-322;86
-4;-85;19;664;85;-4
