InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit R-SHOE Compass
221.0;-184.0;5;-424.0;58.0;27;74;-168.0;-7
237.0;-203.0;5;-425.0;86.0;27;74;-184.0;-7
416.0;-176.0;-3;-432.0;597.0;27;74;-701.0;-7
419.0;-181.0;-6;-431.0;599.0;27;74;-707.0;-7
425.0;-183.0;-2;-431.0;597.0;27;74;-715.0;-7
429.0;-187.0;3;-433.0;588.0;27;74;-717.0;-7
423.0;-182.0;0;-433.0;?;27;74;-726.0;-7
408.0;-172.0;-1;?;581.0;27;74;-734.0;-7
377.0;-161.0;-3;?;567.0;27;74;-728.0;-7
327.0;-144.0;4;?;547.0;27;74;-697.0;-7
255.0;-122.0;2;?;514.0;27;74;-603.0;-7
174.0;-93.0;0;?;488.0;27;74;-481.0;-7
99.0;-65.0;7;?;477.0;27;74;-343.0;-7
48.0;-30.0;-7;?;470.0;27;74;-147.0;-7
22.0;16.0;45;?;471.0;27;74;60.0;-7
-12.0;57.0;55;?;?;27;74;287.0;-8
-51.0;102.0;-1;?;?;27;74;448.0;-8
-77.0;149.0;28;?;?;27;74;551.0;-8
-113.0;194.0;13;?;?;27;74;613.0;-8
-148.0;229.0;-21;?;?;27;74;636.0;-8
-173.0;263.0;7;?;?;27;74;621.0;-8
-180.0;287.0;10;?;?;27;74;613.0;-8
-181.0;300.0;-3;-471.0;?;27;74;624.0;-8
-166.0;310.0;-4;-470.0;390.0;26;74;610.0;-8
-144.0;313.0;-12;-471.0;398.0;24;74;596.0;-8
-126.0;318.0;-11;-472.0;412.0;23;74;564.0;-8
-114.0;314.0;1;-473.0;428.0;23;74;550.0;-8
-111.0;308.0;5;-471.0;444.0;22;74;550.0;-8
-115.0;301.0;1;?;458.0;22;74;529.0;-8
-122.0;294.0;-5;?;471.0;22;74;?;-8
-135.0;285.0;-10;?;487.0;21;?;?;-8
-143.0;280.0;-14;?;494.0;20;?;?;-8
-146.0;274.0;-1;?;504.0;19;?;?;-8
-142.0;268.0;-4;?;514.0;19;?;?;-8
-135.0;265.0;-14;?;521.0;18;?;?;-8
-119.0;264.0;3;?;526.0;18;?;?;-8
-103.0;260.0;4;?;?;18;?;?;-8
-88.0;261.0;10;?;537.0;18;?;?;-8
-74.0;262.0;14;?;540.0;17;?;?;-8
-63.0;264.0;-6;?;541.0;17;?;259.0;-8
-52.0;269.0;-3;?;?;17;?;279.0;-8
-39.0;273.0;5;-471.0;?;16;?;299.0;-8
-30.0;?;3;-467.0;?;17;?;318.0;-8
-27.0;?;6;-463.0;?;17;?;349.0;-8
-19.0;?;5;?;?;17;?;381.0;-8
-20.0;?;3;?;?;17;?;421.0;-8
-19.0;?;7;?;?;17;74;447.0;-8
-12.0;?;7;?;?;16;74;466.0;-8
-15.0;?;4;?;?;16;74;484.0;-7
-18.0;?;2;?;?;16;74;500.0;-7
-21.0;?;6;?;499.0;16;74;508.0;-7
-22.0;297.0;3;?;492.0;15;74;512.0;?
-26.0;299.0;3;-456.0;487.0;15;74;519.0;?
-20.0;296.0;7;-460.0;485.0;14;74;521.0;?
-13.0;296.0;-1;-466.0;485.0;15;74;517.0;?
-4.0;292.0;29;-464.0;482.0;15;74;505.0;-7
16.0;293.0;14;-470.0;482.0;15;74;495.0;-7
27.0;290.0;-37;-473.0;489.0;15;74;490.0;-7
40.0;287.0;-13;-479.0;492.0;15;75;477.0;-7
41.0;281.0;0;-483.0;504.0;15;75;460.0;-7
56.0;276.0;7;-491.0;522.0;?;75;448.0;-7
75.0;270.0;21;-493.0;537.0;?;75;437.0;-7
76.0;263.0;0;-492.0;553.0;?;75;416.0;-7
67.0;251.0;-6;-488.0;569.0;?;75;379.0;-7
55.0;240.0;2;-486.0;575.0;?;75;338.0;-7
33.0;232.0;?;-484.0;578.0;?;75;293.0;-7
19.0;227.0;?;-482.0;583.0;?;75;264.0;-7
9.0;229.0;?;-485.0;584.0;?;75;248.0;-7
6.0;236.0;?;-481.0;589.0;?;75;242.0;-7
7.0;239.0;?;-482.0;591.0;15;75;241.0;-7
14.0;244.0;?;-479.0;589.0;15;75;250.0;-7
17.0;248.0;?;-479.0;588.0;15;75;264.0;-7
13.0;256.0;?;-476.0;585.0;?;75;275.0;-7
6.0;263.0;?;-474.0;583.0;?;74;292.0;-7
1.0;268.0;?;-473.0;577.0;?;74;311.0;-7
-7.0;275.0;?;-470.0;569.0;?;74;340.0;-8
-7.0;276.0;?;-469.0;?;?;74;359.0;-7
-7.0;278.0;?;-464.0;?;?;74;378.0;-8
-15.0;278.0;?;-463.0;?;?;74;399.0;-7
-16.0;281.0;-2;-458.0;?;14;74;419.0;-7
-20.0;?;-3;-459.0;541.0;14;74;436.0;-7
-25.0;?;3;-451.0;538.0;14;74;450.0;-7
-31.0;?;7;-449.0;532.0;14;74;457.0;-7
-33.0;290.0;2;-450.0;529.0;14;74;461.0;-7
-38.0;294.0;2;-444.0;525.0;?;75;460.0;-7
-41.0;298.0;4;-442.0;522.0;?;75;456.0;-7
-43.0;303.0;2;-441.0;521.0;?;75;450.0;-7
-40.0;308.0;-2;-441.0;519.0;?;75;448.0;-7
-35.0;312.0;-6;-442.0;520.0;?;75;441.0;-7
?;316.0;5;-444.0;522.0;?;75;433.0;-7
?;318.0;9;-448.0;521.0;?;75;420.0;-7
?;321.0;0;-453.0;522.0;13;75;413.0;-7
?;319.0;4;-456.0;524.0;13;75;408.0;-7
?;320.0;8;-459.0;528.0;14;75;404.0;-7
?;319.0;6;-463.0;528.0;14;75;400.0;-7
?;321.0;1;-462.0;531.0;14;75;397.0;-7
?;319.0;-9;-465.0;532.0;14;75;389.0;-7
?;318.0;-12;-464.0;533.0;14;75;386.0;-7
?;315.0;-6;-465.0;531.0;14;75;380.0;-7
?;313.0;-6;-465.0;534.0;14;75;378.0;-7
?;311.0;-3;-465.0;533.0;14;75;380.0;-7
?;310.0;0;-467.0;533.0;14;75;385.0;-7
36.0;?;?;-467.0;534.0;13;75;389.0;-7
33.0;307.0;?;-466.0;532.0;13;75;397.0;-7
30.0;309.0;?;-469.0;533.0;13;75;407.0;-7
29.0;308.0;?;-470.0;530.0;14;75;414.0;-7
30.0;311.0;?;-471.0;527.0;15;75;421.0;-7
34.0;310.0;?;-470.0;526.0;15;75;424.0;-7
39.0;311.0;?;-473.0;524.0;15;75;428.0;-7
42.0;311.0;?;-473.0;524.0;15;75;427.0;-7
47.0;308.0;?;-477.0;522.0;15;75;?;-7
50.0;303.0;?;-480.0;526.0;15;74;?;-7
63.0;299.0;?;-478.0;528.0;15;74;?;-7
63.0;301.0;?;-477.0;535.0;15;75;?;-7
64.0;296.0;?;-481.0;543.0;15;75;?;-7
70.0;289.0;?;-477.0;544.0;15;75;?;-7
77.0;282.0;?;-478.0;546.0;15;75;?;-7
80.0;277.0;-3;-480.0;546.0;15;75;?;-7
83.0;279.0;-4;-480.0;548.0;15;75;?;-7
?;280.0;-1;-484.0;550.0;15;75;?;-7
?;283.0;2;-487.0;550.0;15;75;?;-7
?;281.0;0;-488.0;549.0;15;75;?;-7
?;284.0;1;-490.0;549.0;15;75;?;-7
?;288.0;2;-491.0;550.0;15;75;?;-7
?;292.0;1;-491.0;544.0;15;75;?;-7
?;298.0;1;-491.0;546.0;15;75;332.0;-7
65.0;302.0;-3;-490.0;543.0;15;75;351.0;-7
63.0;309.0;-10;-493.0;541.0;15;74;363.0;-7
66.0;312.0;-7;-491.0;537.0;15;74;381.0;-7
65.0;317.0;0;-493.0;533.0;15;74;398.0;-8
67.0;321.0;0;-494.0;526.0;15;74;416.0;-8
71.0;324.0;-5;-494.0;522.0;14;74;431.0;-8
74.0;325.0;-4;-497.0;519.0;14;74;441.0;-8
77.0;326.0;-1;-493.0;512.0;14;74;452.0;-8
77.0;325.0;-1;-492.0;510.0;14;74;463.0;-8
72.0;326.0;?;-491.0;?;14;74;471.0;-8
69.0;322.0;?;-488.0;?;14;74;476.0;-8
69.0;322.0;?;-486.0;?;14;74;479.0;-8
65.0;319.0;?;-486.0;?;15;74;?;-8
62.0;315.0;-4;-483.0;?;15;74;?;?
64.0;311.0;5;-486.0;?;15;74;480.0;?
63.0;308.0;6;-485.0;?;15;74;474.0;?
60.0;307.0;7;-482.0;?;15;73;469.0;?
58.0;304.0;5;-481.0;?;15;73;458.0;?
?;302.0;-4;-481.0;?;15;74;446.0;?
?;298.0;-5;-475.0;?;15;74;429.0;?
?;297.0;-7;-474.0;?;15;74;415.0;?
?;299.0;-4;-468.0;?;15;74;407.0;?
?;300.0;1;-465.0;?;15;74;396.0;?
?;300.0;-2;-462.0;524.0;15;74;386.0;?
?;300.0;-1;-459.0;524.0;15;74;376.0;?
48.0;304.0;-2;-457.0;522.0;15;74;373.0;?
?;305.0;-2;-455.0;522.0;14;75;371.0;?
?;309.0;6;-455.0;521.0;14;75;372.0;-7
?;313.0;1;-450.0;518.0;13;75;375.0;-7
?;314.0;-8;-451.0;516.0;?;75;382.0;-7
?;?;1;-449.0;513.0;?;75;392.0;-7
?;?;2;-442.0;512.0;?;75;399.0;-7
?;?;1;-446.0;512.0;?;75;408.0;-7
?;?;9;-446.0;510.0;?;75;412.0;-7
?;?;-10;-448.0;507.0;?;74;415.0;-7
?;?;-18;-455.0;507.0;?;74;416.0;-7
?;?;-33;-457.0;508.0;12;74;416.0;?
?;?;-34;-457.0;511.0;12;74;421.0;?
?;?;15;-456.0;513.0;12;75;421.0;?
?;?;7;-450.0;524.0;13;75;413.0;?
61.0;?;?;-446.0;525.0;13;75;396.0;?
47.0;301.0;?;-445.0;527.0;14;75;377.0;?
29.0;290.0;?;-437.0;529.0;14;75;354.0;?
19.0;283.0;?;-434.0;529.0;?;75;335.0;?
?;280.0;?;-433.0;526.0;?;75;312.0;?
?;279.0;?;-436.0;527.0;?;75;295.0;?
?;279.0;?;-433.0;526.0;?;75;284.0;?
?;278.0;?;-437.0;527.0;?;75;276.0;-7
?;277.0;?;-437.0;530.0;?;75;277.0;-7
?;278.0;?;-440.0;526.0;?;75;281.0;-7
?;281.0;?;-439.0;524.0;15;75;291.0;-7
?;284.0;?;-438.0;529.0;15;75;300.0;?
?;289.0;?;-439.0;527.0;15;75;311.0;?
?;292.0;?;-442.0;525.0;15;75;325.0;?
?;294.0;-2;-443.0;526.0;14;75;345.0;?
?;299.0;-1;-442.0;523.0;14;75;363.0;?
?;306.0;6;-447.0;521.0;14;75;376.0;?
36.0;308.0;-3;-447.0;519.0;14;74;392.0;-8
40.0;311.0;-6;-447.0;515.0;15;74;408.0;-8
44.0;311.0;0;-449.0;509.0;15;?;423.0;-7
47.0;312.0;-4;-446.0;508.0;14;?;435.0;-7
50.0;313.0;-4;-447.0;502.0;14;?;447.0;-7
51.0;314.0;2;-447.0;499.0;14;?;459.0;-7
50.0;311.0;9;-448.0;497.0;14;74;465.0;-7
44.0;309.0;8;-447.0;494.0;15;75;471.0;-7
43.0;308.0;6;-442.0;493.0;15;75;474.0;-7
40.0;308.0;6;-446.0;493.0;15;75;477.0;-7
37.0;307.0;0;-439.0;492.0;16;75;479.0;-7
34.0;304.0;-3;-442.0;496.0;16;75;475.0;?
31.0;300.0;-4;-439.0;499.0;16;74;466.0;?
33.0;299.0;0;-438.0;500.0;16;74;457.0;-7
35.0;297.0;2;-437.0;502.0;16;74;451.0;-7
40.0;295.0;-2;-433.0;504.0;16;74;437.0;-7
38.0;294.0;1;-430.0;505.0;15;74;426.0;-7
35.0;294.0;0;-429.0;504.0;15;74;409.0;-7
29.0;293.0;1;-430.0;506.0;15;74;397.0;-7
21.0;297.0;2;-425.0;509.0;15;74;386.0;-7
24.0;298.0;1;-426.0;512.0;15;74;373.0;-7
27.0;300.0;2;-424.0;512.0;15;74;358.0;-7
35.0;?;0;-428.0;512.0;16;74;345.0;-7
40.0;?;1;-423.0;512.0;16;74;334.0;-7
39.0;?;3;-425.0;509.0;16;74;329.0;-7
38.0;?;2;-421.0;509.0;15;74;330.0;-7
46.0;?;5;-421.0;509.0;15;74;333.0;-7
45.0;?;9;-419.0;?;14;74;345.0;-7
38.0;?;5;-419.0;?;?;74;360.0;-7
32.0;?;1;-414.0;?;?;74;370.0;-7
24.0;?;15;-414.0;?;?;74;386.0;-7
17.0;316.0;19;-412.0;?;?;74;400.0;-7
12.0;318.0;-3;-412.0;?;?;?;414.0;-7
14.0;317.0;-29;?;?;?;?;423.0;-7
19.0;313.0;-26;?;?;?;?;435.0;-7
28.0;310.0;6;?;?;16;?;446.0;-7
31.0;?;15;?;?;16;?;447.0;-7
24.0;?;14;-399.0;?;16;?;433.0;-7
18.0;?;9;-392.0;?;16;?;406.0;-7
7.0;?;-11;-391.0;514.0;16;?;376.0;-7
-4.0;?;-2;-384.0;516.0;16;?;341.0;-7
-12.0;268.0;3;-378.0;518.0;16;?;307.0;-7
-25.0;264.0;0;-377.0;519.0;16;74;263.0;-7
-32.0;269.0;4;-376.0;520.0;16;74;230.0;-7
?;269.0;2;-379.0;523.0;16;74;204.0;-7
?;?;-4;-382.0;529.0;16;74;179.0;-7
?;?;-7;-386.0;532.0;16;74;160.0;-7
?;?;5;-396.0;537.0;16;74;147.0;-7
?;?;7;-401.0;540.0;16;74;144.0;-7
?;?;4;-402.0;542.0;16;74;147.0;-7
?;?;2;-408.0;542.0;16;74;160.0;-7
?;?;-1;-406.0;543.0;16;74;180.0;-7
?;273.0;8;-408.0;541.0;16;74;216.0;-7
?;272.0;0;-408.0;541.0;16;74;248.0;-7
?;272.0;2;-408.0;541.0;16;74;270.0;-7
?;273.0;9;?;539.0;16;74;306.0;-7
?;276.0;0;?;535.0;16;74;338.0;-7
-16.0;274.0;6;?;531.0;17;74;370.0;-7
-16.0;276.0;3;?;524.0;17;74;393.0;-8
-22.0;281.0;-2;?;518.0;17;74;411.0;-8
-19.0;284.0;1;-402.0;510.0;17;74;424.0;-8
-15.0;292.0;3;-404.0;504.0;18;74;439.0;-8
-11.0;295.0;3;-407.0;498.0;18;74;445.0;-8
-5.0;301.0;?;-407.0;493.0;?;74;451.0;-7
1.0;304.0;?;-404.0;488.0;?;74;461.0;-7
7.0;304.0;?;-402.0;486.0;?;74;463.0;-7
11.0;305.0;?;-404.0;485.0;?;74;460.0;-7
12.0;304.0;?;-400.0;483.0;?;75;451.0;-7
13.0;304.0;?;-400.0;483.0;?;75;444.0;-7
12.0;305.0;?;-399.0;482.0;?;75;437.0;-7
13.0;308.0;?;-396.0;480.0;18;75;427.0;-7
19.0;309.0;?;-397.0;482.0;18;75;418.0;-7
17.0;309.0;?;-396.0;484.0;?;75;405.0;-7
20.0;311.0;?;-394.0;482.0;18;75;397.0;-7
27.0;313.0;?;-395.0;487.0;18;75;389.0;-7
31.0;318.0;?;-397.0;487.0;18;75;379.0;-7
34.0;320.0;?;-393.0;?;18;75;368.0;-7
32.0;320.0;?;-394.0;?;18;75;357.0;-7
31.0;324.0;?;-389.0;?;18;75;349.0;-7
27.0;325.0;?;-388.0;?;18;75;347.0;-7
22.0;326.0;?;-387.0;?;18;76;348.0;-7
19.0;328.0;?;-389.0;?;17;75;353.0;-7
14.0;331.0;?;-386.0;?;17;75;366.0;-7
14.0;332.0;?;-388.0;?;17;75;379.0;-7
13.0;333.0;?;-384.0;?;16;75;386.0;?
11.0;336.0;?;-382.0;?;15;75;398.0;?
11.0;339.0;?;-383.0;?;15;75;407.0;?
7.0;341.0;?;-380.0;?;16;75;415.0;?
6.0;341.0;2;-384.0;?;16;75;422.0;?
8.0;340.0;-18;-384.0;?;15;75;429.0;?
17.0;339.0;-40;-382.0;?;16;75;432.0;?
26.0;334.0;-20;-386.0;?;16;75;435.0;?
31.0;329.0;2;-385.0;?;16;75;437.0;?
33.0;322.0;7;-384.0;?;16;75;435.0;?
26.0;311.0;14;-375.0;?;16;75;429.0;?
14.0;301.0;14;-372.0;507.0;16;75;402.0;?
-6.0;289.0;?;-368.0;509.0;16;75;362.0;?
-34.0;?;?;-362.0;506.0;16;75;307.0;?
-53.0;?;-4;-365.0;503.0;16;75;256.0;?
-63.0;269.0;-4;-370.0;506.0;16;?;217.0;-7
-59.0;269.0;-5;-374.0;505.0;16;?;171.0;-7
-42.0;269.0;-7;-385.0;507.0;16;?;127.0;-7
-21.0;272.0;-4;-395.0;507.0;16;75;68.0;-7
-8.0;275.0;5;-404.0;510.0;16;75;14.0;-7
-5.0;279.0;8;-412.0;511.0;16;75;-40.0;-7
-9.0;282.0;2;-421.0;511.0;16;75;-104.0;-7
-12.0;290.0;-1;-429.0;510.0;16;75;-174.0;-7
-14.0;294.0;1;-445.0;510.0;16;75;-250.0;-7
-3.0;299.0;0;-454.0;511.0;16;75;-326.0;-7
10.0;305.0;-2;-460.0;512.0;16;75;-394.0;-7
27.0;308.0;-1;-469.0;519.0;16;?;-469.0;-7
43.0;307.0;1;-478.0;533.0;16;?;-536.0;-7
58.0;307.0;-1;?;546.0;16;?;-601.0;-7
67.0;302.0;1;?;559.0;16;?;-646.0;-7
70.0;295.0;1;?;573.0;16;?;-679.0;-7
72.0;288.0;-1;?;586.0;16;?;-704.0;-7
71.0;282.0;1;?;603.0;16;?;-720.0;-7
69.0;275.0;1;?;626.0;16;?;-724.0;-7
67.0;272.0;3;?;651.0;16;75;-717.0;-7
73.0;268.0;6;?;672.0;16;75;-709.0;-7
78.0;265.0;4;?;688.0;?;75;-700.0;-7
81.0;263.0;1;?;700.0;?;75;-687.0;-7
87.0;260.0;3;?;707.0;?;75;-665.0;-7
86.0;258.0;5;?;708.0;?;75;-661.0;-7
79.0;259.0;4;-496.0;708.0;?;75;-671.0;-7
78.0;259.0;0;-496.0;706.0;?;75;-672.0;-7
76.0;259.0;0;-497.0;706.0;?;75;-672.0;-7
70.0;265.0;2;-494.0;705.0;?;75;-667.0;-7
70.0;267.0;2;-495.0;704.0;?;75;-669.0;-7
73.0;272.0;2;-493.0;706.0;?;75;-676.0;-7
74.0;271.0;-1;-495.0;704.0;?;75;-676.0;-7
76.0;272.0;-5;-496.0;703.0;?;75;-677.0;-7
77.0;273.0;-3;-493.0;701.0;?;75;-675.0;-7
75.0;275.0;-2;-491.0;699.0;16;75;-677.0;-7
72.0;275.0;-4;-489.0;698.0;16;75;-683.0;-7
72.0;274.0;1;-493.0;698.0;16;75;-683.0;-7
73.0;275.0;9;-491.0;695.0;16;75;-684.0;-7
74.0;273.0;4;-497.0;694.0;16;75;-685.0;-7
74.0;271.0;-1;-495.0;695.0;16;75;-684.0;-7
77.0;267.0;3;-495.0;694.0;16;75;-684.0;-7
82.0;265.0;3;-496.0;696.0;16;75;-685.0;-7
83.0;262.0;-1;-500.0;695.0;16;75;-688.0;-7
87.0;259.0;2;-499.0;693.0;16;75;-688.0;-7
91.0;?;1;-502.0;690.0;16;75;-693.0;-7
93.0;?;2;-501.0;683.0;16;75;-703.0;-7
89.0;?;11;-498.0;671.0;16;75;-715.0;-7
87.0;?;4;-498.0;649.0;16;75;-724.0;-7
81.0;?;0;-494.0;621.0;16;75;-715.0;-7
74.0;?;4;-486.0;589.0;16;75;-692.0;-7
72.0;?;2;-485.0;555.0;16;75;-666.0;-7
68.0;?;3;-475.0;526.0;16;75;-595.0;-7
60.0;?;?;-470.0;497.0;16;75;-493.0;-7
51.0;248.0;?;-465.0;474.0;16;75;-345.0;-7
41.0;251.0;?;-459.0;469.0;16;75;-198.0;-7
34.0;255.0;?;-453.0;467.0;16;75;-64.0;-7
28.0;257.0;?;-449.0;477.0;16;75;99.0;-7
23.0;261.0;?;-442.0;494.0;16;75;255.0;-7
15.0;260.0;?;-437.0;514.0;16;75;411.0;-7
7.0;260.0;?;-428.0;526.0;16;75;499.0;-7
-1.0;262.0;?;-424.0;534.0;16;75;544.0;-7
-10.0;262.0;?;-422.0;529.0;?;75;551.0;-7
-16.0;264.0;?;-421.0;518.0;?;75;535.0;-7
-12.0;268.0;?;-428.0;504.0;16;75;477.0;-7
-2.0;273.0;?;-431.0;493.0;?;75;455.0;-7
13.0;274.0;?;-434.0;489.0;?;75;465.0;-7
31.0;275.0;?;-442.0;487.0;?;75;455.0;-7
42.0;276.0;?;-443.0;489.0;?;75;447.0;-7
54.0;278.0;?;-447.0;493.0;?;75;419.0;-7
56.0;279.0;?;-448.0;496.0;?;75;406.0;-7
55.0;276.0;?;-448.0;495.0;?;75;407.0;-7
?;273.0;?;-451.0;497.0;?;75;390.0;-7
?;269.0;?;-453.0;502.0;?;75;374.0;-7
38.0;267.0;?;-451.0;505.0;?;75;349.0;-7
35.0;264.0;?;-452.0;508.0;?;75;339.0;-7
31.0;262.0;?;-452.0;511.0;?;75;332.0;-7
25.0;261.0;0;-450.0;515.0;?;75;329.0;-7
21.0;260.0;0;-448.0;518.0;?;75;327.0;-7
18.0;257.0;1;-449.0;523.0;16;75;329.0;-7
16.0;257.0;-6;-446.0;527.0;16;75;331.0;-7
17.0;258.0;-3;-446.0;530.0;16;75;334.0;-7
16.0;257.0;3;-447.0;537.0;16;75;336.0;-7
15.0;260.0;2;-449.0;542.0;16;75;337.0;-7
17.0;261.0;5;-445.0;546.0;16;75;336.0;-7
20.0;258.0;3;-448.0;552.0;16;75;335.0;-7
20.0;259.0;0;-449.0;551.0;16;75;334.0;-7
?;260.0;4;-447.0;553.0;16;75;332.0;-7
?;261.0;4;-449.0;550.0;16;75;331.0;-7
20.0;264.0;2;-451.0;545.0;16;75;332.0;-7
27.0;265.0;2;-451.0;540.0;16;75;339.0;-7
35.0;269.0;0;-451.0;539.0;16;75;346.0;-7
40.0;270.0;3;-450.0;538.0;16;75;357.0;-7
41.0;268.0;7;-452.0;535.0;16;75;367.0;-7
42.0;266.0;2;-449.0;532.0;16;75;376.0;-7
36.0;265.0;0;-446.0;528.0;16;75;379.0;-7
30.0;265.0;0;-448.0;527.0;16;75;383.0;-7
20.0;265.0;2;-444.0;527.0;16;75;385.0;-7
12.0;267.0;6;-447.0;523.0;16;75;384.0;-7
9.0;270.0;5;-445.0;522.0;16;75;382.0;-7
13.0;?;1;-449.0;524.0;16;75;381.0;-7
13.0;?;-1;-445.0;524.0;16;75;382.0;-7
12.0;?;4;-446.0;528.0;16;75;379.0;-7
15.0;?;0;-449.0;532.0;16;75;374.0;-7
19.0;?;-2;-450.0;534.0;16;75;369.0;-7
23.0;?;2;-452.0;533.0;16;75;362.0;-7
?;?;-4;-453.0;538.0;16;75;356.0;-7
?;?;-2;-451.0;537.0;16;75;351.0;-7
?;?;-1;-456.0;538.0;16;75;351.0;-7
?;?;-5;-458.0;539.0;16;75;348.0;-7
?;?;0;-454.0;540.0;16;75;350.0;-7
?;?;1;-454.0;538.0;16;75;349.0;-7
?;271.0;1;-455.0;540.0;16;75;352.0;-7
?;275.0;2;-452.0;?;16;75;353.0;-7
?;278.0;2;-452.0;?;16;75;356.0;-7
-336.0;281.0;-1;-454.0;?;16;75;357.0;-7
-487.0;291.0;-1;-452.0;?;16;75;358.0;-7
