Accelerometer RKN_ accY;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE Nav_Ay;Accelerometer RKN^ accX;Accelerometer RKN^ accZ;Accelerometer BACK accZ;InertialMeasurementUnit L-SHOE Nav_Ax
973.0;923.0;?;220.0;0.0;-251.0;-4
989.0;927.0;?;201.0;20.0;-219.0;-1
992.0;931.0;?;198.0;7.0;-207.0;-1
993.0;935.0;?;165.0;2.0;-209.0;3
992.0;952.0;2;165.0;10.0;-199.0;3
989.0;959.0;0;170.0;8.0;-322.0;0
974.0;944.0;-2;176.0;-29.0;-339.0;1
975.0;977.0;2;177.0;-42.0;-353.0;-1
981.0;964.0;-1;166.0;-1.0;-405.0;-13
970.0;961.0;1;156.0;22.0;-476.0;3
989.0;994.0;5;183.0;29.0;-497.0;-11
1007.0;966.0;4;180.0;7.0;-580.0;-16
994.0;967.0;30;166.0;40.0;-559.0;49
983.0;960.0;28;189.0;45.0;-570.0;-54
994.0;913.0;112;175.0;29.0;-562.0;123
996.0;893.0;342;151.0;40.0;-595.0;343
977.0;917.0;440;171.0;20.0;-566.0;-38
967.0;990.0;335;160.0;31.0;-544.0;-216
990.0;952.0;143;175.0;51.0;-517.0;-120
974.0;932.0;-24;204.0;58.0;-514.0;-31
987.0;882.0;-246;211.0;63.0;-525.0;138
981.0;858.0;-361;191.0;64.0;-534.0;84
996.0;893.0;-463;167.0;45.0;-512.0;43
1000.0;928.0;-637;176.0;59.0;-512.0;80
980.0;888.0;-177;186.0;105.0;-483.0;-141
989.0;861.0;?;193.0;143.0;-497.0;-192
961.0;858.0;?;192.0;179.0;-481.0;-33
979.0;917.0;?;229.0;283.0;-502.0;-45
972.0;918.0;?;282.0;355.0;-549.0;9
998.0;962.0;?;306.0;474.0;-513.0;40
987.0;992.0;?;254.0;446.0;-507.0;-39
984.0;942.0;19;252.0;581.0;-548.0;-68
970.0;920.0;75;1.0;53.0;-562.0;-72
974.0;944.0;-38;191.0;-32.0;-554.0;-121
959.0;976.0;-46;15.0;-151.0;-554.0;-140
978.0;932.0;81;-54.0;3.0;-559.0;18
976.0;928.0;92;-10.0;59.0;-566.0;119
986.0;955.0;73;?;172.0;-559.0;81
988.0;916.0;57;?;217.0;?;52
989.0;925.0;35;?;312.0;-568.0;-4
973.0;926.0;27;?;335.0;-554.0;-38
968.0;934.0;-69;?;286.0;-540.0;-25
979.0;938.0;140;?;142.0;-559.0;-53
952.0;936.0;-41;?;310.0;-537.0;32
971.0;946.0;166;?;374.0;-526.0;-37
973.0;873.0;227;?;232.0;-505.0;-123
1074.0;879.0;198;?;285.0;-563.0;-137
1135.0;848.0;2048;?;277.0;-375.0;-447
1051.0;855.0;195;?;278.0;-571.0;127
1033.0;546.0;-2067;?;228.0;-849.0;599
949.0;1524.0;-114;?;285.0;-426.0;58
923.0;1907.0;39;310.0;352.0;-570.0;43
912.0;833.0;-240;223.0;363.0;?;71
912.0;671.0;-2;306.0;341.0;?;-2
941.0;687.0;-162;301.0;312.0;?;29
904.0;907.0;58;300.0;259.0;?;-56
863.0;1005.0;-28;263.0;229.0;?;-27
921.0;1238.0;-26;236.0;?;?;-35
923.0;975.0;-9;215.0;?;?;-38
989.0;795.0;-33;212.0;?;?;-23
963.0;869.0;-11;268.0;?;?;-23
1030.0;1000.0;-6;270.0;?;?;-16
968.0;1006.0;-9;328.0;?;?;-18
927.0;952.0;-16;304.0;?;?;-10
942.0;928.0;-12;10.0;?;?;-13
942.0;912.0;-19;-16.0;?;?;-16
931.0;965.0;6;1488.0;?;-440.0;?
911.0;982.0;-91;-791.0;?;-411.0;?
936.0;944.0;-189;-40.0;?;-432.0;?
914.0;954.0;-74;77.0;?;-430.0;?
935.0;1001.0;-58;260.0;?;-461.0;?
935.0;1076.0;-60;310.0;?;-449.0;?
939.0;1042.0;69;317.0;355.0;-403.0;?
919.0;908.0;56;185.0;298.0;-399.0;?
938.0;914.0;76;242.0;200.0;-471.0;?
952.0;918.0;108;233.0;220.0;-489.0;?
904.0;936.0;7;214.0;207.0;-478.0;?
886.0;966.0;233;265.0;?;-472.0;?
850.0;949.0;258;267.0;?;-494.0;?
815.0;895.0;-34;256.0;?;-489.0;?
652.0;897.0;21;213.0;208.0;-548.0;12
1852.0;890.0;27;?;208.0;-557.0;-19
811.0;938.0;-28;?;200.0;-547.0;4
865.0;992.0;3;?;213.0;-558.0;-34
1394.0;997.0;-29;?;200.0;-547.0;-82
619.0;947.0;-28;224.0;300.0;-545.0;-85
979.0;919.0;12;40.0;208.0;-537.0;-49
1002.0;947.0;53;190.0;41.0;?;9
1082.0;962.0;64;302.0;55.0;?;42
965.0;969.0;47;237.0;162.0;?;47
976.0;933.0;?;221.0;225.0;?;19
952.0;934.0;?;180.0;206.0;?;22
969.0;947.0;?;185.0;260.0;?;11
973.0;918.0;?;189.0;323.0;?;-32
998.0;927.0;?;223.0;375.0;?;21
970.0;?;?;?;362.0;?;-87
949.0;?;7;?;407.0;?;8
976.0;?;657;?;241.0;-475.0;-284
1006.0;?;1568;?;250.0;-478.0;-366
959.0;884.0;335;?;265.0;-354.0;837
?;615.0;-512;?;255.0;-656.0;576
?;1087.0;-130;?;238.0;-440.0;-264
?;1819.0;-118;167.0;264.0;-465.0;11
?;1188.0;-29;185.0;246.0;-472.0;-3
?;708.0;-10;202.0;242.0;-401.0;-2
?;636.0;?;248.0;240.0;-617.0;34
?;997.0;?;216.0;224.0;-705.0;-13
?;1151.0;?;246.0;238.0;?;23
?;1148.0;?;276.0;263.0;?;3
904.0;1034.0;?;265.0;261.0;?;6
886.0;856.0;?;248.0;248.0;?;6
899.0;875.0;?;287.0;263.0;?;7
907.0;1053.0;?;273.0;277.0;?;-2
921.0;1090.0;?;262.0;286.0;?;8
954.0;945.0;-3;259.0;263.0;?;6
950.0;913.0;-10;-17.0;140.0;?;2
950.0;956.0;-16;114.0;560.0;?;3
955.0;997.0;-8;867.0;156.0;?;-18
928.0;980.0;-40;-160.0;-324.0;?;21
949.0;979.0;-99;-357.0;178.0;?;-85
950.0;961.0;-269;458.0;-161.0;-458.0;-318
960.0;1009.0;-315;197.0;90.0;-470.0;-200
?;1033.0;-46;169.0;74.0;-429.0;69
?;1043.0;31;278.0;115.0;-431.0;17
?;965.0;-49;128.0;183.0;-444.0;-80
?;908.0;11;354.0;236.0;?;-18
?;936.0;88;322.0;200.0;?;-11
?;918.0;112;203.0;136.0;?;-52
?;926.0;80;203.0;121.0;?;-67
?;917.0;80;181.0;117.0;?;-52
?;?;89;211.0;198.0;?;-20
?;930.0;?;210.0;165.0;?;20
?;953.0;?;196.0;146.0;?;20
?;931.0;?;142.0;114.0;?;5
?;935.0;?;151.0;140.0;?;39
?;917.0;?;158.0;128.0;?;26
?;924.0;?;205.0;210.0;?;-29
1085.0;922.0;48;149.0;234.0;-571.0;-39
979.0;914.0;35;151.0;98.0;-588.0;-25
985.0;935.0;16;308.0;99.0;-573.0;-2
971.0;920.0;33;194.0;154.0;-585.0;32
968.0;917.0;66;197.0;256.0;-560.0;47
969.0;937.0;31;194.0;206.0;-562.0;35
974.0;934.0;86;168.0;181.0;-545.0;11
984.0;896.0;40;172.0;232.0;-576.0;20
952.0;913.0;19;188.0;257.0;-563.0;27
972.0;925.0;115;221.0;228.0;-557.0;-15
971.0;916.0;-112;192.0;209.0;-545.0;-58
978.0;913.0;430;224.0;252.0;-504.0;-193
?;859.0;572;244.0;264.0;-558.0;-348
?;829.0;756;246.0;262.0;-410.0;-306
?;777.0;1668;233.0;272.0;-734.0;-146
?;846.0;339;?;222.0;-607.0;-26
?;1612.0;-543;?;228.0;-585.0;-25
?;1334.0;-129;?;240.0;-585.0;-17
?;900.0;-389;?;260.0;-474.0;22
?;767.0;-274;?;256.0;-512.0;18
?;874.0;-249;?;253.0;-673.0;25
?;1014.0;-268;?;294.0;-644.0;27
?;1079.0;-178;?;309.0;-557.0;26
?;1117.0;-183;?;333.0;-617.0;21
?;944.0;-138;?;286.0;-569.0;-1
?;842.0;-145;?;250.0;-570.0;4
?;919.0;-115;?;135.0;-595.0;13
?;1057.0;-86;?;208.0;-589.0;6
?;1058.0;-72;?;400.0;-553.0;16
?;975.0;-75;?;216.0;-558.0;-3
951.0;904.0;-60;?;308.0;-551.0;11
945.0;930.0;-52;?;-88.0;-530.0;18
939.0;965.0;-56;?;-1057.0;-531.0;-18
959.0;956.0;-22;-1465.0;356.0;-539.0;11
953.0;972.0;-66;606.0;-221.0;-513.0;-48
942.0;968.0;-7;106.0;-189.0;-489.0;77
942.0;949.0;?;269.0;-73.0;-504.0;20
930.0;927.0;?;216.0;16.0;-495.0;-233
?;958.0;?;249.0;126.0;-534.0;225
?;1020.0;?;218.0;191.0;-524.0;488
?;1033.0;?;361.0;194.0;-482.0;129
?;948.0;?;256.0;200.0;-527.0;-17
?;883.0;?;253.0;129.0;-515.0;-49
?;898.0;?;332.0;168.0;-514.0;-118
?;931.0;?;273.0;149.0;-530.0;-74
?;891.0;?;174.0;195.0;-520.0;-65
?;944.0;?;203.0;162.0;-529.0;-64
?;898.0;?;202.0;135.0;-530.0;9
?;914.0;97;175.0;85.0;-541.0;36
?;920.0;123;168.0;95.0;-550.0;36
929.0;939.0;94;151.0;181.0;-552.0;34
902.0;926.0;24;143.0;179.0;-576.0;52
979.0;897.0;85;?;193.0;-592.0;57
1070.0;917.0;99;?;241.0;-588.0;15
963.0;956.0;18;?;303.0;-595.0;-7
1002.0;943.0;28;?;289.0;-600.0;-4
933.0;921.0;27;?;155.0;-597.0;-27
978.0;931.0;38;?;204.0;-578.0;-62
993.0;911.0;-5;?;208.0;-597.0;-51
989.0;939.0;-32;?;172.0;-578.0;-106
976.0;925.0;87;?;100.0;-574.0;-48
978.0;938.0;111;?;157.0;-591.0;88
976.0;908.0;9;?;189.0;-552.0;25
946.0;900.0;120;?;254.0;-530.0;243
960.0;920.0;-60;?;291.0;-539.0;-159
988.0;905.0;228;?;299.0;-542.0;78
1004.0;835.0;204;?;299.0;-523.0;-214
990.0;844.0;807;325.0;303.0;-549.0;-575
972.0;811.0;1245;224.0;218.0;-406.0;?
990.0;742.0;-3944;253.0;225.0;-692.0;?
981.0;831.0;-4222;247.0;255.0;-773.0;?
1081.0;1853.0;609;218.0;250.0;-500.0;?
955.0;1227.0;-105;222.0;230.0;-586.0;?
994.0;886.0;-249;203.0;219.0;-444.0;?
945.0;734.0;218;171.0;198.0;-590.0;?
957.0;946.0;-257;201.0;210.0;-674.0;?
969.0;1091.0;?;190.0;238.0;-601.0;?
968.0;1144.0;?;163.0;?;-570.0;?
938.0;1023.0;?;?;?;-560.0;?
939.0;832.0;?;?;?;-549.0;?
929.0;828.0;-41;?;?;-530.0;?
909.0;1003.0;-10;?;?;-528.0;?
895.0;1056.0;-24;?;?;-518.0;?
932.0;1002.0;-15;?;?;-485.0;?
934.0;894.0;-8;?;?;-465.0;?
960.0;872.0;-10;?;?;-493.0;?
940.0;994.0;-5;1608.0;?;-469.0;?
943.0;947.0;-15;411.0;-253.0;-477.0;-27
957.0;966.0;8;-802.0;28.0;-480.0;4
949.0;948.0;-7;104.0;-207.0;-465.0;-18
943.0;963.0;-24;238.0;-197.0;-415.0;-15
969.0;931.0;-8;190.0;-30.0;-432.0;85
938.0;937.0;-151;249.0;41.0;-443.0;-113
926.0;942.0;-111;314.0;125.0;-420.0;3
950.0;936.0;48;393.0;194.0;-420.0;250
920.0;929.0;13;298.0;208.0;-411.0;215
956.0;903.0;15;234.0;174.0;-433.0;185
837.0;955.0;-17;286.0;166.0;-468.0;-152
915.0;1043.0;?;279.0;89.0;-487.0;-166
790.0;922.0;?;187.0;119.0;-484.0;14
864.0;891.0;?;157.0;131.0;-480.0;-60
745.0;934.0;?;208.0;111.0;-481.0;-11
2184.0;947.0;?;217.0;85.0;-507.0;46
296.0;937.0;?;215.0;41.0;-544.0;71
1587.0;927.0;?;239.0;84.0;?;-25
723.0;911.0;?;233.0;189.0;?;-46
1128.0;865.0;?;221.0;218.0;?;39
955.0;890.0;?;241.0;218.0;?;-2
1033.0;923.0;?;250.0;283.0;?;-53
958.0;925.0;?;226.0;300.0;?;-105
963.0;933.0;?;238.0;267.0;?;-57
968.0;958.0;?;406.0;167.0;-598.0;42
984.0;962.0;?;399.0;22.0;-602.0;42
1001.0;942.0;?;204.0;145.0;-597.0;24
962.0;929.0;?;174.0;186.0;-606.0;-18
996.0;925.0;?;140.0;207.0;-601.0;-64
970.0;936.0;?;32.0;233.0;-591.0;-3
988.0;928.0;?;96.0;228.0;-580.0;34
951.0;918.0;?;268.0;255.0;-598.0;85
984.0;?;52;233.0;256.0;-595.0;48
975.0;?;68;295.0;256.0;-575.0;-64
998.0;?;-119;307.0;314.0;-575.0;?
986.0;?;?;263.0;299.0;-587.0;?
985.0;?;?;231.0;287.0;-607.0;?
971.0;?;971;240.0;266.0;-621.0;?
950.0;812.0;1309;197.0;272.0;-605.0;?
986.0;774.0;-1668;194.0;295.0;-573.0;?
1031.0;747.0;-874;199.0;290.0;-847.0;?
?;1155.0;632;174.0;292.0;-454.0;-779
?;1699.0;-319;219.0;274.0;-648.0;274
?;1204.0;31;262.0;256.0;-575.0;-77
?;887.0;-22;250.0;285.0;-521.0;-56
?;855.0;-108;229.0;?;-553.0;27
?;887.0;28;?;?;-559.0;-81
?;960.0;-76;?;?;-580.0;17
?;1079.0;-6;?;?;-500.0;-51
?;1068.0;-33;?;?;-547.0;-39
?;956.0;-33;?;?;-459.0;-37
?;860.0;-24;?;?;-428.0;-18
?;917.0;-13;?;?;-470.0;-14
?;970.0;-12;?;?;-478.0;-12
?;1016.0;-19;?;?;-480.0;-9
922.0;941.0;-12;?;?;-431.0;-18
971.0;905.0;-3;?;?;-460.0;-15
971.0;1000.0;-10;?;?;-451.0;-19
928.0;929.0;-9;?;?;-470.0;-15
931.0;925.0;0;?;?;-422.0;-9
925.0;899.0;-2;245.0;-165.0;-396.0;-7
932.0;923.0;-2;207.0;-60.0;-384.0;-1
932.0;944.0;0;378.0;48.0;-390.0;-7
947.0;922.0;-2;110.0;124.0;-420.0;-6
977.0;944.0;0;257.0;113.0;-396.0;-1
948.0;975.0;0;240.0;141.0;-452.0;-5
965.0;916.0;-6;200.0;181.0;-386.0;-4
912.0;918.0;-5;148.0;225.0;-406.0;-2
832.0;920.0;-2;209.0;228.0;-399.0;-4
822.0;941.0;3;272.0;217.0;-386.0;2
808.0;967.0;3;288.0;200.0;-440.0;6
721.0;976.0;2;248.0;229.0;-400.0;2
1395.0;933.0;0;236.0;232.0;-406.0;-5
1455.0;943.0;-6;207.0;245.0;-370.0;-8
?;923.0;-5;210.0;221.0;-409.0;0
?;948.0;0;184.0;178.0;-404.0;4
?;952.0;1;225.0;190.0;-398.0;0
?;968.0;-1;232.0;220.0;-378.0;-2
?;925.0;2;220.0;236.0;-350.0;0
?;910.0;5;209.0;213.0;-396.0;0
?;870.0;0;200.0;142.0;-425.0;1
?;956.0;-1;187.0;175.0;-423.0;7
?;983.0;0;?;154.0;-428.0;5
?;951.0;-3;?;138.0;-399.0;0
?;927.0;-4;?;148.0;-427.0;-1
?;935.0;-1;?;139.0;-430.0;-2
?;927.0;-1;?;150.0;-470.0;-2
?;936.0;-1;?;167.0;-456.0;-4
992.0;925.0;3;?;157.0;-444.0;-3
986.0;952.0;6;?;157.0;-457.0;-2
970.0;966.0;5;?;143.0;-438.0;-6
962.0;934.0;-1;?;140.0;-436.0;-1
?;927.0;-2;?;137.0;-419.0;0
?;924.0;4;167.0;142.0;-459.0;-2
?;937.0;-3;158.0;126.0;-436.0;0
?;919.0;-7;171.0;128.0;-422.0;2
?;927.0;1;204.0;144.0;-436.0;4
?;890.0;0;212.0;134.0;-444.0;9
978.0;929.0;4;204.0;157.0;-421.0;10
979.0;956.0;6;183.0;149.0;-446.0;1
979.0;941.0;1;181.0;141.0;-424.0;1
997.0;903.0;2;161.0;109.0;-410.0;4
983.0;913.0;4;151.0;117.0;-420.0;-2
970.0;935.0;8;140.0;64.0;-430.0;-2
983.0;958.0;8;131.0;66.0;-418.0;0
964.0;934.0;3;147.0;106.0;-425.0;1
965.0;955.0;0;158.0;119.0;-457.0;1
986.0;952.0;1;156.0;121.0;-432.0;1
990.0;920.0;2;195.0;113.0;-416.0;2
988.0;926.0;-1;192.0;115.0;-459.0;0
989.0;963.0;0;177.0;112.0;-502.0;-1
971.0;941.0;-4;185.0;120.0;-493.0;1
988.0;945.0;1;170.0;126.0;-471.0;3
965.0;947.0;?;193.0;115.0;-455.0;6
963.0;926.0;?;197.0;136.0;-448.0;6
971.0;910.0;?;173.0;132.0;-450.0;-1
980.0;939.0;?;171.0;110.0;-450.0;-6
976.0;949.0;?;190.0;128.0;-450.0;1
979.0;953.0;?;211.0;149.0;-460.0;3
956.0;966.0;?;189.0;181.0;-450.0;-1
988.0;957.0;?;195.0;184.0;-447.0;-4
980.0;911.0;?;198.0;153.0;-427.0;-4
968.0;937.0;?;211.0;149.0;-432.0;2
956.0;933.0;?;208.0;144.0;-424.0;3
965.0;943.0;?;186.0;143.0;-423.0;0
988.0;948.0;?;215.0;167.0;-432.0;4
989.0;944.0;-1;189.0;161.0;-427.0;6
989.0;956.0;6;199.0;164.0;-442.0;7
976.0;930.0;6;204.0;167.0;-452.0;3
963.0;?;3;228.0;176.0;-442.0;4
980.0;?;7;224.0;171.0;-439.0;5
976.0;?;2;213.0;167.0;-432.0;4
963.0;?;0;192.0;160.0;-411.0;5
968.0;?;6;191.0;167.0;-390.0;-3
975.0;?;7;171.0;208.0;-372.0;-1
976.0;?;1;160.0;186.0;-426.0;1
994.0;?;3;152.0;181.0;-453.0;0
969.0;?;2;175.0;185.0;-459.0;-1
961.0;?;0;181.0;181.0;-468.0;-6
990.0;?;9;182.0;184.0;-489.0;1
956.0;?;11;200.0;165.0;-458.0;4
960.0;?;5;214.0;?;-467.0;-1
952.0;944.0;5;233.0;?;-421.0;0
979.0;933.0;5;229.0;?;-375.0;-1
979.0;931.0;3;197.0;?;-431.0;-1
989.0;916.0;-2;218.0;?;-432.0;5
976.0;956.0;-1;214.0;?;-445.0;0
980.0;907.0;?;218.0;?;-451.0;-6
976.0;929.0;?;223.0;?;-431.0;-1
963.0;922.0;6;202.0;?;-431.0;2
965.0;923.0;7;201.0;?;-449.0;0
964.0;951.0;5;212.0;?;-441.0;1
968.0;938.0;0;208.0;?;-461.0;?
987.0;925.0;2;191.0;?;-428.0;?
988.0;922.0;3;202.0;?;-426.0;?
982.0;916.0;-4;201.0;?;-428.0;-2
970.0;926.0;-2;218.0;179.0;-458.0;1
978.0;945.0;2;241.0;177.0;-432.0;-3
979.0;909.0;6;250.0;207.0;-453.0;-9
970.0;937.0;1;232.0;207.0;-476.0;-2
979.0;948.0;1;233.0;203.0;-453.0;4
979.0;947.0;8;217.0;191.0;?;-1
991.0;919.0;3;203.0;162.0;?;-4
983.0;927.0;2;186.0;119.0;?;0
983.0;926.0;-2;179.0;144.0;-480.0;-3
984.0;942.0;0;200.0;166.0;-479.0;-5
983.0;951.0;5;201.0;188.0;-446.0;0
980.0;939.0;-2;222.0;190.0;-432.0;-4
962.0;940.0;0;219.0;227.0;-438.0;-7
958.0;914.0;3;200.0;194.0;-431.0;2
974.0;929.0;3;201.0;169.0;-445.0;3
978.0;905.0;0;186.0;137.0;-470.0;-7
988.0;922.0;1;203.0;151.0;-452.0;-3
980.0;919.0;2;218.0;150.0;-449.0;11
979.0;920.0;-11;194.0;159.0;-465.0;14
980.0;900.0;0;215.0;166.0;-476.0;8
996.0;920.0;10;211.0;187.0;-441.0;1
971.0;928.0;3;192.0;183.0;-473.0;-2
989.0;936.0;?;191.0;163.0;-463.0;-1
978.0;937.0;?;191.0;156.0;-469.0;-1
989.0;?;4;199.0;167.0;-450.0;-5
974.0;?;6;202.0;168.0;-480.0;-7
984.0;?;?;191.0;168.0;-457.0;-1
986.0;?;?;?;168.0;-464.0;3
968.0;?;?;?;170.0;-467.0;-2
984.0;?;?;?;201.0;-462.0;0
976.0;?;?;?;193.0;-490.0;5
968.0;?;?;?;176.0;-474.0;-3
970.0;?;?;?;162.0;-463.0;-3
978.0;?;?;?;167.0;-464.0;1
979.0;?;?;?;197.0;-478.0;-2
979.0;?;?;?;192.0;-519.0;2
970.0;?;?;?;194.0;-474.0;1
978.0;951.0;?;?;238.0;-494.0;0
969.0;954.0;?;?;232.0;?;1
982.0;966.0;?;?;185.0;?;0
970.0;955.0;?;?;168.0;?;2
962.0;938.0;1;201.0;186.0;?;0
972.0;946.0;?;192.0;170.0;?;-1
985.0;950.0;?;191.0;139.0;?;-1
986.0;933.0;?;202.0;169.0;?;-3
994.0;916.0;?;212.0;168.0;?;-1
964.0;966.0;?;209.0;179.0;?;-2
982.0;942.0;?;201.0;177.0;?;-3
975.0;935.0;0;216.0;178.0;-469.0;3
968.0;945.0;2;220.0;179.0;-513.0;-1
962.0;960.0;2;223.0;171.0;-440.0;-3
970.0;951.0;-1;214.0;150.0;-410.0;5
989.0;961.0;0;213.0;148.0;-463.0;4
988.0;914.0;0;202.0;153.0;-439.0;-2
977.0;916.0;?;215.0;162.0;-426.0;0
980.0;926.0;?;215.0;147.0;-469.0;2
972.0;956.0;?;216.0;165.0;-470.0;6
961.0;924.0;?;239.0;160.0;-447.0;2
972.0;933.0;?;232.0;148.0;-450.0;-5
966.0;953.0;?;211.0;139.0;-513.0;2
976.0;935.0;?;221.0;139.0;-446.0;2
977.0;951.0;?;208.0;140.0;-444.0;-8
986.0;932.0;?;190.0;149.0;-452.0;-6
982.0;908.0;?;190.0;?;-468.0;4
971.0;962.0;-2;195.0;?;-463.0;4
962.0;916.0;2;218.0;?;-461.0;-1
969.0;952.0;3;216.0;?;-456.0;3
970.0;961.0;2;210.0;?;-464.0;4
962.0;926.0;5;210.0;?;-462.0;-2
979.0;881.0;3;213.0;?;-485.0;0
979.0;944.0;0;193.0;?;-491.0;-1
991.0;984.0;5;163.0;?;-480.0;-6
982.0;985.0;5;161.0;?;-440.0;-1
968.0;?;4;168.0;?;-451.0;0
987.0;?;4;198.0;119.0;-451.0;0
978.0;?;0;211.0;138.0;-458.0;1
972.0;?;3;201.0;157.0;-452.0;?
979.0;?;8;210.0;139.0;-453.0;?
979.0;?;4;186.0;148.0;-427.0;?
971.0;963.0;1;157.0;138.0;-475.0;?
976.0;971.0;0;153.0;152.0;-457.0;?
979.0;938.0;-3;161.0;138.0;-432.0;?
978.0;912.0;-2;166.0;109.0;-420.0;?
979.0;928.0;-3;184.0;99.0;-435.0;?
970.0;955.0;-1;157.0;121.0;-425.0;?
970.0;925.0;2;180.0;98.0;-418.0;?
980.0;938.0;5;156.0;99.0;-448.0;?
977.0;958.0;6;179.0;117.0;-460.0;?
983.0;918.0;1;179.0;134.0;-431.0;-2
985.0;948.0;-3;168.0;125.0;-463.0;2
979.0;956.0;-1;172.0;99.0;-440.0;4
975.0;953.0;2;171.0;109.0;-428.0;1
985.0;935.0;6;161.0;78.0;-481.0;1
955.0;934.0;5;164.0;83.0;-431.0;0
979.0;928.0;0;?;118.0;-429.0;-8
969.0;937.0;?;?;112.0;-459.0;-4
972.0;943.0;?;?;131.0;-429.0;14
973.0;959.0;?;?;132.0;-460.0;11
985.0;944.0;?;161.0;132.0;-443.0;-2
990.0;927.0;?;160.0;99.0;-460.0;2
979.0;933.0;?;165.0;101.0;-481.0;6
976.0;943.0;?;182.0;96.0;-470.0;10
966.0;?;?;200.0;112.0;-452.0;4
997.0;938.0;?;194.0;122.0;-451.0;-3
961.0;964.0;?;191.0;110.0;-476.0;-1
967.0;955.0;?;183.0;102.0;-458.0;-3
986.0;940.0;?;180.0;97.0;-476.0;-5
997.0;986.0;?;191.0;128.0;-412.0;-2
979.0;958.0;4;181.0;129.0;-486.0;0
