InertialMeasurementUnit LUA gyroY;Accelerometer LUA_ accX;InertialMeasurementUnit BACK gyroY;Accelerometer LWR accX;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit LLA accZ;Accelerometer LUA^ accX;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;Accelerometer BACK accX
-2.0;-15.0;-20.0;-302.0;-143.0;43.0;26.0;315.0;95.0;-174.0;70.0
-24.0;26.0;39.0;-305.0;-123.0;60.0;23.0;305.0;8.0;-152.0;43.0
-112.0;58.0;27.0;-313.0;-108.0;85.0;14.0;313.0;-101.0;-58.0;45.0
-114.0;48.0;49.0;-333.0;-100.0;78.0;0.0;334.0;-113.0;0.0;34.0
-18.0;-28.0;-18.0;-313.0;-13.0;-155.0;-154.0;418.0;35.0;102.0;407.0
-22.0;-4.0;4.0;-292.0;-12.0;-139.0;-148.0;414.0;60.0;90.0;357.0
-33.0;-9.0;-16.0;-280.0;17.0;-168.0;-169.0;439.0;40.0;110.0;340.0
-71.0;-19.0;-30.0;-266.0;2.0;-199.0;-171.0;448.0;25.0;98.0;331.0
34.0;18.0;81.0;-252.0;-235.0;-24.0;70.0;465.0;75.0;-272.0;172.0
-46.0;-37.0;80.0;-384.0;-184.0;79.0;-144.0;449.0;-156.0;194.0;367.0
-47.0;-31.0;29.0;-371.0;-204.0;-23.0;-112.0;425.0;-3.0;278.0;405.0
-44.0;-33.0;3.0;-327.0;-163.0;32.0;-76.0;412.0;129.0;311.0;418.0
-165.0;5.0;-97.0;-386.0;408.0;-124.0;-13.0;338.0;-143.0;585.0;147.0
-59.0;19.0;-159.0;-401.0;285.0;-134.0;-16.0;327.0;22.0;455.0;115.0
62.0;20.0;-52.0;-378.0;180.0;-142.0;-13.0;309.0;136.0;275.0;86.0
119.0;14.0;-95.0;-379.0;95.0;-236.0;-14.0;317.0;199.0;170.0;84.0
137.0;9.0;-138.0;-360.0;52.0;-214.0;-20.0;305.0;263.0;24.0;77.0
-69.0;-10.0;-61.0;-341.0;-134.0;29.0;-43.0;397.0;295.0;270.0;453.0
-82.0;124.0;3.0;-324.0;-88.0;-135.0;-19.0;430.0;-11.0;-31.0;75.0
-127.0;122.0;-40.0;-337.0;-34.0;51.0;-21.0;485.0;-106.0;32.0;149.0
-107.0;107.0;-62.0;-348.0;-17.0;202.0;-25.0;483.0;-239.0;135.0;167.0
-5.0;132.0;-45.0;-408.0;-25.0;113.0;-2.0;513.0;105.0;-148.0;320.0
-17.0;116.0;6.0;-378.0;-76.0;62.0;0.0;493.0;214.0;-198.0;287.0
39.0;92.0;16.0;-379.0;-64.0;37.0;18.0;483.0;310.0;-288.0;275.0
22.0;-221.0;7.0;-406.0;71.0;-141.0;13.0;295.0;26.0;52.0;142.0
27.0;160.0;28.0;-189.0;38.0;71.0;103.0;552.0;15.0;86.0;346.0
-10.0;45.0;-43.0;-289.0;53.0;261.0;22.0;373.0;22.0;108.0;176.0
-17.0;23.0;-18.0;-297.0;55.0;201.0;29.0;370.0;57.0;78.0;180.0
-45.0;45.0;-35.0;-281.0;59.0;188.0;26.0;399.0;36.0;65.0;175.0
-21.0;58.0;-12.0;-298.0;47.0;175.0;28.0;399.0;14.0;79.0;172.0
-57.0;-199.0;-28.0;-389.0;-1.0;-135.0;61.0;371.0;44.0;162.0;247.0
179.0;116.0;30.0;-435.0;457.0;99.0;316.0;407.0;327.0;290.0;419.0
-396.0;164.0;-234.0;-152.0;-449.0;-3.0;-36.0;448.0;-679.0;-39.0;259.0
-143.0;-17.0;7.0;-381.0;-135.0;17.0;5.0;292.0;-369.0;134.0;166.0
13.0;24.0;48.0;-353.0;2.0;126.0;8.0;348.0;4.0;-40.0;60.0
28.0;2.0;46.0;-332.0;-1.0;156.0;3.0;322.0;-2.0;4.0;66.0
51.0;-8.0;46.0;-321.0;-16.0;205.0;5.0;333.0;-53.0;9.0;76.0
44.0;26.0;16.0;-333.0;-73.0;179.0;1.0;315.0;-86.0;9.0;147.0
-17.0;-185.0;-65.0;-389.0;20.0;-188.0;43.0;371.0;32.0;172.0;254.0
-57.0;-194.0;-42.0;-380.0;13.0;-135.0;27.0;380.0;36.0;223.0;238.0
34.0;-28.0;22.0;-297.0;-86.0;-104.0;26.0;307.0;54.0;-41.0;112.0
-46.0;-183.0;-65.0;-399.0;-11.0;-148.0;11.0;360.0;25.0;205.0;220.0
18.0;-64.0;-5.0;-258.0;238.0;-175.0;78.0;173.0;212.0;154.0;28.0
6.0;-1.0;-46.0;-452.0;14.0;57.0;1.0;715.0;83.0;-70.0;269.0
111.0;35.0;-3.0;-262.0;-112.0;25.0;29.0;341.0;95.0;-110.0;153.0
97.0;34.0;65.0;-272.0;-113.0;11.0;12.0;358.0;76.0;-147.0;144.0
-4.0;19.0;-13.0;-300.0;-57.0;49.0;-11.0;342.0;200.0;-224.0;111.0
1.0;47.0;4.0;-279.0;92.0;-7.0;35.0;353.0;84.0;45.0;158.0
157.0;-28.0;-67.0;-284.0;-288.0;-81.0;-2.0;286.0;293.0;-424.0;44.0
54.0;-1.0;20.0;-295.0;-133.0;87.0;-17.0;301.0;172.0;-324.0;146.0
-57.0;24.0;-24.0;-331.0;90.0;-18.0;41.0;314.0;-20.0;141.0;215.0
104.0;314.0;-115.0;-206.0;-501.0;76.0;-89.0;238.0;-322.0;-22.0;227.0
63.0;40.0;39.0;-286.0;-44.0;1.0;15.0;335.0;84.0;-55.0;161.0
43.0;30.0;65.0;-295.0;11.0;-25.0;3.0;362.0;99.0;-56.0;166.0
49.0;29.0;33.0;-297.0;37.0;-9.0;32.0;323.0;112.0;-10.0;171.0
-270.0;-104.0;-143.0;-464.0;601.0;79.0;-41.0;177.0;-227.0;749.0;76.0
-171.0;119.0;-94.0;-292.0;85.0;-146.0;120.0;444.0;-20.0;39.0;-17.0
64.0;73.0;-10.0;-284.0;52.0;-2.0;137.0;448.0;182.0;0.0;220.0
430.0;1.0;184.0;-391.0;88.0;260.0;133.0;373.0;344.0;-168.0;299.0
-33.0;-185.0;-34.0;-338.0;-4.0;8.0;90.0;345.0;70.0;149.0;124.0
25.0;57.0;-259.0;-250.0;131.0;199.0;-125.0;362.0;-182.0;-139.0;116.0
-103.0;17.0;-66.0;-342.0;150.0;53.0;-8.0;342.0;-80.0;184.0;172.0
-82.0;9.0;-22.0;-352.0;125.0;105.0;-5.0;325.0;-18.0;147.0;164.0
30.0;65.0;-20.0;-254.0;35.0;-54.0;56.0;380.0;133.0;15.0;229.0
33.0;56.0;-30.0;-254.0;82.0;-51.0;55.0;364.0;120.0;33.0;224.0
12.0;10.0;-22.0;-311.0;-52.0;4.0;16.0;333.0;44.0;-54.0;147.0
42.0;12.0;-2.0;-302.0;-57.0;-5.0;10.0;321.0;54.0;-61.0;150.0
47.0;30.0;10.0;-323.0;-59.0;-53.0;10.0;326.0;83.0;-14.0;148.0
64.0;29.0;27.0;-316.0;-35.0;-107.0;13.0;314.0;88.0;-13.0;151.0
14.0;58.0;-23.0;-251.0;72.0;-56.0;44.0;390.0;70.0;84.0;212.0
-3.0;63.0;-15.0;-269.0;77.0;-24.0;30.0;373.0;70.0;94.0;210.0
-44.0;70.0;-15.0;-272.0;97.0;-30.0;25.0;379.0;-23.0;116.0;221.0
-61.0;60.0;-3.0;-290.0;86.0;-45.0;17.0;379.0;-92.0;124.0;211.0
124.0;37.0;106.0;-336.0;39.0;-10.0;135.0;360.0;75.0;59.0;219.0
255.0;112.0;378.0;-196.0;16.0;36.0;108.0;495.0;216.0;21.0;219.0
326.0;66.0;83.0;-243.0;112.0;-1.0;73.0;400.0;524.0;-268.0;230.0
62.0;-136.0;-21.0;-375.0;30.0;44.0;128.0;495.0;144.0;-18.0;138.0
79.0;-298.0;-66.0;-611.0;-16.0;165.0;-244.0;410.0;171.0;69.0;234.0
92.0;-320.0;-58.0;-609.0;2.0;241.0;-215.0;435.0;182.0;114.0;200.0
100.0;-365.0;-17.0;-624.0;85.0;231.0;-99.0;418.0;93.0;192.0;202.0
17.0;-301.0;69.0;-649.0;36.0;-78.0;-298.0;489.0;2.0;154.0;212.0
220.0;-127.0;56.0;-725.0;172.0;139.0;-135.0;534.0;121.0;185.0;269.0
-119.0;-117.0;9.0;-653.0;-207.0;49.0;-178.0;534.0;-70.0;62.0;298.0
-120.0;-118.0;21.0;-660.0;-166.0;56.0;-174.0;538.0;-74.0;46.0;308.0
-136.0;-139.0;6.0;-671.0;-168.0;24.0;-190.0;535.0;-75.0;57.0;294.0
-131.0;-133.0;-16.0;-653.0;-199.0;33.0;-209.0;509.0;-83.0;18.0;278.0
46.0;-103.0;-67.0;-369.0;35.0;32.0;122.0;497.0;167.0;-39.0;130.0
25.0;-104.0;-49.0;-351.0;39.0;98.0;135.0;515.0;191.0;14.0;124.0
-10.0;-116.0;9.0;-350.0;31.0;138.0;142.0;496.0;158.0;79.0;129.0
-77.0;-98.0;28.0;-343.0;42.0;190.0;145.0;484.0;127.0;70.0;134.0
-58.0;-100.0;35.0;-338.0;87.0;195.0;139.0;487.0;103.0;71.0;113.0
-61.0;-87.0;26.0;-349.0;67.0;176.0;145.0;501.0;44.0;80.0;130.0
-73.0;-102.0;64.0;-350.0;114.0;126.0;134.0;499.0;34.0;129.0;134.0
-18.0;-95.0;-9.0;-357.0;14.0;-1.0;134.0;504.0;17.0;53.0;136.0
12.0;-89.0;-1.0;-375.0;18.0;-13.0;123.0;495.0;81.0;42.0;110.0
29.0;-95.0;-9.0;-377.0;3.0;-49.0;135.0;503.0;44.0;21.0;119.0
50.0;-87.0;7.0;-361.0;12.0;-41.0;135.0;495.0;25.0;34.0;112.0
35.0;144.0;-170.0;-205.0;-135.0;54.0;62.0;529.0;212.0;112.0;248.0
-1.0;-102.0;-6.0;-363.0;18.0;-31.0;133.0;504.0;29.0;24.0;117.0
29.0;-88.0;-13.0;-614.0;-3.0;21.0;127.0;486.0;14.0;25.0;134.0
10.0;-71.0;-17.0;-643.0;-12.0;-11.0;128.0;507.0;15.0;15.0;135.0
-31.0;20.0;118.0;-210.0;-53.0;79.0;-127.0;398.0;-243.0;111.0;355.0
-106.0;-77.0;-7.0;-219.0;-34.0;-107.0;-126.0;401.0;-106.0;56.0;492.0
-17.0;-83.0;-2.0;-730.0;16.0;0.0;-182.0;502.0;-75.0;-3.0;149.0
3.0;-106.0;16.0;-717.0;8.0;-4.0;-191.0;496.0;-43.0;47.0;146.0
21.0;-128.0;-17.0;-686.0;20.0;-15.0;-151.0;509.0;99.0;67.0;125.0
39.0;37.0;-38.0;-765.0;9.0;-46.0;-98.0;529.0;377.0;187.0;62.0
-13.0;23.0;-17.0;-738.0;62.0;-49.0;-211.0;518.0;218.0;407.0;58.0
6.0;24.0;135.0;-368.0;39.0;217.0;-136.0;338.0;-94.0;-70.0;148.0
12.0;-62.0;-71.0;-332.0;66.0;325.0;97.0;533.0;4.0;30.0;76.0
12.0;22.0;-32.0;-269.0;18.0;-37.0;117.0;543.0;44.0;34.0;174.0
-17.0;25.0;9.0;-274.0;-8.0;-21.0;116.0;551.0;34.0;42.0;167.0
10.0;1.0;-16.0;-258.0;21.0;-43.0;122.0;552.0;40.0;48.0;163.0
8.0;27.0;51.0;-263.0;8.0;-77.0;115.0;548.0;6.0;35.0;163.0
22.0;20.0;17.0;-249.0;-12.0;-68.0;127.0;557.0;48.0;48.0;174.0
24.0;29.0;31.0;-259.0;-8.0;-45.0;118.0;560.0;43.0;34.0;172.0
-1.0;29.0;22.0;-270.0;36.0;17.0;117.0;570.0;-59.0;48.0;176.0
10.0;20.0;30.0;-264.0;62.0;18.0;112.0;561.0;-95.0;46.0;172.0
-137.0;-92.0;-170.0;-446.0;-302.0;117.0;-212.0;235.0;-326.0;-113.0;13.0
136.0;-193.0;-96.0;-426.0;-139.0;191.0;-71.0;265.0;-26.0;-230.0;126.0
-11.0;-7.0;29.0;-263.0;73.0;44.0;117.0;573.0;-69.0;76.0;172.0
-23.0;15.0;7.0;-271.0;65.0;24.0;107.0;578.0;-80.0;78.0;182.0
-5.0;85.0;-17.0;-271.0;33.0;-85.0;39.0;418.0;45.0;84.0;360.0
10.0;71.0;-6.0;-280.0;22.0;-129.0;47.0;410.0;61.0;103.0;357.0
47.0;67.0;32.0;-277.0;-10.0;-8.0;57.0;407.0;39.0;26.0;283.0
25.0;69.0;7.0;-290.0;29.0;68.0;54.0;396.0;32.0;-2.0;282.0
27.0;67.0;13.0;-292.0;8.0;44.0;49.0;393.0;63.0;32.0;289.0
31.0;76.0;-30.0;-268.0;21.0;106.0;89.0;459.0;-6.0;94.0;313.0
1.0;53.0;-112.0;-274.0;407.0;390.0;-32.0;401.0;-80.0;522.0;372.0
-30.0;95.0;-30.0;-267.0;-8.0;328.0;98.0;447.0;-36.0;88.0;295.0
-28.0;93.0;-12.0;-253.0;15.0;350.0;95.0;472.0;-66.0;126.0;320.0
-27.0;141.0;28.0;-242.0;-71.0;89.0;131.0;513.0;-19.0;-14.0;352.0
86.0;-23.0;68.0;-517.0;-52.0;17.0;-85.0;463.0;-22.0;310.0;229.0
148.0;-30.0;46.0;-499.0;-76.0;15.0;-94.0;448.0;-68.0;330.0;201.0
146.0;-19.0;70.0;-485.0;-75.0;29.0;-112.0;451.0;-55.0;345.0;191.0
186.0;-389.0;98.0;-581.0;-91.0;230.0;-111.0;79.0;-264.0;667.0;53.0
-14.0;-365.0;-37.0;-538.0;61.0;122.0;-185.0;395.0;41.0;12.0;193.0
-560.0;-4.0;-874.0;-471.0;-42.0;161.0;-2.0;522.0;-156.0;-202.0;245.0
-7.0;-291.0;-42.0;-797.0;6.0;-139.0;-61.0;392.0;-75.0;86.0;202.0
-20.0;69.0;89.0;-227.0;11.0;-347.0;-5.0;537.0;-72.0;127.0;401.0
-53.0;60.0;90.0;-234.0;9.0;-274.0;-12.0;524.0;-102.0;123.0;410.0
166.0;15.0;257.0;-294.0;-215.0;-394.0;54.0;370.0;-243.0;291.0;176.0
14.0;76.0;83.0;-236.0;-40.0;-184.0;-24.0;512.0;-135.0;113.0;380.0
41.0;69.0;-33.0;-209.0;7.0;68.0;3.0;523.0;86.0;8.0;380.0
31.0;75.0;4.0;-190.0;40.0;61.0;2.0;523.0;32.0;14.0;391.0
6.0;65.0;-5.0;-200.0;13.0;103.0;-1.0;514.0;17.0;41.0;393.0
13.0;48.0;8.0;-216.0;62.0;86.0;2.0;515.0;16.0;68.0;391.0
-7.0;56.0;-12.0;-219.0;74.0;10.0;7.0;523.0;29.0;81.0;365.0
-136.0;142.0;-52.0;-151.0;6.0;230.0;5.0;552.0;155.0;-142.0;472.0
-29.0;98.0;-105.0;-200.0;100.0;41.0;7.0;511.0;-45.0;72.0;414.0
-34.0;78.0;-94.0;-188.0;123.0;45.0;6.0;515.0;-23.0;99.0;409.0
-22.0;83.0;-129.0;-190.0;148.0;74.0;11.0;514.0;-52.0;133.0;399.0
-204.0;113.0;-261.0;-262.0;260.0;29.0;140.0;734.0;-71.0;58.0;585.0
-56.0;-369.0;-49.0;-675.0;46.0;22.0;-213.0;325.0;-46.0;33.0;190.0
-101.0;-301.0;-18.0;-707.0;82.0;98.0;-238.0;432.0;-9.0;153.0;210.0
-85.0;82.0;68.0;-154.0;-34.0;145.0;-56.0;454.0;-69.0;-8.0;466.0
-3.0;10.0;-43.0;-213.0;83.0;-185.0;-87.0;446.0;45.0;85.0;438.0
13.0;9.0;-72.0;-215.0;75.0;-190.0;-83.0;428.0;56.0;124.0;417.0
40.0;26.0;-59.0;-209.0;75.0;-182.0;-88.0;430.0;46.0;134.0;411.0
26.0;9.0;-100.0;-210.0;73.0;-168.0;-98.0;414.0;44.0;140.0;396.0
47.0;23.0;-70.0;-219.0;96.0;-79.0;-105.0;406.0;19.0;118.0;399.0
32.0;18.0;-80.0;-177.0;88.0;-9.0;-97.0;419.0;67.0;105.0;399.0
179.0;87.0;-58.0;-126.0;-149.0;-92.0;-31.0;444.0;90.0;16.0;434.0
23.0;-360.0;-55.0;-701.0;84.0;-29.0;-164.0;304.0;-124.0;197.0;190.0
70.0;-383.0;-30.0;-740.0;33.0;-28.0;-212.0;366.0;19.0;95.0;200.0
123.0;-22.0;129.0;-342.0;-103.0;-467.0;-38.0;274.0;145.0;120.0;66.0
88.0;-27.0;58.0;-353.0;-29.0;-410.0;-31.0;296.0;84.0;153.0;77.0
80.0;-48.0;31.0;-382.0;12.0;-308.0;-20.0;305.0;72.0;216.0;85.0
6.0;5.0;26.0;-379.0;29.0;-152.0;-4.0;272.0;8.0;187.0;116.0
-75.0;98.0;-113.0;-237.0;99.0;-106.0;94.0;487.0;-43.0;187.0;287.0
-61.0;79.0;-82.0;-253.0;71.0;-32.0;104.0;475.0;-35.0;69.0;346.0
-37.0;90.0;-72.0;-268.0;67.0;-43.0;108.0;490.0;2.0;37.0;381.0
-10.0;92.0;-83.0;-251.0;35.0;-31.0;112.0;506.0;87.0;26.0;399.0
16.0;85.0;-71.0;-244.0;82.0;-18.0;113.0;502.0;82.0;14.0;375.0
39.0;96.0;-84.0;-231.0;68.0;-50.0;105.0;504.0;126.0;-1.0;403.0
226.0;132.0;-72.0;-147.0;-35.0;-70.0;253.0;713.0;-12.0;-112.0;623.0
37.0;126.0;-102.0;-186.0;35.0;-58.0;100.0;522.0;180.0;-41.0;402.0
53.0;116.0;-107.0;-171.0;44.0;-53.0;93.0;515.0;196.0;-24.0;405.0
24.0;128.0;-16.0;-204.0;31.0;-18.0;85.0;519.0;38.0;96.0;386.0
384.0;254.0;406.0;-26.0;50.0;-637.0;186.0;530.0;181.0;-228.0;413.0
44.0;100.0;98.0;-214.0;-88.0;36.0;105.0;487.0;127.0;-108.0;412.0
-405.0;390.0;164.0;-110.0;77.0;-123.0;462.0;560.0;142.0;-474.0;394.0
89.0;46.0;56.0;-268.0;-73.0;21.0;58.0;374.0;219.0;-245.0;244.0
117.0;17.0;93.0;-255.0;-107.0;23.0;58.0;382.0;204.0;-257.0;215.0
116.0;117.0;153.0;-290.0;-291.0;-58.0;113.0;442.0;358.0;-381.0;256.0
112.0;49.0;63.0;-279.0;-228.0;-252.0;24.0;447.0;328.0;-411.0;230.0
147.0;55.0;120.0;-242.0;-90.0;-22.0;45.0;376.0;225.0;-241.0;241.0
39.0;-42.0;16.0;-704.0;29.0;-38.0;-445.0;528.0;17.0;72.0;157.0
27.0;-98.0;-17.0;-499.0;23.0;-31.0;-456.0;508.0;92.0;101.0;145.0
17.0;-82.0;-19.0;-504.0;-3.0;-6.0;-398.0;551.0;79.0;52.0;144.0
0.0;-54.0;-28.0;-565.0;11.0;-2.0;-380.0;554.0;63.0;31.0;143.0
-23.0;-173.0;-26.0;-496.0;-1.0;0.0;-367.0;529.0;7.0;-20.0;154.0
-12.0;-111.0;-11.0;-526.0;13.0;-11.0;-356.0;554.0;-60.0;-50.0;144.0
11.0;-96.0;11.0;-473.0;14.0;-2.0;66.0;539.0;14.0;30.0;129.0
8.0;-69.0;-21.0;-464.0;20.0;-1.0;62.0;530.0;43.0;35.0;133.0
0.0;-126.0;-1.0;-551.0;18.0;21.0;27.0;359.0;33.0;38.0;61.0
-2.0;-135.0;-24.0;-537.0;20.0;9.0;23.0;362.0;33.0;48.0;57.0
4.0;-145.0;-11.0;-534.0;0.0;5.0;21.0;353.0;22.0;13.0;58.0
-14.0;-136.0;-30.0;-536.0;12.0;26.0;24.0;352.0;36.0;12.0;72.0
-74.0;31.0;-200.0;-281.0;-47.0;-242.0;-108.0;186.0;-121.0;-67.0;107.0
-105.0;68.0;-135.0;-354.0;-34.0;-220.0;-90.0;129.0;-65.0;-85.0;81.0
184.0;24.0;19.0;-440.0;487.0;-423.0;203.0;263.0;150.0;-125.0;118.0
62.0;119.0;-9.0;-224.0;156.0;-187.0;72.0;376.0;40.0;86.0;157.0
25.0;113.0;-13.0;-240.0;145.0;-159.0;68.0;403.0;7.0;209.0;252.0
-10.0;-127.0;-52.0;-533.0;17.0;42.0;26.0;361.0;24.0;64.0;87.0
-17.0;-135.0;-10.0;-544.0;20.0;37.0;24.0;361.0;37.0;48.0;67.0
-6.0;-127.0;-7.0;-535.0;30.0;71.0;24.0;373.0;16.0;40.0;97.0
-23.0;-136.0;-52.0;-535.0;33.0;42.0;20.0;378.0;26.0;38.0;106.0
-21.0;-123.0;-17.0;-516.0;20.0;78.0;24.0;370.0;30.0;68.0;93.0
-23.0;-130.0;-69.0;-550.0;32.0;82.0;19.0;374.0;29.0;36.0;75.0
25.0;-143.0;-31.0;-555.0;-25.0;-68.0;3.0;366.0;13.0;30.0;65.0
40.0;-146.0;-39.0;-559.0;-35.0;68.0;7.0;351.0;17.0;56.0;75.0
31.0;-127.0;-58.0;-565.0;-10.0;181.0;5.0;353.0;22.0;51.0;70.0
64.0;-17.0;-9.0;-324.0;-16.0;7.0;-22.0;291.0;114.0;-41.0;145.0
55.0;1.0;-31.0;-321.0;-17.0;11.0;-24.0;287.0;157.0;-37.0;136.0
-117.0;9.0;-58.0;-280.0;-4.0;87.0;-23.0;295.0;-179.0;-8.0;113.0
-139.0;3.0;-90.0;-276.0;-1.0;98.0;-23.0;295.0;-201.0;-61.0;157.0
-183.0;29.0;-93.0;-282.0;26.0;151.0;-15.0;298.0;-225.0;-96.0;174.0
-274.0;117.0;-219.0;-398.0;348.0;379.0;67.0;395.0;-162.0;-64.0;317.0
6.0;-136.0;-74.0;-557.0;28.0;236.0;6.0;342.0;30.0;44.0;59.0
14.0;-126.0;-105.0;-545.0;51.0;272.0;5.0;352.0;-9.0;47.0;66.0
-38.0;-173.0;-93.0;-556.0;79.0;37.0;-7.0;373.0;23.0;26.0;76.0
-40.0;-155.0;-35.0;-560.0;79.0;42.0;-13.0;334.0;39.0;44.0;86.0
-79.0;-155.0;-43.0;-566.0;58.0;104.0;-17.0;352.0;27.0;38.0;68.0
-52.0;-155.0;-32.0;-546.0;12.0;47.0;-17.0;360.0;48.0;37.0;67.0
0.0;-158.0;-9.0;-553.0;6.0;76.0;-24.0;347.0;17.0;40.0;27.0
106.0;-151.0;150.0;-516.0;-28.0;-379.0;-12.0;381.0;55.0;8.0;72.0
2.0;-151.0;109.0;-534.0;-6.0;-303.0;-8.0;394.0;8.0;15.0;92.0
33.0;-159.0;102.0;-498.0;-20.0;-99.0;-13.0;409.0;30.0;5.0;82.0
2.0;-113.0;111.0;-550.0;-37.0;102.0;-12.0;395.0;16.0;46.0;107.0
-31.0;-126.0;105.0;-509.0;-41.0;264.0;-23.0;404.0;22.0;42.0;94.0
272.0;31.0;-41.0;-486.0;129.0;-17.0;47.0;572.0;13.0;255.0;151.0
47.0;-121.0;-161.0;-570.0;247.0;21.0;72.0;466.0;53.0;324.0;124.0
-45.0;-134.0;-71.0;-321.0;78.0;-59.0;183.0;436.0;31.0;18.0;144.0
-82.0;-29.0;-52.0;-304.0;75.0;-36.0;183.0;450.0;-22.0;94.0;122.0
