InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit BACK Quaternion3;Accelerometer RWR accX;Accelerometer RUA^ accX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit RLA accY;InertialMeasurementUnit RLA accZ;Accelerometer RUA_ accZ
?;168.0;-545.0;-313.0;-48.0;-177;211.0;442.0;71.0
?;149.0;-544.0;-328.0;-44.0;-177;203.0;450.0;46.0
?;145.0;-544.0;-314.0;-25.0;-177;214.0;452.0;40.0
-652.0;149.0;-544.0;-341.0;-25.0;-177;229.0;435.0;31.0
-652.0;143.0;?;-382.0;-20.0;-177;243.0;448.0;39.0
-651.0;145.0;-544.0;-364.0;0.0;-177;240.0;461.0;40.0
-650.0;?;-544.0;-382.0;8.0;-177;249.0;479.0;39.0
-649.0;?;-544.0;-383.0;-23.0;-177;261.0;492.0;22.0
-648.0;?;-544.0;-381.0;-38.0;-177;258.0;508.0;52.0
-648.0;?;-544.0;-361.0;-21.0;-177;253.0;508.0;53.0
-649.0;?;-544.0;-333.0;-14.0;-177;251.0;507.0;70.0
-651.0;?;-544.0;-307.0;-46.0;-177;265.0;510.0;37.0
-652.0;?;-544.0;-360.0;-44.0;-177;268.0;509.0;36.0
-653.0;?;-544.0;-368.0;-54.0;-177;283.0;500.0;56.0
-653.0;?;-545.0;-344.0;-49.0;-177;275.0;499.0;38.0
-652.0;?;-545.0;-382.0;-24.0;-177;242.0;498.0;67.0
-653.0;?;-546.0;-400.0;-23.0;-177;224.0;503.0;71.0
-653.0;?;-546.0;-376.0;-37.0;-177;232.0;499.0;43.0
