InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit LUA magneticX;Accelerometer LH accZ;InertialMeasurementUnit RLA magneticZ;Accelerometer RKN^ accY;InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit LLA magneticZ;Accelerometer LH accX;Accelerometer LWR accZ;InertialMeasurementUnit R-SHOE EuY
119;760.0;87.0;-165.0;991.0;-402.0;219.0;229.0;365.0;-26
116;736.0;58.0;-140.0;1032.0;-352.0;148.0;227.0;274.0;-23
98;669.0;120.0;-66.0;1027.0;-191.0;-28.0;114.0;288.0;-21
93;654.0;176.0;-61.0;985.0;-147.0;-74.0;174.0;283.0;-21
90;634.0;188.0;-63.0;1097.0;-100.0;-112.0;253.0;277.0;-21
87;617.0;242.0;-87.0;1039.0;-52.0;-141.0;365.0;312.0;-21
85;597.0;309.0;-113.0;1013.0;-11.0;-159.0;443.0;366.0;-21
144;298.0;66.0;-571.0;987.0;-249.0;159.0;448.0;443.0;-43
144;328.0;16.0;-609.0;1091.0;-240.0;190.0;687.0;278.0;-60
144;334.0;76.0;-613.0;1278.0;-247.0;205.0;538.0;232.0;-60
142;175.0;224.0;-232.0;1151.0;-73.0;94.0;487.0;389.0;-44
152;396.0;-45.0;-384.0;1008.0;-90.0;494.0;271.0;407.0;-28
152;376.0;-11.0;-349.0;993.0;-76.0;465.0;442.0;512.0;-28
152;361.0;4.0;-300.0;1014.0;-35.0;444.0;560.0;600.0;-28
-193;427.0;17.0;-233.0;935.0;238.0;330.0;246.0;371.0;-28
154;486.0;579.0;-59.0;1021.0;-480.0;493.0;308.0;136.0;-27
128;425.0;186.0;-142.0;1147.0;-378.0;125.0;65.0;180.0;-12
134;421.0;221.0;-123.0;911.0;-381.0;107.0;125.0;225.0;-12
178;453.0;314.0;-95.0;1386.0;-387.0;112.0;351.0;373.0;-12
125;573.0;-22.0;-238.0;1216.0;-464.0;287.0;423.0;485.0;-38
104;409.0;121.0;-223.0;910.0;-34.0;506.0;341.0;358.0;-27
104;390.0;74.0;-297.0;1135.0;-72.0;500.0;381.0;405.0;-27
104;385.0;72.0;-316.0;867.0;-84.0;500.0;424.0;410.0;-27
13;273.0;88.0;316.0;984.0;180.0;-476.0;-71.0;187.0;-44
-98;504.0;25.0;-476.0;1016.0;-359.0;490.0;360.0;392.0;-31
-151;462.0;49.0;-260.0;1005.0;-511.0;592.0;335.0;462.0;-23
-98;506.0;24.0;-478.0;1031.0;-361.0;488.0;348.0;388.0;-31
-98;506.0;35.0;-483.0;1021.0;-363.0;491.0;334.0;401.0;-31
-98;505.0;52.0;-484.0;1032.0;-366.0;490.0;330.0;404.0;-31
113;500.0;63.0;-647.0;999.0;-459.0;600.0;220.0;318.0;-27
110;361.0;179.0;158.0;1188.0;-182.0;-154.0;430.0;368.0;-71
58;342.0;128.0;-11.0;791.0;-131.0;-218.0;461.0;342.0;-26
-129;495.0;210.0;-483.0;776.0;-21.0;-37.0;500.0;291.0;-57
-159;315.0;-784.0;-612.0;980.0;-8.0;-481.0;760.0;880.0;-32
-108;246.0;-177.0;-414.0;1015.0;163.0;-317.0;438.0;499.0;-68
-157;-325.0;-46.0;-8.0;293.0;144.0;-623.0;946.0;630.0;-72
-4;547.0;38.0;197.0;1039.0;32.0;-142.0;471.0;466.0;-30
39;721.0;-55.0;99.0;939.0;93.0;-105.0;769.0;542.0;-22
-3;542.0;-55.0;177.0;1011.0;1.0;-148.0;537.0;485.0;-30
-94;133.0;353.0;170.0;1027.0;152.0;-60.0;1105.0;420.0;-18
27;484.0;162.0;48.0;1011.0;-275.0;-37.0;520.0;317.0;-28
-172;362.0;67.0;-70.0;1001.0;40.0;331.0;130.0;329.0;-35
-172;364.0;73.0;-59.0;1023.0;50.0;324.0;114.0;332.0;-37
-177;294.0;185.0;-340.0;1000.0;26.0;346.0;244.0;345.0;-25
-178;294.0;198.0;-372.0;999.0;7.0;355.0;277.0;355.0;-25
-178;294.0;250.0;-398.0;1008.0;-11.0;363.0;346.0;376.0;-25
-133;309.0;194.0;-363.0;993.0;34.0;350.0;223.0;480.0;-25
-133;313.0;200.0;-363.0;990.0;34.0;348.0;187.0;433.0;-25
-133;314.0;219.0;-364.0;995.0;36.0;349.0;182.0;458.0;-25
-133;313.0;228.0;-365.0;1018.0;35.0;348.0;197.0;480.0;-25
-133;312.0;128.0;-379.0;999.0;27.0;347.0;220.0;465.0;-25
-133;312.0;54.0;-383.0;1011.0;25.0;348.0;252.0;504.0;-25
-133;311.0;109.0;-386.0;1010.0;23.0;350.0;279.0;466.0;-25
-133;350.0;140.0;-480.0;1123.0;-141.0;414.0;285.0;379.0;-25
-133;365.0;159.0;-481.0;1112.0;-155.0;384.0;352.0;384.0;-25
-133;379.0;141.0;-482.0;1041.0;-168.0;355.0;406.0;394.0;-25
-133;389.0;62.0;-486.0;1060.0;-182.0;328.0;351.0;395.0;-25
-133;390.0;-65.0;-488.0;1083.0;-192.0;308.0;405.0;482.0;-25
-133;391.0;-100.0;-490.0;1064.0;-206.0;303.0;369.0;576.0;-25
-133;389.0;-96.0;-495.0;995.0;-220.0;311.0;336.0;597.0;-25
-179;284.0;-256.0;-524.0;979.0;-400.0;350.0;657.0;747.0;-28
-131;363.0;-280.0;-583.0;1026.0;-112.0;314.0;965.0;653.0;-26
14;581.0;326.0;71.0;923.0;-140.0;7.0;279.0;233.0;-44
1;469.0;782.0;129.0;962.0;113.0;202.0;374.0;59.0;-22
13;599.0;421.0;56.0;952.0;-165.0;3.0;305.0;197.0;-49
13;661.0;392.0;10.0;961.0;-263.0;-76.0;348.0;268.0;-48
115;633.0;294.0;-744.0;1002.0;-722.0;518.0;220.0;149.0;-25
158;246.0;222.0;-678.0;994.0;-137.0;168.0;452.0;305.0;-63
158;251.0;203.0;-674.0;997.0;-133.0;171.0;351.0;307.0;-54
158;259.0;150.0;-674.0;999.0;-129.0;175.0;341.0;334.0;-48
158;279.0;132.0;-677.0;1038.0;-125.0;188.0;362.0;373.0;-40
-18;583.0;308.0;-518.0;1051.0;-15.0;189.0;788.0;398.0;-31
158;298.0;101.0;-680.0;1069.0;-113.0;199.0;380.0;322.0;-33
158;306.0;73.0;-685.0;1102.0;-104.0;213.0;377.0;348.0;-32
158;326.0;54.0;-694.0;1057.0;-98.0;229.0;346.0;396.0;-33
158;349.0;29.0;-709.0;1194.0;-99.0;236.0;318.0;390.0;-31
97;535.0;80.0;-871.0;1872.0;-508.0;572.0;336.0;393.0;-23
158;382.0;84.0;-721.0;999.0;-108.0;207.0;291.0;370.0;-32
155;388.0;111.0;-724.0;900.0;-113.0;188.0;267.0;336.0;-31
170;322.0;80.0;-505.0;982.0;-24.0;188.0;564.0;467.0;-32
169;326.0;59.0;-516.0;985.0;-64.0;199.0;545.0;477.0;-31
169;333.0;53.0;-524.0;999.0;-114.0;215.0;555.0;487.0;-29
169;343.0;77.0;-526.0;1034.0;-167.0;237.0;570.0;502.0;-28
-21;590.0;179.0;-102.0;1010.0;-265.0;-273.0;346.0;365.0;-32
-21;603.0;194.0;-236.0;1015.0;-328.0;-243.0;351.0;375.0;-32
-21;614.0;114.0;-313.0;1022.0;-361.0;-220.0;332.0;408.0;-32
-21;624.0;83.0;-374.0;1009.0;-373.0;-203.0;311.0;410.0;-32
-21;633.0;50.0;-538.0;1027.0;-397.0;-151.0;184.0;238.0;-32
-21;616.0;121.0;-557.0;1021.0;-380.0;-150.0;149.0;357.0;-30
-21;612.0;85.0;-557.0;1019.0;-375.0;-158.0;229.0;368.0;-30
16;309.0;68.0;84.0;1010.0;-19.0;-163.0;82.0;494.0;-50
16;353.0;-116.0;71.0;971.0;-54.0;-128.0;216.0;476.0;-51
-69;204.0;151.0;211.0;1210.0;76.0;46.0;765.0;331.0;-18
-145;286.0;596.0;-55.0;1091.0;99.0;30.0;733.0;193.0;-38
-147;165.0;609.0;75.0;907.0;187.0;-16.0;475.0;-29.0;-26
19;291.0;717.0;-161.0;960.0;114.0;-60.0;289.0;-28.0;-28
19;468.0;321.0;51.0;910.0;-117.0;-99.0;373.0;115.0;-51
-29;658.0;176.0;185.0;945.0;43.0;-138.0;23.0;125.0;-22
-149;492.0;304.0;-577.0;1020.0;-528.0;535.0;322.0;243.0;-24
-145;382.0;195.0;-469.0;1004.0;-442.0;357.0;367.0;406.0;-26
-186;451.0;175.0;-505.0;1001.0;-771.0;703.0;491.0;529.0;-28
-139;293.0;-132.0;-434.0;972.0;-6.0;-298.0;702.0;626.0;-27
-108;299.0;-314.0;-459.0;1092.0;120.0;-238.0;1014.0;816.0;-67
-139;294.0;-119.0;-432.0;964.0;-8.0;-302.0;687.0;609.0;-27
99;243.0;-643.0;-856.0;1019.0;-499.0;-25.0;391.0;367.0;-24
-146;397.0;58.0;-654.0;990.0;-287.0;-203.0;442.0;764.0;-27
-151;448.0;118.0;-546.0;1018.0;-319.0;404.0;231.0;345.0;-27
-190;612.0;29.0;-593.0;1031.0;-386.0;439.0;50.0;283.0;-32
-151;444.0;99.0;-556.0;1021.0;-324.0;419.0;258.0;362.0;-27
-151;442.0;85.0;-559.0;1026.0;-324.0;423.0;270.0;406.0;-27
-151;441.0;73.0;-561.0;1042.0;-328.0;425.0;259.0;398.0;-27
-151;436.0;39.0;-561.0;1003.0;-329.0;432.0;280.0;439.0;-27
-155;252.0;385.0;-569.0;1009.0;8.0;225.0;473.0;496.0;-26
-155;253.0;405.0;-569.0;1019.0;10.0;226.0;405.0;511.0;-26
-155;265.0;314.0;-584.0;1033.0;-5.0;245.0;545.0;472.0;-26
-155;268.0;357.0;-585.0;1002.0;-13.0;250.0;558.0;537.0;-26
-154;215.0;62.0;-171.0;995.0;-292.0;61.0;991.0;571.0;-25
-152;388.0;-68.0;-623.0;953.0;-194.0;139.0;472.0;514.0;-25
-151;385.0;-89.0;-599.0;916.0;-186.0;142.0;449.0;488.0;-24
-115;429.0;-11.0;-308.0;1196.0;-202.0;505.0;487.0;437.0;-31
-116;427.0;-3.0;-314.0;928.0;-196.0;503.0;498.0;528.0;-29
-117;427.0;60.0;-320.0;987.0;-190.0;504.0;529.0;508.0;-28
-117;430.0;135.0;-332.0;978.0;-185.0;505.0;463.0;388.0;-28
-10;365.0;586.0;-49.0;971.0;33.0;662.0;421.0;-104.0;-10
-113;428.0;192.0;-357.0;959.0;-190.0;504.0;133.0;258.0;-27
117;251.0;562.0;-506.0;1027.0;-308.0;369.0;446.0;113.0;-27
-33;267.0;621.0;-165.0;917.0;-181.0;552.0;417.0;-169.0;-10
118;223.0;402.0;-468.0;1027.0;-213.0;274.0;366.0;196.0;-29
-37;193.0;587.0;-50.0;952.0;-65.0;430.0;302.0;-141.0;-10
-14;152.0;628.0;-77.0;1054.0;8.0;148.0;440.0;152.0;6
-64;280.0;-55.0;-733.0;1067.0;-39.0;-233.0;-117.0;189.0;-35
118;224.0;276.0;-415.0;1062.0;-104.0;230.0;435.0;266.0;-36
118;228.0;176.0;-385.0;1105.0;-63.0;220.0;497.0;387.0;-36
118;282.0;165.0;-345.0;1021.0;114.0;253.0;310.0;417.0;-45
93;382.0;11.0;-15.0;982.0;64.0;-337.0;176.0;381.0;-25
-101;268.0;152.0;-89.0;984.0;226.0;-305.0;248.0;335.0;-31
61;449.0;337.0;-183.0;992.0;224.0;-479.0;219.0;40.0;-31
99;382.0;133.0;-24.0;977.0;56.0;-331.0;181.0;311.0;-25
105;403.0;39.0;-45.0;970.0;62.0;-331.0;189.0;388.0;-25
105;402.0;37.0;-46.0;968.0;62.0;-332.0;189.0;389.0;-25
105;399.0;26.0;-48.0;994.0;62.0;-335.0;196.0;365.0;-25
105;398.0;40.0;-51.0;973.0;59.0;-338.0;198.0;393.0;-25
105;395.0;28.0;-55.0;980.0;57.0;-339.0;208.0;365.0;-25
105;394.0;15.0;-61.0;987.0;52.0;-339.0;207.0;378.0;-25
105;393.0;47.0;-62.0;1010.0;52.0;-340.0;211.0;399.0;-25
105;394.0;52.0;-63.0;983.0;51.0;-341.0;223.0;375.0;-25
147;775.0;-213.0;-715.0;993.0;-750.0;113.0;570.0;548.0;-26
51;554.0;165.0;137.0;819.0;-219.0;121.0;395.0;395.0;-85
51;538.0;174.0;132.0;679.0;-204.0;75.0;434.0;429.0;-75
103;642.0;16.0;-617.0;1004.0;-514.0;-111.0;265.0;388.0;-29
104;642.0;37.0;-640.0;1025.0;-521.0;-112.0;234.0;374.0;-29
-40;310.0;71.0;42.0;821.0;-196.0;-441.0;384.0;388.0;-39
149;947.0;97.0;-741.0;994.0;-558.0;-41.0;184.0;328.0;-26
-46;303.0;47.0;265.0;846.0;163.0;-446.0;510.0;607.0;-5
67;267.0;173.0;226.0;755.0;50.0;-355.0;587.0;423.0;-21
192;372.0;108.0;87.0;890.0;-136.0;-385.0;434.0;420.0;-39
103;584.0;43.0;-7.0;1030.0;-39.0;-146.0;255.0;356.0;-27
103;515.0;-7.0;-69.0;907.0;-52.0;-233.0;144.0;392.0;-12
104;514.0;-63.0;-86.0;945.0;-60.0;-238.0;152.0;371.0;-10
103;515.0;-105.0;-103.0;991.0;-68.0;-242.0;125.0;441.0;-10
103;519.0;-153.0;-124.0;965.0;-89.0;-249.0;129.0;405.0;-8
103;522.0;-92.0;-150.0;974.0;-100.0;-254.0;130.0;443.0;-5
104;524.0;-37.0;-172.0;976.0;-107.0;-252.0;127.0;380.0;-4
61;576.0;50.0;-238.0;1009.0;-200.0;-195.0;237.0;393.0;-3
61;574.0;43.0;-234.0;998.0;-202.0;-201.0;258.0;384.0;-3
61;576.0;55.0;-227.0;1026.0;-201.0;-199.0;276.0;406.0;-3
61;578.0;48.0;-221.0;1018.0;-198.0;-199.0;286.0;411.0;-3
61;578.0;70.0;-214.0;1019.0;-196.0;-198.0;270.0;378.0;-3
61;579.0;61.0;-210.0;1029.0;-192.0;-193.0;319.0;384.0;-3
61;581.0;81.0;-204.0;1022.0;-186.0;-191.0;311.0;437.0;-3
61;583.0;80.0;-196.0;1029.0;-182.0;-182.0;332.0;419.0;-3
61;582.0;86.0;-143.0;1037.0;-144.0;-157.0;382.0;375.0;-3
61;579.0;97.0;-138.0;1009.0;-139.0;-166.0;343.0;402.0;-3
62;402.0;-41.0;-148.0;806.0;5.0;-408.0;208.0;478.0;-8
62;407.0;-46.0;-146.0;357.0;4.0;-394.0;213.0;432.0;-8
62;401.0;-62.0;-131.0;805.0;24.0;-424.0;217.0;462.0;-7
-157;-413.0;-688.0;-261.0;308.0;31.0;-631.0;726.0;840.0;-72
62;406.0;-100.0;-109.0;658.0;26.0;-417.0;216.0;478.0;-8
62;438.0;-88.0;-66.0;880.0;34.0;-370.0;187.0;413.0;-10
61;459.0;-61.0;-46.0;851.0;36.0;-339.0;197.0;421.0;-15
61;484.0;-14.0;-33.0;894.0;38.0;-309.0;200.0;338.0;-22
65;516.0;-53.0;-367.0;901.0;-135.0;-335.0;221.0;605.0;-36
65;508.0;-74.0;-333.0;779.0;-115.0;-318.0;137.0;654.0;-36
65;500.0;-103.0;-300.0;837.0;-95.0;-303.0;63.0;624.0;-36
65;499.0;-158.0;-284.0;1000.0;-76.0;-283.0;107.0;541.0;-36
65;502.0;-144.0;-274.0;978.0;-56.0;-250.0;136.0;473.0;-36
65;504.0;-129.0;-249.0;657.0;-34.0;-199.0;57.0;496.0;-36
-82;441.0;-486.0;-610.0;362.0;-132.0;-402.0;9.0;237.0;-37
64;541.0;96.0;-208.0;837.0;20.0;-91.0;215.0;332.0;-31
-82;516.0;189.0;-121.0;1501.0;-156.0;43.0;72.0;196.0;-39
64;544.0;214.0;-209.0;955.0;-3.0;-115.0;255.0;286.0;-29
63;544.0;229.0;-211.0;1048.0;-11.0;-131.0;277.0;333.0;-28
63;543.0;235.0;-210.0;999.0;-18.0;-153.0;374.0;400.0;-28
56;538.0;232.0;-209.0;1049.0;-26.0;-182.0;471.0;434.0;-28
46;535.0;169.0;-209.0;940.0;-28.0;-215.0;547.0;486.0;-28
28;480.0;66.0;-197.0;1030.0;-103.0;-338.0;451.0;563.0;-28
29;475.0;95.0;-196.0;994.0;-103.0;-337.0;414.0;511.0;-28
31;538.0;80.0;-200.0;809.0;-131.0;-225.0;146.0;311.0;-28
31;549.0;49.0;-199.0;834.0;-135.0;-207.0;156.0;336.0;-28
41;547.0;125.0;-113.0;886.0;-118.0;-215.0;284.0;365.0;-28
41;541.0;89.0;-109.0;872.0;-112.0;-223.0;307.0;385.0;-28
40;534.0;30.0;-111.0;923.0;-103.0;-231.0;291.0;393.0;-28
40;527.0;10.0;-113.0;902.0;-95.0;-239.0;303.0;404.0;-28
40;520.0;27.0;-118.0;913.0;-84.0;-251.0;275.0;403.0;-28
40;512.0;8.0;-115.0;874.0;-70.0;-258.0;255.0;394.0;-28
40;502.0;28.0;-114.0;899.0;-57.0;-263.0;236.0;391.0;-28
40;171.0;143.0;-80.0;892.0;-31.0;-196.0;142.0;181.0;-28
40;171.0;160.0;-76.0;929.0;-37.0;-199.0;156.0;198.0;-28
40;170.0;182.0;-74.0;946.0;-39.0;-202.0;136.0;177.0;-28
40;169.0;181.0;-68.0;909.0;-41.0;-205.0;137.0;168.0;-28
32;-74.0;273.0;106.0;837.0;287.0;-359.0;215.0;154.0;-29
40;167.0;158.0;-47.0;943.0;-37.0;-212.0;126.0;190.0;-28
40;167.0;142.0;-39.0;941.0;-35.0;-216.0;137.0;204.0;-28
40;179.0;166.0;-25.0;953.0;-35.0;-208.0;113.0;208.0;-28
40;178.0;154.0;-24.0;952.0;-36.0;-208.0;92.0;197.0;-28
40;178.0;150.0;-23.0;935.0;-38.0;-207.0;108.0;207.0;-28
40;179.0;125.0;-20.0;941.0;-39.0;-208.0;126.0;197.0;-28
118;296.0;182.0;-343.0;1022.0;129.0;265.0;325.0;352.0;-46
-172;538.0;16.0;-480.0;899.0;-226.0;450.0;295.0;386.0;-56
40;139.0;168.0;-113.0;952.0;-1.0;-209.0;27.0;125.0;-28
-173;539.0;-58.0;-476.0;971.0;-203.0;437.0;250.0;373.0;-61
94;-75.0;202.0;26.0;906.0;193.0;-242.0;37.0;96.0;-23
-172;530.0;20.0;-446.0;1021.0;-187.0;445.0;202.0;340.0;-68
-173;519.0;151.0;-440.0;1040.0;-176.0;456.0;176.0;345.0;-72
-170;491.0;328.0;-467.0;979.0;-182.0;456.0;225.0;249.0;-65
-178;472.0;238.0;-489.0;1053.0;-207.0;454.0;308.0;196.0;-65
-165;453.0;51.0;-517.0;1041.0;-238.0;450.0;353.0;277.0;-55
-169;418.0;-100.0;-579.0;1080.0;-298.0;441.0;350.0;432.0;-42
-122;375.0;20.0;-780.0;747.0;-282.0;188.0;384.0;485.0;-39
-122;378.0;2.0;-784.0;1186.0;-261.0;165.0;363.0;425.0;-39
-122;381.0;-34.0;-785.0;874.0;-237.0;143.0;375.0;418.0;-40
-122;385.0;-25.0;-781.0;1015.0;-209.0;132.0;299.0;429.0;-41
118;310.0;125.0;-347.0;991.0;141.0;268.0;327.0;292.0;-47
-174;433.0;-213.0;-414.0;1208.0;80.0;58.0;68.0;390.0;-54
101;359.0;280.0;-187.0;882.0;-446.0;93.0;243.0;454.0;-20
96;336.0;305.0;-162.0;1069.0;-420.0;49.0;232.0;399.0;-20
96;318.0;151.0;-144.0;1178.0;-398.0;6.0;213.0;392.0;-20
69;302.0;0.0;-126.0;1228.0;-375.0;-31.0;98.0;344.0;-20
-85;396.0;103.0;-216.0;1129.0;-290.0;190.0;54.0;216.0;-35
-11;253.0;-167.0;18.0;1075.0;-113.0;-133.0;168.0;404.0;-41
-11;238.0;-140.0;14.0;1091.0;-102.0;-137.0;130.0;368.0;-42
87;-92.0;-14.0;24.0;913.0;264.0;-349.0;-62.0;257.0;-32
169;182.0;213.0;-528.0;1073.0;157.0;-212.0;166.0;269.0;-45
177;371.0;-21.0;-158.0;1021.0;200.0;175.0;306.0;345.0;-59
177;370.0;-41.0;-146.0;1020.0;212.0;165.0;293.0;367.0;-59
-44;751.0;238.0;-449.0;1089.0;100.0;-270.0;444.0;387.0;-46
-24;792.0;211.0;-75.0;1020.0;136.0;-146.0;583.0;414.0;-23
-40;773.0;91.0;-130.0;758.0;302.0;-468.0;430.0;445.0;-19
-24;822.0;133.0;-91.0;1017.0;82.0;-86.0;496.0;421.0;-23
-24;813.0;143.0;-81.0;1044.0;82.0;-84.0;535.0;437.0;-23
36;858.0;174.0;-122.0;997.0;-136.0;-108.0;205.0;259.0;-27
-55;152.0;440.0;213.0;1238.0;213.0;-293.0;498.0;281.0;-34
106;457.0;229.0;115.0;918.0;145.0;-175.0;459.0;282.0;-24
147;503.0;195.0;27.0;939.0;24.0;-163.0;612.0;317.0;-24
-71;-74.0;323.0;321.0;929.0;348.0;-534.0;1205.0;560.0;-40
199;542.0;226.0;-79.0;908.0;-104.0;-137.0;754.0;368.0;-24
101;557.0;263.0;-135.0;932.0;-168.0;-108.0;805.0;366.0;-24
-168;592.0;319.0;-215.0;947.0;-253.0;-22.0;932.0;481.0;-24
33;852.0;115.0;-110.0;1010.0;-111.0;-119.0;140.0;297.0;-27
-3;1081.0;-75.0;128.0;978.0;-148.0;-190.0;22.0;295.0;-31
9;840.0;143.0;-68.0;1018.0;-26.0;-124.0;168.0;287.0;-27
-3;822.0;162.0;-44.0;1025.0;26.0;-120.0;279.0;317.0;-27
-23;915.0;43.0;-7.0;857.0;31.0;-236.0;412.0;406.0;-54
-14;817.0;132.0;-25.0;1059.0;96.0;-123.0;456.0;393.0;-27
-18;828.0;136.0;-34.0;966.0;117.0;-112.0;545.0;435.0;-26
-20;826.0;194.0;-62.0;882.0;142.0;-102.0;371.0;370.0;-15
2;1115.0;204.0;-131.0;1373.0;143.0;-182.0;371.0;438.0;-59
-169;443.0;153.0;-369.0;903.0;-201.0;440.0;391.0;420.0;-43
-60;863.0;-43.0;-290.0;872.0;-390.0;91.0;469.0;454.0;-41
-61;849.0;-95.0;-294.0;833.0;-389.0;65.0;426.0;386.0;-41
-63;835.0;-165.0;-312.0;893.0;-398.0;48.0;370.0;275.0;-42
-69;786.0;-118.0;-364.0;370.0;-382.0;68.0;276.0;207.0;-30
-48;771.0;209.0;-376.0;724.0;-368.0;130.0;127.0;334.0;-23
-94;876.0;69.0;-843.0;981.0;-284.0;18.0;391.0;371.0;-28
-71;689.0;172.0;-257.0;945.0;-256.0;55.0;17.0;202.0;-54
-81;687.0;-10.0;-253.0;716.0;-253.0;53.0;283.0;217.0;-33
-57;681.0;-155.0;-270.0;740.0;-284.0;116.0;297.0;417.0;-22
-67;551.0;191.0;-109.0;787.0;-145.0;69.0;430.0;377.0;-60
-68;542.0;347.0;-113.0;1170.0;-150.0;69.0;437.0;518.0;-61
-70;535.0;291.0;-118.0;792.0;-157.0;66.0;157.0;433.0;-62
-101;310.0;101.0;-431.0;1096.0;-82.0;-62.0;359.0;472.0;-31
-101;305.0;121.0;-425.0;1263.0;-73.0;-77.0;445.0;482.0;-32
-101;296.0;101.0;-418.0;923.0;-57.0;-91.0;466.0;483.0;-31
-101;286.0;51.0;-410.0;886.0;-40.0;-106.0;405.0;474.0;-31
-101;279.0;34.0;-401.0;1029.0;-25.0;-119.0;324.0;443.0;-31
-101;277.0;75.0;-394.0;994.0;-8.0;-135.0;299.0;441.0;-31
114;190.0;269.0;111.0;1053.0;317.0;-556.0;423.0;287.0;-11
31;198.0;264.0;100.0;1015.0;241.0;-364.0;366.0;269.0;-30
17;356.0;311.0;43.0;1045.0;403.0;-529.0;323.0;256.0;-77
17;369.0;147.0;44.0;1203.0;387.0;-501.0;245.0;356.0;-76
-102;205.0;62.0;-172.0;1031.0;569.0;-526.0;327.0;357.0;-31
-46;471.0;103.0;-121.0;619.0;-160.0;64.0;147.0;234.0;-21
-37;466.0;254.0;-113.0;686.0;-147.0;55.0;173.0;232.0;-21
-5;453.0;489.0;-102.0;713.0;-123.0;34.0;54.0;227.0;-21
44;728.0;560.0;-52.0;1162.0;-121.0;217.0;-113.0;-151.0;-35
-30;447.0;237.0;-119.0;921.0;-117.0;35.0;148.0;414.0;-29
