Accelerometer LUA^ accY;Accelerometer LUA_ accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LUA accY;Accelerometer LWR accY;Accelerometer LH accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;InertialMeasurementUnit LUA accX
894.0;374.0;1037.0;-257.0;797.0;1115.0;-1123.0;-385.0;-1124.0
957.0;393.0;953.0;-218.0;874.0;999.0;-969.0;-360.0;-982.0
884.0;408.0;943.0;-209.0;766.0;828.0;-652.0;-400.0;-661.0
947.0;399.0;954.0;-220.0;868.0;975.0;-968.0;-314.0;-982.0
959.0;407.0;950.0;-222.0;860.0;984.0;-954.0;-322.0;-969.0
949.0;388.0;951.0;-226.0;849.0;988.0;-959.0;-319.0;-973.0
1075.0;417.0;800.0;-361.0;1134.0;1345.0;-827.0;-428.0;-791.0
966.0;306.0;983.0;-125.0;908.0;1011.0;-1074.0;-336.0;-1100.0
785.0;405.0;939.0;-202.0;853.0;1015.0;-987.0;-382.0;-921.0
995.0;463.0;882.0;233.0;706.0;553.0;-869.0;-269.0;-1019.0
664.0;543.0;1212.0;-94.0;676.0;1110.0;-860.0;-164.0;-941.0
1032.0;320.0;961.0;-343.0;922.0;1054.0;-941.0;-689.0;-905.0
979.0;326.0;904.0;-282.0;911.0;1000.0;-983.0;-465.0;-962.0
980.0;330.0;893.0;-222.0;860.0;948.0;-989.0;-354.0;-967.0
945.0;344.0;975.0;-186.0;833.0;967.0;-941.0;-350.0;-950.0
956.0;354.0;966.0;-180.0;851.0;1007.0;-941.0;-325.0;-949.0
932.0;363.0;978.0;-178.0;885.0;1019.0;-943.0;-335.0;-954.0
933.0;409.0;971.0;-237.0;886.0;1028.0;-938.0;-336.0;-958.0
941.0;399.0;962.0;-263.0;895.0;1009.0;-932.0;-352.0;-956.0
925.0;372.0;943.0;-238.0;877.0;1006.0;-946.0;-360.0;-968.0
907.0;373.0;965.0;-224.0;860.0;993.0;-947.0;-311.0;-951.0
901.0;387.0;959.0;-222.0;870.0;1006.0;-940.0;-326.0;-947.0
919.0;393.0;924.0;-216.0;866.0;996.0;-937.0;-343.0;-940.0
922.0;364.0;962.0;-248.0;896.0;1014.0;-955.0;-355.0;-964.0
931.0;361.0;958.0;-223.0;873.0;973.0;-954.0;-355.0;-958.0
924.0;350.0;948.0;-196.0;873.0;975.0;-955.0;-324.0;-961.0
926.0;393.0;920.0;-202.0;868.0;981.0;-944.0;-305.0;-954.0
939.0;401.0;916.0;-215.0;857.0;983.0;-950.0;-326.0;-958.0
923.0;370.0;979.0;-218.0;823.0;997.0;-934.0;-356.0;-945.0
929.0;363.0;968.0;-225.0;888.0;1035.0;-930.0;-350.0;-941.0
931.0;372.0;960.0;-220.0;898.0;991.0;-918.0;-356.0;-927.0
884.0;396.0;930.0;-261.0;857.0;997.0;-966.0;-330.0;-983.0
925.0;364.0;946.0;-214.0;868.0;1016.0;-965.0;-308.0;-977.0
950.0;352.0;953.0;-225.0;875.0;966.0;-948.0;-337.0;-957.0
941.0;361.0;951.0;-202.0;878.0;983.0;-936.0;-325.0;-948.0
939.0;365.0;952.0;-210.0;872.0;992.0;-943.0;-313.0;-954.0
940.0;387.0;960.0;-231.0;860.0;979.0;-950.0;-342.0;-958.0
921.0;388.0;962.0;-236.0;861.0;987.0;-953.0;-331.0;-957.0
919.0;378.0;954.0;-221.0;872.0;989.0;-937.0;-330.0;-945.0
903.0;370.0;978.0;-226.0;835.0;997.0;-943.0;-320.0;-956.0
923.0;389.0;938.0;-227.0;873.0;997.0;-952.0;-337.0;-960.0
920.0;373.0;933.0;-233.0;861.0;987.0;-950.0;-337.0;-963.0
913.0;362.0;941.0;-169.0;880.0;1006.0;-956.0;-324.0;-960.0
938.0;365.0;965.0;-186.0;882.0;981.0;-953.0;-336.0;-961.0
939.0;348.0;951.0;-214.0;874.0;965.0;-954.0;-332.0;-960.0
940.0;359.0;932.0;-221.0;878.0;997.0;-954.0;-331.0;-963.0
930.0;349.0;933.0;-200.0;870.0;985.0;-948.0;-318.0;-960.0
928.0;388.0;934.0;-188.0;858.0;995.0;-954.0;-322.0;-966.0
936.0;367.0;950.0;-213.0;858.0;979.0;-966.0;-336.0;-976.0
928.0;396.0;935.0;-225.0;848.0;1010.0;-948.0;-332.0;-949.0
898.0;364.0;938.0;-225.0;849.0;998.0;-960.0;-332.0;-961.0
872.0;394.0;940.0;-251.0;848.0;966.0;-944.0;-317.0;-954.0
905.0;395.0;943.0;-231.0;832.0;971.0;-927.0;-311.0;-940.0
926.0;396.0;939.0;-261.0;877.0;1017.0;-930.0;-339.0;-946.0
924.0;398.0;951.0;-237.0;890.0;998.0;-957.0;-347.0;-962.0
926.0;380.0;949.0;-243.0;872.0;1015.0;-954.0;-363.0;-957.0
922.0;330.0;963.0;-249.0;875.0;1004.0;-942.0;-342.0;-950.0
918.0;315.0;972.0;-186.0;885.0;994.0;-952.0;-304.0;-953.0
921.0;347.0;984.0;-181.0;879.0;989.0;-957.0;-292.0;-957.0
913.0;317.0;988.0;-228.0;894.0;986.0;-966.0;-328.0;-958.0
928.0;309.0;957.0;-202.0;895.0;1004.0;-950.0;-311.0;-950.0
934.0;316.0;960.0;-176.0;901.0;1054.0;-947.0;-268.0;-955.0
929.0;315.0;951.0;-194.0;877.0;993.0;-965.0;-302.0;-964.0
930.0;302.0;952.0;-202.0;893.0;995.0;-961.0;-306.0;-962.0
940.0;283.0;976.0;-197.0;879.0;982.0;-958.0;-300.0;-961.0
915.0;374.0;992.0;-380.0;987.0;1080.0;-1009.0;-284.0;-890.0
924.0;366.0;931.0;-317.0;971.0;1058.0;-1014.0;-389.0;-890.0
890.0;310.0;909.0;-280.0;925.0;973.0;-1026.0;-338.0;-966.0
849.0;314.0;915.0;-276.0;849.0;941.0;-1036.0;-315.0;-1015.0
826.0;293.0;950.0;-281.0;822.0;954.0;-1004.0;-377.0;-1022.0
1026.0;293.0;867.0;-71.0;825.0;930.0;-840.0;-134.0;-837.0
893.0;322.0;873.0;-118.0;821.0;891.0;-852.0;-170.0;-847.0
807.0;348.0;904.0;-137.0;836.0;905.0;-873.0;-189.0;-875.0
815.0;348.0;990.0;-158.0;832.0;946.0;-896.0;-187.0;-911.0
815.0;396.0;1074.0;-165.0;852.0;1013.0;-910.0;-170.0;-937.0
926.0;452.0;1246.0;-126.0;890.0;1149.0;-981.0;-148.0;-967.0
940.0;387.0;952.0;-218.0;858.0;969.0;-957.0;-337.0;-970.0
925.0;379.0;952.0;-235.0;852.0;967.0;-951.0;-344.0;-969.0
932.0;387.0;950.0;-229.0;849.0;993.0;-949.0;-344.0;-965.0
1007.0;545.0;899.0;6.0;653.0;877.0;-832.0;-214.0;-1094.0
788.0;349.0;981.0;-211.0;721.0;841.0;-1118.0;-329.0;-1127.0
1001.0;544.0;858.0;-326.0;916.0;1033.0;-819.0;-444.0;-789.0
924.0;279.0;1020.0;-109.0;910.0;936.0;-861.0;-396.0;-882.0
1142.0;318.0;903.0;-331.0;935.0;934.0;-1007.0;-465.0;-813.0
936.0;371.0;980.0;-101.0;868.0;1016.0;-971.0;-288.0;-981.0
906.0;401.0;931.0;-109.0;855.0;992.0;-982.0;-293.0;-983.0
933.0;430.0;894.0;-99.0;850.0;959.0;-1002.0;-273.0;-1003.0
737.0;328.0;785.0;-148.0;737.0;800.0;-935.0;-172.0;-887.0
942.0;338.0;709.0;-241.0;711.0;809.0;-877.0;-332.0;-827.0
924.0;366.0;778.0;-209.0;704.0;725.0;-850.0;-441.0;-792.0
923.0;425.0;903.0;-110.0;845.0;1020.0;-1027.0;-278.0;-1021.0
958.0;420.0;924.0;-124.0;864.0;1035.0;-1015.0;-302.0;-1007.0
970.0;319.0;934.0;-155.0;905.0;991.0;-1017.0;-275.0;-1031.0
951.0;331.0;914.0;-185.0;908.0;955.0;-996.0;-273.0;-1012.0
930.0;375.0;952.0;-248.0;869.0;998.0;-952.0;-358.0;-964.0
930.0;424.0;952.0;-266.0;877.0;1005.0;-945.0;-357.0;-958.0
918.0;387.0;950.0;-231.0;855.0;1008.0;-944.0;-327.0;-956.0
933.0;380.0;949.0;-240.0;869.0;1015.0;-943.0;-350.0;-957.0
942.0;401.0;944.0;-208.0;871.0;998.0;-952.0;-340.0;-961.0
921.0;397.0;938.0;-288.0;840.0;1025.0;-917.0;-348.0;-936.0
940.0;350.0;937.0;-287.0;891.0;951.0;-940.0;-298.0;-966.0
921.0;410.0;964.0;-282.0;850.0;980.0;-938.0;-331.0;-957.0
940.0;368.0;932.0;-325.0;881.0;978.0;-918.0;-356.0;-942.0
921.0;427.0;939.0;-243.0;875.0;950.0;-937.0;-335.0;-948.0
1011.0;521.0;825.0;-258.0;721.0;848.0;-905.0;-287.0;-1093.0
934.0;413.0;930.0;-248.0;847.0;989.0;-923.0;-308.0;-942.0
962.0;406.0;977.0;-265.0;906.0;1063.0;-943.0;-365.0;-955.0
969.0;370.0;986.0;-258.0;938.0;999.0;-947.0;-341.0;-962.0
899.0;371.0;968.0;-130.0;790.0;1044.0;-962.0;-291.0;-980.0
814.0;356.0;724.0;12.0;806.0;944.0;-887.0;-297.0;-859.0
841.0;350.0;734.0;9.0;737.0;865.0;-941.0;-250.0;-913.0
853.0;398.0;714.0;-27.0;693.0;804.0;-917.0;-206.0;-923.0
869.0;434.0;872.0;-30.0;629.0;824.0;-880.0;-228.0;-915.0
866.0;412.0;883.0;-84.0;676.0;978.0;-886.0;-257.0;-961.0
854.0;435.0;890.0;-87.0;772.0;986.0;-849.0;-242.0;-993.0
888.0;433.0;876.0;-98.0;795.0;1130.0;-798.0;-210.0;-1045.0
890.0;441.0;652.0;-59.0;834.0;1175.0;-786.0;-223.0;-1016.0
962.0;504.0;666.0;-109.0;812.0;1068.0;-803.0;-241.0;-1119.0
1018.0;364.0;981.0;-108.0;820.0;1142.0;-958.0;-289.0;-970.0
797.0;352.0;862.0;-216.0;925.0;1011.0;-1029.0;-476.0;-877.0
808.0;398.0;875.0;-230.0;856.0;900.0;-1023.0;-405.0;-893.0
800.0;303.0;975.0;-319.0;899.0;1009.0;-1003.0;-508.0;-964.0
1073.0;366.0;963.0;-89.0;889.0;1164.0;-960.0;-282.0;-969.0
975.0;344.0;981.0;-277.0;908.0;985.0;-924.0;-347.0;-940.0
970.0;356.0;971.0;-274.0;898.0;978.0;-942.0;-341.0;-958.0
941.0;351.0;989.0;-271.0;869.0;1015.0;-959.0;-323.0;-977.0
921.0;327.0;987.0;-269.0;904.0;1053.0;-967.0;-336.0;-984.0
1056.0;360.0;936.0;-97.0;990.0;1111.0;-978.0;-277.0;-986.0
849.0;321.0;858.0;-173.0;868.0;1026.0;-918.0;-350.0;-843.0
825.0;224.0;866.0;-156.0;869.0;1026.0;-930.0;-361.0;-864.0
814.0;244.0;865.0;-189.0;849.0;1065.0;-919.0;-364.0;-871.0
810.0;285.0;847.0;-212.0;906.0;1024.0;-922.0;-373.0;-871.0
805.0;288.0;863.0;-233.0;903.0;998.0;-944.0;-329.0;-846.0
837.0;267.0;877.0;-133.0;881.0;1008.0;-927.0;-214.0;-876.0
882.0;256.0;901.0;-179.0;873.0;1108.0;-884.0;-171.0;-816.0
827.0;242.0;952.0;-218.0;911.0;1111.0;-899.0;-152.0;-844.0
745.0;499.0;810.0;-403.0;754.0;728.0;-848.0;-419.0;-840.0
770.0;470.0;822.0;-356.0;741.0;817.0;-853.0;-418.0;-816.0
789.0;477.0;841.0;-359.0;764.0;805.0;-870.0;-512.0;-816.0
736.0;450.0;846.0;-401.0;773.0;835.0;-819.0;-427.0;-797.0
763.0;475.0;830.0;-370.0;774.0;812.0;-827.0;-311.0;-819.0
752.0;456.0;815.0;-369.0;727.0;831.0;-846.0;-386.0;-819.0
777.0;488.0;822.0;-426.0;738.0;833.0;-854.0;-338.0;-845.0
762.0;508.0;806.0;-405.0;748.0;844.0;-856.0;-394.0;-829.0
758.0;531.0;803.0;-350.0;753.0;829.0;-870.0;-378.0;-830.0
759.0;502.0;817.0;-351.0;748.0;849.0;-851.0;-390.0;-825.0
759.0;485.0;820.0;-352.0;754.0;865.0;-833.0;-344.0;-813.0
750.0;551.0;803.0;-365.0;735.0;884.0;-834.0;-353.0;-811.0
983.0;212.0;1005.0;-137.0;881.0;843.0;-934.0;-356.0;-1044.0
943.0;325.0;1040.0;-102.0;869.0;786.0;-872.0;-615.0;-993.0
1010.0;491.0;1143.0;-282.0;942.0;571.0;-849.0;-459.0;-802.0
897.0;300.0;907.0;-197.0;841.0;786.0;-854.0;-409.0;-886.0
819.0;318.0;901.0;-82.0;936.0;843.0;-939.0;-350.0;-998.0
819.0;379.0;964.0;-181.0;894.0;1214.0;-804.0;-240.0;-833.0
800.0;276.0;1070.0;-266.0;703.0;724.0;-759.0;-407.0;-985.0
1063.0;277.0;870.0;-353.0;711.0;1019.0;-884.0;-435.0;-1083.0
984.0;618.0;859.0;-264.0;922.0;903.0;-902.0;-208.0;-1086.0
912.0;444.0;802.0;-194.0;937.0;929.0;-812.0;-343.0;-958.0
956.0;592.0;916.0;-212.0;766.0;827.0;-797.0;-320.0;-883.0
973.0;296.0;932.0;-255.0;822.0;1043.0;-947.0;-420.0;-976.0
1030.0;258.0;976.0;-311.0;845.0;919.0;-812.0;-401.0;-852.0
810.0;421.0;1063.0;-129.0;996.0;1122.0;-960.0;-307.0;-940.0
947.0;259.0;958.0;-104.0;875.0;1017.0;-963.0;-270.0;-903.0
918.0;234.0;977.0;-80.0;909.0;1023.0;-960.0;-262.0;-900.0
850.0;209.0;981.0;-72.0;917.0;1025.0;-954.0;-261.0;-883.0
852.0;219.0;968.0;-89.0;920.0;1035.0;-926.0;-259.0;-859.0
830.0;217.0;968.0;11.0;882.0;1025.0;-964.0;-183.0;-847.0
749.0;107.0;963.0;45.0;982.0;1055.0;-941.0;-23.0;-747.0
827.0;365.0;841.0;-208.0;819.0;1008.0;-1044.0;-482.0;-1252.0
884.0;478.0;898.0;-222.0;783.0;898.0;-833.0;-412.0;-1018.0
910.0;502.0;864.0;-87.0;757.0;884.0;-795.0;-390.0;-829.0
806.0;474.0;949.0;-156.0;634.0;1070.0;-940.0;-269.0;-900.0
887.0;749.0;749.0;-30.0;694.0;899.0;-965.0;-319.0;-987.0
1125.0;234.0;1039.0;-364.0;903.0;973.0;-801.0;-328.0;-843.0
838.0;424.0;930.0;-212.0;788.0;945.0;-967.0;-362.0;-965.0
839.0;432.0;917.0;-175.0;819.0;916.0;-1017.0;-315.0;-1005.0
826.0;407.0;952.0;-104.0;847.0;945.0;-1067.0;-249.0;-1044.0
905.0;292.0;996.0;-132.0;881.0;946.0;-932.0;-343.0;-891.0
912.0;324.0;937.0;-111.0;903.0;949.0;-946.0;-344.0;-896.0
880.0;329.0;920.0;-113.0;913.0;959.0;-970.0;-333.0;-922.0
895.0;353.0;932.0;-116.0;914.0;960.0;-973.0;-331.0;-927.0
898.0;368.0;925.0;-144.0;875.0;996.0;-973.0;-346.0;-933.0
876.0;396.0;914.0;-165.0;856.0;961.0;-965.0;-361.0;-931.0
867.0;388.0;924.0;-186.0;835.0;949.0;-950.0;-358.0;-920.0
839.0;388.0;935.0;-169.0;818.0;947.0;-955.0;-340.0;-926.0
890.0;402.0;946.0;-171.0;857.0;955.0;-946.0;-304.0;-923.0
884.0;447.0;922.0;-180.0;881.0;982.0;-950.0;-338.0;-927.0
889.0;424.0;917.0;-171.0;874.0;982.0;-951.0;-348.0;-918.0
869.0;442.0;917.0;-155.0;874.0;967.0;-965.0;-349.0;-922.0
904.0;363.0;1201.0;-245.0;867.0;898.0;-1016.0;-465.0;-968.0
942.0;162.0;1088.0;-343.0;959.0;946.0;-1080.0;-504.0;-983.0
835.0;249.0;920.0;-275.0;955.0;1031.0;-919.0;-471.0;-901.0
834.0;242.0;982.0;-259.0;929.0;1075.0;-923.0;-468.0;-886.0
1066.0;290.0;1155.0;-277.0;955.0;1018.0;-844.0;-256.0;-889.0
865.0;508.0;1152.0;-224.0;1060.0;989.0;-937.0;-462.0;-874.0
892.0;451.0;1253.0;-231.0;1091.0;1227.0;-823.0;-361.0;-806.0
969.0;322.0;1070.0;-352.0;893.0;1191.0;-897.0;-612.0;-891.0
822.0;458.0;952.0;-290.0;1079.0;951.0;-920.0;-444.0;-859.0
1229.0;499.0;1041.0;-205.0;1353.0;1111.0;-876.0;-369.0;-815.0
861.0;428.0;895.0;-147.0;845.0;989.0;-961.0;-360.0;-920.0
1037.0;365.0;900.0;-152.0;967.0;1229.0;-842.0;-239.0;-824.0
1018.0;499.0;880.0;86.0;731.0;984.0;-876.0;-210.0;-933.0
983.0;364.0;914.0;330.0;878.0;1009.0;-864.0;-261.0;-906.0
955.0;407.0;981.0;274.0;786.0;918.0;-809.0;-203.0;-849.0
1054.0;109.0;1193.0;-304.0;1285.0;1467.0;-980.0;-209.0;-1154.0
873.0;428.0;895.0;-129.0;838.0;1008.0;-964.0;-372.0;-917.0
889.0;316.0;942.0;264.0;821.0;702.0;-876.0;-194.0;-846.0
822.0;392.0;847.0;-333.0;959.0;1205.0;-999.0;-432.0;-1018.0
893.0;410.0;898.0;-146.0;841.0;979.0;-973.0;-433.0;-918.0
869.0;389.0;915.0;-171.0;821.0;968.0;-969.0;-443.0;-923.0
797.0;399.0;783.0;-390.0;795.0;1131.0;-916.0;-465.0;-940.0
968.0;281.0;1103.0;-407.0;986.0;1074.0;-1042.0;-550.0;-1013.0
983.0;372.0;899.0;161.0;831.0;868.0;-910.0;-208.0;-934.0
981.0;546.0;877.0;97.0;731.0;815.0;-851.0;-96.0;-1032.0
852.0;390.0;763.0;-419.0;700.0;977.0;-942.0;-477.0;-965.0
928.0;351.0;807.0;-423.0;711.0;801.0;-957.0;-464.0;-985.0
896.0;325.0;1006.0;-181.0;943.0;999.0;-905.0;-280.0;-831.0
799.0;311.0;966.0;-159.0;930.0;1019.0;-878.0;-261.0;-849.0
822.0;335.0;914.0;-81.0;933.0;964.0;-914.0;-287.0;-883.0
863.0;360.0;922.0;-165.0;844.0;1040.0;-943.0;-275.0;-920.0
966.0;365.0;965.0;-136.0;889.0;987.0;-941.0;-324.0;-945.0
936.0;371.0;973.0;-94.0;869.0;1030.0;-969.0;-270.0;-967.0
960.0;379.0;915.0;-147.0;892.0;974.0;-997.0;-344.0;-992.0
942.0;379.0;905.0;-194.0;851.0;957.0;-958.0;-323.0;-969.0
942.0;387.0;926.0;-180.0;828.0;957.0;-963.0;-335.0;-973.0
953.0;368.0;953.0;-150.0;832.0;992.0;-966.0;-329.0;-978.0
941.0;367.0;951.0;-152.0;860.0;981.0;-970.0;-290.0;-988.0
971.0;343.0;954.0;-183.0;856.0;959.0;-952.0;-283.0;-977.0
860.0;527.0;828.0;-218.0;879.0;1018.0;-929.0;-273.0;-909.0
880.0;532.0;863.0;-239.0;798.0;888.0;-923.0;-297.0;-893.0
876.0;503.0;887.0;-258.0;757.0;908.0;-951.0;-350.0;-909.0
876.0;432.0;894.0;-286.0;777.0;998.0;-1006.0;-363.0;-973.0
902.0;417.0;900.0;-275.0;804.0;1086.0;-1014.0;-358.0;-987.0
923.0;399.0;934.0;-323.0;815.0;1109.0;-946.0;-377.0;-926.0
880.0;408.0;944.0;-390.0;834.0;1070.0;-871.0;-403.0;-871.0
866.0;435.0;897.0;-140.0;830.0;960.0;-944.0;-439.0;-896.0
891.0;531.0;931.0;-107.0;719.0;864.0;-744.0;-175.0;-969.0
774.0;621.0;793.0;-128.0;604.0;639.0;-846.0;-524.0;-961.0
923.0;554.0;779.0;-27.0;606.0;785.0;-787.0;-522.0;-1020.0
930.0;534.0;810.0;-7.0;594.0;767.0;-788.0;-505.0;-1012.0
938.0;543.0;829.0;-14.0;598.0;778.0;-790.0;-522.0;-1002.0
940.0;512.0;829.0;-56.0;599.0;743.0;-793.0;-558.0;-1006.0
949.0;526.0;839.0;-86.0;635.0;756.0;-769.0;-570.0;-998.0
960.0;497.0;834.0;-136.0;659.0;788.0;-765.0;-592.0;-996.0
943.0;641.0;720.0;-163.0;616.0;569.0;-496.0;-801.0;-941.0
907.0;531.0;821.0;-68.0;731.0;938.0;-834.0;-422.0;-933.0
948.0;331.0;980.0;-204.0;887.0;1007.0;-949.0;-370.0;-960.0
943.0;350.0;968.0;-196.0;875.0;997.0;-943.0;-382.0;-955.0
938.0;347.0;951.0;-202.0;894.0;1006.0;-939.0;-379.0;-954.0
944.0;350.0;964.0;-202.0;890.0;1015.0;-940.0;-372.0;-950.0
951.0;346.0;956.0;-194.0;878.0;991.0;-943.0;-369.0;-956.0
953.0;338.0;952.0;-181.0;877.0;980.0;-952.0;-355.0;-962.0
947.0;344.0;946.0;-171.0;869.0;998.0;-954.0;-337.0;-963.0
931.0;347.0;951.0;-170.0;877.0;1000.0;-953.0;-295.0;-965.0
950.0;362.0;959.0;-164.0;877.0;1011.0;-953.0;-293.0;-965.0
950.0;364.0;955.0;-177.0;876.0;1024.0;-955.0;-290.0;-969.0
958.0;388.0;950.0;-173.0;878.0;1011.0;-948.0;-296.0;-963.0
946.0;351.0;971.0;-166.0;885.0;1003.0;-951.0;-292.0;-966.0
960.0;318.0;960.0;-119.0;930.0;1037.0;-978.0;-290.0;-986.0
970.0;329.0;988.0;-120.0;903.0;1020.0;-983.0;-287.0;-991.0
979.0;320.0;949.0;-124.0;904.0;1014.0;-981.0;-276.0;-987.0
973.0;339.0;932.0;-123.0;891.0;1016.0;-987.0;-275.0;-988.0
967.0;330.0;933.0;-118.0;881.0;1016.0;-987.0;-265.0;-991.0
963.0;310.0;944.0;-116.0;860.0;1007.0;-984.0;-255.0;-992.0
954.0;289.0;967.0;-131.0;863.0;1017.0;-976.0;-252.0;-981.0
934.0;309.0;1001.0;-155.0;896.0;1053.0;-968.0;-257.0;-976.0
934.0;326.0;969.0;-154.0;928.0;1021.0;-967.0;-270.0;-969.0
947.0;326.0;934.0;-165.0;924.0;1014.0;-950.0;-268.0;-951.0
943.0;340.0;902.0;-148.0;885.0;989.0;-945.0;-273.0;-934.0
922.0;372.0;900.0;-135.0;861.0;978.0;-951.0;-269.0;-929.0
921.0;399.0;921.0;-117.0;856.0;1012.0;-963.0;-266.0;-941.0
902.0;411.0;926.0;-111.0;876.0;1014.0;-982.0;-269.0;-960.0
929.0;395.0;933.0;-114.0;877.0;988.0;-958.0;-256.0;-927.0
885.0;374.0;903.0;-154.0;876.0;978.0;-925.0;-266.0;-895.0
844.0;335.0;839.0;-206.0;812.0;922.0;-802.0;-181.0;-785.0
799.0;330.0;853.0;-199.0;784.0;963.0;-832.0;-248.0;-799.0
824.0;386.0;835.0;-173.0;775.0;967.0;-864.0;-255.0;-835.0
809.0;477.0;858.0;-168.0;767.0;915.0;-890.0;-236.0;-872.0
853.0;485.0;897.0;-129.0;754.0;939.0;-884.0;-274.0;-860.0
826.0;472.0;924.0;-162.0;810.0;1028.0;-853.0;-309.0;-823.0
787.0;478.0;888.0;-199.0;830.0;1080.0;-838.0;-305.0;-823.0
776.0;447.0;886.0;-264.0;860.0;1065.0;-843.0;-303.0;-840.0
804.0;506.0;916.0;-306.0;838.0;1044.0;-838.0;-355.0;-831.0
793.0;491.0;945.0;-344.0;825.0;1022.0;-859.0;-424.0;-846.0
836.0;476.0;988.0;-265.0;840.0;1003.0;-914.0;-518.0;-889.0
858.0;522.0;1317.0;-297.0;933.0;1264.0;-832.0;-380.0;-807.0
898.0;557.0;815.0;-45.0;736.0;980.0;-912.0;-364.0;-966.0
943.0;560.0;795.0;-162.0;727.0;1017.0;-872.0;-368.0;-957.0
922.0;648.0;839.0;-166.0;685.0;984.0;-823.0;-443.0;-914.0
924.0;619.0;878.0;-238.0;697.0;914.0;-735.0;-399.0;-903.0
726.0;627.0;812.0;-310.0;620.0;1028.0;-773.0;-335.0;-796.0
934.0;660.0;704.0;-429.0;605.0;940.0;-541.0;-644.0;-958.0
989.0;340.0;877.0;-413.0;750.0;803.0;-940.0;-477.0;-959.0
750.0;464.0;893.0;-351.0;756.0;927.0;-822.0;-419.0;-801.0
792.0;466.0;1010.0;-408.0;761.0;1036.0;-847.0;-444.0;-822.0
822.0;434.0;1112.0;-389.0;888.0;1148.0;-867.0;-461.0;-840.0
830.0;414.0;1058.0;-314.0;961.0;1124.0;-865.0;-442.0;-833.0
922.0;362.0;967.0;-387.0;792.0;826.0;-938.0;-472.0;-957.0
873.0;408.0;909.0;-256.0;843.0;1001.0;-950.0;-367.0;-959.0
929.0;395.0;740.0;-198.0;850.0;869.0;-988.0;-318.0;-1118.0
888.0;392.0;901.0;-241.0;825.0;979.0;-946.0;-337.0;-959.0
