InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
-159;0;-26;799;296;73;-14;?;?;-26
-159;-9;-19;799;288;74;-14;371;?;-19
-159;-1;-23;804;?;63;19;376;?;-23
-159;-5;-51;797;?;67;7;383;?;-51
-159;-3;-17;799;?;67;20;377;?;-17
-159;1;-16;807;?;67;77;360;?;-16
-159;4;-67;797;?;79;?;352;?;-67
-159;23;-48;793;?;73;?;352;?;-48
-159;5;-106;802;?;67;?;360;?;-106
-159;27;-187;?;?;55;?;381;?;-187
-158;77;-57;?;400;49;?;391;?;-57
-158;21;90;?;339;67;?;384;?;90
-159;-28;117;800;285;71;?;378;-12;117
-159;5;115;800;314;66;?;367;-69;115
-159;0;57;801;304;71;?;358;-22;57
?;-19;39;?;286;67;?;364;14;39
?;-2;51;?;303;63;?;371;-4;51
?;2;-15;?;306;66;?;374;-31;-15
?;-2;-28;?;304;60;?;379;-46;-28
?;-2;17;?;303;62;?;379;-15;17
?;1;37;796;302;69;-8;376;8;37
?;3;53;798;306;65;-20;379;20;53
?;3;34;794;302;72;-4;374;4;34
?;-2;6;793;289;81;1;363;-1;6
?;-7;33;804;286;72;-51;365;51;33
?;?;29;805;295;65;-17;372;17;29
?;?;-25;804;294;65;27;374;-27;-25
?;?;-44;802;288;70;-26;372;26;-44
?;?;33;798;286;74;-36;372;36;33
?;?;50;801;287;70;8;376;-8;50
-159;?;-14;801;290;70;9;374;-9;-14
-159;0;21;802;294;68;-4;373;4;21
-159;0;?;804;296;65;-2;376;2;-4
-159;2;?;804;297;65;-9;374;9;11
-159;3;?;798;296;71;-32;371;32;50
-159;3;?;795;297;73;-54;374;54;-39
-159;2;?;800;297;68;-30;376;30;-34
-159;1;?;797;295;71;-2;375;2;2
-159;-1;?;800;293;69;-12;376;12;15
-159;-7;?;805;287;67;14;375;-14;21
-159;-7;?;799;285;73;17;374;-17;-12
-159;-2;?;797;291;73;-45;376;45;-5
-159;-1;?;800;293;69;-33;376;33;6
-159;-1;?;801;292;69;7;374;-7;2
-159;-5;?;799;288;72;-6;374;6;10
-159;-2;?;798;291;71;-14;376;14;-7
-159;5;?;796;297;71;-15;375;15;-24
-159;2;15;797;295;72;-14;374;14;15
-159;-2;31;800;292;69;4;375;-4;31
-159;-8;-8;799;285;72;-3;377;3;-8
-159;-3;-16;798;290;69;-26;380;26;-16
-159;2;-36;801;297;?;-37;385;37;-36
-159;2;-26;798;297;?;-45;383;45;-26
-159;7;25;795;?;?;-44;382;44;25
-159;2;-12;797;?;?;-30;386;30;-12
-159;8;-36;794;301;?;0;378;0;-36
-159;7;-10;798;300;?;1;371;-1;-10
-159;-3;13;?;293;?;-17;379;17;13
-159;0;24;?;295;?;1;381;-1;24
-159;-2;-4;?;293;?;17;376;-17;-4
-159;1;-10;800;297;?;6;377;-6;-10
-159;4;5;793;300;?;24;377;-24;5
-159;0;1;796;296;?;42;374;-42;1
-159;-2;9;804;297;?;32;380;-32;9
-159;3;14;800;301;68;14;374;?;14
-159;3;5;797;297;77;15;362;?;5
-159;-7;?;802;291;69;24;372;?;19
-159;-3;?;799;294;70;-3;375;3;29
-159;4;?;797;297;74;34;367;-34;20
-159;0;?;805;296;66;13;371;-13;12
-159;8;?;802;303;67;-52;?;52;-7
-159;9;?;800;303;70;27;?;-27;-26
-159;-4;?;807;294;64;49;?;-49;-13
-159;7;?;800;303;69;16;?;-16;5
-159;10;?;798;306;70;-3;?;3;-2
-159;-3;?;802;294;69;8;?;-8;-18
-159;5;?;794;301;75;57;?;-57;-4
-159;10;?;798;307;70;24;?;-24;6
-159;2;?;801;303;?;-11;?;11;-27
-159;2;?;799;303;?;-13;?;13;-36
-159;1;?;802;301;?;10;370;-10;-18
-159;0;?;802;301;?;10;369;-10;1
-159;1;?;801;300;?;-14;364;14;37
-159;-5;?;804;295;?;-12;368;12;47
-159;-5;?;?;295;?;-36;369;36;31
-159;1;?;?;298;?;0;360;0;22
-159;0;28;?;298;72;16;366;-16;28
-159;-2;22;?;296;70;-58;370;58;22
-159;0;-6;?;299;66;-32;364;32;-6
-159;5;-25;802;305;65;19;372;-19;-25
-159;7;-26;800;308;66;-18;372;18;-26
-159;2;-26;806;304;65;-6;363;6;-26
-159;0;-26;804;302;66;1;365;-1;-26
-159;0;-26;803;302;68;-9;365;9;-26
-159;-1;-27;805;303;67;37;364;-37;-27
-159;0;-19;801;304;68;18;367;-18;-19
-159;-1;-6;802;304;?;-16;367;16;-6
-159;?;-11;799;306;?;-7;364;7;-11
-159;?;-18;795;312;?;-21;368;21;-18
-159;?;-27;804;309;?;-21;371;21;-27
-159;?;-17;805;305;?;-13;366;?;-17
-159;?;-7;800;306;?;-10;363;?;-7
-159;?;-45;806;305;?;14;364;?;-45
-159;?;7;807;305;?;-18;367;?;7
-159;?;23;801;311;?;-5;366;?;23
-159;5;-27;804;312;?;49;363;?;-27
-159;-3;12;807;305;?;28;366;?;12
-159;-3;-5;801;302;?;29;364;?;-5
-159;-2;-12;803;304;?;-9;364;?;?
-159;1;10;804;309;63;-37;366;?;?
-159;3;-10;802;309;68;-19;361;?;?
-159;1;21;803;307;69;?;358;?;?
-159;4;37;803;310;66;?;363;?;?
-159;0;1;?;307;66;-41;?;?;?
-159;-5;?;?;301;68;-12;?;?;?
-159;0;?;?;305;66;24;364;?;?
-159;-1;?;?;305;65;18;361;?;?
-159;-4;?;?;301;67;37;362;?;?
-159;2;?;?;308;63;3;365;?;?
-159;0;?;?;308;60;-15;367;?;?
-159;-1;?;?;305;66;28;360;?;?
-159;3;?;?;308;69;30;362;-30;?
-159;-2;?;?;305;65;16;367;-16;?
-159;-2;?;?;305;?;27;364;-27;?
-159;2;?;?;307;?;19;365;-19;?
-159;-1;?;?;302;?;0;363;0;?
-159;3;?;798;306;?;-6;362;6;?
-159;-2;?;801;303;?;1;368;-1;?
-159;-5;?;807;?;64;6;367;-6;-12
-159;2;-4;805;?;66;-4;364;4;-4
-159;-7;24;805;?;69;3;364;-3;24
-159;-6;10;804;?;68;28;364;-28;10
-159;-5;7;806;?;66;44;364;-44;7
-159;-5;15;805;?;66;23;366;-23;15
-159;0;2;803;?;67;-8;365;8;2
-159;-3;-6;807;?;64;-13;366;13;-6
?;3;-22;802;?;64;11;371;-11;-22
?;6;-28;797;?;69;33;368;-33;-28
?;4;5;801;308;67;0;365;0;5
?;6;-8;802;311;65;-27;368;27;-8
?;6;?;801;310;67;-10;364;10;-23
?;3;?;805;?;66;-3;362;3;-6
?;1;?;802;?;68;-26;365;26;-31
?;2;?;800;?;69;-47;366;47;-34
?;0;-53;800;?;69;5;365;-5;-53
?;2;-62;?;?;70;37;366;?;-62
?;5;-32;?;?;67;3;365;?;-32
?;1;2;803;?;65;16;365;?;2
?;2;?;798;?;69;15;367;?;49
?;4;?;799;?;72;-16;358;?;-4
-159;2;?;805;?;64;1;362;?;-11
-159;?;?;799;310;66;3;370;?;29
-159;?;?;798;306;72;10;363;?;-10
-159;?;?;803;304;67;18;365;?;-7
-159;4;?;796;309;70;-31;369;?;-8
-159;4;?;799;310;67;2;369;?;-23
-159;-5;?;807;302;64;19;366;?;-1
-159;-3;?;803;302;68;-34;366;?;17
-159;3;2;803;309;66;16;365;?;2
-159;?;-16;805;307;66;58;361;-58;-16
-159;?;7;798;305;69;17;370;-17;7
-159;?;9;796;308;70;-1;369;1;9
-159;?;-42;800;305;69;-7;364;7;-42
-159;4;-34;800;311;67;5;366;-5;-34
-159;9;4;801;316;66;26;363;-26;4
-159;1;-5;803;307;?;-8;361;8;-5
-159;0;17;802;307;66;-15;365;15;17
-159;-3;19;805;306;63;18;370;-18;19
?;-6;-1;806;302;64;0;367;0;?
?;3;7;802;310;66;-41;366;41;?
-159;1;5;803;308;?;-32;368;32;5
-159;-3;5;807;304;?;-14;366;14;5
-159;7;14;805;313;?;-7;365;7;14
-159;7;49;805;310;?;27;360;-27;49
-159;4;50;803;306;?;-34;361;34;50
-159;5;50;800;305;?;-64;366;64;50
-160;-1;33;803;299;?;-4;366;4;33
-160;1;-32;803;301;?;-53;371;53;-32
-159;2;5;801;302;?;-49;?;49;5
-159;-7;18;804;292;?;2;?;-2;18
-159;-7;-26;803;292;?;-9;?;9;?
-160;1;3;?;300;?;2;?;-2;?
-160;6;4;?;305;?;27;372;-27;?
-160;6;-8;?;303;?;9;372;-9;?
-159;0;13;?;298;?;-62;369;62;?
-159;0;3;?;?;?;-54;371;54;?
-159;1;-17;?;?;?;-16;374;16;?
-160;-3;25;?;?;?;-26;374;?;?
-160;1;17;?;?;?;-43;376;?;?
-160;2;-54;?;?;?;-73;374;73;?
-159;-3;-9;?;?;?;-44;374;44;?
-159;3;12;?;?;69;-18;?;18;?
-159;5;-23;?;?;67;-40;?;40;?
-160;1;-15;?;?;65;-31;?;31;?
-160;4;-25;?;?;70;-33;372;33;?
-159;2;-5;?;?;73;-40;?;40;-5
-159;1;15;?;299;69;-1;?;1;15
-159;0;-9;?;300;64;28;376;?;-9
-159;-1;4;807;299;63;40;373;-40;4
-160;2;25;800;300;68;34;374;-34;25
-160;-1;25;797;297;70;17;378;-17;25
-159;2;30;799;299;68;22;375;-22;30
-159;4;-13;797;300;71;-13;373;13;-13
-159;0;?;797;298;70;-7;375;7;-68
-159;0;?;798;299;69;?;376;-34;-59
-160;-1;?;797;299;69;?;378;-14;-34
-160;-1;?;799;298;68;?;378;-6;-18
-159;2;?;798;300;70;?;371;-12;1
-159;1;?;800;301;68;?;370;-28;5
-159;-1;?;803;300;64;?;376;-11;?
-159;0;?;802;300;65;?;375;15;32
-160;-1;?;805;298;65;?;372;-19;22
-160;-1;?;802;297;68;?;372;-37;-13
-159;2;-11;795;298;73;?;371;?;-11
-159;2;0;802;299;69;?;367;?;0
-159;4;11;803;302;67;?;366;?;11
-159;5;11;798;304;68;?;373;?;11
-160;-3;-17;801;299;67;18;376;?;-17
-160;0;-18;799;301;69;19;370;?;-18
-159;6;-15;797;307;69;0;369;?;-15
-159;-1;-9;802;302;67;-35;369;?;-9
-159;-4;14;804;299;66;-16;370;?;14
-160;4;9;802;306;67;4;366;?;9
-160;3;-37;803;306;67;-23;364;?;-37
-160;-2;?;803;302;65;-7;371;?;-27
-159;3;?;800;306;68;1;367;-1;23
-159;2;?;803;304;68;27;362;-27;-19
-159;6;?;804;310;63;26;368;-26;13
-160;7;?;801;310;66;-18;369;18;18
-160;-9;?;807;295;66;-13;368;13;?
-160;-5;?;810;303;58;-27;374;27;?
-159;1;?;803;309;61;-25;376;?;?
-159;-3;?;798;?;69;27;369;?;?
-159;2;?;796;?;69;11;368;?;?
?;-2;?;802;?;63;-23;372;?;?
?;-7;?;803;?;65;5;370;?;?
?;1;?;792;?;73;19;366;?;?
?;3;?;795;?;69;14;366;?;?
?;3;-8;797;?;67;21;363;?;-8
?;7;-1;787;?;78;10;358;?;-1
?;5;1;790;?;?;-4;362;?;1
?;3;?;799;?;?;-13;367;?;-25
-159;-2;?;799;?;?;-11;363;?;-3
-159;-1;?;796;?;?;21;360;-21;0
-159;3;?;794;?;?;22;358;-22;-25
-159;-1;?;795;?;?;35;361;-35;-9
-159;-3;?;795;?;?;?;363;-20;-19
?;1;?;795;318;?;?;363;24;-9
?;3;?;797;321;?;?;368;-34;37
?;2;?;792;316;74;?;361;-28;5
?;5;?;794;319;70;?;364;-7;10
?;-1;?;805;318;57;?;374;-26;17
?;-3;?;800;311;69;?;363;4;-13
?;5;?;794;316;73;?;359;-4;48
?;0;?;802;312;65;?;365;-5;64
?;-4;47;801;309;64;?;372;?;47
?;-6;40;803;305;64;?;371;?;40
?;-6;39;806;303;65;15;365;?;39
?;0;?;803;308;65;5;368;?;44
?;-2;?;805;306;?;-7;366;?;17
-159;6;?;797;313;?;49;364;?;25
