InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;Accelerometer RKN_ accZ;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE EuY
-17;-20;42.0;13;-17;-3.0;658;735;20;-17;-17;-21;-40
-17;0;79.0;19;-32;-122.0;657;730;0;-32;-17;16;-32
-4;2;36.0;19;-15;17.0;654;731;-2;-15;-4;-35;-40
-4;3;47.0;19;-14;14.0;654;731;-3;-14;-4;-36;-40
-1;-2;23.0;19;-16;27.0;654;731;2;-16;-1;-33;-40
1;30;85.0;19;-37;-132.0;662;724;-30;-37;1;-2;-41
-7;4;16.0;19;-13;15.0;654;730;-4;-13;-7;-36;-40
12;19;81.0;25;-4;-155.0;650;726;-19;-4;12;11;-41
15;-15;88.0;22;-1;-166.0;652;728;15;-1;15;9;-41
1;-28;83.0;20;-19;-150.0;657;727;28;-19;1;7;-41
12;-8;91.0;16;0;-154.0;662;729;8;0;12;7;-41
28;11;97.0;13;-11;-141.0;657;737;-11;-11;28;1;-41
-14;27;116.0;16;16;-145.0;654;734;-27;16;-14;3;-41
-17;11;101.0;18;25;-125.0;657;728;-11;25;-17;4;-41
20;-10;114.0;18;-9;-141.0;656;730;10;-9;20;3;-41
-3;-7;122.0;19;-9;-133.0;656;729;7;-9;-3;2;-41
-18;-7;122.0;16;-1;-137.0;660;731;7;-1;-18;-4;-41
-7;11;112.0;16;19;-155.0;654;736;-11;19;-7;6;-41
-15;15;119.0;22;8;-138.0;649;731;-15;8;-15;10;-41
-6;18;111.0;17;26;-117.0;655;733;-18;26;-6;4;-41
20;18;133.0;20;1;-110.0;655;730;-18;1;20;4;-41
12;2;128.0;18;20;-96.0;656;732;-2;20;12;7;-41
-40;34;116.0;15;23;-133.0;660;731;-34;23;-40;13;-41
11;47;131.0;22;-5;-94.0;657;725;-47;-5;11;10;-41
1;-3;8.0;19;-17;21.0;653;731;3;-17;1;-34;-40
-11;6;11.0;19;-12;8.0;655;730;-6;-12;-11;-34;-40
41;15;-47.0;12;3;-147.0;685;711;-15;3;41;46;-43
9;4;121.0;21;14;-108.0;653;729;-4;14;9;9;-41
-12;-17;121.0;12;12;-118.0;659;736;17;12;-12;6;-41
4;11;102.0;17;-16;-137.0;657;732;-11;-16;4;11;-41
-19;2;130.0;24;10;-123.0;654;725;-2;10;-19;13;-41
-52;21;7.0;15;36;-9.0;657;729;-21;36;-52;82;-41
12;-24;42.0;21;-43;-123.0;658;724;24;-43;12;33;-43
19;11;121.0;23;5;-127.0;657;723;-11;5;19;16;-41
10;19;111.0;21;10;-108.0;657;726;-19;10;10;10;-41
43;-18;59.0;22;-52;-143.0;658;723;18;-52;43;-1;-41
17;-42;106.0;20;-23;-125.0;658;726;42;-23;17;2;-41
10;-26;111.0;15;4;-100.0;662;729;26;4;10;7;-41
34;-38;42.0;19;-31;-151.0;663;723;38;-31;34;31;-43
-1;-37;34.0;18;9;-70.0;668;720;37;9;-1;14;-43
-29;-19;5.0;17;6;-66.0;676;714;19;6;-29;15;-43
-16;-11;22.0;19;19;-128.0;644;739;11;19;-16;11;-42
-8;9;-122.0;15;26;-47.0;680;711;-9;26;-8;34;-43
-48;3;-76.0;15;52;-115.0;679;713;-3;52;-48;33;-43
-8;-20;-43.0;14;14;-21.0;683;711;20;14;-8;29;-43
6;10;8.0;18;26;-98.0;677;711;-10;26;6;33;-43
6;8;-45.0;21;-15;-45.0;669;713;-8;-15;6;44;-43
25;2;99.0;8;-15;-107.0;698;706;-2;-15;25;39;-43
-52;16;73.0;25;-98;-109.0;169;963;-16;-98;-52;-5;-13
-17;-27;82.0;14;20;-87.0;669;724;27;20;-17;20;-44
-11;-19;82.0;13;12;-15.0;672;722;19;12;-11;26;-44
-17;-18;61.0;14;17;18.0;669;723;18;17;-17;21;-44
25;-8;-99.0;14;-29;-118.0;667;727;8;-29;25;11;-46
32;2;-100.0;19;-57;-174.0;667;720;-2;-57;32;9;-46
27;3;-46.0;16;-53;-51.0;671;720;-3;-53;27;10;-46
40;6;20.0;16;-22;-4.0;664;726;-6;-22;40;12;-46
42;22;21.0;16;-24;-46.0;654;735;-22;-24;42;10;-46
-12;-10;54.0;20;3;7.0;665;721;10;3;-12;17;-44
8;-3;-159.0;22;-12;-199.0;666;715;3;-12;8;35;-40
-12;17;2.0;26;32;22.0;666;710;-17;32;-12;32;-41
-33;7;-19.0;18;34;23.0;674;714;-7;34;-33;30;-41
-37;34;-13.0;20;5;23.0;670;715;-34;5;-37;32;-41
-16;31;-42.0;26;33;8.0;667;708;-31;33;-16;54;-41
1;51;-46.0;16;20;14.0;676;712;-51;20;1;65;-41
10;-14;95.0;24;-30;-64.0;659;718;14;-30;10;45;-43
-52;34;45.0;24;14;-186.0;657;719;-34;14;-52;74;-43
-35;-4;63.0;23;25;-184.0;666;714;4;25;-35;39;-43
20;35;17.0;13;-22;-128.0;673;722;-35;-22;20;32;-47
-27;51;-20.0;14;-3;17.0;667;724;-51;-3;-27;53;-41
-3;19;-39.0;23;12;26.0;661;719;-19;12;-3;52;-41
-49;13;-37.0;20;15;36.0;652;731;-13;15;-49;20;-40
34;6;-20.0;16;25;18.0;661;729;-6;25;34;16;-40
-4;22;-10.0;20;-35;-8.0;654;730;-22;-35;-4;25;-41
9;9;-35.0;16;-41;26.0;648;740;-9;-41;9;20;-39
-16;8;-41.0;15;9;8.0;652;739;-8;9;-16;17;-39
-52;4;-38.0;18;23;26.0;651;736;-4;23;-52;10;-39
-27;24;-39.0;24;17;26.0;647;731;-24;17;-27;5;-39
5;12;-10.0;23;16;28.0;646;733;-12;16;5;11;-39
-17;12;16.0;18;4;-5.0;681;707;-12;4;-17;44;-45
3;0;1.0;18;1;-14.0;681;706;0;1;3;45;-45
-13;28;-32.0;17;-45;-58.0;684;704;-28;-45;-13;48;-45
4;3;4.0;16;-26;6.0;685;705;-3;-26;4;51;-45
-15;-24;70.0;27;-28;-29.0;680;695;24;-28;-15;53;-45
15;7;-27.0;15;-19;21.0;650;739;-7;-19;15;8;-39
1;-6;-44.0;23;13;3.0;651;728;6;13;1;19;-39
14;3;-25.0;25;2;26.0;650;727;-3;2;14;16;-39
-5;1;-34.0;16;6;19.0;652;738;-1;6;-5;13;-39
-6;19;-8.0;18;15;13.0;654;734;-19;15;-6;4;-39
-9;14;-27.0;17;-37;11.0;652;736;-14;-37;-9;6;-39
-17;20;-30.0;21;-24;16.0;650;733;-20;-24;-17;10;-39
-34;2;-30.0;20;-25;26.0;655;730;-2;-25;-34;17;-39
-13;-9;-20.0;19;-19;27.0;657;728;9;-19;-13;15;-39
6;-7;1.0;20;-12;19.0;650;734;7;-12;6;9;-39
-11;16;-23.0;23;-4;27.0;648;732;-16;-4;-11;9;-39
-24;36;-2.0;22;-6;19.0;650;730;-36;-6;-24;15;-39
-45;1;-19.0;20;16;17.0;652;732;-1;16;-45;13;-39
-31;-2;-38.0;22;-37;21.0;646;735;2;-37;-31;14;-39
-13;30;-34.0;20;-25;38.0;651;731;-30;-25;-13;11;-39
-23;40;18.0;17;-3;34.0;657;730;-40;-3;-23;11;-39
-39;-3;-28.0;15;-32;39.0;654;736;3;-32;-39;10;-39
-32;-8;-1.0;20;-11;28.0;654;730;8;-11;-32;7;-39
-25;1;-24.0;22;-4;17.0;652;729;-1;-4;-25;13;-39
-29;0;-25.0;18;-8;17.0;651;735;0;-8;-29;16;-39
2;3;-14.0;18;5;28.0;654;733;-3;5;2;9;-39
15;-7;-12.0;16;0;34.0;651;737;7;0;15;8;-39
-14;-4;-37.0;17;-5;12.0;651;737;4;-5;-14;16;-39
-25;38;-40.0;23;-5;8.0;656;724;-38;-5;-25;19;-39
-25;37;-27.0;23;-5;16.0;656;725;-37;-5;-25;19;-39
-42;11;44.0;12;18;-50.0;660;736;-11;18;-42;12;-39
-25;0;10.0;16;-16;26.0;655;734;0;-16;-25;17;-39
-13;-16;-8.0;17;-11;17.0;654;733;16;-11;-13;15;-39
-51;-25;-5.0;18;2;20.0;656;729;25;2;-51;17;-39
9;-6;93.0;19;-2;-166.0;668;718;6;-2;9;46;-40
2;3;107.0;21;-8;-136.0;665;718;-3;-8;2;42;-40
-2;11;132.0;15;-4;-127.0;667;724;-11;-4;-2;43;-40
-20;-11;-4.0;17;-13;10.0;655;733;11;-13;-20;11;-39
-17;18;-29.0;17;-11;24.0;656;733;-18;-11;-17;11;-39
-25;22;-21.0;18;-6;20.0;656;732;-22;-6;-25;21;-39
-33;12;-21.0;14;-25;17.0;658;735;-12;-25;-33;16;-39
5;23;121.0;14;4;-100.0;669;724;-23;4;5;38;-40
-39;13;10.0;15;3;27.0;656;734;-13;3;-39;14;-39
-29;9;136.0;17;-4;-117.0;667;720;-9;-4;-29;41;-40
-27;-31;118.0;17;5;-104.0;658;732;31;5;-27;13;-40
-19;-2;-12.0;17;18;9.0;656;732;2;18;-19;14;-39
-3;-22;129.0;11;-12;-99.0;662;735;22;-12;-3;25;-40
-12;49;135.0;17;1;-114.0;653;734;-49;1;-12;12;-40
-8;1;-39.0;18;-10;28.0;653;733;-1;-10;-8;15;-39
-32;0;38.0;5;18;7.0;671;733;0;18;-32;51;-43
-20;0;-20.0;17;-7;9.0;652;735;0;-7;-20;10;-39
-27;18;-10.0;16;-4;9.0;654;735;-18;-4;-27;12;-39
1;71;48.0;42;-72;-115.0;642;711;-71;-72;1;68;-39
-36;14;65.0;16;38;-163.0;668;722;-14;38;-36;-26;-39
-32;9;19.0;17;35;-148.0;666;723;-9;35;-32;-27;-39
-24;-10;-34.0;21;36;-154.0;658;727;10;36;-24;-35;-39
-26;-12;-56.0;21;40;-194.0;657;727;12;40;-26;-36;-39
-55;-33;12.0;0;5;5.0;674;741;33;5;-55;32;-40
5;-29;100.0;21;-30;-101.0;671;713;29;-30;5;7;-39
-9;-9;95.0;21;-44;-99.0;674;711;9;-44;-9;15;-39
-3;4;42.0;20;-23;-100.0;670;716;-4;-23;-3;9;-39
-10;-15;15.0;20;0;-253.0;652;732;15;0;-10;-4;-41
-12;-1;-36.0;19;-36;38.0;658;727;1;-36;-12;10;-42
-3;22;30.0;17;-13;4.0;662;728;-22;-13;-3;15;-42
5;13;31.0;19;21;26.0;657;730;-13;21;5;11;-42
5;8;18.0;21;34;29.0;654;728;-8;34;5;10;-42
0;23;1.0;13;-2;6.0;660;733;-23;-2;0;14;-42
-54;4;-106.0;14;2;-67.0;665;728;-4;2;-54;47;-40
-25;39;-35.0;17;-48;30.0;662;725;-39;-48;-25;49;-40
-8;11;0.0;12;-18;19.0;665;730;-11;-18;-8;15;-42
-18;32;1.0;18;44;-110.0;667;720;-32;44;-18;-16;-43
-24;20;45.0;13;37;-102.0;670;724;-20;37;-24;-20;-43
-62;26;40.0;16;36;-77.0;667;723;-26;36;-62;-20;-43
-3;-12;-7.0;19;-13;-5.0;661;724;12;-13;-3;12;-42
6;14;-12.0;22;7;-3.0;656;725;-14;7;6;11;-42
-22;-2;84.0;17;37;-109.0;672;717;2;37;-22;-34;-44
-10;-9;63.0;12;56;-86.0;676;721;9;56;-10;-12;-44
-58;-8;-102.0;18;7;-143.0;652;736;8;7;-58;15;-37
6;16;10.0;19;1;18.0;661;725;-16;1;6;12;-42
-11;-6;0.0;17;-45;18.0;659;730;6;-45;-11;17;-42
-14;26;9.0;17;-23;18.0;657;731;-26;-23;-14;14;-42
4;24;-11.0;16;-29;9.0;661;729;-24;-29;4;11;-42
24;48;46.0;15;-32;-11.0;669;723;-48;-32;24;18;-46
11;34;87.0;26;-21;-28.0;658;717;-34;-21;11;-9;-42
-3;21;102.0;31;-23;-82.0;655;713;-21;-23;-3;-13;-42
1;19;59.0;19;-22;6.0;667;719;-19;-22;1;18;-45
68;-39;0.0;20;-8;-115.0;673;713;39;-8;68;37;-39
7;21;55.0;19;3;2.0;665;721;-21;3;7;23;-45
7;-20;-50.0;17;10;-46.0;681;707;20;10;7;51;-39
5;57;83.0;20;-7;1.0;662;724;-57;-7;5;23;-45
6;49;73.0;15;-26;-6.0;666;726;-49;-26;6;23;-45
-4;34;71.0;22;14;4.0;655;726;-34;14;-4;24;-45
-6;16;72.0;20;19;-2.0;659;724;-16;19;-6;26;-45
7;46;-29.0;12;-4;19.0;661;734;-46;-4;7;32;-45
15;36;-20.0;12;-12;29.0;660;733;-36;-12;15;31;-45
31;38;-20.0;15;-12;34.0;656;733;-38;-12;31;40;-45
17;48;-22.0;19;23;11.0;652;732;-48;23;17;40;-45
1;44;-13.0;24;30;16.0;652;726;-44;30;1;33;-45
-5;45;-2.0;25;-5;28.0;652;726;-45;-5;-5;36;-45
-10;10;-1.0;18;19;21.0;674;713;-10;19;-10;50;-43
13;26;-49.0;17;-14;-89.0;678;711;-26;-14;13;45;-43
-23;6;-77.0;16;14;-165.0;682;708;-6;14;-23;47;-43
-4;21;-37.0;16;1;28.0;653;736;-21;1;-4;31;-44
-13;5;91.0;16;-5;-186.0;652;736;-5;-5;-13;-2;-45
-20;9;47.0;21;29;-217.0;649;733;-9;29;-20;-2;-45
-27;-6;50.0;19;27;-12.0;663;722;6;27;-27;28;-43
-11;-23;58.0;21;28;-58.0;663;720;23;28;-11;27;-43
-38;78;66.0;40;-9;-30.0;668;701;-78;-9;-38;55;-35
3;95;-65.0;14;-21;-70.0;687;720;-95;-21;3;64;-35
-40;-15;39.0;4;32;3.0;679;730;15;32;-40;22;-41
-37;42;-44.0;8;-28;-76.0;659;728;-42;-28;-37;26;-36
-13;-9;91.0;19;5;-113.0;698;687;9;5;-13;41;-46
-7;-1;40.0;11;30;-48.0;712;685;1;30;-7;46;-46
-56;36;-89.0;19;37;-218.0;680;704;-36;37;-56;65;-39
-42;4;-45.0;20;-8;-56.0;671;711;-4;-8;-42;69;-39
-20;24;-200.0;23;-18;-120.0;658;722;-24;-18;-20;2;-38
-12;158;43.0;34;-19;-38.0;672;718;-158;-19;-12;-2;-32
-8;4;-173.0;21;-10;-20.0;661;723;-4;-10;-8;0;-38
7;-19;124.0;26;-36;-183.0;666;710;19;-36;7;42;-43
16;22;-61.0;24;-6;-292.0;671;709;-22;-6;16;54;-41
-1;2;143.0;17;26;-85.0;670;719;-2;26;-1;20;-38
63;-31;32.0;23;-43;-18.0;656;725;31;-43;63;-28;-40
6;13;-31.0;24;-2;64.0;666;720;-13;-2;6;18;-38
101;13;-64.0;30;-138;-76.0;653;726;-13;-138;101;-15;-46
-25;-13;60.0;14;-10;17.0;661;731;13;-10;-25;-33;-40
-10;35;1.0;19;14;65.0;663;725;-35;14;-10;-10;-40
22;16;148.0;26;19;-130.0;656;721;-16;19;22;-3;-41
29;11;149.0;20;11;-109.0;657;727;-11;11;29;11;-41
17;-18;144.0;24;5;-100.0;652;726;18;5;17;11;-41
-35;-59;-139.0;21;-39;-137.0;662;720;59;-39;-35;20;-25
-15;-3;146.0;26;-1;-112.0;649;726;3;-1;-15;10;-41
-2;-11;81.0;11;10;-6.0;720;669;11;10;-2;58;-46
-69;61;-20.0;17;41;-24.0;655;730;-61;41;-69;70;-41
-25;-14;151.0;21;-12;-110.0;658;724;14;-12;-25;9;-41
-31;13;57.0;22;22;33.0;654;724;-13;22;-31;73;-41
12;9;151.0;22;-4;-108.0;657;724;-9;-4;12;18;-41
-4;58;139.0;2;-33;-85.0;654;736;-58;-33;-4;55;-43
-26;-26;139.0;29;-4;-62.0;658;716;26;-4;-26;44;-42
-1;9;140.0;20;-32;-55.0;664;721;-9;-32;-1;19;-44
8;-21;139.0;19;18;-65.0;665;721;21;18;8;18;-44
3;52;64.0;17;-100;-155.0;674;711;-52;-100;3;81;-46
-45;60;-18.0;11;-22;54.0;674;722;-60;-22;-45;59;-41
-2;-7;128.0;25;-40;-65.0;658;717;7;-40;-2;50;-43
-32;21;-20.0;18;46;36.0;665;723;-21;46;-32;34;-41
4;-13;-38.0;17;4;44.0;658;731;13;4;4;16;-41
-8;4;103.0;23;-24;2.0;683;696;-4;-24;-8;54;-45
9;7;96.0;12;-33;29.0;689;707;-7;-33;9;47;-45
-2;-26;-29.0;22;41;27.0;650;731;26;41;-2;9;-39
-39;31;34.0;6;43;39.0;681;723;-31;43;-39;35;-43
-16;-7;48.0;25;30;41.0;661;717;7;30;-16;27;-43
13;24;148.0;17;-56;-124.0;667;721;-24;-56;13;40;-40
-17;23;134.0;16;-18;-177.0;669;721;-23;-18;-17;41;-40
-13;4;162.0;20;-24;-135.0;671;713;-4;-24;-13;46;-40
-40;23;158.0;19;2;-113.0;666;719;-23;2;-40;44;-40
32;-2;151.0;25;-8;-97.0;662;715;2;-8;32;47;-40
-31;36;142.0;15;-3;-101.0;667;724;-36;-3;-31;44;-40
-40;-21;125.0;18;31;-115.0;654;733;21;31;-40;18;-40
1;68;128.0;22;-34;-114.0;650;731;-68;-34;1;9;-40
43;-8;-126.0;21;-44;-250.0;658;724;8;-44;43;27;-40
-31;-38;30.0;14;24;27.0;652;742;38;24;-31;13;-40
24;-15;144.0;20;-19;-83.0;667;717;15;-19;24;0;-39
5;-41;119.0;25;-9;-95.0;662;716;41;-9;5;-6;-39
40;-15;44.0;19;-9;37.0;664;724;15;-9;40;26;-42
-104;42;-151.0;18;-10;-97.0;662;724;-42;-10;-104;55;-40
21;46;63.0;19;-30;40.0;665;721;-46;-30;21;-6;-42
-22;55;58.0;19;-75;13.0;669;718;-55;-75;-22;25;-46
4;25;51.0;31;-15;39.0;654;715;-25;-15;4;-11;-42
12;59;67.0;20;-57;12.0;670;715;-59;-57;12;27;-45
38;62;61.0;15;-40;17.0;672;719;-62;-40;38;26;-45
9;-1;63.0;17;2;37.0;672;717;1;2;9;27;-42
-8;-19;68.0;17;26;32.0;677;713;19;26;-8;32;-42
-23;-9;62.0;16;30;42.0;668;724;9;30;-23;44;-41
20;17;124.0;16;-8;-206.0;681;706;-17;-8;20;66;-38
-3;-26;168.0;19;-33;-177.0;669;720;26;-33;-3;-4;-39
-48;-37;-15.0;15;42;-291.0;659;732;37;42;-48;37;-43
4;133;82.0;33;-107;84.0;673;718;-133;-107;4;17;-32
17;-1;179.0;25;5;-206.0;661;715;1;5;17;62;-43
-66;5;-7.0;12;1;-310.0;671;725;-5;1;-66;33;-47
-33;-2;65.0;-24;29;-241.0;707;753;2;29;-33;-4;-49
12;-12;167.0;25;-30;-93.0;660;716;12;-30;12;48;-43
-37;29;140.0;24;7;6.0;656;722;-29;7;-37;-8;-46
-24;2;163.0;16;15;-127.0;674;717;-2;15;-24;13;-46
-37;41;-8.0;54;99;1.0;635;708;-41;99;-37;4;-35
5;-27;-451.0;10;10;-171.0;684;714;27;10;5;37;-48
3;-10;209.0;18;-7;-108.0;670;719;10;-7;3;13;-46
50;-30;109.0;10;4;-211.0;670;726;30;4;50;52;-43
53;-1;-19.0;87;-49;11.0;609;678;1;-49;53;83;-38
3;-10;204.0;18;-7;-101.0;669;719;10;-7;3;13;-46
-85;132;-91.0;8;36;-89.0;682;718;-132;36;-85;78;-40
6;-9;215.0;18;-8;-106.0;669;718;9;-8;6;14;-46
-8;-7;226.0;16;11;-91.0;669;721;7;11;-8;12;-46
-2;-15;99.0;17;-33;24.0;686;702;15;-33;-2;46;-45
2;5;195.0;24;-4;-105.0;661;718;-5;-4;2;14;-38
1177;496;47.0;22;2005;-89.0;721;666;-496;2005;1177;-11;-49
-7;-7;129.0;21;-14;21.0;685;699;7;-14;-7;47;-45
-944;-2247;-705.0;745;-938;-318.0;672;1146;2247;-938;-944;631;-72
121;109;-66.0;28;-291;29.0;670;704;-109;-291;121;23;-36
-24;23;211.0;15;6;-39.0;670;724;-23;6;-24;9;-38
815;-496;-84.0;173;1234;-253.0;434;844;496;1234;815;403;-47
-26;23;193.0;14;6;-29.0;670;724;-23;6;-26;9;-38
330;-171;-307.0;52;504;-135.0;531;798;171;504;330;17;-41
-21;26;243.0;16;6;-93.0;669;722;-26;6;-21;9;-38
21;-14;-5.0;25;33;-307.0;664;711;14;33;21;66;-48
-34;7;217.0;13;-1;-105.0;669;726;-7;-1;-34;10;-38
-50;-15;159.0;11;-22;-106.0;666;731;15;-22;-50;11;-38
-99;75;-72.0;15;87;-125.0;688;703;-75;87;-99;70;-40
27;39;-90.0;35;-21;145.0;671;712;-39;-21;27;32;-37
-303;3312;82.0;119;-324;7.0;490;823;-3312;-324;-303;156;-57
-9;57;69.0;17;40;42.0;670;719;-57;40;-9;33;-43
-58;70;-14.0;40;-22;124.0;669;722;-70;-22;-58;31;-42
-727;-127;51.0;23;-764;1.0;714;665;127;-764;-727;31;-48
35;-15;146.0;22;-31;-120.0;658;722;15;-31;35;45;-40
19;-3;161.0;17;-12;-120.0;666;722;3;-12;19;43;-40
-46;-167;96.0;-3;1;-64.0;653;760;167;1;-46;91;-45
17;-47;231.0;15;-28;-117.0;673;719;47;-28;17;-16;-43
32;-8;251.0;17;-49;-28.0;657;731;8;-49;32;5;-39
-55;57;-457.0;11;2;285.0;665;740;-57;2;-55;31;-38
-90;84;-122.0;42;20;-65.0;700;702;-84;20;-90;-10;-36
24;-31;223.0;26;-88;-116.0;650;724;31;-88;24;48;-39
-20;18;107.0;27;-5;27.0;687;689;-18;-5;-20;52;-46
42;-4;120.0;12;-87;-124.0;668;733;4;-87;42;-66;-39
-1;128;-7.0;29;-1;-74.0;665;706;-128;-1;-1;151;-39
24;36;-123.0;7;2;76.0;683;720;-36;2;24;56;-41
-21;-8;-79.0;25;5;-571.0;671;707;8;5;-21;48;-45
-4;1;175.0;16;26;-119.0;671;720;-1;26;-4;19;-38
-358;-1877;-7.0;48;531;-138.0;732;708;1877;531;-358;-75;-25
-10;-4;181.0;16;28;-75.0;670;721;4;28;-10;19;-38
11;59;-207.0;82;1;-368.0;651;664;-59;1;11;128;-28
2036;-942;370.0;252;3018;-163.0;648;675;942;3018;2036;50;-58
-33;2;44.0;24;27;59.0;663;716;-2;27;-33;51;-41
-53;-55;79.0;32;29;-18.0;684;683;55;29;-53;55;-46
12;20;204.0;17;12;-56.0;671;718;-20;12;12;20;-38
-289;-406;28.0;-67;307;-70.0;489;988;406;307;-289;397;-40
14;18;57.0;87;38;40.0;622;670;-18;38;14;70;-41
29;52;201.0;16;-8;-55.0;673;717;-52;-8;29;19;-38
11;5;-87.0;10;-43;74.0;686;712;-5;-43;11;51;-38
6126;1071;156.0;-506;-3912;-30.0;1373;1128;-1071;-3912;6126;891;-49
111;-66;-126.0;14;-99;-277.0;664;727;66;-99;111;13;-40
-10;-27;157.0;19;-4;-47.0;664;722;27;-4;-10;21;-44
26;42;262.0;17;-4;-74.0;673;717;-42;-4;26;19;-38
27;44;229.0;17;-4;-89.0;673;717;-44;-4;27;19;-38
184;-327;-424.0;-227;-3108;-532.0;1321;556;327;-3108;184;711;-79
55;167;-123.0;-4;-61;-123.0;665;754;-167;-61;55;50;-46
-22;-72;29.0;21;-35;-8.0;647;737;72;-35;-22;8;39
167;-146;46.0;18;-94;-1.0;686;706;146;-94;167;48;-38
14;72;130.0;21;-5;61.0;687;708;-72;-5;14;47;-35
7;-10;151.0;22;-13;-33.0;664;719;10;-13;7;25;-44
27;49;211.0;16;-4;-75.0;673;717;-49;-4;27;19;-38
-36;44;187.0;14;29;154.0;681;712;-44;29;-36;54;-39
-2;-20;-307.0;40;-5;-435.0;672;707;20;-5;-2;48;-35
-15;9;-154.0;15;8;58.0;686;705;-9;8;-15;52;-39
4;-31;78.0;12;-40;48.0;665;730;31;-40;4;-19;-40
35;-34;83.0;17;-50;-4.0;661;728;34;-50;35;-9;-40
-33;5;169.0;13;11;50.0;685;710;-5;11;-33;61;-39
-43;33;131.0;16;-40;13.0;678;712;-33;-40;-43;54;-42
-158;130;181.0;44;306;-199.0;586;765;-130;306;-158;30;-39
-56;-21;201.0;23;3;-18.0;656;725;21;3;-56;5;-42
21;-42;175.0;13;10;-92.0;668;728;42;10;21;-20;-44
-2;30;187.0;20;-26;-55.0;663;721;-30;-26;-2;24;-44
8;9;90.0;28;-59;80.0;666;713;-9;-59;8;-5;-38
150;218;73.0;-59;112;-38.0;614;888;-218;112;150;140;-43
42;-46;-222.0;50;-19;-356.0;645;716;46;-19;42;63;-35
12;21;191.0;18;14;-36.0;666;720;-21;14;12;26;-44
5;67;-98.0;10;25;142.0;693;719;-67;25;5;19;-46
-102;-118;201.0;7;73;-396.0;717;685;118;73;-102;40;-46
530;-635;-66.0;447;-1327;-28.0;795;421;635;-1327;530;-241;-19
104;74;-89.0;-33;-48;-53.0;704;744;-74;-48;104;165;-45
1116;-276;-462.0;180;-225;-105.0;898;406;276;-225;1116;156;-32
404;273;29.0;-33;-515;-107.0;652;805;-273;-515;404;155;-42
14;-3;197.0;21;21;-48.0;675;707;3;21;14;56;-38
-1;-7;-199.0;22;-12;79.0;671;710;7;-12;-1;39;-43
212;-371;-99.0;-23;-318;-214.0;727;725;371;-318;212;22;-40
-26;-17;21.0;23;46;42.0;692;696;17;46;-26;-22;-40
-66;45;-193.0;69;-37;-67.0;629;683;-45;-37;-66;46;-37
-66;20;141.0;38;-38;-66.0;615;724;-20;-38;-66;175;-44
