Accelerometer LUA^ accZ;InertialMeasurementUnit BACK accY;InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit BACK magneticX;Accelerometer HIP accZ;Accelerometer HIP accX;Accelerometer BACK accY
902.0;?;?;-463.0;-907.0;512.0;334.0;-10.0;989.0
1059.0;?;?;-298.0;-965.0;509.0;371.0;?;967.0
1297.0;?;?;-103.0;-1006.0;506.0;375.0;?;960.0
1374.0;?;?;120.0;-996.0;507.0;302.0;31.0;931.0
?;?;?;205.0;-1000.0;506.0;321.0;34.0;886.0
?;?;73.0;145.0;-992.0;507.0;338.0;-5.0;?
?;?;58.0;-101.0;-961.0;511.0;316.0;-40.0;?
?;?;94.0;-324.0;-948.0;513.0;336.0;-51.0;?
1051.0;?;3.0;-30.0;-976.0;504.0;418.0;65.0;?
718.0;?;4.0;-85.0;-977.0;506.0;406.0;25.0;?
995.0;?;9.0;-40.0;-977.0;505.0;413.0;10.0;?
896.0;?;4.0;58.0;-970.0;505.0;425.0;37.0;?
1007.0;?;-1.0;148.0;?;505.0;425.0;59.0;?
989.0;?;-12.0;283.0;?;504.0;422.0;38.0;951.0
970.0;?;-20.0;367.0;?;503.0;409.0;39.0;1008.0
944.0;?;-14.0;409.0;?;504.0;448.0;56.0;1074.0
944.0;-181.0;-37.0;374.0;?;503.0;428.0;79.0;1074.0
871.0;-187.0;-59.0;300.0;?;?;426.0;48.0;1053.0
782.0;-208.0;-72.0;?;?;?;405.0;39.0;1017.0
780.0;-212.0;-73.0;?;?;?;416.0;38.0;1037.0
875.0;-230.0;-137.0;?;-1010.0;?;413.0;40.0;1004.0
855.0;-229.0;-84.0;?;-1008.0;?;388.0;?;994.0
890.0;-231.0;-62.0;-80.0;-1025.0;?;396.0;27.0;992.0
861.0;-221.0;-17.0;-131.0;-989.0;?;356.0;31.0;1018.0
843.0;-197.0;23.0;-191.0;-973.0;?;377.0;3.0;977.0
857.0;-204.0;89.0;-217.0;-985.0;?;379.0;-53.0;961.0
813.0;-171.0;115.0;-238.0;-1032.0;?;381.0;-52.0;838.0
812.0;-165.0;117.0;-265.0;-972.0;?;378.0;-39.0;836.0
800.0;-135.0;127.0;-266.0;-1041.0;?;334.0;-49.0;907.0
795.0;-144.0;206.0;-167.0;-948.0;533.0;385.0;3.0;813.0
751.0;-136.0;153.0;-222.0;-898.0;529.0;338.0;1.0;859.0
817.0;-240.0;125.0;-357.0;-922.0;526.0;339.0;-60.0;906.0
872.0;-255.0;74.0;-344.0;-906.0;523.0;355.0;-16.0;934.0
1044.0;-199.0;105.0;?;?;523.0;368.0;-5.0;915.0
1197.0;-191.0;89.0;?;?;520.0;354.0;-44.0;906.0
1300.0;-187.0;77.0;?;-980.0;518.0;347.0;-55.0;893.0
1200.0;-193.0;62.0;?;-955.0;517.0;348.0;-32.0;882.0
1084.0;-187.0;87.0;?;-942.0;516.0;327.0;-50.0;931.0
981.0;-166.0;120.0;-284.0;-955.0;515.0;349.0;-38.0;901.0
1037.0;?;50.0;161.0;-976.0;506.0;395.0;0.0;961.0
726.0;?;48.0;278.0;-980.0;505.0;428.0;11.0;894.0
972.0;?;47.0;356.0;-973.0;502.0;431.0;21.0;983.0
874.0;?;10.0;335.0;-986.0;500.0;415.0;15.0;1085.0
795.0;?;16.0;292.0;-921.0;498.0;410.0;-12.0;994.0
678.0;?;-39.0;191.0;-950.0;499.0;411.0;7.0;1018.0
595.0;?;15.0;69.0;-1043.0;499.0;420.0;13.0;995.0
488.0;?;25.0;-156.0;-1026.0;502.0;404.0;41.0;1033.0
494.0;?;41.0;-283.0;-1008.0;501.0;417.0;22.0;1020.0
541.0;?;27.0;-295.0;-1015.0;501.0;391.0;14.0;1001.0
630.0;?;32.0;-126.0;-1035.0;499.0;418.0;34.0;980.0
940.0;?;29.0;52.0;-1027.0;501.0;407.0;80.0;915.0
998.0;?;7.0;14.0;-1021.0;502.0;395.0;?;921.0
863.0;?;59.0;87.0;-989.0;503.0;426.0;?;923.0
734.0;?;105.0;367.0;-1004.0;506.0;389.0;?;907.0
694.0;-125.0;97.0;582.0;-970.0;505.0;365.0;?;860.0
546.0;-172.0;121.0;571.0;-975.0;508.0;375.0;?;810.0
389.0;-142.0;167.0;381.0;-974.0;509.0;413.0;?;819.0
487.0;-124.0;186.0;?;-966.0;511.0;390.0;?;796.0
306.0;-142.0;194.0;100.0;-951.0;511.0;450.0;-234.0;814.0
210.0;-156.0;216.0;41.0;-948.0;516.0;463.0;-223.0;874.0
344.0;-101.0;222.0;40.0;-947.0;517.0;499.0;-165.0;875.0
386.0;-75.0;228.0;93.0;-946.0;517.0;487.0;-134.0;?
397.0;-69.0;216.0;123.0;-998.0;516.0;532.0;-99.0;?
386.0;-64.0;?;182.0;-1013.0;515.0;493.0;-96.0;?
358.0;-67.0;?;229.0;-1003.0;513.0;433.0;-78.0;?
286.0;-57.0;?;254.0;-979.0;510.0;466.0;-99.0;865.0
304.0;-30.0;?;241.0;-958.0;507.0;489.0;-148.0;870.0
232.0;-11.0;?;206.0;-960.0;507.0;447.0;-160.0;886.0
164.0;10.0;?;179.0;-975.0;503.0;462.0;-135.0;874.0
192.0;17.0;?;150.0;-992.0;503.0;459.0;-93.0;911.0
?;18.0;?;171.0;-987.0;500.0;428.0;-61.0;887.0
?;21.0;?;185.0;-989.0;500.0;385.0;-68.0;906.0
?;19.0;166.0;191.0;-992.0;495.0;416.0;-140.0;937.0
?;15.0;151.0;179.0;-989.0;497.0;411.0;-188.0;882.0
?;-13.0;154.0;180.0;-1004.0;498.0;397.0;?;882.0
?;-37.0;162.0;181.0;-1031.0;500.0;401.0;?;832.0
?;-79.0;174.0;190.0;-1017.0;502.0;365.0;?;810.0
?;-92.0;180.0;191.0;-993.0;504.0;355.0;?;843.0
?;-61.0;198.0;185.0;-967.0;505.0;369.0;?;832.0
?;0.0;207.0;162.0;-947.0;508.0;375.0;?;824.0
?;-32.0;217.0;162.0;-951.0;510.0;375.0;?;817.0
271.0;-65.0;225.0;188.0;-960.0;511.0;381.0;-218.0;814.0
267.0;-58.0;234.0;226.0;-965.0;517.0;421.0;-171.0;817.0
271.0;-50.0;237.0;230.0;-963.0;518.0;411.0;-148.0;842.0
225.0;-32.0;230.0;228.0;-953.0;518.0;398.0;-140.0;840.0
226.0;-26.0;227.0;207.0;-956.0;519.0;384.0;-136.0;847.0
245.0;-28.0;225.0;185.0;-962.0;518.0;413.0;-138.0;866.0
215.0;-26.0;217.0;172.0;-972.0;?;387.0;-137.0;853.0
198.0;-27.0;206.0;168.0;-971.0;?;385.0;-147.0;837.0
221.0;-31.0;202.0;170.0;-977.0;?;372.0;-139.0;766.0
215.0;-38.0;197.0;164.0;-976.0;?;391.0;-155.0;813.0
222.0;-59.0;194.0;180.0;-950.0;?;306.0;-134.0;503.0
215.0;-72.0;203.0;186.0;-918.0;?;286.0;-107.0;?
232.0;-97.0;216.0;118.0;-890.0;?;409.0;-98.0;?
244.0;-112.0;190.0;136.0;-803.0;?;287.0;-174.0;?
256.0;-21.0;238.0;161.0;?;?;317.0;-182.0;?
223.0;-111.0;70.0;-47.0;-1609.0;?;363.0;-14.0;?
245.0;-508.0;169.0;139.0;-1096.0;?;281.0;50.0;?
194.0;-334.0;221.0;363.0;-1049.0;?;197.0;-194.0;?
226.0;-183.0;133.0;475.0;-1023.0;?;282.0;-204.0;?
493.0;-120.0;138.0;429.0;-849.0;?;394.0;-138.0;?
337.0;-76.0;148.0;155.0;-906.0;?;378.0;-72.0;?
292.0;-69.0;218.0;27.0;-1038.0;497.0;429.0;-24.0;?
309.0;?;157.0;19.0;-1045.0;500.0;361.0;19.0;?
281.0;?;133.0;99.0;-1001.0;499.0;354.0;-39.0;?
206.0;?;128.0;152.0;-971.0;499.0;385.0;-80.0;924.0
363.0;?;151.0;164.0;-959.0;495.0;385.0;-87.0;929.0
403.0;?;146.0;143.0;-992.0;500.0;369.0;-64.0;910.0
274.0;?;137.0;137.0;-1006.0;?;355.0;-64.0;930.0
273.0;-95.0;141.0;138.0;-1006.0;?;365.0;-80.0;909.0
275.0;-97.0;135.0;153.0;-988.0;?;361.0;-79.0;938.0
276.0;-92.0;144.0;131.0;-983.0;?;346.0;-72.0;933.0
273.0;-100.0;152.0;109.0;-992.0;?;359.0;-54.0;947.0
294.0;-97.0;146.0;98.0;-1004.0;?;411.0;-64.0;988.0
294.0;-92.0;137.0;99.0;-1009.0;?;429.0;-44.0;990.0
266.0;-85.0;140.0;103.0;-1010.0;?;410.0;-40.0;952.0
290.0;-90.0;128.0;109.0;-1026.0;?;404.0;-30.0;915.0
308.0;-105.0;140.0;113.0;-1073.0;?;385.0;-44.0;914.0
325.0;-115.0;136.0;141.0;-1053.0;?;329.0;-73.0;914.0
312.0;-89.0;140.0;157.0;-998.0;?;341.0;-125.0;903.0
322.0;-74.0;152.0;152.0;?;?;384.0;-118.0;892.0
329.0;-60.0;178.0;134.0;?;?;384.0;-130.0;873.0
301.0;-62.0;195.0;126.0;?;?;364.0;-169.0;843.0
286.0;-63.0;199.0;134.0;?;531.0;362.0;-178.0;807.0
267.0;-67.0;208.0;153.0;?;533.0;390.0;-171.0;839.0
254.0;-63.0;211.0;159.0;?;?;433.0;-120.0;830.0
244.0;-69.0;211.0;163.0;-923.0;533.0;397.0;-81.0;861.0
253.0;-58.0;242.0;156.0;-941.0;531.0;408.0;-104.0;863.0
244.0;-40.0;252.0;129.0;-954.0;531.0;401.0;-163.0;840.0
241.0;-38.0;238.0;122.0;-962.0;528.0;378.0;-192.0;859.0
220.0;-72.0;237.0;153.0;-980.0;527.0;365.0;-171.0;847.0
227.0;-77.0;227.0;198.0;-968.0;527.0;376.0;-173.0;850.0
220.0;-71.0;221.0;220.0;-964.0;527.0;341.0;-188.0;820.0
235.0;-69.0;223.0;219.0;-959.0;526.0;377.0;-209.0;847.0
243.0;-56.0;236.0;181.0;-969.0;529.0;385.0;-172.0;848.0
248.0;-53.0;227.0;146.0;-969.0;528.0;394.0;-158.0;?
221.0;-55.0;222.0;128.0;-964.0;528.0;376.0;-129.0;?
232.0;-50.0;218.0;133.0;-968.0;527.0;405.0;-137.0;?
249.0;-42.0;210.0;141.0;-968.0;528.0;391.0;-138.0;?
233.0;-45.0;203.0;145.0;-969.0;527.0;353.0;-158.0;?
252.0;-36.0;205.0;156.0;-969.0;526.0;381.0;-129.0;?
265.0;-34.0;208.0;154.0;-969.0;525.0;350.0;-136.0;?
254.0;-44.0;192.0;156.0;-959.0;524.0;379.0;-108.0;822.0
256.0;-63.0;182.0;165.0;?;523.0;233.0;-92.0;595.0
262.0;-75.0;178.0;169.0;?;523.0;405.0;-80.0;1274.0
245.0;-115.0;171.0;165.0;?;523.0;194.0;-305.0;968.0
252.0;-91.0;190.0;179.0;?;523.0;111.0;-168.0;768.0
226.0;-9.0;308.0;34.0;?;524.0;218.0;64.0;768.0
234.0;-502.0;224.0;96.0;?;524.0;74.0;37.0;675.0
239.0;-276.0;203.0;?;?;525.0;156.0;-98.0;883.0
165.0;-201.0;181.0;?;?;?;29.0;?;901.0
468.0;-152.0;204.0;?;?;?;321.0;?;823.0
408.0;-177.0;249.0;?;?;?;369.0;?;783.0
154.0;-295.0;300.0;?;?;?;283.0;?;772.0
249.0;-184.0;259.0;231.0;-986.0;?;233.0;?;846.0
189.0;-192.0;218.0;248.0;-926.0;?;280.0;?;834.0
158.0;-183.0;227.0;200.0;-904.0;?;306.0;?;821.0
281.0;-203.0;234.0;156.0;-929.0;?;328.0;?;829.0
294.0;-207.0;236.0;166.0;-963.0;532.0;315.0;?;831.0
267.0;-205.0;217.0;186.0;?;533.0;265.0;?;848.0
298.0;-189.0;207.0;220.0;?;531.0;285.0;-139.0;876.0
305.0;-162.0;198.0;222.0;?;531.0;324.0;-125.0;888.0
305.0;-152.0;184.0;201.0;?;528.0;346.0;-130.0;881.0
301.0;-157.0;177.0;194.0;?;528.0;318.0;-118.0;911.0
249.0;-139.0;168.0;190.0;?;530.0;359.0;-95.0;914.0
228.0;-133.0;152.0;173.0;?;529.0;387.0;-121.0;942.0
256.0;-141.0;146.0;171.0;?;529.0;360.0;-136.0;939.0
275.0;-144.0;150.0;154.0;?;529.0;383.0;-139.0;891.0
269.0;-160.0;134.0;136.0;?;529.0;394.0;-110.0;872.0
302.0;-171.0;142.0;135.0;?;526.0;395.0;-146.0;854.0
286.0;-151.0;124.0;146.0;?;527.0;375.0;-176.0;858.0
350.0;-125.0;139.0;150.0;?;527.0;385.0;-156.0;853.0
389.0;-126.0;162.0;132.0;?;528.0;370.0;-142.0;842.0
347.0;-132.0;170.0;114.0;?;527.0;355.0;-118.0;843.0
326.0;-113.0;183.0;112.0;-957.0;526.0;384.0;-147.0;868.0
326.0;-80.0;199.0;128.0;-958.0;527.0;372.0;-176.0;856.0
328.0;?;213.0;147.0;-965.0;525.0;362.0;-202.0;871.0
318.0;?;208.0;167.0;-976.0;525.0;391.0;-178.0;869.0
276.0;?;209.0;169.0;-982.0;525.0;380.0;-154.0;859.0
241.0;?;205.0;171.0;-990.0;524.0;389.0;-191.0;831.0
243.0;?;214.0;169.0;-987.0;525.0;372.0;-173.0;837.0
224.0;?;204.0;174.0;-982.0;526.0;409.0;?;829.0
240.0;?;230.0;172.0;-970.0;528.0;426.0;?;839.0
262.0;?;247.0;171.0;-964.0;529.0;384.0;?;847.0
260.0;?;239.0;170.0;-960.0;533.0;422.0;?;835.0
251.0;?;245.0;166.0;-965.0;535.0;415.0;?;843.0
238.0;?;245.0;178.0;-961.0;536.0;425.0;?;838.0
198.0;?;248.0;187.0;-963.0;537.0;395.0;?;819.0
203.0;-25.0;247.0;192.0;-968.0;538.0;419.0;?;831.0
174.0;-28.0;243.0;190.0;-969.0;538.0;439.0;?;838.0
184.0;-49.0;240.0;?;-953.0;539.0;457.0;-154.0;797.0
206.0;-38.0;261.0;?;-962.0;543.0;436.0;-111.0;846.0
226.0;-22.0;254.0;?;-964.0;541.0;403.0;-93.0;753.0
222.0;-7.0;247.0;?;-956.0;545.0;384.0;-164.0;832.0
227.0;13.0;222.0;?;-951.0;547.0;305.0;-190.0;576.0
215.0;11.0;215.0;?;-928.0;550.0;372.0;-112.0;1226.0
200.0;-36.0;221.0;?;-901.0;551.0;322.0;-205.0;778.0
163.0;-94.0;217.0;?;-806.0;549.0;305.0;-370.0;910.0
161.0;?;314.0;?;-905.0;549.0;225.0;-79.0;768.0
160.0;?;298.0;?;-1294.0;547.0;?;31.0;769.0
203.0;?;259.0;?;-942.0;545.0;?;-40.0;743.0
136.0;?;282.0;?;-969.0;546.0;110.0;-186.0;850.0
331.0;?;242.0;?;-883.0;?;152.0;-324.0;856.0
432.0;?;246.0;?;-849.0;?;283.0;-326.0;820.0
250.0;?;294.0;?;-958.0;?;369.0;-164.0;769.0
324.0;-227.0;321.0;260.0;-1044.0;?;279.0;-127.0;754.0
208.0;-209.0;294.0;289.0;-967.0;?;240.0;-103.0;806.0
119.0;-207.0;289.0;311.0;-916.0;?;274.0;-114.0;813.0
255.0;?;263.0;278.0;-898.0;?;354.0;-114.0;821.0
260.0;?;258.0;223.0;-921.0;?;361.0;-107.0;810.0
168.0;?;274.0;215.0;-953.0;?;337.0;-115.0;810.0
197.0;?;272.0;236.0;-953.0;?;300.0;-138.0;818.0
184.0;?;261.0;267.0;-951.0;?;327.0;-124.0;838.0
214.0;?;237.0;275.0;-940.0;553.0;363.0;-114.0;859.0
212.0;?;228.0;253.0;-950.0;553.0;350.0;-84.0;898.0
211.0;?;224.0;227.0;-953.0;552.0;334.0;-99.0;899.0
193.0;?;211.0;212.0;-972.0;549.0;349.0;-127.0;885.0
207.0;-137.0;198.0;200.0;-986.0;550.0;392.0;?;897.0
224.0;-145.0;183.0;205.0;-992.0;548.0;395.0;?;910.0
215.0;-145.0;178.0;209.0;-991.0;548.0;395.0;?;921.0
240.0;-137.0;171.0;209.0;-995.0;548.0;407.0;?;884.0
265.0;-144.0;170.0;186.0;-1008.0;549.0;414.0;?;873.0
255.0;-146.0;182.0;160.0;-1022.0;548.0;420.0;?;850.0
285.0;-150.0;186.0;150.0;-1015.0;548.0;416.0;?;851.0
289.0;-146.0;175.0;159.0;-980.0;547.0;?;?;828.0
319.0;-118.0;183.0;172.0;-979.0;548.0;?;?;861.0
316.0;-119.0;192.0;166.0;-978.0;547.0;?;?;843.0
327.0;-120.0;187.0;152.0;-959.0;548.0;?;?;846.0
303.0;-105.0;181.0;149.0;-978.0;547.0;?;?;867.0
278.0;-93.0;193.0;148.0;-965.0;548.0;?;-208.0;846.0
297.0;-95.0;207.0;159.0;-957.0;550.0;?;-240.0;827.0
272.0;-73.0;?;179.0;-973.0;547.0;?;-213.0;829.0
280.0;-86.0;?;182.0;-967.0;547.0;?;-130.0;?
258.0;-77.0;?;173.0;-964.0;548.0;?;-72.0;?
240.0;-68.0;?;180.0;-954.0;551.0;?;-96.0;?
231.0;-55.0;?;191.0;-955.0;552.0;?;-168.0;?
220.0;?;?;186.0;-957.0;553.0;?;-209.0;?
254.0;?;?;183.0;-971.0;549.0;?;-225.0;?
193.0;?;?;196.0;-972.0;551.0;383.0;?;?
205.0;?;?;213.0;-977.0;552.0;422.0;?;?
190.0;-10.0;?;235.0;-958.0;552.0;378.0;?;831.0
179.0;-28.0;?;227.0;-955.0;?;400.0;?;828.0
146.0;-42.0;?;223.0;-959.0;?;399.0;-163.0;813.0
162.0;-9.0;?;?;-972.0;?;430.0;-199.0;800.0
152.0;-43.0;249.0;?;-959.0;?;461.0;-183.0;819.0
145.0;-53.0;253.0;?;-947.0;?;448.0;-173.0;831.0
164.0;-46.0;?;?;-945.0;?;431.0;-146.0;809.0
218.0;-51.0;?;?;-958.0;?;431.0;-132.0;827.0
230.0;-68.0;?;?;-955.0;?;378.0;-147.0;718.0
229.0;-63.0;?;?;-940.0;?;299.0;-162.0;660.0
229.0;-64.0;?;?;-925.0;560.0;348.0;-125.0;933.0
206.0;-101.0;?;?;-910.0;559.0;354.0;-137.0;943.0
204.0;-128.0;?;?;-752.0;560.0;189.0;-248.0;874.0
204.0;-56.0;?;158.0;-1044.0;561.0;247.0;95.0;736.0
215.0;-379.0;?;158.0;-1076.0;562.0;250.0;12.0;738.0
253.0;?;?;352.0;-980.0;559.0;146.0;-83.0;793.0
171.0;?;?;510.0;-966.0;559.0;207.0;-215.0;861.0
342.0;?;?;495.0;-843.0;559.0;324.0;-235.0;877.0
414.0;?;233.0;317.0;-891.0;558.0;459.0;-121.0;816.0
168.0;?;286.0;249.0;-1019.0;556.0;367.0;-2.0;782.0
296.0;?;257.0;247.0;-1026.0;558.0;280.0;-45.0;811.0
156.0;-177.0;246.0;284.0;-969.0;556.0;295.0;-41.0;?
131.0;-138.0;210.0;302.0;-922.0;556.0;333.0;-106.0;?
273.0;-163.0;220.0;254.0;-930.0;556.0;391.0;-156.0;?
258.0;-168.0;187.0;222.0;-959.0;551.0;367.0;-140.0;?
170.0;-165.0;194.0;236.0;-978.0;547.0;284.0;-123.0;?
191.0;-176.0;212.0;263.0;-988.0;544.0;296.0;-72.0;?
201.0;-177.0;189.0;250.0;-973.0;539.0;384.0;-97.0;?
232.0;-184.0;144.0;231.0;?;540.0;?;-56.0;?
225.0;-165.0;144.0;210.0;?;538.0;?;-12.0;?
216.0;-194.0;158.0;185.0;-978.0;537.0;?;?;?
255.0;-141.0;120.0;171.0;-984.0;538.0;?;?;?
256.0;-165.0;141.0;170.0;-985.0;536.0;?;?;?
295.0;-156.0;126.0;163.0;-991.0;534.0;?;?;?
335.0;-146.0;109.0;172.0;-994.0;536.0;?;?;?
342.0;-150.0;95.0;195.0;-992.0;537.0;?;-37.0;?
321.0;-124.0;93.0;203.0;-1017.0;537.0;?;-64.0;962.0
333.0;-115.0;88.0;209.0;-1025.0;536.0;?;-92.0;956.0
320.0;-94.0;79.0;186.0;-1029.0;538.0;?;-57.0;921.0
270.0;-93.0;89.0;158.0;?;538.0;?;-31.0;906.0
312.0;-110.0;103.0;125.0;?;539.0;?;-64.0;884.0
321.0;-122.0;113.0;111.0;?;540.0;432.0;-76.0;875.0
?;-151.0;164.0;126.0;?;543.0;391.0;-122.0;855.0
?;-134.0;160.0;150.0;?;545.0;384.0;-166.0;846.0
?;-123.0;177.0;173.0;?;545.0;415.0;-167.0;843.0
?;-132.0;170.0;193.0;?;547.0;403.0;-177.0;835.0
?;-105.0;208.0;209.0;?;552.0;398.0;-165.0;829.0
?;-76.0;204.0;200.0;?;555.0;414.0;-157.0;825.0
?;-91.0;224.0;177.0;?;556.0;404.0;-157.0;841.0
?;-62.0;235.0;168.0;-959.0;560.0;399.0;-174.0;786.0
?;-31.0;239.0;167.0;-950.0;562.0;366.0;-171.0;817.0
?;-48.0;281.0;175.0;-963.0;?;391.0;-178.0;810.0
?;-47.0;248.0;197.0;-940.0;?;405.0;-204.0;829.0
?;-33.0;261.0;227.0;-936.0;?;414.0;-211.0;795.0
?;-54.0;282.0;256.0;-958.0;?;431.0;-209.0;796.0
?;-72.0;287.0;267.0;-971.0;?;403.0;-171.0;808.0
?;?;278.0;274.0;-958.0;?;380.0;-185.0;797.0
?;?;284.0;254.0;-951.0;?;356.0;-223.0;789.0
?;?;283.0;204.0;-952.0;?;371.0;-226.0;820.0
?;?;289.0;177.0;-951.0;?;385.0;-235.0;834.0
?;?;281.0;181.0;-943.0;575.0;395.0;-226.0;830.0
?;?;272.0;192.0;-959.0;576.0;?;-216.0;821.0
?;?;268.0;213.0;-969.0;577.0;?;-203.0;836.0
?;?;257.0;226.0;?;578.0;?;-183.0;769.0
?;?;245.0;229.0;?;577.0;?;-163.0;748.0
?;?;242.0;231.0;?;579.0;?;-193.0;667.0
?;?;262.0;240.0;?;579.0;?;?;641.0
?;?;295.0;226.0;?;580.0;?;?;586.0
?;?;326.0;203.0;-864.0;580.0;?;-57.0;1278.0
?;?;308.0;173.0;-820.0;582.0;?;-234.0;581.0
?;?;300.0;183.0;-737.0;583.0;?;-224.0;903.0
?;?;321.0;152.0;-1153.0;584.0;?;-19.0;717.0
?;?;417.0;236.0;?;581.0;?;-4.0;860.0
169.0;-452.0;320.0;407.0;?;579.0;?;-100.0;780.0
112.0;-313.0;288.0;567.0;?;577.0;?;-189.0;874.0
389.0;-198.0;263.0;537.0;?;576.0;250.0;-252.0;851.0
274.0;-181.0;251.0;363.0;?;575.0;373.0;-170.0;829.0
203.0;-185.0;294.0;285.0;?;575.0;374.0;-86.0;831.0
199.0;-159.0;246.0;257.0;?;?;317.0;-61.0;823.0
108.0;-183.0;229.0;253.0;?;?;318.0;-92.0;853.0
135.0;-177.0;196.0;293.0;?;?;?;-110.0;864.0
181.0;-176.0;140.0;333.0;?;?;?;-68.0;894.0
163.0;-176.0;154.0;358.0;?;?;?;-69.0;904.0
169.0;-180.0;148.0;298.0;?;?;?;-76.0;959.0
153.0;-149.0;?;253.0;?;?;?;-36.0;866.0
197.0;-148.0;?;173.0;?;?;?;-136.0;?
250.0;-116.0;136.0;155.0;?;?;?;-114.0;?
326.0;-139.0;156.0;196.0;?;548.0;?;-30.0;842.0
470.0;-149.0;100.0;200.0;-977.0;546.0;?;-44.0;854.0
516.0;-147.0;59.0;179.0;-995.0;548.0;?;-72.0;868.0
523.0;-141.0;121.0;111.0;-955.0;543.0;?;-59.0;873.0
489.0;-173.0;140.0;108.0;-933.0;540.0;?;-60.0;917.0
546.0;-175.0;128.0;121.0;-978.0;537.0;424.0;-59.0;918.0
560.0;-174.0;112.0;70.0;-967.0;533.0;405.0;-79.0;937.0
622.0;-147.0;110.0;8.0;-993.0;530.0;416.0;-68.0;885.0
674.0;-148.0;92.0;-32.0;-988.0;529.0;415.0;-69.0;912.0
735.0;?;110.0;-74.0;?;527.0;426.0;-53.0;872.0
730.0;?;117.0;-89.0;?;?;391.0;-44.0;892.0
762.0;?;112.0;-73.0;?;?;385.0;-94.0;895.0
825.0;?;93.0;-57.0;?;?;421.0;-81.0;?
754.0;?;86.0;-70.0;?;?;411.0;-38.0;?
765.0;?;61.0;-88.0;-961.0;?;418.0;-45.0;?
846.0;?;130.0;-149.0;?;?;407.0;-54.0;?
733.0;?;81.0;-205.0;?;?;415.0;-62.0;?
795.0;?;87.0;-264.0;?;?;430.0;-50.0;?
812.0;?;?;-289.0;?;?;438.0;-39.0;?
842.0;?;?;-298.0;?;?;492.0;20.0;?
847.0;?;?;-292.0;?;?;394.0;24.0;?
885.0;-157.0;?;-253.0;-993.0;?;421.0;-18.0;?
886.0;-152.0;?;-230.0;-973.0;?;425.0;-49.0;?
907.0;-167.0;?;-207.0;-971.0;530.0;433.0;-50.0;?
914.0;-201.0;?;-213.0;-995.0;530.0;394.0;-83.0;?
908.0;-189.0;?;-225.0;-1015.0;531.0;433.0;-95.0;?
914.0;-167.0;?;-218.0;-1002.0;532.0;442.0;-60.0;?
926.0;-156.0;?;-198.0;-978.0;531.0;432.0;-35.0;?
?;-156.0;?;-197.0;-983.0;529.0;442.0;-29.0;?
898.0;-142.0;?;?;-976.0;528.0;434.0;-50.0;?
