InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;Accelerometer RKN_ accZ;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE EuY
-307;-2134;10.0;14;186;-142.0;525;831;2134;186;-307;-81;-32
-375;-2010;21.0;105;155;-133.0;667;663;2010;155;-375;8;-28
-358;-1877;-7.0;48;531;-138.0;732;708;1877;531;-358;-75;-25
-143;-1530;-23.0;71;745;-135.0;762;693;1530;745;-143;-132;?
171;-785;-14.0;270;689;-130.0;833;484;785;689;171;?;?
192;-671;32.0;133;452;-146.0;385;787;671;452;192;?;?
6;-742;33.0;-3;269;-128.0;94;1023;742;269;6;?;?
-84;-502;10.0;85;356;-127.0;262;875;502;356;-84;?;?
-82;-519;19.0;-1;271;-127.0;249;971;519;271;-82;?;?
13;-513;24.0;-8;68;-127.0;241;980;513;68;13;?;?
129;-402;58.0;56;140;-129.0;183;924;402;140;129;?;?
148;-330;11.0;16;221;-148.0;161;973;330;221;148;?;?
112;-248;16.0;105;274;-138.0;136;884;248;274;112;?;?
24;-106;19.0;144;336;-130.0;68;859;106;336;24;?;?
-101;-2;45.0;18;186;-134.0;186;966;2;186;-101;?;?
-135;-79;58.0;26;-66;-124.0;186;957;79;-66;-135;?;-11
-118;-34;51.0;68;-262;-110.0;97;929;34;-262;-118;?;-11
-102;63;66.0;54;-169;-121.0;117;937;?;-169;-102;156;-10
-2;108;43.0;73;69;-126.0;119;922;?;69;-2;115;-11
115;111;47.0;47;229;-136.0;140;938;?;229;115;86;-11
153;181;56.0;85;389;-121.0;139;905;?;389;153;24;-11
128;259;87.0;118;392;-126.0;123;888;?;392;128;-17;-11
72;83;108.0;-53;299;-110.0;299;984;?;299;72;-22;-12
64;496;178.0;261;276;-126.0;-38;815;?;276;64;-12;-12
-76;61;243.0;?;280;-89.0;341;1007;?;280;-76;44;-13
27;540;262.0;270;278;-46.0;?;803;?;278;27;9;-13
143;960;273.0;428;?;-89.0;?;634;?;259;143;-60;-14
-21;828;200.0;324;?;-110.0;?;560;?;210;-21;-67;-16
424;4975;38.0;3042;?;-171.0;?;-923;?;-15;424;-30;-17
417;3266;-109.0;-709;?;-227.0;?;854;?;-507;417;300;-31
81;-1480;-265.0;-3745;?;-256.0;?;2303;1480;-674;81;345;-43
196;233;-193.0;481;?;-484.0;?;288;-233;-249;196;37;-40
-58;327;-107.0;162;?;-372.0;?;639;-327;52;-58;64;-41
?;-58;-59.0;-316;?;-203.0;?;853;58;17;?;51;-42
?;385;-30.0;345;?;-217.0;?;462;-385;-10;?;4;-41
?;-106;15.0;-206;?;-179.0;?;817;106;7;?;24;-42
?;-48;13.0;131;?;-140.0;?;691;48;10;?;-24;-41
?;-29;69.0;-3;18;-220.0;675;745;29;18;?;-10;-41
12;-27;-5.0;4;-8;-270.0;667;742;27;-8;?;-20;-41
-10;0;250.0;58;-21;-291.0;619;709;0;-21;?;-25;-41
13;6;251.0;8;14;-152.0;672;732;-6;14;?;-15;-41
27;10;222.0;25;7;-107.0;646;731;-10;7;?;-16;-41
-9;10;231.0;30;-13;-170.0;641;728;-10;-13;?;-11;-41
2;24;292.0;14;-1;-121.0;655;737;-24;-1;?;-16;-41
?;0;260.0;11;-1;-138.0;666;732;0;-1;12;-16;-41
-10;-62;264.0;41;11;-203.0;642;712;62;11;-10;-19;-41
7;53;240.0;-19;?;-172.0;688;?;-53;22;7;-24;-41
16;-62;331.0;55;?;-67.0;623;?;62;-5;16;-4;-41
-65;-200;376.0;-145;?;-129.0;?;?;200;35;-65;-20;?
-257;-740;351.0;-435;202;-93.0;?;?;740;202;-257;-30;?
-365;-1915;344.0;-103;239;-27.0;?;?;1915;239;-365;35;?
-201;-2128;284.0;24;63;-48.0;?;?;2128;63;?;72;?
-42;-1950;280.0;?;66;-96.0;?;?;1950;66;?;89;?
22;-1933;254.0;?;188;-92.0;309;?;1933;188;?;73;?
59;-1665;290.0;?;154;-120.0;264;?;1665;154;?;-15;?
9;-1361;253.0;?;0;-137.0;213;?;1361;0;?;-37;-20
-50;-1073;262.0;?;-114;-127.0;127;?;1073;-114;?;-13;-17
-83;-1019;326.0;?;-109;-86.0;219;?;1019;-109;?;-31;-16
-63;-369;331.0;?;-173;-101.0;-25;?;369;-173;?;25;-14
-117;288;394.0;?;-16;-10.0;-36;872;-288;-16;?;126;-14
-109;?;97.0;?;?;-293.0;294;935;-83;240;?;124;-14
59;?;987.0;?;?;-171.0;218;928;56;137;59;64;-14
101;?;777.0;?;?;794.0;211;965;41;53;101;36;?
123;?;?;?;?;-412.0;276;986;66;56;123;42;?
138;?;?;?;?;-849.0;222;950;102;-2;138;7;?
72;?;?;?;?;-223.0;243;963;121;-56;?;-53;?
-10;?;?;?;?;-113.0;237;961;129;-133;?;-60;-14
-141;?;?;61;?;-111.0;190;922;166;?;?;-17;-13
-186;?;?;65;-249;?;158;922;94;?;?;51;?
-132;?;?;63;-125;?;146;927;?;?;?;92;?
-139;?;?;8;-124;?;197;963;?;?;?;96;?
-145;?;?;113;39;?;127;886;?;?;?;69;?
-58;?;?;12;130;?;206;957;?;?;?;78;-13
-39;?;?;51;155;-137.0;172;929;-177;?;?;71;-13
-45;?;?;254;250;-143.0;38;779;-199;?;?;29;-14
43;409;?;-255;-155;-141.0;416;1143;-409;?;?;88;-15
-46;341;?;640;430;-164.0;-284;510;-341;?;?;-14;-14
-7;848;?;-431;-386;-174.0;?;1248;-848;?;?;77;-17
-8;1235;101.0;1341;135;-218.0;?;-32;-1235;?;-8;-132;-16
96;2899;145.0;2292;19;-196.0;?;-646;-2899;?;96;-54;-18
710;5425;164.0;-6144;-5439;-141.0;?;5292;-5425;?;710;1088;-37
399;2191;244.0;-3905;-3074;-126.0;?;3399;-2191;-3074;399;556;?
-159;-669;158.0;1644;1037;-304.0;?;-579;669;1037;-159;-353;?
-16;402;11.0;-735;-553;-256.0;?;1272;-402;-553;-16;0;?
-16;-43;-16.0;157;102;-77.0;?;616;43;?;-16;-21;?
-7;-139;102.0;147;80;-136.0;?;636;139;?;-7;-14;?
-10;89;204.0;-228;-164;-167.0;?;?;-89;?;-10;27;?
-34;-54;232.0;226;159;-153.0;?;?;54;?;-34;-27;?
30;51;?;-106;-109;-190.0;?;?;-51;?;30;16;?
38;-22;?;82;29;-162.0;?;?;22;?;38;-5;?
30;14;?;14;2;-116.0;?;?;-14;?;30;-3;?
30;15;?;8;-33;-104.0;663;?;-15;?;30;-3;?
34;6;?;29;-44;-23.0;649;723;-6;?;?;-2;?
16;14;?;17;-41;-6.0;654;734;-14;?;?;-10;?
16;23;?;18;-4;-69.0;656;730;-23;?;?;-2;?
33;-12;?;18;-10;-116.0;653;734;12;?;?;-2;-41
20;-10;?;14;-29;-145.0;661;?;10;?;?;-7;-41
26;-2;?;15;47;-172.0;667;?;2;47;?;-9;-41
25;-49;?;-8;58;-204.0;670;?;49;58;?;-27;-41
-50;-102;?;-22;-9;-180.0;714;?;102;-9;?;0;-41
-96;-666;?;-107;99;-163.0;777;?;666;99;?;-115;-40
-313;-1134;249.0;-362;338;-115.0;1009;?;1134;338;?;-378;-39
-455;-1288;232.0;-384;322;-151.0;?;?;1288;322;?;-273;-39
-92;-1836;232.0;-37;80;-122.0;?;?;1836;80;?;69;-34
115;-1851;261.0;68;44;-100.0;?;?;1851;44;115;40;-29
34;-1539;291.0;-33;44;-82.0;?;?;1539;44;34;-74;-26
20;-1488;286.0;44;-144;-104.0;?;?;1488;-144;20;2;-23
-10;-1260;257.0;165;-181;-67.0;?;?;1260;-181;-10;24;-20
-58;-1002;323.0;165;-77;-103.0;?;831;1002;-77;-58;-10;-18
-101;-754;256.0;93;-146;-39.0;171;898;754;-146;-101;-29;-17
-104;-575;367.0;93;-262;-180.0;154;898;575;-262;-104;-14;-15
-95;-456;11.0;115;-237;-36.0;132;880;456;-237;-95;21;-14
-110;-291;911.0;76;-168;-647.0;?;912;291;-168;-110;59;-14
-87;-192;?;65;-170;936.0;?;924;192;-170;-87;59;-13
-54;-168;?;75;-139;302.0;?;912;168;-139;-54;41;-13
-62;-94;?;47;4;-987.0;?;936;94;4;-62;74;-13
-41;-9;?;42;75;139.0;?;941;9;75;-41;61;-13
-9;-9;?;55;46;-64.0;?;932;9;46;-9;8;-13
-37;14;?;55;18;-225.0;?;936;-14;18;-37;3;-13
-87;54;?;52;-21;-116.0;?;935;-54;-21;-87;13;-13
-93;52;?;42;-72;-147.0;?;939;-52;-72;-93;33;-13
-66;81;?;43;-51;-70.0;?;936;-81;-51;-66;72;-13
-50;178;?;?;87;-36.0;?;913;-178;87;-50;97;-13
-4;171;?;?;199;-122.0;?;929;-171;199;-4;?;-13
-10;294;40.0;?;159;-142.0;?;888;?;159;-10;?;-13
13;214;57.0;?;193;-176.0;?;919;?;193;13;?;-14
118;363;107.0;?;304;-156.0;223;903;-363;304;118;?;-15
99;642;111.0;?;383;-140.0;91;819;-642;383;99;?;-15
52;77;58.0;?;471;-145.0;390;987;-77;471;52;?;-15
-114;1406;32.0;?;131;-198.0;-345;528;-1406;131;-114;?;-18
-307;1165;36.0;?;-277;-208.0;-531;353;-1165;-277;-307;?;-19
-258;1924;97.0;?;-206;-205.0;-783;236;-1924;-206;-258;?;-19
-16;5316;167.0;?;-345;-170.0;-1987;-407;-5316;-345;-16;?;-23
219;1656;113.0;?;-486;-268.0;-113;512;-1656;-486;?;?;-25
27;-781;78.0;?;-95;-238.0;1059;1036;781;-95;?;?;-25
-102;656;15.0;?;30;-83.0;435;?;-656;30;?;?;-26
26;-216;102.0;?;-87;-105.0;792;?;216;-87;?;?;-26
-2;-43;232.0;88;36;-182.0;643;?;43;36;?;?;-26
?;32;176.0;81;31;-161.0;632;712;-32;31;?;?;-26
?;-80;144.0;5;7;-160.0;707;753;80;7;?;?;-26
?;68;208.0;71;14;-189.0;625;708;-68;14;?;?;-26
?;-56;264.0;17;-43;-157.0;682;733;56;-43;?;?;-26
?;34;245.0;44;-37;-156.0;647;717;-34;-37;?;?;-26
?;11;228.0;36;-42;-153.0;657;721;-11;-42;?;?;-26
?;-9;262.0;25;-36;-148.0;661;726;9;?;?;?;-26
?;?;?;15;-16;-110.0;662;733;11;?;?;?;?
?;?;?;20;-39;-117.0;660;727;2;?;?;?;?
?;?;?;12;-28;-82.0;675;725;36;?;?;?;?
?;?;?;?;15;-119.0;663;716;31;?;-14;?;?
11;?;245.0;?;29;-99.0;664;722;29;?;11;-4;?
31;?;270.0;?;1;-124.0;676;740;75;?;31;-40;?
51;?;311.0;?;-36;?;635;727;41;?;51;-7;?
-57;?;285.0;?;42;?;703;760;72;?;-57;-74;?
14;?;262.0;?;-8;?;623;706;6;?;14;59;?
-210;?;293.0;?;76;?;762;799;497;?;-210;-11;?
-620;?;290.0;?;244;?;1043;988;1627;?;-620;-290;?
-350;?;297.0;-58;12;?;677;812;2008;?;-350;223;?
-263;-1986;321.0;88;-40;?;526;737;1986;?;-263;511;?
-186;-1943;235.0;34;-86;?;578;775;1943;-86;-186;131;?
-20;-1596;144.0;147;-22;?;343;784;1596;-22;-20;11;?
-180;-1344;175.0;54;160;?;328;890;1344;160;-180;-13;-19
-163;-1249;266.0;39;-82;?;368;891;1249;-82;-163;-97;-18
-231;-1145;270.0;73;-140;?;262;893;1145;-140;-231;-33;-16
-319;-996;279.0;95;-136;?;179;893;996;-136;-319;-5;-15
-285;-795;432.0;112;-289;?;160;879;795;-289;-285;0;-14
-301;-649;124.0;92;-338;444.0;154;895;649;-338;-301;81;-13
-184;-505;93.0;88;-349;-991.0;139;900;505;?;-184;113;-12
-14;-237;56.0;76;-313;-605.0;104;919;237;?;-14;123;-12
35;?;-298.0;71;-293;66.0;124;920;106;?;35;112;-11
50;?;-155.0;?;-186;-242.0;196;919;167;?;50;106;-11
57;?;-50.0;?;36;-195.0;133;916;95;?;57;128;-11
52;?;-12.0;?;236;-124.0;104;907;-67;?;52;90;-11
87;?;?;?;250;-159.0;183;931;-100;?;87;46;-11
129;?;?;?;172;-32.0;182;953;-99;?;129;51;?
150;?;?;?;130;-97.0;178;944;-129;?;150;25;?
97;122;?;?;35;-119.0;159;937;-122;35;97;-11;-12
20;153;?;?;113;-110.0;213;962;-153;113;20;-11;-12
-39;-36;?;?;-57;-108.0;222;944;36;-57;-39;-74;-12
-105;53;?;?;-284;-167.0;116;917;-53;-284;-105;14;-12
-153;296;?;?;80;-179.0;133;905;-296;80;-153;157;-13
-196;50;?;?;221;-164.0;213;897;-50;221;-196;69;-13
-110;581;?;-18;?;-170.0;204;1020;-581;293;-110;321;-13
-148;-185;?;125;?;-179.0;211;805;185;330;-148;-125;-13
5;1175;?;169;?;-211.0;55;891;-1175;505;5;195;-16
-66;855;?;410;?;-245.0;-74;632;-855;-53;-66;-119;?
99;1064;?;1285;?;-167.0;-990;-12;-1064;-565;99;-387;?
461;9111;183.0;1290;?;-100.0;-1008;216;-9111;84;461;858;?
?;3551;?;359;?;-109.0;2722;-942;-3551;-1767;-1574;-4305;?
?;-3605;?;0;?;-134.0;3047;-820;3605;-2011;-1748;-4964;?
?;1075;?;52;?;-76.0;?;963;-1075;?;274;707;?
?;75;?;-2;?;-38.0;?;706;-75;?;-14;-23;?
?;-369;?;?;?;-185.0;?;655;369;?;-102;-265;-40
?;352;?;?;?;-252.0;?;?;-352;?;68;282;-40
?;-353;?;6;?;-244.0;?;?;353;?;-114;-259;-40
?;183;?;18;?;-199.0;?;?;-183;?;61;148;-40
?;-81;?;11;?;-217.0;?;?;81;?;-23;-55;-40
?;-29;237.0;17;-1;-163.0;?;?;29;?;-9;-16;-40
?;35;284.0;19;14;-72.0;?;?;-35;?;19;16;-40
?;-7;347.0;10;7;-38.0;?;?;7;?;-3;-14;-40
?;2;359.0;18;3;-40.0;?;?;-2;?;14;10;-40
?;10;393.0;21;-11;-35.0;?;?;-10;?;41;-17;?
?;1;297.0;19;18;-71.0;?;?;-1;?;12;-12;?
?;-6;273.0;20;59;-108.0;658;?;6;?;-19;-10;?
?;-2;291.0;13;55;-85.0;665;?;2;55;15;-10;?
?;-34;284.0;19;50;-125.0;660;?;34;50;5;2;?
?;-47;289.0;19;59;-90.0;662;725;47;59;-29;-34;?
?;-30;254.0;13;-4;-129.0;652;740;30;-4;14;1;?
?;-122;?;17;31;-152.0;656;733;122;31;-68;-23;?
?;-151;?;-9;-4;-160.0;683;744;151;-4;-49;-26;?
?;-190;?;-70;0;-161.0;725;787;190;0;-2;74;-39
?;-750;?;-104;349;-171.0;806;766;750;?;-384;-142;-39
?;-1300;265.0;-40;-106;-156.0;?;755;1300;?;-199;-13;-36
?;-1264;218.0;36;-706;-74.0;?;760;1264;?;153;278;-35
?;-1349;253.0;17;-602;-62.0;?;768;1349;?;131;226;-35
?;-1618;256.0;15;-622;-44.0;?;823;1618;?;467;153;-31
?;-1515;369.0;?;-485;-101.0;?;836;1515;?;392;-202;-27
31;-1422;319.0;56;-548;-45.0;?;856;1422;?;31;-235;-24
-91;-1388;411.0;79;-493;-52.0;?;863;1388;-493;-91;-49;-21
-223;-1234;368.0;126;-240;-284.0;?;840;1234;-240;-223;-107;-19
-177;-964;?;126;-312;63.0;?;854;964;-312;-177;-51;-17
-107;-776;-2133.0;103;-248;1425.0;173;887;776;-248;-107;?;-16
-119;-823;531.0;89;-233;-1326.0;192;899;823;-233;-119;?;-16
0;-375;-530.0;153;-93;-235.0;73;854;375;-93;0;?;-14
67;67;-106.0;79;21;-76.0;94;923;-67;21;?;?;-14
13;-13;-210.0;10;12;-225.0;238;961;13;12;?;?;-14
79;-64;25.0;94;166;-290.0;156;894;64;166;79;?;-14
86;-120;-28.0;21;186;-46.0;128;973;120;186;86;?;-14
-52;-109;114.0;-28;105;-57.0;193;1001;109;105;-52;?;-13
-103;-63;129.0;36;-131;-53.0;191;939;63;-131;-103;?;-13
-61;-69;96.0;30;-293;-137.0;165;959;69;-293;-61;-4;-13
-52;16;73.0;25;-98;-109.0;169;963;-16;-98;-52;-5;-13
-48;21;54.0;57;101;-97.0;186;926;-21;101;-48;-28;-13
-29;-3;17.0;64;86;-137.0;172;919;3;86;-29;-65;-13
-49;164;41.0;51;-40;-198.0;152;937;-164;-40;?;-108;-13
-98;249;0.0;9;-47;-182.0;185;965;-249;-47;?;-44;-14
-99;189;30.0;85;39;-181.0;128;926;-189;39;?;9;-14
-45;288;-3.0;32;223;-152.0;230;931;-288;223;?;45;-14
4;241;?;43;425;-155.0;208;939;-241;425;?;14;-15
2;166;?;107;547;-157.0;147;905;-166;547;?;-86;-15
-28;320;?;-85;595;-174.0;400;953;-320;595;?;-62;-15
-106;-27;?;?;420;-137.0;-144;825;27;420;?;-155;-16
-473;?;?;?;893;-122.0;323;808;-822;893;?;144;-17
-580;?;?;?;959;-162.0;-988;440;-1522;959;?;-96;-18
-301;?;?;?;99;-116.0;-1578;-216;-5084;99;-301;-51;-25
-50;?;?;?;-108;-11.0;2785;342;-9651;-108;?;1049;-36
496;?;?;?;-581;134.0;1972;1095;-3614;-581;?;23;-41
523;?;?;?;-725;-148.0;-146;?;1294;-725;?;-574;-41
15;?;?;?;-7;-279.0;1074;?;-511;-7;15;246;-41
-15;?;?;?;37;-179.0;?;?;94;37;-15;-27;-41
53;?;?;?;-121;-307.0;?;721;15;-121;53;-18;-41
?;?;190.0;?;-9;-328.0;?;723;-132;-9;10;44;-41
?;?;252.0;?;2;-158.0;?;?;131;2;-15;-34;-41
?;?;253.0;?;-30;-122.0;?;?;-78;-30;-3;38;-41
?;-80;278.0;?;-15;-104.0;?;?;80;-15;43;-17;-41
?;-3;321.0;?;-20;-46.0;?;?;3;-20;3;-14;-41
?;-2;327.0;27;7;-93.0;658;?;2;7;-29;-16;-41
?;-28;291.0;23;33;-106.0;657;?;28;33;26;2;-41
?;-2;?;22;16;-133.0;653;?;2;16;8;6;-41
?;-5;?;26;9;-130.0;652;724;5;9;-26;5;-41
?;?;273.0;19;13;-180.0;662;724;14;13;1;5;-41
?;?;305.0;17;21;-159.0;659;730;-17;21;14;-4;-41
?;?;271.0;17;12;-180.0;656;733;-16;12;23;-3;-41
?;?;288.0;13;-7;-166.0;664;731;-28;-7;7;-12;-41
7;34;285.0;17;-11;-110.0;662;727;-34;-11;7;-10;-41
13;-31;280.0;21;-11;?;655;?;31;-11;13;-4;-41
16;-24;309.0;19;-8;?;657;?;24;-8;16;-5;-41
22;13;333.0;20;0;?;658;?;-13;0;22;1;?
4;-25;?;18;-9;?;656;?;25;-9;4;-5;-41
11;0;?;15;-6;?;659;?;0;?;11;-6;-41
2;19;?;18;13;?;656;?;-19;?;?;-2;-41
-6;-7;?;22;21;?;653;?;7;?;?;-6;-41
2;-19;?;20;3;?;659;?;19;?;2;-7;-41
-18;8;?;17;-10;?;662;?;-8;?;-18;-6;-41
-19;41;?;20;0;-131.0;658;?;-41;0;-19;-6;-41
2;-20;?;18;-3;-207.0;657;?;20;-3;2;0;-41
24;?;?;19;?;-17.0;657;?;-1;11;24;4;-41
-10;?;?;19;?;-407.0;657;728;-18;-3;-10;0;-41
-35;?;?;19;?;858.0;658;728;20;-17;-35;-8;-41
4;?;-12.0;22;?;834.0;660;723;-5;10;4;-12;-41
5;-5;-10.0;21;?;-1022.0;660;723;5;-6;5;-3;-41
-5;5;-108.0;25;?;-693.0;655;723;-5;-3;-5;2;-41
-15;-25;-248.0;24;?;61.0;654;724;25;28;-15;-2;-41
-13;-44;-12.0;23;?;-168.0;655;725;44;21;-13;-4;-41
5;14;-40.0;24;?;-278.0;653;?;-14;-18;5;-1;-41
13;26;-18.0;21;?;-140.0;654;?;-26;-20;13;1;-41
24;44;17.0;21;?;-134.0;657;726;-44;18;24;0;-41
7;36;56.0;21;?;-191.0;659;724;-36;5;7;6;-41
11;-13;92.0;19;?;-209.0;659;726;13;4;11;5;-41
21;-6;104.0;16;?;-176.0;663;727;6;-15;21;-1;-41
1;30;85.0;19;-37;-132.0;662;724;-30;-37;1;-2;-41
22;16;148.0;26;19;-130.0;656;721;-16;19;22;-3;-41
39;-8;153.0;?;28;-136.0;660;726;8;28;39;-3;-41
2;11;123.0;?;5;-116.0;661;727;-11;5;?;-6;-41
