Accelerometer RKN_ accY;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE Nav_Ay;Accelerometer RKN^ accX;Accelerometer RKN^ accZ;Accelerometer BACK accZ;InertialMeasurementUnit L-SHOE Nav_Ax
980.0;960.0;-7;260.0;19.0;-585.0;-1
1133.0;977.0;-1;205.0;-30.0;-608.0;1
894.0;1005.0;4;211.0;30.0;-580.0;4
765.0;790.0;-129;324.0;52.0;-445.0;9
843.0;1005.0;9;269.0;111.0;-580.0;9
910.0;1004.0;10;276.0;157.0;-561.0;9
1001.0;894.0;47;367.0;145.0;-488.0;425
732.0;1060.0;-101;383.0;96.0;-571.0;-495
989.0;994.0;93;351.0;269.0;-429.0;4
915.0;986.0;10;244.0;133.0;-580.0;9
906.0;1016.0;11;230.0;100.0;-582.0;17
947.0;922.0;-2;110.0;124.0;-420.0;-6
977.0;944.0;0;257.0;113.0;-396.0;-1
948.0;975.0;0;240.0;141.0;-452.0;-5
965.0;916.0;-6;200.0;181.0;-386.0;-4
912.0;918.0;-5;148.0;225.0;-406.0;-2
832.0;920.0;-2;209.0;228.0;-399.0;-4
822.0;941.0;3;272.0;217.0;-386.0;2
808.0;967.0;3;288.0;200.0;-440.0;6
998.0;982.0;5;270.0;43.0;-539.0;10
1006.0;934.0;8;262.0;46.0;-527.0;9
998.0;860.0;-9;418.0;222.0;-474.0;68
978.0;929.0;4;204.0;157.0;-421.0;10
979.0;956.0;6;183.0;149.0;-446.0;1
979.0;941.0;1;181.0;141.0;-424.0;1
997.0;903.0;2;161.0;109.0;-410.0;4
983.0;913.0;4;151.0;117.0;-420.0;-2
970.0;935.0;8;140.0;64.0;-430.0;-2
983.0;958.0;8;131.0;66.0;-418.0;0
964.0;934.0;3;147.0;106.0;-425.0;1
965.0;955.0;0;158.0;119.0;-457.0;1
986.0;952.0;1;156.0;121.0;-432.0;1
990.0;920.0;2;195.0;113.0;-416.0;2
988.0;926.0;-1;192.0;115.0;-459.0;0
989.0;963.0;0;177.0;112.0;-502.0;-1
971.0;941.0;-4;185.0;120.0;-493.0;1
988.0;945.0;1;170.0;126.0;-471.0;3
989.0;944.0;-1;189.0;161.0;-427.0;6
989.0;956.0;6;199.0;164.0;-442.0;7
976.0;930.0;6;204.0;167.0;-452.0;3
970.0;926.0;-2;218.0;179.0;-458.0;1
978.0;945.0;2;241.0;177.0;-432.0;-3
979.0;909.0;6;250.0;207.0;-453.0;-9
970.0;937.0;1;232.0;207.0;-476.0;-2
979.0;948.0;1;233.0;203.0;-453.0;4
983.0;926.0;-2;179.0;144.0;-480.0;-3
984.0;942.0;0;200.0;166.0;-479.0;-5
983.0;951.0;5;201.0;188.0;-446.0;0
980.0;939.0;-2;222.0;190.0;-432.0;-4
962.0;940.0;0;219.0;227.0;-438.0;-7
958.0;914.0;3;200.0;194.0;-431.0;2
974.0;929.0;3;201.0;169.0;-445.0;3
978.0;905.0;0;186.0;137.0;-470.0;-7
988.0;922.0;1;203.0;151.0;-452.0;-3
980.0;919.0;2;218.0;150.0;-449.0;11
979.0;920.0;-11;194.0;159.0;-465.0;14
980.0;900.0;0;215.0;166.0;-476.0;8
996.0;920.0;10;211.0;187.0;-441.0;1
971.0;928.0;3;192.0;183.0;-473.0;-2
975.0;935.0;0;216.0;178.0;-469.0;3
968.0;945.0;2;220.0;179.0;-513.0;-1
962.0;960.0;2;223.0;171.0;-440.0;-3
970.0;951.0;-1;214.0;150.0;-410.0;5
989.0;961.0;0;213.0;148.0;-463.0;4
988.0;914.0;0;202.0;153.0;-439.0;-2
983.0;918.0;1;179.0;134.0;-431.0;-2
985.0;948.0;-3;168.0;125.0;-463.0;2
979.0;956.0;-1;172.0;99.0;-440.0;4
975.0;953.0;2;171.0;109.0;-428.0;1
985.0;935.0;6;161.0;78.0;-481.0;1
955.0;934.0;5;164.0;83.0;-431.0;0
979.0;958.0;4;181.0;129.0;-486.0;0
981.0;948.0;6;192.0;159.0;-458.0;2
964.0;959.0;1;198.0;142.0;-460.0;-3
988.0;948.0;1;213.0;167.0;-463.0;2
963.0;944.0;4;213.0;171.0;-465.0;1
961.0;920.0;2;208.0;158.0;-465.0;1
990.0;929.0;4;218.0;173.0;-491.0;-1
984.0;940.0;4;220.0;156.0;-420.0;-5
964.0;926.0;2;224.0;132.0;-432.0;-5
990.0;944.0;3;206.0;112.0;-450.0;-4
974.0;965.0;-3;201.0;137.0;-448.0;-3
980.0;946.0;-3;192.0;152.0;-442.0;-1
960.0;919.0;6;208.0;146.0;-483.0;4
970.0;949.0;5;212.0;158.0;-461.0;5
978.0;944.0;-1;211.0;148.0;-446.0;1
974.0;967.0;0;231.0;148.0;-418.0;-2
972.0;936.0;0;221.0;122.0;-462.0;-8
980.0;932.0;2;218.0;166.0;-470.0;0
988.0;949.0;5;194.0;172.0;-452.0;-1
989.0;909.0;0;189.0;124.0;-440.0;5
990.0;941.0;-2;201.0;114.0;-431.0;7
985.0;949.0;6;212.0;150.0;-448.0;0
986.0;898.0;6;218.0;164.0;-419.0;-4
1001.0;942.0;3;201.0;171.0;-449.0;-6
960.0;966.0;3;201.0;144.0;-474.0;-4
961.0;945.0;2;201.0;145.0;-474.0;-2
966.0;930.0;3;192.0;149.0;-435.0;-6
986.0;950.0;3;191.0;129.0;-438.0;1
989.0;890.0;5;191.0;139.0;-457.0;7
981.0;911.0;5;202.0;148.0;-456.0;4
984.0;978.0;7;199.0;134.0;-439.0;5
984.0;974.0;4;188.0;106.0;-449.0;4
961.0;926.0;-5;178.0;113.0;-447.0;-4
951.0;927.0;-1;182.0;119.0;-471.0;3
979.0;918.0;-2;171.0;100.0;-456.0;0
977.0;939.0;0;191.0;99.0;-459.0;-3
977.0;920.0;0;182.0;100.0;-472.0;-4
994.0;920.0;0;214.0;120.0;-476.0;-3
971.0;911.0;2;205.0;119.0;-460.0;0
985.0;911.0;-1;189.0;115.0;-460.0;0
987.0;939.0;3;222.0;130.0;-439.0;4
979.0;914.0;3;203.0;152.0;-458.0;-2
979.0;943.0;-9;200.0;114.0;-425.0;-3
991.0;932.0;-16;201.0;122.0;-414.0;-9
993.0;934.0;0;199.0;143.0;-427.0;11
969.0;920.0;22;212.0;142.0;-425.0;22
980.0;957.0;16;231.0;146.0;-434.0;18
970.0;921.0;2;214.0;157.0;-458.0;-4
981.0;941.0;5;212.0;151.0;-441.0;-7
988.0;949.0;3;205.0;153.0;-444.0;-7
991.0;936.0;-1;241.0;166.0;-435.0;-2
982.0;928.0;-4;221.0;117.0;-402.0;-1
982.0;936.0;5;211.0;147.0;-399.0;6
987.0;954.0;-1;212.0;124.0;-401.0;-3
981.0;940.0;0;210.0;139.0;-423.0;0
978.0;919.0;4;210.0;139.0;-441.0;-1
979.0;926.0;2;199.0;120.0;-436.0;-5
979.0;942.0;-4;220.0;114.0;-432.0;-4
980.0;950.0;1;210.0;136.0;-437.0;-2
975.0;926.0;4;202.0;133.0;-409.0;-4
982.0;936.0;3;208.0;122.0;-406.0;-1
976.0;927.0;-2;213.0;109.0;-422.0;1
982.0;931.0;5;218.0;143.0;-444.0;4
988.0;938.0;2;227.0;139.0;-443.0;1
974.0;925.0;-2;196.0;116.0;-444.0;-6
982.0;924.0;-4;199.0;115.0;-459.0;-11
997.0;912.0;2;182.0;147.0;-521.0;1
969.0;937.0;0;191.0;129.0;-447.0;2
979.0;924.0;-1;205.0;149.0;-506.0;-1
969.0;925.0;-2;204.0;124.0;-481.0;-1
989.0;918.0;-3;178.0;153.0;-463.0;1
970.0;930.0;0;181.0;145.0;-487.0;4
998.0;914.0;1;187.0;133.0;-456.0;1
977.0;910.0;-1;209.0;129.0;-446.0;-2
993.0;928.0;-2;211.0;122.0;-466.0;-2
981.0;904.0;0;206.0;130.0;-465.0;-2
969.0;909.0;3;194.0;126.0;-513.0;0
967.0;945.0;1;183.0;98.0;-449.0;1
975.0;928.0;2;187.0;132.0;-474.0;0
976.0;918.0;8;210.0;123.0;-462.0;1
968.0;919.0;2;206.0;138.0;-486.0;0
987.0;912.0;0;240.0;100.0;-506.0;-4
980.0;895.0;-2;201.0;78.0;-462.0;-12
989.0;920.0;1;194.0;63.0;-466.0;-7
979.0;920.0;3;201.0;85.0;-469.0;1
990.0;976.0;4;230.0;149.0;-472.0;-1
980.0;965.0;3;211.0;143.0;-427.0;1
978.0;978.0;8;235.0;123.0;-441.0;6
988.0;991.0;-5;226.0;134.0;-454.0;-1
998.0;1010.0;-3;219.0;88.0;-469.0;-3
969.0;1036.0;1;186.0;70.0;-450.0;-13
974.0;958.0;1;215.0;81.0;-452.0;5
1001.0;964.0;21;173.0;104.0;-413.0;-13
992.0;950.0;0;206.0;80.0;-429.0;-9
991.0;979.0;-10;206.0;54.0;-429.0;-6
789.0;1009.0;-1;190.0;99.0;-595.0;12
993.0;866.0;-103;164.0;100.0;-768.0;-49
990.0;927.0;666;250.0;-65.0;-438.0;-6
981.0;858.0;-361;191.0;64.0;-534.0;84
946.0;983.0;25;419.0;397.0;-652.0;37
974.0;958.0;30;127.0;215.0;-678.0;29
986.0;819.0;-559;-27.0;153.0;-471.0;160
968.0;1021.0;22;78.0;300.0;-647.0;38
936.0;1024.0;26;127.0;252.0;-663.0;37
962.0;1003.0;25;155.0;258.0;-719.0;25
951.0;986.0;12;74.0;343.0;-710.0;25
971.0;946.0;21;157.0;294.0;-665.0;20
872.0;1080.0;-16;261.0;59.0;-463.0;-3
917.0;1061.0;0;263.0;40.0;-444.0;8
870.0;938.0;17;222.0;120.0;-598.0;-12
701.0;985.0;3;227.0;114.0;-593.0;9
1024.0;956.0;-2;250.0;183.0;-716.0;1
1018.0;968.0;-3;261.0;211.0;-699.0;1
963.0;983.0;-4;181.0;152.0;-702.0;-4
983.0;964.0;2;161.0;32.0;-697.0;4
794.0;979.0;-8;241.0;109.0;-505.0;15
951.0;993.0;-2;141.0;-11.0;-660.0;3
981.0;956.0;8;196.0;135.0;-712.0;1
999.0;978.0;-6;303.0;180.0;-568.0;15
972.0;970.0;16;227.0;283.0;-714.0;14
938.0;963.0;6;197.0;236.0;-672.0;12
973.0;987.0;6;231.0;109.0;-655.0;19
1013.0;972.0;-1;287.0;433.0;-564.0;29
989.0;986.0;-16;581.0;212.0;-550.0;8
930.0;1121.0;33;365.0;171.0;-600.0;-2
1067.0;955.0;21;231.0;86.0;-591.0;7
881.0;988.0;8;205.0;137.0;-688.0;15
1288.0;1044.0;16;813.0;251.0;-695.0;-54
988.0;979.0;-15;347.0;595.0;-587.0;18
1089.0;912.0;148;373.0;98.0;-451.0;-998
919.0;1039.0;-1922;214.0;-101.0;-750.0;530
921.0;961.0;7;98.0;210.0;-699.0;5
1155.0;997.0;17;271.0;475.0;-600.0;18
969.0;933.0;8;251.0;316.0;-685.0;5
917.0;969.0;3;127.0;290.0;-759.0;2
844.0;1068.0;-153;-25.0;299.0;-721.0;289
1001.0;899.0;-44;181.0;-13.0;-510.0;29
981.0;947.0;52;2.0;443.0;-667.0;123
918.0;1000.0;-26;197.0;95.0;-490.0;-38
992.0;922.0;-7;185.0;219.0;-774.0;12
1076.0;947.0;38;122.0;54.0;-549.0;-56
988.0;907.0;82;178.0;39.0;-517.0;-44
978.0;893.0;-14;180.0;43.0;-516.0;-3
1087.0;839.0;-430;-273.0;478.0;-671.0;-67
985.0;887.0;19;136.0;36.0;-473.0;7
995.0;1030.0;1;174.0;246.0;-511.0;5
992.0;1045.0;11;222.0;246.0;-478.0;5
987.0;1084.0;15;296.0;277.0;-497.0;19
967.0;1156.0;11;317.0;-22.0;-665.0;496
989.0;990.0;18;286.0;217.0;-457.0;41
981.0;884.0;-22;252.0;177.0;-525.0;13
972.0;2191.0;-184;289.0;320.0;-809.0;-25
1180.0;1275.0;-3;346.0;109.0;-572.0;-268
929.0;970.0;-1;337.0;181.0;-758.0;-2
998.0;955.0;-3;197.0;163.0;-751.0;-5
989.0;957.0;2;347.0;215.0;-889.0;1
1015.0;1005.0;-2;243.0;108.0;-781.0;5
977.0;986.0;68;332.0;91.0;-800.0;327
984.0;983.0;-20;-64.0;-74.0;-887.0;52
970.0;985.0;1;197.0;126.0;-750.0;11
1020.0;939.0;7;217.0;88.0;-470.0;-9
998.0;940.0;8;143.0;-15.0;-480.0;-7
932.0;944.0;0;378.0;48.0;-390.0;-7
1006.0;988.0;-5;297.0;-38.0;-526.0;24
985.0;967.0;-4;294.0;-44.0;-536.0;20
639.0;958.0;-757;217.0;37.0;-456.0;-52
1006.0;1012.0;-53;213.0;2.0;-555.0;-39
1007.0;1006.0;-87;312.0;52.0;-538.0;-12
998.0;847.0;-19;331.0;171.0;-564.0;-3
999.0;966.0;-107;313.0;146.0;-541.0;-2
989.0;904.0;-68;253.0;267.0;-562.0;-33
988.0;893.0;-49;320.0;384.0;-580.0;-43
947.0;922.0;2;90.0;391.0;-548.0;-2
907.0;899.0;-61;173.0;88.0;-465.0;22
858.0;988.0;-80;283.0;208.0;-485.0;45
922.0;991.0;-55;370.0;282.0;-485.0;52
947.0;851.0;-22;152.0;465.0;-711.0;17
1110.0;1018.0;-159;716.0;530.0;-387.0;397
988.0;973.0;-136;256.0;235.0;-437.0;142
943.0;971.0;-94;169.0;347.0;-468.0;49
951.0;952.0;-44;187.0;418.0;-642.0;-10
954.0;1022.0;12;111.0;90.0;-701.0;-17
979.0;1069.0;54;223.0;67.0;-481.0;-11
992.0;1128.0;60;311.0;177.0;-468.0;-18
994.0;1056.0;18;250.0;9.0;-644.0;15
929.0;897.0;-44;79.0;295.0;-589.0;1
989.0;924.0;70;302.0;105.0;-550.0;40
994.0;1031.0;-24;64.0;224.0;-797.0;0
969.0;1195.0;-249;71.0;257.0;-622.0;-115
931.0;915.0;8;79.0;254.0;-553.0;-40
961.0;1026.0;14;210.0;116.0;-559.0;-51
973.0;1081.0;-28;245.0;237.0;-508.0;-4
943.0;1003.0;-13;232.0;280.0;-584.0;4
927.0;1010.0;-19;301.0;-14.0;-499.0;-19
914.0;987.0;-26;160.0;122.0;-510.0;-16
974.0;989.0;-27;394.0;89.0;-677.0;4
994.0;947.0;2;244.0;38.0;-415.0;-6
997.0;933.0;3;276.0;55.0;-428.0;-2
993.0;922.0;-1;221.0;-59.0;-626.0;3
1000.0;932.0;-37;281.0;-21.0;-779.0;-20
975.0;773.0;-1;95.0;-213.0;-796.0;2
1099.0;895.0;-3;260.0;-61.0;-594.0;-5
759.0;1026.0;0;242.0;99.0;-612.0;0
988.0;926.0;2;238.0;-43.0;-602.0;1
981.0;947.0;2;258.0;-28.0;-625.0;-7
958.0;1023.0;2;332.0;102.0;-570.0;1
985.0;937.0;2;254.0;-39.0;-621.0;-5
994.0;966.0;1;308.0;-85.0;-700.0;5
977.0;958.0;-1;261.0;7.0;-626.0;2
967.0;958.0;22;280.0;203.0;-492.0;25
988.0;951.0;3;314.0;380.0;-534.0;7
942.0;1073.0;166;495.0;-14.0;-473.0;-89
1051.0;1038.0;1;339.0;162.0;-615.0;7
968.0;1007.0;-1;166.0;273.0;-744.0;-1
981.0;982.0;-37;29.0;60.0;-847.0;16
998.0;929.0;-3;278.0;9.0;-631.0;0
989.0;926.0;-5;250.0;35.0;-651.0;0
993.0;985.0;32;318.0;371.0;-714.0;17
961.0;903.0;-19;311.0;91.0;-586.0;-15
1003.0;869.0;12;236.0;49.0;-566.0;4
998.0;947.0;-4;254.0;30.0;-640.0;-2
986.0;947.0;0;242.0;7.0;-640.0;-8
993.0;944.0;4;252.0;-6.0;-640.0;-1
363.0;863.0;132;234.0;565.0;-450.0;-142
804.0;988.0;17;285.0;379.0;-600.0;8
979.0;937.0;3;288.0;438.0;-610.0;8
1379.0;1045.0;0;184.0;825.0;-797.0;-6
991.0;939.0;1;292.0;45.0;-648.0;7
943.0;926.0;95;310.0;417.0;-626.0;2
945.0;948.0;81;241.0;406.0;-663.0;84
981.0;941.0;-3;305.0;72.0;-631.0;-1
867.0;968.0;-8;203.0;-15.0;-565.0;-2
939.0;873.0;281;374.0;745.0;-606.0;299
989.0;964.0;0;232.0;81.0;-599.0;2
989.0;950.0;-1;226.0;60.0;-599.0;3
970.0;937.0;-3;251.0;40.0;-620.0;5
954.0;979.0;21;334.0;496.0;-682.0;40
981.0;947.0;3;236.0;42.0;-610.0;0
990.0;946.0;-1;251.0;31.0;-619.0;1
999.0;947.0;-4;242.0;44.0;-597.0;2
960.0;1575.0;-24;283.0;8.0;-645.0;49
1034.0;1033.0;11;307.0;77.0;-523.0;35
994.0;946.0;0;241.0;59.0;-602.0;-4
983.0;947.0;-1;232.0;42.0;-597.0;-1
979.0;910.0;3;251.0;19.0;-479.0;2
997.0;912.0;-7;251.0;3.0;-467.0;4
970.0;864.0;1;189.0;120.0;-490.0;-6
981.0;894.0;14;171.0;140.0;-467.0;-11
998.0;906.0;4;166.0;141.0;-480.0;-10
989.0;880.0;6;151.0;148.0;-471.0;0
1013.0;753.0;70;75.0;292.0;-760.0;40
997.0;899.0;44;124.0;171.0;-471.0;-3
977.0;873.0;-28;151.0;287.0;-507.0;25
978.0;999.0;-24;148.0;299.0;-514.0;17
984.0;914.0;-23;107.0;327.0;-499.0;3
960.0;921.0;-4;56.0;366.0;-601.0;1
970.0;961.0;14;-146.0;139.0;-615.0;-8
987.0;979.0;-7;209.0;338.0;-600.0;-4
971.0;964.0;0;127.0;366.0;-570.0;-7
913.0;944.0;-28;519.0;51.0;-557.0;-11
977.0;921.0;-2;218.0;100.0;-591.0;0
970.0;962.0;-1;-31.0;30.0;-559.0;-3
934.0;987.0;-2;167.0;109.0;-615.0;-2
937.0;979.0;-5;221.0;91.0;-636.0;-9
910.0;962.0;-7;200.0;19.0;-625.0;-3
899.0;973.0;0;190.0;-22.0;-639.0;0
1000.0;952.0;-1;236.0;-32.0;-580.0;-6
989.0;940.0;-6;242.0;-18.0;-579.0;-3
961.0;867.0;0;276.0;442.0;-836.0;0
948.0;843.0;-17;270.0;386.0;-731.0;34
790.0;889.0;61;331.0;365.0;-774.0;-294
964.0;747.0;-19;271.0;370.0;-696.0;-18
978.0;944.0;5;254.0;-18.0;-568.0;-1
989.0;962.0;9;260.0;-5.0;-572.0;1
990.0;967.0;-2;267.0;6.0;-586.0;-1
984.0;949.0;-6;263.0;6.0;-582.0;-3
965.0;937.0;5;242.0;-7.0;-566.0;-2
1001.0;956.0;4;229.0;-17.0;-576.0;-4
971.0;965.0;-3;253.0;-11.0;-529.0;-2
989.0;966.0;-5;246.0;-10.0;-532.0;1
979.0;966.0;-1;233.0;-10.0;-516.0;0
998.0;969.0;-2;253.0;-21.0;-542.0;4
984.0;964.0;101;214.0;105.0;-509.0;14
990.0;840.0;97;257.0;74.0;-510.0;0
998.0;942.0;-5;239.0;-3.0;-530.0;-1
998.0;946.0;-5;242.0;-24.0;-526.0;2
998.0;953.0;-8;239.0;-15.0;-542.0;1
997.0;943.0;-6;245.0;-6.0;-550.0;1
988.0;919.0;-7;253.0;-1.0;-587.0;-2
990.0;925.0;-5;241.0;-23.0;-552.0;-4
982.0;912.0;-4;310.0;392.0;-733.0;1
985.0;946.0;-4;226.0;-31.0;-567.0;-1
984.0;841.0;-33;335.0;392.0;-645.0;-18
969.0;862.0;22;298.0;403.0;-649.0;21
970.0;977.0;0;308.0;372.0;-834.0;17
979.0;937.0;-9;246.0;-24.0;-560.0;-2
999.0;1175.0;6;552.0;1621.0;-608.0;121
1030.0;1002.0;4;298.0;388.0;-635.0;-9
961.0;968.0;4;350.0;377.0;-664.0;15
991.0;958.0;9;364.0;370.0;-720.0;11
980.0;908.0;-3;316.0;241.0;-937.0;-3
995.0;939.0;1;246.0;-17.0;-578.0;2
967.0;926.0;-6;191.0;250.0;-394.0;-13
1004.0;910.0;3;127.0;330.0;-402.0;0
934.0;926.0;1;162.0;302.0;-408.0;-1
956.0;919.0;2;133.0;304.0;-422.0;1
948.0;941.0;-2;80.0;356.0;-447.0;2
1043.0;952.0;50;273.0;73.0;-572.0;1
949.0;1073.0;-228;317.0;188.0;-536.0;64
970.0;900.0;10;131.0;325.0;-390.0;-2
970.0;989.0;-5;139.0;247.0;-378.0;28
969.0;1009.0;-8;107.0;231.0;-395.0;32
972.0;926.0;1;152.0;160.0;-360.0;7
961.0;942.0;0;110.0;168.0;-374.0;6
997.0;884.0;-49;245.0;272.0;-450.0;-6
1123.0;965.0;1;353.0;325.0;-474.0;-3
991.0;905.0;-35;267.0;260.0;-573.0;35
1031.0;1388.0;130;323.0;545.0;-638.0;-44
988.0;1021.0;-56;322.0;389.0;-523.0;43
962.0;937.0;113;646.0;663.0;-494.0;11
979.0;1018.0;-14;412.0;358.0;-560.0;26
963.0;918.0;19;274.0;-24.0;-506.0;5
980.0;918.0;13;228.0;-29.0;-495.0;-3
940.0;938.0;4;219.0;6.0;-482.0;0
950.0;960.0;3;241.0;11.0;-461.0;6
1023.0;970.0;-3;210.0;0.0;-461.0;-2
989.0;982.0;-6;231.0;-20.0;-459.0;-14
1001.0;874.0;81;247.0;-22.0;-529.0;91
988.0;927.0;197;277.0;-81.0;-714.0;65
814.0;1123.0;246;353.0;99.0;-482.0;-18
1011.0;1048.0;47;283.0;118.0;-558.0;-25
927.0;956.0;42;382.0;312.0;-808.0;15
993.0;1015.0;-442;423.0;176.0;-448.0;-256
976.0;898.0;-15;177.0;168.0;-518.0;-58
969.0;847.0;109;94.0;302.0;-512.0;-26
970.0;891.0;-4;123.0;363.0;-510.0;-51
965.0;944.0;90;256.0;370.0;-500.0;-29
981.0;969.0;1;161.0;129.0;-392.0;6
979.0;956.0;-8;150.0;119.0;-396.0;4
975.0;1079.0;18;338.0;277.0;-455.0;-32
997.0;1081.0;-2;252.0;263.0;-432.0;-14
980.0;991.0;11;106.0;308.0;-445.0;-8
1062.0;946.0;47;-58.0;396.0;-558.0;49
979.0;956.0;-6;142.0;109.0;-398.0;3
998.0;964.0;-1;153.0;121.0;-415.0;1
989.0;976.0;-5;160.0;131.0;-382.0;-2
997.0;956.0;-4;145.0;154.0;-392.0;-1
906.0;927.0;16;358.0;272.0;-409.0;11
988.0;956.0;1;129.0;135.0;-362.0;0
1045.0;841.0;14;303.0;222.0;-542.0;-49
1000.0;956.0;-2;128.0;123.0;-376.0;7
977.0;934.0;-9;7.0;169.0;-349.0;45
976.0;950.0;-2;124.0;107.0;-425.0;-4
997.0;967.0;-7;136.0;100.0;-401.0;-2
1008.0;965.0;-4;152.0;74.0;-410.0;-3
990.0;976.0;-1;239.0;145.0;-348.0;-17
985.0;969.0;-2;317.0;118.0;-408.0;2
836.0;908.0;27;368.0;352.0;-533.0;-18
992.0;915.0;-677;269.0;383.0;-461.0;467
988.0;941.0;72;197.0;283.0;-437.0;50
977.0;908.0;154;248.0;335.0;-448.0;-100
985.0;919.0;31;281.0;297.0;-465.0;-83
869.0;1021.0;8;364.0;126.0;-432.0;8
840.0;940.0;4;178.0;45.0;-434.0;1
959.0;965.0;26;203.0;75.0;-473.0;11
924.0;1009.0;4;256.0;226.0;-440.0;3
1003.0;957.0;-9;188.0;79.0;-383.0;-2
973.0;1046.0;-16;77.0;175.0;-488.0;24
750.0;816.0;265;312.0;497.0;-454.0;-20
1031.0;779.0;622;382.0;1058.0;-504.0;-509
867.0;917.0;8;675.0;568.0;-424.0;-44
1027.0;933.0;20;218.0;277.0;-512.0;-12
970.0;954.0;3;288.0;285.0;-510.0;-17
975.0;956.0;3;330.0;338.0;-510.0;-17
873.0;1071.0;85;210.0;251.0;-577.0;-43
945.0;966.0;5;353.0;327.0;-503.0;-17
604.0;1049.0;803;251.0;71.0;-557.0;64
970.0;962.0;-4;166.0;25.0;-510.0;3
980.0;958.0;1;138.0;6.0;-499.0;5
978.0;964.0;4;157.0;-11.0;-503.0;2
980.0;981.0;5;170.0;0.0;-539.0;4
990.0;990.0;0;180.0;-10.0;-522.0;2
986.0;954.0;-3;181.0;0.0;-497.0;0
992.0;977.0;-3;182.0;11.0;-538.0;8
