InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit LUA Quaternion1;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LLA Quaternion1
-266.0;-394.0;473.0;-122.0;-573.0;130.0;-459.0;102.0;-134.0;49.0
-295.0;-419.0;509.0;-154.0;-588.0;126.0;-434.0;118.0;-113.0;65.0
-322.0;-443.0;542.0;-185.0;-604.0;121.0;-408.0;135.0;-93.0;81.0
-346.0;-466.0;571.0;-216.0;-621.0;116.0;-383.0;152.0;-74.0;97.0
-368.0;-487.0;599.0;-246.0;-638.0;109.0;-359.0;168.0;-55.0;112.0
-388.0;-508.0;623.0;-275.0;-654.0;102.0;-335.0;184.0;-39.0;127.0
-404.0;-528.0;646.0;-301.0;-666.0;94.0;-312.0;199.0;-23.0;141.0
-419.0;-547.0;667.0;-324.0;-678.0;85.0;-291.0;213.0;-8.0;154.0
-512.0;-680.0;787.0;-554.0;-780.0;-29.0;-88.0;330.0;210.0;211.0
-520.0;-687.0;798.0;-563.0;-780.0;-38.0;-73.0;344.0;224.0;208.0
-529.0;-696.0;808.0;-570.0;-780.0;-47.0;-59.0;359.0;239.0;203.0
-537.0;-704.0;817.0;-574.0;-780.0;-55.0;-47.0;374.0;252.0;197.0
-543.0;-709.0;826.0;-574.0;-778.0;-60.0;-35.0;387.0;264.0;190.0
-598.0;-651.0;855.0;-685.0;-860.0;-167.0;127.0;363.0;146.0;140.0
-594.0;-655.0;850.0;-688.0;-857.0;-178.0;131.0;380.0;147.0;150.0
-593.0;-658.0;847.0;-692.0;-858.0;-183.0;131.0;404.0;150.0;163.0
-587.0;-651.0;837.0;-695.0;-873.0;-178.0;126.0;446.0;171.0;210.0
-581.0;-641.0;828.0;-689.0;-879.0;-176.0;131.0;465.0;186.0;244.0
-577.0;-636.0;814.0;-680.0;-876.0;-176.0;136.0;481.0;206.0;280.0
-575.0;-640.0;801.0;-671.0;-871.0;-176.0;137.0;498.0;224.0;312.0
-572.0;-650.0;793.0;-661.0;-871.0;-177.0;136.0;514.0;240.0;336.0
-561.0;-663.0;788.0;-649.0;-872.0;-179.0;135.0;531.0;256.0;352.0
-528.0;-653.0;712.0;-594.0;-854.0;-126.0;110.0;617.0;435.0;324.0
-530.0;-646.0;701.0;-601.0;-852.0;-121.0;107.0;616.0;448.0;323.0
-533.0;-664.0;702.0;-593.0;-865.0;-139.0;114.0;588.0;422.0;342.0
-229.0;-203.0;79.0;-38.0;-367.0;358.0;-520.0;-16.0;303.0;-5.0
-265.0;-245.0;132.0;-74.0;-401.0;338.0;-496.0;22.0;339.0;42.0
-301.0;-289.0;189.0;-114.0;-437.0;319.0;-470.0;61.0;373.0;88.0
-334.0;-330.0;232.0;-156.0;-472.0;298.0;-443.0;94.0;398.0;124.0
-529.0;-522.0;469.0;-589.0;-928.0;43.0;-205.0;-14.0;-167.0;305.0
-540.0;-525.0;475.0;-606.0;-929.0;33.0;-192.0;-20.0;-187.0;315.0
-549.0;-530.0;484.0;-622.0;-932.0;26.0;-182.0;-21.0;-201.0;326.0
-477.0;-674.0;493.0;-759.0;-465.0;-186.0;83.0;20.0;-198.0;234.0
-477.0;-674.0;493.0;-758.0;-465.0;-185.0;83.0;18.0;-201.0;235.0
-477.0;-674.0;493.0;-757.0;-465.0;-185.0;83.0;16.0;-203.0;235.0
-479.0;-676.0;493.0;-756.0;-454.0;-186.0;79.0;17.0;-196.0;237.0
-478.0;-676.0;493.0;-756.0;-454.0;-186.0;80.0;17.0;-195.0;237.0
-478.0;-677.0;494.0;-756.0;-454.0;-186.0;79.0;19.0;-195.0;238.0
-478.0;-677.0;493.0;-756.0;-454.0;-186.0;79.0;19.0;-193.0;238.0
-478.0;-677.0;493.0;-756.0;-453.0;-186.0;79.0;20.0;-192.0;238.0
-473.0;-679.0;491.0;-767.0;-440.0;-180.0;73.0;44.0;-121.0;236.0
-473.0;-679.0;491.0;-768.0;-440.0;-179.0;73.0;44.0;-119.0;236.0
-474.0;-678.0;490.0;-768.0;-441.0;-179.0;73.0;43.0;-118.0;235.0
-473.0;-678.0;490.0;-769.0;-441.0;-179.0;73.0;42.0;-116.0;235.0
-472.0;-677.0;489.0;-770.0;-443.0;-178.0;73.0;42.0;-116.0;234.0
-471.0;-676.0;488.0;-770.0;-443.0;-177.0;73.0;41.0;-114.0;233.0
-470.0;-676.0;488.0;-771.0;-443.0;-177.0;73.0;41.0;-112.0;232.0
-469.0;-675.0;487.0;-772.0;-444.0;-177.0;72.0;40.0;-110.0;231.0
-469.0;-675.0;487.0;-771.0;-445.0;-176.0;70.0;42.0;-106.0;231.0
-468.0;-675.0;486.0;-772.0;-447.0;-175.0;69.0;42.0;-101.0;231.0
-467.0;-674.0;486.0;-774.0;-450.0;-174.0;68.0;44.0;-96.0;229.0
-466.0;-673.0;485.0;-776.0;-453.0;-173.0;67.0;46.0;-88.0;228.0
-465.0;-672.0;484.0;-778.0;-458.0;-172.0;66.0;49.0;-80.0;227.0
-464.0;-671.0;483.0;-781.0;-462.0;-171.0;65.0;51.0;-71.0;224.0
-457.0;-670.0;482.0;-815.0;-585.0;-153.0;66.0;108.0;54.0;191.0
-457.0;-670.0;483.0;-814.0;-597.0;-152.0;69.0;119.0;62.0;188.0
-458.0;-671.0;484.0;-813.0;-609.0;-152.0;72.0;130.0;72.0;186.0
-609.0;-637.0;812.0;-724.0;-816.0;-83.0;32.0;380.0;257.0;128.0
-601.0;-686.0;796.0;-723.0;-821.0;-115.0;16.0;416.0;221.0;279.0
-598.0;-686.0;793.0;-719.0;-823.0;-110.0;12.0;416.0;223.0;289.0
-594.0;-686.0;788.0;-712.0;-825.0;-106.0;7.0;413.0;226.0;300.0
-591.0;-685.0;784.0;-703.0;-828.0;-101.0;3.0;412.0;230.0;311.0
-588.0;-683.0;779.0;-694.0;-831.0;-97.0;-1.0;410.0;236.0;324.0
-587.0;-682.0;773.0;-683.0;-836.0;-94.0;-5.0;407.0;243.0;338.0
-559.0;-674.0;693.0;-538.0;-864.0;-86.0;-50.0;409.0;401.0;445.0
-558.0;-674.0;692.0;-538.0;-864.0;-85.0;-50.0;409.0;401.0;446.0
-558.0;-675.0;690.0;-538.0;-864.0;-85.0;-50.0;409.0;402.0;447.0
-557.0;-675.0;690.0;-538.0;-864.0;-85.0;-49.0;410.0;402.0;447.0
-562.0;-681.0;700.0;-546.0;-864.0;-81.0;-35.0;407.0;422.0;441.0
-563.0;-682.0;702.0;-549.0;-863.0;-85.0;-30.0;410.0;425.0;438.0
-629.0;-653.0;784.0;-826.0;-729.0;-210.0;100.0;331.0;112.0;177.0
-383.0;-756.0;715.0;-533.0;-895.0;-98.0;-166.0;160.0;271.0;483.0
-398.0;-750.0;726.0;-526.0;-899.0;-86.0;-157.0;164.0;268.0;475.0
-417.0;-743.0;736.0;-519.0;-904.0;-76.0;-148.0;171.0;268.0;464.0
-433.0;-734.0;743.0;-512.0;-911.0;-65.0;-137.0;182.0;268.0;448.0
-445.0;-721.0;750.0;-505.0;-916.0;-56.0;-126.0;193.0;269.0;431.0
-460.0;-706.0;757.0;-501.0;-920.0;-44.0;-116.0;206.0;273.0;414.0
-627.0;-654.0;783.0;-829.0;-747.0;-212.0;100.0;335.0;120.0;188.0
-587.0;-638.0;709.0;-828.0;-846.0;-210.0;63.0;349.0;173.0;224.0
-569.0;-648.0;698.0;-790.0;-893.0;-181.0;27.0;326.0;127.0;252.0
-551.0;-691.0;586.0;-634.0;-781.0;-125.0;-2.0;465.0;428.0;529.0
-559.0;-688.0;594.0;-636.0;-790.0;-127.0;2.0;455.0;413.0;526.0
-530.0;-581.0;475.0;-439.0;-858.0;42.0;-162.0;254.0;270.0;350.0
-525.0;-572.0;468.0;-420.0;-849.0;54.0;-179.0;241.0;264.0;341.0
-267.0;-315.0;161.0;-91.0;-428.0;389.0;-571.0;-87.0;78.0;89.0
-277.0;-312.0;164.0;-97.0;-448.0;390.0;-553.0;-53.0;99.0;88.0
-276.0;-304.0;164.0;-92.0;-445.0;384.0;-548.0;-41.0;104.0;80.0
-272.0;-286.0;159.0;-86.0;-442.0;380.0;-546.0;-30.0;104.0;59.0
-261.0;-256.0;147.0;-87.0;-443.0;381.0;-548.0;-22.0;104.0;27.0
-243.0;-213.0;127.0;-89.0;-450.0;382.0;-550.0;-20.0;110.0;-16.0
-366.0;-350.0;255.0;-291.0;-625.0;240.0;-368.0;139.0;230.0;69.0
-365.0;-307.0;241.0;-299.0;-637.0;236.0;-363.0;147.0;241.0;17.0
-364.0;-271.0;234.0;-296.0;-642.0;230.0;-356.0;146.0;249.0;-29.0
-382.0;-489.0;294.0;-483.0;-796.0;99.0;-289.0;255.0;306.0;217.0
-502.0;-586.0;505.0;-579.0;-957.0;-70.0;-18.0;-29.0;-112.0;-220.0
-567.0;-617.0;608.0;-597.0;-884.0;-65.0;-56.0;57.0;-165.0;-203.0
-567.0;-619.0;609.0;-584.0;-878.0;-65.0;-56.0;52.0;-171.0;-202.0
-565.0;-620.0;610.0;-567.0;-872.0;-64.0;-57.0;46.0;-178.0;-202.0
-565.0;-621.0;611.0;-552.0;-865.0;-64.0;-58.0;36.0;-183.0;-203.0
-565.0;-622.0;613.0;-539.0;-860.0;-63.0;-59.0;27.0;-188.0;-206.0
-438.0;-775.0;577.0;-581.0;-828.0;-167.0;-76.0;484.0;401.0;559.0
-435.0;-770.0;572.0;-558.0;-833.0;-155.0;-87.0;464.0;399.0;554.0
-433.0;-766.0;569.0;-537.0;-835.0;-146.0;-96.0;447.0;399.0;551.0
-431.0;-763.0;568.0;-518.0;-835.0;-139.0;-103.0;434.0;399.0;549.0
-495.0;-684.0;564.0;-547.0;-862.0;-37.0;-69.0;213.0;356.0;473.0
-505.0;-678.0;576.0;-546.0;-862.0;-36.0;-63.0;232.0;371.0;460.0
-522.0;-671.0;596.0;-546.0;-854.0;-39.0;-49.0;278.0;401.0;439.0
-530.0;-670.0;605.0;-545.0;-847.0;-43.0;-43.0;302.0;410.0;434.0
-538.0;-671.0;613.0;-543.0;-841.0;-49.0;-34.0;326.0;418.0;433.0
-546.0;-672.0;617.0;-543.0;-839.0;-57.0;-25.0;350.0;425.0;436.0
-603.0;-699.0;619.0;-615.0;-882.0;-191.0;84.0;467.0;374.0;517.0
-613.0;-682.0;639.0;-615.0;-884.0;-190.0;90.0;466.0;366.0;480.0
-618.0;-670.0;655.0;-620.0;-887.0;-186.0;96.0;465.0;360.0;442.0
-623.0;-657.0;669.0;-626.0;-888.0;-185.0;104.0;466.0;360.0;410.0
-628.0;-645.0;682.0;-629.0;-887.0;-183.0;110.0;465.0;361.0;383.0
-648.0;-313.0;680.0;-609.0;-775.0;-16.0;-47.0;260.0;-115.0;-377.0
-654.0;-313.0;657.0;-608.0;-775.0;-19.0;-44.0;260.0;-117.0;-368.0
-650.0;-304.0;607.0;-601.0;-783.0;-16.0;-37.0;253.0;-134.0;-395.0
-652.0;-304.0;609.0;-601.0;-784.0;-16.0;-38.0;252.0;-135.0;-402.0
-653.0;-304.0;605.0;-601.0;-784.0;-16.0;-38.0;251.0;-137.0;-411.0
-653.0;-304.0;600.0;-600.0;-785.0;-16.0;-37.0;251.0;-138.0;-418.0
-632.0;-318.0;672.0;-622.0;-790.0;-19.0;-35.0;259.0;-117.0;-386.0
-633.0;-318.0;672.0;-621.0;-790.0;-19.0;-35.0;260.0;-116.0;-386.0
-632.0;-318.0;673.0;-622.0;-790.0;-18.0;-35.0;259.0;-116.0;-384.0
-633.0;-318.0;674.0;-622.0;-791.0;-18.0;-35.0;260.0;-116.0;-382.0
-262.0;-759.0;317.0;-545.0;-886.0;109.0;143.0;433.0;354.0;562.0
-265.0;-750.0;307.0;-544.0;-884.0;89.0;131.0;447.0;358.0;553.0
-430.0;-416.0;475.0;-295.0;-667.0;-190.0;317.0;251.0;374.0;53.0
-433.0;-391.0;482.0;-267.0;-649.0;-202.0;333.0;218.0;350.0;16.0
-429.0;-368.0;481.0;-242.0;-633.0;-211.0;352.0;188.0;326.0;-19.0
-423.0;-348.0;473.0;-220.0;-620.0;-218.0;373.0;160.0;305.0;-49.0
-414.0;-332.0;463.0;-199.0;-608.0;-228.0;396.0;131.0;287.0;-68.0
-401.0;-318.0;450.0;-179.0;-596.0;-235.0;420.0;104.0;269.0;-77.0
-381.0;-305.0;431.0;-159.0;-581.0;-240.0;443.0;81.0;251.0;-77.0
-359.0;-300.0;405.0;-139.0;-562.0;-244.0;467.0;60.0;233.0;-73.0
-340.0;-302.0;378.0;-118.0;-541.0;-247.0;489.0;45.0;219.0;-62.0
-326.0;-317.0;349.0;-103.0;-517.0;-245.0;514.0;43.0;209.0;-41.0
-319.0;-332.0;321.0;-91.0;-494.0;-245.0;539.0;39.0;201.0;-11.0
-313.0;-341.0;295.0;-78.0;-474.0;-252.0;566.0;30.0;192.0;26.0
-296.0;-336.0;261.0;-61.0;-454.0;-259.0;593.0;14.0;180.0;53.0
-262.0;-314.0;211.0;-42.0;-436.0;-270.0;622.0;-4.0;166.0;56.0
-145.0;31.0;82.0;177.0;-313.0;-456.0;690.0;-191.0;55.0;-340.0
-629.0;-637.0;691.0;-630.0;-886.0;-178.0;117.0;465.0;363.0;363.0
-629.0;-633.0;695.0;-631.0;-887.0;-174.0;120.0;465.0;367.0;351.0
-628.0;-630.0;694.0;-635.0;-887.0;-174.0;123.0;469.0;373.0;347.0
-628.0;-630.0;689.0;-638.0;-885.0;-175.0;126.0;472.0;382.0;352.0
-629.0;-633.0;684.0;-642.0;-882.0;-177.0;129.0;475.0;391.0;363.0
-628.0;-639.0;676.0;-644.0;-879.0;-181.0;133.0;477.0;402.0;382.0
-627.0;-647.0;665.0;-645.0;-875.0;-186.0;138.0;482.0;414.0;407.0
-637.0;-321.0;592.0;-613.0;-776.0;-20.0;-32.0;254.0;-108.0;-440.0
-637.0;-321.0;593.0;-613.0;-776.0;-20.0;-32.0;254.0;-109.0;-439.0
-636.0;-321.0;593.0;-613.0;-776.0;-21.0;-32.0;254.0;-109.0;-438.0
-636.0;-321.0;594.0;-613.0;-777.0;-21.0;-32.0;254.0;-109.0;-437.0
-636.0;-320.0;594.0;-613.0;-776.0;-21.0;-32.0;255.0;-109.0;-437.0
-636.0;-320.0;593.0;-613.0;-776.0;-21.0;-32.0;254.0;-110.0;-437.0
-636.0;-320.0;592.0;-613.0;-776.0;-21.0;-32.0;254.0;-110.0;-437.0
-649.0;-293.0;597.0;-675.0;-593.0;37.0;-62.0;117.0;-198.0;-414.0
-649.0;-292.0;597.0;-681.0;-583.0;36.0;-62.0;109.0;-201.0;-413.0
-649.0;-290.0;596.0;-687.0;-562.0;34.0;-61.0;97.0;-198.0;-412.0
-649.0;-290.0;596.0;-689.0;-555.0;34.0;-60.0;96.0;-194.0;-413.0
-650.0;-289.0;596.0;-691.0;-550.0;34.0;-60.0;97.0;-190.0;-413.0
-650.0;-288.0;596.0;-691.0;-551.0;33.0;-59.0;100.0;-189.0;-414.0
-651.0;-287.0;596.0;-692.0;-561.0;34.0;-57.0;105.0;-184.0;-415.0
-629.0;-322.0;576.0;-584.0;-752.0;-26.0;-51.0;321.0;-91.0;-415.0
-629.0;-321.0;577.0;-582.0;-751.0;-26.0;-52.0;320.0;-91.0;-415.0
-635.0;-311.0;580.0;-600.0;-757.0;-6.0;-52.0;300.0;-47.0;-418.0
-636.0;-312.0;584.0;-601.0;-754.0;-5.0;-54.0;301.0;-40.0;-414.0
-636.0;-312.0;584.0;-600.0;-754.0;-5.0;-54.0;300.0;-40.0;-413.0
-444.0;-629.0;484.0;-425.0;-918.0;-42.0;-175.0;52.0;-107.0;-296.0
-410.0;-658.0;473.0;-414.0;-911.0;-47.0;-177.0;74.0;-70.0;-274.0
-375.0;-685.0;463.0;-403.0;-903.0;-50.0;-178.0;99.0;-29.0;-250.0
-341.0;-709.0;458.0;-395.0;-895.0;-53.0;-175.0;125.0;15.0;-220.0
-314.0;-731.0;454.0;-391.0;-889.0;-52.0;-172.0;159.0;57.0;-190.0
-290.0;-749.0;448.0;-391.0;-887.0;-45.0;-171.0;203.0;99.0;-164.0
-409.0;-728.0;502.0;-588.0;-847.0;-72.0;-118.0;518.0;417.0;291.0
-417.0;-736.0;499.0;-602.0;-847.0;-78.0;-109.0;500.0;414.0;291.0
-423.0;-744.0;505.0;-617.0;-849.0;-82.0;-99.0;486.0;406.0;302.0
-431.0;-752.0;515.0;-636.0;-851.0;-89.0;-88.0;475.0;400.0;325.0
-443.0;-760.0;524.0;-658.0;-850.0;-95.0;-77.0;468.0;395.0;351.0
-579.0;-783.0;688.0;-824.0;-683.0;-169.0;152.0;336.0;193.0;556.0
-583.0;-778.0;690.0;-829.0;-674.0;-167.0;141.0;309.0;177.0;546.0
-586.0;-773.0;691.0;-833.0;-666.0;-164.0;130.0;284.0;157.0;537.0
-588.0;-768.0;690.0;-836.0;-659.0;-162.0;120.0;261.0;136.0;528.0
-590.0;-764.0;688.0;-838.0;-649.0;-160.0;110.0;239.0;115.0;521.0
-592.0;-753.0;673.0;-837.0;-623.0;-162.0;89.0;182.0;58.0;513.0
-593.0;-748.0;657.0;-827.0;-593.0;-173.0;76.0;124.0;-9.0;520.0
-593.0;-748.0;653.0;-824.0;-586.0;-175.0;73.0;113.0;-22.0;524.0
-593.0;-747.0;645.0;-820.0;-580.0;-177.0;72.0;103.0;-34.0;526.0
-592.0;-747.0;634.0;-817.0;-574.0;-180.0;71.0;95.0;-47.0;526.0
-591.0;-747.0;627.0;-814.0;-567.0;-182.0;69.0;87.0;-60.0;527.0
-590.0;-748.0;625.0;-810.0;-562.0;-184.0;68.0;78.0;-74.0;530.0
-471.0;-621.0;439.0;-413.0;-717.0;68.0;-225.0;245.0;347.0;405.0
-467.0;-613.0;434.0;-393.0;-691.0;72.0;-249.0;237.0;370.0;395.0
-464.0;-602.0;428.0;-375.0;-670.0;80.0;-274.0;235.0;399.0;380.0
-533.0;-673.0;600.0;-523.0;-810.0;-53.0;-80.0;355.0;422.0;358.0
-566.0;-712.0;661.0;-610.0;-852.0;-105.0;13.0;400.0;435.0;375.0
-558.0;-702.0;645.0;-598.0;-848.0;-97.0;-5.0;396.0;435.0;374.0
-552.0;-693.0;633.0;-584.0;-842.0;-87.0;-24.0;390.0;434.0;371.0
-547.0;-685.0;623.0;-567.0;-834.0;-76.0;-43.0;382.0;432.0;367.0
-587.0;-743.0;611.0;-767.0;-566.0;-193.0;48.0;83.0;-76.0;596.0
-628.0;-331.0;738.0;-619.0;-900.0;-27.0;-74.0;36.0;-226.0;-304.0
-641.0;-372.0;609.0;-769.0;-851.0;-29.0;-51.0;159.0;-28.0;-381.0
-588.0;-742.0;616.0;-766.0;-558.0;-192.0;48.0;74.0;-87.0;590.0
-590.0;-739.0;623.0;-764.0;-551.0;-192.0;48.0;67.0;-97.0;582.0
-593.0;-737.0;630.0;-762.0;-545.0;-192.0;49.0;60.0;-105.0;574.0
-597.0;-734.0;638.0;-760.0;-540.0;-192.0;50.0;55.0;-114.0;567.0
-622.0;-729.0;652.0;-766.0;-508.0;-209.0;73.0;23.0;-154.0;580.0
-620.0;-725.0;653.0;-752.0;-498.0;-210.0;77.0;18.0;-191.0;567.0
-620.0;-724.0;654.0;-752.0;-497.0;-210.0;77.0;18.0;-191.0;566.0
-464.0;-311.0;636.0;25.0;-378.0;398.0;-573.0;87.0;154.0;251.0
-463.0;-315.0;637.0;14.0;-388.0;391.0;-565.0;101.0;168.0;264.0
-460.0;-322.0;632.0;-7.0;-407.0;378.0;-547.0;127.0;187.0;277.0
-630.0;-758.0;693.0;-839.0;-616.0;-241.0;158.0;197.0;61.0;589.0
-626.0;-757.0;686.0;-837.0;-597.0;-237.0;151.0;178.0;32.0;582.0
-623.0;-757.0;682.0;-834.0;-580.0;-234.0;144.0;158.0;4.0;578.0
-620.0;-757.0;677.0;-829.0;-562.0;-231.0;137.0;137.0;-21.0;576.0
-617.0;-757.0;673.0;-824.0;-545.0;-228.0;130.0;117.0;-48.0;575.0
-610.0;-747.0;650.0;-777.0;-478.0;-221.0;95.0;-10.0;-218.0;557.0
-610.0;-746.0;650.0;-777.0;-480.0;-220.0;94.0;-10.0;-216.0;555.0
-610.0;-745.0;650.0;-778.0;-482.0;-218.0;92.0;-10.0;-215.0;552.0
-610.0;-745.0;650.0;-778.0;-483.0;-217.0;90.0;-10.0;-214.0;549.0
-610.0;-744.0;650.0;-777.0;-484.0;-216.0;89.0;-9.0;-214.0;547.0
-610.0;-743.0;650.0;-777.0;-485.0;-215.0;88.0;-8.0;-212.0;544.0
-610.0;-743.0;651.0;-777.0;-486.0;-214.0;86.0;-7.0;-211.0;541.0
-610.0;-742.0;651.0;-777.0;-488.0;-213.0;85.0;-5.0;-209.0;539.0
-610.0;-741.0;651.0;-778.0;-490.0;-212.0;83.0;-4.0;-206.0;537.0
-609.0;-741.0;651.0;-778.0;-492.0;-211.0;82.0;-2.0;-203.0;536.0
-609.0;-741.0;650.0;-778.0;-495.0;-210.0;81.0;0.0;-200.0;535.0
-582.0;-783.0;674.0;-651.0;-824.0;-252.0;174.0;472.0;425.0;638.0
-251.0;-319.0;152.0;-116.0;-576.0;400.0;-576.0;-92.0;100.0;114.0
-455.0;-329.0;624.0;-16.0;-415.0;372.0;-538.0;135.0;194.0;276.0
-63.0;38.0;-82.0;-223.0;-809.0;419.0;-674.0;-114.0;23.0;-326.0
-277.0;-278.0;173.0;-129.0;-598.0;421.0;-592.0;-66.0;117.0;44.0
-283.0;-289.0;186.0;-138.0;-608.0;414.0;-589.0;-68.0;103.0;55.0
75.0;-138.0;121.0;-116.0;-617.0;-58.0;-717.0;-81.0;-88.0;-28.0
-446.0;-334.0;611.0;-28.0;-425.0;367.0;-529.0;143.0;202.0;266.0
-199.0;-167.0;40.0;-10.0;-340.0;376.0;-543.0;-50.0;270.0;-45.0
-588.0;-636.0;554.0;-629.0;-967.0;-60.0;-97.0;107.0;-119.0;483.0
-584.0;-636.0;547.0;-631.0;-968.0;-59.0;-98.0;117.0;-120.0;486.0
-583.0;-634.0;542.0;-629.0;-969.0;-58.0;-99.0;125.0;-121.0;487.0
-574.0;-789.0;686.0;-819.0;-691.0;-171.0;164.0;361.0;213.0;565.0
-583.0;-632.0;540.0;-628.0;-969.0;-57.0;-99.0;133.0;-120.0;487.0
-462.0;-859.0;677.0;-653.0;-765.0;-263.0;104.0;427.0;238.0;633.0
-324.0;-785.0;675.0;-520.0;-899.0;-174.0;-173.0;250.0;316.0;504.0
-322.0;-774.0;665.0;-586.0;-891.0;-161.0;-191.0;209.0;331.0;507.0
-328.0;-772.0;670.0;-582.0;-894.0;-153.0;-189.0;194.0;317.0;506.0
-335.0;-770.0;676.0;-571.0;-895.0;-143.0;-187.0;177.0;301.0;503.0
-344.0;-767.0;684.0;-558.0;-895.0;-133.0;-183.0;166.0;287.0;499.0
-355.0;-764.0;693.0;-547.0;-893.0;-121.0;-179.0;161.0;279.0;495.0
-368.0;-760.0;703.0;-540.0;-894.0;-110.0;-172.0;160.0;276.0;490.0
-603.0;-598.0;862.0;-652.0;-805.0;-73.0;26.0;503.0;412.0;270.0
-606.0;-602.0;867.0;-655.0;-793.0;-86.0;40.0;518.0;420.0;268.0
-609.0;-610.0;871.0;-659.0;-778.0;-99.0;53.0;525.0;435.0;272.0
-612.0;-751.0;676.0;-699.0;-790.0;-229.0;155.0;542.0;429.0;612.0
-477.0;-599.0;499.0;-435.0;-925.0;-36.0;-167.0;37.0;-134.0;-313.0
-511.0;-567.0;512.0;-440.0;-935.0;-26.0;-156.0;38.0;-151.0;-328.0
