InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit BACK magneticZ;Accelerometer RUA_ accX;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit LLA magneticY;Accelerometer RWR accZ;InertialMeasurementUnit RUA magneticY
123.0;235.0;253.0;65.0;437.0;533.0;-530.0
105.0;188.0;215.0;38.0;443.0;529.0;-526.0
70.0;222.0;673.0;173.0;302.0;857.0;-275.0
356.0;268.0;446.0;484.0;279.0;821.0;-475.0
336.0;262.0;259.0;484.0;256.0;672.0;-489.0
110.0;178.0;158.0;54.0;459.0;538.0;-508.0
116.0;179.0;207.0;57.0;462.0;518.0;-507.0
120.0;181.0;240.0;58.0;464.0;529.0;-510.0
119.0;182.0;269.0;60.0;460.0;518.0;-512.0
116.0;183.0;276.0;65.0;453.0;558.0;-509.0
111.0;185.0;277.0;71.0;449.0;586.0;-507.0
102.0;183.0;263.0;75.0;435.0;598.0;-504.0
108.0;224.0;251.0;59.0;415.0;553.0;-514.0
120.0;230.0;244.0;58.0;429.0;568.0;-517.0
131.0;229.0;224.0;60.0;442.0;570.0;-517.0
140.0;234.0;233.0;61.0;453.0;562.0;-520.0
149.0;237.0;253.0;64.0;464.0;567.0;-520.0
152.0;238.0;262.0;67.0;470.0;562.0;-525.0
157.0;240.0;260.0;70.0;473.0;520.0;-525.0
158.0;243.0;249.0;69.0;476.0;592.0;-527.0
154.0;315.0;134.0;-11.0;477.0;892.0;-560.0
212.0;223.0;267.0;509.0;139.0;916.0;-512.0
128.0;238.0;323.0;88.0;443.0;486.0;-522.0
126.0;240.0;374.0;94.0;434.0;480.0;-514.0
276.0;-32.0;185.0;88.0;71.0;745.0;-73.0
245.0;-51.0;281.0;86.0;35.0;703.0;-46.0
177.0;298.0;268.0;74.0;466.0;501.0;-556.0
508.0;273.0;396.0;417.0;238.0;794.0;-342.0
186.0;329.0;299.0;71.0;464.0;550.0;-574.0
187.0;324.0;277.0;75.0;467.0;560.0;-570.0
188.0;319.0;247.0;77.0;469.0;539.0;-566.0
297.0;449.0;895.0;282.0;422.0;710.0;-224.0
122.0;286.0;635.0;94.0;338.0;877.0;-357.0
124.0;288.0;579.0;80.0;341.0;861.0;-367.0
-194.0;3.0;448.0;-105.0;97.0;507.0;-104.0
-58.0;185.0;291.0;146.0;88.0;630.0;-419.0
-166.0;114.0;45.0;171.0;-35.0;595.0;-342.0
102.0;-24.0;186.0;699.0;252.0;564.0;-409.0
619.0;525.0;513.0;-564.0;-108.0;771.0;-634.0
609.0;508.0;645.0;-279.0;-150.0;699.0;-546.0
573.0;136.0;542.0;-39.0;77.0;832.0;-275.0
560.0;-93.0;157.0;421.0;597.0;595.0;-11.0
79.0;334.0;320.0;41.0;366.0;571.0;-584.0
140.0;328.0;279.0;39.0;469.0;661.0;-567.0
138.0;325.0;300.0;42.0;467.0;615.0;-569.0
151.0;321.0;253.0;52.0;472.0;563.0;-562.0
561.0;-101.0;196.0;426.0;596.0;641.0;4.0
403.0;44.0;246.0;369.0;336.0;527.0;-115.0
-167.0;-34.0;301.0;-5.0;6.0;663.0;-179.0
265.0;99.0;447.0;-99.0;260.0;891.0;-469.0
-67.0;-162.0;23.0;1000.0;74.0;383.0;-392.0
160.0;313.0;348.0;-14.0;482.0;693.0;-574.0
42.0;95.0;619.0;-170.0;408.0;849.0;-392.0
667.0;475.0;322.0;37.0;612.0;799.0;-545.0
-26.0;185.0;427.0;258.0;311.0;939.0;-375.0
499.0;473.0;862.0;-138.0;479.0;701.0;-459.0
485.0;222.0;587.0;61.0;481.0;650.0;-372.0
488.0;221.0;480.0;165.0;480.0;751.0;-358.0
499.0;210.0;447.0;450.0;495.0;672.0;-351.0
738.0;386.0;242.0;269.0;440.0;557.0;-390.0
179.0;317.0;428.0;-73.0;515.0;628.0;-589.0
177.0;309.0;381.0;-59.0;512.0;655.0;-585.0
340.0;338.0;245.0;-216.0;565.0;659.0;-499.0
116.0;255.0;275.0;-1.0;458.0;566.0;-542.0
106.0;254.0;272.0;-5.0;450.0;542.0;-541.0
101.0;251.0;263.0;-10.0;440.0;562.0;-539.0
95.0;249.0;225.0;-17.0;435.0;536.0;-539.0
95.0;248.0;233.0;-18.0;432.0;528.0;-540.0
490.0;232.0;393.0;-40.0;546.0;715.0;-412.0
135.0;274.0;278.0;9.0;484.0;598.0;-554.0
141.0;276.0;285.0;12.0;489.0;563.0;-557.0
145.0;276.0;288.0;14.0;492.0;562.0;-555.0
146.0;276.0;276.0;14.0;493.0;577.0;-554.0
145.0;275.0;250.0;16.0;493.0;589.0;-551.0
164.0;288.0;291.0;11.0;507.0;607.0;-561.0
161.0;288.0;280.0;12.0;506.0;574.0;-561.0
162.0;290.0;279.0;15.0;506.0;625.0;-559.0
67.0;220.0;630.0;173.0;299.0;916.0;-278.0
552.0;388.0;286.0;-147.0;664.0;699.0;-545.0
180.0;304.0;295.0;0.0;522.0;612.0;-569.0
556.0;396.0;387.0;-216.0;662.0;615.0;-553.0
448.0;402.0;475.0;-216.0;663.0;776.0;-641.0
-266.0;-190.0;784.0;-151.0;41.0;1150.0;-350.0
556.0;279.0;345.0;431.0;727.0;561.0;-461.0
465.0;113.0;565.0;-349.0;622.0;944.0;-484.0
479.0;222.0;417.0;-44.0;566.0;712.0;-418.0
404.0;105.0;166.0;488.0;127.0;509.0;-156.0
430.0;140.0;174.0;443.0;159.0;567.0;-183.0
476.0;222.0;429.0;-42.0;568.0;734.0;-417.0
474.0;219.0;441.0;-39.0;561.0;769.0;-416.0
176.0;321.0;291.0;11.0;511.0;621.0;-568.0
178.0;321.0;292.0;11.0;515.0;609.0;-568.0
470.0;216.0;475.0;-34.0;554.0;794.0;-415.0
-67.0;-123.0;156.0;189.0;488.0;603.0;-233.0
591.0;355.0;547.0;-29.0;643.0;856.0;-484.0
583.0;357.0;554.0;62.0;695.0;765.0;-557.0
467.0;214.0;492.0;-35.0;550.0;771.0;-418.0
-172.0;-113.0;504.0;-167.0;127.0;783.0;-299.0
-132.0;46.0;545.0;-103.0;195.0;546.0;-311.0
-137.0;48.0;550.0;-95.0;191.0;575.0;-302.0
-232.0;-177.0;731.0;-151.0;74.0;853.0;-300.0
32.0;-73.0;138.0;178.0;507.0;510.0;-295.0
-104.0;142.0;605.0;-44.0;195.0;648.0;-373.0
-85.0;150.0;617.0;-40.0;216.0;524.0;-372.0
-67.0;155.0;580.0;-36.0;237.0;609.0;-367.0
-43.0;159.0;606.0;-30.0;262.0;621.0;-367.0
-23.0;163.0;688.0;-32.0;286.0;651.0;-376.0
-5.0;168.0;649.0;-33.0;301.0;652.0;-385.0
8.0;176.0;724.0;-37.0;317.0;590.0;-397.0
19.0;185.0;698.0;-45.0;329.0;588.0;-412.0
30.0;194.0;719.0;-53.0;337.0;686.0;-431.0
38.0;202.0;703.0;-63.0;341.0;525.0;-451.0
46.0;208.0;714.0;-79.0;348.0;678.0;-477.0
272.0;125.0;891.0;-330.0;430.0;376.0;-558.0
410.0;70.0;177.0;349.0;63.0;607.0;-175.0
385.0;82.0;165.0;373.0;24.0;645.0;-160.0
366.0;94.0;193.0;401.0;10.0;680.0;-141.0
363.0;99.0;256.0;429.0;25.0;654.0;-132.0
369.0;108.0;347.0;454.0;62.0;727.0;-127.0
343.0;-186.0;602.0;650.0;220.0;944.0;-22.0
388.0;115.0;308.0;488.0;160.0;772.0;-135.0
392.0;122.0;253.0;494.0;202.0;521.0;-140.0
397.0;133.0;288.0;497.0;237.0;480.0;-141.0
234.0;315.0;284.0;214.0;446.0;616.0;-483.0
239.0;325.0;307.0;220.0;444.0;626.0;-487.0
255.0;331.0;347.0;222.0;448.0;725.0;-491.0
566.0;41.0;249.0;458.0;442.0;552.0;-298.0
549.0;27.0;304.0;369.0;417.0;777.0;-348.0
70.0;229.0;661.0;-158.0;366.0;662.0;-575.0
549.0;22.0;249.0;331.0;403.0;772.0;-363.0
189.0;-57.0;955.0;-510.0;449.0;457.0;-1099.0
466.0;213.0;494.0;-37.0;545.0;709.0;-419.0
605.0;335.0;18.0;190.0;591.0;413.0;-435.0
371.0;361.0;462.0;-299.0;375.0;632.0;-590.0
424.0;154.0;111.0;502.0;293.0;543.0;-138.0
211.0;246.0;493.0;-208.0;461.0;682.0;-499.0
140.0;198.0;514.0;-147.0;380.0;744.0;-467.0
-352.0;-94.0;332.0;356.0;-303.0;617.0;-67.0
-76.0;222.0;349.0;120.0;196.0;693.0;-506.0
-102.0;214.0;265.0;110.0;171.0;713.0;-510.0
-115.0;209.0;291.0;98.0;161.0;719.0;-514.0
-116.0;203.0;478.0;84.0;164.0;748.0;-522.0
-110.0;194.0;454.0;78.0;169.0;770.0;-526.0
-100.0;193.0;379.0;80.0;177.0;758.0;-522.0
-60.0;190.0;338.0;93.0;219.0;828.0;-514.0
-34.0;193.0;316.0;104.0;245.0;766.0;-511.0
609.0;-205.0;112.0;157.0;550.0;378.0;-567.0
-8.0;197.0;266.0;120.0;270.0;689.0;-513.0
18.0;207.0;215.0;134.0;292.0;620.0;-517.0
46.0;218.0;193.0;152.0;315.0;604.0;-524.0
77.0;230.0;152.0;169.0;344.0;552.0;-528.0
-335.0;-308.0;139.0;590.0;-337.0;474.0;78.0
65.0;217.0;694.0;172.0;301.0;821.0;-279.0
89.0;152.0;482.0;-89.0;318.0;992.0;-441.0
62.0;215.0;658.0;173.0;298.0;865.0;-272.0
42.0;94.0;611.0;-165.0;411.0;814.0;-387.0
-189.0;-13.0;258.0;313.0;27.0;710.0;-147.0
59.0;213.0;683.0;175.0;294.0;992.0;-270.0
57.0;209.0;710.0;180.0;292.0;939.0;-267.0
31.0;107.0;212.0;-38.0;237.0;858.0;-415.0
301.0;104.0;270.0;321.0;765.0;567.0;-530.0
52.0;206.0;675.0;183.0;288.0;872.0;-261.0
462.0;211.0;481.0;-39.0;540.0;744.0;-420.0
456.0;206.0;445.0;-40.0;532.0;746.0;-424.0
448.0;203.0;444.0;-39.0;526.0;736.0;-424.0
455.0;-2.0;646.0;-199.0;48.0;875.0;-532.0
505.0;426.0;276.0;-279.0;657.0;548.0;-574.0
422.0;-49.0;639.0;-178.0;270.0;897.0;-325.0
395.0;-43.0;652.0;-180.0;270.0;939.0;-325.0
220.0;149.0;578.0;595.0;254.0;847.0;-523.0
398.0;-45.0;653.0;-178.0;280.0;925.0;-325.0
-22.0;-355.0;933.0;-266.0;101.0;983.0;-191.0
157.0;270.0;652.0;-195.0;392.0;825.0;-493.0
153.0;265.0;611.0;-188.0;389.0;813.0;-490.0
425.0;-245.0;59.0;971.0;279.0;472.0;-248.0
549.0;18.0;319.0;277.0;389.0;502.0;-375.0
295.0;265.0;492.0;169.0;584.0;793.0;-432.0
45.0;208.0;669.0;192.0;281.0;819.0;-255.0
467.0;348.0;265.0;107.0;723.0;722.0;-509.0
225.0;-223.0;369.0;203.0;-11.0;741.0;-551.0
381.0;251.0;281.0;227.0;645.0;668.0;-516.0
297.0;283.0;223.0;141.0;570.0;735.0;-448.0
151.0;266.0;674.0;-184.0;384.0;800.0;-489.0
426.0;6.0;245.0;317.0;62.0;418.0;-234.0
669.0;472.0;909.0;-610.0;-126.0;810.0;-865.0
43.0;207.0;666.0;197.0;280.0;867.0;-250.0
173.0;305.0;262.0;10.0;499.0;599.0;-565.0
173.0;301.0;261.0;15.0;497.0;582.0;-562.0
172.0;301.0;251.0;15.0;500.0;596.0;-561.0
41.0;207.0;686.0;198.0;278.0;899.0;-249.0
175.0;301.0;264.0;21.0;504.0;569.0;-559.0
176.0;302.0;273.0;21.0;507.0;599.0;-560.0
178.0;305.0;266.0;19.0;511.0;604.0;-561.0
297.0;-14.0;363.0;422.0;402.0;447.0;-313.0
-5.0;-41.0;257.0;-234.0;291.0;756.0;-489.0
196.0;307.0;291.0;19.0;528.0;630.0;-569.0
-89.0;6.0;193.0;126.0;256.0;488.0;-314.0
-115.0;-20.0;195.0;129.0;229.0;483.0;-291.0
66.0;71.0;966.0;-516.0;328.0;828.0;-660.0
240.0;270.0;213.0;146.0;529.0;630.0;-422.0
204.0;261.0;238.0;148.0;494.0;520.0;-413.0
161.0;254.0;262.0;148.0;449.0;541.0;-405.0
102.0;248.0;241.0;137.0;385.0;512.0;-401.0
-83.0;247.0;-54.0;86.0;175.0;495.0;-433.0
-92.0;248.0;314.0;40.0;176.0;579.0;-548.0
-22.0;-40.0;394.0;-189.0;282.0;671.0;-447.0
-30.0;-41.0;395.0;-166.0;274.0;700.0;-425.0
-38.0;-42.0;489.0;-139.0;265.0;556.0;-400.0
-50.0;-46.0;468.0;-105.0;256.0;510.0;-360.0
158.0;270.0;711.0;-202.0;389.0;846.0;-495.0
-61.0;-49.0;357.0;-62.0;242.0;627.0;-319.0
11.0;-412.0;290.0;772.0;253.0;622.0;58.0
227.0;-562.0;86.0;1300.0;363.0;469.0;117.0
-75.0;-58.0;298.0;-9.0;225.0;601.0;-275.0
334.0;-229.0;171.0;882.0;356.0;578.0;89.0
-91.0;-64.0;159.0;38.0;209.0;576.0;-237.0
351.0;-20.0;90.0;378.0;450.0;418.0;-284.0
293.0;15.0;415.0;232.0;-173.0;815.0;-188.0
28.0;139.0;568.0;-225.0;381.0;804.0;-472.0
144.0;263.0;690.0;-175.0;379.0;811.0;-489.0
133.0;247.0;658.0;-116.0;364.0;837.0;-442.0
288.0;24.0;387.0;198.0;-180.0;735.0;-197.0
281.0;37.0;388.0;168.0;-184.0;753.0;-206.0
273.0;44.0;404.0;149.0;-191.0;907.0;-206.0
268.0;45.0;357.0;133.0;-193.0;872.0;-204.0
261.0;46.0;398.0;111.0;-182.0;787.0;-204.0
248.0;41.0;364.0;89.0;-156.0;798.0;-206.0
231.0;34.0;256.0;73.0;-111.0;738.0;-219.0
198.0;23.0;180.0;46.0;-46.0;714.0;-238.0
45.0;191.0;511.0;-230.0;297.0;597.0;-405.0
48.0;193.0;532.0;-233.0;303.0;699.0;-405.0
93.0;258.0;777.0;59.0;332.0;908.0;-360.0
91.0;260.0;740.0;48.0;331.0;887.0;-365.0
159.0;282.0;641.0;-131.0;386.0;940.0;-456.0
91.0;319.0;500.0;-125.0;312.0;777.0;-367.0
91.0;259.0;714.0;51.0;332.0;969.0;-363.0
90.0;259.0;765.0;51.0;331.0;898.0;-361.0
327.0;-28.0;239.0;338.0;433.0;435.0;-257.0
99.0;322.0;520.0;-164.0;318.0;825.0;-378.0
104.0;329.0;483.0;-212.0;324.0;735.0;-389.0
319.0;-28.0;233.0;321.0;429.0;738.0;-248.0
21.0;108.0;-152.0;-130.0;232.0;581.0;-342.0
321.0;-24.0;128.0;311.0;423.0;896.0;-247.0
91.0;82.0;119.0;-34.0;408.0;656.0;-367.0
108.0;96.0;126.0;-33.0;406.0;621.0;-368.0
123.0;114.0;270.0;-27.0;408.0;608.0;-365.0
410.0;197.0;439.0;-29.0;531.0;679.0;-409.0
422.0;195.0;460.0;-30.0;531.0;674.0;-413.0
430.0;199.0;490.0;-32.0;528.0;681.0;-418.0
89.0;258.0;795.0;49.0;330.0;930.0;-359.0
435.0;198.0;479.0;-37.0;524.0;722.0;-419.0
443.0;200.0;439.0;-38.0;522.0;705.0;-422.0
89.0;257.0;748.0;46.0;329.0;906.0;-363.0
89.0;257.0;776.0;41.0;331.0;926.0;-366.0
318.0;-6.0;403.0;287.0;405.0;390.0;-243.0
87.0;255.0;681.0;51.0;327.0;863.0;-360.0
201.0;11.0;748.0;-45.0;531.0;694.0;-286.0
157.0;-268.0;856.0;24.0;636.0;997.0;-362.0
-249.0;-314.0;157.0;392.0;-48.0;608.0;83.0
165.0;292.0;584.0;-126.0;387.0;933.0;-467.0
395.0;45.0;546.0;-40.0;281.0;664.0;-71.0
86.0;254.0;775.0;57.0;329.0;939.0;-360.0
347.0;-8.0;541.0;46.0;264.0;641.0;-12.0
86.0;252.0;744.0;63.0;328.0;983.0;-357.0
302.0;-56.0;489.0;132.0;250.0;648.0;46.0
176.0;306.0;658.0;-121.0;393.0;794.0;-475.0
38.0;206.0;664.0;199.0;276.0;923.0;-253.0
-162.0;-46.0;1077.0;-150.0;158.0;971.0;-273.0
40.0;206.0;649.0;194.0;279.0;892.0;-256.0
385.0;156.0;208.0;471.0;521.0;595.0;-324.0
11.0;86.0;79.0;204.0;324.0;445.0;-378.0
40.0;122.0;65.0;181.0;349.0;493.0;-405.0
62.0;151.0;156.0;165.0;369.0;495.0;-438.0
87.0;177.0;232.0;152.0;387.0;492.0;-475.0
113.0;204.0;253.0;126.0;407.0;439.0;-510.0
134.0;223.0;295.0;104.0;420.0;509.0;-541.0
152.0;239.0;287.0;79.0;435.0;521.0;-571.0
293.0;147.0;131.0;463.0;411.0;583.0;-295.0
87.0;253.0;740.0;66.0;329.0;843.0;-358.0
243.0;138.0;227.0;463.0;353.0;628.0;-280.0
86.0;252.0;708.0;72.0;329.0;943.0;-351.0
-309.0;-114.0;957.0;-128.0;11.0;896.0;-546.0
-18.0;11.0;710.0;17.0;325.0;654.0;-465.0
39.0;24.0;707.0;34.0;379.0;681.0;-457.0
82.0;43.0;699.0;49.0;412.0;655.0;-447.0
190.0;127.0;236.0;470.0;294.0;694.0;-264.0
-85.0;311.0;263.0;152.0;176.0;730.0;-452.0
72.0;-29.0;214.0;639.0;219.0;641.0;-429.0
-65.0;310.0;356.0;165.0;188.0;775.0;-457.0
336.0;158.0;803.0;371.0;562.0;759.0;-711.0
215.0;227.0;601.0;181.0;499.0;1220.0;-411.0
-35.0;301.0;348.0;175.0;223.0;859.0;-466.0
99.0;253.0;733.0;79.0;341.0;918.0;-354.0
34.0;123.0;576.0;-225.0;388.0;830.0;-468.0
19.0;302.0;309.0;185.0;276.0;848.0;-462.0
78.0;299.0;302.0;201.0;332.0;818.0;-445.0
39.0;119.0;546.0;-228.0;394.0;772.0;-465.0
42.0;120.0;542.0;-227.0;399.0;816.0;-463.0
44.0;119.0;572.0;-225.0;403.0;763.0;-465.0
48.0;117.0;570.0;-221.0;408.0;774.0;-463.0
130.0;280.0;386.0;205.0;390.0;832.0;-439.0
292.0;-235.0;147.0;713.0;179.0;404.0;-112.0
168.0;263.0;472.0;203.0;434.0;850.0;-432.0
48.0;216.0;741.0;168.0;289.0;917.0;-283.0
193.0;252.0;507.0;196.0;466.0;892.0;-422.0
45.0;216.0;735.0;176.0;285.0;906.0;-276.0
42.0;212.0;716.0;183.0;283.0;904.0;-274.0
44.0;210.0;725.0;184.0;284.0;888.0;-273.0
42.0;209.0;720.0;184.0;284.0;904.0;-272.0
41.0;207.0;662.0;184.0;282.0;882.0;-267.0
-59.0;253.0;272.0;23.0;225.0;563.0;-549.0
311.0;395.0;625.0;-185.0;524.0;853.0;-527.0
172.0;321.0;283.0;7.0;509.0;603.0;-568.0
413.0;92.0;87.0;497.0;114.0;410.0;-193.0
183.0;324.0;302.0;7.0;523.0;607.0;-573.0
160.0;275.0;684.0;-245.0;392.0;736.0;-505.0
171.0;311.0;292.0;12.0;515.0;559.0;-566.0
169.0;310.0;292.0;12.0;514.0;556.0;-564.0
175.0;314.0;271.0;14.0;520.0;610.0;-566.0
179.0;315.0;272.0;13.0;522.0;610.0;-566.0
184.0;317.0;282.0;13.0;521.0;596.0;-569.0
101.0;-32.0;648.0;-632.0;473.0;648.0;-976.0
-57.0;36.0;26.0;-78.0;131.0;549.0;-305.0
102.0;178.0;158.0;46.0;449.0;509.0;-516.0
106.0;179.0;148.0;51.0;453.0;520.0;-509.0
-98.0;208.0;127.0;74.0;160.0;384.0;-409.0
180.0;303.0;282.0;1.0;521.0;598.0;-569.0
182.0;322.0;459.0;-97.0;511.0;648.0;-593.0
32.0;-18.0;132.0;589.0;186.0;545.0;-456.0
420.0;-47.0;656.0;-181.0;275.0;925.0;-326.0
353.0;235.0;58.0;103.0;387.0;280.0;-442.0
218.0;-25.0;96.0;782.0;353.0;419.0;-397.0
153.0;322.0;251.0;48.0;474.0;556.0;-564.0
173.0;300.0;254.0;17.0;500.0;557.0;-560.0
185.0;305.0;265.0;18.0;515.0;576.0;-564.0
198.0;310.0;282.0;16.0;530.0;623.0;-570.0
-233.0;-126.0;-139.0;-134.0;71.0;415.0;-77.0
444.0;377.0;577.0;-328.0;493.0;917.0;-525.0
171.0;321.0;271.0;7.0;509.0;610.0;-568.0
111.0;291.0;388.0;234.0;422.0;140.0;-289.0
-233.0;-84.0;340.0;-34.0;-90.0;668.0;-125.0
-99.0;-50.0;2.0;264.0;209.0;539.0;-271.0
169.0;185.0;692.0;594.0;143.0;990.0;-491.0
270.0;-26.0;1.0;254.0;293.0;463.0;-268.0
-178.0;-200.0;841.0;33.0;87.0;764.0;-234.0
310.0;-5.0;-31.0;261.0;367.0;680.0;-251.0
191.0;337.0;339.0;-5.0;532.0;622.0;-582.0
186.0;329.0;296.0;9.0;521.0;603.0;-574.0
488.0;-87.0;99.0;588.0;257.0;459.0;-226.0
-129.0;-264.0;889.0;223.0;81.0;1032.0;-71.0
-284.0;-563.0;667.0;765.0;-121.0;883.0;399.0
110.0;285.0;881.0;149.0;418.0;844.0;-357.0
330.0;399.0;293.0;-10.0;634.0;614.0;-641.0
166.0;318.0;269.0;7.0;503.0;559.0;-568.0
-284.0;-250.0;258.0;299.0;531.0;606.0;-82.0
379.0;487.0;562.0;-54.0;599.0;381.0;-446.0
-50.0;283.0;777.0;-69.0;180.0;1010.0;-599.0
48.0;-354.0;882.0;90.0;658.0;923.0;4.0
189.0;327.0;283.0;8.0;524.0;620.0;-577.0
128.0;340.0;371.0;-328.0;347.0;764.0;-412.0
90.0;259.0;810.0;49.0;331.0;954.0;-362.0
186.0;315.0;279.0;13.0;526.0;570.0;-568.0
173.0;292.0;154.0;71.0;469.0;458.0;-556.0
91.0;259.0;787.0;49.0;332.0;956.0;-363.0
293.0;442.0;890.0;-133.0;604.0;1000.0;-494.0
187.0;359.0;171.0;170.0;460.0;450.0;-854.0
187.0;316.0;280.0;12.0;526.0;589.0;-569.0
354.0;-94.0;9.0;507.0;410.0;420.0;-470.0
381.0;384.0;172.0;164.0;614.0;431.0;-521.0
512.0;279.0;482.0;416.0;265.0;866.0;-339.0
641.0;70.0;244.0;714.0;765.0;801.0;-451.0
-128.0;-504.0;387.0;843.0;506.0;819.0;263.0
483.0;368.0;123.0;156.0;675.0;482.0;-526.0
203.0;-407.0;134.0;920.0;63.0;448.0;168.0
611.0;517.0;230.0;31.0;684.0;578.0;-646.0
187.0;328.0;304.0;8.0;524.0;595.0;-578.0
231.0;370.0;312.0;4.0;557.0;609.0;-609.0
-142.0;241.0;452.0;63.0;102.0;721.0;-555.0
-119.0;243.0;334.0;60.0;135.0;582.0;-551.0
185.0;329.0;293.0;8.0;523.0;602.0;-576.0
217.0;354.0;270.0;16.0;538.0;580.0;-596.0
183.0;327.0;275.0;8.0;522.0;600.0;-573.0
208.0;351.0;271.0;15.0;529.0;557.0;-595.0
-58.0;-460.0;448.0;867.0;-23.0;699.0;263.0
192.0;339.0;307.0;-13.0;534.0;630.0;-582.0
243.0;366.0;304.0;13.0;564.0;556.0;-604.0
243.0;292.0;216.0;99.0;538.0;521.0;-546.0
334.0;356.0;5.0;271.0;619.0;421.0;-825.0
-140.0;50.0;584.0;-96.0;182.0;424.0;-295.0
229.0;403.0;226.0;-146.0;468.0;492.0;-757.0
400.0;-343.0;258.0;980.0;631.0;704.0;-170.0
426.0;347.0;455.0;-406.0;612.0;722.0;-656.0
237.0;359.0;276.0;8.0;563.0;576.0;-599.0
-304.0;6.0;1016.0;48.0;-18.0;449.0;-429.0
181.0;303.0;271.0;0.0;520.0;581.0;-570.0
115.0;242.0;82.0;90.0;422.0;454.0;-514.0
439.0;-44.0;812.0;-299.0;375.0;975.0;-495.0
532.0;34.0;126.0;615.0;574.0;443.0;-9.0
328.0;370.0;280.0;173.0;507.0;709.0;-560.0
181.0;324.0;267.0;7.0;520.0;603.0;-571.0
76.0;-54.0;140.0;182.0;512.0;446.0;-317.0
264.0;406.0;1004.0;-164.0;487.0;845.0;-535.0
-266.0;-103.0;138.0;213.0;-47.0;322.0;-210.0
179.0;324.0;260.0;7.0;519.0;600.0;-569.0
-17.0;-168.0;179.0;833.0;131.0;474.0;-284.0
177.0;322.0;285.0;5.0;519.0;601.0;-571.0
502.0;117.0;158.0;714.0;638.0;506.0;-441.0
149.0;314.0;233.0;36.0;471.0;540.0;-554.0
188.0;335.0;316.0;-1.0;532.0;629.0;-578.0
278.0;164.0;813.0;537.0;376.0;1065.0;-624.0
483.0;193.0;250.0;507.0;294.0;510.0;-203.0
174.0;313.0;262.0;14.0;515.0;604.0;-564.0
412.0;-44.0;665.0;-183.0;274.0;938.0;-326.0
516.0;423.0;370.0;163.0;609.0;774.0;-603.0
172.0;311.0;252.0;16.0;515.0;570.0;-564.0
334.0;523.0;393.0;-392.0;543.0;447.0;-806.0
768.0;662.0;955.0;-734.0;704.0;884.0;-816.0
472.0;444.0;772.0;-467.0;525.0;909.0;-639.0
279.0;408.0;695.0;-35.0;491.0;544.0;-457.0
262.0;317.0;763.0;-599.0;510.0;557.0;-649.0
445.0;-51.0;660.0;-191.0;339.0;959.0;-330.0
