InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit R-SHOE Compass
221.0;-184.0;5;-424.0;58.0;27;74;-168.0;-7
207.0;488.0;-148;137.0;-383.0;-113;-57;454.0;-79
190.0;498.0;-125;147.0;-402.0;-111;-57;413.0;-80
171.0;504.0;-117;150.0;-425.0;-117;-55;372.0;-80
154.0;508.0;-75;153.0;-454.0;-91;-57;346.0;-80
138.0;511.0;-93;155.0;-485.0;-79;-56;322.0;-80
-187.0;872.0;-46;-60.0;-132.0;126;-34;678.0;-2
-173.0;879.0;-42;-74.0;-119.0;118;-34;681.0;-2
-27.0;999.0;-157;-39.0;-280.0;39;-19;965.0;-5
-152.0;885.0;-84;-108.0;-90.0;108;-34;689.0;-2
-103.0;964.0;197;11.0;-20.0;54;109;818.0;-5
-166.0;881.0;-42;-141.0;-71.0;86;-33;698.0;-2
-191.0;871.0;-52;-169.0;-73.0;77;-33;726.0;-2
-254.0;936.0;-412;33.0;53.0;164;69;723.0;-32
-222.0;851.0;-81;-22.0;92.0;121;-143;560.0;-7
-221.0;856.0;-32;-26.0;93.0;114;-139;593.0;-8
-9.0;645.0;-87;316.0;-608.0;-39;19;850.0;-115
-113.0;861.0;-167;476.0;-590.0;66;-147;776.0;-63
-36.0;590.0;75;199.0;-482.0;-162;-7;1090.0;-110
-258.0;754.0;-4;354.0;-469.0;23;-14;841.0;-84
66.0;700.0;-122;15.0;-470.0;-178;4;434.0;-19
19.0;724.0;-99;32.0;-479.0;-130;4;456.0;-19
-24.0;742.0;-110;47.0;-480.0;167;3;474.0;-19
-64.0;755.0;-174;59.0;-475.0;180;3;503.0;-19
-104.0;764.0;-40;75.0;-468.0;134;4;534.0;-19
-304.0;852.0;-755;176.0;-427.0;125;-1;698.0;-27
-420.0;739.0;103;289.0;-580.0;-155;-25;813.0;-142
-128.0;122.0;12;-348.0;437.0;137;71;148.0;-2
-167.0;794.0;33;109.0;-453.0;137;4;589.0;-20
-135.0;127.0;2;-350.0;437.0;136;71;155.0;-2
-180.0;884.0;-64;-177.0;-59.0;80;-33;748.0;-2
202.0;-272.0;2;-277.0;463.0;49;137;129.0;-4
436.0;464.0;19;-58.0;-93.0;-64;21;595.0;-21
330.0;460.0;32;-71.0;-90.0;-62;21;589.0;-21
236.0;469.0;27;-73.0;-88.0;-60;21;585.0;-21
129.0;494.0;27;-71.0;-97.0;-59;21;582.0;-21
58.0;530.0;30;-63.0;-106.0;-53;21;584.0;-21
6.0;564.0;25;-44.0;-121.0;-47;21;590.0;-21
-65.0;596.0;-137;300.0;-373.0;-42;81;620.0;-18
163.0;575.0;607;221.0;-585.0;-10;-15;779.0;-130
444.0;36.0;5;-399.0;500.0;113;62;214.0;-7
-66.0;664.0;23;-5.0;-155.0;-40;21;607.0;-21
-96.0;767.0;33;50.0;-195.0;-29;21;632.0;-21
-90.0;1008.0;55;216.0;-455.0;-159;52;1020.0;-46
-47.0;769.0;7;34.0;-217.0;-26;21;662.0;-17
-43.0;473.0;-1;-292.0;187.0;-26;21;497.0;-16
-35.0;473.0;-2;-291.0;189.0;-26;21;497.0;-16
-29.0;477.0;-3;-289.0;190.0;-26;21;503.0;-16
210.0;536.0;-5;-210.0;75.0;-26;21;568.0;-16
300.0;636.0;1;-164.0;46.0;-26;21;586.0;-16
-478.0;390.0;-294;64.0;230.0;4;165;487.0;-14
-484.0;381.0;-261;73.0;237.0;1;165;444.0;-15
-179.0;264.0;-153;-96.0;297.0;35;95;135.0;-137
-139.0;232.0;-158;-126.0;324.0;27;95;119.0;-138
-115.0;205.0;-162;-160.0;349.0;3;95;106.0;-138
-98.0;178.0;-162;-188.0;373.0;4;95;94.0;-138
-91.0;157.0;-170;-221.0;394.0;10;95;88.0;-138
272.0;-66.0;-34;-322.0;415.0;113;62;299.0;-8
-97.0;615.0;-51;95.0;-488.0;-156;0;644.0;-146
-105.0;629.0;-40;113.0;-500.0;-156;-1;679.0;-145
-105.0;646.0;-65;130.0;-511.0;-156;-4;709.0;-146
-137.0;130.0;6;-353.0;433.0;135;71;162.0;-2
-142.0;130.0;6;-355.0;431.0;136;71;171.0;-2
-143.0;129.0;0;-355.0;428.0;135;71;179.0;-2
-147.0;128.0;-2;-354.0;424.0;136;72;192.0;-2
-428.0;269.0;55;-323.0;468.0;90;104;-8.0;-1
-227.0;179.0;32;-332.0;392.0;144;79;207.0;0
-231.0;183.0;34;-333.0;387.0;143;79;216.0;0
-156.0;540.0;-240;244.0;-568.0;-66;5;704.0;-53
-293.0;592.0;-525;321.0;-604.0;-39;4;985.0;-55
-72.0;521.0;-246;188.0;-541.0;-28;5;710.0;-53
-38.0;506.0;-186;176.0;-532.0;-21;5;711.0;-53
405.0;451.0;96;19.0;-461.0;-9;75;1036.0;-17
184.0;544.0;-88;-19.0;-288.0;-6;35;762.0;-25
160.0;545.0;-92;-23.0;-278.0;-5;35;758.0;-25
146.0;541.0;-69;-29.0;-272.0;-5;35;755.0;-24
-230.0;183.0;40;-331.0;383.0;143;79;223.0;0
141.0;541.0;-93;-38.0;-266.0;-3;35;751.0;-24
149.0;547.0;-74;-49.0;-257.0;-2;35;746.0;-24
168.0;551.0;-75;-59.0;-257.0;-1;35;744.0;-24
189.0;553.0;-69;-71.0;-251.0;1;35;742.0;-23
209.0;554.0;-54;-78.0;-249.0;2;35;741.0;-22
236.0;548.0;-54;-85.0;-249.0;4;35;746.0;-22
255.0;544.0;-49;-90.0;-250.0;5;35;751.0;-21
395.0;427.0;38;-203.0;-347.0;14;75;1298.0;-19
-380.0;933.0;67;235.0;-126.0;-176;-156;329.0;8
-347.0;852.0;-18;130.0;-350.0;6;53;498.0;-14
-346.0;853.0;-27;134.0;-352.0;6;52;511.0;-14
-1001.0;945.0;2;759.0;-759.0;-174;-26;603.0;-165
-339.0;859.0;-18;147.0;-357.0;6;52;535.0;-14
-332.0;857.0;-19;149.0;-363.0;6;52;547.0;-14
-503.0;884.0;549;303.0;-310.0;147;-164;797.0;4
-42.0;133.0;30;-421.0;263.0;45;46;418.0;-8
-394.0;679.0;126;-76.0;-75.0;7;102;423.0;-3
-377.0;652.0;17;-83.0;-84.0;8;101;437.0;-3
-345.0;627.0;146;-89.0;-92.0;13;102;451.0;-3
-203.0;432.0;-102;-49.0;-266.0;-56;31;600.0;-9
-187.0;426.0;-72;-77.0;-265.0;-46;31;594.0;-9
-178.0;417.0;-75;-103.0;-266.0;-43;31;592.0;-9
-308.0;609.0;51;-96.0;-94.0;23;101;463.0;-4
-166.0;405.0;-118;-125.0;-269.0;-35;31;589.0;-9
-250.0;588.0;73;-100.0;-96.0;32;101;473.0;-4
417.0;446.0;72;-179.0;-37.0;42;102;451.0;-4
-143.0;387.0;-122;-139.0;-272.0;-31;32;588.0;-9
471.0;433.0;70;-193.0;-27.0;44;102;439.0;-4
-225.0;182.0;40;-331.0;379.0;142;79;232.0;0
-34.0;114.0;-3;-415.0;256.0;49;45;422.0;-8
-211.0;178.0;37;-329.0;375.0;141;79;238.0;0
-107.0;766.0;1438;-224.0;532.0;-126;-61;430.0;17
-21.0;87.0;-22;-410.0;255.0;52;45;428.0;-8
-85.0;351.0;-107;-173.0;-246.0;-106;32;572.0;-9
-54.0;331.0;-84;-192.0;-226.0;-186;31;554.0;-9
-20.0;309.0;-105;-212.0;-199.0;-136;32;538.0;-9
20.0;556.0;233;-366.0;513.0;-121;49;772.0;-18
-166.0;558.0;237;-164.0;186.0;131;-156;352.0;-4
-474.0;509.0;194;33.0;135.0;173;-151;449.0;-63
-490.0;518.0;-297;40.0;130.0;141;-151;452.0;-63
-196.0;175.0;37;-332.0;375.0;141;79;242.0;0
-57.0;904.0;926;310.0;-568.0;-74;-10;973.0;0
-516.0;570.0;206;182.0;-332.0;-113;20;725.0;-67
24.0;279.0;-132;-230.0;-170.0;160;32;521.0;-9
60.0;253.0;-121;-251.0;-141.0;194;31;501.0;-9
93.0;230.0;-136;-271.0;-111.0;137;32;479.0;-9
122.0;206.0;-79;-296.0;-82.0;211;31;457.0;-9
-439.0;708.0;38;216.0;-528.0;-2;8;961.0;-53
-306.0;650.0;3;68.0;-408.0;2;8;892.0;-55
-256.0;624.0;32;21.0;-362.0;6;8;867.0;-55
-237.0;614.0;4;4.0;-341.0;9;8;854.0;-55
-139.0;155.0;35;-330.0;371.0;141;79;244.0;0
-44.0;615.0;31;-20.0;-140.0;-45;21;600.0;-21
-100.0;141.0;35;-328.0;373.0;142;79;241.0;0
-225.0;603.0;15;-15.0;-314.0;10;8;838.0;-55
-114.0;202.0;-49;-376.0;435.0;38;56;352.0;11
-76.0;128.0;37;-326.0;374.0;143;79;234.0;0
-211.0;593.0;16;-28.0;-291.0;9;8;814.0;-55
-197.0;577.0;38;-36.0;-266.0;8;8;790.0;-55
-2.0;56.0;6;-405.0;249.0;58;44;429.0;-8
32.0;18.0;-23;-400.0;245.0;65;43;427.0;-8
-185.0;910.0;2558;292.0;-532.0;-75;-17;940.0;7
154.0;185.0;-195;-316.0;-50.0;115;34;433.0;-9
41.0;513.0;65;-163.0;32.0;6;42;602.0;-27
69.0;531.0;60;-180.0;53.0;6;42;591.0;-27
108.0;539.0;68;-197.0;80.0;6;43;581.0;-26
134.0;546.0;50;-214.0;109.0;6;43;570.0;-26
163.0;538.0;54;-237.0;139.0;6;44;554.0;-25
-347.0;413.0;-97;-149.0;401.0;151;14;269.0;-3
-337.0;89.0;-636;-218.0;495.0;39;65;131.0;-11
-371.0;440.0;-268;-115.0;354.0;151;14;253.0;4
-397.0;453.0;-219;-103.0;327.0;151;13;251.0;8
-424.0;453.0;-10;-91.0;313.0;151;13;245.0;10
-449.0;447.0;52;-74.0;313.0;151;12;238.0;11
-480.0;382.0;-59;-67.0;342.0;153;37;230.0;-8
-486.0;384.0;-68;-60.0;335.0;151;37;246.0;-8
-141.0;208.0;-21;-362.0;426.0;45;56;341.0;11
-159.0;200.0;-19;-352.0;417.0;49;56;328.0;11
334.0;209.0;11;-321.0;446.0;34;85;-146.0;-4
496.0;16.0;77;-666.0;571.0;40;30;267.0;-11
156.0;215.0;67;-398.0;348.0;13;66;91.0;-14
163.0;225.0;23;-374.0;250.0;1;67;287.0;-13
175.0;220.0;49;-359.0;199.0;0;67;348.0;-13
188.0;525.0;59;-260.0;164.0;6;44;542.0;-24
205.0;499.0;54;-287.0;185.0;6;45;527.0;-23
225.0;473.0;60;-315.0;201.0;6;45;519.0;-23
243.0;448.0;53;-341.0;216.0;6;45;518.0;-23
325.0;344.0;50;-401.0;245.0;6;44;547.0;-22
418.0;265.0;135;-388.0;141.0;11;115;555.0;-10
195.0;220.0;59;-345.0;139.0;-1;67;408.0;-13
223.0;221.0;46;-335.0;86.0;0;67;460.0;-13
507.0;335.0;1164;-468.0;325.0;6;4;504.0;-11
-411.0;421.0;-145;-36.0;301.0;-25;177;298.0;-87
-423.0;407.0;-72;-39.0;311.0;-36;176;243.0;-86
-422.0;391.0;-50;-35.0;313.0;-38;175;224.0;-85
-429.0;378.0;-129;-35.0;320.0;-38;174;201.0;-84
-451.0;371.0;-167;-31.0;330.0;-40;174;169.0;-85
252.0;226.0;75;-323.0;42.0;2;67;508.0;-13
-48.0;113.0;36;-322.0;373.0;144;79;226.0;0
281.0;236.0;38;-315.0;2.0;37;67;551.0;-13
-22.0;99.0;49;-320.0;376.0;144;79;224.0;0
-4.0;90.0;60;-313.0;380.0;144;79;222.0;0
308.0;244.0;41;-302.0;-33.0;86;67;586.0;-13
-160.0;198.0;-46;-340.0;407.0;54;55;324.0;11
-165.0;185.0;-55;-323.0;395.0;57;56;318.0;11
-183.0;34.0;42;-75.0;333.0;-12;156;164.0;-7
-160.0;2.0;29;-83.0;337.0;-12;156;133.0;-8
-95.0;-99.0;22;-102.0;349.0;-12;156;1.0;-8
-237.0;-297.0;68;198.0;212.0;168;100;123.0;-20
202.0;422.0;-2;-114.0;-241.0;83;48;729.0;-41
12.0;75.0;68;-309.0;383.0;144;79;224.0;0
27.0;48.0;103;-292.0;387.0;144;78;234.0;0
13.0;100.0;290;-381.0;489.0;26;20;230.0;-100
163.0;88.0;291;-407.0;477.0;27;20;263.0;-100
153.0;297.0;269;-496.0;555.0;15;29;332.0;-2
136.0;-4.0;109;-259.0;388.0;143;78;261.0;1
-191.0;170.0;-8;-310.0;382.0;53;55;313.0;10
-219.0;147.0;-2;-296.0;371.0;52;54;308.0;9
-239.0;130.0;1;-281.0;360.0;52;54;307.0;9
-112.0;264.0;-20;-356.0;435.0;37;141;296.0;-5
-112.0;260.0;47;-353.0;446.0;42;141;310.0;-5
-126.0;258.0;2;-349.0;452.0;51;141;328.0;-5
-136.0;247.0;39;-350.0;453.0;58;141;358.0;-5
-131.0;227.0;64;-350.0;448.0;66;141;377.0;-5
-756.0;496.0;-155;37.0;-24.0;128;-12;868.0;1
102.0;138.0;375;-77.0;287.0;140;88;-67.0;-4
-472.0;611.0;-155;-34.0;185.0;112;111;508.0;13
-418.0;1033.0;-147;-12.0;261.0;107;87;288.0;-12
-58.0;556.0;34;-266.0;-215.0;55;134;624.0;-9
-64.0;555.0;49;-272.0;-248.0;55;134;671.0;-10
-67.0;556.0;56;-277.0;-274.0;54;134;713.0;-10
-70.0;555.0;47;-282.0;-291.0;56;134;748.0;-10
-290.0;65.0;252;-370.0;503.0;118;98;346.0;6
-262.0;110.0;96;-268.0;351.0;52;50;307.0;7
-66.0;554.0;52;-284.0;-299.0;53;134;778.0;-10
-54.0;556.0;69;-289.0;-302.0;43;134;805.0;-9
-261.0;116.0;0;-269.0;446.0;109;158;321.0;-3
-310.0;208.0;81;-259.0;400.0;71;-178;326.0;-4
-56.0;415.0;-106;-84.0;-268.0;-76;-3;1455.0;-106
150.0;160.0;50;-106.0;-70.0;127;75;1007.0;1
40.0;295.0;-2;-433.0;504.0;16;74;437.0;-7
-43.0;400.0;-113;-138.0;42.0;128;-18;967.0;-14
-50.0;396.0;-255;-144.0;60.0;128;-17;953.0;-12
112.0;815.0;-3;163.0;-505.0;10;-26;849.0;-81
367.0;387.0;266;-169.0;-368.0;-6;96;1290.0;-7
-6.0;552.0;97;-305.0;-298.0;33;133;840.0;-7
-25.0;556.0;93;-299.0;-305.0;36;133;836.0;-7
-520.0;603.0;1990;576.0;-457.0;170;-58;307.0;-8
38.0;294.0;1;-430.0;505.0;15;74;426.0;-7
35.0;294.0;0;-429.0;504.0;15;74;409.0;-7
29.0;293.0;1;-430.0;506.0;15;74;397.0;-7
21.0;297.0;2;-425.0;509.0;15;74;386.0;-7
24.0;298.0;1;-426.0;512.0;15;74;373.0;-7
27.0;300.0;2;-424.0;512.0;15;74;358.0;-7
-32.0;269.0;4;-376.0;520.0;16;74;230.0;-7
-12.0;290.0;-1;-429.0;510.0;16;75;-174.0;-7
-323.0;206.0;-4;-311.0;560.0;75;45;69.0;-11
-136.0;262.0;53;-299.0;512.0;119;147;144.0;-3
-482.0;576.0;-342;9.0;111.0;111;124;601.0;17
-138.0;279.0;59;-295.0;504.0;115;147;144.0;-3
-702.0;805.0;-340;-145.0;-68.0;86;-7;865.0;-10
-19.0;284.0;1;-402.0;510.0;17;74;424.0;-8
-15.0;292.0;3;-404.0;504.0;18;74;439.0;-8
21.0;836.0;15;414.0;-562.0;102;-101;777.0;-77
-11.0;295.0;3;-407.0;498.0;18;74;445.0;-8
35.0;297.0;2;-437.0;502.0;16;74;451.0;-7
33.0;299.0;0;-438.0;500.0;16;74;457.0;-7
51.0;527.0;-357;579.0;-727.0;-138;-72;649.0;-164
295.0;-409.0;4;-340.0;418.0;81;63;273.0;-5
19.0;614.0;-162;115.0;-453.0;36;36;918.0;-8
21.0;613.0;-198;125.0;-491.0;33;38;911.0;-8
257.0;550.0;-213;132.0;-627.0;-17;47;819.0;-39
-346.0;1106.0;-528;363.0;-700.0;50;69;1064.0;-21
37.0;307.0;0;-439.0;492.0;16;75;479.0;-7
16.0;293.0;14;-470.0;482.0;15;74;495.0;-7
43.0;308.0;6;-442.0;493.0;15;75;474.0;-7
50.0;311.0;9;-448.0;497.0;14;74;465.0;-7
-459.0;165.0;4;-283.0;539.0;82;46;216.0;-11
-127.0;874.0;-2;340.0;-620.0;41;-15;762.0;-71
-60.0;713.0;193;463.0;-675.0;-78;-22;685.0;-136
-552.0;405.0;355;199.0;109.0;161;148;257.0;5
-286.0;39.0;-84;-177.0;481.0;39;56;171.0;-10
95.0;802.0;-25;345.0;-670.0;159;-11;804.0;-114
-1109.0;1003.0;4;691.0;-740.0;-177;-46;823.0;-166
61.0;-418.0;3;12.0;161.0;135;83;-329.0;19
-594.0;901.0;158;205.0;-231.0;143;-165;795.0;-5
-219.0;854.0;1156;504.0;-680.0;-77;39;788.0;-61
-746.0;530.0;-102;545.0;-208.0;35;-59;-435.0;-9
-688.0;552.0;-116;443.0;-210.0;-27;-107;61.0;-19
-264.0;115.0;-1;-272.0;447.0;109;158;319.0;-3
74.0;325.0;-4;-497.0;519.0;14;74;441.0;-8
-444.0;73.0;-95;-30.0;309.0;-2;48;72.0;-7
81.0;336.0;555;-421.0;534.0;17;-50;18.0;11
86.0;323.0;-154;-354.0;504.0;0;66;218.0;-7
-431.0;73.0;-72;-32.0;310.0;-2;50;64.0;-7
-420.0;75.0;-79;-27.0;309.0;-2;55;53.0;-7
12.0;267.0;6;-447.0;523.0;16;75;384.0;-7
-751.0;434.0;4;624.0;-378.0;167;150;307.0;-16
-436.0;255.0;44;-24.0;361.0;6;-166;132.0;-6
128.0;600.0;-143;240.0;-587.0;-65;-58;629.0;-32
-470.0;258.0;22;-14.0;342.0;10;-170;101.0;-6
199.0;471.0;-918;432.0;-663.0;-128;68;633.0;120
-320.0;574.0;-194;-198.0;172.0;123;13;784.0;-2
-142.0;300.0;6;-463.0;521.0;16;75;362.0;-7
63.0;611.0;-152;280.0;-588.0;-76;-59;651.0;-32
-75.0;-31.0;34;-409.0;562.0;120;145;169.0;1
24.0;922.0;428;332.0;-594.0;-74;45;978.0;-31
107.0;730.0;12;365.0;-535.0;16;-13;821.0;-82
-10.0;673.0;-60;323.0;-462.0;27;-13;831.0;-83
-218.0;1012.0;-73;-84.0;23.0;130;128;957.0;0
27.0;597.0;-180;321.0;-574.0;-109;-59;670.0;-31
-339.0;649.0;12;497.0;-633.0;149;-87;692.0;-163
-739.0;875.0;-1;487.0;-650.0;-145;-58;961.0;-142
-246.0;967.0;19;396.0;-680.0;-123;64;812.0;-38
-83.0;520.0;-282;486.0;-726.0;-127;-57;323.0;-107
489.0;444.0;-62;-317.0;-155.0;-3;76;710.0;-28
396.0;382.0;-226;-384.0;-48.0;-9;-35;611.0;-30
443.0;461.0;148;-322.0;121.0;7;74;804.0;-26
-712.0;547.0;-400;621.0;-480.0;132;-99;366.0;16
54.0;664.0;-147;435.0;-656.0;-81;-13;715.0;-131
195.0;726.0;-2374;20.0;-361.0;-8;50;863.0;-30
466.0;-460.0;4;-128.0;434.0;143;73;65.0;-1
-643.0;772.0;2;474.0;-652.0;-151;-82;643.0;-162
398.0;-168.0;4;54.0;252.0;167;118;130.0;-7
234.0;-121.0;1;119.0;215.0;135;82;-316.0;19
362.0;294.0;4;-574.0;250.0;31;61;714.0;-9
240.0;326.0;-104;-550.0;204.0;-2;53;548.0;-10
-101.0;108.0;6;-343.0;440.0;145;71;134.0;-2
-115.0;114.0;11;-346.0;438.0;136;71;142.0;-2
245.0;409.0;-704;-111.0;-246.0;86;47;720.0;-40
-181.0;994.0;-45;-147.0;-372.0;20;-19;997.0;-6
-111.0;978.0;-167;-118.0;-342.0;26;-19;981.0;-5
-41.0;1099.0;-43;-149.0;-35.0;-4;82;1165.0;-14
763.0;-317.0;-436;-580.0;582.0;85;35;373.0;-7
633.0;553.0;33;0.0;-131.0;-64;21;639.0;-21
-261.0;116.0;4;-271.0;446.0;109;158;321.0;-3
-462.0;387.0;-348;52.0;220.0;62;165;510.0;-14
-352.0;381.0;-610;95.0;72.0;-55;119;438.0;-80
254.0;84.0;-2;-329.0;479.0;22;104;-432.0;4
-565.0;865.0;2;124.0;-295.0;17;1;874.0;-31
741.0;-387.0;21;-515.0;615.0;67;120;191.0;-5
