InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
-448.0;65;-74.0;322.0;1076.0;290.0;439.0;40.0;?;125.0;65
-305.0;81;-173.0;288.0;892.0;282.0;230.0;6.0;?;112.0;81
-167.0;113;-217.0;253.0;674.0;151.0;99.0;-190.0;-173.0;104.0;113
9.0;133;-136.0;199.0;430.0;46.0;46.0;-370.0;-347.0;103.0;133
123.0;67;-6.0;157.0;274.0;-13.0;55.0;-459.0;-500.0;52.0;67
209.0;-13;41.0;68.0;69.0;-78.0;108.0;-315.0;-547.0;16.0;-13
240.0;-47;62.0;-19.0;-105.0;?;100.0;-178.0;-482.0;-19.0;-47
328.0;-25;20.0;-91.0;-348.0;-128.0;60.0;-162.0;-395.0;-32.0;-25
419.0;13;-99.0;-119.0;-576.0;-79.0;-16.0;-284.0;-396.0;-62.0;13
392.0;-21;-136.0;-142.0;-677.0;-3.0;23.0;-265.0;-399.0;-85.0;-21
391.0;-45;-160.0;-185.0;-628.0;41.0;59.0;-94.0;-365.0;-97.0;?
411.0;-38;-82.0;-167.0;-653.0;10.0;11.0;54.0;-289.0;-81.0;?
369.0;-124;76.0;-149.0;-578.0;0.0;-86.0;151.0;-157.0;-87.0;?
267.0;-140;98.0;-124.0;-487.0;-23.0;-269.0;202.0;-70.0;-100.0;?
198.0;-92;-25.0;-145.0;-399.0;-8.0;-322.0;137.0;-31.0;-102.0;?
153.0;-123;-167.0;-81.0;-258.0;9.0;-175.0;47.0;-66.0;-108.0;?
98.0;-117;-120.0;-47.0;-69.0;-50.0;-145.0;35.0;-36.0;-74.0;?
61.0;-114;-53.0;-17.0;81.0;-61.0;-208.0;138.0;63.0;-100.0;-114
-24.0;-66;-210.0;33.0;183.0;-116.0;-396.0;143.0;138.0;-57.0;-66
-19.0;-29;-420.0;84.0;192.0;-163.0;-506.0;127.0;121.0;-50.0;-29
23.0;-28;-504.0;85.0;248.0;-197.0;-532.0;51.0;40.0;-34.0;-28
100.0;-30;-527.0;121.0;234.0;-268.0;-539.0;-77.0;-89.0;-26.0;-30
127.0;-60;-436.0;168.0;?;-345.0;-469.0;-190.0;-202.0;-16.0;-60
225.0;60;-105.0;211.0;?;-336.0;-324.0;-303.0;-345.0;-20.0;60
262.0;22;295.0;230.0;?;-329.0;166.0;-505.0;-516.0;-27.0;22
166.0;-60;422.0;223.0;?;-306.0;300.0;-575.0;-595.0;-8.0;-60
69.0;48;245.0;299.0;?;-300.0;128.0;-545.0;-472.0;75.0;48
-142.0;-12;66.0;228.0;?;-298.0;56.0;-210.0;?;141.0;-12
-35.0;-72;?;532.0;?;-374.0;-119.0;-186.0;?;126.0;-72
-194.0;-27;?;608.0;?;-346.0;119.0;-900.0;?;148.0;-27
-314.0;3;?;389.0;?;-18.0;-161.0;-40.0;?;-64.0;3
-446.0;25;?;376.0;?;58.0;-284.0;163.0;?;-40.0;25
-553.0;31;?;365.0;?;165.0;311.0;451.0;?;-27.0;31
-636.0;14;?;237.0;369.0;270.0;768.0;617.0;?;-18.0;14
-561.0;-23;?;248.0;177.0;252.0;434.0;660.0;?;15.0;-23
-333.0;6;?;127.0;-34.0;213.0;343.0;393.0;?;9.0;6
?;14;?;-58.0;-109.0;137.0;362.0;157.0;?;9.0;14
?;2;?;-95.0;-76.0;72.0;390.0;-18.0;?;25.0;2
?;43;?;-72.0;-20.0;54.0;?;-10.0;?;14.0;43
?;?;?;-107.0;-183.0;86.0;?;159.0;-211.0;-6.0;44
?;?;139.0;-171.0;-311.0;85.0;?;251.0;42.0;-46.0;22
?;?;-218.0;-217.0;-437.0;38.0;-216.0;224.0;202.0;-27.0;20
?;?;-367.0;-208.0;-452.0;83.0;?;200.0;201.0;-43.0;25
209.0;?;-257.0;-155.0;-393.0;?;?;209.0;146.0;-42.0;45
113.0;?;-188.0;-140.0;-360.0;?;?;288.0;122.0;-78.0;17
65.0;?;-137.0;-132.0;-282.0;?;?;283.0;146.0;-72.0;-30
43.0;?;-133.0;-117.0;-230.0;?;?;272.0;171.0;-76.0;0
12.0;?;-134.0;-117.0;-169.0;?;?;181.0;134.0;-79.0;-6
11.0;?;-68.0;-116.0;-142.0;?;?;158.0;137.0;-89.0;-57
25.0;?;-39.0;-126.0;-179.0;?;?;183.0;149.0;?;-30
28.0;-11;-135.0;-158.0;-188.0;?;?;129.0;130.0;?;-11
57.0;-23;-81.0;-202.0;-130.0;?;?;126.0;138.0;?;-23
86.0;-1;42.0;-212.0;-44.0;?;?;47.0;91.0;?;-1
80.0;-13;151.0;-206.0;4.0;?;?;10.0;55.0;?;-13
107.0;3;213.0;-277.0;-18.0;?;?;-50.0;31.0;?;3
149.0;-1;205.0;-255.0;-52.0;?;?;-123.0;-34.0;9.0;-1
246.0;-62;176.0;-279.0;-68.0;?;?;-304.0;-167.0;39.0;-62
248.0;-7;146.0;-276.0;35.0;?;311.0;-416.0;-296.0;124.0;-7
302.0;31;104.0;-281.0;104.0;?;241.0;-528.0;-471.0;153.0;31
272.0;8;72.0;-220.0;177.0;?;190.0;-496.0;-543.0;176.0;8
217.0;12;102.0;-175.0;234.0;?;212.0;-406.0;-433.0;135.0;12
157.0;-4;125.0;-104.0;191.0;?;202.0;-174.0;-266.0;107.0;-4
113.0;-11;68.0;-98.0;75.0;?;76.0;-54.0;-52.0;86.0;-11
66.0;?;-68.0;-88.0;35.0;?;-37.0;-73.0;-53.0;45.0;-8
1.0;?;-146.0;-34.0;-9.0;-159.0;-41.0;-117.0;-142.0;14.0;-24
-6.0;-31;-156.0;40.0;-90.0;-122.0;-23.0;-150.0;-162.0;1.0;-31
-4.0;-12;-161.0;52.0;-83.0;-113.0;-89.0;-84.0;-125.0;-26.0;-12
14.0;0;-165.0;73.0;-66.0;-95.0;-116.0;-50.0;-33.0;-9.0;0
-21.0;0;-182.0;109.0;-21.0;-123.0;-182.0;-45.0;-14.0;-35.0;0
-71.0;-7;-272.0;139.0;52.0;-134.0;-205.0;-21.0;-34.0;-35.0;-7
-84.0;-15;-228.0;134.0;92.0;-115.0;-268.0;85.0;24.0;-43.0;-15
-30.0;1;-158.0;113.0;175.0;-159.0;-227.0;109.0;104.0;-24.0;1
-8.0;8;-191.0;114.0;160.0;-150.0;-306.0;95.0;94.0;-67.0;8
25.0;-12;-283.0;118.0;144.0;-191.0;-350.0;24.0;33.0;-44.0;-12
87.0;7;-289.0;95.0;188.0;-198.0;-385.0;-62.0;-37.0;-98.0;7
69.0;3;-333.0;76.0;206.0;-249.0;-451.0;-116.0;-81.0;-79.0;3
113.0;-82;-413.0;124.0;210.0;-319.0;-480.0;-131.0;-155.0;-64.0;-82
99.0;-73;-487.0;128.0;197.0;-331.0;-509.0;-174.0;-142.0;-78.0;-73
-35.0;-70;-498.0;109.0;327.0;-341.0;-544.0;-116.0;-148.0;-54.0;-70
-39.0;-26;-403.0;133.0;381.0;-321.0;-559.0;40.0;15.0;5.0;-26
72.0;134;-281.0;485.0;-117.0;177.0;-51.0;-607.0;-310.0;5.0;134
-118.0;83;-74.0;68.0;-8.0;-346.0;90.0;60.0;-225.0;-145.0;83
-136.0;1;46.0;-168.0;150.0;-356.0;160.0;-20.0;55.0;?;1
-108.0;13;339.0;-2.0;245.0;-337.0;549.0;-172.0;-158.0;?;13
?;-19;618.0;83.0;144.0;-276.0;385.0;-6.0;-155.0;?;-19
?;-9;510.0;206.0;-141.0;-150.0;-52.0;?;-153.0;?;-9
?;-16;-57.0;198.0;-380.0;-342.0;10.0;?;-214.0;?;-16
?;-31;-371.0;18.0;-265.0;-435.0;-62.0;?;-71.0;?;-31
?;5;-160.0;-7.0;71.0;-408.0;-47.0;?;-37.0;?;5
?;-1;89.0;40.0;425.0;-233.0;-77.0;?;-266.0;?;-1
?;-2;36.0;-32.0;624.0;-144.0;-45.0;?;-245.0;?;-2
?;64;25.0;-74.0;579.0;-76.0;9.0;?;25.0;?;64
?;60;99.0;-99.0;426.0;-43.0;94.0;83.0;273.0;35.0;60
?;23;131.0;-67.0;290.0;-9.0;72.0;162.0;314.0;44.0;23
?;60;16.0;-59.0;191.0;-13.0;-115.0;77.0;191.0;21.0;60
?;63;-170.0;-72.0;114.0;-18.0;-274.0;-21.0;-6.0;59.0;63
?;39;-297.0;-102.0;7.0;-41.0;-338.0;-55.0;-75.0;33.0;39
?;30;?;?;-58.0;-20.0;-376.0;-2.0;-36.0;11.0;30
?;-6;?;?;-146.0;-11.0;-362.0;-7.0;1.0;29.0;-6
?;-6;?;?;-204.0;20.0;-344.0;-4.0;-46.0;10.0;-6
?;2;?;?;-268.0;133.0;-304.0;9.0;-97.0;26.0;2
?;26;?;?;-284.0;192.0;-237.0;39.0;-100.0;35.0;26
?;66;?;?;-355.0;189.0;-128.0;128.0;-22.0;16.0;66
?;82;?;?;-281.0;213.0;-12.0;211.0;103.0;50.0;82
?;112;53.0;?;-268.0;337.0;156.0;211.0;164.0;97.0;112
?;84;162.0;?;-233.0;394.0;263.0;188.0;92.0;69.0;84
?;44;203.0;?;-219.0;441.0;344.0;132.0;12.0;91.0;44
?;18;269.0;?;-193.0;419.0;448.0;190.0;92.0;120.0;18
?;-12;359.0;?;-184.0;399.0;482.0;183.0;119.0;99.0;-12
-147.0;-1;282.0;?;-155.0;364.0;386.0;159.0;106.0;144.0;-1
-151.0;?;171.0;?;-46.0;372.0;305.0;114.0;82.0;140.0;1
-109.0;?;130.0;?;-31.0;365.0;322.0;107.0;57.0;91.0;-12
-95.0;-67;181.0;?;-22.0;301.0;399.0;143.0;59.0;44.0;?
-93.0;-87;232.0;?;?;373.0;466.0;115.0;63.0;-14.0;?
-87.0;-35;262.0;?;?;330.0;486.0;158.0;85.0;-23.0;?
16.0;-20;257.0;-96.0;?;342.0;467.0;101.0;48.0;-61.0;?
63.0;-41;322.0;-80.0;?;268.0;476.0;165.0;80.0;-84.0;?
104.0;-75;365.0;?;?;192.0;421.0;172.0;133.0;-91.0;?
101.0;-45;263.0;?;?;130.0;339.0;149.0;?;-72.0;?
128.0;-5;86.0;?;?;98.0;169.0;141.0;?;-78.0;?
?;-10;5.0;?;?;68.0;12.0;126.0;?;-82.0;?
?;0;-71.0;?;?;32.0;-57.0;143.0;?;-107.0;?
?;-18;-74.0;?;?;41.0;-145.0;104.0;111.0;-130.0;?
?;?;?;?;?;90.0;-59.0;227.0;127.0;-131.0;?
?;?;?;?;62.0;100.0;13.0;298.0;269.0;-163.0;-3
?;?;?;?;96.0;4.0;-86.0;371.0;312.0;-157.0;-7
?;?;?;?;121.0;-106.0;-231.0;345.0;263.0;-168.0;22
?;?;?;?;99.0;-315.0;-407.0;91.0;130.0;-149.0;22
194.0;?;?;?;145.0;-411.0;-569.0;-118.0;-82.0;-125.0;26
247.0;?;?;?;165.0;-479.0;-715.0;-348.0;-281.0;-85.0;27
207.0;?;?;?;303.0;-608.0;-717.0;-294.0;-397.0;-75.0;-8
304.0;?;?;?;87.0;-289.0;-690.0;-598.0;-376.0;-119.0;-16
65.0;34;?;375.0;-21.0;-351.0;-370.0;-705.0;-578.0;-135.0;34
-248.0;64;?;240.0;234.0;-57.0;-224.0;44.0;-165.0;-255.0;64
-405.0;6;?;325.0;307.0;-13.0;302.0;-20.0;90.0;-172.0;6
-610.0;-45;?;334.0;406.0;91.0;551.0;324.0;293.0;-157.0;-45
-673.0;-8;740.0;279.0;384.0;54.0;242.0;492.0;571.0;-117.0;-8
-529.0;5;508.0;357.0;155.0;312.0;379.0;280.0;525.0;-144.0;5
-371.0;-21;210.0;323.0;19.0;194.0;478.0;145.0;308.0;-48.0;-21
-182.0;-12;248.0;152.0;60.0;62.0;355.0;-6.0;155.0;-29.0;-12
-38.0;-13;287.0;99.0;276.0;26.0;324.0;-333.0;-110.0;45.0;-13
97.0;1;141.0;92.0;443.0;-19.0;189.0;-413.0;-359.0;78.0;1
54.0;-15;-54.0;56.0;457.0;-23.0;28.0;-198.0;-416.0;66.0;-15
57.0;-25;-110.0;-12.0;326.0;3.0;-67.0;12.0;-160.0;69.0;-25
53.0;20;?;-27.0;73.0;49.0;14.0;186.0;173.0;25.0;20
132.0;5;?;-99.0;-110.0;11.0;-23.0;241.0;235.0;?;5
196.0;7;?;-95.0;-230.0;-35.0;-128.0;98.0;77.0;?;7
?;?;?;-110.0;-298.0;-46.0;-221.0;15.0;-112.0;?;29
?;?;?;-91.0;-346.0;-46.0;-262.0;68.0;-120.0;?;17
?;?;?;-141.0;-401.0;-95.0;-241.0;106.0;-46.0;?;36
?;?;?;-153.0;-431.0;-101.0;-272.0;135.0;49.0;57.0;51
?;?;?;-197.0;-371.0;-85.0;-320.0;139.0;25.0;40.0;35
?;?;?;-194.0;-311.0;-76.0;-366.0;86.0;-39.0;32.0;17
?;?;-364.0;-167.0;-240.0;0.0;-266.0;22.0;-69.0;46.0;0
94.0;-16;-260.0;-125.0;-219.0;15.0;-177.0;?;-57.0;54.0;-16
49.0;-34;-149.0;-77.0;-160.0;88.0;-103.0;?;-52.0;?;-34
41.0;-51;-131.0;-109.0;-68.0;133.0;-48.0;?;-50.0;?;-51
-24.0;-81;-96.0;-84.0;35.0;122.0;-7.0;?;8.0;?;-81
-99.0;-102;-5.0;-67.0;59.0;236.0;129.0;?;75.0;?;-102
?;-6;143.0;-41.0;25.0;275.0;214.0;?;96.0;?;-6
?;51;178.0;-38.0;75.0;289.0;201.0;?;?;?;51
?;8;161.0;-16.0;92.0;270.0;252.0;?;?;?;8
?;47;203.0;-23.0;86.0;276.0;326.0;?;?;?;47
?;57;211.0;-60.0;66.0;266.0;?;?;?;?;57
?;-1;228.0;-80.0;-49.0;255.0;?;?;?;?;-1
?;-5;?;-85.0;-27.0;225.0;?;?;?;?;-5
?;-5;?;-58.0;-30.0;263.0;?;?;?;?;-5
?;-32;?;-49.0;22.0;325.0;?;?;-57.0;?;-32
?;-14;?;-45.0;?;371.0;?;?;53.0;?;-14
?;1;?;-74.0;?;315.0;?;?;254.0;?;1
?;-41;?;-115.0;?;185.0;?;?;263.0;30.0;-41
?;-23;?;-166.0;?;54.0;?;?;113.0;11.0;-23
?;-19;?;-164.0;?;-87.0;?;?;-84.0;-23.0;-19
267.0;-39;?;-76.0;?;-75.0;?;?;-227.0;-18.0;-39
202.0;15;?;-4.0;?;-79.0;?;?;-149.0;-77.0;15
133.0;16;?;2.0;?;-71.0;?;57.0;-31.0;-95.0;16
169.0;12;?;25.0;?;-148.0;?;70.0;66.0;-103.0;12
184.0;-7;-275.0;32.0;?;-155.0;?;-94.0;-108.0;-170.0;-7
113.0;-29;-225.0;70.0;?;-169.0;-278.0;-103.0;-186.0;-210.0;-29
81.0;0;-119.0;139.0;?;-128.0;-215.0;-1.0;14.0;-210.0;0
-33.0;-1;-123.0;136.0;?;-110.0;-315.0;126.0;218.0;-208.0;-1
-27.0;18;-281.0;146.0;?;-122.0;-449.0;173.0;271.0;-226.0;18
-10.0;5;-360.0;186.0;?;-114.0;-472.0;164.0;256.0;-191.0;5
19.0;21;-270.0;147.0;458.0;-158.0;-444.0;29.0;142.0;-204.0;21
1.0;74;-172.0;169.0;476.0;-173.0;-441.0;-130.0;21.0;-156.0;74
-90.0;-3;-191.0;121.0;647.0;-223.0;-409.0;-14.0;-37.0;-116.0;-3
102.0;-40;-158.0;436.0;251.0;-40.0;-208.0;-369.0;-111.0;-146.0;-40
-76.0;31;60.0;293.0;50.0;-50.0;160.0;-269.0;-226.0;-206.0;31
-305.0;12;60.0;194.0;149.0;125.0;109.0;302.0;113.0;?;12
?;-45;427.0;230.0;85.0;222.0;539.0;319.0;210.0;?;-45
?;-24;733.0;238.0;-21.0;232.0;552.0;545.0;358.0;-122.0;-24
?;-11;646.0;365.0;?;243.0;317.0;539.0;448.0;-150.0;-11
?;-4;284.0;?;?;397.0;519.0;475.0;372.0;-59.0;-4
-236.0;7;200.0;?;?;203.0;592.0;?;403.0;21.0;7
-109.0;-12;383.0;?;?;68.0;571.0;?;351.0;94.0;-12
56.0;18;372.0;?;?;51.0;412.0;?;52.0;130.0;18
154.0;38;106.0;?;?;-37.0;195.0;?;-311.0;164.0;38
186.0;20;-161.0;?;?;-198.0;-34.0;?;-357.0;168.0;20
151.0;49;-234.0;?;?;-227.0;-173.0;?;-166.0;207.0;49
105.0;35;?;?;?;-221.0;-226.0;?;-37.0;164.0;35
104.0;44;?;-24.0;?;-217.0;?;?;-49.0;119.0;?
130.0;38;?;28.0;?;-252.0;?;?;-149.0;132.0;?
32.0;-1;?;42.0;?;-12.0;?;?;-133.0;74.0;?
-36.0;1;?;22.0;?;-77.0;-257.0;?;-60.0;46.0;?
-68.0;-54;?;5.0;?;35.0;-158.0;?;170.0;48.0;?
-111.0;-32;?;12.0;-4.0;79.0;-157.0;?;253.0;12.0;-32
-50.0;9;?;25.0;-44.0;107.0;-188.0;?;106.0;17.0;9
-9.0;-14;?;-3.0;-125.0;115.0;-116.0;?;52.0;10.0;-14
?;39;?;-45.0;-143.0;113.0;-112.0;?;71.0;8.0;39
61.0;54;?;-92.0;-258.0;99.0;-172.0;?;110.0;59.0;54
119.0;17;?;-170.0;-261.0;42.0;-271.0;?;102.0;67.0;17
197.0;47;?;-249.0;-195.0;-33.0;-300.0;?;?;73.0;47
250.0;22;?;-307.0;-148.0;-26.0;-291.0;?;?;73.0;22
266.0;-61;?;-318.0;-143.0;-12.0;-168.0;?;?;83.0;?
225.0;-70;?;-285.0;-143.0;?;24.0;?;?;75.0;?
203.0;-53;?;-262.0;-195.0;?;198.0;?;?;56.0;?
153.0;-41;108.0;-230.0;-141.0;?;213.0;?;?;58.0;?
98.0;-48;47.0;-204.0;-78.0;?;185.0;-197.0;?;57.0;?
30.0;-54;-28.0;-148.0;-56.0;?;199.0;-137.0;?;28.0;?
-43.0;-87;61.0;-156.0;-39.0;?;296.0;-53.0;?;65.0;-87
