NMHC(GT);CO(GT);NO2(GT);NOx(GT);RH;C6H6(GT);T;AH;PT08.S1(CO);PT08.S2(NMHC);PT08.S4(NO2);PT08.S5(O3);PT08.S3(NOx)
?;0.8;-200.0;-200.0;62.3;1.9;?;0.6261;889.0;574.0;?;512.0;1680.0
10.0;-200.0;32.0;21.0;?;1.1;?;?;831.0;506.0;1134.0;384.0;1893.0
7.0;0.6;44.0;30.0;65.0;1.0;6.3;0.6233;847.0;?;?;394.0;1895.0
17.0;0.8;71.0;56.0;62.9;1.8;?;?;927.0;571.0;1223.0;?;?
33.0;1.4;104.0;109.0;65.1;4.4;6.4;0.6316;1091.0;730.0;1361.0;?;1387.0
202.0;4.4;?;307.0;63.1;17.9;?;?;1587.0;1236.0;?;1400.0;897.0
-200.0;-200.0;-200.0;-200.0;?;22.1;9.2;0.6561;1545.0;1353.0;2058.0;1588.0;767.0
208.0;3.1;122.0;187.0;41.7;14.0;?;0.632;1350.0;?;1712.0;1237.0;912.0
?;?;143.0;216.0;38.4;11.6;14.3;?;?;1037.0;1598.0;1167.0;?
114.0;2.1;113.0;143.0;?;10.2;15.0;0.6195;1206.0;986.0;1537.0;959.0;1035.0
140.0;2.5;116.0;?;34.5;?;16.1;0.6262;1252.0;1016.0;1593.0;983.0;1008.0
169.0;2.7;123.0;163.0;35.7;12.8;16.3;?;?;1078.0;1660.0;?;949.0
185.0;2.9;?;190.0;37.0;14.2;15.8;0.661;1353.0;1122.0;?;1139.0;?
165.0;2.8;120.0;178.0;?;12.7;15.9;0.6657;1309.0;1073.0;1657.0;1112.0;954.0
?;2.4;119.0;150.0;34.3;11.7;16.9;?;1274.0;1041.0;1610.0;994.0;1006.0
233.0;3.9;149.0;206.0;39.6;?;15.1;?;1510.0;1277.0;1910.0;1410.0;812.0
242.0;3.7;145.0;202.0;?;18.2;14.4;0.7084;1525.0;1246.0;1847.0;?;?
?;6.6;170.0;?;50.5;32.6;12.9;0.7478;1843.0;?;2390.0;1887.0;624.0
333.0;4.4;149.0;274.0;53.3;20.1;12.1;0.7536;1598.0;1299.0;1941.0;1627.0;752.0
215.0;3.5;139.0;?;59.1;14.3;11.0;?;1484.0;?;?;1491.0;?
367.0;5.4;134.0;300.0;64.6;21.8;9.7;0.7771;1677.0;1346.0;2062.0;?;741.0
?;2.7;113.0;193.0;64.1;9.6;9.5;0.7597;1280.0;964.0;?;1285.0;963.0
67.0;1.9;97.0;139.0;63.9;?;?;?;?;?;?;1144.0;?
43.0;?;82.0;?;?;5.4;?;0.7256;1184.0;782.0;?;1043.0;?
46.0;1.7;-200.0;-200.0;67.5;5.4;?;0.7173;1172.0;783.0;1380.0;996.0;1179.0
?;-200.0;83.0;109.0;71.1;6.2;?;?;1147.0;821.0;1412.0;992.0;1132.0
30.0;1.0;65.0;62.0;?;2.6;8.3;0.6982;978.0;?;1274.0;819.0;1420.0
27.0;1.2;60.0;?;67.5;2.9;7.2;?;1100.0;646.0;1268.0;835.0;?
47.0;1.5;?;139.0;?;5.1;6.3;0.6932;1112.0;770.0;1409.0;940.0;?
132.0;?;96.0;256.0;71.6;?;6.5;0.6945;1336.0;1043.0;?;1192.0;?
239.0;?;119.0;295.0;59.7;15.1;9.6;0.7124;1408.0;1153.0;1777.0;1411.0;830.0
160.0;3.2;126.0;?;51.2;12.9;12.4;?;1447.0;?;?;1465.0;869.0
283.0;4.1;158.0;?;42.2;16.1;15.6;0.7451;1542.0;1184.0;1780.0;?;?
210.0;3.6;161.0;239.0;?;?;18.4;?;?;1117.0;?;?;?
154.0;2.8;124.0;153.0;31.3;12.3;19.4;0.695;1328.0;1059.0;1600.0;1101.0;987.0
112.0;2.0;102.0;?;34.8;8.6;18.0;0.7127;1207.0;924.0;1488.0;850.0;1088.0
?;2.0;116.0;119.0;33.6;9.2;?;0.7042;1240.0;947.0;1532.0;947.0;1049.0
111.0;?;124.0;138.0;35.1;10.2;17.6;0.7012;1306.0;987.0;1554.0;1078.0;1004.0
97.0;2.3;125.0;148.0;37.8;10.6;16.7;0.7117;?;1000.0;?;1084.0;976.0
191.0;3.2;148.0;227.0;41.0;15.5;16.1;0.7451;1473.0;1163.0;1779.0;1395.0;?
258.0;4.2;165.0;?;42.4;19.6;15.8;0.7569;1609.0;1286.0;1922.0;1612.0;758.0
284.0;?;161.0;279.0;44.1;19.2;?;?;1611.0;1274.0;?;?;754.0
269.0;4.2;159.0;?;?;18.3;15.3;?;1621.0;1247.0;1860.0;1886.0;762.0
?;3.1;143.0;214.0;48.6;13.1;14.6;?;1444.0;1089.0;1748.0;1624.0;844.0
116.0;?;130.0;?;49.3;10.9;14.7;0.8193;?;1010.0;1603.0;1536.0;892.0
93.0;2.9;?;190.0;?;11.0;?;?;1534.0;1013.0;1611.0;1535.0;?
?;?;119.0;174.0;51.5;?;?;0.8536;1484.0;1045.0;1624.0;1530.0;880.0
92.0;2.5;104.0;128.0;58.9;8.6;?;0.8537;1367.0;925.0;1543.0;1337.0;953.0
132.0;2.4;-200.0;-200.0;63.4;9.7;11.6;?;1344.0;968.0;1620.0;1278.0;921.0
?;-200.0;82.0;70.0;61.1;5.2;12.1;0.8603;?;773.0;1452.0;1051.0;?
32.0;1.2;?;53.0;63.1;3.7;11.5;?;1062.0;691.0;1377.0;929.0;1272.0
29.0;?;63.0;44.0;62.2;2.5;?;?;?;618.0;1333.0;872.0;1395.0
27.0;0.9;67.0;74.0;67.6;2.4;10.4;0.853;1028.0;615.0;1340.0;853.0;1384.0
?;1.4;84.0;101.0;?;4.2;11.6;?;1155.0;?;1414.0;959.0;?
57.0;?;83.0;118.0;60.0;6.4;12.4;0.8627;1235.0;828.0;1527.0;?;1055.0
129.0;?;98.0;?;53.1;8.6;14.5;0.8728;?;923.0;1614.0;1225.0;952.0
148.0;2.8;114.0;?;46.1;?;?;0.8789;1445.0;?;?;?;878.0
145.0;2.8;?;?;38.3;10.7;?;0.8474;1416.0;1002.0;1677.0;1262.0;907.0
93.0;2.0;104.0;113.0;31.4;7.5;?;?;1281.0;880.0;1525.0;980.0;1084.0
84.0;1.8;102.0;103.0;30.2;7.5;?;?;?;879.0;1490.0;872.0;1104.0
99.0;1.9;?;112.0;29.0;8.2;?;0.7525;1258.0;906.0;1511.0;?;1081.0
150.0;3.0;129.0;170.0;?;11.9;?;0.7516;1458.0;1045.0;1646.0;1099.0;974.0
156.0;2.9;128.0;180.0;30.8;?;21.3;0.7696;1438.0;1051.0;1668.0;1206.0;943.0
122.0;2.5;121.0;?;36.7;12.2;19.7;?;1478.0;1055.0;1671.0;1262.0;929.0
262.0;4.6;157.0;261.0;41.7;?;?;0.8732;1808.0;1312.0;1993.0;1698.0;?
?;5.9;?;325.0;46.1;23.1;17.6;0.921;1898.0;1381.0;2103.0;1905.0;681.0
214.0;?;146.0;217.0;49.6;?;?;0.932;?;1140.0;1818.0;?;784.0
100.0;2.1;121.0;146.0;51.0;9.0;?;0.9341;1324.0;940.0;?;1423.0;924.0
?;?;119.0;?;?;?;14.7;?;1349.0;933.0;1617.0;?;?
66.0;1.8;99.0;104.0;?;7.4;?;0.9164;?;872.0;1547.0;1250.0;985.0
73.0;1.8;?;106.0;?;6.9;?;0.9094;1239.0;853.0;1543.0;1174.0;?
66.0;1.8;88.0;108.0;61.3;7.0;13.4;0.9361;1224.0;855.0;1566.0;1149.0;998.0
44.0;1.1;-200.0;-200.0;63.5;4.4;12.6;0.923;1078.0;734.0;1487.0;?;1128.0
44.0;-200.0;71.0;66.0;65.4;4.0;?;0.9351;1078.0;711.0;1468.0;1013.0;1150.0
39.0;?;74.0;88.0;?;3.9;11.9;0.9375;1075.0;703.0;1464.0;?;1156.0
51.0;1.4;80.0;138.0;70.5;?;11.4;0.9475;1157.0;830.0;1584.0;1083.0;1030.0
107.0;2.2;89.0;228.0;70.2;9.7;11.3;0.9401;1314.0;966.0;1710.0;1235.0;897.0
336.0;5.5;?;360.0;63.9;25.9;?;0.917;1797.0;1451.0;2323.0;?;652.0
618.0;8.1;149.0;478.0;54.3;36.7;?;0.9076;1961.0;?;2665.0;2184.0;537.0
438.0;5.8;157.0;394.0;45.6;?;17.4;0.8993;1771.0;1470.0;2262.0;1973.0;?
334.0;4.2;155.0;319.0;38.5;20.1;19.8;0.8801;1564.0;?;2029.0;?;710.0
221.0;3.1;?;201.0;34.1;14.1;22.0;0.8904;?;1120.0;1783.0;1522.0;?
207.0;2.9;119.0;171.0;?;?;23.3;?;1417.0;?;?;1404.0;830.0
191.0;2.9;?;159.0;30.0;15.4;?;0.8757;1400.0;1162.0;1829.0;?;838.0
185.0;2.5;104.0;153.0;28.9;12.1;24.4;0.8736;?;1053.0;?;1137.0;926.0
?;2.3;99.0;143.0;29.4;11.5;24.4;0.8848;1318.0;1033.0;1675.0;1068.0;?
214.0;2.8;110.0;156.0;31.3;14.8;23.8;0.9137;1445.0;1141.0;1824.0;1252.0;857.0
471.0;6.1;162.0;314.0;35.4;32.1;22.5;?;1917.0;1601.0;2447.0;1843.0;?
685.0;8.0;?;404.0;42.5;39.2;?;1.0086;2040.0;1754.0;2679.0;2122.0;542.0
538.0;6.5;165.0;320.0;52.6;31.0;18.3;1.0945;1895.0;1573.0;2443.0;1992.0;565.0
319.0;4.2;145.0;256.0;57.4;19.9;16.7;1.0786;1595.0;1294.0;2058.0;?;678.0
?;3.2;125.0;?;60.2;15.3;15.7;1.0654;1439.0;1159.0;1856.0;1494.0;764.0
67.0;?;101.0;?;?;6.9;15.3;1.058;1142.0;852.0;1547.0;1164.0;1008.0
155.0;2.1;103.0;127.0;65.7;11.1;14.1;1.0494;1304.0;1019.0;?;?;?
49.0;1.2;?;79.0;60.6;5.4;14.8;1.0148;1074.0;784.0;1483.0;1040.0;?
29.0;?;61.0;43.0;59.2;2.8;14.8;0.9879;968.0;640.0;1386.0;867.0;1320.0
25.0;0.7;-200.0;?;62.1;2.3;13.6;0.9636;929.0;608.0;1364.0;826.0;1376.0
25.0;-200.0;59.0;59.0;66.2;2.6;12.3;0.945;941.0;626.0;1373.0;840.0;1316.0
17.0;0.6;52.0;38.0;63.2;2.0;?;0.9283;937.0;585.0;1348.0;793.0;1412.0
27.0;0.9;64.0;82.0;68.5;3.5;11.2;0.9081;1017.0;?;1418.0;870.0;?
?;1.3;70.0;99.0;66.5;5.1;?;0.8705;1171.0;770.0;1467.0;930.0;1162.0
218.0;3.4;97.0;263.0;63.7;16.2;11.7;0.8719;1541.0;1185.0;1889.0;1407.0;?
285.0;3.7;95.0;?;56.3;19.7;13.6;0.8743;1539.0;?;?;1507.0;698.0
?;5.3;150.0;396.0;?;?;17.8;0.8672;1735.0;1431.0;2211.0;1843.0;628.0
327.0;4.1;162.0;314.0;33.3;20.0;21.4;0.8417;1571.0;?;?;1729.0;730.0
?;3.3;154.0;217.0;?;18.3;24.4;0.8231;1452.0;?;1868.0;1583.0;776.0
366.0;4.0;161.0;252.0;26.1;22.3;25.3;0.8264;?;1359.0;1998.0;1671.0;724.0
318.0;3.8;?;263.0;?;20.4;25.8;0.7589;1466.0;1309.0;1897.0;1491.0;773.0
228.0;?;?;180.0;20.2;14.6;27.0;0.7094;?;?;?;1240.0;893.0
201.0;?;129.0;184.0;18.6;16.6;28.2;0.7014;1407.0;?;?;1313.0;905.0
?;2.9;133.0;190.0;?;15.8;?;0.7098;1389.0;?;?;1363.0;898.0
237.0;3.4;139.0;184.0;?;17.8;23.9;0.7519;1447.0;1235.0;1778.0;1296.0;859.0
261.0;3.9;137.0;181.0;34.8;19.1;21.3;?;1551.0;1271.0;1875.0;1432.0;?
230.0;3.2;143.0;166.0;36.7;15.8;20.4;0.8704;1474.0;1173.0;1776.0;1432.0;854.0
349.0;5.1;177.0;317.0;41.3;24.9;19.0;0.9007;1800.0;?;?;2034.0;700.0
183.0;2.6;138.0;184.0;45.9;13.5;17.9;0.9342;1379.0;1101.0;1710.0;?;818.0
88.0;1.7;117.0;?;?;9.1;16.7;?;1201.0;943.0;1560.0;1362.0;935.0
85.0;1.7;107.0;132.0;52.9;?;15.5;0.9271;1205.0;925.0;?;?;?
?;1.2;90.0;95.0;51.9;5.4;15.5;0.9059;1072.0;784.0;1442.0;1114.0;1066.0
34.0;0.9;79.0;70.0;55.6;?;14.1;0.891;998.0;714.0;1383.0;?;1169.0
?;?;-200.0;-200.0;57.9;2.6;13.1;0.8666;933.0;625.0;1332.0;?;1292.0
17.0;-200.0;60.0;54.0;57.9;1.9;12.7;0.8447;883.0;577.0;1303.0;?;1396.0
11.0;?;40.0;28.0;58.0;1.6;11.8;0.8026;869.0;?;1268.0;?;1460.0
18.0;0.5;53.0;46.0;57.4;1.9;11.9;0.7978;891.0;576.0;1289.0;733.0;1417.0
84.0;1.6;84.0;160.0;65.2;?;9.9;0.7956;?;878.0;1556.0;1052.0;1038.0
260.0;4.1;108.0;?;60.2;21.4;11.1;?;1587.0;1334.0;?;1534.0;702.0
534.0;?;?;377.0;50.0;36.4;14.1;0.802;1852.0;1696.0;2535.0;?;553.0
368.0;?;?;?;40.1;21.3;?;0.8048;1522.0;1331.0;2026.0;1734.0;703.0
200.0;2.9;135.0;221.0;?;15.4;21.1;0.8265;1438.0;1161.0;1782.0;1595.0;819.0
145.0;?;142.0;210.0;28.3;12.5;24.3;0.8471;?;1067.0;1654.0;1490.0;905.0
188.0;2.8;153.0;204.0;25.6;15.1;?;?;1452.0;1152.0;1747.0;1508.0;861.0
152.0;2.6;123.0;161.0;25.9;13.7;25.9;0.8503;1389.0;1108.0;?;1334.0;887.0
?;2.0;104.0;135.0;18.7;10.4;26.8;0.65;?;994.0;1520.0;1045.0;1013.0
193.0;2.9;129.0;?;?;15.2;29.3;0.6309;1365.0;1154.0;1679.0;1221.0;940.0
134.0;2.5;114.0;147.0;14.9;?;28.5;?;1247.0;1060.0;1525.0;?;1032.0
386.0;?;?;299.0;?;27.0;25.9;0.5237;1557.0;1478.0;1981.0;1569.0;793.0
?;7.6;?;411.0;26.5;38.4;?;0.7403;1973.0;1737.0;2414.0;?;617.0
523.0;6.7;182.0;347.0;38.2;35.1;20.5;0.9133;1975.0;?;2416.0;?;597.0
472.0;5.7;180.0;?;?;27.2;?;?;1795.0;?;2174.0;2050.0;653.0
206.0;2.8;136.0;?;44.1;?;17.2;?;1444.0;1150.0;1727.0;1727.0;770.0
?;2.6;127.0;178.0;50.9;15.7;16.0;0.9206;?;1171.0;1778.0;?;731.0
?;2.3;116.0;154.0;53.9;13.0;?;?;?;1083.0;1669.0;?;796.0
?;1.4;107.0;92.0;55.4;8.1;14.3;0.8975;1161.0;904.0;1502.0;1240.0;947.0
44.0;1.0;88.0;61.0;52.1;?;14.8;0.8686;1064.0;787.0;1407.0;1115.0;1057.0
42.0;?;-200.0;-200.0;?;3.6;13.9;0.8501;970.0;687.0;1351.0;969.0;1196.0
28.0;-200.0;78.0;60.0;61.9;2.9;11.6;0.8442;954.0;?;1334.0;925.0;1260.0
20.0;0.6;57.0;37.0;58.9;?;?;0.8233;931.0;623.0;?;828.0;1293.0
26.0;0.7;71.0;68.0;62.1;3.0;10.9;0.8113;938.0;650.0;1333.0;893.0;1251.0
78.0;?;85.0;139.0;63.3;7.7;10.6;0.8067;?;?;1551.0;?;1005.0
319.0;4.7;124.0;339.0;60.0;23.3;11.5;0.8117;?;1384.0;2094.0;1610.0;667.0
506.0;?;151.0;421.0;50.6;35.8;14.3;0.8186;1934.0;?;2468.0;?;541.0
-200.0;4.5;150.0;349.0;?;21.3;17.8;0.821;?;1333.0;?;1819.0;686.0
-200.0;?;152.0;224.0;34.4;?;20.8;0.8365;?;1127.0;?;?;831.0
-200.0;2.2;139.0;171.0;28.2;12.5;23.8;0.8219;1379.0;1068.0;1663.0;1374.0;899.0
-200.0;2.2;133.0;149.0;?;12.2;?;0.8515;1385.0;1056.0;1648.0;1268.0;891.0
-200.0;?;126.0;137.0;24.9;13.1;25.2;0.7829;?;1087.0;1660.0;1144.0;901.0
-200.0;2.2;?;?;?;14.4;27.0;?;1322.0;1129.0;?;1109.0;?
?;2.8;169.0;172.0;23.1;16.8;27.1;0.818;1496.0;1205.0;1767.0;1347.0;822.0
?;2.7;149.0;166.0;?;?;25.8;0.7832;?;1131.0;1689.0;1206.0;873.0
-200.0;3.7;156.0;214.0;26.8;21.5;23.0;0.7446;?;1338.0;?;1397.0;764.0
-200.0;5.1;168.0;280.0;31.1;26.4;20.7;0.7523;?;?;2118.0;1588.0;683.0
-200.0;?;176.0;276.0;36.2;26.0;18.6;0.7676;1667.0;1453.0;2051.0;1569.0;684.0
-200.0;3.2;135.0;178.0;48.4;14.1;16.0;0.8768;?;1121.0;1732.0;1322.0;814.0
?;2.1;121.0;129.0;57.8;10.3;14.5;?;1333.0;989.0;1621.0;1194.0;885.0
-200.0;1.7;?;95.0;64.2;?;13.1;?;1262.0;?;1545.0;1062.0;948.0
-200.0;2.0;106.0;126.0;69.7;?;12.0;0.9735;?;?;1606.0;1040.0;918.0
-200.0;1.6;?;103.0;?;6.6;11.9;0.9915;1134.0;840.0;1501.0;?;1021.0
-200.0;0.9;63.0;48.0;69.3;3.6;12.5;1.0029;999.0;688.0;1380.0;594.0;1229.0
?;0.7;?;-200.0;?;2.5;12.5;0.9768;961.0;622.0;1301.0;430.0;?
-200.0;-200.0;32.0;?;?;1.8;12.3;?;934.0;?;1280.0;397.0;1440.0
-200.0;0.5;28.0;18.0;?;1.3;12.5;0.962;913.0;?;1260.0;370.0;1620.0
-200.0;0.7;61.0;?;?;2.3;12.3;?;969.0;607.0;1324.0;438.0;1373.0
-200.0;1.5;99.0;?;64.9;6.7;12.4;0.9332;1182.0;845.0;1539.0;?;1054.0
?;?;157.0;320.0;61.6;22.8;13.0;0.9209;1740.0;?;?;1476.0;671.0
-200.0;6.2;?;357.0;58.8;31.3;13.6;0.912;1819.0;1582.0;2456.0;1716.0;575.0
?;4.0;149.0;253.0;57.1;?;13.9;?;1427.0;?;1980.0;?;701.0
-200.0;3.3;?;218.0;54.4;16.4;14.5;0.8917;?;1191.0;1879.0;?;759.0
-200.0;2.8;127.0;192.0;50.1;?;15.5;0.8744;1283.0;1117.0;1751.0;1188.0;813.0
-200.0;3.0;122.0;176.0;47.6;15.3;16.1;0.8655;1304.0;1157.0;1801.0;1171.0;793.0
-200.0;3.3;135.0;198.0;47.1;?;16.3;0.864;1364.0;1202.0;1875.0;1250.0;771.0
-200.0;3.5;139.0;?;47.5;19.0;16.4;0.8791;1410.0;1268.0;1957.0;1344.0;724.0
-200.0;4.0;?;?;50.2;19.4;?;0.9094;1476.0;1280.0;?;?;708.0
-200.0;4.6;158.0;270.0;50.7;20.9;16.0;0.9142;1522.0;1320.0;2005.0;?;690.0
-200.0;4.1;146.0;231.0;50.3;20.2;15.8;0.8989;1442.0;1301.0;1952.0;1372.0;704.0
?;4.5;144.0;251.0;50.6;21.7;15.5;0.884;1469.0;1344.0;1997.0;?;677.0
-200.0;3.9;138.0;210.0;?;19.8;15.4;0.8956;1467.0;1292.0;1942.0;1439.0;698.0
-200.0;4.0;?;249.0;53.1;16.7;15.2;0.9117;1421.0;1202.0;1854.0;?;748.0
?;2.2;116.0;143.0;57.6;9.1;14.7;0.9573;?;945.0;1604.0;?;904.0
-200.0;?;109.0;127.0;?;8.3;14.2;0.938;1215.0;912.0;1547.0;993.0;?
-200.0;?;?;104.0;?;5.8;13.8;0.9085;1127.0;?;1447.0;?;1064.0
-200.0;1.6;83.0;86.0;?;5.2;13.9;?;1090.0;?;?;761.0;1105.0
-200.0;?;?;?;55.6;4.1;13.9;?;1017.0;?;?;?;1182.0
-200.0;1.3;?;-200.0;55.1;3.4;13.8;0.8666;997.0;677.0;1359.0;591.0;1252.0
-200.0;-200.0;55.0;44.0;54.6;2.9;13.8;0.8574;945.0;646.0;1332.0;505.0;1308.0
-200.0;0.8;53.0;42.0;55.1;3.1;13.6;?;956.0;661.0;1351.0;518.0;1260.0
-200.0;0.8;67.0;?;59.0;2.5;13.6;0.9129;966.0;622.0;1342.0;571.0;?
-200.0;?;91.0;115.0;58.4;4.3;13.5;0.896;1064.0;728.0;1461.0;842.0;1161.0
?;?;113.0;170.0;58.0;?;13.8;?;1300.0;935.0;1623.0;1145.0;?
-200.0;2.4;102.0;147.0;53.1;10.5;14.6;?;1348.0;998.0;1689.0;1218.0;834.0
-200.0;2.6;?;166.0;52.3;12.5;15.0;0.8881;1425.0;1068.0;1764.0;?;776.0
?;2.8;?;195.0;52.1;12.3;?;0.9046;1474.0;?;1768.0;1406.0;768.0
?;2.6;108.0;182.0;50.0;11.7;16.3;0.9158;1490.0;1039.0;1757.0;?;?
-200.0;2.6;105.0;168.0;47.9;11.7;17.1;0.9281;1495.0;?;?;1373.0;?
-200.0;2.1;93.0;?;42.9;?;19.0;0.937;1376.0;953.0;1636.0;?;900.0
?;1.7;87.0;95.0;42.3;7.6;19.5;?;1305.0;884.0;1573.0;927.0;980.0
-200.0;1.6;76.0;79.0;42.3;6.7;19.5;0.9493;1283.0;844.0;?;766.0;1036.0
-200.0;2.1;94.0;119.0;43.8;9.7;19.1;0.9556;1392.0;?;1649.0;941.0;930.0
-200.0;2.3;?;142.0;46.3;12.4;18.5;?;1452.0;?;?;1146.0;856.0
?;3.5;136.0;?;?;16.6;?;1.0159;1633.0;1199.0;?;1417.0;734.0
?;3.9;?;229.0;51.3;16.4;?;0.9914;?;1191.0;1885.0;1442.0;733.0
-200.0;3.3;125.0;?;53.8;13.7;16.4;0.9964;1535.0;1108.0;1820.0;1323.0;785.0
?;?;111.0;147.0;?;9.9;16.2;1.0132;?;973.0;1712.0;1125.0;864.0
?;2.1;97.0;?;57.7;8.9;15.9;?;1309.0;937.0;1672.0;?;905.0
-200.0;2.8;107.0;175.0;58.6;10.6;15.7;1.0396;1456.0;999.0;1714.0;1202.0;835.0
?;2.1;90.0;133.0;60.9;?;?;1.0398;1300.0;?;1577.0;1054.0;?
-200.0;1.6;84.0;89.0;56.6;6.2;15.6;0.9951;1203.0;823.0;1526.0;?;1004.0
-200.0;1.6;-200.0;?;57.9;6.5;?;?;1195.0;836.0;?;885.0;?
-200.0;-200.0;87.0;85.0;57.8;?;?;1.0021;1117.0;802.0;1539.0;?;1029.0
-200.0;1.1;?;55.0;60.6;4.0;14.9;1.0196;1062.0;?;1461.0;700.0;?
-200.0;0.7;?;24.0;63.0;2.1;14.5;1.0316;947.0;594.0;1390.0;580.0;1300.0
-200.0;0.8;62.0;72.0;?;3.6;14.2;1.063;1065.0;?;?;815.0;1143.0
?;?;91.0;122.0;?;4.4;?;1.0704;1155.0;734.0;1528.0;1035.0;1062.0
-200.0;?;89.0;?;62.1;5.4;15.3;1.073;?;?;1560.0;1067.0;996.0
-200.0;1.7;93.0;123.0;59.0;7.1;16.3;?;1301.0;862.0;1633.0;?;914.0
-200.0;1.8;?;106.0;49.6;7.3;?;1.07;?;870.0;1646.0;1000.0;?
-200.0;1.8;82.0;103.0;46.1;7.6;19.4;1.0249;1267.0;?;?;906.0;953.0
?;1.9;80.0;102.0;41.6;6.8;20.8;1.0091;1239.0;848.0;1568.0;822.0;981.0
?;?;?;48.0;?;4.6;21.4;1.0126;1128.0;742.0;?;610.0;1144.0
-200.0;1.6;?;63.0;39.3;?;21.2;0.9791;1243.0;916.0;1669.0;657.0;962.0
-200.0;1.9;89.0;98.0;38.0;6.9;20.3;0.8942;1208.0;853.0;1506.0;647.0;?
-200.0;2.3;?;?;41.3;9.0;19.4;0.9206;1306.0;938.0;1607.0;762.0;961.0
-200.0;3.8;116.0;173.0;43.8;15.1;18.5;?;1546.0;1151.0;1874.0;1122.0;769.0
-200.0;3.5;119.0;185.0;48.1;?;17.8;0.9689;1501.0;1071.0;?;1130.0;823.0
-200.0;?;144.0;266.0;46.9;15.1;17.9;?;1605.0;1153.0;1840.0;1637.0;769.0
-200.0;2.8;123.0;188.0;49.1;9.9;?;0.9688;?;?;1673.0;?;883.0
-200.0;1.9;105.0;?;51.7;?;?;0.9914;?;?;1594.0;1098.0;933.0
-200.0;?;93.0;112.0;55.1;7.9;16.4;1.0198;1211.0;896.0;1624.0;1066.0;920.0
-200.0;1.7;86.0;93.0;60.0;?;16.1;1.0919;?;815.0;?;909.0;995.0
