NMHC(GT);CO(GT);NO2(GT);NOx(GT);RH;C6H6(GT);T;AH;PT08.S1(CO);PT08.S2(NMHC);PT08.S4(NO2);PT08.S5(O3);PT08.S3(NOx)
-200.0;1.3;81.0;108.0;78.3;6.9;14.5;1.2851;1060.0;851.0;1673.0;805.0;912.0
-200.0;2.6;120.0;190.0;62.9;13.0;17.2;1.2228;1143.0;1083.0;1887.0;1083.0;735.0
-200.0;3.5;125.0;221.0;60.8;16.4;17.5;1.2029;1242.0;1193.0;1945.0;1175.0;684.0
-200.0;2.1;79.0;96.0;70.7;9.2;15.9;1.2672;1110.0;949.0;1733.0;842.0;850.0
-200.0;2.3;116.0;140.0;60.5;9.4;14.2;0.9765;1052.0;956.0;1600.0;725.0;869.0
-200.0;2.2;96.0;117.0;62.7;10.5;13.9;0.9905;1016.0;995.0;1642.0;854.0;857.0
-200.0;-200.0;-200.0;-200.0;56.2;9.9;14.1;0.9028;1072.0;976.0;1603.0;1018.0;835.0
-200.0;-200.0;-200.0;-200.0;64.9;9.0;12.7;0.9506;1068.0;938.0;1575.0;1057.0;862.0
-200.0;-200.0;-200.0;-200.0;62.6;4.5;13.1;0.9419;922.0;737.0;1414.0;882.0;1050.0
-200.0;3.6;124.0;188.0;37.8;22.0;21.0;0.9298;1267.0;1352.0;1961.0;1196.0;651.0
-200.0;2.2;112.0;136.0;47.2;9.4;16.7;0.892;1074.0;954.0;1570.0;956.0;846.0
-200.0;1.7;93.0;131.0;45.0;7.9;19.5;1.0114;1056.0;894.0;1576.0;771.0;891.0
-200.0;1.0;71.0;55.0;43.4;5.4;17.4;0.8553;935.0;786.0;1389.0;954.0;964.0
-200.0;1.1;-200.0;-200.0;50.6;5.6;14.8;0.8489;941.0;792.0;1397.0;889.0;975.0
-200.0;0.9;60.0;45.0;22.0;5.3;29.9;0.9181;991.0;776.0;1375.0;468.0;1122.0
-200.0;1.3;102.0;132.0;38.1;7.0;16.0;0.6879;1009.0;859.0;1420.0;1016.0;944.0
-200.0;1.7;88.0;115.0;19.5;9.1;25.8;0.6392;984.0;945.0;1423.0;747.0;990.0
-200.0;1.7;95.0;138.0;19.4;9.0;25.7;0.6304;1020.0;941.0;1425.0;756.0;1016.0
-200.0;0.9;54.0;68.0;45.3;6.3;17.1;0.8784;1022.0;825.0;1487.0;931.0;931.0
-200.0;2.3;127.0;133.0;18.9;13.8;32.2;0.8964;1208.0;1111.0;1653.0;1018.0;783.0
-200.0;0.8;73.0;48.0;53.0;5.8;18.0;1.0832;1046.0;803.0;1490.0;823.0;900.0
-200.0;0.3;-200.0;-200.0;46.2;1.7;19.8;1.056;885.0;565.0;1329.0;542.0;1217.0
-200.0;3.7;126.0;194.0;41.9;18.0;19.1;0.9158;1424.0;1240.0;1841.0;1427.0;662.0
-200.0;0.5;59.0;50.0;53.8;3.6;15.8;0.9615;941.0;687.0;1374.0;777.0;1024.0
-200.0;0.8;65.0;68.0;48.6;4.3;20.0;1.1199;1008.0;729.0;1490.0;795.0;1034.0
-200.0;1.1;73.0;75.0;49.3;6.0;20.5;1.173;1110.0;814.0;1571.0;854.0;948.0
-200.0;-200.0;19.0;14.0;41.0;0.5;16.3;0.7513;753.0;437.0;1110.0;301.0;1904.0
-200.0;1.4;92.0;114.0;14.0;7.7;25.5;0.4495;926.0;885.0;1259.0;662.0;1101.0
-200.0;2.0;108.0;139.0;15.4;12.0;24.5;0.4663;996.0;1048.0;1397.0;822.0;959.0
-200.0;-200.0;-200.0;-200.0;35.6;1.2;13.3;0.5393;752.0;515.0;1068.0;436.0;1472.0
-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0
-200.0;1.8;135.0;159.0;21.1;13.8;28.8;0.8193;1139.0;1109.0;1436.0;1292.0;1118.0
-200.0;1.8;112.0;127.0;16.4;14.0;31.6;0.7489;1088.0;1116.0;1449.0;1060.0;1128.0
-200.0;1.3;112.0;115.0;13.8;9.7;31.8;0.6394;969.0;968.0;1325.0;768.0;1276.0
-200.0;-200.0;-200.0;-200.0;29.2;10.9;21.7;0.7458;1021.0;1010.0;1480.0;1027.0;1116.0
-200.0;-200.0;-200.0;-200.0;44.9;6.1;17.8;0.903;908.0;814.0;1403.0;763.0;1089.0
-200.0;0.4;64.0;58.0;25.9;3.7;25.5;0.8339;844.0;696.0;1292.0;507.0;1353.0
-200.0;0.1;46.0;41.0;18.4;2.8;29.8;0.7595;783.0;637.0;1215.0;439.0;1498.0
-200.0;-200.0;8.0;4.0;42.4;2.1;19.7;0.9636;759.0;588.0;1286.0;515.0;1323.0
-200.0;-200.0;24.0;16.0;82.3;1.3;16.5;1.5318;783.0;529.0;1435.0;466.0;1437.0
-200.0;1.6;86.0;201.0;63.1;12.4;20.4;1.4969;1173.0;1063.0;1905.0;1218.0;814.0
-200.0;-200.0;49.0;63.0;70.9;6.9;20.3;1.6699;999.0;853.0;1756.0;885.0;951.0
-200.0;-200.0;97.0;220.0;57.4;20.2;20.0;1.3268;1215.0;1303.0;2180.0;1358.0;694.0
-200.0;-200.0;108.0;243.0;45.9;20.8;22.6;1.2418;1234.0;1318.0;2108.0;2202.0;714.0
-200.0;-200.0;-200.0;-200.0;27.7;8.6;28.7;1.071;905.0;923.0;1582.0;707.0;1025.0
-200.0;-200.0;-200.0;-200.0;25.0;9.7;28.7;0.9684;903.0;968.0;1565.0;740.0;992.0
-200.0;-200.0;-200.0;-200.0;28.3;14.7;27.2;1.0016;1043.0;1139.0;1756.0;1001.0;876.0
-200.0;-200.0;-200.0;-200.0;47.6;5.7;21.2;1.1799;880.0;799.0;1533.0;724.0;1097.0
-200.0;1.4;68.0;86.0;26.0;8.0;30.7;1.1287;914.0;900.0;1596.0;706.0;1010.0
-200.0;4.5;170.0;255.0;27.2;25.0;30.8;1.1832;1256.0;1430.0;2151.0;1380.0;660.0
-200.0;0.5;58.0;54.0;56.0;4.0;20.3;1.3204;833.0;708.0;1525.0;799.0;1084.0
-200.0;1.9;107.0;110.0;38.6;11.7;26.5;1.3154;1065.0;1038.0;1763.0;1026.0;805.0
-200.0;2.4;116.0;163.0;32.6;12.0;27.5;1.176;1056.0;1051.0;1758.0;1078.0;826.0
-200.0;4.8;134.0;333.0;42.7;28.9;22.8;1.1667;1355.0;1526.0;2397.0;1658.0;567.0
-200.0;1.9;92.0;157.0;36.6;13.1;24.0;1.0772;1123.0;1088.0;1789.0;1191.0;746.0
-200.0;1.1;74.0;64.0;44.1;4.7;22.2;1.1654;870.0;749.0;1487.0;612.0;1096.0
-200.0;1.2;72.0;59.0;45.6;5.2;21.8;1.1763;883.0;773.0;1514.0;621.0;1062.0
-200.0;3.1;148.0;154.0;28.7;16.7;30.8;1.2507;1100.0;1202.0;1856.0;1004.0;732.0
-200.0;2.1;114.0;124.0;44.4;10.4;23.0;1.2354;1029.0;993.0;1728.0;969.0;816.0
-200.0;5.0;142.0;310.0;52.4;30.2;22.9;1.4442;1440.0;1556.0;2530.0;1561.0;517.0
-200.0;4.8;125.0;300.0;49.9;27.7;21.9;1.2957;1335.0;1496.0;2385.0;1598.0;562.0
-200.0;1.6;98.0;109.0;35.9;8.6;29.3;1.4411;1095.0;923.0;1736.0;999.0;843.0
-200.0;1.2;64.0;53.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0
-200.0;1.6;95.0;92.0;46.3;9.5;21.8;1.1913;966.0;959.0;1686.0;852.0;838.0
-200.0;0.4;36.0;22.0;44.3;1.9;22.1;1.1665;758.0;580.0;1374.0;531.0;1215.0
-200.0;3.5;145.0;226.0;23.5;20.5;33.1;1.1673;1177.0;1310.0;2011.0;1189.0;656.0
-200.0;2.4;124.0;150.0;22.8;14.1;34.8;1.2488;1116.0;1120.0;1854.0;1035.0;724.0
-200.0;0.6;46.0;41.0;60.9;3.1;21.2;1.5092;877.0;658.0;1530.0;779.0;1047.0
-200.0;1.3;74.0;93.0;40.8;7.1;27.0;1.4286;1020.0;860.0;1649.0;875.0;864.0
-200.0;2.8;122.0;166.0;34.5;13.7;28.3;1.3084;1172.0;1108.0;1878.0;1058.0;706.0
-200.0;2.0;94.0;95.0;48.1;10.9;23.0;1.3322;1035.0;1011.0;1752.0;1039.0;750.0
-200.0;2.3;144.0;187.0;25.6;12.7;30.0;1.0674;1109.0;1074.0;1734.0;1274.0;761.0
-200.0;1.3;73.0;80.0;26.4;6.1;34.0;1.3781;1010.0;816.0;1567.0;741.0;955.0
-200.0;1.2;90.0;70.0;14.2;6.9;42.2;1.1609;990.0;852.0;1488.0;669.0;967.0
-200.0;2.4;137.0;146.0;33.6;11.9;29.0;1.3277;1105.0;1046.0;1751.0;1102.0;777.0
-200.0;0.6;41.0;26.0;41.2;3.4;26.0;1.3598;874.0;679.0;1444.0;619.0;1049.0
-200.0;4.6;202.0;286.0;31.9;25.6;34.7;1.7325;1443.0;1443.0;2332.0;1559.0;543.0
-200.0;2.2;106.0;178.0;46.4;15.2;27.3;1.6542;1225.0;1155.0;1992.0;1338.0;643.0
-200.0;2.8;136.0;223.0;40.4;16.7;28.4;1.5442;1245.0;1202.0;2039.0;1622.0;628.0
-200.0;0.6;-200.0;-200.0;50.8;2.8;26.3;1.7058;848.0;642.0;1536.0;654.0;1079.0
-200.0;0.9;60.0;66.0;55.2;6.4;24.4;1.6604;948.0;828.0;1711.0;994.0;858.0
-200.0;1.8;127.0;120.0;22.7;10.9;37.8;1.4653;1078.0;1009.0;1730.0;787.0;767.0
-200.0;0.4;41.0;27.0;43.0;2.8;22.6;1.1629;828.0;639.0;1371.0;573.0;1077.0
-200.0;2.0;109.0;122.0;35.8;11.6;26.7;1.2318;1125.0;1035.0;1726.0;1150.0;728.0
-200.0;0.6;42.0;36.0;54.6;4.2;23.0;1.5177;942.0;723.0;1573.0;698.0;968.0
-200.0;0.5;47.0;32.0;14.5;4.1;39.3;1.0149;852.0;718.0;1307.0;468.0;1109.0
-200.0;3.4;179.0;267.0;20.9;19.3;38.2;1.3701;1301.0;1276.0;1953.0;1407.0;631.0
-200.0;2.2;166.0;261.0;21.1;14.2;34.6;1.1398;1182.0;1122.0;1707.0;1527.0;730.0
-200.0;2.2;130.0;195.0;10.2;14.1;42.5;0.8478;1090.0;1120.0;1629.0;1283.0;743.0
-200.0;0.9;79.0;65.0;32.5;7.2;28.4;1.2361;1011.0;864.0;1532.0;1231.0;809.0
-200.0;1.4;108.0;98.0;15.7;10.7;41.1;1.2071;1126.0;1004.0;1609.0;926.0;788.0
-200.0;0.5;-200.0;-200.0;43.7;2.7;27.8;1.6039;903.0;631.0;1458.0;550.0;1070.0
-200.0;1.8;130.0;166.0;24.7;9.4;30.5;1.0592;1036.0;955.0;1527.0;840.0;829.0
-200.0;1.7;137.0;149.0;20.1;9.6;32.9;0.9902;1002.0;964.0;1546.0;786.0;828.0
-200.0;2.7;162.0;207.0;30.2;13.6;26.6;1.033;1065.0;1105.0;1672.0;987.0;723.0
-200.0;1.5;95.0;91.0;49.5;9.6;22.2;1.3081;1016.0;963.0;1661.0;811.0;776.0
-200.0;0.5;-200.0;-200.0;50.4;2.9;22.3;1.3379;836.0;643.0;1405.0;522.0;1114.0
-200.0;0.6;62.0;48.0;16.8;5.0;33.1;0.8391;821.0;766.0;1323.0;457.0;1071.0
-200.0;0.5;51.0;37.0;45.8;4.1;22.0;1.1965;853.0;716.0;1423.0;647.0;994.0
-200.0;0.4;48.0;40.0;52.6;3.1;20.4;1.247;842.0;656.0;1427.0;620.0;1080.0
-200.0;0.2;19.0;10.0;20.0;2.5;32.2;0.9488;775.0;619.0;1272.0;386.0;1254.0
-200.0;1.6;102.0;172.0;33.0;7.4;25.7;1.0763;957.0;875.0;1525.0;871.0;891.0
-200.0;1.5;95.0;117.0;36.8;7.5;22.5;0.988;904.0;877.0;1488.0;781.0;890.0
-200.0;0.4;46.0;36.0;45.6;3.1;21.4;1.1493;824.0;660.0;1342.0;618.0;1033.0
-200.0;2.1;120.0;120.0;16.7;11.9;36.5;1.0045;1003.0;1047.0;1578.0;782.0;769.0
-200.0;2.4;173.0;191.0;16.5;13.0;38.1;1.0828;1098.0;1084.0;1648.0;985.0;754.0
-200.0;0.7;63.0;51.0;46.5;5.0;21.3;1.1608;865.0;764.0;1430.0;826.0;917.0
-200.0;-200.0;129.0;135.0;12.5;13.7;41.7;0.9941;1107.0;1106.0;1615.0;1024.0;727.0
-200.0;-200.0;101.0;106.0;14.2;10.4;41.4;1.1128;1083.0;994.0;1544.0;927.0;771.0
-200.0;-200.0;140.0;286.0;42.2;27.7;25.8;1.3774;1526.0;1495.0;2405.0;1904.0;471.0
-200.0;-200.0;106.0;97.0;14.4;10.2;42.7;1.2092;1105.0;984.0;1532.0;868.0;767.0
-200.0;2.9;120.0;122.0;33.2;15.3;31.2;1.4831;1261.0;1158.0;1837.0;1303.0;628.0
-200.0;2.3;157.0;166.0;12.6;15.1;44.6;1.1684;1186.0;1151.0;1686.0;1235.0;680.0
-200.0;2.7;107.0;157.0;38.7;16.3;28.6;1.4921;1270.0;1189.0;1917.0;1608.0;592.0
-200.0;1.8;129.0;130.0;13.8;13.2;42.8;1.1681;1085.0;1091.0;1638.0;1010.0;723.0
-200.0;2.5;115.0;154.0;28.3;14.8;33.1;1.4121;1156.0;1144.0;1832.0;1216.0;651.0
-200.0;0.8;-200.0;-200.0;46.6;6.0;25.8;1.5269;973.0;810.0;1599.0;1002.0;820.0
-200.0;1.1;57.0;47.0;45.7;5.0;27.3;1.6308;984.0;762.0;1557.0;560.0;870.0
-200.0;0.4;-200.0;-200.0;53.1;2.1;25.0;1.6541;851.0;589.0;1432.0;501.0;1119.0
-200.0;0.5;31.0;24.0;54.8;1.7;24.9;1.7063;853.0;557.0;1435.0;454.0;1215.0
-200.0;0.8;54.0;41.0;42.6;3.0;28.2;1.6062;905.0;652.0;1446.0;490.0;1076.0
-200.0;0.8;50.0;37.0;40.8;2.9;29.1;1.6203;901.0;646.0;1446.0;488.0;1105.0
-200.0;-200.0;119.0;123.0;22.4;10.7;32.4;1.0701;989.0;1004.0;1577.0;783.0;818.0
-200.0;-200.0;88.0;69.0;28.4;7.2;25.3;0.9041;858.0;866.0;1421.0;715.0;874.0
-200.0;-200.0;65.0;45.0;41.2;3.2;20.5;0.9802;779.0;663.0;1337.0;671.0;1022.0
-200.0;-200.0;-200.0;-200.0;16.8;17.7;35.3;0.9448;1103.0;1232.0;1732.0;1085.0;679.0
-200.0;-200.0;131.0;144.0;26.1;13.6;29.6;1.0682;1086.0;1105.0;1682.0;1109.0;710.0
-200.0;-200.0;-200.0;-200.0;32.6;2.4;25.1;1.0203;787.0;610.0;1259.0;543.0;1087.0
-200.0;-200.0;95.0;83.0;19.5;7.1;34.8;1.0667;960.0;860.0;1417.0;559.0;887.0
-200.0;-200.0;137.0;116.0;28.7;16.5;33.3;1.4454;1153.0;1194.0;1874.0;1038.0;628.0
-200.0;2.0;82.0;106.0;47.5;11.2;26.6;1.6265;1104.0;1020.0;1771.0;1086.0;681.0
-200.0;1.8;70.0;77.0;50.7;9.8;25.7;1.6491;1065.0;970.0;1724.0;1049.0;698.0
-200.0;0.9;92.0;69.0;19.1;4.7;39.7;1.3646;908.0;748.0;1373.0;451.0;1020.0
-200.0;1.9;68.0;65.0;57.1;9.1;27.3;2.0426;1142.0;945.0;1775.0;799.0;672.0
-200.0;1.2;97.0;74.0;60.1;5.0;26.7;2.067;986.0;762.0;1573.0;553.0;821.0
-200.0;1.7;107.0;90.0;29.2;10.7;35.6;1.6684;1084.0;1004.0;1761.0;839.0;706.0
-200.0;-200.0;142.0;275.0;48.6;21.3;27.4;1.7447;1349.0;1333.0;2256.0;1533.0;487.0
-200.0;-200.0;-200.0;-200.0;27.9;8.6;37.1;1.7309;1050.0;923.0;1662.0;744.0;747.0
-200.0;-200.0;101.0;127.0;80.9;7.7;20.8;1.9637;1056.0;886.0;1721.0;900.0;732.0
-200.0;-200.0;69.0;60.0;72.8;5.0;21.9;1.8944;950.0;762.0;1616.0;959.0;827.0
-200.0;2.1;92.0;109.0;45.2;11.7;29.8;1.8642;1100.0;1038.0;1873.0;1080.0;668.0
-200.0;0.9;43.0;51.0;62.6;5.1;22.9;1.7253;868.0;771.0;1608.0;860.0;840.0
-200.0;1.0;54.0;43.0;25.2;4.7;35.1;1.402;836.0;750.0;1390.0;484.0;960.0
-200.0;1.2;67.0;46.0;29.5;6.5;36.8;1.8037;974.0;833.0;1577.0;565.0;864.0
-200.0;1.6;95.0;71.0;33.4;8.4;34.9;1.8384;1008.0;915.0;1643.0;672.0;783.0
-200.0;1.6;93.0;78.0;41.7;8.4;29.7;1.7081;981.0;917.0;1649.0;714.0;740.0
-200.0;1.7;89.0;86.0;56.4;9.0;26.6;1.9349;1066.0;940.0;1744.0;978.0;683.0
-200.0;1.1;51.0;40.0;61.6;6.3;25.5;1.9804;967.0;824.0;1637.0;862.0;774.0
-200.0;1.4;42.0;89.0;60.5;9.5;26.8;2.1008;1114.0;958.0;1836.0;1167.0;663.0
-200.0;1.0;46.0;48.0;30.8;5.1;36.6;1.8617;995.0;769.0;1576.0;615.0;882.0
-200.0;1.1;58.0;58.0;30.5;5.1;37.1;1.8962;955.0;766.0;1597.0;620.0;898.0
-200.0;1.0;56.0;44.0;32.1;5.0;35.9;1.8697;949.0;764.0;1579.0;573.0;898.0
-200.0;1.3;67.0;53.0;27.2;7.0;37.1;1.6844;974.0;855.0;1607.0;610.0;836.0
-200.0;1.2;74.0;57.0;50.4;5.1;26.6;1.724;957.0;767.0;1534.0;577.0;867.0
-200.0;1.0;63.0;49.0;55.7;4.5;25.1;1.7471;919.0;737.0;1534.0;611.0;899.0
-200.0;1.2;73.0;56.0;38.2;6.6;32.0;1.788;1001.0;838.0;1614.0;668.0;801.0
-200.0;0.4;43.0;43.0;45.6;2.4;21.5;1.1558;766.0;616.0;1306.0;530.0;1163.0
-200.0;1.3;84.0;73.0;34.9;5.7;28.0;1.2989;960.0;798.0;1459.0;780.0;854.0
-200.0;-200.0;-200.0;-200.0;36.8;11.2;27.3;1.3189;1040.0;1022.0;1624.0;998.0;713.0
-200.0;1.4;55.0;70.0;44.7;7.9;29.9;1.8511;1025.0;896.0;1693.0;823.0;738.0
-200.0;-200.0;-200.0;-200.0;52.1;5.3;28.5;2.0036;998.0;776.0;1608.0;665.0;810.0
-200.0;-200.0;-200.0;-200.0;41.4;7.8;32.2;1.9624;1066.0;890.0;1690.0;906.0;747.0
-200.0;-200.0;-200.0;-200.0;49.8;6.8;28.2;1.8795;996.0;848.0;1657.0;713.0;763.0
-200.0;-200.0;-200.0;-200.0;50.4;8.3;27.5;1.823;1013.0;913.0;1685.0;785.0;717.0
-200.0;-200.0;-200.0;-200.0;36.9;3.8;25.7;1.1991;826.0;698.0;1331.0;542.0;1017.0
-200.0;-200.0;-200.0;-200.0;34.9;2.6;28.0;1.3008;809.0;624.0;1309.0;415.0;1131.0
-200.0;-200.0;-200.0;-200.0;64.5;3.7;19.4;1.4394;825.0;694.0;1415.0;774.0;935.0
-200.0;-200.0;-200.0;-200.0;20.0;5.3;34.6;1.0817;879.0;779.0;1347.0;535.0;999.0
-200.0;0.9;53.0;41.0;21.6;4.1;33.4;1.0927;843.0;716.0;1305.0;496.0;1005.0
-200.0;1.6;121.0;126.0;21.8;8.3;32.9;1.0714;973.0;911.0;1441.0;891.0;800.0
